"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"39","20","    Financial services and insurance","DIFSRX1","482,488.0","488,090.0","492,800.0","496,094.0","504,341.0","509,095.0","507,012.0","512,443.0","517,624.0","518,746.0","531,807.0","534,642.0","540,822.0","553,535.0","565,051.0","577,165.0","583,393.0","598,491.0","610,993.0","631,821.0","662,999.0","664,794.0","667,109.0","669,048.0","659,731.0","659,458.0","657,150.0","668,997.0","662,938.0","658,502.0","659,968.0","654,327.0","650,869.0","656,083.0","662,865.0","666,822.0","671,030.0","671,534.0","673,751.0","685,586.0","687,104.0","695,313.0","704,020.0","707,279.0","712,675.0","714,325.0","714,481.0","724,210.0","730,181.0","739,143.0","743,574.0","746,383.0","746,252.0","738,256.0","732,234.0","712,487.0","693,105.0","679,744.0","670,561.0","660,965.0","667,046.0","670,773.0","665,922.0","667,581.0","674,683.0","676,939.0","682,788.0"
"40","21","    Other services","DOTSRX1","522,501.0","525,146.0","522,807.0","526,648.0","535,691.0","537,272.0","551,811.0","543,038.0","558,174.0","566,819.0","578,800.0","592,452.0","606,999.0","615,339.0","631,070.0","633,280.0","643,593.0","652,496.0","660,351.0","670,526.0","684,981.0","699,269.0","713,907.0","718,500.0","721,314.0","737,744.0","737,620.0","733,830.0","737,267.0","739,561.0","735,095.0","736,248.0","750,801.0","752,471.0","757,567.0","754,643.0","763,542.0","765,906.0","771,154.0","773,145.0","777,325.0","774,396.0","775,814.0","780,843.0","787,761.0","796,865.0","799,347.0","805,712.0","815,119.0","820,226.0","812,974.0","811,480.0","813,946.0","805,933.0","799,878.0","800,224.0","796,063.0","787,644.0","786,688.0","787,619.0","786,565.0","789,607.0","792,389.0","798,327.0","798,804.0","801,765.0","800,067.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","140,233.0","141,547.0","142,181.0","145,020.0","149,902.0","151,722.0","152,884.0","149,002.0","140,820.0","139,813.0","139,686.0","141,718.0","146,329.0","150,977.0","156,429.0","161,755.0","162,898.0","164,097.0","165,366.0","167,385.0","172,733.0","173,501.0","179,865.0","185,030.0","186,013.0","189,747.0","192,829.0","196,775.0","200,287.0","204,923.0","212,713.0","217,986.0","217,114.0","219,789.0","219,290.0","218,675.0","219,873.0","217,899.0","216,360.0","216,441.0","203,966.0","208,248.0","212,178.0","222,438.0","225,242.0","231,470.0","241,406.0","242,424.0","240,539.0","237,518.0","246,668.0","256,152.0","264,811.0","269,002.0","273,634.0","284,012.0","279,283.0","273,365.0","275,340.0","280,311.0","282,045.0","284,554.0","279,526.0","273,928.0","274,324.0","274,858.0","281,281.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERX1","632,617.0","634,779.0","636,939.0","641,395.0","644,226.0","651,508.0","655,532.0","662,380.0","657,816.0","659,627.0","665,500.0","672,225.0","684,933.0","691,940.0","701,403.0","708,600.0","713,329.0","717,179.0","722,789.0","730,545.0","736,940.0","744,147.0","752,601.0","762,251.0","770,906.0","779,138.0","789,794.0","801,346.0","815,281.0","827,971.0","838,379.0","842,781.0","841,975.0","843,465.0","844,555.0","846,399.0","851,344.0","856,089.0","863,973.0","870,428.0","866,768.0","871,458.0","875,785.0","883,181.0","893,205.0","899,616.0","904,734.0","912,351.0","922,181.0","922,557.0","925,261.0","934,153.0","944,178.0","951,388.0","958,562.0","965,588.0","965,953.0","967,761.0","971,948.0","977,076.0","974,328.0","988,219.0","992,801.0","1,001,600.0","997,242.0","1,000,605.0","999,824.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","495,392.0","496,216.0","497,749.0","499,294.0","497,082.0","502,560.0","505,428.0","516,413.0","520,351.0","523,266.0","529,401.0","534,130.0","542,184.0","544,297.0","547,995.0","549,479.0","553,050.0","555,665.0","560,025.0","565,765.0","566,339.0","572,944.0","574,434.0","578,536.0","586,394.0","590,620.0","598,119.0","605,556.0","615,958.0","623,810.0","625,797.0","624,544.0","624,739.0","623,461.0","625,132.0","627,662.0","631,427.0","638,179.0","647,632.0","654,018.0","662,766.0","663,212.0","663,634.0","660,750.0","667,995.0","668,247.0","663,623.0","670,208.0","681,794.0","685,082.0","678,945.0","678,668.0","680,396.0","683,561.0","686,279.0","683,535.0","688,305.0","695,418.0","697,785.0","698,433.0","694,311.0","705,495.0","714,117.0","727,295.0","722,777.0","725,548.0","719,341.0"
"44","25","Residual","D236RX1","-131,000.0","-130,100.0","-121,200.0","-118,300.0","-118,600.0","-109,900.0","-106,600.0","-101,400.0","-97,500.0","-99,000.0","-90,700.0","-87,500.0","-84,600.0","-77,500.0","-73,700.0","-62,300.0","-58,100.0","-53,300.0","-46,800.0","-43,900.0","-31,900.0","-36,000.0","-34,300.0","-32,800.0","-31,300.0","-29,600.0","-28,900.0","-18,300.0","-17,600.0","-17,800.0","-15,700.0","-14,600.0","-13,400.0","-9,500.0","-6,700.0","-5,500.0","-3,700.0","-3,500.0","-2,200.0","-1,100.0","-700.0","200.0","300.0","100.0","-1,500.0","-1,500.0","-1,700.0","-3,800.0","-4,900.0","-6,700.0","-9,700.0","-12,200.0","-10,800.0","-14,700.0","-13,900.0","300.0","-1,700.0","1,200.0","-6,400.0","-9,000.0","-14,800.0","-19,500.0","-24,600.0","-33,100.0","-41,800.0","-46,300.0","-51,900.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  PCE excluding food and energy \4\","DPCCRX1","5,056,558.0","5,099,408.0","5,148,421.0","5,191,350.0","5,234,898.0","5,302,587.0","5,347,748.0","5,392,393.0","5,453,994.0","5,478,061.0","5,582,700.0","5,647,864.0","5,717,407.0","5,816,552.0","5,898,896.0","6,007,614.0","6,063,717.0","6,160,257.0","6,237,469.0","6,336,579.0","6,461,220.0","6,509,942.0","6,579,458.0","6,631,278.0","6,667,501.0","6,706,168.0","6,737,676.0","6,858,627.0","6,887,251.0","6,917,457.0","6,966,168.0","6,983,632.0","7,021,198.0","7,103,996.0","7,206,384.0","7,249,024.0","7,315,216.0","7,354,500.0","7,429,065.0","7,508,366.0","7,565,894.0","7,650,769.0","7,709,658.0","7,734,837.0","7,842,966.0","7,876,951.0","7,920,776.0","8,005,438.0","8,055,322.0","8,094,114.0","8,129,341.0","8,162,683.0","8,143,921.0","8,148,885.0","8,090,364.0","7,965,698.0","7,929,157.0","7,882,873.0","7,927,673.0","7,929,121.0","7,981,733.0","8,051,393.0","8,096,221.0","8,177,983.0","8,238,438.0","8,258,676.0","8,292,029.0"
"47","27","  Energy goods and services \5\","DNRGRX1","418,025.0","429,283.0","434,843.0","430,219.0","443,270.0","441,375.0","431,293.0","436,939.0","433,560.0","439,592.0","439,301.0","451,422.0","445,234.0","459,311.0","462,943.0","448,448.0","456,123.0","466,667.0","470,583.0","460,300.0","448,550.0","464,846.0","468,394.0","479,849.0","474,873.0","457,634.0","462,822.0","460,364.0","461,285.0","473,342.0","476,242.0","483,538.0","481,539.0","484,305.0","484,015.0","491,461.0","492,166.0","492,932.0","486,592.0","492,253.0","495,211.0","496,123.0","496,419.0","487,218.0","469,984.0","481,810.0","490,402.0","482,207.0","482,536.0","483,046.0","485,484.0","475,916.0","475,272.0","467,285.0","449,030.0","464,811.0","469,094.0","464,459.0","465,233.0","467,388.0","470,991.0","472,055.0","481,339.0","474,190.0","463,419.0","458,574.0","465,163.0"
"48","28","  Market-based PCE \6\","DPCMRX1","5,245,749.0","5,290,930.0","5,347,260.0","5,384,818.0","5,427,446.0","5,492,753.0","5,517,196.0","5,581,840.0","5,636,144.0","5,658,831.0","5,758,696.0","5,825,287.0","5,875,455.0","5,979,097.0","6,050,554.0","6,141,770.0","6,210,320.0","6,305,537.0","6,379,975.0","6,469,935.0","6,552,758.0","6,617,874.0","6,676,050.0","6,740,415.0","6,772,369.0","6,783,021.0","6,814,563.0","6,926,754.0","6,950,891.0","6,994,217.0","7,048,240.0","7,071,809.0","7,101,963.0","7,181,595.0","7,279,636.0","7,323,527.0","7,387,708.0","7,415,765.0","7,485,013.0","7,571,430.0","7,643,721.0","7,726,917.0","7,785,644.0","7,787,837.0","7,864,371.0","7,910,922.0","7,952,681.0","8,026,779.0","8,079,488.0","8,109,584.0","8,147,157.0","8,168,254.0","8,138,524.0","8,145,394.0","8,064,769.0","7,945,441.0","7,931,149.0","7,911,673.0","7,970,056.0","7,982,119.0","8,036,353.0","8,097,549.0","8,155,548.0","8,240,775.0","8,284,954.0","8,297,391.0","8,333,743.0"
"49","29","  Market-based PCE excluding food and energy \6\","DPCXRX1","4,303,987.0","4,342,744.0","4,393,669.0","4,431,077.0","4,461,288.0","4,523,827.0","4,555,734.0","4,613,139.0","4,664,872.0","4,685,525.0","4,780,019.0","4,836,642.0","4,890,324.0","4,977,745.0","5,041,233.0","5,135,043.0","5,190,273.0","5,270,612.0","5,335,760.0","5,421,943.0","5,517,398.0","5,560,794.0","5,614,483.0","5,663,010.0","5,700,246.0","5,720,399.0","5,749,242.0","5,859,954.0","5,885,376.0","5,918,407.0","5,966,809.0","5,979,350.0","6,006,294.0","6,088,039.0","6,178,027.0","6,219,302.0","6,275,708.0","6,305,637.0","6,375,367.0","6,448,877.0","6,509,871.0","6,591,831.0","6,642,781.0","6,648,065.0","6,741,905.0","6,768,451.0","6,799,944.0","6,874,302.0","6,925,983.0","6,959,509.0","6,991,616.0","7,018,688.0","6,993,548.0","7,008,912.0","6,959,646.0","6,835,341.0","6,819,928.0","6,796,656.0","6,848,203.0","6,851,832.0","6,897,601.0","6,962,789.0","7,005,435.0","7,091,301.0","7,147,655.0","7,164,333.0","7,193,273.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
