"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"20","1","Produced assets","K160011","987,358.0","1,084,079.0","1,129,955.0","1,164,224.0","1,209,261.0","1,304,992.0","1,414,440.0","1,480,193.0","1,525,907.0","1,581,389.0","1,630,287.0","1,688,302.0","1,763,595.0","1,822,746.0","1,934,620.0","2,066,079.0","2,240,906.0","2,406,248.0","2,635,531.0","2,872,192.0","3,115,133.0","3,433,039.0","3,779,460.0","4,313,371.0","5,126,026.0","5,514,871.0","6,006,119.0","6,710,816.0","7,622,128.0","8,798,016.0","10,003,921.0","10,995,413.0","11,551,545.0","11,924,295.0","12,595,262.0","13,215,474.0","13,970,618.0","14,794,175.0","15,709,299.0","16,589,929.0","17,357,316.0","17,721,839.0","18,460,479.0","19,390,476.0","20,576,782.0","21,581,773.0","22,600,598.0","23,783,974.0","25,074,297.0","26,704,628.0","28,485,189.0","30,012,264.0","31,492,773.0","33,240,569.0","36,691,894.0","40,346,960.0","43,568,744.0","45,456,840.0"
"21","2","  Fixed assets","K160021","872,954.0","956,735.0","1,011,090.0","1,047,196.0","1,094,221.0","1,189,073.0","1,289,752.0","1,352,360.0","1,394,385.0","1,448,315.0","1,493,851.0","1,548,486.0","1,616,162.0","1,672,802.0","1,780,142.0","1,896,688.0","2,055,295.0","2,211,490.0","2,427,473.0","2,644,761.0","2,879,446.0","3,179,370.0","3,495,863.0","3,961,846.0","4,720,380.0","5,106,362.0","5,566,565.0","6,228,842.0","7,051,210.0","8,130,436.0","9,264,918.0","10,216,313.0","10,777,653.0","11,127,423.0","11,726,302.0","12,339,529.0","13,112,585.0","13,869,948.0","14,709,559.0","15,545,646.0","16,275,301.0","16,664,613.0","17,377,895.0","18,274,496.0","19,382,235.0","20,324,580.0","21,315,930.0","22,456,644.0","23,732,694.0","25,271,960.0","26,961,227.0","28,564,983.0","30,003,633.0","31,694,863.0","35,010,368.0","38,542,361.0","41,651,637.0","43,386,290.0"
"22","3","    Private","K160031","662,746.0","720,648.0","758,239.0","788,480.0","820,078.0","893,291.0","961,082.0","1,009,648.0","1,033,609.0","1,077,254.0","1,109,220.0","1,144,515.0","1,186,025.0","1,221,881.0","1,306,958.0","1,393,285.0","1,511,419.0","1,623,793.0","1,789,361.0","1,942,390.0","2,097,849.0","2,332,921.0","2,573,201.0","2,923,956.0","3,445,090.0","3,766,408.0","4,150,031.0","4,723,358.0","5,404,605.0","6,255,690.0","7,118,453.0","7,858,168.0","8,288,503.0","8,579,126.0","9,077,585.0","9,575,727.0","10,178,701.0","10,780,761.0","11,461,132.0","12,120,151.0","12,677,484.0","12,945,062.0","13,495,587.0","14,211,584.0","15,088,823.0","15,820,511.0","16,635,428.0","17,552,727.0","18,627,876.0","19,866,743.0","21,240,514.0","22,585,510.0","23,749,947.0","25,180,554.0","27,746,781.0","30,600,947.0","32,870,859.0","33,928,914.0"
"23","4","    Government","K160041","210,208.0","236,088.0","252,851.0","258,716.0","274,143.0","295,782.0","328,670.0","342,712.0","360,776.0","371,061.0","384,631.0","403,971.0","430,136.0","450,920.0","473,185.0","503,403.0","543,876.0","587,697.0","638,111.0","702,371.0","781,597.0","846,449.0","922,662.0","1,037,890.0","1,275,290.0","1,339,954.0","1,416,534.0","1,505,484.0","1,646,605.0","1,874,746.0","2,146,465.0","2,358,145.0","2,489,150.0","2,548,296.0","2,648,717.0","2,763,802.0","2,933,884.0","3,089,187.0","3,248,428.0","3,425,495.0","3,597,817.0","3,719,550.0","3,882,308.0","4,062,912.0","4,293,411.0","4,504,069.0","4,680,502.0","4,903,917.0","5,104,818.0","5,405,217.0","5,720,712.0","5,979,473.0","6,253,686.0","6,514,309.0","7,263,587.0","7,941,413.0","8,780,777.0","9,457,376.0"
"24","5","  Private inventories \1\","K160051","114,404.0","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0","227,431.0","235,687.0","253,669.0","283,597.0","351,525.0","405,646.0","408,509.0","439,554.0","481,974.0","570,918.0","667,580.0","739,003.0","779,100.0","773,892.0","796,872.0","868,960.0","875,945.0","858,033.0","924,227.0","999,740.0","1,044,283.0","1,082,015.0","1,057,226.0","1,082,584.0","1,115,980.0","1,194,547.0","1,257,193.0","1,284,668.0","1,327,330.0","1,341,603.0","1,432,668.0","1,523,962.0","1,447,281.0","1,489,140.0","1,545,706.0","1,681,526.0","1,804,599.0","1,917,107.0","2,070,550.0"
"25",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","Gross fixed investment","K160061","67,876.0","72,820.0","78,480.0","78,268.0","85,024.0","90,985.0","94,058.0","91,336.0","103,918.0","103,926.0","106,515.0","115,321.0","121,775.0","131,862.0","144,549.0","157,456.0","161,710.0","175,763.0","190,539.0","193,954.0","211,671.0","241,142.0","275,457.0","291,685.0","299,576.0","341,239.0","406,519.0","489,229.0","563,366.0","585,836.0","649,457.0","644,460.0","692,902.0","809,570.0","873,159.0","913,174.0","942,082.0","989,238.0","1,044,924.0","1,062,170.0","1,023,585.0","1,071,563.0","1,151,961.0","1,254,420.0","1,345,485.0","1,453,650.0","1,570,021.0","1,709,918.0","1,868,052.0","2,021,992.0","2,022,246.0","1,978,401.0","2,069,106.0","2,276,010.0","2,514,290.0","2,692,274.0","2,730,674.0","2,667,136.0"
"27","7","  Private \2\","K160071","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0","150,377.0","169,912.0","198,501.0","228,611.0","235,428.0","236,475.0","274,844.0","339,016.0","412,162.0","474,891.0","485,583.0","542,572.0","532,146.0","570,051.0","670,218.0","714,357.0","739,948.0","757,802.0","803,089.0","847,255.0","846,421.0","803,285.0","848,458.0","932,531.0","1,033,504.0","1,112,887.0","1,209,424.0","1,317,658.0","1,447,065.0","1,580,692.0","1,717,666.0","1,700,211.0","1,634,930.0","1,713,319.0","1,903,640.0","2,122,275.0","2,267,219.0","2,269,118.0","2,170,805.0"
"28","8","    Nonresidential","K160081","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,640,153.0","1,693,620.0"
"29","9","      Structures","K160091","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","535,350.0","609,506.0"
"30","10","      Equipment and software","K160101","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,104,803.0","1,084,114.0"
"31","11","    Residential","K160111","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,641.0","680,606.0","774,950.0","761,889.0","628,965.0","477,185.0"
"32","12","  Government \3\","K160121","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0"
"33","13","    Structures","K160131","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","298,796.0","315,512.0"
"34","14","    Equipment and software","K160141","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","162,760.0","180,819.0"
"35","15","Less: Stock reconciliation adjustments","K160151","-128.0","-164.0","27.0","192.0","155.0","201.0","257.0","-222.0","383.0","471.0","411.0","201.0","293.0","154.0","192.0","649.0","757.0","990.0","1,010.0","1,818.0","2,277.0","1,877.0","1,562.0","1,491.0","1,685.0","2,645.0","3,481.0","4,916.0","4,493.0","5,856.0","5,550.0","7,917.0","8,349.0","7,189.0","6,084.0","12,418.0","8,143.0","8,760.0","10,725.0","7,527.0","10,265.0","14,808.0","8,042.0","9,074.0","3,132.0","-6,798.0","7,765.0","9,070.0","11,594.0","13,240.0","18,158.0","18,758.0","20,284.0","18,098.0","18,771.0","20,140.0","21,268.0","21,715.0"
"36","16","  Private \4\","K160161","-215.0","-207.0","-165.0","166.0","406.0","293.0","240.0","-254.0","391.0","447.0","314.0","147.0","294.0","160.0","227.0","676.0","747.0","877.0","867.0","1,585.0","1,871.0","1,641.0","1,424.0","1,264.0","1,207.0","1,922.0","2,629.0","3,587.0","3,090.0","4,347.0","5,083.0","7,651.0","7,595.0","6,463.0","5,045.0","11,515.0","7,167.0","7,863.0","10,154.0","6,894.0","9,863.0","13,483.0","6,685.0","8,454.0","4,641.0","430.0","7,766.0","9,068.0","11,590.0","13,235.0","18,009.0","18,449.0","19,614.0","17,832.0","18,050.0","19,576.0","20,291.0","21,736.0"
"37","17","  Government \5\","K160171","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-8.0","24.0","97.0","54.0","-2.0","-6.0","-35.0","-27.0","10.0","114.0","143.0","233.0","406.0","237.0","138.0","227.0","478.0","723.0","852.0","1,329.0","1,402.0","1,510.0","467.0","266.0","753.0","726.0","1,038.0","903.0","976.0","898.0","571.0","633.0","402.0","1,326.0","1,358.0","620.0","-1,509.0","-7,228.0","-1.0","2.0","4.0","5.0","150.0","309.0","670.0","266.0","720.0","563.0","977.0","-21.0"
"38","18","Less: Consumption of fixed capital","K160181","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0"
"39","19","  Private","K160191","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0"
"40","20","    Nonresidential","K160201","20,181.0","21,408.0","22,610.0","23,625.0","24,825.0","27,652.0","30,263.0","32,153.0","33,400.0","33,631.0","34,352.0","35,463.0","36,955.0","38,897.0","41,786.0","45,640.0","49,948.0","54,753.0","60,441.0","66,624.0","72,926.0","79,288.0","88,488.0","103,734.0","123,326.0","135,905.0","152,566.0","172,989.0","199,592.0","230,976.0","266,381.0","295,600.0","306,271.0","320,743.0","342,597.0","364,053.0","384,199.0","411,458.0","438,729.0","465,029.0","486,773.0","498,140.0","518,933.0","547,329.0","583,757.0","616,566.0","655,896.0","700,316.0","756,344.0","825,023.0","878,353.0","911,709.0","939,836.0","983,584.0","1,051,128.0","1,129,288.0","1,196,462.0","1,264,478.0"
"41","21","      Structures","K160211","6,183.0","6,552.0","6,865.0","7,007.0","7,355.0","8,263.0","8,941.0","9,086.0","9,413.0","9,664.0","9,854.0","10,204.0","10,526.0","10,959.0","11,640.0","12,526.0","13,379.0","14,512.0","15,961.0","17,531.0","19,391.0","21,380.0","24,572.0","29,121.0","33,690.0","36,163.0","40,434.0","45,756.0","52,893.0","59,916.0","71,666.0","81,155.0","81,063.0","83,844.0","88,562.0","91,829.0","93,152.0","99,764.0","105,673.0","111,268.0","115,611.0","116,089.0","120,074.0","124,896.0","131,472.0","136,500.0","144,646.0","154,744.0","161,420.0","170,857.0","184,795.0","196,755.0","205,541.0","220,443.0","248,900.0","282,755.0","301,743.0","324,779.0"
"42","22","      Equipment and software","K160221","13,998.0","14,856.0","15,745.0","16,618.0","17,470.0","19,389.0","21,322.0","23,067.0","23,987.0","23,967.0","24,498.0","25,259.0","26,429.0","27,938.0","30,146.0","33,114.0","36,569.0","40,241.0","44,480.0","49,093.0","53,535.0","57,908.0","63,916.0","74,613.0","89,636.0","99,742.0","112,132.0","127,233.0","146,699.0","171,060.0","194,715.0","214,445.0","225,208.0","236,899.0","254,035.0","272,224.0","291,047.0","311,694.0","333,056.0","353,761.0","371,162.0","382,051.0","398,859.0","422,433.0","452,285.0","480,066.0","511,250.0","545,572.0","594,924.0","654,166.0","693,558.0","714,954.0","734,295.0","763,141.0","802,228.0","846,533.0","894,719.0","939,699.0"
"43","23","    Residential","K160231","4,980.0","5,334.0","5,595.0","5,845.0","6,232.0","6,688.0","6,985.0","7,233.0","7,561.0","7,949.0","8,278.0","8,618.0","8,923.0","9,401.0","10,073.0","10,843.0","11,612.0","12,669.0","14,051.0","15,079.0","16,604.0","18,425.0","20,971.0","24,103.0","27,124.0","29,639.0","33,584.0","38,973.0","44,870.0","51,316.0","56,867.0","60,838.0","63,248.0","66,721.0","70,177.0","75,013.0","80,284.0","85,657.0","90,875.0","95,390.0","98,661.0","101,760.0","107,451.0","113,624.0","120,864.0","126,787.0","133,812.0","141,250.0","150,893.0","161,804.0","173,244.0","182,325.0","196,097.0","217,289.0","239,683.0","262,103.0","273,111.0","271,688.0"
"44","24","  Government","K160241","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0"
"45","25","    Structures","K160251","3,495.0","3,737.0","3,857.0","3,898.0","4,080.0","4,585.0","4,987.0","5,183.0","5,377.0","5,509.0","5,743.0","6,065.0","6,426.0","6,760.0","7,201.0","7,826.0","8,412.0","9,173.0","10,205.0","11,447.0","12,751.0","13,858.0","15,597.0","19,073.0","21,458.0","22,259.0","23,525.0","25,188.0","28,264.0","32,469.0","36,690.0","39,533.0","40,339.0","41,225.0","42,743.0","44,961.0","47,623.0","49,868.0","52,134.0","54,811.0","56,803.0","58,408.0","61,176.0","64,216.0","68,160.0","71,493.0","75,842.0","79,468.0","83,898.0","89,541.0","94,609.0","99,356.0","103,968.0","112,384.0","125,518.0","137,689.0","152,015.0","163,545.0"
