"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"35","16","    Goods","A253CX1","27,044.0","28,806.0","28,857.0","27,350.0","27,449.0","30,296.0","30,829.0","32,286.0","33,744.0","33,708.0","34,631.0","35,334.0","30,135.0","35,787.0","34,656.0","37,561.0","37,151.0","36,516.0","36,642.0","37,429.0","37,285.0","37,213.0","36,651.0","37,279.0","38,533.0","39,093.0","41,796.0","40,766.0","35,285.0","44,687.0","43,561.0","45,048.0","45,893.0","47,022.0","47,147.0","47,739.0","46,855.0","46,771.0","50,095.0","43,347.0","50,367.0","49,181.0","52,076.0","55,551.0","60,580.0","63,552.0","63,495.0","67,138.0","68,349.0","71,143.0","67,229.0","68,274.0","68,003.0","64,845.0","66,112.0","69,649.0","68,840.0","69,745.0","71,069.0","71,704.0","70,285.0","72,097.0","72,826.0","69,825.0","70,780.0","80,611.0","81,114.0","84,387.0","84,458.0","85,070.0","89,021.0","95,784.0","98,796.0","100,569.0","98,809.0","98,386.0","99,263.0","99,116.0","96,147.0","97,738.0","91,984.0","93,039.0","88,375.0","83,416.0"
"36","17","    Services","A646CX1","9,985.0","11,856.0","9,389.0","10,141.0","10,967.0","12,648.0","9,638.0","10,218.0","11,408.0","12,238.0","10,874.0","11,553.0","11,814.0","14,036.0","12,226.0","12,682.0","12,186.0","15,209.0","12,978.0","13,875.0","15,121.0","14,678.0","13,935.0","14,795.0","15,039.0","15,570.0","16,039.0","16,376.0","15,052.0","16,807.0","16,458.0","17,049.0","16,682.0","18,419.0","18,046.0","18,041.0","19,282.0","19,232.0","18,517.0","19,647.0","19,222.0","18,367.0","19,532.0","19,076.0","19,466.0","20,335.0","20,686.0","21,095.0","20,945.0","22,601.0","21,467.0","22,934.0","24,079.0","24,938.0","21,431.0","22,905.0","23,174.0","23,148.0","24,715.0","25,076.0","25,009.0","25,784.0","25,769.0","25,752.0","27,191.0","27,037.0","27,800.0","28,841.0","28,868.0","28,448.0","28,331.0","28,636.0","29,025.0","29,692.0","31,560.0","31,137.0","32,953.0","33,983.0","34,322.0","33,085.0","33,480.0","33,091.0","32,250.0","31,798.0"
"37","18","  Imports","A021CX1","33,055.0","33,776.0","34,204.0","34,622.0","33,821.0","34,617.0","35,496.0","35,380.0","35,347.0","36,142.0","37,112.0","38,116.0","36,743.0","41,080.0","41,248.0","43,262.0","44,378.0","45,481.0","48,030.0","48,567.0","49,334.0","48,938.0","49,578.0","52,193.0","55,269.0","56,113.0","59,486.0","58,985.0","53,421.0","63,960.0","63,131.0","62,438.0","62,234.0","63,464.0","63,318.0","64,300.0","63,542.0","68,335.0","69,846.0","65,112.0","74,628.0","71,976.0","73,474.0","76,784.0","80,332.0","78,017.0","75,861.0","76,428.0","73,835.0","77,747.0","76,388.0","75,630.0","68,041.0","62,597.0","67,800.0","71,419.0","75,894.0","79,181.0","82,411.0","85,139.0","89,169.0","89,991.0","88,737.0","89,996.0","96,034.0","96,338.0","97,596.0","98,934.0","98,663.0","99,196.0","97,683.0","99,818.0","99,892.0","92,643.0","85,980.0","90,594.0","94,463.0","94,606.0","93,527.0","96,210.0","93,468.0","91,941.0","96,206.0","92,430.0"
"38","19","    Goods","A255CX1","21,951.0","22,638.0","23,045.0","23,006.0","22,704.0","23,479.0","24,091.0","24,032.0","23,842.0","24,663.0","25,588.0","26,441.0","25,225.0","29,191.0","29,453.0","30,899.0","31,709.0","32,199.0","34,272.0","34,678.0","34,795.0","33,783.0","34,055.0","37,222.0","40,206.0","41,193.0","44,038.0","43,313.0","37,742.0","47,794.0","46,818.0","45,631.0","45,713.0","46,080.0","45,940.0","47,225.0","46,992.0","51,526.0","53,343.0","48,606.0","57,129.0","54,434.0","56,755.0","59,418.0","62,502.0","60,917.0","59,975.0","60,416.0","57,557.0","60,883.0","59,833.0","58,764.0","51,914.0","47,476.0","52,414.0","55,360.0","59,322.0","62,288.0","65,039.0","67,360.0","71,023.0","71,548.0","70,689.0","71,702.0","76,688.0","77,007.0","77,911.0","78,911.0","78,762.0","79,257.0","77,918.0","79,906.0","80,013.0","73,602.0","67,482.0","71,300.0","74,327.0","74,368.0","73,664.0","76,061.0","73,214.0","71,167.0","75,263.0","71,281.0"
"39","20","    Services","B656CX1","11,085.0","11,112.0","11,131.0","11,593.0","11,089.0","11,109.0","11,373.0","11,317.0","11,479.0","11,448.0","11,486.0","11,632.0","11,476.0","11,847.0","11,755.0","12,321.0","12,627.0","13,236.0","13,713.0","13,844.0","14,486.0","15,087.0","15,451.0","14,925.0","15,035.0","14,901.0","15,438.0","15,653.0","15,626.0","16,164.0","16,301.0","16,784.0","16,497.0","17,359.0","17,357.0","17,044.0","16,523.0","16,799.0","16,515.0","16,478.0","17,507.0","17,545.0","16,713.0","17,360.0","17,827.0","17,096.0","15,877.0","15,995.0","16,358.0","16,864.0","16,527.0","16,970.0","16,517.0","15,555.0","15,559.0","16,196.0","16,597.0","16,813.0","17,233.0","17,588.0","17,817.0","18,148.0","17,714.0","17,954.0","18,935.0","18,899.0","19,276.0","19,630.0","19,497.0","19,512.0","19,380.0","19,407.0","19,341.0","18,784.0","18,612.0","19,322.0","20,177.0","20,317.0","19,884.0","20,065.0","20,454.0","21,304.0","21,191.0","21,778.0"
"40","21","Government consumption expenditures and gross investment","A822CX1","210,169.0","211,309.0","216,119.0","216,431.0","215,113.0","214,840.0","224,054.0","222,016.0","222,837.0","224,282.0","224,416.0","223,773.0","223,231.0","226,111.0","233,934.0","238,961.0","243,257.0","247,567.0","254,267.0","258,404.0","269,374.0","267,909.0","270,698.0","272,540.0","277,299.0","278,577.0","279,163.0","279,394.0","279,665.0","278,495.0","278,888.0","274,790.0","273,310.0","269,779.0","270,948.0","270,953.0","266,564.0","265,709.0","265,541.0","263,562.0","264,523.0","266,165.0","260,675.0","262,311.0","264,894.0","263,314.0","259,932.0","261,844.0","267,319.0","269,120.0","269,526.0","270,463.0","273,775.0","271,671.0","276,450.0","278,791.0","279,488.0","276,420.0","274,968.0","274,755.0","277,246.0","280,125.0","280,640.0","279,735.0","280,188.0","287,753.0","290,049.0","292,679.0","290,049.0","293,110.0","293,539.0","295,452.0","300,201.0","301,135.0","296,981.0","296,680.0","300,618.0","301,290.0","300,611.0","303,374.0","303,072.0","304,840.0","306,926.0","312,225.0"
"41","22","  Federal","A823CX1","122,281.0","122,784.0","126,480.0","125,799.0","122,745.0","121,609.0","128,360.0","124,944.0","124,305.0","123,477.0","122,508.0","120,785.0","119,263.0","119,493.0","124,321.0","127,769.0","130,691.0","134,150.0","139,580.0","140,742.0","150,391.0","148,211.0","150,568.0","150,255.0","152,868.0","151,641.0","150,336.0","149,416.0","148,586.0","146,217.0","146,320.0","142,402.0","139,590.0","135,218.0","133,218.0","132,492.0","127,334.0","125,497.0","124,970.0","121,104.0","121,596.0","123,542.0","116,880.0","116,494.0","118,424.0","116,588.0","111,639.0","111,727.0","115,246.0","115,064.0","115,641.0","116,491.0","115,182.0","114,257.0","117,105.0","117,403.0","116,320.0","116,070.0","115,741.0","116,037.0","117,001.0","118,929.0","119,616.0","118,443.0","118,859.0","121,692.0","122,123.0","123,195.0","123,361.0","124,886.0","124,692.0","124,664.0","128,653.0","131,889.0","130,112.0","130,550.0","133,255.0","137,231.0","137,084.0","138,551.0","138,768.0","140,024.0","142,124.0","146,325.0"
"42","23","    National defense","A824CX1","102,345.0","101,231.0","102,849.0","101,649.0","99,238.0","98,215.0","101,715.0","99,144.0","97,698.0","95,807.0","95,489.0","93,528.0","91,451.0","91,028.0","94,222.0","97,783.0","101,363.0","103,493.0","110,280.0","113,079.0","119,846.0","119,925.0","122,932.0","121,623.0","124,627.0","124,515.0","122,059.0","120,967.0","119,679.0","116,995.0","116,818.0","114,369.0","111,330.0","106,070.0","104,421.0","103,627.0","98,756.0","94,974.0","93,072.0","90,416.0","89,111.0","90,514.0","84,116.0","83,987.0","85,619.0","84,083.0","79,096.0","79,644.0","81,482.0","82,793.0","80,820.0","80,798.0","80,177.0","78,938.0","81,929.0","81,761.0","80,633.0","80,578.0","80,404.0","80,083.0","80,981.0","82,215.0","82,255.0","79,984.0","80,490.0","82,305.0","82,526.0","82,892.0","83,300.0","84,975.0","84,723.0","85,198.0","87,706.0","87,917.0","88,079.0","89,239.0","90,933.0","93,679.0","94,478.0","96,199.0","97,285.0","99,992.0","101,732.0","104,641.0"
"43","24","    Nondefense","A825CX1","20,533.0","22,107.0","24,167.0","24,665.0","24,012.0","23,891.0","27,101.0","26,246.0","27,022.0","28,029.0","27,399.0","27,604.0","28,111.0","28,737.0","30,366.0","30,294.0","29,698.0","31,012.0","29,782.0","28,226.0","31,094.0","28,914.0","28,321.0","29,275.0","28,938.0","27,865.0","28,935.0","29,083.0","29,500.0","29,766.0","30,037.0","28,593.0","28,771.0","29,519.0","29,158.0","29,209.0","28,855.0","30,648.0","31,928.0","30,729.0","32,483.0","33,029.0","32,765.0","32,507.0","32,804.0","32,503.0","32,574.0","32,101.0","33,804.0","32,263.0","34,885.0","35,775.0","35,071.0","35,385.0","35,235.0","35,703.0","35,753.0","35,558.0","35,403.0","36,027.0","36,089.0","36,785.0","37,439.0","38,565.0","38,473.0","39,501.0","39,716.0","40,439.0","40,185.0","40,006.0","40,069.0","39,536.0","41,032.0","44,177.0","42,153.0","41,382.0","42,405.0","43,636.0","42,630.0","42,325.0","41,388.0","39,804.0","40,149.0","41,450.0"
"44","25","  State and local","A829CX1","88,653.0","89,292.0","90,430.0","91,416.0","93,134.0","93,981.0","96,494.0","97,840.0","99,298.0","101,578.0","102,686.0","103,774.0","104,757.0","107,416.0","110,439.0","112,033.0","113,420.0","114,297.0","115,618.0","118,592.0","120,058.0","120,716.0","121,189.0","123,304.0","125,467.0","127,906.0","129,745.0","130,866.0","131,930.0","133,038.0","133,320.0","133,043.0","134,279.0","134,999.0","138,047.0","138,745.0","139,373.0","140,307.0","140,655.0","142,460.0","142,930.0","142,626.0","143,791.0","145,815.0","146,475.0","146,728.0","148,268.0","150,086.0","152,046.0","153,999.0","153,835.0","153,932.0","158,493.0","157,314.0","159,263.0","161,292.0","163,050.0","160,252.0","159,132.0","158,626.0","160,152.0","161,101.0","160,933.0","161,197.0","161,235.0","165,963.0","167,824.0","169,384.0","166,597.0","168,139.0","168,755.0","170,680.0","171,471.0","169,229.0","166,851.0","166,123.0","167,371.0","164,168.0","163,640.0","164,942.0","164,427.0","164,947.0","164,960.0","166,105.0"
"45","26","Residual","A960CX1","-8,500.0","-8,600.0","-9,400.0","-8,900.0","-7,500.0","-7,500.0","-8,500.0","-8,000.0","-7,200.0","-6,800.0","-6,100.0","-5,600.0","-4,400.0","-4,300.0","-4,100.0","-3,900.0","-3,000.0","-4,000.0","-4,200.0","-4,300.0","-5,700.0","-5,700.0","-6,100.0","-7,200.0","-5,500.0","-5,600.0","-4,200.0","-4,800.0","-4,500.0","-3,500.0","-3,700.0","-2,700.0","-2,400.0","-1,900.0","-1,600.0","-1,400.0","-2,300.0","-1,200.0","-1,400.0","500.0","500.0","-700.0","-100.0","0.0","1,600.0","-100.0","2,000.0","1,800.0","4,000.0","1,100.0","-100.0","4,700.0","2,300.0","5,500.0","4,600.0","3,400.0","1,700.0","1,000.0","-1,100.0","0.0","-2,900.0","-2,600.0","-2,100.0","-3,600.0","-4,500.0","-2,100.0","-1,000.0","-2,500.0","-500.0","-300.0","100.0","600.0","1,600.0","6,200.0","9,000.0","8,100.0","5,400.0","4,800.0","6,000.0","6,400.0","3,800.0","6,500.0","2,500.0","3,500.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1972) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","quantity index and the 1972 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
