"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RX1","370,622.0","369,754.0","366,397.0","365,847.0","368,707.0","374,065.0","380,321.0","385,175.0","384,664.0","380,308.0","379,343.0","374,977.0","376,823.0","379,516.0","383,030.0","394,254.0","401,236.0","411,394.0","418,107.0","421,000.0","424,619.0","423,730.0","427,725.0","431,758.0","435,001.0","438,204.0","440,137.0","438,464.0","436,980.0","434,610.0","432,721.0","432,039.0","434,846.0","438,994.0","442,779.0","447,990.0","452,386.0","455,442.0","457,811.0","459,908.0","461,050.0","462,684.0","465,058.0","462,836.0","460,051.0","457,626.0","458,852.0","462,093.0","464,703.0","471,333.0","472,127.0","476,019.0","485,731.0","488,502.0","492,413.0","487,851.0","485,771.0","487,568.0","493,525.0","498,466.0","506,272.0","511,185.0","516,943.0","520,355.0","527,025.0","531,461.0","536,748.0","540,607.0","544,703.0","548,639.0","553,360.0","557,866.0","568,227.0","575,665.0","584,040.0","590,766.0","602,553.0","613,914.0","624,004.0","637,908.0","650,768.0","656,559.0","664,262.0","671,792.0","678,608.0","690,825.0","697,341.0","702,582.0","711,835.0","719,637.0","728,353.0","732,860.0","733,845.0","738,011.0","742,052.0","738,465.0","748,085.0","756,326.0","764,194.0","763,455.0","766,163.0","775,652.0","785,396.0","789,129.0","794,898.0","808,132.0","813,938.0","828,139.0","834,751.0","844,002.0","847,168.0","857,209.0","853,362.0","845,965.0","844,519.0","844,432.0","852,377.0","864,162.0","875,134.0","878,693.0","884,702.0","894,741.0","912,518.0","921,795.0","932,588.0","943,202.0","954,396.0","967,373.0","977,323.0","988,541.0","992,779.0","995,350.0","998,692.0","1,001,543.0","989,337.0","986,022.0","999,862.0","1,003,442.0","1,017,905.0","1,024,981.0","1,018,177.0","1,016,819.0","1,018,515.0","1,005,303.0","993,377.0","991,704.0","990,293.0","997,653.0","1,019,828.0","1,040,600.0","1,062,322.0","1,075,916.0","1,080,219.0","1,086,491.0","1,091,688.0","1,101,335.0","1,110,166.0","1,114,478.0","1,112,115.0","1,109,827.0","1,118,974.0","1,123,999.0","1,123,835.0","1,143,023.0","1,147,498.0","1,153,216.0","1,158,393.0","1,164,940.0","1,178,536.0","1,188,796.0","1,191,488.0","1,195,561.0","1,199,339.0","1,208,594.0","1,214,825.0","1,212,127.0","1,207,819.0","1,202,570.0","1,202,443.0","1,210,698.0","1,211,380.0","1,217,356.0","1,222,636.0","1,228,597.0","1,238,666.0","1,245,374.0","1,246,947.0","1,250,846.0","1,263,477.0","1,286,098.0","1,300,109.0","1,320,132.0","1,336,597.0","1,346,027.0","1,348,080.0","1,352,203.0","1,352,994.0","1,359,687.0","1,375,191.0","1,383,386.0","1,394,183.0","1,420,155.0","1,439,012.0","1,460,756.0"
"21","2","Farm \2\","B372RX1","128,044.0","126,913.0","125,218.0","123,638.0","124,037.0","125,962.0","128,045.0","129,701.0","129,402.0","128,641.0","128,054.0","127,827.0","127,580.0","126,964.0","127,105.0","127,486.0","128,136.0","128,760.0","129,166.0","129,590.0","130,253.0","131,166.0","132,297.0","132,665.0","133,290.0","133,242.0","133,680.0","134,619.0","135,151.0","135,277.0","135,472.0","135,101.0","134,666.0","134,128.0","133,634.0","133,244.0","132,514.0","131,654.0","130,849.0","130,028.0","129,798.0","129,757.0","130,203.0","130,467.0","132,365.0","134,098.0","135,645.0","136,275.0","135,387.0","134,056.0","132,708.0","131,568.0","131,658.0","132,133.0","132,920.0","133,302.0","133,916.0","134,477.0","135,137.0","135,838.0","136,455.0","136,653.0","137,004.0","137,558.0","139,445.0","139,613.0","139,190.0","138,987.0","138,010.0","136,947.0","135,909.0","135,145.0","135,373.0","136,088.0","136,863.0","137,654.0","137,929.0","137,246.0","136,816.0","136,251.0","137,091.0","138,987.0","139,345.0","138,786.0","140,616.0","143,962.0","144,264.0","142,881.0","143,863.0","144,969.0","144,353.0","142,902.0","143,741.0","144,204.0","143,100.0","140,519.0","142,178.0","144,860.0","146,312.0","144,621.0","144,640.0","146,336.0","146,816.0","145,037.0","142,368.0","145,367.0","146,247.0","146,827.0","145,529.0","145,765.0","146,196.0","142,449.0","146,540.0","147,895.0","147,633.0","148,199.0","148,224.0","147,748.0","149,087.0","146,628.0","144,876.0","147,691.0","151,756.0","153,862.0","152,968.0","153,015.0","155,793.0","155,925.0","157,587.0","158,912.0","160,654.0","160,168.0","159,519.0","158,046.0","154,507.0","153,000.0","155,586.0","158,313.0","161,931.0","163,050.0","164,718.0","166,320.0","169,322.0","170,555.0","167,958.0","164,815.0","155,390.0","153,129.0","154,974.0","156,583.0","158,611.0","159,446.0","161,534.0","162,735.0","165,012.0","166,479.0","166,911.0","165,431.0","164,357.0","164,213.0","161,784.0","158,163.0","156,858.0","155,110.0","153,206.0","149,414.0","146,562.0","141,998.0","143,942.0","144,841.0","143,386.0","141,984.0","142,410.0","141,758.0","142,864.0","148,552.0","148,738.0","148,622.0","145,180.0","146,712.0","149,344.0","152,062.0","153,226.0","153,815.0","152,269.0","150,934.0","147,379.0","146,344.0","151,198.0","156,459.0","159,115.0","160,049.0","158,582.0","155,184.0","148,573.0","147,015.0","146,278.0","148,128.0","154,986.0","155,309.0","152,616.0","154,674.0","157,190.0","158,988.0"
"22","3","Nonfarm","A373RX1","217,329.0","218,372.0","217,443.0","220,064.0","222,983.0","225,951.0","229,706.0","232,481.0","232,390.0","228,625.0","228,474.0","223,868.0","226,302.0","230,355.0","234,155.0","246,711.0","253,952.0","265,023.0","272,340.0","275,088.0","278,284.0","275,652.0","278,451.0","282,491.0","285,138.0","288,660.0","290,106.0","287,024.0","284,718.0","282,018.0","279,751.0","279,536.0","283,031.0","288,038.0","292,505.0","298,188.0","303,384.0","307,435.0","310,747.0","313,778.0","315,196.0","316,892.0","318,775.0","316,226.0","311,118.0","306,479.0","305,866.0","308,515.0","312,249.0","320,693.0","323,103.0","328,381.0","338,122.0","340,363.0","343,390.0","338,327.0","335,507.0","336,672.0","341,921.0","346,117.0","353,355.0","358,150.0","363,646.0","366,478.0","371,033.0","375,382.0","381,292.0","385,463.0","390,740.0","395,921.0","401,863.0","407,290.0","417,491.0","424,225.0","431,845.0","437,771.0","449,478.0","462,018.0","472,955.0","487,934.0","500,081.0","503,747.0","511,176.0","519,458.0","524,231.0","532,698.0","538,966.0","545,910.0","554,159.0","560,798.0","570,458.0","576,823.0","576,822.0","580,539.0","586,016.0","585,459.0","593,290.0","598,449.0","604,738.0","606,093.0","608,876.0","616,537.0","626,170.0","632,786.0","643,507.0","653,084.0","658,072.0","673,308.0","683,242.0","693,143.0","696,061.0","712,293.0","702,709.0","693,069.0","691,829.0","690,912.0","699,216.0","712,172.0","721,900.0","728,520.0","736,771.0","743,718.0","757,168.0","764,188.0","776,415.0","787,470.0","795,555.0","809,083.0","817,329.0","827,423.0","829,483.0","832,837.0","837,197.0","842,031.0","833,890.0","832,434.0","843,596.0","844,022.0","854,673.0","860,628.0","852,062.0","849,017.0","847,649.0","833,266.0","823,946.0","825,581.0","834,144.0","844,001.0","864,480.0","883,776.0","903,504.0","916,263.0","918,451.0","923,516.0","926,520.0","934,683.0","943,006.0","948,591.0","947,227.0","945,107.0","956,235.0","964,512.0","965,533.0","986,170.0","992,438.0","1,001,948.0","1,010,091.0","1,021,564.0","1,033,211.0","1,042,610.0","1,046,836.0","1,052,409.0","1,055,741.0","1,065,726.0","1,070,811.0","1,066,389.0","1,061,875.0","1,056,725.0","1,059,990.0","1,066,763.0","1,064,879.0","1,068,190.0","1,072,344.0","1,077,738.0","1,089,369.0","1,097,443.0","1,102,589.0","1,107,558.0","1,115,336.0","1,132,845.0","1,144,365.0","1,163,439.0","1,181,240.0","1,193,777.0","1,201,986.0","1,207,702.0","1,209,252.0","1,214,194.0","1,222,950.0","1,230,884.0","1,244,215.0","1,268,136.0","1,284,510.0","1,304,448.0"
"23","4","    Durable goods \3\","A374RX1","101,778.0","102,760.0","104,499.0","104,060.0","105,558.0","106,280.0","107,146.0","108,198.0","108,057.0","104,751.0","105,562.0","101,827.0","101,121.0","104,194.0","106,233.0","114,551.0","118,332.0","125,925.0","132,111.0","133,781.0","135,609.0","134,053.0","134,537.0","137,370.0","140,281.0","142,652.0","144,917.0","142,561.0","139,787.0","136,786.0","134,916.0","134,471.0","136,479.0","139,745.0","141,675.0","144,892.0","148,065.0","149,541.0","149,694.0","151,066.0","151,708.0","153,435.0","155,261.0","153,590.0","149,265.0","145,421.0","144,671.0","145,734.0","150,623.0","155,657.0","155,139.0","157,024.0","164,367.0","164,843.0","166,106.0","162,462.0","158,032.0","156,910.0","159,910.0","162,261.0","166,637.0","168,580.0","172,400.0","173,320.0","175,533.0","178,056.0","180,735.0","181,867.0","184,866.0","187,604.0","191,398.0","193,964.0","201,153.0","205,809.0","211,492.0","213,849.0","221,249.0","228,599.0","236,582.0","245,173.0","250,400.0","252,113.0","255,201.0","259,939.0","262,312.0","266,754.0","268,775.0","273,512.0","277,953.0","280,881.0","286,140.0","290,992.0","289,976.0","289,874.0","293,719.0","289,757.0","294,414.0","296,181.0","300,012.0","297,605.0","299,342.0","302,802.0","307,714.0","314,198.0","321,515.0","330,325.0","338,910.0","347,117.0","351,668.0","354,448.0","359,255.0","370,179.0","366,053.0","362,541.0","359,308.0","354,986.0","357,299.0","363,435.0","369,646.0","375,332.0","378,826.0","381,968.0","387,791.0","392,380.0","401,150.0","408,417.0","412,967.0","422,558.0","431,260.0","438,992.0","440,288.0","442,190.0","442,987.0","442,163.0","436,348.0","438,495.0","441,950.0","444,994.0","448,203.0","447,542.0","441,046.0","440,930.0","440,004.0","427,865.0","418,180.0","418,879.0","422,190.0","429,255.0","441,029.0","452,058.0","463,349.0","473,659.0","473,866.0","475,719.0","474,679.0","476,925.0","480,624.0","481,571.0","477,091.0","473,897.0","481,533.0","487,397.0","485,696.0","498,153.0","500,128.0","504,072.0","511,707.0","521,028.0","530,714.0","535,165.0","535,395.0","540,238.0","540,394.0","545,867.0","550,068.0","547,328.0","539,027.0","532,148.0","532,942.0","532,452.0","528,415.0","530,183.0","529,755.0","529,024.0","535,087.0","538,388.0","541,047.0","545,618.0","551,596.0","561,581.0","569,021.0","579,482.0","590,785.0","598,507.0","603,901.0","610,893.0","613,249.0","617,746.0","626,807.0","628,827.0","635,735.0","649,914.0","659,132.0","671,250.0"
"24","5","    Nondurable goods \3\","A375RX1","116,681.0","116,784.0","114,237.0","117,218.0","118,669.0","120,896.0","123,784.0","125,532.0","125,576.0","125,207.0","124,164.0","123,402.0","126,711.0","127,592.0","129,334.0","133,469.0","136,921.0","140,324.0","141,303.0","142,340.0","143,697.0","142,640.0","145,063.0","146,182.0","145,707.0","146,771.0","145,705.0","145,104.0","145,843.0","146,417.0","146,152.0","146,454.0","147,892.0","149,483.0","152,085.0","154,453.0","156,323.0","159,049.0","162,617.0","164,319.0","165,109.0","164,826.0","164,630.0","163,862.0","163,607.0","163,269.0","163,543.0","165,213.0","163,262.0","166,413.0","169,879.0","173,504.0","175,115.0","177,084.0","178,926.0","177,861.0","180,425.0","183,258.0","185,383.0","187,145.0","189,766.0","192,760.0","194,102.0","196,167.0","198,528.0","200,247.0","203,562.0","206,895.0","209,061.0","211,457.0","213,340.0","216,248.0","218,604.0","220,285.0","221,653.0","225,411.0","229,254.0","234,119.0","236,330.0","242,389.0","249,570.0","251,563.0","256,099.0","259,458.0","261,863.0","265,823.0","270,438.0","272,222.0","275,918.0","279,757.0","284,015.0","284,978.0","286,329.0","290,793.0","292,066.0","296,707.0","299,627.0","303,288.0","305,502.0","310,348.0","311,269.0","315,594.0","320,279.0","319,362.0","322,192.0","321,885.0","316,861.0","323,779.0","329,231.0","336,759.0","334,217.0","338,993.0","333,399.0","326,982.0","329,513.0","333,725.0","340,133.0","347,036.0","350,251.0","350,632.0","355,539.0","359,425.0","367,278.0","369,447.0","372,253.0","375,613.0","379,020.0","382,230.0","380,626.0","382,361.0","383,095.0","384,529.0","388,348.0","394,567.0","392,540.0","388,468.0","396,475.0","393,458.0","401,203.0","408,438.0","406,792.0","403,581.0","403,178.0","401,963.0","403,443.0","404,410.0","409,880.0","412,177.0","420,504.0","428,422.0","436,486.0","437,890.0","440,103.0","443,492.0","448,255.0","454,687.0","459,378.0","464,575.0","469,009.0","470,797.0","473,559.0","475,397.0","478,837.0","486,306.0","490,980.0","496,808.0","496,142.0","497,112.0","497,845.0","502,874.0","507,452.0","507,570.0","511,175.0","515,540.0","515,972.0","514,425.0","519,756.0","522,649.0","525,310.0","533,586.0","536,597.0","538,111.0","543,349.0","550,366.0","555,864.0","560,830.0","563,292.0","563,111.0","564,324.0","571,492.0","575,098.0","583,444.0","589,280.0","593,711.0","596,200.0","593,962.0","592,820.0","592,850.0","591,591.0","597,878.0","604,308.0","613,505.0","620,639.0","628,237.0"
"25","6","  Manufacturing","A376RX1","109,411.0","109,216.0","109,815.0","110,020.0","109,968.0","112,009.0","113,828.0","114,422.0","115,240.0","112,943.0","110,634.0","108,679.0","109,199.0","110,027.0","110,616.0","115,822.0","119,425.0","127,831.0","136,510.0","140,036.0","144,698.0","143,688.0","144,354.0","145,917.0","147,819.0","150,017.0","151,128.0","149,784.0","146,941.0","143,800.0","141,334.0","141,732.0","142,412.0","144,362.0","146,796.0","149,667.0","153,445.0","157,044.0","159,148.0","160,895.0","162,015.0","162,366.0","162,722.0","159,858.0","156,868.0","153,248.0","152,564.0","154,008.0","155,318.0","158,804.0","159,722.0","162,428.0","165,850.0","166,669.0","168,685.0","164,663.0","163,798.0","164,201.0","167,390.0","169,620.0","174,302.0","176,828.0","180,537.0","180,873.0","183,108.0","185,268.0","187,652.0","187,788.0","190,087.0","190,628.0","193,231.0","198,232.0","201,397.0","203,977.0","208,959.0","212,179.0","218,324.0","224,865.0","233,220.0","240,561.0","248,765.0","252,146.0","255,986.0","259,578.0","261,089.0","264,553.0","269,135.0","271,506.0","275,364.0","277,406.0","280,840.0","284,081.0","283,140.0","283,649.0","285,260.0","284,044.0","284,338.0","283,351.0","282,056.0","280,626.0","281,187.0","283,043.0","287,144.0","288,306.0","293,048.0","298,048.0","302,393.0","309,633.0","313,951.0","320,329.0","325,160.0","332,975.0","332,675.0","328,326.0","324,653.0","324,611.0","325,971.0","330,463.0","335,135.0","340,088.0","340,965.0","343,564.0","348,094.0","349,603.0","351,060.0","356,205.0","360,457.0","365,644.0","369,244.0","373,291.0","376,011.0","379,685.0","385,308.0","386,930.0","380,807.0","380,099.0","384,046.0","383,970.0","386,865.0","385,175.0","381,345.0","376,777.0","374,490.0","367,948.0","358,104.0","359,757.0","362,984.0","367,457.0","374,903.0","387,119.0","397,965.0","399,429.0","396,908.0","396,604.0","394,214.0","392,427.0","390,454.0","390,803.0","387,707.0","388,274.0","388,257.0","389,449.0","392,317.0","397,572.0","401,347.0","405,270.0","408,300.0","416,213.0","421,511.0","427,765.0","431,453.0","431,842.0","436,326.0","438,444.0","441,698.0","441,615.0","440,235.0","435,545.0","434,257.0","434,178.0","431,435.0","429,580.0","431,570.0","428,959.0","429,694.0","432,418.0","433,885.0","432,948.0","435,845.0","439,293.0","442,155.0","446,258.0","452,100.0","456,294.0","459,749.0","461,726.0","466,468.0","465,533.0","469,402.0","472,870.0","477,272.0","484,130.0","490,077.0","497,724.0"
