"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","    Metalworking machinery","B271RG3",20.358,21.434,21.915,22.4,23.128,25.555,30.621,32.84,36.249,39.93,44.884,51.39,56.172,59.441,60.177,61.022,62.339,66.221,69.392,72.322,74.345,77.517,80.833,82.814,84.504,86.804,89.934,91.971,92.607,93.346,93.786,94.441,94.718,94.524,94.68,96.313,100,101.239,102.609,105.843,106.813
"23","16","    Special industry machinery, n.e.c.","B272RG3",18.255,19.15,20.069,20.608,21.384,24.343,29.287,31.843,35.127,38.493,42.565,47.753,52.932,55.382,57.152,58.577,59.773,63.85,67.695,71.217,73.399,77.186,80.635,83.135,84.564,86.459,89.703,91.868,92.642,93.319,94.296,94.391,94.721,94.16,94.89,97.563,100,102.438,105.636,108.673,109.26
"24","17","    General industrial, including materials handling, equipment","B273RG3",21.958,23.233,24.417,24.961,25.519,27.317,32.902,35.926,38.876,41.773,45.559,51.114,56.047,57.715,58.553,59.097,59.985,63.327,66.637,70.06,72.221,75.708,78.23,80.14,81.654,83.531,86.009,87.631,88.41,89.135,89.843,90.387,91.371,92.14,93.293,95.843,100,102.909,106.449,111.192,113.39
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RG3",31.147,31.867,32.893,32.499,32.987,35.355,42.687,46.328,49.619,52.301,55.511,61.525,67.379,70.949,72.76,73.355,74.64,76.156,78.367,79.514,83.283,87.319,89.719,90.496,91.084,92.086,94.816,95.586,95.588,95.574,95.67,97.049,97.67,96.24,96.188,97.098,100,104.838,110.565,116.051,115.893
"26","19","  Transportation equipment","B681RG3",27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.376,102.921,109.977
"27","20","    Trucks, buses, and truck trailers","B279RG3",23.753,24.859,26.576,27.483,27.824,30.573,34.466,37.485,41.305,44.985,48.797,53.752,60.902,64.619,66.402,68.736,69.942,73.073,72.803,74.386,77.633,79.203,82.833,86.384,89.39,92.799,93.442,94.397,94.87,93.55,95.613,95.052,92.358,92.268,95.568,100.126,100,99.537,100.463,99.338,110.358
"28","21","      Light trucks (including utility vehicles) \3\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.246,76.497,79.747,81.521,87.533,92.055,94.898,99.007,96.301,97.752,98.745,95.901,98.059,96.509,92.504,91.895,96.415,102.114,100,97.474,96.969,93.83,125.121
"29","22","      Other trucks, buses, and truck trailers \3\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.675,69.791,72.892,74.263,76.144,78.934,81.878,84.634,88.297,88.674,88.291,89.541,91.447,92.489,92.3,93.262,94.15,96.495,100,103.38,107.339,110.634,114.015
"30","23","    Autos \3\","B280RG3",45.548,47.215,49.004,48.627,47.837,51.056,53.664,55.703,58.276,64.074,68.929,75.854,75.051,74.098,73.615,72.18,75.622,83.104,86.131,86.564,88.285,91.921,97.061,97.942,95.843,97.365,93.338,96.154,100.076,100.132,98.2,96.053,93.627,95.452,97.037,101.737,100,101.242,102.345,102.694,113.281
"31","24","    Aircraft","B281RG3",16.861,17.906,18.689,19.085,19.802,21.959,23.526,26.467,28.557,30.736,34.188,38.307,42.014,46.566,47.985,49.017,50.276,51.652,52.551,53.634,56.009,59.48,62.92,65.642,67.195,69.279,72.238,74.703,75.8,75.882,76.769,80.504,84.711,86.073,89.805,94.532,100,104.455,107.63,112.492,115.011
"32","25","    Ships and boats","B282RG3",18.577,19.675,20.592,21.556,23.014,26.169,29.226,30.913,33.193,35.92,39.294,43.04,47.171,52.811,54.447,56.727,58.419,60.532,61.746,63.246,65.952,68.49,70.313,71.727,74.175,75.991,77.243,79.215,81.078,82.199,83.207,85.452,87.645,89.993,93.838,97.12,100,103.493,107.833,110.653,114.029
"33","26","    Railroad equipment","B283RG3",18.429,19.644,20.079,21.794,23.017,25.669,33.418,36.784,40.584,43.639,47.544,52.974,58.054,60.368,61.739,62.152,63.009,62.702,62.374,64.591,68.932,71.102,72.601,72.768,73.267,75.68,80.194,82.191,80.823,81.167,81.241,81.64,81.467,81.507,82.922,88.405,100,106.122,110.877,112.919,112.058
"34","27","  Other equipment","B682RG3",21.982,22.877,23.796,24.478,25.325,28.345,33.245,35.734,38.602,41.792,45.578,51,56.558,60.331,61.693,62.879,64.106,66.042,68.062,70.97,73.698,76.463,78.593,80.155,81.661,83.585,85.759,87.508,88.633,89.378,90.285,91.097,92.148,92.961,94.175,96.328,100,102.911,105.788,110.336,112.812
"35","28","    Furniture and fixtures","B667RG3",23.846,24.866,25.78,26.407,28.115,32.093,35.391,37.125,40.294,44.145,47.694,50.919,54.58,57.274,58.968,60.641,62.825,65.022,67.053,70.775,73.466,76.216,77.78,78.576,79.823,82.42,84.85,86.761,88.109,88.509,88.777,89.487,90.664,91.482,92.79,95.286,100,101.943,104.195,109.592,112.416
"36","29","    Agricultural machinery","B268RG3",18.696,19.421,20.305,21.238,21.886,24.835,29.148,31.519,34.066,36.831,40.548,46.408,52.135,57.039,59.51,61.035,61.26,63.533,64.855,66.788,69.557,72.058,75.051,78.151,79.878,81.992,83.832,85.745,86.556,87.387,88.885,89.479,90.406,91.489,93.065,96.028,100,102.604,105.717,111.409,115.397
"37","30","    Construction machinery","B269RG3",17.491,18.354,19.399,20.159,20.873,23.336,29.026,31.492,35.17,38.422,42.312,47.436,52.612,55.576,56.583,56.807,57.539,59.541,63.031,66.628,69.029,72.185,74.16,75.968,77.859,79.721,82.056,83.759,85.207,86.664,88.782,89.966,90.652,91.519,93.054,95.788,100,103.873,106.28,110.087,113.353
"38","31","    Mining and oilfield machinery","B270RG3",16.157,16.919,17.535,18.076,18.717,20.984,26.868,30.08,33.824,37.074,40.853,48.298,56.434,60.733,58.882,58.54,59.148,59.25,59.026,61.763,63.993,66.799,69.583,70.564,71.508,73.084,75.536,77.58,80.302,81.575,82.377,83.47,86.164,87.391,89.075,93.044,100,106.299,111.473,120.352,123.136
"39","32","    Service industry machinery","B570RG3",27.322,28.298,29.294,29.616,30.109,32.524,37.479,39.958,42.66,45.413,48.33,53.585,58.306,61.385,63.159,64.76,66.496,68.068,69.378,71.67,74.597,77.397,79.643,81.363,82.965,84.55,86.946,88.709,90.079,90.783,91.773,92.411,93.34,94.348,95.198,96.768,100,102.623,106.985,110.157,112.029
"40","33","    Electrical equipment, n.e.c.","B670RG3",35.174,36.582,37.742,37.908,38.927,42.584,48.732,51.615,54.919,58.395,62.414,67.306,72.614,75.655,76.178,78.684,80.366,82.173,85.598,87.871,89.92,91.621,92.522,93.818,94.038,94.682,96.725,97.331,97.158,97.04,96.893,97.077,97.319,96.867,97.305,98.477,100,101.888,105.906,109.854,110.424
"41","34","    Other","B286RG3",28.47,29.456,30.196,30.708,31.512,34.99,39.17,41.362,42.08,44.942,48.932,54.864,61.176,65.671,67.097,68.077,68.867,70.809,72.449,75.008,78.028,80.791,83.055,84.369,85.989,87.527,89.386,90.997,91.648,92.245,92.803,93.67,94.734,95.389,96.406,97.738,100,102.747,104.933,107.879,109.25
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RG3",13.963,16.309,13.476,14.069,21.295,36.141,24.621,27.024,25.23,27.297,31.319,33.89,36.247,35.935,36.935,37.933,37.75,37.263,44.484,63.012,61.373,60.012,53.261,50.993,54.088,63.332,71.992,64.935,66.243,56.351,51.698,57.55,51.579,53.321,64.681,105.429,100,122.614,143.341,178.428,110.814
"43","36","Residential equipment","B013RG3",55.115,56.185,57.097,57.285,57.634,61.197,67.078,70.494,72.763,76.288,80.659,85.905,92.104,97.782,100.215,101.017,100.409,100.932,102.363,103.378,104.32,105.091,104.64,104.551,105.107,107.102,107.438,108.008,107.875,107.238,105.489,105.121,104.993,104.112,100.875,97.792,100,101.633,102.245,101.603,99.815
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
