"","Table 1#3#4# Price Indexes for Gross Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","3","  Nonfarm \2\","B358RG3",24.134,24.406,24.647,24.897,25.162,25.535,25.666,26.035,26.312,26.63,26.878,26.979,27.311,27.421,27.592,27.765,27.928,28.235,28.599,29.266,29.914,31.003,31.962,32.943,34.036,34.559,35.107,35.611,36.013,36.411,36.921,37.599,38.135,38.748,39.267,39.963,40.581,41.198,41.917,42.743,43.474,44.72,45.685,46.583,47.774,49.116,49.893,50.965,52.556,53.628,54.753,55.785,56.495,57.185,57.894,58.498,58.758,58.993,59.691,60.029,60.324,60.862,61.371,61.694,62.501,62.917,63.389,63.521,63.859,63.899,63.974,64.222,64.576,64.929,65.449,65.719,66.182,66.757,67.501,68.159,68.642,69.455,69.919,70.264,70.999,71.658,72.248,72.853,73.525,73.899,74.464,74.689,74.814,75.163,75.494,76.033,76.52,76.937,77.363,77.688,77.923,78.319,78.81,79.135,79.494,79.835,80.085,80.276,80.533,80.84,81.134,81.543,81.945,82.333,82.569,82.776,82.79,82.812,83.02,83.001,83.165,83.412,83.667,83.989,84.554,84.967,85.48,85.83,86.217,86.68,86.702,86.908,86.776,87.235,87.507,87.812,88.178,88.291,88.599,88.729,89.387,89.946,90.573,91.341,92.178,92.892,93.841,94.549,95.132,95.932,96.459,96.504,97.389,97.939,98.089,98.34,98.716,99.122,99.86,99.941,100.268,99.863,99.854,100.015,100.391,100.796,101.157,101.648,101.877,102.586,103.208,103.531,103.984,104.528,105.105,105.342,105.655,105.979,106.572,107.028,107.369,107.88,108.337,108.22,108.358,108.968,109.248,109.466,109.546
"12","4","  Farm","B359RG3",76.221,82.802,85.668,89.662,86.498,83.338,85.991,81.717,83.875,85.073,84.339,90.213,92.813,94.456,101.854,112.255,132.703,154.946,185.065,167.279,175.347,133.233,149.879,161.091,130.705,125.122,136.678,143.632,138.365,133.399,132.042,125.875,132.496,130.112,129.746,115.946,142.366,157.548,153.398,160.559,176.576,170.488,163.805,157.02,142.749,111.592,153.982,181.038,158.851,145.24,137.256,122.811,123.444,124.489,130.71,121.096,142.275,152.508,136.857,138.896,164.138,153.188,142.529,141.081,136.287,122.911,108.315,117.005,105.696,113.023,125.45,130.472,122.394,121.851,119.543,122.47,130.799,130.611,147.306,131.073,150.844,142.088,137.674,141.012,144.907,143.831,139.699,132.249,127.753,131.308,121.999,125.196,126.119,123.513,123.303,122.751,122.066,129.673,121.097,129.269,132.825,124.006,111.732,115.562,118.654,118.082,126.034,135.411,140.532,149.863,153.24,138.904,130.271,126.376,119.171,119.649,117.691,119.691,113.269,116.26,111.367,100.445,96.156,93.203,87.75,94.667,87.729,92.431,96.71,103.815,110.302,91.257,104.149,83.292,87.39,91.114,90.556,95.085,104.632,124.303,123.745,137.56,120.056,113.679,107.73,103.25,100.9,99.413,95.21,87.258,97.161,108.409,120.974,125.866,136.81,143.351,144.677,141.443,134.009,113.486,99.054,100.457,93.555,106.934,109.526,108.846,116.61,130.588,150.13,160.698,165.403,152.831,153.407,152.661,165.806,175.08,182.593,169.985,160.259,148.265,150.956,161.128,147.711,143.021,125.323,124.712,123.304,113.269,106.248
"13","5","Households and institutions","B193RG3",14.028,14.228,14.51,14.83,15.029,15.272,15.469,15.658,15.919,16.121,16.322,16.6,16.757,16.924,17.092,17.348,17.598,17.877,18.116,18.374,18.558,18.847,19.164,19.5,19.806,20.086,20.457,20.887,21.305,21.6,21.922,22.285,22.788,23.263,23.776,24.352,24.07,25.103,25.978,26.522,26.72,27.075,27.687,28.469,29.109,29.838,30.605,31.513,32.268,32.997,33.813,34.561,35.173,35.593,36.273,36.91,37.346,37.871,38.364,38.874,39.404,40.101,40.741,41.109,41.21,41.799,42.478,42.988,43.528,44.07,44.57,45.05,45.752,46.309,46.511,48.055,47.951,48.768,49.193,49.722,50.163,50.641,51.246,51.852,52.411,53.232,54.189,54.381,54.96,55.603,55.996,56.592,57.143,57.84,58.006,58.329,58.594,58.845,59.13,59.604,60.302,60.742,61.172,61.656,62.299,62.731,63.167,63.72,64.307,64.676,65.135,65.592,65.981,66.378,66.803,67.175,67.525,68.239,69.006,69.887,70.454,71.326,71.551,72.221,72.957,73.301,73.911,74.347,75.189,76.09,76.995,78.042,78.972,79.616,80.293,80.883,81.437,81.948,82.626,83.566,83.89,84.742,85.796,86.002,86.506,87.113,87.681,88.476,89.501,90.595,91.548,92.62,93.445,93.824,94.355,95.216,95.99,96.494,97.319,98.779,99.253,100.113,100.181,100.453,99.391,99.76,100.213,100.288,100.875,101.364,101.769,101.919,102.772,103.097,103.582,104.205,104.606,105.215,105.882,106.438,107.421,107.942,108.754,109.615,109.629,110.109,110.98,111.72,112.551
"14","6","  Households","B701RG3",16.082,16.218,16.402,16.588,16.795,16.979,17.164,17.374,17.581,17.788,17.993,18.125,18.315,18.446,18.637,18.808,19.087,19.288,19.479,19.707,19.855,20.032,20.305,20.614,21.02,21.304,21.632,22.077,22.526,22.844,23.172,23.532,24.293,24.807,25.264,25.685,26.081,26.504,26.942,27.518,27.966,28.484,29.233,30.132,30.657,31.272,32.076,33.076,33.859,34.701,35.689,36.689,37.444,37.954,38.733,39.452,39.936,40.524,40.942,41.341,41.9,42.585,43.178,43.477,43.184,43.861,44.606,45.208,45.883,46.632,47.098,47.69,48.24,48.953,49.254,49.988,50.716,51.137,51.684,52.23,52.785,53.36,54.045,54.785,55.377,56.245,57.292,57.558,58.02,58.341,58.565,59.179,59.757,60.094,60.332,60.703,61.24,61.675,61.931,62.35,62.889,63.371,63.746,64.213,64.858,65.483,66.093,66.769,67.301,67.76,68.207,68.63,69.15,69.639,70.235,70.75,71.409,72.099,72.78,73.477,73.976,74.476,74.878,75.256,75.993,76.453,77.002,77.678,78.457,79.336,80.216,81.279,82.221,82.871,83.415,83.895,84.366,84.493,84.862,85.475,85.884,86.46,86.872,87.246,87.855,88.291,88.724,89.234,89.926,91.002,92.155,93.221,94.045,94.549,94.982,95.779,96.382,96.925,97.709,98.559,99.706,100.094,100.301,99.899,99.67,99.532,99.579,99.77,100.184,100.562,101.055,101.474,101.916,102.398,102.827,103.262,103.806,104.3,104.792,105.449,106.205,106.823,107.478,108.134,108.871,109.709,110.548,111.326,112.128
"15","7","  Nonprofit institutions serving households \3\","B702RG3",11.211,11.501,11.919,12.428,12.615,12.943,13.158,13.316,13.656,13.852,14.048,14.537,14.648,14.867,15.005,15.383,15.594,15.987,16.296,16.598,16.836,17.29,17.673,18.051,18.215,18.492,18.927,19.337,19.713,19.979,20.294,20.664,20.809,21.23,21.822,22.618,21.359,23.281,24.799,25.299,25.137,25.259,25.681,26.298,27.111,28.01,28.728,29.51,30.23,30.802,31.378,31.777,32.196,32.495,33.043,33.571,33.943,34.387,34.979,35.639,36.131,36.846,37.547,38.009,38.641,39.111,39.699,40.084,40.444,40.708,41.256,41.589,42.495,42.847,42.92,45.519,44.337,45.658,45.927,46.432,46.728,47.083,47.585,48.023,48.542,49.301,50.145,50.248,50.963,51.989,52.582,53.151,53.667,54.789,54.868,55.132,55.073,55.104,55.421,55.956,56.84,57.228,57.723,58.227,58.864,59.057,59.276,59.675,60.327,60.584,61.054,61.552,61.777,62.059,62.271,62.466,62.439,63.179,64.047,65.145,65.792,67.122,67.126,68.159,68.893,69.089,69.776,69.905,70.823,71.749,72.686,73.71,74.623,75.258,76.104,76.828,77.488,78.488,79.566,80.928,81.141,82.358,84.268,84.249,84.61,85.454,86.213,87.409,88.908,90.029,90.696,91.778,92.606,92.807,93.476,94.427,95.441,95.891,96.774,99.09,98.626,100.138,100.017,101.219,99.009,100.076,101.084,101,101.82,102.461,102.745,102.532,103.938,104.057,104.616,105.488,105.7,106.461,107.361,107.782,109.07,109.461,110.483,111.623,110.661,110.658,111.572,112.262,113.132
"16","8","General government \4\","B765RG3",12.716,12.871,13.263,13.44,13.942,14.211,14.453,14.69,15.208,15.515,15.745,15.997,16.606,16.802,16.986,17.313,17.624,17.889,18.127,18.458,18.664,19.001,19.379,19.931,20.3,20.734,21.044,21.458,21.701,21.93,22.127,22.538,22.906,23.26,23.578,24.189,24.53,24.85,25.164,25.642,26.139,26.493,27.079,27.722,28.181,28.72,29.366,30.631,31.259,31.72,32.111,33.073,33.588,34.072,34.619,35.34,35.705,36.072,36.488,36.881,37.746,38.162,38.597,39.064,39.756,39.999,40.287,40.784,41.056,41.444,41.86,42.341,42.679,43.087,43.465,43.815,44.438,44.996,45.445,45.932,46.733,47.236,47.77,48.284,48.95,49.622,50.115,50.818,51.687,52.192,52.805,53.417,54.276,54.998,55.447,55.889,56.232,56.586,57.049,57.446,57.987,58.497,58.817,59.41,59.942,60.156,60.42,61.057,61.681,61.435,61.797,62.179,62.802,63.175,63.499,63.95,64.424,64.813,65.31,65.931,66.88,67.63,68.307,68.977,69.913,70.329,71.191,71.882,72.667,73.279,74.006,74.69,75.781,76.134,76.605,77.524,79.032,79.771,80.44,81.114,82.862,83.817,84.591,85.196,86.72,87.375,88.108,88.784,90.253,91.032,91.65,92.441,94.285,94.858,95.519,96.113,97.485,98.181,98.74,99.302,99.645,99.778,100.128,100.449,101.831,102.787,103.395,103.75,104.222,105.023,105.474,105.257,106.082,106.262,106.583,107.177,107.645,108.105,108.696,109.984,109.968,110.599,111.307,111.721,112.235,112.743,113.205,113.792,114.391
"17","9","  Federal","B766RG3",15.088,15.164,15.769,15.912,16.71,17.004,17.274,17.562,18.328,18.71,18.967,19.419,20.344,20.534,20.611,21.17,21.538,21.837,22.149,22.721,22.794,23.095,23.458,24.303,24.687,25.027,25.285,26.011,26.233,26.41,26.664,27.424,27.733,27.973,28.118,29.112,29.457,29.736,30.056,30.957,31.255,31.548,31.864,33.164,33.544,33.892,34.438,36.718,37.054,37.434,37.969,39.794,40.161,40.562,41.028,41.922,41.993,42.05,42.438,42.758,43.961,44.263,44.584,44.91,45.82,45.699,45.736,46.428,46.448,46.727,46.968,47.239,47.077,47.268,47.481,47.801,48.891,49.552,49.98,50.009,51.052,51.243,51.457,51.519,52.173,52.768,52.876,53.69,54.935,55.23,55.738,56.015,56.944,57.476,57.693,57.863,58.173,58.488,59.075,59.51,60.002,60.62,60.613,61.291,62.446,62.309,62.453,63.791,64.446,63.787,63.884,64.229,65.228,65.432,65.564,65.961,66.559,66.655,66.783,67.089,68.347,68.833,69.188,69.65,71.213,70.929,72.03,72.328,72.807,72.944,73.482,74.334,77.084,77.099,77.055,78.48,81.737,82.252,82.539,82.463,85.346,85.766,86.019,85.961,89.488,89.889,90.573,90.604,93.407,93.588,93.259,93.583,96.407,97.069,97.08,97.268,99.174,99.574,99.524,99.043,100.45,99.749,99.749,100.052,102.232,102.932,103.423,103.805,104.564,105.164,105.696,105.644,105.909,106.121,106.253,106.161,106.191,106.446,106.816,109.477,108.44,109.033,109.644,109.986,110.66,111.06,111.479,112.319,113.321
"18","10","  State and local","B767RG3",11.456,11.683,11.924,12.137,12.431,12.695,12.924,13.132,13.488,13.751,13.969,14.092,14.505,14.711,14.967,15.151,15.43,15.676,15.871,16.062,16.349,16.709,17.1,17.483,17.846,18.334,18.673,18.912,19.166,19.425,19.591,19.806,20.207,20.625,21.04,21.437,21.775,22.117,22.428,22.673,23.278,23.663,24.397,24.679,25.181,25.822,26.522,27.227,28.015,28.521,28.831,29.31,29.908,30.438,31.032,31.654,32.189,32.736,33.171,33.608,34.279,34.764,35.27,35.823,36.389,36.852,37.292,37.675,38.099,38.555,39.079,39.687,40.327,40.868,41.35,41.721,42.067,42.567,43.031,43.794,44.458,45.146,45.871,46.652,47.328,48.048,48.766,49.408,50.065,50.694,51.371,52.177,53.001,53.831,54.412,55.004,55.366,55.742,56.139,56.517,57.087,57.543,58.032,58.583,58.799,59.188,59.512,59.81,60.421,60.373,60.86,61.26,61.708,62.158,62.569,63.046,63.464,63.983,64.644,65.404,66.217,67.081,67.895,68.654,69.322,70.037,70.795,71.652,72.565,73.376,74.181,74.794,75.197,75.688,76.372,77.08,77.853,78.686,79.516,80.508,81.772,82.955,83.952,84.842,85.505,86.269,87.023,87.978,88.87,89.907,90.933,91.927,93.348,93.882,94.822,95.591,96.73,97.554,98.382,99.411,99.274,99.79,100.304,100.632,101.638,102.718,103.383,103.726,104.058,104.958,105.368,105.07,106.173,106.336,106.75,107.681,108.362,108.922,109.619,110.247,110.722,111.371,112.127,112.575,113.014,113.573,114.056,114.523,114.931
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",16.101,16.24,16.422,16.59,16.772,16.943,17.118,17.333,17.546,17.762,17.957,18.089,18.254,18.387,18.572,18.748,19.019,19.218,19.419,19.636,19.773,19.894,20.107,20.435,20.863,21.16,21.464,21.851,22.201,22.513,22.942,23.465,23.965,24.482,24.949,25.385,25.765,26.145,26.537,27.074,27.468,27.963,28.704,29.619,30.179,30.794,31.622,32.616,33.356,34.147,35.107,36.099,36.84,37.382,38.16,38.883,39.461,39.987,40.385,40.763,41.323,42.019,42.625,43.029,43.013,43.747,44.51,45.194,45.842,46.674,47.156,47.741,48.287,48.911,49.276,49.984,50.711,51.101,51.645,52.176,52.724,53.292,53.964,54.703,55.305,56.144,57.113,57.448,57.913,58.282,58.585,59.214,59.874,60.26,60.517,60.88,61.364,61.756,62.001,62.425,62.959,63.422,63.785,64.239,64.787,65.348,65.886,66.484,66.987,67.422,67.868,68.273,68.785,69.269,69.838,70.335,70.924,71.556,72.219,72.883,73.371,73.873,74.309,74.761,75.515,76.007,76.606,77.301,78.059,78.949,79.836,80.885,81.822,82.468,83.004,83.482,83.95,84.132,84.523,85.088,85.511,86.099,86.539,86.929,87.535,87.992,88.457,88.977,89.659,90.695,91.828,92.875,93.74,94.32,94.837,95.685,96.327,96.929,97.766,98.648,99.718,100.126,100.275,99.881,99.69,99.601,99.664,99.838,100.322,100.747,101.312,101.825,102.308,102.808,103.279,103.814,104.388,104.934,105.489,106.156,106.919,107.612,108.344,109.062,109.854,110.744,111.664,112.52,113.373
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
