"","Table 5#5#5# Private Fixed Investment in Equipment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Computers and peripheral equipment","B935RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4
"12","5","    Communication equipment \1\","C275RC1",0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.4,0.3,0.3,0.5,0.5,0.3,0.3,0.6,0.7,0.4,0.7,0.7,0.6,0.7,0.9,1.1,1.2,1,1.2,1.4,1.7,1.5,1.8,2.3,2.7,3,2.9,3,3.5,4,4.2,4.6,5.7
"13","6","    Medical equipment and instruments","W176RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1
"14","7","    Nonmedical instruments","W177RC1",0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8
"15","8","    Photocopy and related equipment","C285RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5
"16","9","    Office and accounting equipment","B936RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.3,1.3,1.2,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4
"17","10","  Industrial equipment","A680RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1
"18","11","    Fabricated metal products","C263RC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.9,1.1,1,0.9,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1
"19","12","    Engines and turbines","A668RC1",0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1
"20","13","    Metalworking machinery","C271RC1",0.2,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.6,0.4,0.7,1,1.1,1.4,1.6,1.3,1.8,1.9,1.2,1.3,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4
"21","14","    Special industry machinery, n.e.c.","C272RC1",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.7,1.1,1.2,1,1.2,1.4,1.2,1.3,1.2,1.4,1.7,1.7,1.5,1.7,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7
"22","15","    General industrial, including materials handling, equipment","C273RC1",0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.4,0.6,0.9,0.9,1.3,1.3,1,1.1,1.4,1.3,1.5,1.5,1.9,2.2,2.3,2.1,2.2,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5
"23","16","    Electrical transmission, distribution, and industrial apparatus","C276RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,0.7,0.6,0.8,1.1,1.2,1.4,1.4,1.4,1.8,2,1.7,1.8,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1
"24","17","  Transportation equipment","A681RC1",2.1,1.6,0.9,0.5,0.5,0.8,1.1,1.5,1.7,1.1,1.4,1.9,2.4,1,0.9,1,1.7,3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9
"25","18","    Trucks, buses, and truck trailers","C279RC1",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.1,0.1,0.3,0.9,1.2,1.7,2.1,1.8,2.1,2.4,1.9,1.8,1.7,2.4,2.5,2.3,2.1,2.6,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.2
"26","19","      Light trucks (including utility vehicles) \2\","W178RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","20","      Other trucks, buses, and truck trailers \2\","W179RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","    Autos \2\","C280RC1",1.1,0.7,0.5,0.3,0.3,0.4,0.6,0.8,0.8,0.5,0.7,0.9,1.2,0.3,0.3,0.2,0.2,1,1.8,2,2.5,3.2,2.6,2.2,3.2,3.3,4,3.2,3.6,2.6,3.7,3.8,3.5,4.3,4,4.2,5.1,4.8,4.6,6,6.3
"29","22","    Aircraft","C281RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.9,0.8,0.8,0.8,0.5,0.8,1.3,1.8,2.5,3.7,2.8
"30","23","    Ships and boats","C282RC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9
"31","24","    Railroad equipment","C283RC1",0.4,0.4,0.1,0,0,0.1,0.1,0.2,0.4,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.1,1.1,0.9,1.2,1.1,1,0.6,0.7,0.9,1.3,0.6,0.6,0.9,0.6,0.9,1,1.4,1.7,2,1.8,1.3,1.8
"32","25","  Other equipment","A682RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.2,5.4,4.7,5.1,5.6,5.7,5.7,5.4,6.4,6.9,6.8,7,7.7,7.2,7.2,7.7,9.1,10.2,11.5,13.2,12.8,13.4,14.9
"33","26","    Furniture and fixtures","A667RC1",0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.7,0.7,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.6,1.8,1.9,2.2,2.3,2.3,2.7
"34","27","    Agricultural machinery","C268RC1",0.4,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.4,0.6,0.4,0.2,0.6,0.7,0.5,1,1.5,1.6,1.7,1.8,1.7,1.6,1.4,1.6,1.4,1.4,1.8,1.9,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4
"35","28","    Construction machinery","C269RC1",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4,0.5,0.6,0.8,0.6,0.7,0.8,0.9,0.8,0.7,1,1.3,1,1.1,1.3,1.1,1.1,1.1,1.5,1.9,2.2,2.5,2.3,2.5,2.9
"36","29","    Mining and oilfield machinery","C270RC1",0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.7
"37","30","    Service industry machinery","C570RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,1,1.4,0.9,1,0.9,1,1.1,1.1,1.2,1.4,1.5,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.8,2.1,2.1,2.3,2.6
"38","31","    Electrical equipment, n.e.c.","A670RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.4,0.4
"39","32","    Other","C286RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,2,1.8,2,2.2
"40","33","  Less: Sale of equipment scrap, excluding autos","C287RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.5
"41","34","Residential equipment","B013RC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","  Private fixed investment in equipment","Y032RC1",5.6,4.2,2.7,1.5,1.5,2.1,2.9,4,4.9,3.5,4,5.3,6.6,4.1,3.7,5,7.3,10.1,15.6,17.6,16,18.2,20.2,20.1,21.9,21.2,24.3,26.8,29,25.4,28.9,30.2,29.4,32.6,35,39.3,46.5,53.7,54.4,59.4,66.2
"44","36","  Less: Dealers' margin on used equipment","B549RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5
"45","37","  Less: Net purchases of used equipment from government","B550RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.6,0.3,0.1,0.1,0.2,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"46","38","  Plus: Net sales of used equipment","B554RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,0.5,0.7,0.9,0.9,0.9,0.8,0.9,0.9,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.7,2,2.3,2.5,2.7
"47","39","  Plus: Net exports of used equipment","B555RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
"48","40","  Plus: Sale of equipment scrap","B556RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.4,0.5
"49","41","  Equals: Private fixed investment in new equipment","Y035RC1",5.5,4.2,2.7,1.5,1.5,2.1,2.9,3.9,4.8,3.5,3.9,5.2,6.5,4.1,3.7,5,7.2,9.5,15.1,17.5,16.4,18.6,20.8,20.8,22.8,21.9,25,27.4,29.8,26.2,29.9,31.2,30.6,33.9,36.4,40.9,48.3,55.7,56.7,61.8,69
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. For 1929-45, includes electrical transmission, distribution, and industrial apparatus (line 16) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","electrical equipment, n.e.c. (line 31).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.5B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
