"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215"
"11","54","  Durable goods industries","KS30DF0",80055,80926,79895,81680,82372,82737,83797,84143,84271,85999,85035,85655,86523,87833,88809,88382,88669,88428,88416,88921,89547,89938,91234,91084,90725,90980,91810,92247,92412,92292,91847,92976,92833,93094,93384,94143,94425,94580,94249,95207,94219,94953,96339,97631,97317,98912,98739,98605,100309,100046,98478,99257,98996,99134,98114,97627,96707,95839,94927,94424,93991,93936,93490,93929,93684,93529,94009,93927,93571,93842,93918,93708,93541,94224,94139,94019,93745,93452,93068,92908,92394,92105,91653,92281,91462,91496,91544,91034,91823,92277,92104,92967,93940,93432,93380,94467,95010,96329,97274,97891,98069,97757,98687,99137,98326,98958,99551,99652,100742,100870,100536,100882,101214,101913,102185,103631,103891,104155,105176,105069,105492,106119,106060,105530,104835,104873,104252,103658,104673,103906,104084,105245,104888,104633,104697,104171,103476,102888,102372,102837,102334,102323,101995,102531,101587,100366,99125,98624,97300,96108,95472,94825,93546,93375,93532,93567,93799,93709,93835,93909,94210,94669,95367,95758,96327,96426,96790,96049,96351,97521,97888,97971,98461,98697,99336,100079,100385,100536,100797,100439,100460,100680,101110,101620,102739,102924,103512,104181,103967,104570,104565,103758,103713,103421,103052,103270,103127,103740,103692,103772,104541,104706,105135,105915,106069,106570,106931,107025,107305,107212,107266,107928
"12","55","    Wood product manufacturing","KS321F0",3671,3643,3628,3595,3570,3623,3768,3873,3918,3994,4011,3934,3874,3873,3835,3944,3982,3803,3917,4102,4117,4170,4246,4179,4141,4114,4084,4051,4187,4337,4583,4388,4325,4323,4343,4477,4528,4541,4495,4668,4505,4680,4858,4685,4579,4703,4655,4802,4733,4768,4638,4598,4767,5029,5059,4982,4761,4763,4633,4471,4796,4576,4719,4740,4828,4683,4640,4697,4879,4896,4807,4737,4774,4870,4784,4746,4662,4541,4490,4401,4455,4451,4537,4525,4419,4563,4649,4705,4798,4751,4614,4662,4796,4583,4748,4723,5051,5123,5216,5181,5109,5115,5117,5087,5041,5189,5139,5126,5112,5039,5015,5149,5175,5285,5305,5348,5397,5276,5257,5243,5253,5227,5242,5191,5015,5117,5181,5170,5072,5081,5004,5026,4998,4688,4567,4568,4531,4596,4609,4580,4627,4542,4386,4447,4400,4187,4118,4047,3876,3879,3864,3854,3795,3718,3696,3659,3688,3780,3800,3793,3919,3917,3894,3898,3908,3894,3832,3831,3936,3976,3841,3845,3847,3797,3865,3920,3902,3903,3960,3926,3893,3877,3863,3870,3827,3861,3860,3886,3956,4034,4200,4045,4094,4063,4134,4155,4212,4247,4238,4247,4258,4265,4260,4345,4394,4444,4476,4486,4477,4426,4444,4452
"13","56","    Nonmetallic mineral product manufacturing","KS327F0",7045,7012,7071,7093,7115,7292,7117,7020,6947,6801,6905,6990,6979,7017,7092,7094,7150,7095,6972,6946,6987,7037,7104,7030,7056,7012,6889,6790,6924,6831,6851,7041,7017,7130,7143,7214,7311,7242,7095,7187,7085,7057,7087,7053,7108,7096,7170,7263,7219,7145,7207,7148,7086,7150,7077,7015,7017,6957,6902,6885,6770,6792,6796,6758,6785,6806,6795,6906,6945,6988,7039,7127,7144,7122,7248,7440,7458,7491,7417,7390,7336,7171,7018,7020,7031,7019,7004,6995,7011,6954,6934,7002,7044,7185,7204,7214,7146,7309,7211,7228,7202,7238,7322,7259,7233,7216,7251,7285,7343,7299,7313,7357,7321,7344,7382,7385,7515,7611,7664,7619,7490,7583,7565,7573,7609,7633,7622,7653,7697,7683,7708,7776,7611,7536,7576,7541,7587,7533,7430,7366,7279,7283,7335,7366,7250,7084,6985,6908,6845,6786,6683,6560,6538,6501,6446,6359,6290,6240,6237,6165,6202,6209,6247,6204,6295,6293,6319,6331,6226,6285,6249,6246,6280,6319,6342,6357,6402,6452,6517,6579,6510,6492,6472,6491,6485,6518,6542,6588,6576,6638,6612,6569,6580,6467,6534,6552,6611,6614,6595,6648,6726,6680,6722,6768,6855,6760,6877,6915,6935,6942,6876,6892
"14","57","    Primary metal manufacturing","KS331F0",8738,8714,8995,8938,8953,8997,8944,9115,9129,9166,9363,9368,9458,9325,9294,9327,9452,9585,9653,9847,9896,9911,9836,9898,9803,9812,9568,9750,9877,9911,9925,9970,9900,10001,10041,9915,10022,9947,9897,9998,10042,9915,10020,9970,10019,10107,10092,10001,10178,10044,9939,9837,9635,9514,9435,9282,9429,9397,9205,9247,9153,9323,9273,9226,9238,9284,9213,9237,9227,9158,9318,9328,9348,9301,9316,9469,9333,9302,9288,9279,9101,8979,9094,9054,9008,8972,8817,8791,8802,8861,8878,8969,9180,9369,9492,9726,9791,10096,10640,10576,10430,10373,10431,10334,10139,10256,10281,10370,10491,10415,10234,10245,10398,10315,10298,10366,10440,10772,10682,10482,10458,10610,10597,10681,10227,10506,10796,10960,10807,10606,10636,10759,10939,10929,11164,10992,11104,10985,10761,11224,10950,10670,10032,9611,9352,8972,8623,8264,7902,7576,7424,7345,7403,7627,7613,7888,7868,7965,8119,8312,8286,8309,8528,8496,8383,8441,8595,8619,8740,8900,8887,9012,9186,9380,9422,9462,9519,9613,9735,9676,9707,9682,9662,9700,9957,9926,9906,9950,10060,10118,9956,10161,10155,10340,10338,10136,9907,10057,10044,10039,10147,10000,10109,10381,10332,10464,10790,10715,10752,10919,10819,11056
"15","58","    Fabricated metal product manufacturing","KS332F0",12888,12940,12893,12980,13131,13178,13048,13083,13111,13252,13289,13343,13469,13828,13699,13650,13751,13865,13848,13990,13958,14038,14244,14207,14308,14229,14555,14549,14480,14303,14375,14326,14203,14423,14535,14612,14911,14628,14473,14529,14501,14640,14631,14860,14927,15010,15060,15128,15344,15270,15222,15220,15281,15151,15090,15021,15066,15174,14981,14775,14790,14803,14781,14895,14738,15084,14909,15006,15117,15118,15100,15233,15349,15980,16181,15895,15842,15664,15433,15135,15017,15059,15090,15002,14804,14884,14843,14718,14795,14949,15115,15171,15121,14888,14696,14820,14901,15104,15111,15377,15487,15462,15361,15300,15164,15100,15214,15347,15395,15452,15621,15519,15495,15378,15377,15558,15659,15600,15749,15835,15983,15986,16075,15919,15884,15923,15819,15414,15568,15778,15922,16084,16099,16057,16020,16202,16084,15877,15963,16029,16009,16003,16031,16216,16161,16348,16168,15812,15731,15688,15645,15665,15171,15034,15019,15130,15282,15102,15078,15065,15069,15107,15284,15280,15294,15313,15351,15325,15185,15493,15714,15742,15853,15838,15934,16039,16141,16205,16301,16230,15978,16037,16011,16025,16130,16235,16272,16306,16351,16339,16227,16269,16226,16236,16468,16506,16538,16530,16571,16592,16581,16707,16891,17009,17008,16952,16983,17070,17066,17062,17155,17256
"16","59","    Machinery manufacturing","KS333F0",13592,13667,13380,13560,13818,13892,13754,13741,13831,14136,14015,14081,13961,14359,14515,14525,14361,14265,14597,14775,14958,15073,15375,15345,15282,15085,15105,15250,15097,15003,14780,14799,14970,15172,15306,15353,15239,15484,15628,16622,15581,15527,15872,16276,16066,16224,16281,15976,16497,16158,16216,16339,15905,15917,15613,15527,15438,14799,14589,14454,14484,14310,14467,14340,14345,14222,14480,14442,14575,14612,14671,14762,14707,14835,14575,14692,14659,14535,14492,14125,13954,13995,13819,13979,13991,13907,14039,13823,13793,13961,13969,14163,14128,13973,13980,14189,14117,14369,14479,14380,14628,14469,14931,15051,15141,14795,14910,15072,15322,15291,15212,15275,15401,15428,15286,15732,16026,16211,16216,16313,16281,16538,16237,16252,16436,16272,16366,16146,16417,16213,16491,16543,16755,16758,16854,16834,16676,16334,16239,16090,15696,15812,16159,16448,16513,16241,15999,16028,15651,15616,15332,15210,15000,14976,15041,15033,14840,14584,14583,14579,14640,14880,15058,14894,14967,15172,15328,15254,15197,15385,15643,15777,15837,15886,16153,16697,16466,16699,16715,16499,16892,17353,17448,17678,17860,18038,18232,18652,18717,18702,18575,18315,18325,18055,18274,18363,18307,18177,18137,18079,18308,18244,18370,18321,17967,17871,17771,17818,17797,17637,18070,17924
"17","60","    Computer and electronic product manufacturing","KS334F0",9960,9948,9468,10136,10242,10178,10753,11229,10923,11218,11276,11174,11370,11666,11934,11857,11941,11984,11664,11558,11647,11623,11705,11697,11470,11889,12416,12452,12448,12443,11947,12600,12625,12418,12303,12592,12516,12241,12197,12169,12255,12084,12323,12440,12907,13612,13811,13986,14306,14562,13575,13882,14296,14512,14227,14227,13507,13361,13328,13023,13178,13002,12478,12808,12754,12474,12695,12743,11730,11832,11755,11575,11481,11556,11818,11660,11640,11777,11790,11783,11992,11891,11819,11838,11528,11609,11581,11328,11721,11939,11838,11978,12168,12126,11925,12284,12466,12512,12505,12609,12722,12750,12834,12842,12673,12812,12967,12948,12969,12754,13139,13457,13374,13312,13446,13348,13573,13180,13667,13723,14099,13993,14280,14542,14002,13914,13302,13480,14044,13686,13699,13918,13791,13912,14131,13964,14135,14173,14333,14530,14346,14450,14455,14764,14354,14155,13883,14232,14308,14102,14054,14185,13936,14038,14247,14280,14217,14373,14467,14410,14332,14596,14659,14826,15296,15322,15073,15172,15424,15590,15641,15596,15754,15906,15829,15783,15924,15808,15915,15963,16005,16067,16209,16522,16748,16413,16660,16845,16476,16745,16849,16560,16507,16540,16543,16430,16616,17010,16882,16951,17152,17056,17119,17335,17138,17130,17192,17175,17389,17363,16959,17519
"18","61","    Electrical equipment, appliance, and component manufacturing","KS335F0",4326,4423,4362,4435,4538,4574,4735,4759,4671,4594,4591,4530,4601,4678,4750,4767,4740,4685,4752,4788,4862,4959,5013,4987,4892,4869,4822,4938,4917,4938,4857,4739,4890,4863,4854,4831,4747,4767,4807,4832,4936,4845,4873,5074,5028,5111,4731,5050,5073,5017,5028,4906,4749,4679,4517,4551,4501,4506,4497,4611,4659,4768,4684,4709,4691,4732,4771,4720,4804,4799,4775,4644,4570,4603,4633,4657,4679,4597,4520,4475,4434,4448,4544,4524,4433,4363,4343,4246,4340,4375,4491,4527,4492,4443,4325,4311,4327,4348,4341,4438,4435,4350,4291,4217,4202,4280,4199,4210,4313,4293,4362,4267,4224,4461,4441,4531,4502,4472,4603,4692,4782,4724,4725,4704,4646,4628,4673,4859,4831,5066,5015,5039,5046,5118,4980,4990,4915,4875,4848,4795,4826,4842,4943,4940,4658,4667,4608,4613,4563,4435,4407,4368,4348,4165,4127,4171,4072,4195,3994,3941,3963,4032,4062,4088,4229,4186,4147,4135,4144,4194,4140,4172,4252,4276,4268,4326,4305,4274,4356,4337,4480,4498,4458,4463,4424,4434,4438,4434,4477,4468,4407,4375,4489,4434,4481,4478,4433,4461,4487,4463,4496,4564,4577,4625,4643,4681,4713,4694,4752,4686,4785,4776
"19","62","    Transportation equipment manufacturing","KS336F0",11658,12246,12005,12464,12661,12691,13230,12410,13021,13835,12556,13161,13605,13719,14147,13756,13667,13702,13572,13613,13827,13947,14377,14553,14707,14633,14737,14715,14643,14775,14920,15220,14897,14604,14787,14908,14685,15344,15078,14798,14686,15565,15900,16301,15497,15598,15378,14895,15221,15064,14947,15510,15378,15203,15252,15063,15186,15275,15284,15432,14550,14837,15169,15178,15117,14952,14972,14762,14914,15157,15084,14938,14793,14508,14056,13890,13929,14105,14277,14785,14125,14069,14066,14219,14177,14060,14168,14443,14418,14414,14328,14402,14901,14695,14867,14926,14864,15290,15525,15830,15638,15400,15597,15873,15499,16038,16204,15780,16168,16722,15937,15957,16270,16715,16877,17496,16820,17030,17378,17098,17170,17371,17223,16956,17061,16923,16540,16146,16326,15906,15664,16092,15682,15745,15531,15369,15028,15209,14856,14669,14956,14957,14843,14579,14659,14428,14362,14387,14098,13720,13798,13436,13149,13167,13194,13075,13454,13298,13440,13328,13356,13149,13107,13400,13202,12983,13293,12342,12327,12557,12583,12495,12536,12449,12722,12726,12924,12581,12370,12485,12534,12526,12731,12594,13008,13138,13060,13025,12911,13158,13375,13049,12910,12759,11816,12177,12062,12225,12338,12293,12591,12655,12497,12399,12942,13353,13103,13103,13022,13130,13115,12982
"20","63","      Motor vehicle and parts manufacturing","KS3MVF0",6543,6643,6519,6541,6658,6401,6344,6035,6229,6322,6236,6335,6562,6483,6560,6461,6420,6454,6335,6365,6529,6768,6968,6740,6821,6857,6881,6975,6834,7066,7141,7278,7194,7214,7182,7156,7220,7381,7394,7269,7230,7686,7776,7835,7671,7795,7821,7634,7618,7412,7481,7645,7526,7422,7395,7244,7177,7118,6975,7136,6605,6627,6984,7137,7306,7109,7352,7176,7455,7553,7538,7428,7467,7376,7055,7026,7145,7293,7449,7800,7302,7395,7322,7554,7912,7645,7578,7553,7361,7480,7323,7385,7787,7659,7793,7670,7643,7823,8018,8094,8089,8013,7928,8141,7879,8064,8317,7893,8243,8541,7950,7683,7597,7700,7600,7840,8123,8311,8472,7882,7964,8204,8189,8044,8179,8146,8171,7911,7882,7579,7463,7970,7553,7636,7701,7636,7501,7629,7478,7369,7639,7878,7722,7694,7737,7447,7400,7278,7081,6714,6784,6657,6676,6741,6848,6963,7171,7557,7826,7712,7798,7688,7737,8021,7781,7601,7974,7393,7157,7418,7568,7461,7530,7496,7698,7787,7809,7709,7623,7645,7762,7559,7586,7597,7794,7759,7641,7769,7514,7840,7783,7787,7571,7330,6626,6953,6886,6967,6993,6892,7198,7307,7005,6989,7362,7712,7707,7676,7270,7338,7323,7048
"21","64","      Other transportation equipment manufacturing","KS3OTF0",5073,5570,5452,5903,5984,6288,6898,6386,6810,7551,6323,6843,7059,7263,7622,7323,7275,7273,7267,7278,7323,7193,7426,7846,7919,7807,7887,7769,7842,7736,7807,7970,7729,7413,7629,7778,7488,7990,7705,7550,7476,7901,8145,8491,7846,7823,7574,7277,7624,7675,7484,7887,7875,7804,7881,7844,8039,8191,8346,8330,7977,8242,8217,8073,7843,7873,7650,7615,7488,7633,7574,7536,7353,7160,7026,6888,6811,6840,6858,7020,6850,6706,6773,6700,6316,6457,6628,6920,7080,6962,7028,7042,7146,7067,7107,7286,7250,7497,7539,7768,7581,7419,7699,7763,7648,8000,7917,7913,7955,8214,8013,8291,8685,9026,9287,9666,8711,8736,8925,9226,9218,9180,9049,8926,8896,8792,8383,8248,8458,8343,8218,8134,8144,8124,7841,7743,7536,7586,7383,7306,7321,7083,7124,6885,6922,6982,6962,7110,7018,7009,7013,6776,6469,6422,6341,6112,6286,5752,5628,5631,5574,5478,5389,5402,5441,5402,5343,4972,5190,5161,5040,5059,5031,4978,5050,4965,5141,4898,4773,4865,4797,4992,5170,5022,5239,5404,5444,5282,5420,5344,5616,5287,5362,5450,5206,5243,5195,5277,5363,5416,5413,5370,5507,5426,5598,5663,5420,5450,5768,5809,5808,5945
"22","65","    Furniture and related product manufacturing","KS337F0",2862,2839,2829,2850,2871,2890,2937,2863,2818,2780,2776,2844,2768,2787,2827,2820,2901,2823,2825,2810,2800,2879,2919,2880,2819,2891,2872,2899,2890,2873,2872,2900,2991,3129,3002,3076,3214,3217,3238,3171,3194,3180,3170,3212,3245,3189,3225,3184,3171,3209,3275,3275,3136,3134,3097,3142,3207,3184,3119,3083,3083,3020,2943,2942,2941,2996,3053,3139,3271,3249,3344,3371,3392,3400,3325,3324,3271,3237,3310,3251,3135,3177,3138,3192,3177,3249,3190,3201,3191,3169,3141,3191,3215,3318,3248,3343,3331,3378,3338,3403,3417,3323,3316,3386,3449,3426,3416,3508,3462,3436,3510,3459,3403,3476,3465,3494,3477,3523,3520,3431,3387,3449,3438,3368,3358,3361,3286,3279,3308,3310,3281,3306,3272,3249,3233,3192,3112,3100,3103,3122,3141,3151,3080,3087,3045,3024,2988,2930,2874,2807,2825,2770,2777,2753,2720,2694,2702,2689,2680,2704,2751,2735,2691,2719,2723,2742,2748,2737,2757,2741,2746,2688,2627,2586,2557,2587,2591,2583,2577,2578,2555,2548,2550,2578,2589,2578,2587,2611,2614,2663,2684,2721,2649,2687,2669,2636,2616,2612,2601,2615,2587,2583,2575,2572,2558,2589,2591,2592,2586,2544,2523,2539
"23","66","    Miscellaneous durable goods manufacturing","KS339F0",6193,6351,6379,6345,6193,6255,5948,6194,6224,6396,6414,6474,6606,6667,6687,6658,6722,6609,6788,6774,6770,6630,6748,6637,6661,6642,6682,6795,6918,6824,6879,6880,6893,7052,7165,7140,7299,7283,7436,7430,7552,7599,7686,7833,7854,7949,7917,7888,8074,8171,8133,8097,8108,8087,8040,8067,8124,7988,7899,8049,8080,8148,7999,8037,7963,8146,8242,8050,8244,8128,8167,8210,8240,8353,8472,8575,8584,8451,8255,8433,8912,8930,8629,9002,9011,8961,8989,8877,8989,8920,8846,8945,8908,8881,8943,8945,9012,8819,8941,8889,9018,9290,9500,9779,9788,9823,9934,9989,10158,10167,10171,10156,10115,10168,10265,10346,10477,10482,10420,10624,10555,10611,10638,10297,10605,10581,10643,10489,10557,10540,10628,10668,10634,10573,10546,10427,10185,10110,10161,10293,10392,10541,10712,11086,11205,11276,11407,11417,11464,11511,11450,11443,11445,11415,11449,11291,11398,11495,11446,11608,11696,11740,11823,11946,12035,12080,12092,12278,12388,12364,12405,12339,12212,12163,12152,12093,12118,12309,12239,12068,11807,11505,11621,11623,11627,11691,11867,11808,11734,11631,11642,11615,11692,11741,11689,11738,11743,11737,11726,11775,11639,11882,11939,12083,12153,12245,12351,12369,12451,12426,12417,12455
"24","67","  Nondurable goods industries","KS30NF0",101579,101260,102199,102789,102929,103875,103404,104001,104065,104345,105925,105488,105606,105844,106065,106042,106722,106340,106610,106452,106323,106904,107624,106398,106923,106692,107331,107376,108170,108212,108887,109815,110420,111245,111740,111428,111904,112630,111953,112407,112694,113219,113820,113660,114155,114771,114562,114874,115761,114118,114125,113947,113312,112855,112106,111946,111809,112027,111909,112484,112826,110939,111347,111861,111566,112257,112096,112100,113283,113946,113400,114207,112887,113809,113498,113922,113683,114093,114111,114176,113724,113293,112907,112987,112301,112367,112401,111788,113277,113296,113830,114521,113981,113914,115174,114490,116600,116612,116313,116884,115692,116425,116581,115802,115086,115617,115748,116997,118127,118769,119116,118639,118983,118637,118312,118703,118971,120207,120013,120120,119641,119241,119162,119915,120556,120575,121594,121390,122126,121902,122273,121871,122926,122425,122775,121819,119383,122871,120689,120599,118632,119155,119674,115983,115753,115220,115682,114806,114758,115048,114201,115034,114088,115594,115520,114125,114846,115264,115069,115658,115653,115748,116317,116743,117608,118642,119222,119674,120525,119765,119564,121588,121681,121637,121817,121073,120605,121049,121591,120934,120903,121483,120706,120861,120010,119645,119792,119988,120337,119751,119562,120363,120721,120009,120263,120038,120083,120570,119879,119778,119127,119436,119531,118922,118451,118020,117649,117735,117930,118165,117724,117413
"25","68","    Food manufacturing","KS311F0",21491,21537,21940,22136,21984,22331,22304,22309,22150,22173,22510,22549,22963,22840,22765,22633,22776,22672,22480,22266,22517,22615,22597,22559,22588,22542,22534,22583,22576,22517,22725,22585,23272,23761,23470,23312,23759,24033,24081,24029,24077,24043,24298,24210,24138,24170,24128,24432,25379,24055,24069,24112,24199,24108,24125,24115,24002,23826,24173,24401,24561,24416,24324,25074,24824,25113,24992,24968,25358,25512,25682,25363,25456,25533,25450,25125,25237,25048,25089,25054,24936,24975,24657,24735,24657,24413,24351,24088,23970,24101,24477,24620,24531,24371,24263,24225,24439,24317,24349,24861,24428,24527,24611,24659,24681,24475,24721,24752,25278,25412,25495,25463,25352,25167,24828,24400,24509,24756,24654,24734,24574,24287,24428,24382,24524,24387,24738,24892,24793,24978,24651,24741,24548,24497,24184,24188,24243,24151,23992,24105,24308,24528,25058,25315,25565,25729,25645,25653,25783,25536,25901,26271,25943,26140,26316,26168,25949,26205,26059,26336,26388,26191,26120,26191,26489,26611,26564,26117,26366,25758,25759,25502,25538,25707,25542,25346,25415,25592,25586,25717,25841,26029,25854,25750,25588,25498,25217,24976,24891,25093,25160,25305,25226,25123,25155,25132,25192,25075,25071,25141,25058,25017,24942,24498,24431,24231,23969,23833,23853,23963,24157,24178
"26","69","    Beverage and tobacco product manufacturing","KS312F0",4468,4303,4174,4318,4264,4225,4239,4191,4192,4197,4533,4389,4394,4253,4278,4063,4211,3964,4040,4053,4066,4162,4437,4260,4224,4251,4161,4226,4487,4372,4312,4422,4289,4133,4403,4479,4363,4769,4729,4517,4503,4571,4435,4437,4537,4499,4589,4565,4446,4398,4750,4551,4532,4478,4542,4533,4561,4548,4550,4828,4685,4557,4587,4648,4706,4934,4735,4733,4851,4756,4610,4864,4914,4993,4906,5159,5115,5115,5058,4937,4870,4943,5059,4969,4957,5053,4974,5004,5000,5131,5251,5368,5246,5227,5364,5258,5395,5365,5291,5250,5159,5065,5141,5148,5085,5127,5117,5183,5167,5221,5196,5235,5252,5068,5159,5293,5282,5306,5213,5221,5348,5154,5191,5197,5193,5256,5289,5269,5282,5339,5311,5315,5370,5366,5341,5377,5347,5304,5231,5184,5176,5179,5244,5251,5214,5264,5382,5380,5416,5403,5465,5500,5549,5517,5503,5558,5472,5546,5478,5528,5576,5670,5656,5832,5807,5762,5799,5821,5929,5922,5912,5879,5858,5778,5850,5755,5847,5772,5854,5888,5946,5791,5963,5991,6052,6168,6147,5986,6160,6158,6098,6178,6055,6128,6183,6159,6186,6192,6169,6213,6129,6211,6247,6165,6214,6229,6187,6337,6347,6451,6447,6450
"27","70","    Textile mills","KS313F0",3029,2965,2956,2987,3007,3017,3011,3035,2985,2956,2914,2938,2973,3010,2981,3001,3055,3037,3100,3070,3123,3164,3179,3192,3210,3250,3281,3327,3263,3306,3291,3300,3299,3246,3273,3317,3254,3204,3226,3220,3204,3184,3159,3124,3140,3149,3163,3099,3171,3101,3016,3071,3130,3090,3019,3050,3042,3013,2998,2959,2981,2972,2977,2892,2916,2875,2914,2939,2907,2946,2849,2871,2879,2875,2891,2861,2893,2956,2926,2890,2898,2809,2813,2756,2742,2729,2749,2694,2749,2733,2753,2761,2725,2752,2730,2690,2671,2698,2644,2684,2691,2683,2678,2615,2602,2588,2613,2669,2666,2637,2651,2635,2620,2665,2672,2688,2696,2613,2580,2600,2577,2569,2543,2514,2510,2516,2560,2597,2592,2571,2547,2563,2529,2513,2555,2474,2424,2336,2364,2353,2378,2388,2400,2394,2423,2430,2396,2393,2340,2296,2254,2188,2129,2176,2149,2119,2098,2107,2087,2055,2073,2089,2095,2088,2115,2154,2183,2203,2208,2191,2187,2196,2186,2199,2211,2211,2202,2191,2188,2182,2193,2179,2179,2164,2155,2160,2154,2145,2152,2138,2109,2104,2104,2105,2109,2123,2131,2122,2141,2147,2139,2154,2162,2155,2166,2161,2178,2173,2176,2175,2179,2187
"28","71","    Textile product mills","KS314F0",1519,1496,1527,1557,1585,1637,1652,1670,1681,1699,1752,1714,1745,1750,1746,1713,1697,1668,1663,1672,1673,1657,1625,1602,1587,1602,1675,1714,1719,1722,1757,1760,1768,1790,1762,1797,1807,1848,1863,1869,1883,1907,1896,1873,1906,1930,1973,1985,2020,2047,2044,2055,2086,2127,2127,2175,2156,2171,2203,2205,2186,2092,2026,2031,2009,1954,1926,1874,1843,1780,1719,1679,1716,1741,1749,1729,1756,1785,1796,1811,1788,1782,1797,1821,1789,1776,1796,1819,1782,1779,1778,1770,1829,1806,1820,1782,1843,1860,1867,1840,1824,1802,1795,1832,1791,1832,1809,1905,1849,1864,1849,1848,1848,1927,1962,1976,1977,1983,1982,1981,1953,1928,1898,1885,1938,1923,1911,1905,1904,1898,1878,1883,1881,1857,1840,1817,1783,1761,1805,1774,1765,1743,1766,1775,1717,1637,1632,1593,1564,1519,1507,1507,1489,1486,1487,1496,1517,1531,1538,1548,1560,1596,1620,1632,1663,1679,1683,1699,1728,1711,1700,1711,1736,1730,1739,1765,1755,1751,1766,1768,1741,1734,1726,1718,1710,1720,1730,1725,1734,1724,1744,1752,1744,1758,1767,1760,1757,1765,1755,1755,1761,1772,1771,1732,1740,1745,1750,1740,1730,1710,1718,1717
"29","72","    Apparel manufacturing","KS315F0",4918,4863,4910,4981,5053,5167,5225,5329,5320,5360,5272,5247,5285,5346,5409,5487,5389,5389,5426,5419,5514,5639,5634,5559,5601,5708,5877,5843,5971,5965,6015,6139,6160,5975,5927,6086,6079,5939,5874,5911,5717,5767,5809,5797,5718,5823,6021,6041,6120,6100,5853,5688,5693,5786,5642,5534,5332,5255,5136,5038,4960,5041,4996,5011,4949,4951,4907,4945,5136,5134,5092,5104,5160,5299,5390,5488,5534,5451,5454,5339,5373,5271,5220,5288,5230,5055,5102,5006,5010,5029,5094,5066,5043,5090,5117,5110,5218,5240,5257,5292,5280,5212,5131,5160,5170,5167,5105,5089,5045,5039,4979,4993,4926,4952,4965,5054,4821,4901,5038,5140,5129,5093,5062,5093,5097,5084,5134,5050,5052,5038,5032,5028,5026,5046,5009,5013,4998,5011,5003,4997,4940,4944,4913,4877,4825,4801,4777,4762,4727,4707,4670,4638,4621,4583,4584,4589,4582,4572,4558,4534,4519,4557,4558,4568,4578,4593,4578,4581,4560,4530,4533,4521,4529,4520,4533,4530,4548,4613,4602,4584,4584,4571,4563,4568,4572,4585,4599,4619,4627,4632,4665,4623,4665,4692,4700,4715,4724,4734,4749,4759,4772,4804,4806,4872,4868,4904,4948,4992,5033,5068,5107,5098
"30","73","    Leather and allied product manufacturing","KS316F0",973,966,945,964,994,1007,1014,1010,990,1003,980,1000,1007,1024,1059,1071,1084,1109,1119,1099,1073,1085,1103,1065,1039,1055,1061,1060,1053,1091,1090,1084,1114,1101,1135,1097,1095,1093,1093,1113,1107,1072,1093,1108,1100,1113,1101,1037,1011,1016,1021,1085,1017,964,958,960,962,996,975,935,930,783,768,753,765,783,790,872,852,877,866,872,895,883,889,883,879,872,846,837,835,825,818,834,823,827,824,822,809,795,801,792,795,802,812,823,834,850,859,873,867,874,876,871,879,892,876,870,875,853,862,857,870,881,893,918,933,947,953,976,976,985,986,992,991,997,992,984,969,990,990,960,952,943,944,1147,1111,1087,1060,1039,1024,994,990,980,983,988,1016,1017,1010,999,992,988,970,947,956,951,948,947,940,933,927,930,937,941,953,973,977,995,1008,1017,1024,1026,1023,1017,1029,1027,1033,1036,1036,1042,1051,1049,1049,1055,1066,1087,1094,1088,1088,1095,1118,1124,1105,1104,1117,1119,1121,1108,1096,1096,1100,1091,1085,1087,1083,1090,1089,1100,1104,1115,1110,1105
