"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Private inventories \1\","A371RX1",".....",".....",".....","1,383,386.0","1,394,183.0","1,420,155.0","1,439,012.0","1,460,756.0","1,490,057.0","1,500,867.0","1,516,011.0","1,532,381.0","1,554,740.0","1,565,006.0","1,576,144.0","1,600,914.0","1,605,599.0","1,630,851.0","1,646,620.0","1,661,147.0","1,652,438.0","1,649,772.0","1,642,063.0","1,619,377.0","1,615,614.0","1,618,967.0","1,623,923.0","1,632,145.0","1,640,030.0","1,639,157.0","1,639,898.0","1,649,485.0","1,662,579.0","1,682,244.0","1,697,917.0","1,715,811.0","1,738,668.0","1,742,554.0","1,745,506.0","1,765,763.0","1,782,217.0","1,800,353.0","1,817,230.0","1,825,186.0","1,829,517.0","1,840,734.0","1,849,758.0","1,852,912.0","1,850,854.0","1,845,712.0","1,838,864.0","1,815,284.0","1,783,834.0","1,743,388.0","1,711,335.0","1,702,160.0","1,713,192.0","1,730,404.0","1,758,281.0"
"21","2","Farm","B372RX1",".....",".....",".....","155,309.0","152,616.0","154,674.0","157,190.0","158,988.0","160,573.0","159,820.0","160,457.0","160,627.0","160,091.0","160,440.0","157,651.0","156,927.0","151,900.0","153,697.0","153,151.0","155,152.0","156,636.0","155,798.0","156,481.0","155,268.0","156,539.0","153,208.0","152,424.0","152,210.0","153,215.0","152,889.0","152,994.0","152,357.0","153,156.0","157,576.0","159,336.0","160,251.0","158,528.0","158,580.0","159,726.0","160,368.0","161,311.0","159,271.0","157,694.0","156,681.0","157,973.0","156,715.0","156,091.0","155,856.0","153,963.0","155,056.0","155,454.0","156,871.0","157,379.0","158,869.0","158,708.0","160,300.0","162,196.0","164,136.0","165,572.0"
"22","3","Mining, utilities, and construction","N238RX1",".....",".....",".....","47,601.0","47,673.0","49,058.0","50,330.0","50,074.0","52,487.0","54,673.0","56,366.0","59,081.0","59,107.0","59,155.0","58,294.0","57,054.0","57,907.0","56,968.0","56,733.0","54,257.0","57,158.0","60,777.0","62,575.0","65,077.0","65,037.0","63,908.0","62,138.0","60,958.0","63,107.0","63,947.0","65,697.0","68,153.0","67,522.0","67,730.0","68,979.0","69,611.0","70,483.0","72,929.0","72,482.0","73,359.0","75,781.0","81,005.0","85,865.0","90,276.0","91,676.0","93,523.0","91,714.0","90,290.0","88,710.0","87,143.0","84,902.0","80,679.0","81,664.0","82,234.0","81,782.0","77,853.0","75,246.0","76,334.0","76,046.0"
"23","4","Manufacturing","N376RX1",".....",".....",".....","465,654.0","469,955.0","476,620.0","482,559.0","490,028.0","499,086.0","503,493.0","505,444.0","507,628.0","511,313.0","512,764.0","517,061.0","523,839.0","522,869.0","526,981.0","528,747.0","531,901.0","526,431.0","521,175.0","514,511.0","505,736.0","498,284.0","497,232.0","498,970.0","500,465.0","500,734.0","498,030.0","492,829.0","492,043.0","491,540.0","493,268.0","494,052.0","497,982.0","508,469.0","509,005.0","511,986.0","519,028.0","523,697.0","529,498.0","534,281.0","536,019.0","537,916.0","543,279.0","546,352.0","551,391.0","558,575.0","552,918.0","547,001.0","539,121.0","531,374.0","521,845.0","513,689.0","512,543.0","517,804.0","516,953.0","522,784.0"
"24","5","  Durable goods industries","N377RX1",".....",".....",".....","268,747.0","271,080.0","275,372.0","279,402.0","284,054.0","292,012.0","296,549.0","299,091.0","301,451.0","303,222.0","302,206.0","305,121.0","308,625.0","308,182.0","310,964.0","312,208.0","315,734.0","311,954.0","308,629.0","302,602.0","294,909.0","290,579.0","288,781.0","287,962.0","289,113.0","289,660.0","286,989.0","282,719.0","283,791.0","282,995.0","284,600.0","285,375.0","287,806.0","294,766.0","296,196.0","299,547.0","304,391.0","306,375.0","309,377.0","313,508.0","316,044.0","318,748.0","320,458.0","322,064.0","327,158.0","326,031.0","322,118.0","320,394.0","322,340.0","313,913.0","305,344.0","295,873.0","290,878.0","293,092.0","298,616.0","302,700.0"
"25","6","  Nondurable goods industries","N378RX1",".....",".....",".....","197,350.0","199,352.0","201,643.0","203,444.0","206,205.0","206,824.0","206,345.0","205,511.0","205,152.0","207,124.0","209,907.0","211,213.0","214,546.0","213,997.0","215,271.0","215,761.0","215,206.0","213,580.0","211,681.0","211,267.0","210,511.0","207,385.0","208,277.0","211,027.0","211,341.0","211,030.0","211,058.0","210,201.0","208,266.0","208,581.0","208,679.0","208,676.0","210,171.0","213,677.0","212,773.0","212,415.0","214,632.0","217,312.0","220,118.0","220,781.0","219,995.0","219,185.0","222,808.0","224,253.0","224,369.0","232,035.0","230,249.0","226,319.0","217,117.0","217,564.0","216,411.0","217,431.0","220,875.0","223,846.0","217,755.0","219,523.0"
"26","7","Wholesale trade","N379RX1",".....",".....",".....","298,006.0","303,366.0","312,335.0","316,793.0","324,924.0","333,275.0","336,942.0","344,519.0","348,628.0","354,707.0","356,895.0","362,758.0","369,712.0","374,186.0","380,848.0","384,598.0","390,382.0","388,789.0","387,076.0","380,768.0","376,770.0","374,717.0","375,872.0","377,061.0","376,701.0","375,064.0","373,260.0","372,658.0","376,326.0","379,929.0","384,040.0","391,182.0","396,822.0","405,723.0","408,823.0","409,377.0","414,951.0","419,463.0","424,540.0","428,690.0","428,307.0","428,671.0","430,223.0","434,487.0","432,788.0","433,437.0","438,101.0","440,937.0","434,813.0","421,600.0","402,864.0","388,047.0","385,876.0","389,168.0","396,965.0","409,522.0"
"27","8","  Durable goods industries","N380RX1",".....",".....",".....","170,056.0","173,818.0","180,212.0","182,271.0","186,881.0","193,228.0","195,401.0","200,997.0","204,119.0","208,149.0","211,047.0","213,734.0","218,728.0","221,662.0","227,333.0","229,574.0","232,775.0","231,062.0","225,571.0","219,905.0","215,097.0","213,323.0","214,201.0","216,712.0","215,512.0","216,429.0","215,590.0","213,584.0","216,332.0","220,119.0","224,448.0","231,248.0","234,435.0","240,064.0","243,025.0","243,319.0","247,805.0","249,273.0","253,308.0","257,492.0","256,926.0","259,759.0","258,176.0","257,348.0","257,742.0","260,850.0","263,325.0","269,184.0","264,901.0","249,372.0","234,673.0","222,466.0","216,237.0","218,322.0","221,170.0","227,833.0"
"28","9","  Nondurable goods industries","N381RX1",".....",".....",".....","128,962.0","130,396.0","132,671.0","135,211.0","138,767.0","140,410.0","141,902.0","143,596.0","144,412.0","146,357.0","145,295.0","148,626.0","150,422.0","151,911.0","152,647.0","154,150.0","156,756.0","156,977.0","161,248.0","160,846.0","161,969.0","161,765.0","162,020.0","160,536.0","161,447.0","158,784.0","157,805.0","159,303.0","160,198.0","159,960.0","159,682.0","159,926.0","162,380.0","165,640.0","165,764.0","166,023.0","167,139.0","170,162.0","171,227.0","171,233.0","171,408.0","169,051.0","172,011.0","176,830.0","174,885.0","172,793.0","174,840.0","172,454.0","170,456.0","172,121.0","167,737.0","164,768.0","168,251.0","169,476.0","174,228.0","180,030.0"
"29","10","Retail trade","N382RX1",".....",".....",".....","335,302.0","336,607.0","342,365.0","346,473.0","349,502.0","357,009.0","357,422.0","359,543.0","364,658.0","374,718.0","378,200.0","380,151.0","390,491.0","392,469.0","401,771.0","407,218.0","411,140.0","405,298.0","407,268.0","410,280.0","400,491.0","405,408.0","411,757.0","415,990.0","424,208.0","430,515.0","432,558.0","436,862.0","441,525.0","449,457.0","456,848.0","459,937.0","465,196.0","468,880.0","466,088.0","464,715.0","469,814.0","472,738.0","474,794.0","478,275.0","480,574.0","478,478.0","480,857.0","484,224.0","484,802.0","476,690.0","471,905.0","469,028.0","459,613.0","449,034.0","436,808.0","430,435.0","428,240.0","431,379.0","437,605.0","445,271.0"
"30","11","  Motor vehicle and parts dealers","N864RX1",".....",".....",".....","98,794.0","98,891.0","100,642.0","102,039.0","103,938.0","106,563.0","104,931.0","103,784.0","105,879.0","112,226.0","112,163.0","112,630.0","118,215.0","118,598.0","124,564.0","128,531.0","129,949.0","123,406.0","125,965.0","128,341.0","121,029.0","125,921.0","130,520.0","131,119.0","138,202.0","142,450.0","145,400.0","147,308.0","151,123.0","154,845.0","158,261.0","158,750.0","158,750.0","159,564.0","154,818.0","152,945.0","155,962.0","156,267.0","156,324.0","156,595.0","155,595.0","153,370.0","154,099.0","158,652.0","158,434.0","155,121.0","152,117.0","149,263.0","146,487.0","140,457.0","132,869.0","131,917.0","133,466.0","136,440.0","140,581.0","147,040.0"
"31","12","  Food and beverage stores","N239RX1",".....",".....",".....","32,269.0","32,361.0","32,492.0","32,892.0","32,672.0","32,958.0","33,479.0","33,440.0","33,774.0","34,304.0","34,745.0","35,335.0","35,536.0","35,514.0","34,977.0","35,085.0","34,898.0","35,136.0","35,299.0","35,303.0","35,351.0","35,311.0","35,316.0","35,756.0","35,524.0","35,294.0","34,499.0","34,864.0","34,245.0","34,347.0","34,584.0","34,676.0","34,651.0","34,734.0","34,784.0","34,304.0","34,547.0","34,979.0","35,277.0","35,444.0","35,457.0","35,311.0","35,663.0","36,198.0","36,469.0","36,381.0","36,470.0","36,393.0","36,168.0","36,727.0","36,455.0","36,298.0","35,582.0","35,859.0","35,624.0","35,718.0"
"32","13","  General merchandise stores","N240RX1",".....",".....",".....","61,591.0","61,489.0","62,331.0","62,015.0","61,742.0","61,695.0","61,652.0","62,302.0","62,123.0","62,913.0","63,475.0","63,996.0","64,935.0","65,034.0","65,704.0","65,485.0","66,013.0","67,344.0","67,530.0","67,491.0","66,175.0","65,712.0","65,624.0","66,606.0","67,641.0","67,786.0","68,036.0","68,506.0","68,652.0","70,187.0","70,976.0","71,325.0","73,177.0","74,617.0","74,603.0","75,169.0","75,387.0","74,827.0","74,496.0","76,093.0","77,026.0","77,267.0","77,398.0","76,569.0","76,829.0","75,235.0","74,961.0","75,018.0","73,837.0","72,897.0","72,151.0","71,042.0","70,797.0","70,747.0","71,855.0","72,418.0"
"33","14","  Other retail stores","N865RX1",".....",".....",".....","143,896.0","145,114.0","148,107.0","150,711.0","152,222.0","156,815.0","158,538.0","161,299.0","164,145.0","166,302.0","168,945.0","169,360.0","172,774.0","174,290.0","177,202.0","178,624.0","180,735.0","180,232.0","179,141.0","179,701.0","178,851.0","179,142.0","180,804.0","183,069.0","183,097.0","185,129.0","184,633.0","186,198.0","187,498.0","190,050.0","193,002.0","195,171.0","198,615.0","199,956.0","201,884.0","202,293.0","203,915.0","206,642.0","208,651.0","210,091.0","212,394.0","212,369.0","213,522.0","212,775.0","213,010.0","209,830.0","208,121.0","207,968.0","202,739.0","198,298.0","194,362.0","190,285.0","187,709.0","187,787.0","189,189.0","190,004.0"
"34","15","Other industries","N385RX1",".....",".....",".....","87,573.0","89,803.0","91,024.0","91,857.0","93,227.0","93,956.0","95,373.0","96,747.0","99,019.0","100,949.0","103,320.0","105,163.0","106,559.0","109,320.0","112,800.0","117,667.0","119,298.0","119,823.0","119,627.0","119,453.0","119,071.0","118,268.0","118,650.0","118,394.0","118,035.0","117,883.0","118,873.0","119,158.0","119,628.0","121,210.0","122,678.0","124,401.0","125,956.0","126,594.0","127,241.0","127,281.0","128,251.0","129,012.0","130,737.0","131,874.0","132,899.0","134,285.0","135,702.0","136,421.0","137,205.0","138,237.0","138,950.0","139,959.0","142,422.0","140,817.0","138,847.0","137,029.0","135,535.0","135,477.0","136,460.0","136,952.0"
"35","16","Residual","N968RX1",".....",".....",".....","-8,900.0","-8,500.0","-8,000.0","-8,300.0","-8,000.0","-7,500.0","-7,700.0","-7,600.0","-7,400.0","-5,900.0","-5,600.0","-5,000.0","-3,300.0","-2,700.0","-1,300.0","-500.0","300.0","-900.0","-1,400.0","-1,900.0","-4,100.0","-3,300.0","-2,300.0","-1,800.0","-800.0","-800.0","-500.0","-700.0","-800.0","-400.0","-100.0","0.0","-200.0","0.0","0.0","100.0","0.0","200.0","600.0","500.0","500.0","300.0","600.0","800.0","600.0","1,800.0","2,400.0","1,400.0","1,300.0","2,500.0","3,400.0","3,700.0","4,600.0","4,800.0","4,400.0","4,600.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Private inventories","A371RX1",".....",".....",".....","1,383,386.0","1,394,183.0","1,420,155.0","1,439,012.0","1,460,756.0","1,490,057.0","1,500,867.0","1,516,011.0","1,532,381.0","1,554,740.0","1,565,006.0","1,576,144.0","1,600,914.0","1,605,599.0","1,630,851.0","1,646,620.0","1,661,147.0","1,652,438.0","1,649,772.0","1,642,063.0","1,619,377.0","1,615,614.0","1,618,967.0","1,623,923.0","1,632,145.0","1,640,030.0","1,639,157.0","1,639,898.0","1,649,485.0","1,662,579.0","1,682,244.0","1,697,917.0","1,715,811.0","1,738,668.0","1,742,554.0","1,745,506.0","1,765,763.0","1,782,217.0","1,800,353.0","1,817,230.0","1,825,186.0","1,829,517.0","1,840,734.0","1,849,758.0","1,852,912.0","1,850,854.0","1,845,712.0","1,838,864.0","1,815,284.0","1,783,834.0","1,743,388.0","1,711,335.0","1,702,160.0","1,713,192.0","1,730,404.0","1,758,281.0"
"38","18","    Durable goods industries","N241RX1",".....",".....",".....","593,613.0","600,508.0","613,825.0","622,149.0","633,850.0","651,916.0","657,658.0","665,782.0","674,470.0","688,393.0","691,223.0","697,971.0","713,956.0","718,433.0","733,952.0","742,553.0","751,606.0","739,919.0","733,780.0","725,187.0","705,180.0","706,291.0","710,789.0","714,224.0","723,305.0","730,641.0","731,032.0","728,136.0","736,820.0","745,683.0","757,702.0","766,973.0","774,947.0","790,338.0","792,482.0","795,520.0","810,167.0","815,317.0","823,533.0","834,127.0","835,416.0","838,202.0","839,634.0","841,403.0","846,195.0","841,748.0","834,432.0","834,031.0","822,802.0","789,376.0","755,545.0","730,013.0","716,101.0","722,206.0","734,716.0","751,717.0"
"39","19","    Nondurable goods industries","N242RX1",".....",".....",".....","793,549.0","797,073.0","809,415.0","819,956.0","829,661.0","840,067.0","844,979.0","851,759.0","859,196.0","866,959.0","874,677.0","878,789.0","886,864.0","886,777.0","896,021.0","903,022.0","908,253.0","911,913.0","915,816.0","917,192.0","915,552.0","910,402.0","908,975.0","910,402.0","909,186.0","909,542.0","908,240.0","911,981.0","912,810.0","917,000.0","924,603.0","930,953.0","940,862.0","948,229.0","949,968.0","949,886.0","955,595.0","966,873.0","976,793.0","983,068.0","989,728.0","991,243.0","1,000,893.0","1,008,021.0","1,006,580.0","1,008,671.0","1,010,330.0","1,004,223.0","991,911.0","992,792.0","985,341.0","978,214.0","982,293.0","987,293.0","992,234.0","1,003,351.0"
"40","20","  Nonfarm industries","A373RX1",".....",".....",".....","1,230,884.0","1,244,215.0","1,268,136.0","1,284,510.0","1,304,448.0","1,332,107.0","1,343,511.0","1,357,918.0","1,373,908.0","1,396,415.0","1,406,243.0","1,419,619.0","1,444,697.0","1,453,835.0","1,477,250.0","1,493,332.0","1,505,945.0","1,495,924.0","1,494,071.0","1,485,793.0","1,464,415.0","1,459,548.0","1,465,926.0","1,471,580.0","1,479,987.0","1,486,860.0","1,486,289.0","1,486,913.0","1,497,226.0","1,509,580.0","1,524,634.0","1,538,558.0","1,555,570.0","1,580,171.0","1,583,996.0","1,585,798.0","1,605,406.0","1,620,980.0","1,641,067.0","1,659,534.0","1,668,586.0","1,671,583.0","1,684,153.0","1,693,878.0","1,697,299.0","1,697,341.0","1,690,942.0","1,683,604.0","1,658,326.0","1,626,173.0","1,584,045.0","1,552,132.0","1,541,386.0","1,550,518.0","1,565,780.0","1,592,283.0"
"41","21","  Wholesale trade","N379RX1",".....",".....",".....","298,006.0","303,366.0","312,335.0","316,793.0","324,924.0","333,275.0","336,942.0","344,519.0","348,628.0","354,707.0","356,895.0","362,758.0","369,712.0","374,186.0","380,848.0","384,598.0","390,382.0","388,789.0","387,076.0","380,768.0","376,770.0","374,717.0","375,872.0","377,061.0","376,701.0","375,064.0","373,260.0","372,658.0","376,326.0","379,929.0","384,040.0","391,182.0","396,822.0","405,723.0","408,823.0","409,377.0","414,951.0","419,463.0","424,540.0","428,690.0","428,307.0","428,671.0","430,223.0","434,487.0","432,788.0","433,437.0","438,101.0","440,937.0","434,813.0","421,600.0","402,864.0","388,047.0","385,876.0","389,168.0","396,965.0","409,522.0"
"42","22","    Merchant wholesale trade","N802RX1",".....",".....",".....","252,115.0","257,130.0","265,249.0","269,334.0","276,005.0","283,291.0","286,842.0","293,879.0","297,304.0","302,779.0","303,992.0","308,945.0","315,302.0","318,826.0","324,023.0","326,451.0","331,405.0","330,574.0","329,892.0","325,755.0","322,639.0","321,691.0","322,225.0","323,218.0","323,238.0","322,273.0","320,703.0","320,213.0","323,280.0","326,607.0","329,921.0","335,960.0","341,700.0","348,349.0","351,441.0","352,127.0","356,029.0","360,064.0","366,016.0","369,739.0","370,772.0","371,499.0","372,931.0","376,826.0","376,559.0","374,403.0","377,893.0","382,524.0","378,219.0","368,433.0","353,516.0","340,444.0","338,755.0","340,281.0","344,952.0","354,959.0"
"43","23","      Durable goods industries","N803RX1",".....",".....",".....","147,563.0","151,118.0","157,071.0","158,981.0","162,534.0","168,081.0","170,289.0","175,308.0","177,913.0","181,622.0","183,835.0","186,251.0","190,863.0","193,121.0","198,000.0","199,269.0","201,732.0","200,755.0","195,826.0","191,606.0","187,586.0","186,196.0","186,657.0","188,649.0","187,359.0","188,614.0","188,044.0","186,420.0","188,276.0","191,932.0","196,053.0","201,869.0","205,394.0","209,636.0","212,720.0","212,919.0","216,366.0","218,499.0","223,204.0","226,234.0","226,566.0","228,522.0","227,520.0","227,057.0","227,629.0","229,645.0","231,435.0","236,724.0","233,164.0","220,861.0","209,822.0","199,576.0","194,349.0","195,768.0","197,521.0","202,525.0"
"44","24","      Nondurable goods industries","N804RX1",".....",".....",".....","105,051.0","106,392.0","108,325.0","110,607.0","113,810.0","115,315.0","116,643.0","118,503.0","119,219.0","120,908.0","119,654.0","122,280.0","123,906.0","125,154.0","125,263.0","126,445.0","128,984.0","129,183.0","133,807.0","134,049.0","135,152.0","135,670.0","135,732.0","134,652.0","136,019.0","133,735.0","132,726.0","133,905.0","135,118.0","134,767.0","133,931.0","134,098.0","136,299.0","138,701.0","138,697.0","139,182.0","139,656.0","141,561.0","142,826.0","143,536.0","144,234.0","143,060.0","145,362.0","149,493.0","148,719.0","145,020.0","146,605.0","146,295.0","145,372.0","147,322.0","143,239.0","140,167.0","143,240.0","143,405.0","146,210.0","151,089.0"
"45","25","    Nonmerchant wholesale trade","N805RX1",".....",".....",".....","46,206.0","46,533.0","47,361.0","47,718.0","49,200.0","50,259.0","50,340.0","50,833.0","51,529.0","52,106.0","53,138.0","54,052.0","54,626.0","55,593.0","57,086.0","58,442.0","59,276.0","58,483.0","57,404.0","55,149.0","54,237.0","53,062.0","53,722.0","53,922.0","53,519.0","52,821.0","52,587.0","52,472.0","53,078.0","53,338.0","54,145.0","55,250.0","55,124.0","57,395.0","57,398.0","57,269.0","58,924.0","59,399.0","58,550.0","58,974.0","57,550.0","57,187.0","57,308.0","57,679.0","56,261.0","59,003.0","60,164.0","58,444.0","56,643.0","53,175.0","49,318.0","47,586.0","47,114.0","48,844.0","51,932.0","54,480.0"
