"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Government consumption expenditures and gross investment","A822RX1","1,891,553.0","1,897,867.0","1,893,691.0","1,872,504.0","1,884,502.0","1,911,577.0","1,909,730.0","1,925,899.0","1,929,350.0","1,946,046.0","1,948,231.0","1,951,466.0","1,939,723.0","1,981,881.0","2,000,225.0","2,018,131.0","2,028,442.0","2,036,925.0","2,063,255.0","2,095,874.0","2,078,721.0","2,106,440.0","2,099,809.0","2,106,206.0","2,137,344.0","2,181,739.0","2,177,755.0","2,216,427.0","2,250,402.0","2,272,017.0","2,290,386.0","2,305,727.0","2,300,945.0","2,335,133.0","2,342,019.0","2,343,706.0","2,354,858.0","2,363,476.0","2,372,102.0","2,357,599.0","2,359,869.0","2,362,421.0","2,383,875.0","2,373,365.0","2,397,067.0","2,399,084.0","2,402,740.0","2,409,449.0","2,406,656.0","2,426,793.0","2,447,895.0","2,455,332.0","2,469,200.0","2,489,381.0","2,521,544.0","2,530,736.0","2,511,524.0","2,549,256.0","2,559,255.0","2,550,290.0","2,540,163.0","2,564,868.0","2,590,083.0"
"21","2","      Consumption expenditures \1\","A955RX1","1,610,400.0","1,613,646.0","1,616,031.0","1,594,654.0","1,601,071.0","1,621,063.0","1,614,716.0","1,626,573.0","1,625,145.0","1,644,477.0","1,645,764.0","1,657,753.0","1,647,701.0","1,674,952.0","1,675,786.0","1,695,465.0","1,703,241.0","1,704,615.0","1,725,569.0","1,747,342.0","1,728,223.0","1,762,579.0","1,752,970.0","1,758,575.0","1,784,865.0","1,808,610.0","1,824,999.0","1,845,353.0","1,872,413.0","1,892,392.0","1,904,873.0","1,919,119.0","1,916,217.0","1,947,841.0","1,943,815.0","1,947,392.0","1,960,651.0","1,964,027.0","1,974,847.0","1,968,038.0","1,974,155.0","1,972,130.0","1,990,455.0","1,974,731.0","1,997,579.0","1,989,679.0","1,998,033.0","2,003,698.0","2,001,186.0","2,014,533.0","2,034,533.0","2,040,114.0","2,052,594.0","2,057,118.0","2,084,796.0","2,098,595.0","2,090,293.0","2,117,918.0","2,121,900.0","2,119,078.0","2,118,149.0","2,131,434.0","2,145,709.0"
"22","3","      Gross investment \2\","A782RX1","284,731.0","287,523.0","281,750.0","281,446.0","286,538.0","293,281.0","297,196.0","301,330.0","305,779.0","303,737.0","304,564.0","296,778.0","295,037.0","309,120.0","325,166.0","323,861.0","326,323.0","332,925.0","338,230.0","348,662.0","350,289.0","344,474.0","347,165.0","347,972.0","352,832.0","372,724.0","353,423.0","371,119.0","377,987.0","379,716.0","385,490.0","386,622.0","384,741.0","387,315.0","398,193.0","396,305.0","394,176.0","399,468.0","397,260.0","389,582.0","385,732.0","390,302.0","393,418.0","398,608.0","399,436.0","409,398.0","404,704.0","405,762.0","405,485.0","412,229.0","413,344.0","415,170.0","416,530.0","432,207.0","436,649.0","432,086.0","421,404.0","431,358.0","437,260.0","431,172.0","422,013.0","433,432.0","444,361.0"
"23","4","        Structures","A760RX1","201,679.0","203,877.0","200,534.0","199,125.0","198,331.0","205,712.0","211,823.0","222,337.0","228,268.0","223,508.0","218,104.0","207,126.0","205,251.0","215,597.0","228,549.0","227,101.0","230,983.0","228,402.0","229,925.0","238,877.0","244,455.0","236,588.0","238,130.0","238,603.0","243,237.0","262,037.0","240,376.0","258,874.0","263,679.0","260,230.0","262,221.0","265,775.0","264,014.0","262,363.0","271,073.0","266,180.0","263,878.0","265,800.0","257,808.0","248,665.0","246,827.0","246,043.0","244,590.0","248,449.0","244,281.0","251,088.0","248,574.0","246,973.0","246,058.0","247,509.0","245,551.0","245,318.0","243,721.0","250,251.0","251,853.0","247,733.0","244,894.0","248,991.0","253,978.0","246,510.0","237,043.0","242,213.0","249,873.0"
"24","5","        Equipment and software","A871RX1","86,019.0","86,735.0","84,576.0","85,237.0","89,454.0","89,945.0","89,043.0","85,516.0","85,019.0","86,466.0","90,561.0","91,814.0","91,807.0","95,876.0","99,668.0","99,622.0","98,810.0","105,940.0","109,133.0","111,137.0","108,374.0","109,445.0","110,549.0","110,886.0","111,438.0","113,711.0","114,271.0","114,748.0","116,841.0","121,238.0","124,728.0","122,738.0","122,548.0","126,314.0","128,685.0","131,202.0","131,233.0","134,422.0","139,656.0","140,894.0","138,938.0","144,226.0","148,824.0","150,164.0","155,370.0","158,509.0","156,310.0","159,199.0","159,859.0","165,516.0","169,013.0","171,316.0","174,783.0","184,589.0","187,695.0","187,607.0","178,834.0","185,218.0","185,780.0","188,097.0","189,363.0","196,035.0","199,038.0"
"25","6","Federal","A823RX1","715,326.0","712,492.0","707,649.0","681,081.0","695,265.0","705,172.0","692,741.0","690,744.0","681,445.0","693,525.0","691,261.0","690,311.0","668,783.0","687,184.0","681,472.0","688,147.0","683,601.0","683,594.0","697,936.0","713,445.0","685,216.0","712,641.0","698,827.0","695,597.0","710,403.0","725,623.0","730,493.0","739,318.0","756,915.0","774,408.0","786,673.0","799,967.0","800,196.0","838,775.0","839,598.0","845,722.0","856,570.0","861,440.0","876,385.0","865,596.0","869,204.0","870,044.0","890,394.0","875,557.0","900,511.0","892,839.0","892,002.0","894,404.0","883,557.0","898,930.0","919,680.0","922,184.0","937,601.0","955,289.0","987,466.0","1,006,920.0","994,110.0","1,029,184.0","1,043,539.0","1,043,590.0","1,048,350.0","1,071,503.0","1,094,467.0"
"26","7","    Consumption expenditures","A957RX1","634,085.0","632,564.0","631,015.0","604,458.0","611,292.0","620,169.0","610,369.0","616,433.0","610,039.0","621,737.0","613,611.0","615,735.0","593,677.0","608,744.0","598,302.0","608,958.0","606,177.0","599,018.0","611,147.0","625,106.0","602,752.0","631,544.0","616,376.0","615,113.0","630,467.0","642,137.0","645,829.0","653,343.0","668,851.0","681,054.0","689,145.0","704,037.0","704,770.0","739,081.0","738,105.0","743,306.0","754,710.0","756,852.0","767,637.0","758,901.0","763,956.0","761,436.0","776,761.0","761,199.0","783,555.0","773,164.0","775,736.0","773,679.0","765,583.0","774,574.0","793,988.0","796,792.0","811,282.0","817,351.0","844,582.0","862,401.0","856,144.0","885,307.0","894,712.0","892,956.0","895,513.0","912,004.0","931,195.0"
"27","8","    Gross investment","A787RX1","82,128.0","81,093.0","78,597.0","77,722.0","83,515.0","84,613.0","82,291.0","76,199.0","73,705.0","74,315.0","78,727.0","76,325.0","76,170.0","79,257.0","82,821.0","79,861.0","78,337.0","84,005.0","86,119.0","87,743.0","82,364.0","81,858.0","82,684.0","80,985.0","80,805.0","84,072.0","85,149.0","86,414.0","88,502.0","93,447.0","97,333.0","96,057.0","95,596.0","99,895.0","101,585.0","102,494.0","102,016.0","104,667.0","108,752.0","106,702.0","105,269.0","108,600.0","113,621.0","114,357.0","116,952.0","119,775.0","116,290.0","120,856.0","118,067.0","124,665.0","125,918.0","125,566.0","126,395.0","138,654.0","143,625.0","145,182.0","138,317.0","144,305.0","149,464.0","151,400.0","153,728.0","160,696.0","164,525.0"
"28","9","      Structures","A801RX1","27,153.0","25,520.0","26,036.0","24,382.0","25,691.0","26,679.0","25,283.0","22,942.0","23,144.0","22,717.0","23,910.0","20,132.0","22,749.0","22,778.0","23,478.0","21,398.0","22,142.0","21,302.0","20,694.0","20,467.0","18,255.0","17,458.0","17,446.0","15,797.0","15,589.0","16,272.0","16,381.0","17,214.0","18,099.0","18,446.0","19,071.0","19,371.0","19,944.0","20,611.0","21,004.0","19,882.0","19,020.0","18,553.0","17,966.0","15,321.0","15,801.0","14,719.0","15,923.0","16,433.0","15,364.0","16,151.0","15,784.0","17,877.0","17,311.0","19,759.0","19,222.0","17,922.0","16,333.0","18,982.0","20,279.0","20,916.0","21,337.0","21,289.0","25,486.0","26,120.0","27,237.0","28,327.0","29,316.0"
"29","10","      Equipment and software","A872RX1","58,291.0","58,369.0","55,745.0","55,995.0","60,494.0","60,871.0","59,638.0","55,530.0","53,062.0","53,915.0","57,219.0","57,602.0","55,612.0","58,511.0","61,379.0","60,087.0","58,086.0","64,090.0","66,555.0","68,277.0","64,825.0","64,960.0","65,767.0","65,439.0","65,441.0","68,050.0","69,005.0","69,539.0","70,820.0","75,339.0","78,592.0","77,089.0","76,142.0","79,766.0","81,069.0","82,947.0","83,239.0","86,269.0","90,854.0","91,337.0","89,473.0","93,869.0","97,700.0","97,929.0","101,652.0","103,673.0","100,546.0","102,896.0","100,677.0","104,645.0","106,519.0","107,635.0","110,303.0","119,782.0","123,370.0","124,229.0","116,698.0","122,901.0","123,293.0","124,541.0","125,635.0","131,496.0","134,270.0"
"30","11","  National defense","A824RX1","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","595,327.0","607,325.0","622,296.0","622,360.0","632,747.0","643,417.0","673,017.0","681,566.0","666,775.0","693,213.0","708,255.0","703,777.0","704,396.0","717,060.0","731,909.0"
"31","12","    Consumption expenditures","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","515,868.0","522,335.0","536,777.0","536,963.0","546,984.0","547,354.0","572,982.0","580,967.0","571,695.0","592,633.0","604,039.0","598,504.0","598,944.0","606,817.0","619,848.0"
"32","13","    Gross investment","A788RX1","54,264.0","54,470.0","51,432.0","50,914.0","54,456.0","54,729.0","52,323.0","47,682.0","44,270.0","44,752.0","49,053.0","48,991.0","44,381.0","46,698.0","50,890.0","48,165.0","45,455.0","49,346.0","51,888.0","50,402.0","49,930.0","49,928.0","50,878.0","50,458.0","49,757.0","52,735.0","53,984.0","54,499.0","54,533.0","59,479.0","62,803.0","61,747.0","61,793.0","64,804.0","66,552.0","68,075.0","68,039.0","69,553.0","74,296.0","72,522.0","71,067.0","74,466.0","76,839.0","74,468.0","76,414.0","81,365.0","77,587.0","82,132.0","79,518.0","85,250.0","85,693.0","85,545.0","85,819.0","96,746.0","100,698.0","101,214.0","95,480.0","101,101.0","104,837.0","106,000.0","106,187.0","111,223.0","113,022.0"
"33","14","      Structures","A808RX1","10,437.0","9,901.0","10,128.0","9,795.0","9,623.0","9,570.0","8,945.0","8,680.0","8,529.0","8,551.0","9,163.0","8,492.0","8,037.0","8,432.0","8,549.0","7,212.0","7,643.0","7,447.0","7,043.0","6,474.0","6,559.0","6,701.0","7,393.0","6,815.0","6,247.0","6,867.0","6,362.0","6,618.0","6,468.0","6,845.0","7,298.0","7,279.0","8,103.0","8,337.0","8,823.0","8,575.0","8,285.0","7,737.0","7,965.0","7,236.0","7,758.0","7,343.0","7,673.0","7,034.0","7,110.0","7,457.0","7,196.0","8,037.0","7,961.0","10,076.0","8,978.0","8,141.0","7,470.0","9,820.0","10,545.0","10,596.0","11,797.0","11,582.0","15,035.0","15,443.0","15,576.0","15,594.0","16,316.0"
"34","15","      Equipment and software","A873RX1","44,907.0","45,447.0","42,412.0","42,138.0","45,619.0","45,919.0","44,037.0","39,772.0","36,603.0","37,048.0","40,753.0","41,167.0","37,046.0","38,998.0","42,964.0","41,303.0","38,362.0","42,272.0","45,041.0","44,033.0","43,517.0","43,410.0","43,795.0","43,842.0","43,609.0","46,017.0","47,656.0","47,947.0","48,111.0","52,655.0","55,538.0","54,514.0","53,838.0","56,601.0","57,896.0","59,621.0","59,845.0","61,841.0","66,337.0","65,268.0","63,317.0","67,113.0","69,160.0","67,442.0","69,321.0","73,936.0","70,416.0","74,088.0","71,528.0","74,971.0","76,646.0","77,437.0","78,473.0","86,883.0","90,068.0","90,536.0","83,357.0","89,312.0","89,173.0","89,891.0","89,930.0","95,001.0","96,014.0"
"35","16","  Nondefense","A825RX1","231,424.0","229,453.0","230,349.0","218,877.0","224,028.0","227,498.0","225,176.0","226,155.0","231,659.0","233,171.0","233,119.0","229,734.0","235,331.0","237,253.0","226,160.0","236,252.0","237,109.0","236,872.0","238,071.0","242,716.0","242,091.0","249,142.0","244,851.0","241,335.0","248,098.0","256,767.0","257,400.0","259,722.0","266,954.0","273,172.0","276,969.0","278,566.0","282,822.0","278,028.0","285,392.0","280,608.0","283,050.0","284,893.0","283,229.0","287,125.0","285,632.0","282,012.0","286,668.0","294,700.0","304,957.0","295,660.0","297,746.0","287,837.0","288,186.0","291,539.0","297,307.0","299,786.0","304,831.0","311,895.0","314,205.0","325,236.0","327,331.0","335,931.0","335,187.0","339,771.0","343,952.0","354,499.0","362,626.0"
"36","17","    Consumption expenditures","A542RX1","204,239.0","203,894.0","204,095.0","192,549.0","194,887.0","197,383.0","194,843.0","197,807.0","202,331.0","203,734.0","203,536.0","203,006.0","203,147.0","204,156.0","193,486.0","204,160.0","203,545.0","201,131.0","202,916.0","203,896.0","209,197.0","217,042.0","212,807.0","210,723.0","217,012.0","225,517.0","226,355.0","227,860.0","232,922.0","239,192.0","242,403.0","244,259.0","249,097.0","242,882.0","250,358.0","246,185.0","249,099.0","249,788.0","248,785.0","252,962.0","251,430.0","247,872.0","249,883.0","254,819.0","264,429.0","257,254.0","259,047.0","249,157.0","249,674.0","252,191.0","257,145.0","259,802.0","264,277.0","270,086.0","271,434.0","281,378.0","284,481.0","292,695.0","290,658.0","294,477.0","296,611.0","305,284.0","311,441.0"
"37","18","    Gross investment","A798RX1","27,854.0","26,621.0","27,147.0","26,789.0","29,037.0","29,870.0","29,951.0","28,502.0","29,422.0","29,550.0","29,659.0","27,321.0","31,778.0","32,546.0","31,912.0","31,689.0","32,887.0","34,654.0","34,203.0","37,350.0","32,407.0","31,900.0","31,773.0","30,494.0","31,013.0","31,307.0","31,140.0","31,888.0","33,919.0","33,948.0","34,520.0","34,298.0","33,792.0","35,081.0","35,025.0","34,416.0","33,977.0","35,114.0","34,456.0","34,181.0","34,204.0","34,135.0","36,781.0","39,887.0","40,539.0","38,409.0","38,710.0","38,721.0","38,546.0","39,401.0","40,217.0","40,013.0","40,577.0","41,850.0","42,854.0","43,912.0","42,806.0","43,130.0","44,544.0","45,323.0","47,517.0","49,439.0","51,502.0"
"38","19","      Structures","A830RX1","16,714.0","15,620.0","15,911.0","14,601.0","16,058.0","17,084.0","16,312.0","14,257.0","14,605.0","14,160.0","14,743.0","11,650.0","14,692.0","14,336.0","14,916.0","14,160.0","14,477.0","13,835.0","13,628.0","13,963.0","11,684.0","10,754.0","10,060.0","8,989.0","9,342.0","9,409.0","10,016.0","10,593.0","11,623.0","11,595.0","11,769.0","12,088.0","11,839.0","12,271.0","12,180.0","11,308.0","10,737.0","10,816.0","10,000.0","8,083.0","8,041.0","7,374.0","8,249.0","9,404.0","8,255.0","8,694.0","8,589.0","9,842.0","9,350.0","9,676.0","10,245.0","9,783.0","8,865.0","9,162.0","9,734.0","10,313.0","9,555.0","9,717.0","10,472.0","10,699.0","11,685.0","12,756.0","13,025.0"
"39","20","      Equipment and software","B880RX1","13,771.0","13,365.0","13,636.0","14,109.0","15,152.0","15,238.0","15,795.0","15,833.0","16,412.0","16,809.0","16,524.0","16,507.0","18,437.0","19,376.0","18,400.0","18,729.0","19,586.0","21,658.0","21,389.0","24,033.0","21,174.0","21,410.0","21,824.0","21,461.0","21,681.0","21,910.0","21,274.0","21,514.0","22,590.0","22,637.0","23,035.0","22,556.0","22,284.0","23,149.0","23,169.0","23,332.0","23,399.0","24,428.0","24,534.0","26,073.0","26,155.0","26,754.0","28,539.0","30,492.0","32,350.0","29,731.0","30,147.0","28,780.0","29,138.0","29,643.0","29,831.0","30,159.0","31,836.0","32,816.0","33,179.0","33,576.0","33,350.0","33,486.0","34,043.0","34,584.0","35,695.0","36,416.0","38,254.0"
"40","21","State and local","A829RX1","1,174,843.0","1,184,100.0","1,184,842.0","1,190,686.0","1,188,229.0","1,205,414.0","1,216,286.0","1,234,629.0","1,247,644.0","1,252,095.0","1,256,622.0","1,260,861.0","1,271,060.0","1,294,722.0","1,319,030.0","1,330,234.0","1,345,202.0","1,353,724.0","1,365,654.0","1,382,746.0","1,393,984.0","1,394,221.0","1,401,388.0","1,410,986.0","1,427,331.0","1,456,513.0","1,447,748.0","1,477,614.0","1,494,031.0","1,498,086.0","1,504,195.0","1,506,253.0","1,501,219.0","1,496,591.0","1,502,664.0","1,498,207.0","1,498,441.0","1,502,168.0","1,495,673.0","1,492,013.0","1,490,679.0","1,492,413.0","1,493,513.0","1,497,725.0","1,496,637.0","1,506,287.0","1,510,751.0","1,515,045.0","1,522,861.0","1,527,761.0","1,528,448.0","1,533,329.0","1,532,186.0","1,535,125.0","1,536,184.0","1,526,821.0","1,520,126.0","1,523,813.0","1,520,022.0","1,511,194.0","1,496,767.0","1,499,064.0","1,502,039.0"
"41","22","  Consumption expenditures","A991RX1","976,265.0","981,001.0","984,906.0","989,915.0","989,528.0","1,000,663.0","1,004,090.0","1,009,894.0","1,014,845.0","1,022,469.0","1,031,876.0","1,041,733.0","1,053,755.0","1,065,914.0","1,077,178.0","1,086,197.0","1,096,704.0","1,105,173.0","1,114,044.0","1,121,959.0","1,124,967.0","1,130,813.0","1,136,121.0","1,142,899.0","1,153,970.0","1,166,137.0","1,178,783.0","1,191,664.0","1,203,322.0","1,211,137.0","1,215,577.0","1,215,057.0","1,211,419.0","1,208,792.0","1,205,735.0","1,204,135.0","1,205,980.0","1,207,204.0","1,207,180.0","1,209,132.0","1,210,203.0","1,210,732.0","1,213,720.0","1,213,461.0","1,214,056.0","1,216,537.0","1,222,311.0","1,229,983.0","1,235,480.0","1,239,849.0","1,240,599.0","1,243,359.0","1,241,615.0","1,240,191.0","1,241,330.0","1,237,829.0","1,235,693.0","1,234,675.0","1,229,528.0","1,228,444.0","1,225,070.0","1,222,295.0","1,217,888.0"
