"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","3","       Change in private inventories","A014RX1",40.1,33.5,38.7,21,3.8,17.8,17.9,-14.9,42.1,35.8,34.1,-2,12.3,40.3,43.1,17.3,28.4,55.5,26.5,61.4,29.9,39.3,12.6,46.3,-18.7,-32.7,-5.2,0.3,34.6,52,47,17.2,29.3,43.7,76.6,40.3,48.2,47.2,48.1,57.2,43.3,49,18,13,14.3,12.2,-52.9,-15,61.1,15.3,63.1,32.1,-30.1,-5.9,6.6,-57.5,-53.5,-8.4,-2.9,30.4,96.9,91.1,95.1,59.9,18.5,27.1,22.8,41.9,37.2,18.1,-10.4,-8.8,40.1,22.5,-1.9,84.5,18.6,25.8,21.4,29.5,58.2,44.6,12.3,17.9,16.4,41.1,26.9,-12.6,-20,-23.7,1,34.8,2.6,25.3,23.2,26.6,46,31,2.1,17.3,54.7,98.7,61.6,86.6,72.4,41.3,9.4,15.1,2,29.6,65.5,38.2,51.4,112.9,80.9,94,127.9,49.6,67.4,71.1,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,25.1,57.5,-13,80.8,56,76.6,70.6,15.5,25.2,39.6,93.6,87.2,36.9,77.1,79.9,78.2,112.8,113.5,56.8
"12","4","       Residual","A958RX1",-15.7,-18,-18,-22.5,-24.8,-21.9,-22.2,-29.6,-18.1,-17.5,-19.3,-27,-22.8,-16.5,-16.4,-23.9,-16.6,-8.8,-14.5,-5.4,-13.9,-15.5,-24.7,-3.2,-41.5,-41.5,-29.1,-28.5,-15.6,-10.2,-12,-18.9,-18.6,-11.4,-1.6,-13.8,-8.9,-8.4,-5.2,-11.4,-6.7,-6.2,-20.3,-26.8,-20,-23.5,-51.3,-30.7,-6.5,-25.1,-2.4,-14.5,-39.4,-26.8,-21.9,-46.6,-39.8,-33.1,-31.8,-15.2,4.9,5.2,5.6,-3.7,-15.4,-17.8,-17.8,-10.9,-10.9,-18.4,-23.3,-31.9,-17.1,-20.9,-21.4,-7.8,-17.9,-18.6,-12.8,-15.6,-5.9,-9.8,-18.1,-15.4,-16.8,-11.1,-14.2,-20.1,-20.2,-20.6,-20.3,-11.8,-20.7,-11.3,-14.2,-15.2,-10.4,-13.2,-18.1,-14.8,-10.4,-5.6,-10,-4.7,-7.1,-12,-14.4,-11.1,-14.8,-12.1,-4,-6.6,-12.9,-3.5,-4.1,-3.4,-2,-6.9,-6.4,-6.5,-6.4,-4.6,-4.7,-2.2,-4.5,0.4,-1.3,-0.4,-0.7,-2.6,-1.2,0.1,-2,-3.9,-2.6,-2.3,-0.5,-0.3,0.2,-1.1,-1,0,0.1,0.3,-1,1.2,1.9,2.2,-1.3,-1.1,0.4,1.8,3.1,3.8,2.4,-1.3,0.3,-3.1,1.6,-5.6,-7.9,-0.1,3.5,4.6,3.5,2.8,4.8,2.6,0.9,7.6,-1,8.5,10,8.9,7.5,4.2,7.3,8.7,11.9,14.3,12.4,14.7,10.4,10.3,10.8,10.4,8.4
"13","5","Goods","A353RX1",1057.4,1049.7,1057.2,1048,1042.3,1052.1,1055.9,1016.1,1070.7,1066.9,1076.8,1064.4,1086.6,1140,1156.3,1182.4,1234.4,1266.3,1247.8,1279.6,1257.5,1259.7,1236.8,1229.8,1184.6,1193.6,1234.8,1251.4,1293.6,1313.5,1324.2,1317.5,1333.6,1365.2,1409.1,1401.2,1392.6,1473.6,1484.1,1517.5,1524.5,1516.6,1537.4,1531.6,1548.1,1508.6,1492,1529.3,1605.8,1566.3,1625.3,1570,1515.1,1543.2,1521.6,1490.1,1501.1,1561.1,1591.9,1673.8,1731.3,1767.2,1786.9,1798.7,1796,1805.4,1837.9,1847.4,1865,1863.3,1889.4,1899.9,1907.2,1941.8,1965.2,2015.3,2028.6,2067.5,2070.2,2106.3,2151.2,2180.2,2198.2,2182.9,2214.1,2217.5,2215.1,2172.9,2152.1,2161.8,2182.5,2191.5,2201,2242.6,2270.4,2296.3,2307.8,2331,2315.2,2368.8,2421.4,2471,2480.5,2549.7,2558,2545.8,2567.4,2611.5,2622.4,2691.6,2752.4,2778.4,2815.6,2896.6,2954.2,2980.5,3033.9,3012,3070.7,3169.4,3204.6,3237.3,3289.3,3377.1,3354.3,3464.3,3449.2,3455.7,3387.4,3397.9,3357.7,3384.5,3424.7,3439.5,3472.4,3436.2,3478.1,3501.9,3631,3698.5,3707.7,3735.2,3788.3,3837,3914.7,3925.6,3960.5,4010.7,4122.3,4139.5,4161,4238.1,4232.3,4305.5,4367.1,4420.5,4351.6,4406.1,4354.3,4090.6,3995,3998.5,4038,4197.9,4310.3,4358.3,4457.6,4514.9,4496,4558.4,4542.5,4711.7,4753,4816,4830,4821.1,4908.2,4922.3,5011.9,5123.6,5027.7,5152.4,5265.4,5262.1,5237.6,5313.1,5308.9
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3124.8,3197.4,3244.5,3285.3,3332.2,3368.9,3387.7,3397.2,3413.2,3404.3,3383,3459.4,3422.8,3413.6,3440.3,3401.6,3440.7,3496.1,3617.7,3651.7,3652,3655.7,3718.4,3762.1,3808.6,3889.9,3938,3915.5,4045.8,4057.4,4079.8,4194.6,4208.7,4252.2,4314.4,4398.3,4371,4435.1,4372.4,4163.4,4147.4,4189,4240.9,4242.4,4295.8,4305.1,4334.1,4452.6,4469.1,4491.5,4556.3,4619.8,4684.9,4727.8,4749.6,4800.8,4874.9,4872.8,4902.8,5018.5,4977.5,5057.2,5171.7,5170.3,5108.4,5183.6,5242
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,25.1,57.5,-13,80.8,56,76.6,70.6,15.5,25.2,39.6,93.6,87.2,36.9,77.1,79.9,78.2,112.8,113.5,56.8
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1729.4,1746.3,1805.6,1845,1870.6,1920.4,1908.8,1914,1872.4,1868.5,1833.2,1852.4,1883.7,1892.3,1922,1895.9,1908.6,1946,2017.5,2076.5,2079.3,2101.4,2136.4,2159.2,2221.8,2239,2285.5,2295.6,2338.2,2369.7,2400.8,2408.6,2436.8,2474.4,2519.2,2599.6,2518.8,2511.1,2504.5,2339.4,2183.3,2176.4,2218.8,2284.9,2404.4,2447,2497.7,2521.5,2555.7,2588.5,2626.9,2683.3,2737.2,2776.6,2778.2,2782.5,2821.1,2818.5,2837.5,2897,2885.3,2927.5,3022.7,2978.9,2959.9,3001.8,3006.6
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.3,1731.8,1777.6,1786,1850.6,1863,1874.8,1877.5,1908.5,1887,1860.2,1917.4,1872,1872.3,1903.3,1862.5,1877.5,1938.7,2019.8,2038,2040.9,2049.3,2095.1,2123.8,2153.9,2215.1,2262.4,2232.5,2309.6,2323.6,2347.8,2391.9,2418.8,2468.7,2503,2569.3,2534.8,2554.9,2509.2,2362.5,2323.6,2322.5,2353.7,2331.6,2378.4,2407.7,2427.1,2487.9,2505.5,2538.7,2589.1,2638.3,2674,2697.3,2712.6,2753.2,2791.2,2788.6,2774.3,2829.3,2831.7,2866.4,2950.4,2929.8,2894.7,2939.6,2962.3
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,13.1,29.5,67.3,19.3,64.6,36.1,38.9,-49.5,-27.8,-38,-84.2,8.9,19,17.1,34.9,32,3.3,-8.5,38.8,38.4,54,41.4,34.9,70.7,22.1,21.1,64.8,27.2,46,53.4,15.6,17.1,4.2,14.5,28.3,-18.7,-45.1,-7.9,-25.3,-140.6,-145.5,-134.2,-47.8,22.3,34.8,64.6,29.2,44.8,44.3,33.2,39.8,56.3,71.5,58.8,24.7,25.6,25.5,56.5,60.6,47.7,54.5,64.6,43.5,57.9,55.4,39.1
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.2,1507.4,1492.3,1543.3,1485.5,1548.6,1545.8,1546.9,1521,1537.2,1534.7,1541.5,1548.9,1554.9,1556.2,1546.9,1577.8,1560.5,1618.3,1624.4,1631.1,1635.9,1653.6,1680,1693.3,1685.8,1671.6,1713.4,1784.6,1768.2,1756.9,1829,1792.5,1828.3,1844.6,1815.2,1829.5,1893.4,1847.1,1748.8,1810.8,1821.9,1819.5,1913.8,1906.3,1911.9,1960.3,1993.5,1941.7,1971.1,1918.8,2029.7,2018.7,2042.6,2054.6,2042.1,2089.8,2105.9,2174.6,2226.4,2144.9,2225.5,2245.6,2283.3,2277.4,2311.1,2302.4
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1463.9,1480.7,1477.1,1513.2,1485.9,1512.3,1519.1,1526.6,1506.7,1522.8,1531.1,1547.7,1560.9,1550.5,1543.3,1548.5,1573.7,1563.2,1602,1617.9,1615.2,1609.9,1625.9,1640.6,1656.6,1675,1673.9,1683,1735.9,1732.9,1730.1,1802.3,1788,1780.2,1807.9,1824.7,1833.1,1877.9,1861.3,1800.1,1823.6,1866.4,1887.3,1911.1,1917.5,1897.5,1907.1,1964.7,1963.7,1953.5,1968.4,1983.4,2012.8,2032.4,2039.1,2050.5,2086.4,2086.7,2129.1,2189.1,2147.3,2191.6,2223.5,2241.4,2214.6,2245,2280
"21","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,33.6,20.5,36.2,2.7,41.2,31.7,23.4,16.2,18.1,4.3,-6.6,-14.3,6.4,15,-2.1,2.7,-3.9,17.1,6.6,17.1,26.9,29,41.3,39.3,10.6,-3.3,29.7,51.7,38.2,27.9,26,2.1,45.3,35.5,-5,-1.6,16.4,-12.3,-41.2,-4.1,-44.6,-71.8,-1.9,-11.8,14.5,52.2,29.4,-16.8,15.2,-42.1,41.5,3.8,10,15.4,-6.8,1.6,15.2,39.3,29.5,-7,25.3,18.9,35.6,55.9,58.9,18.8
"22","14","Services \2\","A341RX1",2991.9,3035.6,3054.1,3082.5,3090.5,3097,3121.8,3136.1,3158.9,3177.3,3192.8,3227.9,3266,3292.2,3314.9,3344.1,3369.7,3394.6,3409.8,3420.2,3436.9,3460.4,3478.6,3517.2,3555.4,3606.1,3600.8,3634.7,3656.1,3676.4,3703.9,3740.4,3774.1,3794.7,3836.4,3862.4,3909,3957.2,3981.4,4004.8,4040.9,4060.1,4056.1,4094.6,4109.1,4121.4,4142.1,4174.3,4183.7,4219.3,4219.7,4231.6,4245.2,4258.6,4297.9,4353.4,4410.1,4459.7,4512.6,4503.8,4526.2,4580.7,4618.4,4661.3,4736.7,4789.4,4868.6,4910.4,4948,5004.1,5055,5088.8,5142.9,5182.4,5216.7,5278.9,5339,5381.7,5443.5,5509.4,5538.3,5586.2,5621,5675.9,5715.5,5773.7,5804.5,5819.8,5835.9,5895.4,5916.2,5938.6,6020.3,6062.3,6126.8,6173.5,6180.1,6199.3,6258.7,6287,6323.3,6365.9,6418.5,6441.1,6469.3,6532.9,6582.5,6591.8,6632.9,6695.2,6704.1,6768.6,6794.1,6857.9,6915,6975.9,7016.3,7119.2,7172,7231.1,7279.7,7338.5,7425.2,7516.4,7568.2,7669.4,7699.3,7764.1,7819.2,7845.4,7869,7899.8,7966.7,8030.4,8068.4,8109.4,8120.7,8199.8,8227.8,8293.4,8362.8,8403.9,8469.1,8534.8,8576.8,8625.4,8702.6,8728.3,8781.1,8835.3,8873.2,8953.6,8988.6,9028.5,9091.6,9136.7,9152.8,9182.6,9190.5,9201.2,9179.8,9212.8,9231.7,9257,9256.7,9306.1,9346.2,9381.7,9379.4,9404.5,9428.9,9413.5,9441.6,9441.7,9450,9456,9447.1,9453.8,9459.2,9509.3,9550,9589.3,9646.6,9710.5,9760.7,9808.9,9864.5
"23","15","Structures","A755RX1",817.7,814.4,817,778.9,773.2,750.1,776.1,798.3,811.9,844.4,857.2,872.7,902.3,902.6,903.7,929.5,955.7,934.4,922.1,902,874.7,864.1,827.5,774.1,755.5,737.2,764,790,837.6,826.7,811.6,849.1,867.1,927.4,923.6,915.8,916,997,1030.2,1043.9,1008.7,1017.4,1035.5,1031.8,1008.9,911.5,913.9,954.4,955.5,941.4,914.4,918.5,879.2,853.5,828.8,844.5,872.6,891.3,943.9,968.4,1009.2,1042.8,1056.8,1063.9,1085.2,1099.2,1101.9,1113.3,1131.2,1120.1,1116.3,1112.2,1111.2,1117.7,1130.6,1141.5,1110.6,1132.9,1123.1,1128.2,1124,1104.7,1117.5,1109.9,1133.7,1107.1,1079.7,1040.9,1006.1,1010.9,1004.4,1013.8,1043.8,1050.7,1042.6,1064.7,1059.1,1068.5,1090,1127.7,1114,1150.7,1148.9,1146.6,1144.2,1138,1155.5,1161.7,1182.6,1224.9,1235.6,1261.2,1273.9,1272.8,1289.4,1285.6,1292.3,1348.4,1381.3,1394,1399.7,1402.6,1409.3,1429.5,1449,1454.1,1461.4,1465.2,1459.2,1494.8,1478.1,1447.9,1455.1,1446.7,1432.8,1445.4,1454.2,1474.2,1527.5,1546.7,1547.4,1580.2,1583.4,1586.3,1611.4,1626.6,1633,1636.1,1639.2,1610.9,1564.2,1520.1,1501,1499.3,1474.7,1430.9,1383.2,1374.1,1346.7,1283,1199.8,1144.4,1132.9,1087.2,1038.5,1083,1043.4,1044.8,1007.4,1029.5,1052.4,1071.7,1104,1113.9,1110.1,1116,1113.5,1135.9,1158.4,1148,1160.8,1178.6,1180.4,1199.9,1197.1,1232,1239.2
"24","16","Residual","A959RX1",-175.4,-193,-192.2,-193.9,-198.9,-183.8,-196.6,-242.2,-207.2,-226.7,-226.8,-250.7,-252.5,-216.5,-209.5,-204.8,-179.3,-153.8,-167.8,-139.4,-152.1,-152.9,-164.2,-163.9,-203.1,-203.7,-178.2,-181.7,-168.8,-155.6,-149.9,-174.5,-175.6,-174.3,-151.5,-161.2,-178.4,-153.8,-160.4,-145.9,-141.1,-153.3,-141.9,-154.1,-141.2,-148.9,-165.1,-156.8,-109.3,-139.7,-96.5,-135,-164.5,-145.1,-161.5,-194.9,-205.6,-183.8,-188.4,-144.5,-126.1,-124.7,-124.6,-127.9,-148.4,-156.1,-153.2,-158.5,-160.1,-167.7,-162.1,-161.4,-166.3,-157.2,-154.5,-143,-138.9,-132.6,-138.5,-133,-115.8,-105,-105.2,-118.5,-116.2,-116.6,-115.4,-126.2,-128.5,-133.7,-125.8,-127.5,-142.1,-132.1,-126.6,-128,-122.9,-118.7,-137.6,-130,-110.5,-106.2,-108.2,-84.9,-84.6,-94.6,-96.6,-83.8,-89.2,-82.3,-65.3,-69.1,-62.7,-43.1,-34.6,-31.7,-21.3,-48.6,-43.4,-23.8,-51.9,-37.8,-26.1,-25.3,-16.6,-12.1,-14.7,-16.4,-17,-30,-34.6,-16.7,-27,-32.3,-24.1,-34.6,-29.6,-23.2,-13.3,-12.7,-15.3,-18,-13.1,-11.3,-9.6,-2.1,2.1,-1,1.4,2.7,6,7.4,10.4,12.5,11.3,6.9,5.9,2.6,4.1,-3.3,-7.1,-0.4,2.9,4.7,3.2,2.3,4.9,1.3,-2.7,3.9,-8.8,2.1,-1.5,-4.4,-5.1,-9.4,-8.1,-5.6,-2.3,-4.3,-5.6,-4.1,-15.6,-9,-3.7,-6.2,-9.8
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Motor vehicle output","A953RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.2,343.6,354.1,361.3,366.8,352.9,336.6,325.1,310.4,333.1,330.1,343.4,360.7,365.6,376.3,364.4,356.2,373.8,375.2,380.5,382.8,376.9,394.4,392.7,394.4,400.6,421.8,389.4,403.5,395.4,398.4,388.2,398.9,403.7,401.5,385.7,369.7,349.6,326.3,259.4,209.4,222.7,272.4,282.8,305.9,318.8,336.5,324.8,348.6,342.3,352.2,370.9,394.2,401,401,398.9,414.9,423.4,408.1,427,429.2,445.9,466.5,452.7,454.4,470,486.6
"27","18","  Gross domestic product excluding motor vehicle output","A962RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11517.4,11613,11750.9,11953.6,11982.5,12236.6,12273.4,12360.3,12342.7,12381,12344.2,12362.8,12458.9,12524.1,12573.9,12596.9,12674.4,12774.8,12994.5,13145.4,13220.8,13327.9,13432.9,13554.8,13702.2,13769,13864.6,13982.7,14140.3,14192.9,14202.8,14328.2,14325.8,14433.6,14535.9,14605.8,14519.9,14614.4,14566.3,14317.6,14164.8,14132.9,14130.5,14259.4,14298.5,14426.1,14507.4,14612.9,14530.7,14645.7,14667.1,14816.8,14893.5,14958,14976.4,14982,15038.5,15072.7,15202.9,15330.5,15291.6,15451,15597.3,15694.1,15718.3,15858.6,15902.2
"28","19","  Final sales of computers \3\","BB01RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,18.5,19.9,19.7,22.1,24.4,25.1,26.3,28.7,27.7,26.4,27.7,27.4,27.5,29.1,29.9,30.9,30.9,35.1,36.5,34.2,34.2,34.7,36.9,37.6,40.3,41.8,44.6,48,50.4,52,54.6,54.5,55.4,61.4,67.2,67.8,71.4,70.1,70.4,75.6,74.8,71,68.6,72.8,67.3,65.9,71,72.5,74,75.8,79.7,83.3,82.9,86.5,95.2,98.3,101,99.4,100.5,101.8,103.8,104.9,97.1,103.6,113,113.4
