"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"46","27","      Trucks","B706RC1","444.0","624.0","572.0","564.0","580.0","580.0","612.0","544.0","608.0","648.0","680.0","552.0","648.0","676.0","688.0","832.0","900.0","844.0","836.0","972.0","1,220.0","1,260.0","1,460.0","1,636.0","1,828.0","2,308.0","2,468.0","2,192.0","1,892.0","2,064.0","2,080.0","2,240.0","2,092.0","1,880.0","2,096.0","2,096.0","2,320.0","2,776.0","2,620.0","3,328.0","3,188.0","3,384.0","3,245.0","3,689.0","2,930.0","2,975.0","3,128.0","3,315.0","3,441.0","3,427.0","3,317.0","3,339.0","2,906.0","2,828.0","2,181.0","2,494.0","1,856.0","2,030.0","2,298.0","2,498.0","2,499.0","2,400.0","2,753.0","2,823.0","2,625.0","3,046.0","3,378.0","3,598.0","3,257.0","4,339.0","3,568.0","3,828.0","4,170.0","4,394.0","4,286.0","5,384.0","5,154.0","5,153.0","5,478.0","5,545.0","8,690.0","5,015.0","6,084.0","5,830.0","6,272.0","5,189.0","3,863.0","4,385.0","6,191.0","5,531.0","5,494.0","5,526.0","6,555.0","7,670.0","8,083.0","9,100.0","8,587.0","8,432.0","8,222.0","10,093.0","10,201.0","10,137.0","11,436.0","10,876.0","12,230.0","11,221.0","12,312.0","11,435.0","12,095.0","12,008.0","13,011.0","13,164.0","13,314.0","13,650.0","15,349.0","15,723.0","15,884.0","14,291.0","12,061.0","13,059.0","13,044.0","13,480.0","13,505.0","13,825.0","14,919.0","14,365.0","13,209.0","13,070.0","11,601.0","12,533.0","12,326.0","12,385.0","12,957.0","13,568.0","14,031.0","15,517.0","15,266.0","17,602.0","15,581.0","17,891.0","17,188.0","18,630.0","22,525.0","21,936.0","23,044.0","23,107.0","23,645.0","24,424.0","25,441.0","24,876.0","25,614.0","24,744.0","26,659.0","30,093.0","29,191.0","30,253.0","28,104.0","29,222.0","30,655.0","24,307.0","16,490.0","15,465.0","20,336.0","24,260.0","25,916.0","27,062.0","27,162.0","27,727.0","29,991.0","32,590.0","35,136.0","33,316.0","34,321.0","35,278.0","34,723.0","33,390.0","35,098.0","36,396.0","35,234.0"
"47","28","    Imports","AB70RC1","3,156.0","4,192.0","4,424.0","4,500.0","4,224.0","4,480.0","4,464.0","4,548.0","5,300.0","5,648.0","6,532.0","6,224.0","6,576.0","6,764.0","6,520.0","7,552.0","7,572.0","7,920.0","7,648.0","8,092.0","8,576.0","8,908.0","9,132.0","8,424.0","7,568.0","7,628.0","8,928.0","9,624.0","10,884.0","11,304.0","10,800.0","11,048.0","11,552.0","12,550.0","13,818.0","15,225.0","15,858.0","17,767.0","17,487.0","18,519.0","17,757.0","19,072.0","18,391.0","19,620.0","20,984.0","19,904.0","21,523.0","22,058.0","21,428.0","22,774.0","22,424.0","24,424.0","25,506.0","26,632.0","26,626.0","23,530.0","26,714.0","29,669.0","29,236.0","34,173.0","37,233.0","38,854.0","39,290.0","40,294.0","40,977.0","44,232.0","46,648.0","50,263.0","50,536.0","55,740.0","59,459.0","56,843.0","57,326.0","60,140.0","57,394.0","59,806.0","57,558.0","56,322.0","56,413.0","59,310.0","59,743.0","56,238.0","50,718.0","52,401.0","54,137.0","57,551.0","55,965.0","57,085.0","55,469.0","51,724.0","57,546.0","57,191.0","58,186.0","56,902.0","56,033.0","59,286.0","63,296.0","63,299.0","61,765.0","65,212.0","63,560.0","71,936.0","74,986.0","80,541.0","80,830.0","79,370.0","73,426.0","72,326.0","75,960.0","79,869.0","82,812.0","78,525.0","87,540.0","87,923.0","89,249.0","85,968.0","90,744.0","92,126.0","89,753.0","103,196.0","111,558.0","114,489.0","119,478.0","121,258.0","128,812.0","127,092.0","129,232.0","127,831.0","126,781.0","126,196.0","127,313.0","124,644.0","128,330.0","132,344.0","135,923.0","137,925.0","131,379.0","137,790.0","129,261.0","139,507.0","139,558.0","145,931.0","145,437.0","143,002.0","141,024.0","143,248.0","145,746.0","155,230.0","160,860.0","159,766.0","155,891.0","164,026.0","155,837.0","154,960.0","162,771.0","156,070.0","158,187.0","155,332.0","137,923.0","115,857.0","74,588.0","74,818.0","102,488.0","121,053.0","118,244.0","134,456.0","135,422.0","137,253.0","142,402.0","125,494.0","150,095.0","153,338.0","166,632.0","167,442.0","173,494.0","173,514.0","166,239.0","178,393.0","187,386.0"
"48","29","      Autos","B143RC1","2,528.0","3,524.0","3,688.0","3,684.0","3,540.0","3,804.0","3,668.0","3,828.0","4,564.0","4,840.0","5,656.0","5,304.0","5,620.0","5,576.0","5,356.0","6,344.0","6,352.0","6,564.0","6,364.0","6,824.0","7,316.0","7,540.0","7,556.0","6,816.0","6,276.0","6,408.0","7,676.0","8,180.0","8,924.0","9,172.0","8,656.0","9,036.0","9,256.0","10,070.0","11,270.0","12,009.0","12,551.0","13,624.0","13,850.0","14,581.0","13,721.0","14,957.0","15,130.0","15,706.0","17,074.0","16,038.0","17,284.0","17,513.0","16,996.0","18,160.0","17,344.0","18,791.0","19,708.0","20,757.0","21,531.0","19,167.0","21,878.0","23,632.0","23,377.0","26,870.0","29,833.0","30,217.0","30,956.0","31,554.0","31,420.0","33,900.0","36,253.0","37,923.0","38,067.0","42,367.0","45,157.0","44,153.0","42,396.0","44,490.0","42,876.0","44,154.0","41,559.0","40,282.0","40,787.0","42,311.0","42,927.0","40,413.0","37,637.0","36,715.0","37,108.0","38,850.0","37,839.0","38,127.0","36,612.0","33,823.0","38,038.0","35,783.0","35,158.0","35,522.0","35,683.0","37,018.0","40,273.0","40,643.0","40,696.0","42,412.0","38,822.0","43,325.0","44,723.0","48,575.0","51,112.0","50,650.0","46,605.0","45,317.0","45,359.0","45,202.0","46,392.0","44,440.0","50,670.0","51,073.0","51,778.0","49,790.0","51,723.0","52,943.0","50,197.0","57,501.0","61,419.0","62,463.0","65,753.0","65,613.0","68,816.0","69,179.0","70,354.0","70,182.0","70,337.0","68,413.0","67,765.0","65,911.0","68,917.0","74,299.0","74,286.0","73,625.0","68,638.0","71,194.0","68,501.0","74,445.0","70,554.0","70,088.0","75,314.0","71,357.0","68,185.0","67,676.0","69,407.0","73,440.0","74,124.0","74,035.0","78,350.0","82,345.0","72,935.0","75,178.0","81,493.0","77,091.0","80,343.0","79,667.0","79,147.0","71,525.0","43,086.0","44,391.0","62,119.0","70,329.0","62,771.0","73,996.0","79,701.0","78,706.0","81,670.0","69,900.0","87,945.0","90,923.0","97,363.0","98,920.0","100,476.0","103,880.0","103,906.0","112,425.0","114,703.0"
"49","30","      Trucks","B707RC1","628.0","668.0","736.0","816.0","684.0","676.0","796.0","720.0","736.0","808.0","876.0","920.0","956.0","1,188.0","1,164.0","1,208.0","1,220.0","1,356.0","1,284.0","1,268.0","1,260.0","1,368.0","1,576.0","1,608.0","1,292.0","1,220.0","1,252.0","1,444.0","1,960.0","2,132.0","2,144.0","2,012.0","2,296.0","2,480.0","2,548.0","3,216.0","3,307.0","4,143.0","3,637.0","3,938.0","4,036.0","4,115.0","3,261.0","3,914.0","3,910.0","3,866.0","4,239.0","4,545.0","4,432.0","4,614.0","5,080.0","5,633.0","5,798.0","5,875.0","5,095.0","4,363.0","4,836.0","6,037.0","5,859.0","7,303.0","7,400.0","8,637.0","8,334.0","8,740.0","9,557.0","10,332.0","10,395.0","12,340.0","12,469.0","13,373.0","14,302.0","12,690.0","14,930.0","15,650.0","14,518.0","15,652.0","15,999.0","16,040.0","15,626.0","16,999.0","16,816.0","15,825.0","13,081.0","15,686.0","17,029.0","18,701.0","18,126.0","18,958.0","18,857.0","17,901.0","19,508.0","21,408.0","23,028.0","21,380.0","20,350.0","22,268.0","23,023.0","22,656.0","21,069.0","22,800.0","24,738.0","28,611.0","30,263.0","31,966.0","29,718.0","28,720.0","26,821.0","27,009.0","30,601.0","34,667.0","36,420.0","34,085.0","36,870.0","36,850.0","37,471.0","36,178.0","39,021.0","39,183.0","39,556.0","45,695.0","50,139.0","52,026.0","53,725.0","55,645.0","59,996.0","57,913.0","58,878.0","57,649.0","56,444.0","57,783.0","59,548.0","58,733.0","59,413.0","58,045.0","61,637.0","64,300.0","62,741.0","66,596.0","60,760.0","65,062.0","69,004.0","75,843.0","70,123.0","71,645.0","72,839.0","75,572.0","76,339.0","81,790.0","86,736.0","85,731.0","77,541.0","81,681.0","82,902.0","79,782.0","81,278.0","78,979.0","77,844.0","75,665.0","58,776.0","44,332.0","31,502.0","30,427.0","40,369.0","50,724.0","55,473.0","60,460.0","55,721.0","58,547.0","60,732.0","55,594.0","62,150.0","62,415.0","69,269.0","68,522.0","73,018.0","69,634.0","62,333.0","65,968.0","72,683.0"
"50","31","Change in private inventories","AB65RC1","425.0","-1,060.0","2,767.0","-347.0","-1,276.0","1,179.0","432.0","-4,259.0","6,343.0","1,816.0","-634.0","-270.0","2,434.0","538.0","-4,749.0","693.0","2,584.0","208.0","85.0","2,455.0","1,329.0","-432.0","3,514.0","7,421.0","-5,140.0","-690.0","481.0","-1,877.0","1,872.0","4,281.0","-178.0","1,894.0","1,622.0","1,729.0","5,605.0","4,402.0","3,459.0","-160.0","-112.0","5,278.0","8,761.0","5,901.0","-6,709.0","-6,518.0","-8,042.0","-1,435.0","-5,034.0","6,342.0","-4,679.0","10,194.0","-3,847.0","5,513.0","-11,054.0","6,222.0","7,881.0","-14,628.0","3,394.0","-5,380.0","2,964.0","9,551.0","9,142.0","-3,696.0","2,389.0","14,933.0","-1,318.0","5,322.0","-2,518.0","18,274.0","9,288.0","6,284.0","-11,436.0","4,825.0","25,859.0","6,908.0","-11,705.0","15,125.0","-11,048.0","5,309.0","3,424.0","9,241.0","17,267.0","4,786.0","-12,157.0","6,223.0","-15,993.0","4,830.0","5,472.0","-6,994.0","-15,184.0","-909.0","6,332.0","3,502.0","-4,312.0","1,943.0","1,042.0","3,681.0","15,356.0","-2,882.0","-5,617.0","1,215.0","617.0","4,505.0","7,499.0","8,770.0","16,476.0","12,605.0","-5,658.0","3,375.0","-22,177.0","13,683.0","10,722.0","-11,512.0","-4,196.0","6,015.0","5,861.0","9,387.0","18,674.0","-8,841.0","-7,669.0","-507.0","19,335.0","-1,707.0","4,126.0","24,935.0","5,301.0","24,663.0","9,809.0","2,415.0","-26,223.0","5,183.0","4,651.0","-38,431.0","11,342.0","16,182.0","1,376.0","23,452.0","9,519.0","13,533.0","-8,633.0","12,658.0","13,003.0","6,100.0","1,508.0","-13,931.0","-5,280.0","-13,530.0","-7,990.0","20,898.0","8,710.0","5,584.0","-2,325.0","-6,228.0","-2,421.0","-529.0","5,427.0","-19,690.0","-7,996.0","1,761.0","-9,978.0","-7,986.0","-57,795.0","-46,631.0","-16,819.0","28,333.0","23,336.0","21,513.0","23,858.0","-10,699.0","984.0","-12,181.0","4,414.0","6,010.0","19,965.0","21,173.0","17,759.0","6,089.0","290.0","17,511.0","8,926.0"
"51","32","  Autos","A145RC1","372.0","-625.0","2,232.0","-710.0","-1,249.0","1,113.0","397.0","-3,816.0","5,306.0","1,396.0","-767.0","421.0","2,273.0","89.0","-4,258.0","168.0","2,884.0","-261.0","-483.0","2,756.0","303.0","125.0","3,252.0","4,834.0","-5,249.0","-267.0","1,387.0","-534.0","1,969.0","3,310.0","-631.0","2,252.0","1,646.0","1,499.0","2,163.0","3,356.0","4,643.0","1,312.0","-1,226.0","2,786.0","3,597.0","3,219.0","-4,056.0","-2,191.0","-5,737.0","1,479.0","-980.0","5,090.0","-4,129.0","10,401.0","-1,855.0","3,920.0","-9,787.0","3,514.0","6,942.0","-11,072.0","3,876.0","-5,454.0","3,512.0","7,127.0","6,493.0","-4,854.0","-627.0","10,633.0","1,491.0","3,682.0","-3,331.0","16,085.0","5,524.0","4,569.0","-6,041.0","5,042.0","20,454.0","6,729.0","-10,433.0","11,764.0","-10,794.0","5,940.0","4,203.0","5,319.0","11,614.0","3,510.0","-8,519.0","4,009.0","-8,016.0","1,174.0","3,045.0","-5,037.0","-5,478.0","-404.0","5,798.0","1,295.0","-8,260.0","3,095.0","2,843.0","1,109.0","8,307.0","538.0","-3,172.0","1,588.0","-2,667.0","1,034.0","698.0","5,432.0","14,381.0","7,982.0","-9,398.0","651.0","-18,255.0","7,306.0","5,791.0","-8,387.0","-4,701.0","5,892.0","4,870.0","642.0","8,148.0","-2,960.0","5,096.0","2,318.0","7,071.0","-4,218.0","-4,319.0","11,179.0","-93.0","8,779.0","9,327.0","-1,854.0","-8,196.0","1,671.0","1,611.0","-10,971.0","15,724.0","7,425.0","-4,579.0","10,862.0","-8,411.0","3,972.0","-7,018.0","397.0","-3,136.0","-658.0","-2,537.0","-9,827.0","28.0","-6,101.0","-7,668.0","6,572.0","4,936.0","3,271.0","-1,061.0","6,662.0","2,388.0","-2,312.0","2,473.0","-12,382.0","566.0","-4,352.0","14,890.0","13,096.0","-22,780.0","-11,462.0","-14,853.0","15,256.0","13,189.0","13,781.0","7,259.0","-11,371.0","-6,406.0","-9,744.0","1,196.0","3,220.0","8,543.0","11,039.0","12,492.0","3,136.0","5,745.0","10,558.0","-3,299.0"
"52","33","    New","B146RC1","872.0","-968.0","2,056.0","-880.0","-1,532.0","1,160.0","16.0","-2,724.0","4,665.0","1,448.0","-822.0","340.0","2,678.0","197.0","-3,727.0","327.0","2,677.0","-504.0","-554.0","2,768.0","527.0","620.0","3,013.0","5,494.0","-5,587.0","-54.0","1,146.0","-1,161.0","1,582.0","3,348.0","-472.0","1,922.0","1,762.0","315.0","2,062.0","3,274.0","4,890.0","923.0","-922.0","2,908.0","3,391.0","3,429.0","-4,484.0","-2,172.0","-4,643.0","2,471.0","-492.0","5,695.0","-5,039.0","11,070.0","-2,254.0","4,136.0","-9,920.0","3,360.0","7,119.0","-11,509.0","3,403.0","-6,342.0","3,589.0","6,637.0","5,709.0","-5,331.0","-609.0","9,682.0","1,318.0","2,379.0","-6,084.0","17,311.0","5,355.0","2,637.0","-9,035.0","5,364.0","20,407.0","5,749.0","-11,879.0","11,329.0","-12,745.0","6,467.0","714.0","4,531.0","11,806.0","981.0","-12,593.0","6,439.0","-9,471.0","2,288.0","2,918.0","-3,968.0","-4,766.0","-2,230.0","5,405.0","615.0","-6,025.0","3,071.0","3,338.0","-68.0","10,359.0","-1,973.0","-3,505.0","-1,208.0","-1,492.0","-288.0","642.0","3,215.0","13,922.0","5,623.0","-8,740.0","-1,408.0","-21,084.0","5,138.0","4,224.0","-10,260.0","-3,162.0","4,497.0","1,026.0","-447.0","5,050.0","-11,046.0","10,250.0","5,445.0","4,468.0","-1,658.0","-2,733.0","4,576.0","-1,495.0","2,389.0","2,193.0","1,491.0","-11,300.0","-3,678.0","1,495.0","-12,502.0","14,523.0","8,962.0","-1,931.0","8,970.0","-8,348.0","6,837.0","-5,559.0","1,931.0","75.0","205.0","-414.0","-5,985.0","2,854.0","-4,641.0","-7,125.0","4,701.0","4,557.0","4,158.0","-2,522.0","4,426.0","-1,218.0","-2,629.0","393.0","-11,515.0","725.0","-2,328.0","13,923.0","13,722.0","-20,560.0","-12,794.0","-19,270.0","3,969.0","4,806.0","10,784.0","5,145.0","-7,030.0","-4,890.0","-7,262.0","2,927.0","6,656.0","7,346.0","11,681.0","13,100.0","2,804.0","5,778.0","12,789.0","-3,181.0"
"53","34","      Domestic","AB71RC1","1,136.0","-1,516.0","1,792.0","-760.0","-1,752.0","1,060.0","-60.0","-2,700.0","4,317.0","1,188.0","-1,546.0","-624.0","2,162.0","-51.0","-3,691.0","647.0","3,120.0","-85.0","-385.0","3,153.0","-922.0","-1,345.0","1,648.0","5,492.0","-4,179.0","1,319.0","1,490.0","-2,162.0","466.0","1,132.0","-324.0","1,614.0","2,106.0","2,451.0","2,312.0","1,616.0","2,013.0","-1,326.0","-1,622.0","1,837.0","5,347.0","6,268.0","-4,457.0","-2,826.0","-3,553.0","244.0","-1,800.0","5,872.0","-4,393.0","11,072.0","-932.0","3,051.0","-10,650.0","1,146.0","7,709.0","-9,323.0","4,889.0","-4,212.0","3,754.0","7,255.0","4,284.0","-3,933.0","-1,331.0","7,783.0","802.0","1,373.0","-6,367.0","15,774.0","5,571.0","117.0","-11,571.0","3,625.0","17,438.0","968.0","-12,966.0","10,785.0","-11,488.0","5,157.0","539.0","3,525.0","10,160.0","3,053.0","-12,637.0","8,280.0","-11,306.0","3,063.0","3,400.0","-5,823.0","-6,346.0","-1,189.0","4,665.0","137.0","-5,739.0","3,747.0","3,142.0","988.0","7,062.0","-1,304.0","-1,254.0","-1,288.0","1,752.0","1,927.0","1,170.0","3,045.0","15,769.0","2,211.0","-4,058.0","-1,768.0","-14,346.0","4,243.0","4,609.0","-9,944.0","-3,814.0","4,102.0","1,624.0","-697.0","3,472.0","-11,950.0","11,494.0","2,768.0","4,136.0","-3,003.0","-2,877.0","1,435.0","-2,436.0","2,469.0","1,770.0","710.0","-13,030.0","-3,195.0","-432.0","-11,849.0","13,726.0","8,101.0","272.0","3,565.0","-4,914.0","3,750.0","-3,232.0","158.0","669.0","574.0","-2,191.0","-1,186.0","752.0","-4,453.0","-4,975.0","6,281.0","2,441.0","2,530.0","-1,195.0","2,055.0","36.0","510.0","-2,777.0","-9,318.0","-3,224.0","-2,287.0","10,358.0","12,705.0","-15,645.0","-10,941.0","-12,526.0","3,127.0","6,008.0","3,890.0","4,663.0","-4,630.0","-2,665.0","-1,908.0","1,069.0","6,464.0","5,555.0","7,103.0","10,653.0","3,439.0","4,391.0","6,315.0","-1,477.0"
"54","35","      Foreign","AB72RC1","-264.0","548.0","264.0","-120.0","220.0","100.0","76.0","-24.0","348.0","260.0","724.0","964.0","516.0","248.0","-36.0","-320.0","-443.0","-419.0","-169.0","-385.0","1,449.0","1,966.0","1,365.0","1.0","-1,409.0","-1,373.0","-344.0","1,001.0","1,116.0","2,216.0","-148.0","308.0","-344.0","-2,136.0","-249.0","1,659.0","2,877.0","2,249.0","700.0","1,070.0","-1,956.0","-2,840.0","-27.0","654.0","-1,090.0","2,227.0","1,309.0","-177.0","-647.0","-2.0","-1,323.0","1,085.0","730.0","2,214.0","-590.0","-2,186.0","-1,486.0","-2,130.0","-165.0","-618.0","1,425.0","-1,398.0","722.0","1,899.0","516.0","1,006.0","283.0","1,537.0","-216.0","2,520.0","2,536.0","1,739.0","2,969.0","4,781.0","1,087.0","544.0","-1,257.0","1,310.0","175.0","1,006.0","1,646.0","-2,072.0","44.0","-1,841.0","1,835.0","-775.0","-482.0","1,855.0","1,580.0","-1,041.0","740.0","478.0","-286.0","-676.0","196.0","-1,056.0","3,297.0","-669.0","-2,251.0","80.0","-3,243.0","-2,216.0","-528.0","170.0","-1,847.0","3,412.0","-4,682.0","360.0","-6,738.0","894.0","-384.0","-315.0","652.0","395.0","-598.0","250.0","1,578.0","904.0","-1,244.0","2,677.0","332.0","1,346.0","144.0","3,141.0","941.0","-79.0","422.0","780.0","1,730.0","-482.0","1,927.0","-653.0","798.0","861.0","-2,203.0","5,405.0","-3,434.0","3,087.0","-2,327.0","1,773.0","-593.0","-368.0","1,777.0","-4,798.0","2,101.0","-188.0","-2,151.0","-1,580.0","2,117.0","1,627.0","-1,327.0","2,371.0","-1,254.0","-3,140.0","3,169.0","-2,196.0","3,948.0","-42.0","3,565.0","1,017.0","-4,914.0","-1,853.0","-6,744.0","842.0","-1,202.0","6,894.0","482.0","-2,400.0","-2,225.0","-5,354.0","1,859.0","192.0","1,791.0","4,579.0","2,447.0","-635.0","1,386.0","6,475.0","-1,704.0"
"55","36","    Used","B147RC1","-500.0","343.0","176.0","170.0","283.0","-47.0","381.0","-1,092.0","641.0","-52.0","55.0","81.0","-405.0","-108.0","-531.0","-159.0","207.0","243.0","71.0","-12.0","-224.0","-495.0","239.0","-660.0","338.0","-213.0","241.0","627.0","387.0","-38.0","-159.0","330.0","-116.0","1,184.0","101.0","82.0","-247.0","389.0","-304.0","-122.0","206.0","-210.0","428.0","-19.0","-1,094.0","-992.0","-488.0","-605.0","910.0","-669.0","399.0","-216.0","133.0","154.0","-177.0","437.0","473.0","888.0","-77.0","490.0","784.0","477.0","-18.0","951.0","173.0","1,303.0","2,753.0","-1,226.0","169.0","1,932.0","2,994.0","-322.0","47.0","980.0","1,446.0","435.0","1,951.0","-527.0","3,489.0","788.0","-192.0","2,529.0","4,074.0","-2,430.0","1,455.0","-1,114.0","127.0","-1,069.0","-712.0","1,826.0","393.0","680.0","-2,235.0","24.0","-495.0","1,177.0","-2,052.0","2,511.0","333.0","2,796.0","-1,175.0","1,322.0","56.0","2,217.0","459.0","2,359.0","-658.0","2,059.0","2,829.0","2,168.0","1,567.0","1,873.0","-1,539.0","1,395.0","3,844.0","1,089.0","3,098.0","8,086.0","-5,154.0","-3,127.0","2,603.0","-2,560.0","-1,586.0","6,603.0","1,402.0","6,390.0","7,134.0","-3,345.0","3,104.0","5,349.0","116.0","1,531.0","1,201.0","-1,537.0","-2,648.0","1,892.0","-63.0","-2,865.0","-1,459.0","-1,534.0","-3,211.0","-863.0","-2,123.0","-3,842.0","-2,826.0","-1,460.0","-543.0","1,871.0","379.0","-887.0","1,461.0","2,236.0","3,606.0","317.0","2,080.0","-867.0","-159.0","-2,024.0","967.0","-626.0","-2,220.0","1,332.0","4,417.0","11,287.0","8,383.0","2,997.0","2,114.0","-4,341.0","-1,516.0","-2,482.0","-1,731.0","-3,436.0","1,197.0","-642.0","-608.0","332.0","-33.0","-2,231.0","-118.0"
"56","37","  Trucks","B709RC1","53.0","-435.0","535.0","363.0","-27.0","66.0","35.0","-443.0","1,037.0","420.0","133.0","-691.0","161.0","449.0","-491.0","525.0","-300.0","469.0","568.0","-301.0","1,026.0","-557.0","262.0","2,587.0","109.0","-423.0","-906.0","-1,343.0","-97.0","971.0","453.0","-358.0","-24.0","230.0","3,442.0","1,046.0","-1,184.0","-1,472.0","1,114.0","2,492.0","5,164.0","2,682.0","-2,653.0","-4,327.0","-2,305.0","-2,914.0","-4,054.0","1,252.0","-550.0","-207.0","-1,992.0","1,593.0","-1,267.0","2,708.0","939.0","-3,556.0","-482.0","74.0","-548.0","2,424.0","2,649.0","1,158.0","3,016.0","4,300.0","-2,809.0","1,640.0","813.0","2,189.0","3,764.0","1,715.0","-5,395.0","-217.0","5,405.0","179.0","-1,272.0","3,361.0","-254.0","-631.0","-779.0","3,922.0","5,653.0","1,276.0","-3,638.0","2,214.0","-7,977.0","3,656.0","2,427.0","-1,957.0","-9,706.0","-505.0","534.0","2,207.0","3,948.0","-1,152.0","-1,801.0","2,572.0","7,049.0","-3,420.0","-2,445.0","-373.0","3,284.0","3,471.0","6,801.0","3,338.0","2,095.0","4,623.0","3,740.0","2,724.0","-3,922.0","6,377.0","4,931.0","-3,125.0","505.0","123.0","991.0","8,745.0","10,526.0","-5,881.0","-12,765.0","-2,825.0","12,264.0","2,511.0","8,445.0","13,756.0","5,394.0","15,884.0","482.0","4,269.0","-18,027.0","3,512.0","3,040.0","-27,460.0","-4,382.0","8,757.0","5,955.0","12,590.0","17,930.0","9,561.0","-1,615.0","12,261.0","16,139.0","6,758.0","4,045.0","-4,104.0","-5,308.0","-7,429.0","-322.0","14,326.0","3,774.0","2,313.0","-1,264.0","-12,890.0","-4,809.0","1,783.0","2,954.0","-7,308.0","-8,562.0","6,113.0","-24,868.0","-21,082.0","-35,015.0","-35,169.0","-1,966.0","13,077.0","10,147.0","7,732.0","16,599.0","672.0","7,390.0","-2,437.0","3,218.0","2,790.0","11,422.0","10,134.0","5,267.0","2,953.0","-5,455.0","6,953.0","12,225.0"
"57","38","    New","W244RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-300.0","469.0","568.0","-301.0","1,026.0","-557.0","262.0","2,587.0","109.0","-423.0","-906.0","-1,343.0","-97.0","971.0","453.0","-358.0","-24.0","230.0","3,442.0","1,046.0","-1,184.0","-1,472.0","1,114.0","2,492.0","5,164.0","2,682.0","-2,653.0","-4,327.0","-2,305.0","-2,914.0","-4,054.0","1,252.0","-550.0","-207.0","-1,992.0","1,593.0","-1,267.0","2,708.0","939.0","-3,556.0","-639.0","-93.0","-675.0","2,327.0","2,621.0","1,114.0","2,951.0","4,175.0","-3,057.0","1,389.0","544.0","2,068.0","4,058.0","2,169.0","-4,834.0","199.0","5,466.0","-64.0","-1,721.0","2,843.0","-565.0","-870.0","-936.0","3,822.0","5,603.0","1,250.0","-3,716.0","2,108.0","-8,308.0","3,370.0","2,215.0","-2,053.0","-9,622.0","-359.0","693.0","2,355.0","3,939.0","-1,292.0","-2,087.0","2,151.0","6,599.0","-4,047.0","-3,181.0","-1,329.0","2,247.0","2,405.0","5,852.0","2,476.0","1,918.0","4,590.0","3,662.0","2,386.0","-5,555.0","4,556.0","3,151.0","-4,646.0","3,666.0","2,169.0","1,721.0","5,495.0","6,559.0","-12,483.0","-8,273.0","4,697.0","10,255.0","6,464.0","8,383.0","8,548.0","4,027.0","11,670.0","-3,403.0","6,013.0","-20,168.0","-313.0","3,187.0","-28,415.0","-5,413.0","10,043.0","8,185.0","10,951.0","19,088.0","12,217.0","-3,501.0","7,936.0","15,781.0","5,683.0","1,490.0","-3,023.0","-2,051.0","-8,919.0","-3,109.0","13,604.0","-224.0","2,838.0","-924.0","-12,662.0","-6,499.0","2,651.0","1,406.0","-8,338.0","-9,335.0","4,764.0","-27,771.0","-20,531.0","-31,789.0","-33,937.0","-3,364.0","3,090.0","8,104.0","8,324.0","16,403.0","1,860.0","8,434.0","-392.0","1,749.0","1,967.0","14,028.0","12,009.0","8,009.0","1,024.0","-9,570.0","2,835.0","7,890.0"
