"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Durable goods","DDURRD3",30.655,28.863,25.767,22.698,22.15,23.482,23.355,23.489,24.458,24.438,24.139,24.387,26.192,30.657,33.438,37.59,39.768,41.406,45.038,47.342,47.665,47.907,51.119,51.434,51.032,49.91,49.721,50.92,52.796,53.752,54.604,54.4,54.538,54.77,54.981,55.229,54.777,54.656,55.534,57.313,58.929
"12","5","    Nondurable goods","DNDGRD3",11.234,10.652,9.106,7.807,7.768,8.591,8.878,8.909,9.219,8.766,8.627,8.702,9.436,10.984,12.291,13.007,13.578,14.71,16.609,17.628,17.054,17.095,18.561,18.76,18.694,18.739,18.617,18.884,19.438,19.911,19.94,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.11,24.109
"13","6","  Services","DSERRD3",7.236,7.028,6.533,5.902,5.532,5.46,5.58,5.671,5.882,5.887,5.872,5.919,6.127,6.56,6.97,7.29,7.528,7.986,8.568,9.019,9.173,9.409,9.872,10.232,10.63,10.898,11.086,11.352,11.683,11.97,12.293,12.619,12.847,13.093,13.293,13.542,13.795,14.195,14.668,15.302,16.099
"14","7","Gross private domestic investment","A006RD3",13.891,13.576,11.968,9.008,8.326,9.514,9.381,9.454,10.597,9.437,9.689,10.138,11.006,12.002,12.103,12.579,13.203,14.727,17.149,18.449,18.54,19.245,21.312,21.179,21.154,21.164,21.842,23.067,23.601,23.599,23.902,24.04,23.992,24.018,23.954,24.11,24.481,24.984,25.623,26.587,27.855
"15","8","  Fixed investment","A007RD3",10.151,9.738,9.012,7.966,7.779,8.16,8.205,8.3,8.991,9.104,9.091,9.314,9.994,10.973,11.534,12.018,12.397,13.657,15.975,17.311,17.654,18.049,19.583,20.049,20.227,20.377,20.732,21.918,22.669,22.765,22.994,23.138,23.085,23.112,23.055,23.217,23.595,24.09,24.74,25.733,27.013
"16","9","    Nonresidential","A008RD3",12.982,12.379,11.53,10.441,10.173,10.515,10.633,10.645,11.487,11.564,11.51,11.766,12.533,13.871,14.466,14.917,15.302,16.837,19.486,21.113,21.606,22.058,24.116,24.641,24.882,25.111,25.501,27.399,28.739,28.947,29.343,29.52,29.398,29.427,29.433,29.627,29.955,30.416,31.16,32.27,33.631
"17","10","      Structures","A009RD3",3.838,3.633,3.324,2.885,2.915,2.924,3.06,3.055,3.471,3.405,3.368,3.422,3.662,4.086,4.441,4.539,4.74,5.309,6.436,7.16,7.135,7.224,8.056,8.27,8.432,8.33,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.74,10.023,10.384,10.707,11.245,11.985
"18","11","      Equipment","Y033RD3",22.769,21.856,20.716,19.54,18.771,19.83,19.656,19.625,20.748,21.247,21.023,21.587,22.959,25.25,25.384,25.87,26.307,28.799,32.625,34.978,36.37,37.286,40.453,41.269,41.358,42.348,42.762,45.942,48.529,49.489,50.396,50.82,50.544,50.305,50.044,50.017,50.081,50.244,51.393,52.803,54.296
"19","12","      Intellectual property products","Y001RD3",14.767,14.205,13.316,12.093,11.161,11.446,11.648,11.929,12.337,12.312,12.861,13.051,13.837,15.381,16.887,18.427,18.927,19.944,21.88,23.013,23.367,23.964,25.385,25.704,26.2,26.356,27.186,28.184,29.095,29.805,30.332,30.808,30.993,31.158,31.188,31.692,31.9,32.384,32.881,34.029,35.53
"20","13","    Residential","A011RD3",5.089,4.978,4.508,3.674,3.618,4.021,3.962,4.155,4.563,4.707,4.738,4.88,5.332,5.726,6.196,6.796,7.256,7.963,9.539,10.34,10.477,10.736,11.505,11.821,11.906,11.955,12.202,12.514,12.547,12.517,12.553,12.639,12.658,12.678,12.579,12.677,13.033,13.505,13.97,14.709,15.743
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","A020RD3",14.667,13.279,10.449,9.062,9.061,10.507,10.774,11.137,11.877,11.33,11.179,12.124,13.238,16.001,17.504,19.714,19.549,18.892,21.934,23.103,21.725,21.155,23.902,24.048,23.98,23.654,23.856,24.654,25.589,25.33,25.381,25.741,26.133,26.196,26.139,26.353,27.193,28.019,29.096,29.724,30.717
"24","17","    Goods","A253RD3",18.053,16.149,12.396,10.686,11.181,13.08,13.399,13.723,14.543,13.458,13.163,14.115,15.128,18.423,20.312,23.26,23.165,21.986,26.157,27.844,25.795,24.938,28.589,28.463,28.175,27.774,28.037,29.1,30.047,29.719,30.007,30.209,30.784,30.542,30.446,30.651,31.718,32.802,34.175,34.703,35.777
"25","18","    Services","A646RD3",6.824,6.826,6.356,5.705,4.326,4.717,4.869,5.343,5.915,6.72,6.957,8.017,9.612,11.298,12.084,13.014,12.712,13.22,13.434,13.288,13.581,13.715,14.436,15.261,15.715,15.545,15.617,15.822,16.814,16.701,16.31,16.89,16.948,17.53,17.542,17.764,18.169,18.509,19.028,19.786,20.589
"26","19","  Imports","A021RD3",10.552,8.998,7.271,5.828,5.586,6.346,6.451,6.902,7.703,7.119,7.472,7.97,8.417,9.641,10.378,10.901,11.207,12.496,14.97,16.27,15.506,16.471,19.907,19.186,18.362,18.613,18.513,18.839,19.054,18.263,18.428,18.603,18.603,18.384,18.74,19.136,19.402,19.853,19.931,20.233,20.761
"27","20","    Goods","A255RD3",10.851,8.954,7.002,5.488,5.492,6.27,6.372,6.84,7.643,6.85,6.975,7.445,7.985,9.25,10.03,10.712,10.973,12.362,15.18,16.763,15.869,17.165,21.55,20.487,19.609,20.03,19.976,20.368,20.55,19.477,19.619,19.827,19.638,19.169,19.345,19.867,19.965,20.415,20.445,20.719,21.303
"28","21","    Services","A656RD3",8.96,8.579,7.618,6.456,5.464,6.096,6.204,6.543,7.265,7.499,8.696,9.253,9.25,10.34,11.025,11.349,11.715,12.796,14.295,14.8,14.39,14.419,15.27,15.303,14.644,14.603,14.447,14.642,14.884,14.575,14.755,14.863,15.148,15.347,15.976,16.113,16.675,17.093,17.259,17.595,17.953
"29","22","Government consumption expenditures and gross investment","A822RD3",5.808,5.633,5.356,4.865,4.995,5.374,5.423,5.613,5.731,5.757,5.665,5.616,5.969,6.04,6.031,5.954,6.018,7.621,8.297,8.61,8.837,8.908,9.442,9.641,9.752,9.961,10.35,10.907,11.382,11.726,11.877,12.019,12.242,12.477,12.78,13.115,13.469,14.004,14.485,15.262,16.156
"30","23","  Federal","A823RD3",7.245,6.928,6.89,6.553,6.571,7.009,7.054,7.677,7.786,7.894,7.759,7.507,7.934,7.878,7.807,7.673,7.736,10.113,10.845,10.769,11.168,11.264,11.692,11.827,11.926,12.214,12.804,13.427,14.018,14.567,14.697,14.809,15.003,15.223,15.605,16.087,16.483,17.038,17.417,18.29,19.221
"31","24","    National defense","A824RD3",7.137,6.926,6.848,6.677,6.632,6.922,7.154,7.3,7.474,7.496,7.493,7.249,7.703,7.53,7.441,7.299,7.353,9.769,10.656,10.627,10.925,11.114,11.434,11.501,11.55,11.852,12.453,13.136,13.714,14.231,14.333,14.441,14.579,14.768,15.162,15.588,15.993,16.554,16.948,17.793,18.687
"32","25","    Nondefense","A825RD3",7.025,6.6,6.608,6.119,6.184,6.669,6.637,7.402,7.484,7.617,7.443,7.195,7.502,8.417,8.76,9.089,9.414,10.685,10.639,10.383,11.056,10.854,11.734,12.37,12.853,12.996,13.425,13.562,14.155,14.856,15.199,15.323,15.798,16.157,16.456,17.129,17.476,17.987,18.288,19.224,20.248
"33","26","  State and local","A829RD3",3.968,3.862,3.632,3.258,3.372,3.642,3.68,3.697,3.793,3.786,3.729,3.762,4.008,4.412,4.704,4.885,5.063,5.549,6.246,6.988,7.055,7.105,7.806,8.148,8.31,8.434,8.608,9.153,9.544,9.689,9.876,10.06,10.331,10.6,10.846,11.056,11.391,11.935,12.542,13.274,14.178
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross national product","A001RD3",9.873,9.513,8.536,7.536,7.33,7.734,7.893,7.985,8.328,8.09,8.013,8.11,8.658,9.344,9.768,9.998,10.26,11.59,12.858,13.574,13.549,13.714,14.68,14.935,15.12,15.262,15.524,16.054,16.587,16.963,17.199,17.438,17.631,17.85,18.052,18.329,18.666,19.191,19.749,20.589,21.601
