"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"11","3","  Goods","DGDSRA3",28.89,28.911,28.962,29.066,29.113,29.196,29.375,29.058,29.991,30.237,30.432,30.967,31.256,32.083,32.641,33.598,34.401,34.069,34.081,33.743,33.192,33.088,33.195,31.847,32.078,32.763,33.572,33.801,34.79,35.209,35.52,35.95,36.341,36.608,36.903,37.69,37.478,38.554,38.586,39.021,38.991,38.663,39.305,39.138,38.94,37.336,37.72,38.148,38.697,38.388,38.775,38.082,38.464,38.454,38.659,39.439,39.644,40.813,41.719,42.701,43.279,44.244,44.272,44.964,45.658,46.075,47.303,47.021,47.735,48.583,50.089,50.057,49.033,49.973,50.724,50.271,51.457,51.724,51.714,52.534,52.607,52.904,53.665,53.488,54.205,53.624,53.499,52.655,52.203,52.495,52.811,52.226,53.409,53.681,54.268,54.987,55.2,56.084,56.663,57.385,58.358,58.877,59.423,60.56,60.259,60.665,61.4,61.979,62.476,63.694,64.148,64.925,65.8,65.751,67.469,68.391,68.906,70.695,71.753,73.93,74.836,76.595,77.499,78.829,80.011,80.432,81.27,81.975,82.166,82.386,82.975,85.965,85.748,86.091,87.177,87.424,87.909,89.801,92.341,93.183,94.196,94.716,95.86,96.903,98.064,99.356,99.908,100.01,101.994,102.17,103.003,104.6,105.16,105.561,106.062,106.143,104.699,105.063,103.068,99.595,99.698,99.013,100.764,100.524,101.517,102.801,103.773,105.691,106.454,106.247,106.473,107.506,108.807,109.11,109.851,110.479,112.118,112.454,113.187,114.057,114.379,116.244,117.406,118.595,118.924,120.526,121.996,122.495
"12","4","    Durable goods","DDURRA3",15.071,15.03,14.987,14.93,14.701,14.871,14.925,13.934,15.428,15.779,16.2,16.891,17.278,17.712,18.168,19.13,20.348,20.108,19.929,19.463,19.007,19.109,19.22,17.391,17.762,18.107,19.238,19.798,20.788,20.882,21.119,21.452,22.238,22.763,23.098,23.583,22.958,24.67,24.337,24.53,24.239,23.691,24.352,23.725,23.351,20.833,21.757,22.42,23.056,22.159,22.833,21.193,21.872,21.952,22.13,23.14,23.372,25.076,26.04,27.324,28.355,29.013,29.022,29.964,31.005,31.374,33.382,32.233,32.891,34.053,36.957,36.371,34.214,35.617,37.089,36.087,37.795,37.808,37.315,38.282,38.112,38.62,39.494,38.294,39.911,38.591,38.2,37.148,36.125,36.307,36.865,36.263,37.686,37.949,38.758,39.528,39.912,41.208,41.667,42.67,43.686,44.156,44.621,46.189,45.232,45.692,46.981,47.796,48.315,49.853,50.208,51.187,52.572,52.405,54.739,56.137,56.59,59.449,61.138,64.749,64.889,67.992,69.622,70.456,74.388,73.013,74.253,74.767,75.997,75.931,76.802,83.202,82.18,82.987,85.42,84.24,84.498,88.376,92.317,93.5,95.051,95.979,97.853,99.237,100.287,103.132,104.301,101.517,105.671,105.554,107.012,108.432,109.647,111.231,112.467,112.913,109.691,109.35,105.999,98.381,98.563,97.972,102.662,100.804,102.135,105.177,106.884,110.172,111.576,110.838,112.244,115.459,118.617,119.426,121.393,123.779,126.415,127.116,128.135,129.441,130.284,134.586,137.05,139.104,139.785,142.503,144.79,146.139
"13","5","      Motor vehicles and parts","DMOTRA3",33.981,33.326,33.715,33.129,30.927,31.888,31.574,25.712,33.705,34.8,36.301,38.596,38.848,39.935,40.667,43.884,47.338,45.909,44.327,41.462,38.536,38.315,39.434,33.156,34.537,34.587,38.984,40.533,44.434,44.487,44.773,45.124,49.149,49.244,49.482,49.877,47.851,54.242,52.386,52.187,51.2,46.874,49.1,47.162,47.2,37.83,41.901,42.47,46.63,42.095,45.303,39.197,43.657,43.118,43.628,47.426,46.276,52.771,54.662,58.265,60.842,61.811,60.864,63.21,67.077,67.986,75.834,67.719,68.734,72.44,82.422,75.368,66.056,71.356,77.142,72.339,78.145,76.453,73.435,75.485,75.429,75.635,79.078,72.768,79.172,75.155,73.943,69.812,64.773,64.362,67.474,65.937,69.58,70.392,71.361,72.78,71.84,75.172,74.913,78.006,80.377,79.025,78.491,80.782,77.19,77.129,79.034,80.374,81.206,82.472,82.29,82.971,86.671,83.723,89.194,91.587,88.922,95.782,97.086,106.1,101.137,108.335,108.66,105.449,114.403,106.182,108.083,108.394,111.408,109.547,110.85,127.596,118.52,119.178,126.697,119.193,119.033,124.205,128.236,126.321,126.92,126.782,128.457,129.41,126.537,130.699,131.403,115.996,120.506,120.457,122.537,122.382,123.156,124.965,124.045,123.375,117.303,112.024,106.406,94.238,97.016,97.441,107.917,97.626,96.577,100.837,102.741,107.853,108.094,102.25,102.559,108.186,111.346,111.921,113.639,116.151,118.83,118.542,118.025,118.687,119.891,124.877,127.16,128.584,127.457,130.444,131.427,129.515
"14","6","      Furnishings and durable household equipment","DFDHRA3",21.703,21.924,21.511,21.468,21.453,21.536,21.581,21.921,22.032,22.289,22.685,23.356,24.17,24.494,25.235,25.845,27.245,27.518,27.64,27.946,28.305,28.245,27.591,25.768,25.489,25.751,26.246,26.693,27.161,27.283,27.698,28.429,29.295,29.896,30.315,31.109,30.569,32.009,31.981,32.403,32.279,32.791,33.74,33.355,32.572,31.137,31.182,32.194,31.947,31.532,31.087,30.083,29.449,29.543,29.755,30.373,31.068,31.623,32.837,33.782,34.542,35.552,35.799,36.383,36.546,36.887,37.845,38.622,39.517,40.045,41.138,41.488,41.795,42.043,42.561,42.654,43.091,43.575,43.754,44.805,45.593,46.279,46.079,46.211,46.834,45.539,44.899,44.372,44.379,44.82,44.209,43.987,45.061,45.333,46.214,46.833,47.487,48.06,48.631,48.689,49.089,50.233,51.223,52.608,52.232,52.697,53.469,54.097,53.66,55.59,55.619,56.834,57.025,57.246,58.521,59.297,60.864,61.82,63.246,65.298,67.2,68.791,71.063,73.3,75.142,76.587,77.603,78.059,79.226,79.937,80.707,83.15,85.791,86.526,86.406,87.883,87.581,91.438,95.189,97.111,99.002,100.61,102.878,104.085,105.502,107.208,109.191,111.706,114.737,113.361,113.902,113.648,115.15,114.453,114.883,114.672,111.854,113.211,109.372,103.808,100.357,98.593,99.699,101.35,103.956,106.994,107.523,109.674,110.82,112.413,113.618,116.015,118.313,117.106,117.882,119.446,121.739,123.04,126.006,127.367,128.01,132.169,134.094,136.099,137.827,139.363,142.307,144.221
"15","7","      Recreational goods and vehicles","DREQRA3",2.51,2.543,2.534,2.581,2.709,2.686,2.73,2.752,2.728,2.79,2.815,2.917,3.073,3.187,3.313,3.476,3.649,3.577,3.625,3.568,3.563,3.665,3.722,3.532,3.631,3.858,3.955,4.069,4.155,4.167,4.225,4.332,4.32,4.471,4.56,4.66,4.685,4.793,4.789,4.949,4.996,5.127,5.095,5.003,4.861,4.697,4.829,5.044,4.918,4.974,5.106,4.954,4.893,4.988,5.032,5.14,5.387,5.648,5.928,6.249,6.57,6.717,6.84,7.107,7.355,7.461,7.563,7.887,8.112,8.378,8.995,9.546,9.488,9.772,10.017,9.958,10.342,10.665,10.807,11.146,10.808,11.183,11.394,11.429,11.541,11.478,11.453,11.426,11.574,11.824,12.104,11.936,12.273,12.275,12.728,13.156,13.807,14.368,14.755,15.26,15.758,16.582,17.085,18.12,18.198,18.753,19.882,20.4,20.908,22.063,22.703,23.51,24.256,25.269,26.315,27.217,28.521,29.883,31.756,33.18,34.669,36.321,38.095,39.836,42.307,42.85,43.901,44.815,45.481,46.712,47.696,49.992,51.72,52.459,53.13,54.231,55.133,57.919,61.763,64.29,66.1,67.889,69.974,71.67,74.964,77.751,79.038,81.158,85.977,86.776,88.676,92.503,94.17,96.62,100.312,102.572,101.441,104.718,102.96,97.42,98.291,97.026,100.653,104.03,106.682,109.893,112.244,114.671,117.801,120.137,123.034,126.443,131.397,134.309,137.632,140.827,145.028,147.123,149.304,150.773,151.608,156.51,161.337,164.735,167.279,170.725,174.94,180.387
"16","8","      Other durable goods","DODGRA3",17.151,17.127,16.909,16.987,17.461,17.454,18.15,18.419,18.217,18.561,18.918,19.06,19.048,19.492,19.812,20.48,21.577,22.126,22.568,23.274,23.403,23.911,23.718,22.929,23.729,24.229,25.415,26.038,26.786,27.285,27.675,27.719,25.899,28.52,29.818,31.46,29.816,30.492,30.943,30.78,29.435,30.228,30.831,29.949,29.051,26.562,26.563,27.987,27.911,28.145,28.308,27.447,27.315,28.179,28.098,28.415,29.397,30.036,30.893,31.743,32.504,33.766,34.234,35.444,35.545,35.781,36.924,37.883,38.662,39.348,40.401,44.406,42.181,42.347,41.836,42.307,43.21,43.483,43.524,44.115,43.442,43.917,44.135,45.053,45.385,44.052,44.197,43.824,43.411,43.462,41.897,40.975,42.533,42.765,43.735,44.151,44.435,45.051,46.341,46.085,46.757,47.035,47.684,48.773,48.096,48.554,48.737,49.303,50.276,51.87,52.218,53.262,53.499,53.489,54.791,56.24,57.461,59.456,60.607,61.912,64.506,65.373,67.335,70.795,71.156,73.431,73.851,73.384,72.385,70.647,70.168,72.353,74.204,75.468,76.017,77.472,77.588,81.279,85.057,87.688,89.821,89.34,90.156,91.736,94.543,96.317,96.713,100.164,103.581,103.149,103.652,105.429,105.997,108.812,110.397,110.253,107.85,107.316,105.969,99.911,99.208,99.741,100.465,100.586,102.549,102.728,104.579,107.091,108.27,109.854,111.426,110.325,111.872,112.783,114.859,116.835,117.453,117.383,117.326,119.662,119.995,121.981,122.189,123.738,124.414,126.983,128.552,130.807
"17","9","    Nondurable goods","DNDGRA3",40.633,40.723,40.875,41.149,41.502,41.476,41.774,42.261,42.434,42.531,42.444,42.733,42.874,44.033,44.64,45.483,45.757,45.37,45.583,45.403,44.794,44.497,44.593,43.797,43.881,44.853,45.292,45.181,46.097,46.805,47.164,47.66,47.629,47.625,47.861,48.889,49.098,49.476,49.86,50.503,50.726,50.628,51.221,51.491,51.466,50.769,50.645,50.843,51.292,51.52,51.634,51.832,51.928,51.838,52.059,52.594,52.764,53.385,54.197,54.858,54.997,56.199,56.242,56.675,57.021,57.466,57.938,58.455,59.196,59.723,59.847,60.334,60.413,60.874,60.924,60.998,61.656,62.146,62.575,63.227,63.513,63.61,64.248,64.976,64.891,64.963,65.068,64.415,64.445,64.824,64.933,64.375,65.333,65.608,65.999,66.66,66.727,67.258,67.923,68.396,69.311,69.86,70.462,71.21,71.465,71.817,72.072,72.443,72.912,73.849,74.375,74.977,75.433,75.475,76.689,77.228,77.783,78.725,79.291,80.365,81.844,82.605,82.987,84.677,83.935,85.606,86.17,86.999,86.48,86.883,87.286,88.025,88.351,88.395,88.612,89.767,90.384,91.043,92.729,93.371,94.077,94.368,95.099,95.956,97.191,97.613,97.829,99.498,100.32,100.652,101.156,102.845,103.055,102.851,102.991,102.91,102.346,103.063,101.703,100.158,100.231,99.506,99.879,100.384,101.218,101.699,102.338,103.647,104.135,104.159,103.89,104.01,104.539,104.632,104.872,104.792,106.029,106.22,106.835,107.527,107.639,108.546,109.198,110.048,110.238,111.396,112.539,112.705
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",58.698,58.447,58.397,59.045,59.835,59.897,60.361,61.052,61.349,61.15,60.59,60.926,60.363,62.431,62.738,63.351,62.345,61.006,61.027,60.172,59.9,59.392,60.714,59.61,59.686,61.366,61.821,61.065,62.632,64.043,64.353,64.873,65.044,64.633,64.488,65.52,65.164,64.102,64.308,64.978,64.894,65.017,65.723,66.516,67.217,66.73,65.787,65.115,65.328,66.056,65.901,66.665,66.549,66.854,67.266,68.403,68.152,68.585,69.458,69.675,69.208,70.48,70.742,70.99,71.259,72.032,72.821,73.613,74.311,74.002,73.385,73.942,73.503,73.401,73.424,73.423,74.536,75.459,75.6,75.916,76.223,75.763,76.297,76.99,77.089,78.288,78.337,77.883,77.702,78.036,78.201,77.268,77.542,77.295,77.312,77.847,77.758,77.836,78.268,78.664,79.396,80.315,80.447,81.078,80.927,80.531,80.541,80.892,81.259,81.641,81.487,81.747,82.323,81.893,82.379,82.38,82.363,83.107,83.729,84.355,85.377,86.259,87.037,88.423,87.59,88.932,89.098,90.009,89.733,90.374,90.108,90.31,90.004,90.192,90.565,91.352,92.073,91.944,93.347,93.179,94.097,94.177,94.917,95.929,97.406,97.773,98.621,99.787,100.218,101.188,101.409,102.829,103.012,102.489,102.575,103.001,102.509,102.952,101.595,99.13,98.895,99.64,100.252,101.213,102.1,101.378,101.802,103.298,103.58,103.527,103.109,102.868,103.196,103.276,103.369,103.513,104.268,103.82,104.396,104.91,105.049,105.005,104.827,104.639,104.431,105.137,105.21,105.126
"19","11","      Clothing and footwear","DCLORA3",21.544,21.626,21.745,21.633,21.379,21.313,21.255,21.605,21.749,22.284,22.405,22.713,22.9,23.481,24.214,24.902,25.587,25.505,25.551,25.725,25.816,25.505,25.073,24.018,24.841,25.687,26.122,26.295,26.621,26.68,27.044,27.342,27.39,27.921,28.368,29.778,30.091,31.211,31.683,32.426,32.423,32.626,33.738,33.931,33.724,33.563,34.428,35.117,36.051,36.234,36.674,36.584,36.97,36.337,36.99,37.666,37.966,39.225,39.706,41.197,41.842,43.273,42.631,43.434,43.801,44.419,45.006,45.588,46.767,48.305,48.548,48.596,49.397,49.607,50.366,49.974,50.66,50.361,51.508,52.677,52.844,53.542,54.736,54.95,54.493,53.661,53.541,52.884,53.462,54.237,54.076,52.954,55.126,56.007,57.145,57.855,57.646,58.737,59.332,60.049,61.46,61.336,62.26,63.917,63.701,64.376,65.53,65.593,66.043,67.673,68.81,69.245,69.275,68.657,70.939,71.838,73.372,74.605,74.062,75.783,78.522,79.199,79.726,79.932,81.234,82.993,83.9,84.609,83.251,83.795,83.696,85.14,86.101,86.126,85.619,88.293,87.991,90.347,92.334,92.55,94.877,93.761,94.724,96.623,97.935,99.997,99.729,102.693,103.305,102.584,103.656,104.742,105.412,105.349,106.178,105.772,104.932,108.031,105.789,101.884,100.652,98.769,99.815,100.764,103.054,104.745,104.993,108.305,109.247,110.293,108.599,109.44,111.247,109.483,111.266,110.246,111.767,112.492,111.81,112.17,111.346,113.264,114.018,116.07,115.763,117.621,118.006,118.022
"20","12","      Gasoline and other energy goods","DGOERA3",69.642,70.535,70.771,72.274,73.456,72.774,73.892,73.918,75.333,76.526,76.192,76.254,77.902,78.555,80,83.274,85.116,84.521,84.89,83.578,74.416,76.89,78.414,80.865,79.331,80.057,79.413,79.004,81.424,82.972,84.105,86.321,84.705,84.592,85.561,85.971,86.695,87.373,86.364,85.892,88.181,84.048,82.771,81.328,79.216,76.593,75.4,75.382,75.89,75.679,75.555,75.493,76.354,76.506,75.237,75.014,76.692,76.372,77.975,78.745,78.182,79.416,79.949,80.608,80.676,81.077,81.347,81.213,82.9,84.752,86.036,87.12,85.854,88.171,86.023,87.273,88.12,89.38,89.339,90.368,90.51,90.014,89.843,92.55,89.826,89.385,90.188,87.008,86.896,88.428,89.492,88.698,90.131,92.157,92.406,92.94,92.74,93.748,95.388,94.973,96.205,95.636,95.968,95.068,97.409,98.198,97.1,97.311,98.628,99.259,99.289,99.011,99.662,101.05,101.494,101.976,102.54,103.796,104.475,104.695,105.268,107.472,105.998,106.318,102.279,104.025,104.251,103.415,103.679,102.154,103.831,103.907,103.319,104.182,104.578,104.714,103.636,103.33,104.527,105.742,105.374,105.544,104.873,105.005,106.925,104.31,102.752,104.989,104.131,103.359,104.078,106.611,106.022,104.625,103.853,102.847,101.991,100.443,96.964,99.061,102.588,100.085,99.226,98.101,98.181,99.312,99.891,99.41,98.473,95.983,95.85,95.418,93.867,95.909,95.737,94.118,95.675,96.432,96.924,97.229,97.109,96.624,96.705,98.688,100.108,99.994,101.277,100.649
"21","13","      Other nondurable goods","DONGRA3",29.249,29.481,29.811,29.861,30.262,30.342,30.662,31.081,30.869,30.473,30.668,30.857,31.294,32.045,32.466,33.014,33.696,34.083,34.647,35.118,35.547,34.831,33.785,32.903,32.546,32.799,33.442,33.823,34.166,34.518,34.671,34.842,34.921,34.802,34.998,35.642,36.195,37.254,38.058,38.788,39.002,39.517,40.057,40.427,40.579,39.923,40.229,41.059,41.325,41.236,41.469,41.418,41.186,41.045,41.269,41.356,41.315,41.942,42.689,43.099,43.686,44.643,44.837,45.099,45.6,45.6,45.733,46.121,46.26,46.467,46.936,47.527,47.881,48.618,48.708,48.902,49.043,49.494,49.768,50.255,50.624,50.96,51.498,52.127,52.763,52.517,52.645,52.501,52.378,52.227,52.222,52.443,53.093,53.038,53.308,54.059,54.494,54.947,55.623,56.194,56.869,57.727,58.594,59.258,59.673,60.396,60.643,61.234,61.602,62.69,63.591,64.795,65.325,65.851,67.281,68.116,68.642,69.518,70.59,71.854,73.206,73.6,73.932,76.903,76.011,77.877,78.698,79.937,79.401,80.023,80.927,81.964,82.756,82.507,82.862,83.869,85.213,86.06,87.96,89.367,89.466,90.602,91.643,92.141,92.887,93.676,94.179,95.547,97.499,98.143,98.593,100.446,100.812,101.343,101.641,101.6,101.174,102.349,102.473,100.955,100.59,99.414,99.725,100.271,100.842,101.75,102.758,103.889,105.029,105.982,106.301,106.782,108.094,107.901,107.913,108.763,110.182,110.5,111.694,112.864,113.407,115.529,117.22,118.114,118.41,120.2,122.613,123.35
"22","14","  Services","DSERRA3",27.558,27.897,28.119,28.469,28.774,28.957,29.286,29.434,29.637,29.936,30.218,30.693,31.21,31.591,32.019,32.592,33.01,33.292,33.514,33.641,33.592,33.922,34.09,34.433,34.753,35.187,35.358,35.856,36.275,36.516,36.963,37.476,37.923,38.07,38.483,38.851,39.468,40.059,40.345,40.554,40.967,41.223,41.387,41.747,41.809,41.544,42.009,42.631,42.535,42.804,42.765,42.804,42.974,43.264,43.677,44.408,44.985,45.554,46.196,46.661,46.883,47.274,47.888,48.437,49.316,49.787,50.476,50.914,51.103,51.438,51.908,52.5,53.271,53.82,54.317,54.844,55.605,56.093,56.9,57.386,57.773,58.01,58.416,58.972,59.295,60.019,60.505,60.362,60.347,60.956,61.209,61.592,62.608,63.101,63.78,64.489,64.731,65.047,65.791,66.226,66.776,67.25,67.71,68.11,68.595,69.298,69.818,70.211,70.913,71.334,71.719,72.108,72.749,73.298,74.182,74.987,75.875,76.867,77.799,78.271,78.896,79.679,80.562,81.634,82.887,83.888,84.669,85.431,85.877,86.09,86.24,86.588,87.116,87.616,87.962,88.552,88.883,89.378,90.048,90.682,91.509,92.152,92.909,93.832,94.329,95.236,96.088,96.592,97.231,97.936,98.386,99.112,99.628,99.945,100.374,100.527,100.932,101.007,100.895,100.779,100.21,99.864,99.912,100.013,100.332,100.93,101.436,102.062,102.459,102.869,103.431,103.448,103.753,103.872,103.928,104.064,104.255,104.637,104.958,105.914,106.274,106.919,107.751,108.902,109.459,110.18,110.752,111.529
"23","15","    Household consumption expenditures (for services)","DHCERA3",29.207,29.572,29.802,30.165,30.482,30.668,31.001,31.175,31.384,31.69,31.974,32.453,33.03,33.435,33.915,34.478,34.962,35.257,35.542,35.674,35.62,35.984,36.182,36.551,36.917,37.382,37.552,38.069,38.493,38.754,39.242,39.798,40.292,40.453,40.893,41.244,41.92,42.555,42.873,43.073,43.481,43.764,44.005,44.358,44.403,44.106,44.547,45.188,45.076,45.379,45.275,45.238,45.355,45.617,46.013,46.748,47.306,47.902,48.529,48.947,49.152,49.509,50.11,50.624,51.593,52.067,52.789,53.258,53.374,53.626,54.099,54.712,55.517,56.082,56.573,57.11,57.83,58.281,59.067,59.528,59.922,60.078,60.412,60.914,61.206,61.834,62.2,61.988,61.932,62.547,62.738,63.068,64.001,64.402,65.022,65.683,65.949,66.274,66.999,67.429,67.949,68.389,68.813,69.209,69.706,70.422,70.957,71.324,71.983,72.397,72.786,73.266,74.084,74.684,75.619,76.433,77.286,78.247,79.127,79.523,80.158,80.957,81.864,82.953,84.171,85.209,85.91,86.613,87.063,87.212,87.306,87.594,88.081,88.499,88.71,89.235,89.579,90.043,90.73,91.389,92.195,92.883,93.688,94.658,95.303,96.162,97.033,97.368,97.886,98.486,98.887,99.674,100.198,100.581,100.967,100.935,101.243,101.157,100.905,100.624,100.171,99.907,99.953,99.968,100.297,100.882,101.475,102.168,102.618,103.033,103.516,103.603,103.835,103.753,103.8,103.79,104.101,104.531,104.814,105.724,106.122,106.775,107.59,108.825,109.495,110.228,110.669,111.358
"24","16","      Housing and utilities","DHUTRA3",32.818,33.142,33.668,34.074,34.277,34.483,34.883,35.19,35.576,35.977,36.344,36.916,37.345,37.881,38.286,39.043,39.191,39.678,40.26,40.56,40.852,41.627,42.155,42.603,42.598,43.157,43.419,43.42,43.725,44.004,44.515,45.236,45.332,45.104,45.837,46.148,47.045,47.57,47.956,48.531,49.17,49.327,49.435,49.956,50.533,50.94,51.41,51.834,51.313,52.098,52.045,52.3,52.561,52.211,52.202,52.38,52.422,53.001,53.871,54.456,54.396,55.128,55.407,55.991,56.977,56.722,57.57,58.366,58.097,58.527,59.009,59.498,59.599,60.154,60.669,61.166,61.838,62.087,62.746,63.148,63.508,63.577,63.97,65.008,64.295,65.192,65.651,65.76,65.798,66.743,66.971,67.042,67.173,67.806,68.147,68.838,69.153,69.291,70.218,70.689,71.382,72.062,72.337,72.712,73.138,74.126,74.94,75.069,75.851,75.999,75.825,76.468,76.678,77.324,77.792,78.859,79.02,80.011,80.637,80.558,81.404,82.195,83.052,83.06,83.494,84.642,85.415,86.807,87.258,87.168,87.523,87.449,87.438,87.806,87.955,88.493,88.679,88.943,89.065,89.716,90.289,90.94,91.459,92.63,93.613,94.751,95.807,96.131,95.895,96.999,97.606,97.208,97.688,97.827,98.11,97.823,98.598,98.896,98.604,99.459,99.631,99.838,100.023,100.508,100.859,100.826,101.356,101.906,101.984,102.308,102.997,102.707,101.861,102.795,103.111,102.474,103.058,103.075,102.767,103.4,104.545,104.199,103.923,104.384,105.292,105.088,105.299,104.898
"25","17","      Health care","DHLCRA3",26.284,26.616,26.778,27.068,27.551,27.7,28.231,28.993,29.283,29.835,30.47,30.978,31.457,31.993,32.44,32.934,33.845,34.452,34.78,35.01,35.324,35.665,35.788,36.057,36.986,37.559,37.385,38.26,38.627,39.014,39.375,39.749,40.171,41.071,41.5,41.626,42.37,43.033,43.112,43.385,43.631,44.249,44.703,45.105,45.176,44.836,45.92,46.868,47.327,48.169,48.287,47.831,47.531,47.856,48.091,48.6,48.945,49.486,49.602,49.782,50.089,50.093,50.308,50.529,50.938,51.329,52.105,52.783,53.047,53.102,53.468,54.005,54.641,55.302,56.063,56.499,57.161,57.601,58.159,58.331,58.473,58.279,58.293,58.853,59.59,60.31,60.865,61.006,60.955,61.313,61.744,62.391,62.917,63.428,63.78,63.717,63.815,63.715,63.782,63.816,63.932,64.139,64.357,64.698,65.113,65.414,65.807,66.118,66.147,66.798,67.046,67.886,68.252,68.62,69.332,69.99,70.864,71.201,71.528,71.574,71.728,72.013,72.597,73.284,73.712,74.685,75.193,75.986,77.082,77.956,79.105,80.369,81.964,83.156,83.808,84.265,84.777,85.21,85.856,86.431,87.023,88.042,89.287,90.148,90.563,91.146,92.269,92.364,92.907,93.39,93.891,94.708,95.214,95.631,96.499,96.89,97.929,98.118,98.322,98.612,99.302,100.072,100.462,100.164,99.917,100.831,101.825,102.789,103.236,103.737,103.674,104.828,106.203,105.903,106.195,106.178,105.877,106.908,107.473,108.375,107.778,109.287,110.67,112.63,113.911,114.757,115.772,116.518
"26","18","      Transportation services","DTRSRA3",34.639,35.168,35.699,36.329,36.326,36.473,37.004,36.992,37.309,37.993,38.533,39.172,39.874,40.224,40.655,41.042,41.157,41.153,41.126,41.05,41.526,41.491,41.308,41.081,41.096,41.504,42.245,42.787,43.499,43.848,43.986,44.676,46.071,46.816,47.746,47.81,47.698,48.517,48.562,48.212,49.456,49.984,49.811,49.565,48.232,46.31,46.459,46.031,45.888,44.802,44.974,44.406,43.73,43.627,43.971,44.825,45.989,46.449,47.783,49.206,50.801,52.257,53.476,55.101,56.862,58.319,58.962,59.671,60.407,60.53,61.429,61.619,62.305,63.334,63.993,64.361,65.509,66.625,67.733,68.797,68.625,68.66,68.792,68.626,68.786,68.967,68.688,67.975,65.744,65.372,64.955,65.311,66.527,67.622,70.199,70.256,70.608,71.76,73.034,74.748,76.625,78.461,80.327,82.241,83.341,84.274,86.066,87.921,90.111,91.524,93.054,94.908,97.593,98.785,100.317,100.781,101.77,103.09,104.316,105.698,107.192,108.516,110.687,111.949,113.442,114.697,115.466,115.888,116.046,115.541,113.382,111.417,111.608,110.565,110.387,110.416,111.034,110.655,111.777,112.45,113.577,114.536,114.526,115.116,115.261,115.633,115.961,115.289,115.033,115.715,115.661,116.877,117.47,117.481,117.001,116.138,114.644,112.708,110.311,105.952,102.363,100.476,99.053,98.108,98.239,98.784,99.429,99.979,100.167,101.312,102.171,102.472,101.458,103.575,104.24,103.846,105.098,106.333,107.407,107.401,109.57,110.653,112.585,114.354,115.295,117.285,118.354,120.407
"27","19","      Recreation services","DRCARA3",16.905,17.199,17.011,17.194,17.591,17.622,17.741,17.783,17.879,18.121,18.279,18.876,18.851,19.07,19.358,19.764,20.438,20.854,20.973,21.337,21.59,22.01,22.55,23.106,23.256,23.135,23.512,23.959,24.211,24.663,25.483,25.975,25.862,26.343,26.961,27.511,27.646,27.71,28.209,28.288,28.856,29.169,29.504,29.77,30.028,29.802,30.228,31.205,31.686,32.756,33.547,33.565,33.999,34.241,34.638,35.054,35.976,37.119,37.999,38.619,39.114,39.527,40.182,40.836,41.665,42.489,43.114,43.937,44.171,44.354,44.798,45.802,46.095,46.419,46.937,47.812,49.218,50.746,52.061,53.024,53.852,54.345,54.779,54.864,55.917,56.881,57.088,57.399,56.351,56.077,56.261,56.969,58.973,59.627,60.355,61.627,62.503,63.41,64.832,65.006,65.646,66.74,67.974,68.469,70.114,71.944,73.037,74.184,74.381,75.167,76.322,76.485,77.238,77.783,78.08,78.853,79.775,79.804,80.76,81.452,82.15,83.45,85.248,86.201,86.125,86.861,86.989,86.787,87.481,86.578,86.096,86.039,86.583,86.718,86.953,87.938,87.888,89.268,90.72,92.073,93.504,94.473,95.158,95.361,96.392,96.934,96.945,97.681,98.987,99.563,100.289,102.679,103.409,103.86,104.939,104.892,104.562,104.39,103.106,101.741,100.786,99.822,99.367,100.025,100.814,100.278,101.699,102.481,102.124,103.659,104.293,104.382,104.475,105.699,105.902,106.69,107.118,106.316,107.951,108.975,109.825,109.55,110.9,112.442,111.888,112.526,112.559,116.35
