"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"34","15","    Current expenditures","W022RC1","256,180.0","264,386.0","270,485.0","276,984.0","279,295.0","296,439.0","299,475.0","305,724.0","314,520.0","325,966.0","328,299.0","334,528.0","349,667.0","352,739.0","355,807.0","367,004.0","375,686.0","385,170.0","388,510.0","396,648.0","410,521.0","429,201.0","445,327.0","462,659.0","484,173.0","510,537.0","516,414.0","529,867.0","538,240.0","543,674.0","558,858.0","568,114.0","580,525.0","591,688.0","605,581.0","623,481.0","635,266.0","645,905.0","663,093.0","680,931.0","698,331.0","715,702.0","738,962.0","766,540.0","799,743.0","825,850.0","866,723.0","893,659.0","927,148.0","948,952.0","981,523.0","1,009,928.0","1,033,599.0","1,053,056.0","1,088,600.0","1,131,760.0","1,143,755.0","1,169,196.0","1,185,788.0","1,187,882.0","1,217,942.0","1,247,409.0","1,273,308.0","1,305,304.0","1,334,220.0","1,358,050.0","1,383,537.0","1,407,721.0","1,425,639.0","1,455,000.0","1,481,342.0","1,493,866.0","1,510,438.0","1,530,511.0","1,543,116.0","1,578,115.0","1,600,557.0","1,608,597.0","1,622,973.0","1,662,367.0","1,695,946.0","1,728,470.0","1,754,274.0","1,785,269.0","1,831,233.0","1,863,929.0","1,890,836.0","1,932,104.0","1,898,847.0","1,971,769.0","2,010,616.0","2,054,571.0","2,103,816.0","2,137,887.0","2,165,771.0","2,188,520.0","2,201,808.0","2,214,662.0","2,240,008.0","2,261,128.0","2,260,263.0","2,282,643.0","2,316,397.0","2,356,877.0","2,389,018.0","2,411,584.0","2,428,220.0","2,421,161.0","2,478,428.0","2,502,415.0","2,505,037.0","2,536,873.0","2,551,298.0","2,569,933.0","2,583,333.0","2,619,656.0","2,612,305.0","2,640,421.0","2,652,148.0","2,692,236.0","2,712,270.0","2,734,317.0","2,774,082.0","2,826,780.0","2,837,705.0","2,900,298.0","2,921,385.0","2,964,497.0","3,028,655.0","3,084,558.0","3,111,933.0","3,149,284.0","3,213,111.0","3,257,502.0","3,286,797.0","3,341,477.0","3,398,312.0","3,461,576.0","3,477,945.0","3,496,585.0","3,591,872.0","3,625,342.0","3,672,261.0","3,724,719.0","3,828,815.0","3,880,841.0","3,946,391.0","4,009,366.0","4,064,518.0","4,137,255.0","4,197,847.0","4,191,977.0","4,344,013.0","4,407,947.0","4,450,715.0","4,517,455.0","4,627,500.0","4,800,876.0","4,793,719.0","4,727,016.0","4,817,377.0","5,085,225.0","5,139,016.0","5,149,953.0","5,250,597.0","5,284,813.0","5,321,438.0","5,360,869.0","5,391,691.0","5,475,556.0","5,426,443.0","5,408,321.0","5,446,450.0","5,498,292.0","5,499,225.0"
"35","16","Consumption expenditures","A955RC1","171,190.0","175,995.0","181,259.0","184,211.0","187,043.0","188,003.0","191,414.0","194,021.0","199,906.0","203,496.0","206,182.0","209,041.0","217,341.0","220,970.0","220,520.0","224,282.0","229,172.0","233,337.0","235,506.0","241,227.0","249,905.0","255,517.0","265,211.0","276,007.0","283,576.0","291,734.0","298,075.0","305,074.0","308,644.0","314,278.0","317,498.0","326,002.0","334,457.0","342,720.0","349,705.0","359,345.0","365,474.0","372,737.0","379,209.0","388,527.0","398,663.0","407,054.0","413,526.0","429,788.0","444,999.0","462,842.0","469,643.0","485,987.0","502,504.0","516,972.0","523,191.0","539,704.0","551,775.0","559,036.0","572,388.0","589,332.0","598,807.0","609,336.0","622,284.0","611,690.0","634,266.0","654,309.0","664,472.0","677,224.0","696,486.0","710,432.0","728,860.0","744,574.0","753,754.0","770,360.0","786,320.0","794,005.0","803,518.0","810,937.0","814,590.0","831,403.0","840,390.0","846,670.0","850,597.0","873,361.0","879,579.0","899,894.0","909,955.0","922,283.0","946,156.0","957,660.0","967,193.0","992,841.0","1,011,684.0","1,014,973.0","1,017,248.0","1,019,258.0","1,031,753.0","1,042,707.0","1,060,345.0","1,066,617.0","1,066,658.0","1,069,406.0","1,077,529.0","1,087,881.0","1,092,377.0","1,101,432.0","1,120,347.0","1,121,344.0","1,133,669.0","1,141,225.0","1,147,392.0","1,143,405.0","1,161,409.0","1,174,729.0","1,176,649.0","1,194,142.0","1,203,600.0","1,219,440.0","1,224,025.0","1,241,219.0","1,235,989.0","1,260,110.0","1,267,337.0","1,289,354.0","1,309,244.0","1,325,109.0","1,355,562.0","1,385,726.0","1,392,205.0","1,426,076.0","1,434,681.0","1,453,539.0","1,488,622.0","1,516,054.0","1,536,325.0","1,556,541.0","1,598,781.0","1,627,735.0","1,649,182.0","1,683,789.0","1,724,586.0","1,758,371.0","1,765,763.0","1,778,334.0","1,823,173.0","1,846,844.0","1,876,511.0","1,895,262.0","1,938,892.0","1,957,170.0","2,003,479.0","2,011,928.0","2,064,833.0","2,083,105.0","2,105,764.0","2,119,663.0","2,160,551.0","2,200,953.0","2,238,222.0","2,271,407.0","2,337,042.0","2,373,764.0","2,421,787.0","2,391,298.0","2,390,693.0","2,445,315.0","2,486,526.0","2,518,607.0","2,539,344.0","2,551,235.0","2,556,923.0","2,560,451.0","2,565,515.0","2,591,282.0","2,590,954.0","2,570,446.0","2,586,920.0","2,580,257.0","2,618,720.0"
"36","17","Current transfer payments","A084RC1","61,388.0","64,072.0","64,196.0","66,760.0","67,860.0","78,780.0","79,348.0","83,116.0","85,804.0","93,620.0","93,256.0","96,260.0","100,140.0","99,452.0","101,728.0","110,480.0","111,520.0","115,332.0","116,180.0","117,676.0","123,148.0","135,220.0","139,064.0","146,060.0","158,664.0","175,656.0","173,328.0","177,376.0","180,160.0","179,088.0","189,568.0","188,400.0","191,460.0","193,228.0","198,532.0","200,572.0","204,976.0","206,460.0","214,620.0","217,580.0","222,772.0","227,588.0","243,236.0","250,332.0","261,692.0","264,720.0","297,404.0","303,040.0","305,716.0","308,808.0","328,132.0","329,920.0","335,840.0","343,736.0","360,672.0","378,512.0","377,588.0","384,344.0","380,440.0","387,632.0","387,816.0","390,940.0","395,200.0","407,220.0","413,036.0","416,836.0","424,068.0","427,792.0","434,380.0","444,748.0","452,876.0","454,452.0","456,424.0","462,748.0","464,628.0","473,716.0","485,624.0","487,540.0","494,700.0","506,684.0","523,732.0","529,556.0","542,364.0","556,788.0","573,512.0","589,368.0","598,032.0","608,716.0","552,012.0","617,576.0","654,092.0","691,832.0","730,260.0","752,172.0","762,264.0","780,324.0","786,528.0","794,296.0","811,548.0","826,044.0","823,664.0","830,396.0","837,860.0","867,732.0","875,828.0","882,544.0","888,512.0","882,680.0","918,788.0","930,508.0","927,080.0","940,224.0","946,180.0","947,172.0","953,740.0","971,132.0","968,160.0","971,744.0","975,880.0","996,604.0","1,002,140.0","1,005,932.0","1,016,368.0","1,035,016.0","1,038,080.0","1,064,892.0","1,079,200.0","1,103,816.0","1,128,412.0","1,159,996.0","1,167,744.0","1,219,680.0","1,258,236.0","1,273,328.0","1,285,152.0","1,306,900.0","1,329,052.0","1,347,268.0","1,369,816.0","1,372,940.0","1,423,632.0","1,432,520.0","1,440,796.0","1,463,616.0","1,513,652.0","1,522,820.0","1,539,372.0","1,563,560.0","1,589,984.0","1,627,348.0","1,651,208.0","1,655,480.0","1,738,694.0","1,713,957.0","1,738,534.0","1,782,448.0","1,826,248.0","1,959,664.0","1,893,208.0","1,933,456.0","2,056,996.0","2,206,707.0","2,208,605.0","2,207,840.0","2,286,589.0","2,284,989.0","2,320,747.0","2,339,851.0","2,348,884.0","2,357,076.0","2,343,600.0","2,350,860.0","2,380,123.0","2,395,508.0","2,419,240.0"
"37","18","  Government social benefits","W063RC1","57,740.0","58,756.0","60,124.0","61,612.0","63,616.0","73,848.0","74,256.0","78,112.0","80,108.0","87,760.0","87,692.0","89,332.0","92,348.0","92,808.0","93,752.0","104,184.0","106,560.0","108,732.0","110,400.0","113,452.0","118,496.0","126,696.0","133,704.0","140,616.0","151,564.0","166,592.0","169,768.0","172,560.0","176,724.0","175,148.0","182,272.0","184,936.0","187,644.0","188,564.0","193,992.0","196,604.0","200,104.0","201,396.0","209,656.0","212,512.0","217,472.0","221,940.0","237,488.0","243,644.0","253,832.0","258,980.0","290,860.0","293,864.0","299,560.0","302,536.0","320,816.0","323,016.0","327,652.0","336,840.0","353,168.0","368,536.0","371,108.0","376,820.0","371,528.0","374,824.0","379,312.0","382,192.0","383,584.0","391,224.0","401,596.0","403,972.0","409,196.0","411,900.0","423,632.0","429,320.0","436,628.0","440,084.0","445,564.0","451,220.0","453,244.0","456,628.0","473,804.0","476,964.0","482,456.0","488,548.0","511,392.0","518,916.0","528,352.0","539,592.0","560,204.0","571,780.0","582,484.0","601,044.0","626,320.0","647,176.0","657,408.0","687,108.0","713,916.0","733,816.0","745,372.0","749,712.0","769,932.0","775,796.0","790,440.0","795,480.0","809,408.0","814,224.0","817,872.0","838,360.0","859,548.0","868,092.0","873,236.0","867,172.0","895,744.0","915,224.0","911,016.0","913,104.0","932,624.0","933,564.0","939,328.0","944,884.0","954,036.0","958,276.0","959,532.0","968,676.0","987,216.0","988,908.0","1,000,112.0","1,008,324.0","1,021,112.0","1,046,652.0","1,059,152.0","1,070,072.0","1,112,648.0","1,143,936.0","1,150,228.0","1,196,292.0","1,226,412.0","1,253,944.0","1,266,552.0","1,283,516.0","1,299,232.0","1,316,916.0","1,340,992.0","1,347,408.0","1,385,320.0","1,405,388.0","1,413,012.0","1,433,172.0","1,468,580.0","1,491,156.0","1,500,708.0","1,515,412.0","1,559,704.0","1,590,448.0","1,612,224.0","1,621,852.0","1,688,034.0","1,682,333.0","1,701,242.0","1,733,152.0","1,775,728.0","1,918,992.0","1,849,644.0","1,887,180.0","2,012,012.0","2,149,555.0","2,145,105.0","2,159,392.0","2,227,737.0","2,235,337.0","2,266,459.0","2,283,951.0","2,292,948.0","2,291,812.0","2,287,640.0","2,293,368.0","2,320,399.0","2,337,132.0","2,359,932.0"
"38","19","    To persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,356.0","172,688.0","179,712.0","182,364.0","185,136.0","186,056.0","191,344.0","193,952.0","197,448.0","198,700.0","206,892.0","209,660.0","214,624.0","218,948.0","234,348.0","240,428.0","250,572.0","255,568.0","287,196.0","290,028.0","295,504.0","298,348.0","316,372.0","318,552.0","323,632.0","332,600.0","349,032.0","364,520.0","367,400.0","373,184.0","367,956.0","371,240.0","375,780.0","378,512.0","379,928.0","387,400.0","397,620.0","400,000.0","405,132.0","407,800.0","419,308.0","425,028.0","432,480.0","435,256.0","441,332.0","447,004.0","448,920.0","452,280.0","469,328.0","472,416.0","477,848.0","483,860.0","506,536.0","514,032.0","523,044.0","534,112.0","554,252.0","565,560.0","576,172.0","594,872.0","620,208.0","641,192.0","651,476.0","680,048.0","708,228.0","726,860.0","739,056.0","743,772.0","764,280.0","769,460.0","784,056.0","789,056.0","802,768.0","807,500.0","811,060.0","831,232.0","853,432.0","861,112.0","866,236.0","860,096.0","888,112.0","907,732.0","903,416.0","905,532.0","924,840.0","925,600.0","931,552.0","937,008.0","945,848.0","949,988.0","951,400.0","960,452.0","978,780.0","980,416.0","991,528.0","999,724.0","1,012,608.0","1,037,964.0","1,050,416.0","1,061,328.0","1,103,280.0","1,134,596.0","1,140,724.0","1,186,752.0","1,216,896.0","1,244,320.0","1,256,856.0","1,273,724.0","1,289,316.0","1,306,848.0","1,330,864.0","1,337,164.0","1,374,868.0","1,394,816.0","1,402,408.0","1,422,208.0","1,457,548.0","1,479,968.0","1,489,412.0","1,504,040.0","1,547,340.0","1,578,032.0","1,600,072.0","1,609,076.0","1,674,918.0","1,669,021.0","1,687,826.0","1,719,920.0","1,762,104.0","1,899,484.0","1,835,496.0","1,872,652.0","1,996,640.0","2,132,747.0","2,129,297.0","2,143,448.0","2,211,489.0","2,218,893.0","2,249,835.0","2,267,267.0","2,276,004.0","2,274,756.0","2,270,412.0","2,276,036.0","2,302,715.0","2,319,468.0","2,341,840.0"
"39","20","    To the rest of the world \3\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,516.0","9,624.0","9,696.0","9,792.0","9,916.0","10,068.0","10,128.0","10,244.0","10,452.0","10,572.0","10,604.0","10,964.0","11,032.0","11,188.0","11,296.0","11,372.0","12,364.0","12,416.0","12,152.0","12,776.0","13,116.0","13,312.0","13,416.0","13,232.0","13,624.0","19,508.0","14,148.0","14,528.0","15,372.0","16,808.0","15,808.0","15,944.0","16,248.0","16,444.0","16,624.0","16,684.0","16,944.0","17,056.0","17,228.0","17,332.0","17,684.0","17,664.0","18,092.0"
"40","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,924.0","17,024.0","16,256.0","26,692.0","16,968.0","18,240.0","20,048.0","33,744.0","15,764.0","16,060.0","17,516.0","23,388.0","31,824.0","19,384.0","18,600.0","23,384.0","29,820.0","30,352.0","28,824.0","25,532.0","38,312.0","27,132.0","27,784.0","30,444.0","45,072.0","31,664.0","38,664.0","48,148.0","30,280.0","36,900.0","38,984.0","33,628.0","50,660.0","31,624.0","37,292.0","49,296.0","50,520.0","40,672.0","43,564.0","46,276.0","44,984.0","57,152.0","63,500.0","48,448.0","58,852.0","49,652.0","54,288.0","55,900.0","55,936.0","65,264.0","55,960.0","57,492.0","59,724.0","58,376.0","59,308.0"
"41","22","Interest payments \1\","A180RC1","19,262.0","19,855.0","20,362.0","21,349.0","22,156.0","22,704.0","23,605.0","23,775.0","24,046.0","24,038.0","24,645.0","25,155.0","25,487.0","25,942.0","26,416.0","27,247.0","29,126.0","30,673.0","32,107.0","33,190.0","33,912.0","35,012.0","36,440.0","37,064.0","37,813.0","38,983.0","40,547.0","42,589.0","44,400.0","45,572.0","46,824.0","48,352.0","48,888.0","49,984.0","51,028.0","53,356.0","56,236.0","58,440.0","61,480.0","64,796.0","68,660.0","71,404.0","73,948.0","77,716.0","83,692.0","88,664.0","89,604.0","94,328.0","108,372.0","112,468.0","119,332.0","126,776.0","131,860.0","136,720.0","142,540.0","144,520.0","147,420.0","152,656.0","160,444.0","166,984.0","174,812.0","181,356.0","192,712.0","200,256.0","203,707.0","208,740.0","209,276.0","213,361.0","214,400.0","215,705.0","216,695.0","218,572.0","222,215.0","226,383.0","232,840.0","241,650.0","244,179.0","244,545.0","248,439.0","253,757.0","264,683.0","271,631.0","274,859.0","278,923.0","284,441.0","289,952.0","298,720.0","303,739.0","308,194.0","311,627.0","311,772.0","315,383.0","313,228.0","313,784.0","312,770.0","309,418.0","313,154.0","313,402.0","313,243.0","311,193.0","310,655.0","318,439.0","326,245.0","335,597.0","345,557.0","353,201.0","357,169.0","359,553.0","362,729.0","361,744.0","366,115.0","367,700.0","367,143.0","369,674.0","372,136.0","373,519.0","374,346.0","373,561.0","372,147.0","366,406.0","358,439.0","358,249.0","355,703.0","359,125.0","362,353.0","363,858.0","361,685.0","360,140.0","356,375.0","346,482.0","336,691.0","326,620.0","313,463.0","316,604.0","311,106.0","309,051.0","301,194.0","297,443.0","295,404.0","298,019.0","301,734.0","300,940.0","309,990.0","313,632.0","319,397.0","339,886.0","341,446.0","370,159.0","354,140.0","375,372.0","391,113.0","368,179.0","394,761.0","434,895.0","418,291.0","409,117.0","412,333.0","415,584.0","426,205.0","346,854.0","313,311.0","376,365.0","375,367.0","366,551.0","368,481.0","392,165.0","387,071.0","401,947.0","417,669.0","465,322.0","429,453.0","424,363.0","418,603.0","461,510.0","400,683.0"
"42","23","  To persons and business \1\","A204RC1","18,510.0","19,091.0","19,578.0","20,541.0","21,324.0","21,740.0","22,465.0","22,615.0","22,702.0","22,430.0","22,589.0","22,787.0","22,943.0","23,378.0","23,696.0","24,339.0","25,674.0","26,797.0","28,095.0","29,186.0","29,908.0","30,812.0","32,136.0","32,524.0","32,937.0","34,555.0","36,047.0","38,225.0","40,040.0","41,128.0","42,236.0","43,664.0","44,088.0","44,844.0","45,432.0","46,724.0","48,408.0","50,044.0","52,848.0","54,956.0","57,580.0","60,372.0","62,888.0","66,400.0","71,356.0","76,784.0","77,460.0","79,952.0","92,180.0","95,020.0","101,604.0","108,892.0","113,048.0","118,408.0","122,628.0","124,428.0","128,544.0","133,984.0","141,460.0","147,544.0","155,028.0","161,048.0","171,092.0","177,348.0","180,707.0","185,828.0","186,012.0","190,021.0","189,912.0","191,477.0","191,915.0","193,568.0","196,407.0","200,371.0","206,732.0","214,706.0","215,243.0","213,625.0","215,507.0","219,685.0","227,735.0","233,527.0","235,779.0","239,599.0","244,353.0","249,468.0","257,828.0","262,123.0","266,394.0","270,747.0","270,708.0","275,639.0","274,064.0","274,496.0","273,650.0","270,666.0","274,346.0","274,654.0","273,395.0","271,093.0","269,911.0","276,123.0","281,685.0","286,449.0","296,553.0","298,749.0","298,621.0","299,065.0","300,481.0","297,156.0","299,395.0","294,784.0","289,579.0","288,554.0","288,920.0","288,615.0","289,610.0","287,949.0","288,363.0","283,922.0","276,875.0","277,569.0","275,855.0","279,117.0","280,729.0","278,806.0","276,317.0","274,116.0","272,539.0","265,042.0","261,103.0","253,960.0","239,063.0","242,472.0","236,538.0","232,519.0","226,138.0","224,219.0","221,612.0","224,755.0","226,858.0","219,160.0","225,542.0","224,592.0","223,857.0","239,438.0","235,794.0","256,303.0","232,200.0","243,692.0","252,585.0","220,411.0","238,525.0","269,291.0","251,375.0","240,469.0","244,133.0","243,992.0","260,985.0","184,574.0","157,611.0","230,857.0","235,735.0","229,967.0","232,657.0","255,525.0","248,555.0","264,439.0","283,785.0","334,174.0","297,093.0","290,827.0","287,119.0","330,738.0","270,579.0"
"43","24","  To the rest of the world","B093RC1","752.0","764.0","784.0","808.0","832.0","964.0","1,140.0","1,160.0","1,344.0","1,608.0","2,056.0","2,368.0","2,544.0","2,564.0","2,720.0","2,908.0","3,452.0","3,876.0","4,012.0","4,004.0","4,004.0","4,200.0","4,304.0","4,540.0","4,876.0","4,428.0","4,500.0","4,364.0","4,360.0","4,444.0","4,588.0","4,688.0","4,800.0","5,140.0","5,596.0","6,632.0","7,828.0","8,396.0","8,632.0","9,840.0","11,080.0","11,032.0","11,060.0","11,316.0","12,336.0","11,880.0","12,144.0","14,376.0","16,192.0","17,448.0","17,728.0","17,884.0","18,812.0","18,312.0","19,912.0","20,092.0","18,876.0","18,672.0","18,984.0","19,440.0","19,784.0","20,308.0","21,620.0","22,908.0","23,000.0","22,912.0","23,264.0","23,340.0","24,488.0","24,228.0","24,780.0","25,004.0","25,808.0","26,012.0","26,108.0","26,944.0","28,936.0","30,920.0","32,932.0","34,072.0","36,948.0","38,104.0","39,080.0","39,324.0","40,088.0","40,484.0","40,892.0","41,616.0","41,800.0","40,880.0","41,064.0","39,744.0","39,164.0","39,288.0","39,120.0","38,752.0","38,808.0","38,748.0","39,848.0","40,100.0","40,744.0","42,316.0","44,560.0","49,148.0","49,004.0","54,452.0","58,548.0","60,488.0","62,248.0","64,588.0","66,720.0","72,916.0","77,564.0","81,120.0","83,216.0","84,904.0","84,736.0","85,612.0","83,784.0","82,484.0","81,564.0","80,680.0","79,848.0","80,008.0","81,624.0","85,052.0","85,368.0","86,024.0","83,836.0","81,440.0","75,588.0","72,660.0","74,400.0","74,132.0","74,568.0","76,532.0","75,056.0","73,224.0","73,792.0","73,264.0","74,876.0","81,780.0","84,448.0","89,040.0","95,540.0","100,448.0","105,652.0","113,856.0","121,940.0","131,680.0","138,528.0","147,768.0","156,236.0","165,604.0","166,916.0","168,648.0","168,200.0","171,592.0","165,220.0","162,280.0","155,700.0","145,508.0","139,632.0","136,584.0","135,824.0","136,640.0","138,516.0","137,508.0","133,884.0","131,148.0","132,360.0","133,536.0","131,484.0","130,772.0","130,104.0"
"44","25","Subsidies \2\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,952.0","27,389.0","27,096.0","27,275.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,876.0","57,098.0","46,962.0","47,292.0","44,825.0","43,562.0","44,948.0","52,209.0","56,874.0","60,965.0","62,094.0","63,719.0","55,561.0","51,430.0","49,762.0","48,655.0","50,007.0","58,142.0","55,668.0","54,483.0","51,877.0","51,864.0","52,519.0","55,408.0","56,377.0","56,838.0","68,518.0","56,955.0","56,183.0","56,424.0","56,697.0","58,620.0","59,623.0","61,876.0","62,436.0","62,652.0","60,804.0","61,017.0","60,582.0"
"45","26","Less: Wage accruals less disbursements","A184RC1","0.0","0.0","0.0","0.0","2,500.0","-2,132.0","-368.0","0.0","0.0","0.0","296.0","540.0","-596.0","-172.0","32.0","2,068.0","76.0","-124.0","0.0","0.0","0.0","-560.0","-1,440.0","80.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","504.0","380.0","116.0","-880.0","-120.0","160.0","-160.0","0.0","0.0","0.0","0.0","0.0","252.0","-16.0","-128.0","40.0","40.0","32.0","-40.0","-1,276.0","-424.0","-40.0","176.0","192.0","-44.0","556.0","128.0","-1,048.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","248.0","-248.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","160.0","180.0","-380.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,396.0","-1,396.0","0.0","0.0","1,492.0","-1,476.0","-16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
