"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"27","9","  Nondurable goods industries","N664RC1","8,078.0","4,411.0","4,838.0","5,330.0","4,327.0","1,664.0","-1,176.0","1,538.0","7,011.0","4,235.0","12,055.0","9,744.0","-12,315.0","15,325.0","-8,433.0","-146.0","12,734.0"
"28","10","Retail trade","N153RC1","14,452.0","14,637.0","24,934.0","19,957.0","-10,317.0","25,035.0","17,535.0","23,137.0","5,012.0","9,340.0","6,299.0","-31,007.0","-49,714.0","19,110.0","-1,750.0","29,091.0","28,706.0"
"29","11","  Motor vehicle and parts dealers","N631RC1","5,143.0","1,832.0","12,440.0","11,880.0","-9,329.0","17,216.0","12,756.0","7,337.0","-2,906.0","-665.0","2,921.0","-12,345.0","-32,931.0","12,331.0","-1,918.0","22,527.0","15,458.0"
"30","12","  Food and beverage stores","N542RC1","344.0","942.0","1,529.0","-561.0","408.0","848.0","-1,180.0","306.0","-218.0","885.0","1,139.0","-453.0","-332.0","339.0","48.0","371.0","1,256.0"
"31","13","  General merchandise stores","N543RC1","142.0","359.0","2,694.0","1,040.0","160.0","2,040.0","1,276.0","4,492.0","2,855.0","1,012.0","-236.0","-4,035.0","-2,870.0","2,216.0","1,105.0","1,000.0","3,959.0"
"32","14","  Other retail stores","N558RC1","8,823.0","11,504.0","8,271.0","7,598.0","-1,556.0","4,931.0","4,683.0","11,002.0","5,281.0","8,108.0","2,475.0","-14,174.0","-13,581.0","4,224.0","-985.0","5,193.0","8,033.0"
"33","15","Other industries","N154RC1","5,301.0","5,570.0","7,085.0","12,446.0","-356.0","-1,088.0","1,465.0","4,294.0","2,323.0","4,176.0","-230.0","1,490.0","-5,516.0","-1,146.0","3,067.0","7,607.0","1,074.0"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","16","  Change in private inventories","A014RC1","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","110,541.0"
"36","17","    Durable goods industries","N355RC1","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","18,154.0","14,668.0","38,370.0","41,906.0","34,616.0","15,606.0","-24,876.0","-117,000.0","39,037.0","46,196.0","64,608.0","45,034.0"
"37","18","    Nondurable goods industries","N357RC1","30,947.0","24,414.0","23,415.0","18,967.0","6,165.0","348.0","4,618.0","25,489.0","17,673.0","32,356.0","18,845.0","-7,119.0","-30,569.0","22,492.0","-9,768.0","1,485.0","65,507.0"
"38","19","  Nonfarm industries","A015RC1","67,669.0","62,453.0","63,546.0","55,943.0","-38,320.0","20,998.0","19,219.0","55,053.0","59,354.0","70,549.0","35,158.0","-33,603.0","-145,968.0","68,851.0","42,787.0","77,835.0","69,871.0"
"39","20","    Nonfarm change in book value \1\","B016RC1","48,951.0","39,697.0","70,055.0","79,021.0","-55,372.0","18,153.0","33,485.0","110,275.0","105,414.0","106,341.0","92,355.0","14,180.0","-153,683.0","127,064.0","125,716.0","92,806.0","69,359.0"
"40","21","    Nonfarm inventory valuation adjustment \2\","B017RC1","18,718.0","22,756.0","-6,509.0","-23,078.0","17,052.0","2,845.0","-14,266.0","-55,222.0","-46,060.0","-35,792.0","-57,197.0","-47,783.0","7,715.0","-58,213.0","-82,929.0","-14,971.0","512.0"
"41","22","  Wholesale trade","N658RC1","25,330.0","21,432.0","18,910.0","18,854.0","-12,336.0","166.0","1,318.0","20,821.0","27,712.0","22,355.0","15,257.0","18,685.0","-61,893.0","26,089.0","21,749.0","22,386.0","27,357.0"
"42","23","    Merchant wholesale trade","N151RC1","22,654.0","19,454.0","16,309.0","14,775.0","-8,044.0","790.0","1,704.0","18,899.0","19,447.0","16,696.0","9,576.0","4,227.0","-46,100.0","21,628.0","11,873.0","20,037.0","26,880.0"
"43","24","      Durable goods industries","N626RC1","15,223.0","15,080.0","12,410.0","10,426.0","-13,312.0","-2,098.0","2,584.0","18,291.0","16,007.0","14,418.0","2,599.0","6,747.0","-44,500.0","13,349.0","19,203.0","19,648.0","14,088.0"
"44","25","      Nondurable goods industries","N627RC1","7,431.0","4,374.0","3,899.0","4,349.0","5,268.0","2,888.0","-880.0","608.0","3,440.0","2,278.0","6,977.0","-2,520.0","-1,600.0","8,279.0","-7,330.0","389.0","12,792.0"
"45","26","    Nonmerchant wholesale trade","N152RC1","2,676.0","1,978.0","2,602.0","4,079.0","-4,291.0","-624.0","-386.0","1,922.0","8,265.0","5,659.0","5,681.0","14,458.0","-15,794.0","4,461.0","9,875.0","2,349.0","477.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
