"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191DX1","4,569,253.0","4,594,155.0","4,577,614.0","4,582,079.0","4,642,093.0","4,748,023.0","4,840,990.0","4,940,829.0","5,038,995.0","5,127,500.0","5,177,949.0","5,219,246.0","5,271,125.0","5,319,391.0","5,402,154.0","5,442,680.0","5,493,105.0","5,518,326.0","5,573,874.0","5,602,751.0","5,641,943.0","5,705,278.0","5,757,024.0","5,852,038.0","5,884,956.0","5,962,707.0","5,997,109.0","6,076,535.0","6,137,826.0","6,186,087.0","6,232,263.0","6,245,439.0","6,313,817.0","6,338,226.0","6,339,820.0","6,285,783.0","6,256,330.0","6,304,873.0","6,335,135.0","6,362,784.0","6,437,946.0","6,508,919.0","6,572,187.0","6,638,034.0","6,650,390.0","6,689,930.0","6,722,544.0","6,812,282.0","6,879,052.0","6,973,061.0","7,014,145.0","7,093,777.0","7,118,020.0","7,142,899.0","7,204,037.0","7,255,174.0","7,302,773.0","7,430,283.0","7,499,013.0","7,578,232.0","7,635,999.0","7,751,213.0","7,849,921.0","7,910,856.0","7,989,121.0","8,066,602.0","8,172,131.0","8,306,277.0","8,383,857.0","8,454,481.0","8,562,114.0","8,710,278.0","8,735,241.0","8,900,236.0","8,911,598.0","8,959,042.0","8,933,388.0","8,980,815.0","8,953,495.0","8,975,427.0","9,059,807.0","9,109,309.0","9,153,105.0","9,157,519.0"
"21","2","Personal consumption expenditures","DPCEDX1","2,904,515.0","2,915,241.0","2,937,779.0","2,991,371.0","3,020,454.0","3,080,241.0","3,134,278.0","3,183,720.0","3,210,695.0","3,256,481.0","3,281,511.0","3,324,893.0","3,381,410.0","3,413,166.0","3,478,710.0","3,487,647.0","3,517,229.0","3,556,554.0","3,620,944.0","3,644,126.0","3,644,673.0","3,695,235.0","3,738,069.0","3,745,904.0","3,812,523.0","3,840,496.0","3,873,294.0","3,917,644.0","3,935,713.0","3,954,262.0","3,993,536.0","4,011,180.0","4,045,609.0","4,058,290.0","4,074,645.0","4,043,813.0","4,029,896.0","4,063,718.0","4,083,468.0","4,082,332.0","4,159,019.0","4,187,511.0","4,232,860.0","4,283,233.0","4,299,517.0","4,338,101.0","4,385,969.0","4,424,818.0","4,475,549.0","4,510,268.0","4,545,195.0","4,594,140.0","4,606,303.0","4,647,589.0","4,690,230.0","4,723,137.0","4,766,988.0","4,818,738.0","4,847,777.0","4,885,854.0","4,937,404.0","4,959,821.0","5,044,703.0","5,104,594.0","5,157,250.0","5,248,358.0","5,317,377.0","5,395,504.0","5,451,885.0","5,536,477.0","5,602,724.0","5,680,724.0","5,767,406.0","5,821,021.0","5,878,896.0","5,931,095.0","5,952,239.0","5,968,423.0","5,988,473.0","6,076,711.0","6,096,206.0","6,128,530.0","6,171,986.0","6,197,805.0"
"22","3","  Goods","DGDSDX1","1,111,723.0","1,111,454.0","1,117,375.0","1,139,909.0","1,145,849.0","1,179,633.0","1,205,807.0","1,234,198.0","1,250,911.0","1,278,798.0","1,279,588.0","1,299,587.0","1,319,645.0","1,331,707.0","1,367,210.0","1,359,052.0","1,379,678.0","1,404,214.0","1,447,716.0","1,446,807.0","1,417,216.0","1,444,363.0","1,466,075.0","1,452,981.0","1,487,268.0","1,495,000.0","1,494,700.0","1,518,411.0","1,520,509.0","1,529,081.0","1,551,098.0","1,545,967.0","1,566,696.0","1,549,896.0","1,546,282.0","1,521,881.0","1,508,833.0","1,517,273.0","1,526,407.0","1,509,507.0","1,543,690.0","1,551,564.0","1,568,527.0","1,589,290.0","1,595,442.0","1,621,017.0","1,637,752.0","1,658,610.0","1,686,716.0","1,701,719.0","1,717,513.0","1,750,364.0","1,741,668.0","1,753,419.0","1,774,648.0","1,791,391.0","1,805,741.0","1,840,952.0","1,854,069.0","1,876,537.0","1,901,830.0","1,900,403.0","1,950,077.0","1,976,722.0","1,991,603.0","2,043,316.0","2,073,901.0","2,136,816.0","2,163,005.0","2,213,823.0","2,239,976.0","2,278,392.0","2,312,564.0","2,324,746.0","2,348,968.0","2,369,340.0","2,374,865.0","2,381,215.0","2,398,247.0","2,484,655.0","2,478,381.0","2,488,307.0","2,519,695.0","2,526,836.0"
"23","4","    Durable goods","DDURDX1","288,791.0","289,848.0","292,191.0","305,527.0","308,598.0","331,098.0","343,820.0","360,779.0","374,386.0","383,079.0","383,199.0","395,633.0","409,376.0","414,249.0","440,768.0","425,587.0","434,280.0","449,619.0","487,970.0","480,235.0","451,753.0","470,279.0","489,712.0","476,486.0","499,032.0","499,206.0","492,700.0","505,461.0","503,215.0","509,932.0","521,462.0","505,618.0","526,972.0","509,549.0","504,382.0","490,496.0","476,984.0","479,382.0","486,748.0","478,804.0","497,599.0","501,059.0","511,751.0","521,916.0","526,985.0","544,090.0","550,158.0","563,397.0","576,813.0","583,015.0","589,154.0","609,862.0","597,229.0","603,304.0","620,325.0","631,084.0","637,940.0","658,236.0","662,927.0","675,852.0","694,144.0","691,932.0","722,755.0","741,218.0","747,189.0","784,951.0","807,249.0","854,927.0","856,778.0","897,747.0","919,264.0","930,277.0","982,189.0","964,037.0","980,410.0","987,200.0","1,003,437.0","1,002,564.0","1,014,073.0","1,098,575.0","1,085,083.0","1,095,730.0","1,127,855.0","1,112,277.0"
"24","5","    Nondurable goods","DNDGDX1","831,457.0","830,025.0","833,568.0","842,126.0","844,851.0","854,799.0","867,798.0","878,374.0","880,602.0","899,857.0","900,543.0","907,470.0","913,019.0","920,134.0","927,700.0","935,973.0","947,837.0","956,273.0","958,263.0","966,063.0","967,318.0","974,708.0","975,503.0","976,695.0","987,225.0","995,074.0","1,001,942.0","1,012,388.0","1,016,967.0","1,018,509.0","1,028,724.0","1,040,382.0","1,039,031.0","1,040,174.0","1,041,866.0","1,031,406.0","1,031,888.0","1,037,951.0","1,039,692.0","1,030,765.0","1,046,107.0","1,050,511.0","1,056,769.0","1,067,358.0","1,068,429.0","1,076,922.0","1,087,580.0","1,095,149.0","1,109,802.0","1,118,587.0","1,128,223.0","1,140,204.0","1,144,292.0","1,149,918.0","1,154,001.0","1,159,953.0","1,167,463.0","1,182,465.0","1,190,878.0","1,200,524.0","1,207,825.0","1,208,488.0","1,227,938.0","1,236,566.0","1,245,457.0","1,260,541.0","1,269,593.0","1,286,790.0","1,310,481.0","1,322,663.0","1,328,784.0","1,355,839.0","1,343,963.0","1,370,720.0","1,379,742.0","1,393,018.0","1,384,700.0","1,391,165.0","1,397,608.0","1,409,448.0","1,414,658.0","1,415,372.0","1,418,850.0","1,437,346.0"
"25","6","  Services","DSERDX1","1,795,159.0","1,807,276.0","1,824,520.0","1,855,064.0","1,879,186.0","1,902,965.0","1,929,783.0","1,949,189.0","1,958,472.0","1,974,777.0","2,000,443.0","2,023,391.0","2,060,091.0","2,079,778.0","2,108,567.0","2,126,837.0","2,134,754.0","2,148,741.0","2,168,384.0","2,193,110.0","2,225,316.0","2,248,235.0","2,269,014.0","2,291,041.0","2,322,824.0","2,343,195.0","2,376,889.0","2,397,205.0","2,413,366.0","2,423,280.0","2,440,243.0","2,463,476.0","2,476,945.0","2,507,216.0","2,527,497.0","2,521,525.0","2,520,890.0","2,546,348.0","2,556,889.0","2,572,899.0","2,615,339.0","2,635,957.0","2,664,327.0","2,693,928.0","2,704,039.0","2,717,235.0","2,748,322.0","2,766,503.0","2,789,444.0","2,809,240.0","2,828,491.0","2,845,203.0","2,865,462.0","2,894,812.0","2,916,519.0","2,932,945.0","2,962,275.0","2,979,848.0","2,995,929.0","3,012,195.0","3,038,971.0","3,061,917.0","3,098,854.0","3,132,459.0","3,169,545.0","3,210,994.0","3,249,937.0","3,269,626.0","3,300,471.0","3,336,894.0","3,377,132.0","3,417,991.0","3,470,707.0","3,510,921.0","3,544,815.0","3,576,569.0","3,591,578.0","3,601,335.0","3,605,961.0","3,617,520.0","3,640,790.0","3,662,770.0","3,677,789.0","3,695,765.0"
"26","7","Gross private domestic investment","A006DX1","696,342.0","695,453.0","688,887.0","635,606.0","657,740.0","716,079.0","760,966.0","835,010.0","915,671.0","945,421.0","965,865.0","953,334.0","927,204.0","943,003.0","936,577.0","971,099.0","970,812.0","953,862.0","928,203.0","930,981.0","956,106.0","956,605.0","956,745.0","1,021,937.0","972,886.0","996,066.0","1,001,607.0","1,016,905.0","1,051,311.0","1,041,220.0","1,031,975.0","1,024,428.0","1,034,452.0","1,034,826.0","1,014,631.0","958,118.0","926,244.0","926,305.0","944,725.0","978,241.0","960,253.0","1,014,704.0","1,022,882.0","1,054,202.0","1,078,948.0","1,085,065.0","1,077,755.0","1,134,281.0","1,178,024.0","1,235,764.0","1,215,424.0","1,265,403.0","1,279,051.0","1,252,549.0","1,245,118.0","1,276,101.0","1,295,627.0","1,358,395.0","1,420,957.0","1,420,513.0","1,451,166.0","1,531,308.0","1,558,724.0","1,580,804.0","1,651,185.0","1,640,030.0","1,683,833.0","1,731,331.0","1,780,639.0","1,782,217.0","1,826,840.0","1,880,478.0","1,863,528.0","1,974,894.0","1,950,125.0","1,951,286.0","1,861,438.0","1,854,757.0","1,821,794.0","1,732,429.0","1,794,251.0","1,812,284.0","1,812,037.0","1,808,813.0"
"27","8","  Fixed investment","A007DX1","728,130.0","704,927.0","687,994.0","688,357.0","703,989.0","730,615.0","771,650.0","814,707.0","840,255.0","873,061.0","890,384.0","906,315.0","914,484.0","926,247.0","922,472.0","939,993.0","942,664.0","942,879.0","938,714.0","945,974.0","929,642.0","943,876.0","960,208.0","959,801.0","960,373.0","979,153.0","983,733.0","995,403.0","1,004,156.0","1,005,519.0","1,023,209.0","1,010,048.0","1,021,845.0","1,001,663.0","993,277.0","967,894.0","941,172.0","944,014.0","945,210.0","949,311.0","959,810.0","991,491.0","1,003,000.0","1,032,430.0","1,040,038.0","1,058,651.0","1,075,351.0","1,118,447.0","1,132,236.0","1,154,922.0","1,164,284.0","1,192,282.0","1,217,741.0","1,217,005.0","1,234,214.0","1,258,599.0","1,290,310.0","1,330,712.0","1,360,924.0","1,382,423.0","1,407,759.0","1,434,850.0","1,486,197.0","1,497,618.0","1,541,038.0","1,592,542.0","1,622,176.0","1,666,655.0","1,695,527.0","1,735,531.0","1,775,205.0","1,783,373.0","1,833,044.0","1,874,082.0","1,881,753.0","1,885,848.0","1,876,122.0","1,851,298.0","1,836,326.0","1,794,147.0","1,783,578.0","1,779,087.0","1,773,149.0","1,767,565.0"
"28","9","    Nonresidential","A008DX1","573,457.0","555,215.0","539,059.0","529,730.0","521,927.0","529,266.0","551,599.0","584,957.0","603,528.0","631,632.0","651,001.0","666,315.0","673,792.0","683,445.0","675,679.0","687,906.0","681,089.0","667,279.0","659,611.0","665,989.0","650,245.0","663,350.0","681,790.0","680,932.0","686,380.0","701,740.0","706,138.0","715,980.0","727,335.0","737,252.0","756,111.0","748,594.0","758,065.0","748,242.0","753,378.0","741,732.0","726,809.0","723,170.0","716,991.0","716,590.0","713,883.0","737,124.0","748,521.0","768,239.0","775,754.0","790,907.0","797,346.0","826,014.0","835,333.0","848,146.0","862,436.0","895,964.0","929,325.0","938,337.0","944,550.0","963,286.0","987,243.0","1,013,933.0","1,045,814.0","1,072,119.0","1,096,503.0","1,119,516.0","1,169,272.0","1,177,213.0","1,214,588.0","1,254,720.0","1,273,629.0","1,310,227.0","1,338,916.0","1,374,099.0","1,412,642.0","1,417,766.0","1,468,281.0","1,514,715.0","1,530,687.0","1,534,730.0","1,522,349.0","1,487,783.0","1,468,329.0","1,425,790.0","1,396,830.0","1,378,290.0","1,370,154.0","1,353,719.0"
"29","10","      Structures","B009DX1","223,303.0","216,026.0","204,118.0","199,483.0","191,345.0","182,261.0","186,524.0","191,716.0","202,614.0","212,785.0","219,499.0","221,769.0","231,166.0","231,037.0","226,252.0","229,072.0","223,345.0","202,300.0","195,085.0","196,275.0","191,684.0","193,936.0","202,016.0","205,855.0","198,087.0","202,202.0","199,472.0","198,972.0","202,175.0","199,890.0","206,892.0","205,618.0","210,138.0","209,109.0","208,349.0","198,968.0","194,702.0","189,389.0","177,072.0","173,432.0","171,185.0","171,214.0","172,794.0","175,095.0","172,769.0","169,879.0","170,295.0","175,478.0","169,952.0","177,032.0","175,811.0","178,243.0","183,212.0","187,630.0","188,232.0","186,623.0","190,081.0","194,232.0","196,591.0","207,052.0","208,259.0","206,338.0","215,005.0","216,177.0","214,195.0","225,567.0","225,005.0","224,348.0","223,747.0","221,427.0","221,315.0","223,622.0","228,339.0","237,892.0","246,230.0","247,101.0","240,144.0","241,429.0","243,351.0","220,091.0","208,399.0","196,968.0","187,640.0","185,010.0"
"30","11","      Equipment","Y033DX1","269,354.0","257,673.0","252,456.0","247,654.0","246,037.0","258,504.0","273,138.0","297,133.0","302,282.0","317,177.0","327,101.0","336,738.0","333,761.0","341,052.0","336,343.0","342,628.0","339,210.0","343,408.0","341,405.0","345,286.0","333,357.0","343,105.0","352,174.0","345,627.0","356,428.0","365,297.0","369,241.0","373,938.0","378,407.0","386,553.0","394,137.0","383,369.0","385,141.0","373,423.0","378,756.0","373,156.0","359,738.0","357,433.0","362,868.0","361,169.0","358,318.0","379,007.0","387,604.0","401,866.0","409,491.0","425,884.0","430,781.0","454,519.0","467,396.0","470,212.0","482,422.0","511,464.0","537,593.0","536,756.0","537,725.0","552,932.0","566,806.0","583,398.0","606,804.0","614,200.0","626,219.0","646,985.0","681,679.0","680,075.0","715,658.0","736,480.0","747,682.0","780,906.0","803,925.0","832,510.0","860,697.0","855,123.0","893,748.0","926,767.0","929,959.0","928,198.0","921,100.0","882,858.0","859,941.0","856,491.0","841,945.0","832,375.0","834,279.0","821,346.0"
"31","12","      Intellectual property products","Y001DX1","85,290.0","86,123.0","86,758.0","86,809.0","88,412.0","91,288.0","94,456.0","98,072.0","101,155.0","104,345.0","107,171.0","110,416.0","112,034.0","114,336.0","115,863.0","118,933.0","120,980.0","122,879.0","124,090.0","125,355.0","126,170.0","127,175.0","128,652.0","130,683.0","132,630.0","135,012.0","138,017.0","143,509.0","147,182.0","151,123.0","155,429.0","159,894.0","163,085.0","165,964.0","166,510.0","169,798.0","172,523.0","176,438.0","177,116.0","181,990.0","184,389.0","186,877.0","188,113.0","191,304.0","193,589.0","195,444.0","196,609.0","196,572.0","198,987.0","201,638.0","205,276.0","207,974.0","210,774.0","215,758.0","220,313.0","226,192.0","232,972.0","239,152.0","246,110.0","253,335.0","264,698.0","270,432.0","277,747.0","285,411.0","292,545.0","299,572.0","308,668.0","316,158.0","324,735.0","336,987.0","350,148.0","356,480.0","366,796.0","371,985.0","373,916.0","377,819.0","380,559.0","376,216.0","373,108.0","367,399.0","367,138.0","372,449.0","376,158.0","374,282.0"
"32","13","    Residential","A011DX1","147,418.0","142,655.0","142,516.0","153,804.0","180,247.0","201,237.0","220,885.0","230,212.0","237,107.0","241,250.0","238,430.0","238,666.0","239,231.0","241,256.0","245,750.0","251,109.0","261,306.0","276,316.0","280,095.0","280,854.0","280,372.0","281,336.0","279,011.0","279,470.0","274,493.0","277,890.0","278,055.0","279,852.0","277,146.0","268,458.0","267,217.0","261,539.0","263,854.0","253,451.0","239,824.0","225,985.0","214,078.0","220,666.0","228,127.0","232,639.0","245,947.0","254,362.0","254,469.0","264,186.0","264,367.0","267,893.0","277,920.0","292,170.0","296,531.0","306,125.0","301,616.0","296,974.0","290,227.0","281,282.0","291,696.0","297,365.0","305,101.0","318,401.0","317,736.0","314,124.0","315,731.0","320,147.0","323,249.0","326,661.0","333,431.0","344,986.0","355,076.0","363,412.0","364,810.0","370,491.0","373,276.0","376,000.0","377,868.0","375,930.0","370,084.0","370,465.0","372,057.0","377,820.0","380,173.0","377,734.0","390,117.0","399,802.0","400,985.0","408,204.0"
