"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"40","21","Gross domestic investment","W170RC1","233,905.0","232,434.0","237,476.0","228,599.0","227,110.0","230,299.0","234,141.0","227,840.0","247,542.0","255,661.0","261,236.0","256,891.0","272,990.0","287,770.0","292,228.0","302,344.0","320,494.0","333,793.0","328,892.0","347,089.0","339,331.0","353,499.0","349,135.0","360,789.0","327,369.0","322,501.0","350,637.0","366,096.0","397,578.0","411,308.0","416,996.0","425,581.0","451,777.0","483,945.0","507,771.0","515,588.0","528,400.0","575,579.0","602,085.0","629,702.0","635,630.0","656,288.0","670,983.0","676,107.0","690,342.0","654,029.0","629,429.0","690,406.0","765,810.0","755,208.0","798,023.0","795,254.0","738,511.0","750,178.0","750,452.0","712,799.0","730,068.0","781,070.0","826,929.0","896,652.0","974,680.0","1,008,652.0","1,032,919.0","1,036,824.0","1,017,722.0","1,045,717.0","1,048,889.0","1,085,769.0","1,092,039.0","1,089,902.0","1,082,149.0","1,084,827.0","1,118,628.0","1,128,292.0","1,135,479.0","1,204,870.0","1,162,104.0","1,193,035.0","1,200,720.0","1,225,572.0","1,268,803.0","1,268,507.0","1,271,513.0","1,271,706.0","1,297,469.0","1,303,190.0","1,291,369.0","1,243,240.0","1,215,353.0","1,221,689.0","1,243,034.0","1,273,679.0","1,257,085.0","1,310,794.0","1,318,481.0","1,350,159.0","1,372,341.0","1,387,795.0","1,387,382.0","1,447,328.0","1,485,347.0","1,555,434.0","1,553,948.0","1,607,887.0","1,632,786.0","1,613,906.0","1,609,906.0","1,644,051.0","1,669,965.0","1,736,471.0","1,796,139.0","1,805,461.0","1,852,313.0","1,919,877.0","1,956,623.0","1,971,755.0","2,036,891.0","2,031,677.0","2,091,549.0","2,146,796.0","2,206,935.0","2,210,021.0","2,261,474.0","2,332,203.0","2,333,625.0","2,457,716.0","2,447,384.0","2,457,311.0","2,369,215.0","2,388,702.0","2,344,044.0","2,267,124.0","2,344,413.0","2,365,043.0","2,375,826.0","2,388,986.0","2,415,538.0","2,431,592.0","2,520,509.0","2,605,186.0","2,630,420.0","2,747,080.0","2,805,694.0","2,877,358.0","2,973,343.0","2,979,132.0","3,046,617.0","3,163,906.0","3,233,905.0","3,250,678.0","3,240,164.0","3,207,235.0","3,209,784.0","3,262,619.0","3,255,468.0","3,215,926.0","3,138,377.0","3,126,016.0","3,081,628.0","2,891,740.0","2,614,895.0","2,477,790.0","2,437,795.0","2,570,103.0","2,624,944.0","2,748,037.0","2,825,075.0","2,812,487.0","2,754,350.0","2,833,070.0","2,853,795.0","3,017,502.0","3,070,982.0","3,079,305.0","3,113,896.0","3,112,454.0","3,153,922.0","3,225,427.0","3,352,336.0","3,384,022.0"
"41","22","  Gross private domestic investment","A006RC1","172,388.0","172,720.0","177,566.0","171,577.0","168,113.0","171,453.0","173,902.0","166,752.0","189,496.0","197,330.0","202,055.0","198,414.0","212,966.0","226,799.0","233,090.0","239,713.0","254,314.0","268,198.0","264,337.0","280,857.0","268,363.0","277,393.0","271,012.0","281,337.0","244,307.0","243,281.0","265,191.0","276,235.0","304,640.0","322,304.0","328,309.0","337,649.0","360,312.0","389,703.0","414,134.0","422,301.0","434,794.0","470,583.0","492,365.0","515,758.0","525,811.0","539,294.0","545,625.0","547,879.0","554,562.0","519,290.0","495,073.0","551,474.0","619,383.0","609,839.0","652,296.0","643,395.0","588,317.0","593,622.0","592,959.0","549,246.0","565,519.0","613,777.0","652,267.0","718,497.0","790,872.0","818,897.0","838,850.0","831,742.0","809,868.0","827,040.0","822,153.0","859,549.0","863,454.0","855,234.0","835,830.0","842,063.0","871,198.0","874,587.0","876,468.0","946,454.0","908,571.0","934,526.0","942,003.0","962,751.0","1,005,364.0","1,000,990.0","996,504.0","995,948.0","1,010,840.0","1,014,752.0","1,000,658.0","947,550.0","924,608.0","926,552.0","947,472.0","978,757.0","956,774.0","1,013,062.0","1,024,205.0","1,058,008.0","1,083,901.0","1,094,466.0","1,095,941.0","1,152,995.0","1,202,059.0","1,265,089.0","1,251,594.0","1,307,188.0","1,327,265.0","1,303,825.0","1,303,220.0","1,335,619.0","1,355,230.0","1,418,560.0","1,474,446.0","1,479,995.0","1,521,951.0","1,589,852.0","1,625,338.0","1,645,296.0","1,712,314.0","1,694,789.0","1,739,786.0","1,794,417.0","1,850,634.0","1,845,773.0","1,890,917.0","1,949,443.0","1,945,917.0","2,071,760.0","2,055,769.0","2,061,573.0","1,967,535.0","1,966,993.0","1,937,338.0","1,842,681.0","1,910,026.0","1,925,596.0","1,927,858.0","1,936,499.0","1,960,189.0","1,970,549.0","2,048,269.0","2,132,792.0","2,155,154.0","2,259,525.0","2,311,281.0","2,380,750.0","2,475,169.0","2,469,547.0","2,527,238.0","2,636,478.0","2,699,654.0","2,696,951.0","2,684,405.0","2,641,582.0","2,634,210.0","2,671,911.0","2,658,237.0","2,610,614.0","2,527,014.0","2,493,261.0","2,435,872.0","2,243,111.0","1,972,146.0","1,825,890.0","1,786,398.0","1,928,031.0","1,989,539.0","2,092,716.0","2,164,566.0","2,156,457.0","2,120,428.0","2,199,900.0","2,222,240.0","2,385,745.0","2,453,635.0","2,453,971.0","2,493,280.0","2,499,927.0","2,555,123.0","2,621,015.0","2,737,982.0","2,773,650.0"
"42","23","    Domestic business","W987RC1","133,407.0","133,713.0","138,659.0","134,565.0","131,249.0","135,392.0","136,936.0","126,642.0","146,396.0","149,618.0","151,453.0","145,151.0","155,663.0","167,986.0","172,859.0","175,285.0","186,479.0","201,243.0","197,604.0","215,668.0","205,663.0","215,115.0","207,856.0","222,609.0","186,122.0","181,828.0","198,796.0","205,659.0","227,528.0","241,222.0","246,762.0","245,554.0","262,791.0","279,887.0","301,320.0","307,619.0","316,715.0","344,111.0","362,363.0","384,167.0","396,387.0","409,425.0","413,702.0","417,674.0","429,226.0","412,451.0","383,106.0","428,114.0","496,676.0","488,395.0","536,453.0","533,954.0","480,602.0","486,111.0","484,021.0","432,378.0","431,968.0","466,636.0","491,369.0","549,331.0","616,120.0","639,585.0","659,776.0","651,317.0","629,007.0","644,759.0","636,278.0","667,490.0","662,216.0","641,440.0","615,737.0","616,873.0","642,370.0","640,389.0","639,132.0","704,654.0","666,740.0","686,205.0","691,132.0","707,640.0","750,783.0","750,466.0","745,205.0","748,135.0","758,850.0","770,049.0","764,391.0","721,010.0","705,616.0","699,540.0","711,548.0","737,986.0","704,065.0","748,733.0","757,737.0","780,346.0","805,785.0","811,569.0","802,413.0","843,461.0","882,708.0","934,368.0","923,261.0","981,697.0","1,008,341.0","994,764.0","984,720.0","1,009,168.0","1,016,888.0","1,063,095.0","1,113,315.0","1,118,828.0","1,155,832.0","1,215,071.0","1,239,469.0","1,249,866.0","1,302,640.0","1,265,936.0","1,295,037.0","1,336,519.0","1,389,228.0","1,374,499.0","1,412,616.0","1,464,574.0","1,447,720.0","1,568,491.0","1,552,730.0","1,553,659.0","1,445,726.0","1,433,855.0","1,394,880.0","1,300,601.0","1,348,185.0","1,347,590.0","1,346,224.0","1,337,485.0","1,340,202.0","1,339,410.0","1,380,817.0","1,435,916.0","1,431,483.0","1,500,183.0","1,531,855.0","1,579,441.0","1,649,136.0","1,616,903.0","1,643,436.0","1,739,024.0","1,792,812.0","1,819,147.0","1,843,596.0","1,826,660.0","1,851,007.0","1,912,850.0","1,934,672.0","1,931,922.0","1,904,227.0","1,892,436.0","1,861,955.0","1,718,897.0","1,487,292.0","1,369,374.0","1,319,945.0","1,463,270.0","1,535,195.0","1,624,314.0","1,725,423.0","1,708,847.0","1,671,816.0","1,746,978.0","1,763,685.0","1,919,128.0","1,970,843.0","1,966,332.0","1,993,055.0","1,978,151.0","2,017,411.0","2,063,387.0","2,158,378.0","2,201,128.0"
"43","24","    Households and institutions","W988RC1","38,981.0","39,007.0","38,907.0","37,012.0","36,864.0","36,061.0","36,966.0","40,110.0","43,100.0","47,712.0","50,602.0","53,263.0","57,303.0","58,813.0","60,231.0","64,428.0","67,835.0","66,955.0","66,733.0","65,189.0","62,700.0","62,278.0","63,156.0","58,728.0","58,185.0","61,453.0","66,395.0","70,576.0","77,112.0","81,082.0","81,547.0","92,095.0","97,521.0","109,816.0","112,814.0","114,682.0","118,079.0","126,472.0","130,002.0","131,591.0","129,424.0","129,869.0","131,923.0","130,205.0","125,336.0","106,839.0","111,967.0","123,360.0","122,707.0","121,444.0","115,843.0","109,441.0","107,715.0","107,511.0","108,938.0","116,868.0","133,551.0","147,141.0","160,898.0","169,166.0","174,752.0","179,312.0","179,074.0","180,425.0","180,861.0","182,281.0","185,875.0","192,059.0","201,238.0","213,794.0","220,093.0","225,190.0","228,828.0","234,198.0","237,336.0","241,800.0","241,831.0","248,321.0","250,871.0","255,111.0","254,581.0","250,524.0","251,299.0","247,813.0","251,990.0","244,703.0","236,267.0","226,540.0","218,992.0","227,012.0","235,924.0","240,771.0","252,709.0","264,329.0","266,468.0","277,662.0","278,116.0","282,897.0","293,528.0","309,534.0","319,351.0","330,721.0","328,333.0","325,491.0","318,924.0","309,061.0","318,500.0","326,451.0","338,342.0","355,465.0","361,131.0","361,167.0","366,119.0","374,781.0","385,869.0","395,430.0","409,674.0","428,853.0","444,749.0","457,898.0","461,406.0","471,274.0","478,301.0","484,869.0","498,197.0","503,269.0","503,039.0","507,914.0","521,809.0","533,138.0","542,458.0","542,080.0","561,841.0","578,006.0","581,634.0","599,014.0","619,987.0","631,139.0","667,452.0","696,876.0","723,671.0","759,342.0","779,426.0","801,309.0","826,033.0","852,644.0","883,802.0","897,454.0","906,842.0","877,804.0","840,809.0","814,922.0","783,203.0","759,061.0","723,565.0","678,692.0","622,787.0","600,825.0","573,917.0","524,214.0","484,854.0","456,516.0","466,453.0","464,761.0","454,344.0","468,402.0","439,143.0","447,610.0","448,612.0","452,922.0","458,555.0","466,617.0","482,792.0","487,639.0","500,225.0","521,776.0","537,712.0","557,628.0","579,604.0","572,522.0"
"44","25","  Gross government investment","A782RC1","61,517.0","59,714.0","59,910.0","57,022.0","58,997.0","58,846.0","60,239.0","61,088.0","58,046.0","58,331.0","59,181.0","58,477.0","60,024.0","60,971.0","59,138.0","62,631.0","66,180.0","65,595.0","64,555.0","66,232.0","70,968.0","76,106.0","78,123.0","79,452.0","83,062.0","79,220.0","85,446.0","89,861.0","92,938.0","89,004.0","88,687.0","87,932.0","91,465.0","94,242.0","93,637.0","93,287.0","93,606.0","104,996.0","109,720.0","113,944.0","109,819.0","116,994.0","125,358.0","128,228.0","135,780.0","134,739.0","134,356.0","138,932.0","146,427.0","145,369.0","145,727.0","151,859.0","150,194.0","156,556.0","157,493.0","163,553.0","164,549.0","167,293.0","174,662.0","178,155.0","183,808.0","189,755.0","194,069.0","205,082.0","207,854.0","218,677.0","226,736.0","226,220.0","228,585.0","234,668.0","246,319.0","242,764.0","247,430.0","253,705.0","259,011.0","258,416.0","253,533.0","258,509.0","258,717.0","262,821.0","263,439.0","267,517.0","275,009.0","275,758.0","286,629.0","288,438.0","290,711.0","295,690.0","290,745.0","295,137.0","295,562.0","294,922.0","300,311.0","297,732.0","294,276.0","292,151.0","288,440.0","293,329.0","291,441.0","294,333.0","283,288.0","290,345.0","302,354.0","300,699.0","305,521.0","310,081.0","306,686.0","308,432.0","314,735.0","317,911.0","321,693.0","325,466.0","330,362.0","330,025.0","331,285.0","326,459.0","324,577.0","336,888.0","351,763.0","352,379.0","356,301.0","364,248.0","370,557.0","382,760.0","387,708.0","385,956.0","391,615.0","395,738.0","401,680.0","421,709.0","406,706.0","424,443.0","434,387.0","439,447.0","447,968.0","452,487.0","455,349.0","461,043.0","472,240.0","472,394.0","475,266.0","487,555.0","494,413.0","496,608.0","498,174.0","509,585.0","519,379.0","527,428.0","534,251.0","553,727.0","555,759.0","565,653.0","575,574.0","590,708.0","597,231.0","605,312.0","611,363.0","632,755.0","645,756.0","648,629.0","642,749.0","651,900.0","651,397.0","642,072.0","635,405.0","655,321.0","660,509.0","656,030.0","633,922.0","633,170.0","631,555.0","631,757.0","617,347.0","625,334.0","620,616.0","612,527.0","598,799.0","604,412.0","614,354.0","610,372.0"
"45","26","    Federal","A787RC1","32,480.0","30,252.0","31,036.0","29,124.0","30,828.0","30,340.0","29,944.0","30,716.0","27,696.0","27,508.0","28,852.0","27,136.0","28,556.0","30,600.0","28,264.0","29,976.0","32,756.0","32,268.0","30,684.0","30,900.0","33,292.0","35,228.0","36,404.0","37,724.0","37,708.0","36,884.0","41,716.0","43,080.0","43,660.0","43,420.0","45,596.0","46,320.0","47,960.0","49,368.0","49,836.0","49,628.0","50,556.0","53,804.0","56,092.0","58,516.0","58,332.0","60,048.0","64,648.0","63,948.0","68,324.0","69,008.0","70,268.0","73,412.0","75,404.0","79,580.0","81,672.0","85,060.0","84,868.0","90,280.0","90,316.0","94,360.0","96,768.0","100,044.0","104,328.0","108,212.0","110,488.0","113,676.0","114,356.0","123,840.0","124,724.0","131,036.0","137,360.0","136,980.0","134,596.0","138,576.0","148,092.0","146,272.0","147,304.0","153,148.0","156,044.0","153,292.0","147,432.0","147,876.0","148,076.0","148,548.0","149,024.0","149,668.0","155,000.0","151,176.0","155,916.0","158,500.0","159,304.0","159,096.0","155,704.0","159,308.0","157,460.0","154,716.0","155,520.0","156,644.0","157,056.0","156,356.0","152,404.0","151,476.0","148,828.0","150,024.0","141,180.0","144,180.0","149,732.0","146,344.0","148,676.0","148,788.0","146,672.0","146,668.0","153,664.0","152,076.0","149,648.0","143,780.0","141,460.0","142,368.0","146,600.0","144,392.0","143,964.0","147,268.0","150,868.0","148,552.0","148,092.0","154,324.0","157,108.0","159,904.0","156,348.0","156,340.0","158,480.0","158,336.0","158,744.0","163,500.0","165,720.0","167,416.0","171,844.0","178,480.0","184,568.0","186,216.0","188,864.0","196,276.0","199,124.0","201,152.0","203,644.0","208,992.0","215,280.0","216,108.0","216,676.0","221,392.0","226,896.0","226,552.0","233,252.0","238,444.0","237,216.0","243,284.0","243,044.0","251,680.0","254,692.0","256,272.0","260,652.0","274,800.0","282,032.0","285,652.0","277,460.0","283,432.0","287,312.0","287,728.0","290,084.0","299,476.0","302,864.0","307,412.0","296,268.0","297,936.0","295,128.0","292,188.0","282,424.0","286,368.0","286,032.0","281,372.0","272,688.0","276,592.0","278,804.0","271,176.0"
"46","27","    State and local","A799RC1","29,037.0","29,462.0","28,874.0","27,898.0","28,169.0","28,506.0","30,295.0","30,372.0","30,350.0","30,823.0","30,329.0","31,341.0","31,468.0","30,371.0","30,874.0","32,655.0","33,424.0","33,327.0","33,871.0","35,332.0","37,676.0","40,878.0","41,719.0","41,728.0","45,354.0","42,336.0","43,730.0","46,781.0","49,278.0","45,584.0","43,091.0","41,612.0","43,505.0","44,874.0","43,801.0","43,659.0","43,050.0","51,192.0","53,628.0","55,428.0","51,487.0","56,946.0","60,710.0","64,280.0","67,456.0","65,731.0","64,088.0","65,520.0","71,023.0","65,789.0","64,055.0","66,799.0","65,326.0","66,276.0","67,177.0","69,193.0","67,781.0","67,249.0","70,334.0","69,943.0","73,320.0","76,079.0","79,713.0","81,242.0","83,130.0","87,641.0","89,376.0","89,240.0","93,989.0","96,092.0","98,227.0","96,492.0","100,126.0","100,557.0","102,967.0","105,124.0","106,101.0","110,633.0","110,641.0","114,273.0","114,415.0","117,849.0","120,009.0","124,582.0","130,713.0","129,938.0","131,407.0","136,594.0","135,041.0","135,829.0","138,102.0","140,206.0","144,791.0","141,088.0","137,220.0","135,795.0","136,036.0","141,853.0","142,613.0","144,309.0","142,108.0","146,165.0","152,622.0","154,355.0","156,845.0","161,293.0","160,014.0","161,764.0","161,071.0","165,835.0","172,045.0","181,686.0","188,902.0","187,657.0","184,685.0","182,067.0","180,613.0","189,620.0","200,895.0","203,827.0","208,209.0","209,924.0","213,449.0","222,856.0","231,360.0","229,616.0","233,135.0","237,402.0","242,936.0","258,209.0","240,986.0","257,027.0","262,543.0","260,967.0","263,400.0","266,271.0","266,485.0","264,767.0","273,116.0","271,242.0","271,622.0","278,563.0","279,133.0","280,500.0","281,498.0","288,193.0","292,483.0","300,876.0","300,999.0","315,283.0","318,543.0","322,369.0","332,530.0","339,028.0","342,539.0","349,040.0","350,711.0","357,955.0","363,724.0","362,977.0","365,289.0","368,468.0","364,085.0","354,344.0","345,321.0","355,845.0","357,645.0","348,618.0","337,654.0","335,234.0","336,427.0","339,569.0","334,923.0","338,966.0","334,584.0","331,155.0","326,111.0","327,820.0","335,550.0","339,196.0"
"47","28","Capital account transactions (net) \1\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","612.0","5,371.0","2,271.0","249.0","491.0","240.0","-12,406.0","522.0","8,897.0","604.0","-61,190.0","272.0","5,157.0","2,226.0","288.0","592.0","260.0","-1,501.0","520.0","358.0","379.0","445.0","-23,801.0","1,338.0","447.0","495.0","588.0","727.0","504.0","558.0","1,128.0","542.0","602.0","3,771.0","1,630.0","632.0","408.0","1,366.0","2,279.0","-30,268.0","460.0","376.0","-647.0","....."
"48","29","  Private","W999RC1","3,350.0","3,556.0","3,427.0","3,518.0","3,803.0","3,947.0","3,555.0","3,936.0","5,635.0","3,121.0","3,406.0","5,716.0","5,648.0","3,906.0","4,881.0","8,234.0","10,653.0","5,417.0","9,233.0","6,406.0","8,466.0","18,255.0","3,839.0","8,929.0","4,504.0","4,876.0","4,790.0","4,617.0","5,570.0","8,080.0","9,619.0","7,451.0","12,339.0","7,047.0","9,393.0","7,132.0","5,268.0","8,365.0","4,142.0","5,756.0","7,866.0","5,366.0","7,906.0","11,459.0","8,389.0","5,515.0","8,788.0","18,877.0","6,012.0","12,041.0","20,137.0","11,174.0","12,515.0","8,904.0","8,133.0","15,975.0","6,000.0","20,833.0","11,796.0","5,280.0","9,119.0","11,938.0","9,889.0","8,047.0","5,866.0","5,782.0","10,754.0","5,871.0","6,093.0","13,788.0","6,738.0","10,857.0","6,674.0","6,616.0","7,528.0","6,575.0","6,163.0","3,666.0","9,716.0","8,168.0","6,823.0","9,364.0","8,097.0","8,863.0","8,526.0","14,399.0","11,179.0","9,121.0","9,527.0","8,964.0","10,495.0","9,413.0","9,705.0","8,930.0","3,896.0","10,473.0","10,522.0","11,349.0","11,611.0","13,093.0","14,444.0","16,128.0","11,992.0","13,326.0","12,959.0","14,721.0","42,385.0","14,664.0","16,441.0","17,572.0","19,857.0","33,659.0","21,415.0","48,410.0","25,832.0","24,361.0","26,672.0","35,865.0","33,458.0","27,279.0","27,059.0","28,762.0","31,065.0","30,249.0","27,846.0","27,968.0","27,942.0","26,831.0","31,309.0","28,570.0","-21,685.0","23,926.0","23,615.0","21,486.0","22,481.0","4,669.0","3,767.0","1,765.0","951.0","3,369.0","2,163.0","2,913.0","-27,505.0","3,759.0","5,100.0","4,852.0","-114,787.0","-18,549.0","11,224.0","6,666.0","6,863.0","55,414.0","-7,945.0","-5,743.0","-9,123.0","6,764.0","10,902.0","25,445.0","-26,071.0","-223,068.0","-198,521.0","-137,256.0","-57,537.0","-92,416.0","-78,293.0","-97,382.0","-32,069.0","-26,294.0","-26,947.0","-49,483.0","-45,829.0","-67,539.0","-26,579.0","-8,097.0","-7,369.0","-61,970.0","-3,294.0","1,810.0","4,521.0","....."
"49","30","    Domestic business","W989RC1","-375.0","-484.0","-409.0","-370.0","-231.0","-47.0","-249.0","84.0","1,824.0","-679.0","-749.0","-709.0","-815.0","-847.0","-286.0","2,485.0","4,686.0","609.0","4,252.0","1,046.0","3,143.0","13,275.0","-869.0","4,508.0","62.0","-82.0","-434.0","-580.0","177.0","2,381.0","3,760.0","818.0","-620.0","355.0","2,926.0","931.0","-634.0","2,595.0","-1,674.0","-115.0","1,894.0","-434.0","1,992.0","5,112.0","1,862.0","-1,523.0","1,198.0","11,667.0","-876.0","4,680.0","12,390.0","3,170.0","2,918.0","440.0","-7.0","9,231.0","-346.0","14,349.0","4,892.0","-240.0","2,445.0","5,853.0","3,919.0","2,043.0","-670.0","-329.0","3,994.0","-275.0","-699.0","6,665.0","-792.0","3,789.0","-891.0","-729.0","-108.0","-207.0","-1,086.0","-3,344.0","1,447.0","-103.0","-1,141.0","495.0","4,783.0","1,084.0","-946.0","-65.0","-22.0","-1,582.0","-1,740.0","-1,738.0","-1,725.0","2,833.0","-1,759.0","-1,763.0","32,582.0","-1,722.0","2,099.0","-1,691.0","-1,177.0","-1,706.0","17,530.0","-686.0","-3,063.0","-1,582.0","-1,570.0","509.0","26,609.0","2,762.0","-258.0","-687.0","293.0","14,319.0","367.0","26,745.0","3,162.0","1,171.0","1,436.0","9,490.0","6,736.0","-387.0","-1,752.0","-1,246.0","3,111.0","-1,715.0","-1,415.0","-1,273.0","-634.0","-1,394.0","2,481.0","7,911.0","-35,902.0","-2,465.0","-2,798.0","-2,841.0","-2,784.0","-2,245.0","-2,247.0","-1,733.0","-2,222.0","-2,589.0","-2,407.0","-1,962.0","16,307.0","-1,155.0","-47.0","57.0","10,693.0","-10,161.0","556.0","1,343.0","1,596.0","50,835.0","-167.0","595.0","-1,827.0","2,786.0","7,749.0","18,955.0","8,123.0","-234,294.0","-203,999.0","-141,222.0","42,489.0","-30,674.0","-13,418.0","-78,451.0","-27,117.0","1,207.0","-21,415.0","-42,697.0","-36,917.0","-64,034.0","-25,242.0","-8,043.0","-9,353.0","-7,115.0","-10,658.0","-6,589.0","-6,046.0","....."
"50","31","    Households and institutions","W990RC1","3,725.0","4,040.0","3,836.0","3,888.0","4,034.0","3,994.0","3,804.0","3,852.0","3,811.0","3,800.0","4,155.0","6,425.0","6,463.0","4,753.0","5,167.0","5,749.0","5,967.0","4,808.0","4,981.0","5,360.0","5,323.0","4,980.0","4,708.0","4,421.0","4,442.0","4,958.0","5,224.0","5,197.0","5,393.0","5,699.0","5,859.0","6,633.0","12,959.0","6,692.0","6,467.0","6,201.0","5,902.0","5,770.0","5,816.0","5,871.0","5,972.0","5,800.0","5,914.0","6,347.0","6,527.0","7,038.0","7,590.0","7,210.0","6,888.0","7,361.0","7,747.0","8,004.0","9,597.0","8,464.0","8,140.0","6,744.0","6,346.0","6,484.0","6,904.0","5,520.0","6,674.0","6,085.0","5,970.0","6,004.0","6,536.0","6,111.0","6,760.0","6,146.0","6,792.0","7,123.0","7,530.0","7,068.0","7,565.0","7,345.0","7,636.0","6,782.0","7,249.0","7,010.0","8,269.0","8,271.0","7,964.0","8,869.0","3,314.0","7,779.0","9,472.0","14,464.0","11,201.0","10,703.0","11,267.0","10,702.0","12,220.0","6,580.0","11,464.0","10,693.0","-28,686.0","12,195.0","8,423.0","13,040.0","12,788.0","14,799.0","-3,086.0","16,814.0","15,055.0","14,908.0","14,529.0","14,212.0","15,776.0","11,902.0","16,699.0","18,259.0","19,564.0","19,340.0","21,048.0","21,665.0","22,670.0","23,190.0","25,236.0","26,375.0","26,722.0","27,666.0","28,811.0","30,008.0","27,954.0","31,964.0","29,261.0","29,241.0","28,576.0","28,225.0","28,828.0","20,659.0","14,217.0","26,391.0","26,413.0","24,327.0","25,265.0","6,914.0","6,014.0","3,498.0","3,173.0","5,958.0","4,570.0","4,875.0","-43,812.0","4,914.0","5,147.0","4,795.0","-125,480.0","-8,388.0","10,668.0","5,323.0","5,267.0","4,579.0","-7,778.0","-6,338.0","-7,296.0","3,978.0","3,153.0","6,490.0","-34,194.0","11,226.0","5,478.0","3,966.0","-100,026.0","-61,742.0","-64,875.0","-18,931.0","-4,952.0","-27,501.0","-5,532.0","-6,786.0","-8,912.0","-3,505.0","-1,337.0","-54.0","1,984.0","-54,855.0","7,364.0","8,399.0","10,567.0","....."
