"","Table 5#6#6BM# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"22","12","    Nonmerchant wholesale industries","KC42N0",9624,648,-6348,7452,3744,-1260,924,1992,1368,8712,4116,4956,1152,5568,5988,-900,1656,216,-1044,1908,5052,6516,8220,-6384,-2100,1416,7608,3444,3468,5472,-300,11328,-60,5736,1464,-312,6792,3984,828,9900,-2916,10932,9288,4596,2388,11280,432,-1704,6660,-8316,-7860,576,-8760,-4764,-12468,-5172,-9420,-4740,-7884,1680,-6972,-12036,4908,4944,876,2100,7812,-6360,948,5100,-7152,-2784,-12648,9624,-5352,1692,-4716,216,4332,6708,-12420,2712,-3228,7788,3864,-1320,576,-6564,10932,5316,-5124,9072,9312,-8664,10572,-3420,12432,5556,9264,3432,-7908,4512,3804,1680,-7032,12120,10932,-3192,14304,1080,-9684,-8880,-2340,1032,-6120,6528,4680,2364,1248,-20700,-3432,4116,-5040,2760,120,-1428,-1800,-14124,20376,-17736,6096,-5376,12444,14856,21960,-1032,-10536,43848,-8856,10968,-14556,27072,5976,-27384,-24096,-24900,-9864,-17904,-15780,-11136,-16332,-5808,-18552,9984,-11580,-20388,11556,4788,1956,8256,-1920,252,14976,5604,5616,11280,6204,-9912,18744,8676,10236,15804,3564,-2940,13416,3660,5136,4068,9300,-8220,7656,-528,-3780
"23","13","      Durable goods industries","KC42ND0",7668,1296,-6240,5640,2724,-2772,1176,24,660,6768,1176,4392,2712,3324,3588,-2076,1020,828,-576,2244,5328,3600,5412,-2868,-2688,2616,4032,3060,720,4284,-2832,6192,-72,3420,48,1236,4344,1836,1812,6624,-4188,7032,6612,5052,-252,8928,1752,-1944,3684,-4632,-7728,552,-5592,-1752,-7128,-3192,-6852,-5196,-4656,444,-5460,-2052,2928,4848,2340,-2244,7092,-1752,852,2724,432,-2112,-2508,2640,-4140,264,-2436,-1032,408,4152,-9132,3936,-636,7344,6492,-4212,-684,-4668,348,6840,-6456,5856,12408,-5724,2256,-564,156,7236,9252,1056,-420,-2124,2364,7380,-8604,8352,12588,-8460,8352,-2148,-14220,-4920,-3912,708,-2340,8580,7668,468,5988,-17328,6528,4644,-576,-5472,-3564,2004,-7584,-5652,8820,-13056,2172,8712,-1812,5412,10104,-696,1620,2352,-2004,6324,1140,5940,-9192,1944,-7392,-10968,-8352,-4296,-9336,-13116,-2772,-2412,-5352,552,768,1188,3576,6120,8076,1872,6036,1836,8580,6804,-948,1944,5544,-8940,4608,7848,6780,-396,5640,2028,8100,11388,192,972,3336,-996,6156,-3120,1632
"24","14","      Nondurable goods industries","KC42NN0",432,-1248,1632,720,516,2820,-684,2604,744,624,3516,-516,-2832,1992,2088,2196,564,-1056,-432,-1128,-1992,2772,2100,-3768,1608,-2376,3552,-348,3360,432,3876,4980,24,2124,1740,-2112,2136,2208,-1464,2772,2136,3468,2148,-1236,3072,1524,-1716,504,2940,-3612,792,-24,-2916,-3192,-5172,-1848,-1992,1344,-3012,1404,-816,-11532,1848,-636,-2040,5400,-192,-5040,12,2376,-8652,-504,-10992,7464,-960,1512,-2304,1500,4332,2412,-2748,-1740,-2808,-144,-3360,3456,1428,-1704,11364,-2100,1824,3036,-3984,-2808,8568,-2928,12744,-2028,-264,2412,-7656,6804,1488,-5580,1428,3852,-1236,4860,5976,3072,4068,-3972,1404,336,-3756,-1692,-2724,1872,-4572,-3588,-9564,-360,-4284,7704,3408,-3192,5268,-8340,11376,-5268,3588,-12156,12720,9060,11664,-156,-10416,37032,-6060,4956,-13656,20292,14304,-27408,-16464,-13860,-1692,-13368,-6492,1548,-13164,-3372,-12816,8808,-11664,-20028,7572,-732,-4908,5988,-6816,-1284,6540,-648,6060,8688,1104,-1704,12804,1560,3744,13728,-1032,-3996,5544,-5412,4332,2760,5484,-6276,2052,1764,-4308
"25","15","Retail trade industries","KC440",1140,39024,-24504,50520,20904,-2328,33336,-13248,29208,18084,16428,1836,11016,29880,49188,45060,-28308,-11796,9120,-7920,24252,12864,38400,10116,51996,26388,42336,14112,7560,20112,8700,1284,13428,34188,36852,53040,-10272,10128,23880,27972,48948,34704,24192,35460,5712,31776,15648,-360,-13488,-41472,-15144,13872,14208,-4440,10092,23052,3000,-117720,-56100,56352,42720,13884,2400,7140,38844,30204,13824,-10344,47316,23760,57036,17820,21240,21756,32688,20976,-9348,12888,21492,-31776,61932,14976,39480,1500,16368,28608,50208,59604,12888,16200,6732,28440,1896,28020,23292,11796,18636,30060,-4488,-14256,-3264,-15984,-89052,28020,44556,28752,14556,17880,6372,-26424,55140,-37356,43404,18624,-6384,30264,17892,-31872,8700,50760,-24732,20748,-21168,19944,528,8076,24840,36168,-20604,27660,-21624,900,-15684,-35364,-48396,-30756,-13716,-11784,52092,-73656,-27072,-14160,-50676,-48612,-86976,-40920,-33804,-26328,-89292,-63984,-69360,-107196,29688,-20268,-39576,-1704,22704,8688,22560,35616,26568,34596,13944,45300,26004,-27528,-32892,19404,3516,-26940,21360,-5016,-34080,-22308,-8304,-5316,-24372,-33492,-3084,-15804,26088,288,21048
"26","16","  Motor vehicle dealers","KC4410",-2940,13680,-9576,28824,624,-8436,19344,276,-2856,17436,13872,-8520,1956,12024,17520,31620,-7032,-44172,-7716,-18024,11976,11304,17604,-3768,30756,19488,25920,-2088,-360,1692,6744,-6804,5664,26244,17040,23736,2916,-9228,10908,25596,18096,27900,26100,11016,10488,10992,4500,1524,-16500,-41916,-20100,13608,14280,2820,17796,1536,9180,-118704,-29544,60504,31680,16872,10152,4764,23160,27264,-6780,-11088,25056,34020,49056,1920,20784,10320,19872,16128,7248,12024,6420,-20616,37092,7068,32016,6696,15912,10344,18408,37788,-528,3732,2040,6816,-2988,17304,-4272,-13032,-1044,23652,-12840,-14532,-13200,-29220,-74556,10392,41688,36984,-384,-396,-4860,-13716,22236,-29784,25920,4548,-9840,648,12444,-42204,-4692,34896,-20616,1212,-7296,25392,-23100,6456,33036,32592,-10992,15564,4368,-22548,-14100,-15840,-8892,-34956,4260,3660,45120,-59964,-31224,-18132,-6756,-9204,-73932,-31728,-25764,-3972,-67980,-57228,-60192,-94968,57360,-15516,-17904,4800,34416,16212,-8880,20592,14940,30108,13104,35760,10632,-8232,-38016,-6708,-3936,-19644,-3804,372,-41916,-27336,5280,-17172,-21288,-24816,-3984,-19992,16884,732,25224
"27","17","  Food and beverage stores","KC4450",-648,420,1332,-732,2220,84,-780,4104,1476,-1980,1932,-2592,2412,-1560,2580,3312,-432,3372,2028,-1080,-1416,12,4164,-168,4104,600,1656,-1224,4320,2196,1848,2568,2664,360,372,1680,-732,324,144,-372,1524,-7596,-1260,300,2256,-324,-3708,1788,1284,1440,132,720,-36,1272,-396,24,420,2088,252,-1764,-1416,888,48,-156,192,24,-1476,1932,4824,-8748,1464,4500,-3384,-192,816,-3480,-3120,-2940,2052,-504,2832,-5592,-1812,-24,972,-984,1236,552,2124,168,1260,-432,276,-564,1620,-1356,2796,-468,-1332,324,-456,732,-1524,1140,-5376,3120,756,-960,2256,1848,1080,1284,1800,492,600,144,1260,36,-240,360,-1188,-1992,1428,-4428,5016,3636,1776,4284,360,2484,-636,1404,-1536,516,-516,1668,-468,144,-1620,-372,168,1608,-1884,-1968,4908,852,816,-300,828,-2664,1068,-1824,540,216,-168,-7392,2844,-1344,1224,-3108,-552,612,-480,-24,564,-1584,-804,924,1428,-2040,-228,4464,972,948,1800,1104,1140,-1380,-84,732,1896,2820,2376
"28","18","  General merchandise stores","KC4520",-4428,6540,-3336,7692,36,2376,-960,-5760,2928,-5064,-1848,3636,648,-924,-288,336,-11580,10728,3984,-204,4020,240,-1140,-1248,48,2256,7176,5724,1080,-60,1908,3168,1176,-3984,11508,3744,3288,3192,-5292,660,3648,3732,-4392,1188,576,5724,-1008,1620,3708,780,11484,-4332,5700,864,-7140,11232,-4560,-24,-8676,-7092,-1968,3108,-6696,-2172,6528,-5412,10800,1884,-900,-348,10464,2304,-876,-2820,5436,11424,-8040,-384,3480,-6384,8544,7668,-8016,2100,3288,5592,9540,696,1848,6924,-2376,5424,1140,3012,11592,7620,636,1692,14952,-1284,1788,-672,-4548,10404,936,-4140,1176,5580,-5808,-6288,5376,-14484,9048,1464,10452,7680,1032,8352,3228,-384,1872,3228,-2208,1224,2436,-2088,-7128,-396,-2424,2388,-11424,12156,5016,-4632,-18648,5412,-3768,-6480,1284,-5376,6540,1236,-5508,-12432,-4092,-8364,7596,-7188,-3780,2616,-4896,-4896,-2292,180,-3984,-1884,-5736,-3360,18228,5664,3648,3708,4308,4932,4284,-4680,156,8736,-420,1608,9852,-3888,2868,-1692,-3384,1356,1452,1308,504,10008,4908,-984,-3048
"29","19","  Other retail stores","KC44Y0",9012,17976,-12372,13464,18288,4164,14688,-11556,28116,6588,2040,9504,6240,19740,29136,8772,-9180,21084,11628,12432,9072,720,17592,15840,16176,3144,6564,11928,3036,16752,-2016,3036,3960,10416,7260,23292,-16224,16584,17832,840,25368,8736,2340,22788,-8064,15096,15564,-5328,-984,600,-5652,3240,-6624,-9708,-1164,10440,-2556,5280,-17028,1548,13128,-8040,-1596,4608,8088,7248,11736,-2520,17964,-3216,-5976,9528,3912,14412,6060,-3924,-5868,3840,9624,-3684,12840,5664,17340,-7404,-4008,13632,21000,20604,9516,5304,5892,16644,3492,8208,14412,18708,16320,5076,-5304,1224,8640,13272,-8244,6000,7152,-7092,12948,13608,14616,-8328,26436,5232,6864,12012,-7560,21504,3336,1152,10140,16344,-5220,18120,-13200,-1188,14880,144,-1788,576,-7752,7536,-13440,8724,-5424,-15768,-20220,-4632,-13116,-8676,9900,-11124,-4344,-60,-35796,-24576,-17868,-3228,-17796,-14508,-21768,-9636,-8460,-10296,-22116,-5832,-17952,3624,-6924,-1716,11112,13584,9216,1512,-2256,6084,10872,-12876,3840,15648,5904,-7776,14832,-6276,1164,3996,-11604,8136,-6936,-9864,216,-8040,3264,-2424,-1740
"30","20","Other industries","KCOTH0",8712,8880,9168,4668,4884,5100,3348,3348,3300,5760,5520,5160,2916,3060,2772,5808,5616,5580,5592,5400,5496,9456,8988,8820,7956,7692,7512,9420,9444,9588,7320,7236,7560,5364,5580,5808,10332,11100,11700,13116,13956,14688,18876,19464,20064,6300,6624,6648,1956,2100,2244,-816,-768,-768,-636,-696,-756,-1440,-1524,-1620,-2964,-3288,-3384,1656,1512,1416,-1176,-948,-948,-1704,-1344,-1260,-648,-624,-552,3960,3876,4044,1116,1152,1152,1848,1860,1932,6276,6336,6372,5880,5880,5856,7080,6936,6660,6300,6228,6132,2916,2400,2340,2808,2628,2328,24,120,336,3576,3864,4200,2736,3132,3264,6564,6840,7296,4140,4524,4980,3624,4104,4572,5556,5556,5520,5664,5652,5688,2856,2856,2916,3072,3120,3216,816,840,876,-888,-816,-756,612,684,636,6168,5328,5268,-4356,-4584,-4560,-6732,-7008,-7188,-4200,-4296,-4308,-3312,-3432,-3432,1044,936,900,-264,-312,-360,1032,960,924,1212,1212,1212,3960,3804,3804,1464,1464,1452,-360,-360,-360,2964,2928,2940,-984,-1020,-1008
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
