"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"49","42","      Employee reimbursement","GAP870",2114,2053,2137,2025,2048,2106,2075,2005,1947,1881,1735,1787,1787,1792,1760,1734
"50","43","    Trucks","B708RX0",9755,10488,10673,11177,12119,12033,12653,13923,14403,14899,13963,13757,12359,12126,11996,14010
"51","44","      New trucks","W495RX0",10522,11271,11447,12006,12971,13023,13616,14871,15427,15852,15177,15088,13779,13600,13506,15772
"52","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,3385,3944,4201,4390,4976,5542,5264,4376,4325,4114,4406,4823,5414
"53","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,8784,9123,8857,9264,9907,9860,10581,10801,10763,9663,9190,8676,10349
"54","47","      Net transactions in used light trucks","W496RX0",-753,-778,-775,-826,-859,-974,-957,-957,-1028,-965,-1214,-1324,-1392,-1438,-1470,-1718
"55","48","  Net exports","AB63RX0",-99586,-110574,-108465,-112024,-108565,-112077,-106417,-115099,-99306,-76598,-53263,-76060,-74997,-94984,-100722,-103022
"56","49","    Exports","AB69RX0",28831,29030,27951,31399,34549,38372,45399,50331,61785,65939,39974,54545,64953,70318,72960,75311
"57","50","      Autos","B142RX0",12980,13142,14061,15746,16459,17001,20858,24270,32017,37468,20836,27855,33373,38058,40912,44559
"58","51","      Trucks","B706RX0",15937,15969,13873,15636,18116,21453,24614,26118,29794,28459,19138,26689,31580,32314,32170,31011
"59","52","    Imports","AB70RX0",128417,139604,136415,143423,143114,150449,151815,165430,161091,142537,93237,130605,139950,165302,173682,178333
"60","53","      Autos","B143RX0",68978,74621,72551,76985,74308,74658,71804,79436,78193,77867,54981,73993,80607,96088,106062,107451
"61","54","      Trucks","B707RX0",59345,64894,63788,66337,68776,75835,80113,86092,82985,64688,38256,56582,59317,69167,67411,70750
"62","55","Change in private inventories","AB65RX0",12180,10631,-13896,13092,6944,1517,-1294,1703,-4410,-6273,-23228,14418,5858,21878,13688,5588
"63","56","  Autos","A145RX0",2252,3751,-3883,7081,-2704,-4162,-1786,3320,-2391,6168,-8460,5593,3107,13230,9911,1300
"64","57","    New","B146RX0",1189,1178,-6776,8043,-1362,-1603,-1106,2758,-3903,6548,-12164,3437,-571,8859,5833,-2116
"65","58","      Domestic","AB71RX0",-87,639,-7368,6772,-1123,-567,-636,1521,-3048,4425,-8996,2495,762,6803,4532,-868
"66","59","      Foreign","AB72RX0",1326,551,669,1278,-242,-1024,-468,1230,-865,2118,-3167,944,-1291,2085,1325,-1221
"67","60","    Used","B147RX0",1043,2392,2013,-220,-1311,-2375,-682,733,1206,-428,3704,2200,3580,4600,4204,3294
"68","61","  Trucks","B709RX0",10435,7035,-10246,5955,9717,5929,615,-1834,-1997,-12373,-14768,8756,2754,8706,3899,4246
"69","62","    New trucks","W244RX0",10243,5328,-12957,6242,9001,5085,79,-2682,-3003,-13540,-16500,8542,2806,8231,2893,4090
"70","63","      Domestic","AB73RX0",9832,4309,-12468,4689,8935,5131,-566,-3466,-2297,-14608,-12824,7694,2978,7211,2734,3943
"71","64","      Foreign","AB74RX0",471,947,-559,1507,57,-63,663,795,-704,1024,-3676,843,-178,1017,154,138
"72","65","    Used \1\","W245RX0",802,1725,1483,-26,782,852,532,806,965,1223,1732,283,18,628,1036,212
"73",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","  Final sales of motor vehicles to domestic purchasers","AB75RX0",438155,444280,449282,464685,472583,496688,509603,509924,501336,409335,323315,383911,423328,472749,505440,553685
"75","67","  Private fixed investment in new autos and new light trucks","AB76RX0",161574,162311,152637,150363,145395,159098,173150,186645,187814,150478,99816,140475,155937,175877,197162,213570
"76","68","  Domestic output of new autos \2\","B148RX0",113144,114963,106733,111095,98380,97717,108837,109691,106089,101803,59868,77334,83838,111664,116572,114894
"77","69","  Sales of imported new autos \3\","B149RX0",75568,80533,78856,85124,83344,86248,87342,96061,99820,89560,73943,84468,91863,99990,104164,107610
"78","70","    Imports from Canada","GAP900",22666,19677,14634,19117,19706,20454,16169,14673,17039,14465,11372,18547,21037,25071,25480,26067
"79","71","      Sales","GAP1090",22667,19600,15553,18137,19886,20553,16225,14495,17456,13907,12913,18046,20918,23711,24575,26282
"80","72","      Inventory change","GAP1110",-1,78,-919,980,-180,-99,-57,178,-417,559,-1542,501,120,1360,905,-216
"81","73","    Imports from Mexico","GAP1270",6604,9604,9409,10811,8108,8722,12199,18180,16529,16899,12847,17134,17964,18700,19814,21789
"82","74","      Sales","GAP1300",6606,9544,10004,10206,8183,8774,12238,17952,16983,16062,14536,16690,17858,17688,19130,21955
"83","75","      Inventory change","GAP1320",-2,60,-595,605,-75,-51,-40,228,-454,838,-1689,444,106,1012,685,-166
"84","76","  Exports of used autos","GAP990",787,622,604,658,903,1931,3073,3955,6166,9267,6321,6588,7786,7111,6993,6415
"85","77","  Imports of used autos","GAP1020",552,823,795,914,501,319,261,216,280,340,253,226,272,392,439,657
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  This table is based on annual and quarterly data published in NIPA table 7.2.6B with underlying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","detail added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  Chain-type quantity indexes for the series in this table are shown in table NIPA table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
