"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","Personal income","A065RC1","751,049.0","769,051.0","789,360.0","803,854.0","814,418.0","835,794.0","848,012.0","856,099.0","875,154.0","898,155.0","911,140.0","927,928.0","956,144.0","972,485.0","998,403.0","1,043,503.0","1,064,410.0","1,094,794.0","1,122,258.0","1,160,714.0","1,177,807.0","1,204,090.0","1,241,944.0","1,267,140.0","1,283,895.0","1,314,024.0","1,351,666.0","1,389,859.0","1,425,400.0","1,453,363.0","1,491,446.0","1,528,415.0","1,559,887.0","1,606,133.0","1,651,769.0","1,712,225.0","1,750,300.0","1,811,071.0","1,865,393.0","1,920,142.0","1,976,678.0","2,019,681.0","2,086,372.0","2,155,376.0","2,215,952.0","2,242,877.0","2,319,031.0","2,428,204.0","2,487,641.0","2,535,677.0","2,635,340.0","2,670,446.0","2,702,330.0","2,748,548.0","2,787,140.0","2,829,248.0","2,864,608.0","2,914,930.0","2,973,399.0","3,055,749.0","3,150,185.0","3,235,081.0","3,316,012.0","3,374,195.0","3,434,946.0","3,473,634.0","3,507,036.0","3,571,020.0","3,628,642.0","3,670,203.0","3,721,280.0","3,763,932.0","3,823,176.0","3,876,999.0","3,949,921.0","4,047,376.0","4,117,113.0","4,186,763.0","4,269,945.0","4,351,142.0","4,476,526.0","4,525,868.0","4,578,213.0","4,649,277.0","4,744,544.0","4,829,309.0","4,892,624.0","4,920,414.0","4,940,971.0","5,005,802.0","5,053,105.0","5,126,120.0","5,220,675.0","5,306,796.0","5,370,658.0","5,490,914.0","5,420,484.0","5,549,724.0","5,593,146.0","5,709,238.0","5,706,721.0","5,844,104.0","5,921,817.0","6,026,613.0","6,107,206.0","6,161,334.0","6,230,379.0","6,304,705.0","6,427,311.0","6,562,704.0","6,642,010.0","6,734,279.0","6,855,557.0","6,930,432.0","7,041,525.0","7,175,450.0","7,347,693.0","7,479,781.0","7,590,432.0","7,683,596.0","7,760,886.0","7,831,620.0","7,936,182.0","8,114,652.0","8,379,611.0","8,506,573.0","8,644,209.0","8,707,348.0","8,859,008.0","8,881,247.0","8,880,636.0","8,912,282.0","8,978,259.0","9,060,740.0","9,074,586.0","9,126,829.0","9,194,457.0","9,321,052.0","9,418,714.0","9,578,304.0","9,679,787.0","9,847,086.0","9,999,061.0","10,223,052.0","10,238,553.0","10,386,728.0","10,577,480.0","10,740,818.0","11,026,667.0","11,204,025.0","11,336,868.0","11,504,755.0","11,714,256.0","11,838,953.0","11,954,395.0","12,141,417.0","12,300,404.0","12,460,860.0","12,447,045.0","12,356,257.0","12,093,226.0","12,203,405.0","12,163,973.0","12,238,954.0","12,350,302.0","12,517,086.0","12,595,482.0","12,700,937.0","12,930,934.0"
"21","2","  Compensation of employees, received","W209RC1","555,894.0","569,773.0","586,572.0","598,207.0","606,127.0","616,282.0","622,533.0","623,939.0","641,550.0","653,503.0","663,454.0","674,806.0","702,559.0","716,165.0","729,910.0","751,902.0","781,623.0","801,094.0","819,868.0","842,536.0","860,703.0","881,932.0","904,577.0","915,704.0","919,371.0","931,654.0","957,614.0","987,535.0","1,022,262.0","1,046,039.0","1,070,707.0","1,097,961.0","1,126,897.0","1,164,325.0","1,196,831.0","1,233,650.0","1,269,616.0","1,317,838.0","1,354,343.0","1,398,941.0","1,443,342.0","1,476,117.0","1,516,360.0","1,558,062.0","1,599,162.0","1,621,330.0","1,652,931.0","1,717,024.0","1,768,856.0","1,801,865.0","1,839,787.0","1,867,911.0","1,891,974.0","1,911,099.0","1,930,775.0","1,944,731.0","1,972,767.0","2,011,801.0","2,052,785.0","2,106,565.0","2,175,789.0","2,225,505.0","2,270,894.0","2,308,714.0","2,353,590.0","2,390,247.0","2,427,928.0","2,476,147.0","2,509,960.0","2,533,315.0","2,569,173.0","2,618,176.0","2,664,473.0","2,706,195.0","2,752,433.0","2,819,459.0","2,869,079.0","2,932,282.0","2,981,024.0","3,034,236.0","3,078,493.0","3,107,817.0","3,144,414.0","3,194,551.0","3,259,012.0","3,317,391.0","3,358,466.0","3,369,952.0","3,384,845.0","3,419,814.0","3,455,277.0","3,493,586.0","3,561,112.0","3,612,651.0","3,656,583.0","3,758,395.0","3,660,118.0","3,775,326.0","3,817,818.0","3,909,334.0","3,870,510.0","3,973,943.0","4,011,750.0","4,067,460.0","4,119,128.0","4,154,974.0","4,200,024.0","4,241,113.0","4,291,893.0","4,360,628.0","4,419,759.0","4,478,586.0","4,557,584.0","4,620,873.0","4,698,170.0","4,797,586.0","4,899,099.0","4,982,713.0","5,066,128.0","5,147,847.0","5,241,262.0","5,292,742.0","5,366,850.0","5,494,295.0","5,692,069.0","5,731,436.0","5,845,823.0","5,886,071.0","5,993,948.0","5,979,921.0","5,965,755.0","5,977,654.0","6,038,415.0","6,101,348.0","6,128,847.0","6,174,652.0","6,244,447.0","6,332,727.0","6,400,609.0","6,492,578.0","6,543,285.0","6,657,882.0","6,781,301.0","6,851,164.0","6,921,107.0","7,003,566.0","7,128,389.0","7,187,110.0","7,373,702.0","7,419,895.0","7,484,092.0","7,625,294.0","7,781,383.0","7,814,368.0","7,868,547.0","7,984,301.0","8,082,190.0","8,077,341.0","8,082,934.0","8,020,734.0","7,777,681.0","7,819,048.0","7,798,694.0","7,831,409.0","7,858,087.0","7,969,921.0","8,036,159.0","8,073,927.0","8,146,329.0"
