"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Personal consumption expenditures (PCE)","DPCERC1","584,245.0","589,487.0","589,697.0","594,698.0","601,100.0","601,703.0","603,543.0","610,794.0","614,111.0","619,409.0","621,380.0","623,672.0","629,613.0","634,880.0","633,238.0","636,953.0","643,387.0","647,247.0","649,463.0","653,907.0","660,075.0","659,325.0","657,572.0","666,622.0","677,164.0","680,425.0","683,018.0","689,778.0","692,157.0","700,812.0","699,921.0","705,970.0","714,072.0","716,933.0","722,055.0","729,572.0","732,648.0","737,332.0","750,384.0","753,765.0","759,213.0","762,865.0","771,217.0","777,654.0","782,480.0","796,296.0","801,823.0","807,507.0","817,893.0","827,246.0","834,219.0","837,194.0","843,097.0","845,841.0","855,707.0","854,854.0","870,870.0","869,804.0","878,563.0","878,372.0","886,383.0","891,579.0","903,326.0","912,696.0","924,306.0","929,871.0","939,755.0","956,604.0","956,836.0","961,014.0","957,976.0","963,618.0","977,418.0","991,268.0","992,552.0","997,164.0","1,021,190.0","1,029,118.0","1,042,183.0","1,049,367.0","1,057,211.0","1,063,165.0","1,078,042.0","1,094,356.0","1,109,511.0","1,110,096.0","1,117,298.0","1,127,835.0","1,125,121.0","1,142,940.0","1,152,069.0","1,160,514.0","1,171,449.0","1,179,485.0","1,191,660.0","1,214,093.0","1,217,387.0","1,233,651.0","1,240,671.0","1,249,733.0","1,259,634.0","1,266,260.0","1,283,215.0","1,288,494.0","1,297,423.0","1,314,335.0","1,330,036.0","1,339,260.0","1,333,023.0","1,358,857.0","1,381,387.0","1,400,235.0","1,415,872.0","1,429,772.0","1,430,807.0","1,450,981.0","1,456,935.0","1,471,001.0","1,484,675.0","1,500,520.0","1,506,302.0","1,521,645.0","1,534,997.0","1,542,315.0","1,562,714.0","1,579,622.0","1,590,142.0","1,619,676.0","1,638,130.0","1,645,995.0","1,661,710.0","1,670,683.0","1,701,575.0","1,705,593.0","1,712,392.0","1,699,454.0","1,704,287.0","1,723,016.0","1,751,175.0","1,767,713.0","1,784,144.0","1,820,425.0","1,830,169.0","1,855,465.0","1,874,695.0","1,889,352.0","1,908,095.0","1,909,142.0","1,918,174.0","1,938,457.0","1,945,702.0","1,969,789.0","1,968,248.0","1,966,195.0","1,972,376.0","1,989,863.0","1,997,404.0","2,021,361.0","2,024,424.0","2,027,160.0","2,045,914.0","2,050,202.0","2,075,080.0","2,083,687.0","2,108,923.0","2,130,661.0","2,154,696.0","2,167,424.0","2,180,069.0","2,183,055.0","2,208,558.0","2,231,761.0","2,250,959.0","2,280,811.0","2,308,981.0","2,324,830.0","2,339,113.0","2,361,764.0","2,370,437.0","2,397,892.0","2,423,754.0","2,408,115.0","2,436,387.0","2,462,604.0","2,479,823.0","2,501,241.0","2,500,474.0","2,518,366.0","2,540,287.0","2,538,202.0","2,578,608.0","2,590,004.0","2,626,312.0","2,648,603.0","2,656,764.0","2,668,399.0","2,705,891.0","2,699,307.0","2,725,937.0","2,762,684.0","2,805,607.0","2,767,148.0","2,782,700.0","2,822,778.0"
"21","2","Goods","DGDSRC1","297,412.0","300,043.0","299,078.0","301,210.0","304,014.0","302,767.0","303,248.0","307,992.0","308,609.0","310,629.0","309,974.0","311,160.0","313,784.0","315,002.0","313,499.0","314,651.0","318,333.0","319,679.0","319,681.0","321,459.0","324,041.0","322,258.0","318,612.0","324,529.0","333,744.0","333,698.0","334,197.0","338,365.0","337,463.0","343,632.0","340,213.0","342,569.0","348,817.0","348,451.0","351,249.0","352,989.0","353,755.0","355,882.0","363,595.0","365,056.0","369,895.0","370,153.0","374,608.0","377,828.0","380,591.0","389,773.0","391,265.0","393,383.0","401,814.0","408,082.0","411,907.0","411,850.0","413,985.0","412,207.0","420,027.0","416,089.0","426,033.0","422,634.0","428,184.0","426,812.0","431,742.0","434,040.0","440,734.0","444,264.0","450,545.0","450,990.0","457,792.0","469,617.0","464,566.0","462,518.0","456,909.0","454,741.0","463,987.0","470,861.0","469,130.0","468,200.0","486,906.0","489,517.0","498,632.0","502,859.0","506,765.0","503,730.0","513,622.0","521,801.0","530,491.0","530,169.0","531,540.0","538,882.0","532,574.0","545,453.0","547,619.0","549,639.0","554,100.0","558,259.0","561,480.0","575,450.0","572,316.0","581,809.0","587,069.0","590,902.0","593,199.0","594,678.0","601,547.0","603,177.0","606,981.0","615,904.0","627,269.0","629,756.0","615,444.0","629,740.0","642,540.0","652,308.0","662,687.0","668,002.0","665,980.0","676,152.0","674,949.0","682,193.0","691,779.0","701,024.0","699,483.0","708,312.0","715,809.0","711,768.0","723,765.0","730,968.0","737,328.0","755,566.0","766,941.0","762,051.0","770,064.0","773,195.0","793,785.0","793,143.0","789,076.0","777,519.0","774,952.0","781,022.0","797,015.0","803,337.0","805,234.0","824,312.0","825,447.0","832,681.0","849,682.0","861,633.0","868,958.0","863,176.0","860,328.0","867,849.0","871,720.0","890,157.0","881,279.0","870,680.0","870,638.0","876,320.0","878,257.0","892,706.0","887,914.0","882,359.0","895,408.0","886,076.0","900,319.0","895,597.0","909,561.0","910,585.0","923,048.0","929,655.0","923,367.0","919,707.0","934,658.0","947,027.0","961,565.0","979,304.0","989,705.0","989,369.0","993,320.0","1,007,469.0","1,012,388.0","1,027,519.0","1,047,339.0","1,030,217.0","1,036,129.0","1,052,598.0","1,061,331.0","1,077,001.0","1,061,707.0","1,061,597.0","1,076,621.0","1,071,786.0","1,095,119.0","1,092,960.0","1,102,522.0","1,110,608.0","1,118,045.0","1,119,710.0","1,138,213.0","1,120,109.0","1,131,554.0","1,151,478.0","1,187,775.0","1,145,205.0","1,156,020.0","1,170,066.0"
"22","3","  Durable goods","DDURRC1","90,129.0","90,765.0","89,138.0","90,405.0","90,464.0","90,475.0","88,638.0","90,658.0","92,589.0","91,438.0","90,662.0","90,433.0","89,303.0","90,983.0","88,548.0","89,977.0","91,158.0","91,885.0","91,363.0","92,325.0","92,345.0","89,719.0","85,151.0","87,102.0","97,436.0","97,169.0","99,550.0","100,291.0","99,649.0","103,025.0","101,068.0","102,239.0","107,020.0","107,215.0","107,284.0","107,405.0","110,526.0","109,285.0","112,300.0","112,859.0","114,520.0","114,818.0","116,627.0","118,261.0","117,886.0","122,044.0","123,397.0","124,809.0","129,282.0","131,854.0","134,299.0","132,486.0","133,275.0","128,124.0","130,084.0","128,625.0","133,692.0","129,284.0","129,070.0","126,250.0","126,697.0","124,781.0","128,480.0","129,019.0","131,960.0","130,769.0","133,390.0","140,873.0","134,710.0","131,012.0","125,393.0","125,039.0","129,541.0","134,797.0","131,023.0","131,981.0","138,125.0","139,972.0","144,998.0","145,423.0","149,942.0","147,982.0","153,247.0","158,946.0","161,221.0","164,160.0","164,511.0","167,622.0","162,194.0","167,883.0","169,692.0","168,689.0","171,152.0","170,913.0","173,245.0","182,209.0","177,810.0","184,060.0","189,923.0","188,852.0","188,579.0","190,238.0","191,717.0","194,205.0","196,055.0","197,128.0","200,813.0","204,178.0","191,238.0","198,523.0","204,743.0","213,489.0","216,969.0","218,103.0","215,252.0","221,847.0","213,121.0","220,330.0","222,327.0","224,239.0","220,543.0","223,984.0","225,307.0","222,654.0","224,355.0","219,293.0","226,043.0","231,341.0","235,411.0","228,264.0","228,981.0","229,901.0","239,583.0","232,935.0","223,647.0","212,350.0","208,522.0","214,878.0","226,688.0","223,958.0","225,442.0","236,285.0","236,703.0","235,704.0","239,899.0","247,343.0","250,898.0","241,690.0","239,765.0","241,351.0","245,207.0","260,392.0","250,176.0","237,256.0","236,954.0","236,323.0","241,002.0","249,303.0","249,012.0","244,854.0","256,797.0","246,028.0","247,762.0","248,589.0","259,970.0","254,134.0","268,086.0","270,846.0","268,310.0","266,842.0","271,571.0","281,694.0","288,823.0","298,234.0","303,363.0","301,169.0","302,552.0","313,652.0","315,864.0","328,294.0","336,814.0","328,742.0","328,760.0","336,004.0","341,679.0","346,123.0","341,511.0","339,745.0","344,967.0","343,041.0","358,422.0","360,056.0","365,512.0","364,877.0","373,632.0","365,736.0","384,336.0","369,681.0","376,334.0","390,290.0","422,727.0","379,244.0","380,844.0","391,166.0"
"23","4","  Nondurable goods","DNDGRC1","207,283.0","209,279.0","209,940.0","210,805.0","213,551.0","212,292.0","214,609.0","217,334.0","216,019.0","219,191.0","219,312.0","220,728.0","224,481.0","224,019.0","224,951.0","224,674.0","227,175.0","227,795.0","228,318.0","229,134.0","231,696.0","232,539.0","233,461.0","237,427.0","236,308.0","236,529.0","234,647.0","238,074.0","237,813.0","240,607.0","239,146.0","240,330.0","241,797.0","241,235.0","243,965.0","245,584.0","243,229.0","246,597.0","251,294.0","252,197.0","255,375.0","255,334.0","257,980.0","259,567.0","262,705.0","267,729.0","267,868.0","268,574.0","272,532.0","276,228.0","277,608.0","279,364.0","280,710.0","284,083.0","289,943.0","287,465.0","292,341.0","293,350.0","299,115.0","300,562.0","305,045.0","309,260.0","312,254.0","315,245.0","318,585.0","320,221.0","324,402.0","328,744.0","329,856.0","331,506.0","331,516.0","329,702.0","334,446.0","336,064.0","338,108.0","336,219.0","348,782.0","349,546.0","353,634.0","357,436.0","356,823.0","355,748.0","360,375.0","362,855.0","369,270.0","366,009.0","367,029.0","371,259.0","370,380.0","377,570.0","377,927.0","380,950.0","382,947.0","387,346.0","388,235.0","393,241.0","394,506.0","397,749.0","397,146.0","402,050.0","404,620.0","404,440.0","409,831.0","408,972.0","410,926.0","418,776.0","426,457.0","425,578.0","424,206.0","431,217.0","437,797.0","438,819.0","445,718.0","449,899.0","450,728.0","454,305.0","461,828.0","461,863.0","469,453.0","476,785.0","478,941.0","484,329.0","490,502.0","489,114.0","499,411.0","511,675.0","511,285.0","524,225.0","531,530.0","533,787.0","541,083.0","543,293.0","554,202.0","560,208.0","565,429.0","565,169.0","566,429.0","566,144.0","570,327.0","579,379.0","579,792.0","588,027.0","588,744.0","596,977.0","609,783.0","614,290.0","618,060.0","621,485.0","620,563.0","626,498.0","626,512.0","629,765.0","631,103.0","633,424.0","633,684.0","639,998.0","637,255.0","643,403.0","638,902.0","637,504.0","638,611.0","640,048.0","652,557.0","647,009.0","649,591.0","656,450.0","654,961.0","658,809.0","655,056.0","652,865.0","663,087.0","665,333.0","672,743.0","681,070.0","686,342.0","688,200.0","690,768.0","693,817.0","696,524.0","699,224.0","710,525.0","701,476.0","707,370.0","716,594.0","719,652.0","730,877.0","720,196.0","721,852.0","731,653.0","728,744.0","736,696.0","732,903.0","737,010.0","745,731.0","744,413.0","753,974.0","753,878.0","750,428.0","755,220.0","761,188.0","765,047.0","765,961.0","775,175.0","778,899.0"
"24","5","Services","DSERRC1","286,833.0","289,444.0","290,619.0","293,488.0","297,086.0","298,935.0","300,295.0","302,802.0","305,502.0","308,780.0","311,406.0","312,511.0","315,828.0","319,878.0","319,739.0","322,302.0","325,054.0","327,568.0","329,782.0","332,449.0","336,033.0","337,068.0","338,960.0","342,093.0","343,421.0","346,728.0","348,821.0","351,413.0","354,694.0","357,179.0","359,708.0","363,402.0","365,255.0","368,482.0","370,806.0","376,583.0","378,893.0","381,450.0","386,790.0","388,709.0","389,318.0","392,712.0","396,609.0","399,827.0","401,889.0","406,523.0","410,558.0","414,124.0","416,079.0","419,164.0","422,312.0","425,344.0","429,111.0","433,634.0","435,680.0","438,765.0","444,837.0","447,169.0","450,379.0","451,561.0","454,642.0","457,539.0","462,592.0","468,432.0","473,761.0","478,881.0","481,963.0","486,987.0","492,270.0","498,496.0","501,066.0","508,876.0","513,431.0","520,406.0","523,422.0","528,964.0","534,284.0","539,601.0","543,552.0","546,509.0","550,446.0","559,435.0","564,420.0","572,555.0","579,020.0","579,927.0","585,758.0","588,953.0","592,547.0","597,487.0","604,450.0","610,875.0","617,349.0","621,227.0","630,180.0","638,643.0","645,071.0","651,842.0","653,602.0","658,831.0","666,435.0","671,582.0","681,667.0","685,317.0","690,442.0","698,431.0","702,767.0","709,504.0","717,579.0","729,118.0","738,847.0","747,927.0","753,184.0","761,770.0","764,827.0","774,829.0","781,986.0","788,808.0","792,896.0","799,497.0","806,819.0","813,332.0","819,187.0","830,547.0","838,948.0","848,654.0","852,813.0","864,110.0","871,190.0","883,944.0","891,645.0","897,489.0","907,790.0","912,450.0","923,316.0","921,935.0","929,336.0","941,994.0","954,159.0","964,376.0","978,910.0","996,113.0","1,004,722.0","1,022,784.0","1,025,013.0","1,027,719.0","1,039,136.0","1,045,966.0","1,057,846.0","1,070,608.0","1,073,983.0","1,079,632.0","1,086,968.0","1,095,515.0","1,101,738.0","1,113,542.0","1,119,146.0","1,128,655.0","1,136,510.0","1,144,801.0","1,150,506.0","1,164,126.0","1,174,761.0","1,188,090.0","1,199,361.0","1,220,076.0","1,231,649.0","1,237,769.0","1,256,702.0","1,263,348.0","1,273,899.0","1,284,734.0","1,289,394.0","1,301,507.0","1,319,276.0","1,335,461.0","1,345,793.0","1,354,294.0","1,358,049.0","1,370,373.0","1,376,414.0","1,377,897.0","1,400,257.0","1,410,005.0","1,418,492.0","1,424,240.0","1,438,767.0","1,456,769.0","1,463,666.0","1,466,417.0","1,483,489.0","1,497,044.0","1,523,789.0","1,537,994.0","1,538,719.0","1,548,689.0","1,567,678.0","1,579,198.0","1,594,383.0","1,611,206.0","1,617,832.0","1,621,943.0","1,626,681.0","1,652,712.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
