"","Table 5#8#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Private inventories \1\","A371RX1",".....",".....",".....","1,517,346.0","1,530,198.0","1,558,419.0","1,578,641.0","1,602,152.0","1,634,124.0","1,646,534.0","1,663,376.0","1,681,140.0","1,705,519.0","1,716,836.0","1,729,712.0","1,756,590.0","1,762,494.0","1,789,672.0","1,806,848.0","1,822,815.0","1,813,342.0","1,810,141.0","1,800,917.0","1,776,569.0","1,775,608.0","1,782,227.0","1,790,333.0","1,799,108.0","1,808,191.0","1,808,142.0","1,810,036.0","1,821,675.0","1,835,775.0","1,856,245.0","1,874,016.0","1,893,073.0","1,920,898.0","1,929,155.0","1,933,704.0","1,957,399.0","1,977,053.0","1,998,163.0","2,018,650.0","2,029,006.0","2,033,909.0","2,046,267.0","2,058,812.0","2,064,551.0","2,059,498.0","2,052,897.0","2,047,719.0","2,030,880.0","1,994,761.0","1,947,232.0","1,895,705.0","1,883,311.0","1,885,772.0","1,897,962.0","1,927,018.0","1,941,537.0","1,947,803.0","1,962,183.0","1,958,926.0","1,979,130.0","1,996,858.0","2,016,580.0","2,034,367.0","2,036,178.0","2,044,539.0","2,055,377.0","2,079,268.0","2,099,717.0","2,108,528.0","2,129,721.0","2,150,275.0","2,170,271.0","2,195,149.0"
"21","2","Farm","B372RX1",".....",".....",".....","176,284.0","174,044.0","176,222.0","178,723.0","180,381.0","181,943.0","181,283.0","182,022.0","182,241.0","181,757.0","182,028.0","179,020.0","178,042.0","172,914.0","174,647.0","174,063.0","176,029.0","177,696.0","176,871.0","177,308.0","176,160.0","176,835.0","174,115.0","173,184.0","172,691.0","173,507.0","173,265.0","173,308.0","172,827.0","174,262.0","178,188.0","180,281.0","181,782.0","180,525.0","180,725.0","181,558.0","182,039.0","182,464.0","180,638.0","179,071.0","177,885.0","178,682.0","177,730.0","177,221.0","176,950.0","175,726.0","176,268.0","177,412.0","178,082.0","177,913.0","177,656.0","176,615.0","176,480.0","175,733.0","174,287.0","171,811.0","169,444.0","169,498.0","169,436.0","169,968.0","170,825.0","170,988.0","170,139.0","167,177.0","165,255.0","166,058.0","167,597.0","170,289.0","172,903.0","173,459.0","174,665.0","176,734.0","178,435.0","179,815.0"
"22","3","Mining, utilities, and construction","N238RX1",".....",".....",".....","50,256.0","50,296.0","51,743.0","53,089.0","52,846.0","55,331.0","57,579.0","59,239.0","62,030.0","62,072.0","62,144.0","61,265.0","59,984.0","60,879.0","59,884.0","59,633.0","57,015.0","60,079.0","63,893.0","65,776.0","68,402.0","68,446.0","67,328.0","65,532.0","64,326.0","66,521.0","67,414.0","69,359.0","71,983.0","71,222.0","71,461.0","73,001.0","73,302.0","74,228.0","76,656.0","76,058.0","76,535.0","80,063.0","85,451.0","89,303.0","92,587.0","92,895.0","93,328.0","92,967.0","89,491.0","86,654.0","83,880.0","85,436.0","82,835.0","85,942.0","88,349.0","86,042.0","80,251.0","76,826.0","79,102.0","79,984.0","81,667.0","79,280.0","77,348.0","76,164.0","77,307.0","83,415.0","85,422.0","84,433.0","82,944.0","80,225.0","80,369.0","83,435.0","81,360.0","77,018.0","79,255.0","81,476.0","82,246.0","81,670.0"
"23","4","Manufacturing","N376RX1",".....",".....",".....","518,567.0","523,378.0","530,516.0","536,801.0","544,996.0","555,138.0","560,135.0","562,365.0","564,804.0","568,764.0","570,288.0","575,291.0","582,785.0","581,727.0","586,251.0","588,111.0","591,610.0","585,438.0","579,502.0","571,997.0","562,283.0","557,026.0","556,547.0","560,093.0","561,197.0","561,205.0","558,334.0","553,038.0","552,273.0","551,604.0","553,725.0","554,788.0","558,741.0","570,216.0","571,479.0","574,220.0","581,579.0","587,381.0","592,497.0","597,726.0","600,603.0","602,887.0","608,131.0","612,060.0","618,141.0","623,027.0","616,973.0","609,756.0","600,261.0","594,345.0","583,830.0","573,983.0","573,999.0","576,468.0","577,732.0","586,583.0","596,093.0","600,740.0","610,038.0","609,378.0","617,341.0","620,476.0","623,283.0","630,347.0","627,949.0","628,115.0","629,772.0","632,859.0","635,286.0","638,231.0","645,136.0","648,032.0","650,149.0","654,639.0"
"24","5","  Durable goods industries","N377RX1",".....",".....",".....","293,303.0","295,842.0","300,358.0","304,482.0","309,540.0","318,231.0","323,085.0","325,850.0","328,431.0","330,172.0","329,089.0","332,245.0","335,992.0","335,461.0","338,305.0","339,595.0","343,403.0","339,181.0","335,451.0","328,837.0","320,470.0","317,328.0","315,782.0","315,796.0","316,572.0","317,044.0","314,066.0","309,822.0","310,870.0","309,884.0","311,671.0","312,711.0","315,131.0","322,522.0","324,787.0","328,432.0","332,939.0","335,610.0","338,548.0","343,151.0","345,628.0","348,993.0","350,064.0","352,074.0","358,271.0","357,453.0","350,535.0","349,199.0","353,092.0","348,006.0","338,836.0","330,700.0","329,033.0","331,289.0","335,552.0","341,017.0","345,863.0","352,283.0","357,868.0","361,011.0","366,208.0","370,371.0","374,289.0","379,637.0","380,478.0","382,007.0","384,248.0","388,220.0","391,808.0","395,703.0","400,669.0","404,790.0","410,537.0","415,610.0"
"25","6","  Nondurable goods industries","N378RX1",".....",".....",".....","225,518.0","227,840.0","230,344.0","232,369.0","235,408.0","236,170.0","235,844.0","234,967.0","234,558.0","236,884.0","239,929.0","241,697.0","245,537.0","244,991.0","246,612.0","247,134.0","246,530.0","244,696.0","242,553.0","242,031.0","241,198.0","239,108.0","240,398.0","244,249.0","244,550.0","244,023.0","244,277.0","243,362.0","241,401.0","241,773.0","242,054.0","242,040.0","243,557.0","247,580.0","246,501.0","245,538.0","248,383.0","251,530.0","253,712.0","254,290.0","254,664.0","253,491.0","257,677.0","259,573.0","259,589.0","264,990.0","265,478.0","259,958.0","247,124.0","246,324.0","244,997.0","243,269.0","244,921.0","245,191.0","242,364.0","245,785.0","250,427.0","249,034.0","252,752.0","249,397.0","252,218.0","251,520.0","250,709.0","252,580.0","249,635.0","248,453.0","248,037.0","247,447.0","246,569.0","245,933.0","248,011.0","247,127.0","243,983.0","243,568.0"
"26","7","Wholesale trade","N379RX1",".....",".....",".....","333,656.0","339,619.0","349,620.0","354,580.0","363,646.0","372,980.0","377,080.0","385,553.0","390,148.0","396,947.0","399,395.0","405,954.0","413,734.0","418,739.0","426,194.0","430,392.0","436,863.0","435,078.0","433,159.0","426,097.0","421,621.0","419,491.0","421,217.0","422,589.0","421,985.0","420,314.0","419,034.0","419,102.0","423,876.0","427,852.0","432,898.0","441,524.0","448,114.0","460,067.0","466,565.0","469,983.0","479,011.0","484,881.0","492,647.0","500,494.0","502,840.0","506,077.0","510,044.0","515,685.0","518,713.0","522,474.0","530,316.0","534,339.0","536,969.0","519,277.0","497,158.0","476,929.0","475,077.0","476,515.0","480,392.0","494,124.0","499,866.0","501,058.0","510,210.0","508,434.0","516,493.0","519,868.0","525,521.0","534,846.0","537,900.0","542,619.0","543,387.0","549,848.0","559,343.0","567,639.0","573,243.0","580,624.0","591,341.0","603,331.0"
"27","8","  Durable goods industries","N380RX1",".....",".....",".....","184,442.0","188,487.0","195,380.0","197,587.0","202,553.0","209,417.0","211,767.0","217,821.0","221,200.0","225,563.0","228,700.0","231,609.0","237,016.0","240,195.0","246,336.0","248,765.0","252,231.0","250,373.0","244,422.0","238,280.0","233,069.0","230,577.0","230,987.0","233,165.0","231,330.0","232,619.0","232,209.0","230,663.0","234,207.0","238,638.0","243,972.0","251,590.0","255,510.0","263,372.0","268,913.0","271,095.0","277,839.0","280,612.0","287,593.0","294,300.0","296,669.0","300,034.0","298,389.0","297,756.0","299,947.0","303,050.0","303,924.0","309,415.0","308,490.0","292,193.0","276,683.0","264,227.0","258,913.0","260,757.0","261,041.0","265,995.0","269,280.0","273,653.0","281,286.0","287,081.0","292,130.0","297,229.0","304,114.0","309,218.0","311,995.0","315,878.0","317,035.0","322,548.0","327,410.0","333,928.0","340,364.0","346,137.0","350,250.0","358,148.0"
"28","9","  Nondurable goods industries","N381RX1",".....",".....",".....","151,206.0","152,888.0","155,557.0","158,536.0","162,708.0","164,636.0","166,385.0","168,373.0","169,330.0","171,612.0","170,365.0","174,274.0","176,381.0","178,127.0","178,992.0","180,756.0","183,812.0","184,071.0","189,082.0","188,609.0","189,926.0","190,562.0","191,994.0","190,937.0","192,403.0","189,116.0","188,199.0","190,039.0","191,173.0","190,476.0","189,913.0","190,604.0","193,256.0","197,241.0","198,024.0","199,241.0","201,443.0","204,595.0","205,243.0","206,261.0","206,194.0","205,952.0","211,631.0","217,922.0","218,720.0","219,456.0","226,099.0","224,911.0","228,411.0","227,125.0","220,524.0","212,732.0","216,096.0","215,699.0","219,206.0","227,839.0","230,279.0","227,534.0","229,409.0","222,829.0","225,891.0","224,686.0","224,051.0","228,279.0","228,759.0","229,808.0","229,537.0","230,800.0","235,374.0","237,454.0","237,156.0","239,026.0","245,430.0","249,687.0"
"29","10","Retail trade","N382RX1",".....",".....",".....","354,638.0","356,322.0","362,590.0","367,062.0","370,399.0","378,201.0","378,870.0","381,300.0","386,621.0","397,104.0","401,008.0","403,325.0","414,082.0","416,280.0","425,879.0","431,612.0","435,858.0","429,909.0","431,733.0","434,618.0","424,564.0","430,328.0","437,713.0","443,058.0","452,278.0","459,802.0","461,908.0","466,356.0","471,420.0","479,829.0","487,601.0","490,913.0","496,592.0","500,721.0","497,964.0","496,348.0","501,752.0","504,380.0","506,428.0","509,751.0","511,518.0","509,501.0","512,821.0","517,153.0","518,079.0","508,143.0","502,707.0","497,415.0","487,931.0","473,371.0","458,582.0","442,198.0","438,217.0","441,345.0","448,099.0","456,454.0","456,639.0","458,058.0","455,026.0","454,652.0","455,538.0","463,129.0","471,309.0","476,840.0","481,145.0","486,981.0","493,137.0","500,520.0","509,517.0","510,511.0","514,210.0","517,868.0","520,699.0","525,174.0"
"30","11","  Motor vehicle and parts dealers","N864RX1",".....",".....",".....","99,109.0","99,289.0","100,985.0","102,330.0","104,186.0","106,652.0","105,099.0","104,060.0","106,012.0","112,183.0","112,326.0","112,954.0","118,360.0","118,862.0","124,657.0","128,551.0","130,059.0","123,615.0","125,879.0","127,999.0","120,889.0","125,747.0","130,333.0","131,035.0","138,069.0","142,307.0","145,267.0","147,191.0","150,985.0","154,686.0","158,077.0","158,546.0","158,536.0","159,306.0","154,548.0","152,637.0","155,626.0","155,829.0","155,852.0","155,992.0","154,942.0","152,698.0","153,477.0","158,109.0","157,853.0","154,581.0","152,319.0","148,423.0","145,610.0","134,947.0","125,403.0","114,401.0","112,679.0","115,296.0","119,779.0","125,731.0","124,368.0","125,041.0","123,493.0","123,928.0","125,540.0","133,136.0","138,876.0","144,248.0","146,693.0","150,106.0","154,199.0","158,342.0","164,262.0","162,653.0","165,944.0","168,131.0","168,644.0","168,629.0"
"31","12","  Food and beverage stores","N239RX1",".....",".....",".....","36,931.0","37,036.0","37,185.0","37,642.0","37,393.0","37,721.0","38,317.0","38,272.0","38,654.0","39,261.0","39,764.0","40,440.0","40,670.0","40,645.0","40,030.0","40,154.0","39,940.0","40,213.0","40,401.0","40,405.0","40,459.0","40,621.0","40,836.0","41,550.0","41,533.0","41,257.0","40,364.0","40,791.0","40,082.0","40,170.0","40,401.0","40,469.0","40,439.0","40,497.0","40,482.0","39,940.0","40,186.0","40,623.0","40,975.0","41,101.0","41,180.0","40,972.0","41,386.0","42,025.0","42,388.0","42,236.0","42,311.0","42,112.0","41,943.0","42,571.0","42,320.0","42,223.0","41,611.0","41,941.0","41,721.0","41,893.0","41,944.0","41,422.0","41,686.0","41,811.0","41,801.0","42,237.0","41,894.0","41,950.0","41,946.0","42,006.0","42,542.0","42,658.0","43,069.0","43,140.0","43,075.0","43,344.0","43,642.0","44,430.0"
"32","13","  General merchandise stores","N240RX1",".....",".....",".....","67,239.0","67,126.0","68,046.0","67,701.0","67,403.0","67,351.0","67,304.0","68,014.0","67,818.0","68,682.0","69,295.0","69,863.0","70,889.0","70,997.0","71,728.0","71,489.0","72,066.0","73,519.0","73,721.0","73,680.0","72,242.0","71,890.0","71,961.0","73,205.0","74,550.0","74,789.0","75,130.0","75,741.0","75,981.0","77,670.0","78,578.0","78,863.0","80,905.0","82,612.0","82,867.0","83,525.0","83,993.0","83,342.0","82,864.0","84,228.0","85,074.0","85,219.0","85,386.0","84,551.0","84,827.0","83,008.0","82,427.0","82,249.0","80,756.0","79,970.0","79,257.0","77,932.0","77,886.0","78,094.0","78,780.0","79,887.0","80,074.0","81,215.0","80,857.0","80,739.0","81,004.0","80,187.0","80,473.0","79,789.0","80,954.0","81,992.0","82,281.0","83,256.0","83,808.0","84,493.0","84,034.0","84,326.0","83,808.0","83,853.0"
"33","14","  Other retail stores","N865RX1",".....",".....",".....","153,920.0","155,436.0","158,885.0","161,864.0","163,668.0","168,629.0","170,614.0","173,633.0","176,759.0","179,126.0","181,947.0","182,469.0","186,160.0","187,757.0","190,840.0","192,428.0","194,688.0","194,254.0","193,165.0","193,754.0","192,901.0","193,509.0","195,654.0","198,501.0","198,709.0","201,720.0","201,032.0","202,478.0","203,955.0","206,745.0","209,884.0","212,418.0","216,225.0","217,839.0","219,937.0","220,201.0","221,787.0","224,462.0","226,647.0","228,392.0","230,361.0","230,709.0","232,673.0","232,466.0","233,024.0","228,346.0","225,695.0","224,664.0","219,656.0","215,892.0","211,595.0","207,656.0","206,075.0","206,049.0","207,840.0","208,905.0","210,261.0","210,423.0","209,017.0","208,193.0","207,216.0","207,642.0","210,185.0","210,991.0","211,743.0","213,104.0","214,364.0","216,568.0","218,740.0","220,561.0","221,575.0","222,515.0","225,056.0","228,676.0"
"34","15","Other industries","N385RX1",".....",".....",".....","95,612.0","98,008.0","99,349.0","100,332.0","101,829.0","102,817.0","104,443.0","105,994.0","108,427.0","110,597.0","113,175.0","115,197.0","116,794.0","119,938.0","123,812.0","129,114.0","131,093.0","131,588.0","131,353.0","131,135.0","130,674.0","129,861.0","130,374.0","130,195.0","129,914.0","129,760.0","130,837.0","131,132.0","131,582.0","132,768.0","133,836.0","135,113.0","136,189.0","136,949.0","137,689.0","137,668.0","138,700.0","139,281.0","140,935.0","142,182.0","142,983.0","143,236.0","143,568.0","143,186.0","142,815.0","143,007.0","142,672.0","142,748.0","144,571.0","143,268.0","141,107.0","139,626.0","139,056.0","138,815.0","138,275.0","138,087.0","137,962.0","139,350.0","139,923.0","140,032.0","141,278.0","139,445.0","142,473.0","143,407.0","144,377.0","143,852.0","144,421.0","145,505.0","144,255.0","144,662.0","146,248.0","148,430.0","150,191.0","153,388.0"
"35","16","Residual","N968RX1",".....",".....",".....","-16,400.0","-15,900.0","-15,600.0","-16,000.0","-15,700.0","-14,700.0","-15,200.0","-14,900.0","-14,300.0","-12,600.0","-11,900.0","-11,400.0","-9,300.0","-8,300.0","-6,000.0","-5,000.0","-4,000.0","-6,100.0","-6,900.0","-6,900.0","-9,900.0","-8,800.0","-7,600.0","-7,000.0","-5,600.0","-4,400.0","-4,000.0","-3,900.0","-3,500.0","-2,600.0","-2,000.0","-1,600.0","-1,700.0","-1,600.0","-1,900.0","-2,100.0","-1,900.0","-1,300.0","-200.0","300.0","700.0","1,000.0","900.0","800.0","700.0","900.0","1,300.0","1,300.0","300.0","700.0","500.0","400.0","200.0","200.0","0.0","100.0","-200.0","-900.0","-900.0","-2,200.0","-2,200.0","-3,800.0","-6,100.0","-7,300.0","-8,600.0","-9,100.0","-9,100.0","-9,700.0","-10,000.0","-10,600.0","-11,400.0","-11,500.0","-11,800.0","-12,400.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Private inventories","A371RX1",".....",".....",".....","1,517,346.0","1,530,198.0","1,558,419.0","1,578,641.0","1,602,152.0","1,634,124.0","1,646,534.0","1,663,376.0","1,681,140.0","1,705,519.0","1,716,836.0","1,729,712.0","1,756,590.0","1,762,494.0","1,789,672.0","1,806,848.0","1,822,815.0","1,813,342.0","1,810,141.0","1,800,917.0","1,776,569.0","1,775,608.0","1,782,227.0","1,790,333.0","1,799,108.0","1,808,191.0","1,808,142.0","1,810,036.0","1,821,675.0","1,835,775.0","1,856,245.0","1,874,016.0","1,893,073.0","1,920,898.0","1,929,155.0","1,933,704.0","1,957,399.0","1,977,053.0","1,998,163.0","2,018,650.0","2,029,006.0","2,033,909.0","2,046,267.0","2,058,812.0","2,064,551.0","2,059,498.0","2,052,897.0","2,047,719.0","2,030,880.0","1,994,761.0","1,947,232.0","1,895,705.0","1,883,311.0","1,885,772.0","1,897,962.0","1,927,018.0","1,941,537.0","1,947,803.0","1,962,183.0","1,958,926.0","1,979,130.0","1,996,858.0","2,016,580.0","2,034,367.0","2,036,178.0","2,044,539.0","2,055,377.0","2,079,268.0","2,099,717.0","2,108,528.0","2,129,721.0","2,150,275.0","2,170,271.0","2,195,149.0"
