"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128"
"11","2","A   Durable goods industries","KS30DM0",79252,79403,80628,81004,81825,82476,83293,83841,85077,86038,85663,86400,87748,88507,89069,89896,90158,91188,91106,91058,91958,92431,92068,91209,91875,92487,92987,92817,92812,93148,93685,93143,94008,93608,94787,96820,95436,96143,96431,97718,98692,100098,100406,101879,102303,103049,104271,104450,106049,105526,104122,103499,103532,102114,101245,100275,98783,98431,98125,96805,96405,95871,96480,96542,95576,94870,94466,94388,94119,94075,93272,93189,92409,93299,92503,91655,91719,90956,90009,89280,88834,89311,88885,89351,89302,89332,89909,90373,89937,90517,91227,91125,90928,91686,92301,92162,93540,93303,93688,93906,94125,94424,94551,94517,94804,94561,95109,94851,93778,93878,94639,94889,95029,94679,95326,95668,95936,96593,96471,96349,96499,96215,96087,96023,95628
"12","3","A     Wood product manufacturing","KS321M0",3457,3464,3464,3546,3492,3475,3453,3506,3644,3676,3692,3744,3671,3681,3572,3658,3692,3816,3822,3772,3869,3938,3934,3907,4044,4037,4030,3916,3913,3887,3885,3928,3858,3891,3986,4119,4043,4034,4021,3986,4005,3979,3905,4018,4048,4033,4040,4049,4053,3966,3999,4061,4063,4062,4045,3976,3960,3920,3989,3979,4026,4096,4193,4155,4138,4165,4140,4117,4135,4141,4130,4136,4216,4199,4180,4206,4172,4159,4128,4090,3950,4089,4098,4180,4232,4196,4335,4470,4438,4407,4485,4519,4589,4623,4621,4556,4732,4676,4750,4785,4766,4810,4794,4753,4804,4801,4815,4877,4614,4619,4543,4503,4457,4646,4480,4485,4397,4367,4284,4279,4217,4194,4134,4116,4126
"13","4","A     Nonmetallic mineral product manufacturing","KS327M0",3188,3227,3202,3272,3251,3251,3279,3239,3260,3292,3296,3319,3297,3254,3259,3265,3243,3259,3278,3311,3349,3321,3344,3330,3318,3338,3366,3352,3361,3338,3344,3358,3387,3400,3382,3442,3424,3485,3413,3425,3462,3496,3481,3507,3508,3476,3502,3521,3538,3549,3543,3547,3525,3511,3525,3489,3496,3512,3530,3467,3483,3474,3492,3517,3486,3502,3496,3486,3481,3508,3470,3484,3478,3514,3536,3514,3571,3539,3609,3538,3563,3558,3419,3449,3446,3482,3506,3569,3559,3553,3570,3542,3546,3585,3617,3585,3602,3536,3588,3547,3549,3563,3494,3507,3470,3455,3466,3563,3552,3584,3573,3585,3578,3579,3598,3628,3640,3644,3669,3681,3730,3721,3736,3747,3706
"14","5","A     Primary metal manufacturing","KS331M0",6221,6338,6373,6372,6394,6391,6432,6528,6561,6745,6635,6703,6677,6737,6845,7004,7091,7265,7300,7405,7587,7539,7587,7632,7555,7560,7602,7508,7447,7411,7393,7406,7420,7395,7442,7593,7595,7605,7713,7645,7663,7675,7698,7579,7504,7482,7446,7264,7380,7428,7428,7454,7391,7252,7085,7085,6964,6966,6986,6857,6833,6677,6619,6632,6551,6577,6580,6617,6715,6773,6714,6743,6730,6855,6673,6523,6517,6190,6015,5896,5890,5764,5739,5735,5655,5814,5779,5849,5999,6260,6340,6385,6409,6573,6732,6794,6919,7014,7194,7338,7477,7565,7584,7638,7541,7315,7273,7084,7200,7350,7400,7383,7453,7379,7450,7531,7842,7799,7778,7961,7903,7702,7688,7584,7632
"15","6","A     Fabricated metal product manufacturing","KS332M0",10649,10575,10761,10658,10659,10718,10768,10805,10856,10813,10906,11139,11090,11170,11179,11378,11334,11663,11552,11526,11700,11717,11656,11540,11578,11500,11364,11450,11478,11552,11602,11665,11854,11798,11746,11923,11456,11721,11807,11812,12086,12189,12230,12246,12204,12200,12393,12247,12283,12178,12167,12231,12248,12081,12023,12076,11923,11989,11930,11742,12038,12011,12113,11963,11699,11703,11713,11786,11797,11764,11640,11520,11392,12041,12107,11896,11895,11811,11616,11538,11536,11481,11428,11296,11233,11197,11134,11006,10985,10856,10940,11147,11189,11124,11262,11300,11477,11625,11647,11713,11792,11790,11921,11858,11852,11842,11995,12017,12144,12270,12276,12295,12289,12322,12271,12184,12269,12470,12438,12607,12612,12630,12618,12484,12284
"16","7","A     Machinery manufacturing","KS333M0",11763,11693,11720,11763,11916,12026,12115,12180,12210,12365,12456,12431,12603,12771,12814,12803,12929,12937,13016,13027,13087,12944,12900,12617,13072,13162,13220,13260,13068,12994,13091,12930,12986,13080,13344,13276,13080,12867,12740,13272,13223,13436,13525,13772,13781,13886,13658,14014,14293,14224,14085,14080,13860,13784,13556,13305,13250,13076,13088,13045,12908,12860,12888,12740,12641,12466,12407,12335,12165,12221,12110,12261,12134,12113,12013,11837,11942,11905,11876,11555,11534,11624,11396,11545,11443,11404,11326,11226,11189,11215,11177,11231,11184,11247,11380,11356,11532,11592,11567,11830,11906,12057,12129,12224,12333,12423,12428,12407,12372,12319,12391,12482,12531,12370,12482,12465,12688,12878,12950,13088,13351,13336,13401,13399,13273
"17","8","A     Computer and electronic product manufacturing","KS334M0",15172,15334,16019,15999,16419,16819,17180,17229,17829,18315,18348,18288,18832,18787,18865,19153,19123,18851,19014,18944,19019,19309,18948,18465,18601,18763,19451,19448,19322,19757,20166,19933,20366,20181,20911,21856,21239,22191,22979,23233,23971,25115,25274,26312,26401,26702,27398,27845,29121,28878,28042,27582,27940,27281,27249,26627,25764,25305,25164,24420,24344,23854,23701,23907,23368,22915,22810,22735,22774,22893,22820,22487,22188,22315,21800,21478,21606,21245,20982,20935,20640,21149,21046,21429,21483,21416,21939,22155,21267,21682,21932,21432,21222,21698,21629,21736,21953,21821,21309,21116,21111,20849,20723,20909,21390,21174,21732,21888,21712,21341,21995,22096,22270,22488,22936,23413,23001,23368,23136,22702,22759,22644,22649,22862,22955
"18","9","A     Electrical equipment, appliance, and component manufacturing","KS335M0",4619,4650,4712,4846,4888,4970,4971,4961,5048,5026,5063,5077,5133,5135,5220,5150,5147,5193,5170,5171,5113,5157,5161,5163,5160,5140,5135,5166,5205,5172,5288,5314,5270,5304,5320,5312,5393,5404,5359,5351,5302,5316,5431,5551,5711,5727,5870,5829,5811,5913,5887,5975,5992,5893,5692,5725,5684,5747,5628,5553,5474,5483,5471,5488,5496,5487,5509,5487,5470,5457,5504,5450,5507,5454,5406,5403,5400,5361,5287,5246,5194,5186,5152,5222,5216,5041,5081,5033,5041,5060,5056,5125,5126,5165,5129,5176,5160,5164,5240,5230,5231,5264,5248,5237,5313,5224,5258,5247,5278,5235,5230,5219,5148,5075,5162,5157,5064,5145,5150,5322,5271,5282,5276,5242,5199
"19","10","A     Transportation equipment manufacturing","KS336M0",16237,16142,16260,16520,16576,16488,16777,16960,17185,17278,16689,16998,17763,18232,18599,18599,18675,19306,19021,18955,19199,19346,19482,19501,19456,19873,19622,19487,19866,19856,19675,19430,19608,19351,19301,19856,19774,19388,19017,19498,19480,19354,19325,19218,19470,19834,20229,20036,19911,19780,19338,19040,18913,18634,18558,18540,18326,18483,18290,18278,17973,18035,18406,18555,18485,18311,17984,18029,17930,17845,17534,17629,17287,17395,17334,17332,17091,17179,16959,16987,17052,17031,17160,17153,17272,17592,17861,18009,18262,18171,18361,18420,18287,18352,18567,18305,18825,18467,18792,18694,18643,18577,18501,18258,18037,18282,18069,17836,16878,16941,17122,17213,17199,16977,17202,17095,17053,17007,17090,16387,16287,16420,16192,16329,16333
"20","11","D       Motor vehicle and parts manufacturing","KS3MVM0",9624,9788,9916,10084,10256,10026,10370,10423,9965,10191,10133,10021,10170,10399,10384,10514,10651,11352,11009,10907,11102,11240,11097,10899,10973,11189,10890,11142,11346,11259,11056,11020,11051,11119,11792,12056,12057,12016,11915,12057,11731,11577,11663,11583,11712,11629,11484,11391,11201,11182,10893,10811,10806,10855,10805,10755,10656,10706,10517,10359,10238,10476,10662,10663,10737,10705,10794,10841,10959,10915,10887,10965,11057,11179,11039,11073,11050,11075,10962,10969,11100,11014,10978,11080,11242,11416,11526,11459,11508,11574,11592,11553,11574,11536,11563,11352,11642,11614,11808,11733,11663,11703,11634,11475,11470,11457,11312,11274,10921,10947,11227,11285,11261,11111,11229,11013,10849,10831,10734,10782,10700,10778,10585,10492,10421
"21","12","D       Other transportation equipment manufacturing","KS3OTM0",6608,6343,6331,6423,6305,6450,6392,6522,7217,7081,6545,6972,7593,7832,8218,8086,8024,7951,8011,8046,8096,8104,8383,8600,8482,8683,8731,8346,8520,8596,8619,8410,8557,8233,7508,7800,7717,7372,7100,7441,7749,7778,7662,7636,7758,8204,8745,8645,8710,8598,8445,8229,8108,7784,7758,7790,7676,7781,7775,7917,7736,7564,7748,7894,7752,7613,7203,7201,6988,6947,6666,6683,6255,6242,6319,6284,6068,6131,6024,6045,5981,6044,6207,6101,6060,6204,6363,6574,6778,6623,6794,6892,6738,6841,7030,6978,7209,6877,7008,6985,7003,6897,6890,6806,6589,6849,6781,6584,5974,6012,5910,5943,5953,5881,5989,6100,6226,6198,6381,5618,5600,5655,5620,5855,5932
"22","13","A     Furniture and related product manufacturing","KS337M0",3234,3222,3235,3233,3367,3366,3321,3307,3361,3359,3393,3407,3444,3476,3394,3468,3459,3460,3410,3413,3439,3429,3391,3412,3428,3381,3401,3397,3407,3417,3491,3462,3410,3387,3480,3536,3446,3481,3473,3520,3561,3634,3637,3673,3687,3694,3706,3635,3707,3655,3645,3598,3627,3602,3574,3531,3554,3508,3567,3443,3404,3460,3474,3470,3512,3570,3586,3562,3505,3429,3486,3559,3581,3493,3555,3570,3654,3639,3635,3613,3524,3506,3535,3480,3475,3379,3316,3405,3455,3496,3561,3510,3547,3516,3485,3485,3443,3389,3429,3386,3381,3488,3534,3490,3522,3510,3590,3604,3620,3642,3653,3686,3639,3593,3571,3567,3563,3575,3553,3572,3635,3626,3716,3766,3734
"23","14","A     Miscellaneous durable goods manufacturing","KS339M0",5065,5066,5084,5024,5042,5100,5093,5229,5170,5163,5165,5307,5234,5288,5354,5431,5485,5494,5564,5582,5651,5773,5726,5729,5738,5801,5835,5871,5788,5792,5766,5741,5872,5846,5884,5901,5982,5958,5894,5968,5932,5895,5892,5995,5982,6010,6023,6004,5963,5967,6003,5947,6002,6033,5961,5940,5865,5917,5952,6001,5915,5897,6078,6073,6143,6110,6184,6171,6095,6001,5834,5867,5844,5856,5804,5792,5776,5817,5787,5779,5825,5852,5842,5831,5841,5772,5675,5710,5654,5745,5746,5653,5631,5645,5645,5630,5634,5677,5684,5688,5637,5754,5870,5907,5914,5935,5975,5905,5872,5895,5882,5874,5921,5812,5785,5838,5853,5824,5858,5947,5952,5947,5961,5915,5852
"24","15","A   Nondurable goods industries","KS30NM0",61381,61765,62011,62117,62320,62112,61883,61918,62614,63009,62401,62944,63420,63682,63941,63513,63141,63468,63792,63519,63356,63117,63223,62673,62944,63036,62973,63240,63574,63590,63688,63813,64099,64194,64878,65798,66072,65829,65938,65857,65912,65743,65651,65289,65330,64370,64762,63822,64336,63934,63900,63521,63543,63188,63559,63063,62997,63207,63456,62961,62759,63219,63799,64097,63954,63999,64319,64145,64235,64176,64565,63529,64181,64505,63735,64164,64014,63364,62672,62944,62843,62486,62624,61885,62013,62559,62382,62350,61872,61752,62277,62181,61848,62020,62049,61823,62446,62163,62376,62264,62110,61928,61876,61832,61483,61467,60789,62151,62122,62120,62313,62204,63124,62489,62105,62296,62386,60899,60930,60529,60732,60894,60672,60817,60883
"25","16","A     Food manufacturing","KS311M0",9821,9947,9907,9777,9810,9907,9916,9971,10186,10276,10048,10143,10151,10417,10337,10332,10138,10260,10359,10263,10268,10203,10157,10327,10549,10551,10618,10822,10886,10847,10819,10831,10697,10537,10880,11095,11058,11012,11117,10924,10821,10828,10729,10759,10835,10770,10818,10690,10767,10683,10689,10695,10671,10628,10863,10587,10649,10471,10638,10604,10603,10628,10505,10556,10705,10817,10817,10841,10635,10513,10453,10431,10462,10430,10515,10573,10681,10574,10407,10460,10351,10464,10787,10382,10433,10476,10423,10173,10054,9941,9914,9842,9965,9954,9939,9943,9808,9787,9839,9952,10015,10130,10228,10213,10269,10244,10040,10046,10105,10083,10041,10071,10027,10087,10106,10235,10257,10091,10272,10265,10321,10257,10050,10130,10105
"26","17","A     Beverage and tobacco product manufacturing","KS312M0",7141,7202,7212,7314,7287,7311,7296,7214,7256,7283,7193,7064,7358,7216,7226,7124,7053,7103,7124,7075,7238,7403,7266,7130,6974,7030,6928,6896,6846,6752,6668,6663,6669,6820,6684,6847,6888,6632,6608,6593,6600,6547,6526,6562,6599,6495,6522,6206,6260,6278,6287,6394,6467,6459,6488,6431,6421,6331,6334,6338,6424,6423,6473,6353,6360,6433,6421,6414,6469,6499,6553,6389,6245,6186,6150,6130,6129,6097,6068,6115,6137,6101,6132,6027,6011,6136,6037,6053,5999,5985,5868,5985,6021,5930,5919,5905,5924,5904,5911,6073,6033,5996,6073,6109,6065,6073,6077,5948,6002,5927,5852,5815,5816,5891,5927,5830,5770,5795,5847,5862,5839,5830,5816,5784,5730
"27","18","A     Textile mills","KS313M0",2214,2262,2323,2296,2247,2264,2264,2288,2288,2294,2289,2308,2295,2298,2344,2308,2362,2312,2283,2252,2243,2226,2197,2196,2203,2194,2154,2110,2191,2211,2194,2205,2240,2209,2222,2267,2212,2194,2195,2179,2154,2150,2233,2216,2158,2167,2177,2154,2158,2142,2109,2103,2072,2040,2044,2023,2013,1985,1955,1909,1864,1864,1851,1824,1809,1822,1808,1826,1887,1850,1867,1841,1817,1848,1888,1952,1906,1885,1862,1866,1864,1873,1887,1866,1862,1876,1876,1897,1882,1873,1862,1854,1845,1802,1846,1855,1891,1856,1865,1876,1891,1856,1836,1816,1825,1820,1806,1812,1820,1829,1789,1754,1740,1763,1759,1771,1774,1751,1741,1726,1711,1719,1718,1715,1721
"28","19","A     Textile product mills","KS314M0",1242,1281,1290,1300,1291,1286,1293,1285,1289,1258,1236,1258,1239,1244,1227,1236,1242,1222,1215,1206,1196,1170,1179,1195,1187,1238,1255,1252,1249,1276,1260,1272,1258,1297,1308,1281,1295,1272,1308,1340,1390,1416,1450,1474,1471,1465,1484,1496,1485,1480,1490,1472,1454,1457,1444,1431,1462,1493,1484,1503,1425,1390,1351,1316,1283,1278,1280,1262,1226,1190,1147,1116,1142,1146,1125,1204,1162,1102,1082,1083,1072,1067,1116,1108,1101,1112,1106,1100,1100,1106,1124,1128,1127,1134,1130,1135,1151,1143,1144,1143,1156,1161,1140,1128,1131,1131,1136,1179,1206,1193,1195,1200,1186,1191,1196,1200,1204,1206,1195,1167,1164,1160,1160,1129,1125
"29","20","A     Apparel manufacturing","KS315M0",2806,2815,2799,2827,2842,2824,2802,2819,2802,2803,2766,2730,2741,2742,2786,2716,2676,2718,2678,2664,2632,2600,2602,2633,2593,2570,2553,2549,2553,2574,2598,2550,2620,2645,2672,2692,2680,2669,2634,2579,2634,2563,2570,2546,2545,2548,2499,2500,2472,2430,2426,2403,2364,2341,2291,2277,2225,2165,2122,2027,2043,2042,2043,2028,1980,2010,2013,2006,2000,2024,2048,2040,2059,2025,2026,2054,2054,2002,2002,2015,1947,1951,1952,1939,1923,1914,1913,1913,1909,1933,1917,1948,1965,1949,1949,1943,1927,1932,1911,1909,1903,1907,1906,1886,1875,1868,1858,1845,1839,1826,1808,1797,1830,1781,1802,1792,1771,1765,1762,1760,1762,1762,1752,1751,1761
"30","21","A     Leather and allied product manufacturing","KS316M0",496,500,485,508,516,517,529,517,526,526,515,538,545,540,532,554,553,534,526,550,561,558,559,517,512,504,514,494,500,511,494,504,487,492,486,498,484,488,495,488,469,487,487,469,455,469,467,466,488,485,481,489,499,482,479,471,474,447,440,428,418,417,408,390,384,375,381,381,375,399,403,389,379,383,383,385,383,388,383,384,387,381,380,384,377,379,381,385,386,389,388,387,387,392,393,392,394,382,383,381,381,365,369,368,374,387,405,404,377,348,342,349,348,351,357,358,364,362,353,359,364,362,364,362,362
"31","22","A     Paper manufacturing","KS322M0",7793,7862,7965,7875,7882,7653,7656,7636,7699,7780,7779,7906,7971,7934,7947,7974,7950,8078,8056,8043,7938,7837,7763,7572,7682,7667,7720,7762,7802,7909,7940,8217,8344,8319,8349,8358,8388,8486,8498,8517,8605,8496,8496,8368,8298,8222,8136,8014,8026,7952,7883,7787,7692,7647,7604,7564,7613,7632,7724,7713,7804,7940,7935,7949,8069,8173,8200,8193,8345,8453,8431,8521,8534,8541,8262,8301,8222,8230,8089,8088,8060,8060,8025,8001,7917,7841,7790,7859,7878,7997,8103,8027,8074,8119,8131,8057,8173,8141,8126,8123,8160,8183,8160,8113,8050,8014,7977,8024,7983,8022,8080,8065,8069,8000,7914,7948,7881,7857,7935,7818,7872,7863,7775,7742,7793
"32","23","A     Printing and related support activities","KS323M0",2398,2416,2416,2460,2493,2420,2271,2252,2261,2310,2199,2504,2387,2352,2409,2368,2417,2362,2463,2333,2330,2232,2153,2113,2119,2124,2083,2051,2077,2173,2108,2342,2417,2326,2478,2533,2488,2544,2651,2569,2505,2502,2487,2505,2470,2432,2376,2313,2348,2339,2353,2298,2274,2173,2208,2230,2096,2260,2301,2265,2365,2315,2200,2351,2383,2504,2568,2504,2522,2574,2634,2523,2583,2557,2489,2516,2566,2484,2497,2451,2453,2407,2388,2414,2357,2417,2365,2288,2267,2328,2339,2341,2375,2397,2396,2431,2335,2362,2430,2408,2405,2445,2409,2241,2306,2288,2314,2337,2368,2362,2472,2498,2466,2522,2492,2463,2460,2442,2425,2417,2373,2418,2315,2301,2300
"33","24","A     Petroleum and coal product manufacturing","KS324M0",5063,4912,5037,4955,5175,4975,4788,4922,4877,5007,4908,5070,4879,4881,4902,4755,4704,4469,4836,4805,4616,4493,5499,4807,4652,4662,4795,4585,4484,4512,4511,4498,4695,4805,4988,4856,5071,4907,4829,5102,5119,5022,4765,4732,4668,4460,4591,4249,4202,4300,4349,4383,4429,4611,4723,4695,4762,4900,4759,5040,4390,4726,4960,5139,4901,4823,4862,4788,4791,4825,4923,4765,5151,5109,4780,5111,5112,5071,4887,5096,5436,5049,4903,5222,5395,5608,5638,5694,5486,5379,5852,5583,5513,5566,5765,5525,5791,5606,5678,5513,5413,5260,5493,5741,5573,5782,5596,5952,5754,5966,6134,6322,6982,6495,6272,6272,6556,5696,5737,5598,5766,5954,5999,6252,6213
