"","Table 6#20B# Net Corporate Dividend Payments by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"32","25","    Nondurable goods","A3325C0B",1715,1760,1887,1835,1806,1937,1800,2032,2256,2432,2328,2515,2695,2500,3116,3049,3815,4705,4506,4464,4967,4914,4854,4326,4088,2612,-757,6881,4880,6865,8247,7523,8381,13199,13840,14722,13772,14128,14893,17549
"33","26","      Food and kindred products","B3326C0B",407,391,415,426,408,467,417,427,406,440,452,467,518,534,580,587,647,749,770,746,810,784,868,839,878,881,1050,1125,1339,1394,1473,1238,2023,1940,1773,2527,1850,2075,2544,4101
"34","27","      Tobacco manufactures","B3327C0B",84,88,90,89,91,94,98,100,115,121,138,146,155,168,180,188,196,218,224,199,227,231,252,251,259,213,252,267,304,321,296,452,451,568,736,1178,1638,388,1259,79
"35","28","      Textile mill products","B3328C0B",254,190,219,213,163,151,119,135,137,136,111,119,127,118,133,135,153,170,188,194,227,208,219,178,189,197,187,163,164,196,192,357,170,284,184,222,154,273,418,343
"36","29","      Apparel and other textile products","B3329C0B",55,42,46,34,31,30,27,27,28,21,23,29,32,45,50,43,72,83,114,84,93,107,97,80,105,134,146,121,164,180,154,89,302,221,303,337,240,317,607,477
"37","30","      Paper and allied products","B3330C0B",145,118,154,185,170,194,202,220,267,255,243,246,248,259,275,266,314,336,355,363,372,385,408,372,413,421,441,482,650,506,517,530,715,713,757,947,1071,1282,1057,1074
"38","31","      Printing and publishing","B3331C0B",131,122,120,108,107,112,111,125,131,145,146,148,163,162,180,189,307,293,294,295,333,336,346,356,385,381,498,495,550,672,705,589,584,1181,1601,1369,1004,1734,1588,2277
"39","32","      Chemicals and allied products","B3332C0B",339,390,503,456,483,450,550,668,681,713,710,796,816,851,1235,968,1394,1938,1311,1326,1597,1428,1361,1435,1480,1494,1449,1720,2058,2258,2693,2973,3463,4124,4388,3693,4359,4977,4625,5847
"40","33","      Petroleum and coal products","B3333C0B",243,354,279,285,294,392,208,254,399,504,409,444,529,276,380,553,607,766,1085,1059,1137,1246,1115,628,179,-1327,-4998,2278,-595,1111,2121,1126,448,3972,3992,4116,3071,2962,2782,3140
"41","34","      Rubber and miscellaneous plastics products","B3334C0B",18,29,25,6,30,20,41,45,60,66,61,92,70,59,70,74,85,104,122,154,126,131,133,122,139,149,161,181,190,162,33,112,143,105,-78,152,280,9,53,110
"42","35","      Leather and leather products","B3335C0B",39,36,36,33,29,27,27,31,32,31,35,28,37,28,33,46,40,48,43,44,45,58,55,65,61,69,57,49,56,65,63,57,82,91,184,181,105,111,-40,101
"43","36","  Transportation and public utilities","A3336C0B",1052,1104,1387,1529,1636,1719,1877,2161,2332,2463,2599,2815,2950,3167,3264,3457,3847,4186,4505,4665,4933,4928,5052,5347,5915,6846,7362,7835,9591,10488,12170,13149,14837,17229,18232,21494,24922,26776,26411,27157
"44","37","    Transportation","A3337C0B",296,256,350,375,358,399,387,466,484,480,459,449,511,485,479,547,636,745,770,780,803,727,692,666,800,739,921,770,999,958,1142,1340,1595,1932,1881,2222,2440,2131,2179,1989
"45","38","      Railroad transportation","B3338C0B",197,152,200,250,241,260,266,305,332,333,282,269,291,297,291,318,373,408,432,370,388,352,344,349,419,410,478,327,529,452,556,558,822,893,797,1027,1058,896,775,812
"46","39","      Local and interurban passenger transit","B3339C0B",30,29,27,31,33,29,33,29,31,25,29,30,34,46,34,41,43,47,47,52,63,45,33,10,25,10,11,9,13,12,10,14,20,23,20,12,127,54,23,62
"47","40","      Trucking and warehousing","B3340C0B",19,21,26,22,20,27,24,29,27,30,28,38,36,41,43,46,53,80,83,85,86,82,88,78,116,95,126,149,123,175,199,174,260,315,353,406,397,481,626,555
"48","41","      Water transportation","B3341C0B",31,30,34,39,36,32,28,49,29,30,30,30,38,20,34,32,37,30,28,24,28,18,3,30,33,27,60,32,40,7,-42,120,61,160,53,175,85,26,105,147
"49","42","      Transportation by air","B3342C0B",-1,-2,5,7,8,9,10,13,14,10,11,13,13,10,5,12,24,56,51,77,99,80,61,54,49,53,69,69,52,50,108,160,74,174,177,135,190,219,220,65
"50","43","      Pipelines, except natural gas","B3343C0B",9,15,47,16,10,31,14,25,31,32,57,47,74,45,36,77,80,95,103,117,109,109,129,115,119,112,102,119,170,195,235,218,201,220,265,358,344,395,380,381
"51","44","      Transportation services","B3344C0B",11,11,11,10,10,11,12,16,20,20,22,22,25,26,36,21,26,29,26,55,30,41,34,30,39,32,75,65,72,67,76,96,157,147,216,109,239,60,50,-33
"52","45","    Communication","A3345C0B",217,236,289,321,361,415,462,513,621,700,724,867,872,985,1060,1103,1283,1336,1496,1561,1654,1751,1846,1950,2083,2309,2607,2753,3255,3650,4206,4775,4995,5553,6563,7452,9080,10275,10482,11033
"53","46","      Telephone and telegraph","B3346C0B",208,231,273,314,353,409,455,501,605,676,704,831,839,945,1001,1048,1229,1265,1433,1487,1589,1662,1752,1864,2010,2230,2505,2657,3128,3467,4006,4565,4759,5311,6187,6843,8482,9674,9916,10696
"54","47","      Radio and television","B3347C0B",9,5,16,7,8,6,7,12,16,24,20,36,33,40,59,55,54,71,63,74,65,89,94,86,73,79,102,96,127,183,200,210,236,242,376,609,598,601,566,337
"55","48","    Electric, gas, and sanitary services","B3348C0B",539,612,748,833,917,905,1028,1182,1227,1283,1416,1499,1567,1697,1725,1807,1928,2105,2239,2324,2476,2450,2514,2731,3032,3798,3834,4312,5337,5880,6822,7034,8247,9744,9788,11820,13402,14370,13750,14135
"56","49","  Wholesale trade","B3349C0B",365,316,379,349,311,243,217,214,246,250,227,235,261,281,317,221,365,428,506,516,534,551,526,556,654,1144,2146,2681,2669,3622,3934,4897,5958,5835,7182,7714,7129,7117,6178,5467
"57","50","  Retail trade","B3350C0B",558,511,582,545,529,507,498,543,554,552,531,596,628,667,707,717,859,954,999,1071,1306,1268,1193,1395,1381,1527,1599,1747,1895,1922,2265,2380,2848,3009,2951,4912,4310,4387,4534,4967
"58","51","  Finance, insurance, and real estate","A3351C0B",518,567,688,560,590,700,674,663,664,819,916,1140,1207,1180,999,1432,1307,1074,1372,1423,1653,1875,2491,2640,2769,2963,2404,2252,2784,3606,4412,4537,3316,7202,8902,10295,14450,17011,19071,21184
"59","52","    Banking","A3352C0B",296,328,380,374,394,423,453,498,520,576,642,721,736,764,828,834,914,995,1067,1121,1272,1276,1540,1635,1644,1634,2086,2062,1815,2386,2673,3172,2651,2407,4071,5327,5229,6259,6748,7523
"60","53","      Federal Reserve banks","B3353C0B",12,12,13,14,15,16,16,18,19,20,21,11,14,18,24,29,31,32,34,35,37,39,41,44,46,49,53,55,57,60,63,67,70,75,79,85,93,103,110,117
"61","54","      Commercial and mutual banks","B3354C0B",284,316,367,360,379,407,437,480,501,556,621,710,722,746,804,805,883,963,1033,1086,1235,1237,1499,1591,1598,1585,2033,2007,1758,2326,2610,3105,2581,2332,3992,5242,5136,6156,6638,7406
"62","55","    Credit agencies other than banks","B3355C0B",95,89,110,109,142,179,173,166,173,215,186,213,268,326,305,323,277,321,276,278,376,389,370,334,364,356,409,544,558,547,759,577,561,1356,461,334,1435,1488,1919,1487
"63","56","    Security and commodity brokers","B3356C0B",-2,-3,-3,-5,0,-4,-3,-3,-7,-1,1,0,10,15,9,5,8,18,21,22,24,30,31,28,48,30,5,22,50,52,73,101,96,123,211,89,172,23,448,569
"64","57","    Insurance carriers","B3357C0B",-43,-1,-7,-82,-99,-36,-59,-99,-140,-117,-72,-41,-69,-114,-162,-190,-211,-188,-164,-223,-294,-99,3,-76,-122,-374,-946,-880,-191,-698,-204,-419,-1250,402,488,-433,1235,887,1744,3614
"65","58","    Insurance agents, brokers, and service","B3358C0B",16,12,14,12,9,13,10,9,11,9,8,15,21,23,15,38,49,49,48,54,61,41,96,73,71,239,68,149,148,180,216,311,316,317,347,280,509,345,639,647
"66","59","    Real estate","B3359C0B",195,201,209,194,182,192,171,179,204,189,199,248,252,250,233,314,312,395,295,366,524,498,415,448,499,606,482,419,504,827,729,697,645,1393,1656,2226,3145,3308,3638,1823
"67","60","    Holding and other investment offices","B3360C0B",-39,-59,-15,-42,-38,-67,-71,-87,-97,-52,-48,-16,-11,-84,-229,108,-42,-516,-171,-195,-310,-260,36,198,265,472,300,-64,-100,312,166,98,297,1204,1668,2472,2725,4701,3935,5521
"68","61","  Services","A3361C0B",129,137,121,131,133,108,105,112,122,121,116,131,191,122,125,201,204,241,298,403,457,470,429,415,496,619,624,665,923,1173,1195,1471,1385,1970,2536,2465,2330,2361,3161,5161
"69","62","    Hotels and other lodging places","B3362C0B",19,16,19,17,24,16,16,27,22,19,14,19,16,16,10,17,21,36,32,90,60,70,86,91,77,133,82,41,50,88,103,194,191,297,332,428,303,273,321,1518
"70","63","    Personal services","B3363C0B",13,13,14,11,12,11,12,13,16,14,11,17,26,25,23,42,32,34,43,46,70,55,38,32,31,53,60,53,103,67,86,127,96,111,85,109,52,145,97,236
"71","64","    Business services","B3364C0B",27,32,32,30,31,31,28,31,34,47,46,53,102,26,43,65,65,88,117,137,155,156,151,113,135,140,177,219,267,376,266,350,365,534,723,471,809,710,784,1516
"72","65","    Auto repair, services, and parking","B3365C0B",2,2,3,2,2,6,2,3,5,5,8,7,10,17,10,19,21,24,30,24,13,31,31,24,44,34,33,31,23,44,57,52,125,126,113,200,153,232,358,328
"73","66","    Miscellaneous repair services","B3366C0B",1,1,2,3,2,1,1,3,2,2,1,1,2,3,2,3,4,5,9,5,6,11,8,9,9,4,14,8,9,9,30,12,-3,38,38,4,180,76,61,45
"74","67","    Motion pictures","B3367C0B",45,52,29,43,36,21,19,10,14,8,10,-2,6,-12,-1,0,5,-24,-13,-2,18,41,-1,10,10,13,22,15,34,67,89,89,105,45,163,45,73,65,339,204
"75","68","    Amusement and recreation services","B3368C0B",15,15,16,17,16,14,19,16,18,14,14,22,16,28,22,20,27,38,32,31,50,45,52,54,73,115,97,72,77,128,149,119,111,201,124,149,117,103,237,237
"76","69","    Other services","A3369C0B",7,6,6,8,10,8,8,9,11,12,12,14,13,19,16,35,29,40,48,72,85,61,64,82,117,127,139,226,360,394,415,528,395,618,958,1059,643,757,964,1077
"77","70","      Health services","B3370C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,11,12,28,43,21,32,49,45,61,57,92,155,144,199,212,193,336,403,423,392,520,627,736
"78","71","      Legal services","B3371C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,-1,3,0,1,9,4,6,6,6,7,9,12,26,62,60,43,78,55,16,47,41,55
"79","72","      Educational services","B3372C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,7,6,4,9,4,8,2,8,3,2,6,8,18,48,22,28,60,13,16,16,31,47
"80","73","      Other \1\","B3373C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,24,30,35,38,30,19,21,64,52,73,125,190,230,172,206,120,211,417,568,219,174,265,239
"81","74","Rest of the world","A3374C0B",836,832,984,1162,1099,1135,1422,1579,1813,1886,1734,1862,1956,2395,2671,2674,3203,3331,2842,3180,3368,3836,3936,4690,4894,6800,9765,6556,8959,11079,11184,16041,16748,15445,16384,12395,12556,12034,18007,16563
"82","75","  Receipts from the rest of the world \2\","B3375C0B",1071,1118,1292,1498,1422,1462,1740,1928,2181,2267,2133,2293,2433,2884,3178,3240,3784,4046,3625,3948,4233,4849,5046,6065,6531,8556,11618,8622,11676,14149,14721,19908,21492,20732,23853,19772,19915,21189,27994,27768
"83","76","  Less: Payments to the rest of the world \3\","B3376C0B",235,286,308,336,323,327,318,349,368,381,399,431,477,489,507,566,581,715,783,768,865,1013,1110,1375,1637,1756,1853,2066,2717,3070,3537,3867,4744,5287,7469,7377,7359,9155,9987,11205
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services, membership organizations, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," 2. Consists of (1) receipts by U.S. residents of dividends from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","foreign corporations, plus (2) earnings distributed by unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","foreign affiliates to their U.S. parents.  Prior to 1982, all earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","unincorporated foreign affiliates were treated as distributed.  Reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","earnings of unincorporated foreign affiliates were $1,571 million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92"," 3. Consists of (1) payments by U.S. corporations of dividends to foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","residents, plus (2) earnings distributed by unincorporated U.S. affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","to their foreign parents.  Prior to 1980, all earnings of unincorporated U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","affiliates were treated as distributed.  Reinvested earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","U.S. affiliates were -$123 million in 1980, -$163 million in 1981, and -$735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
