"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Durable goods manufacturing industries","KS30D0",270110,270994,271080,272935,274475,275372,277440,278397,279402,281655,280984,284054,286983,289645,292012,293683,294764,296549,296737,298196,299091,301471,302126,301451,299866,300990,303222,302435,302667,302206,304620,303876,305121,304509,306793,308625,307328,308904,308182,309735,308815,310964,311542,313203,312208,314000,316282,315734,317355,315376,311954,311930,310668,308629,306205,304712,302602,300832,298091,294909,293883,292715,290579,290140,288642,288781,288094,288251,287962,287710,286454,289113,287910,290722,289660,289397,289262,286989,285146,284246,282719,283486,282144,283791,282896,282987,282995,282792,282979,284600,285845,286317,285375,286122,287888,287806,290772,293323,294766,295165,296241,296196,299300,299294,299547,301571,303825,304391,305646,304846,306375,308096,308494,309377,311357,311500,313508,315332,315653,316044,318039,318679,318748,319504,320297,320458,320285,320416,322064,323021,324246,327158,327243,326778,327063,325604,324003,322193,321819,321966,320634,321715,322952,323537,324080,322461,318187,316460,314439,310265,308777,305625,303090,302756,302781,301483,301784,303557,304055,305300,306984,309760,310992,313133,315163,316634,318528,320004,321698,323548,326818,328568,331223,332117,334427,336612
"12","4","    Wood product manufacturing","KS3210",8763,8830,8776,8799,8761,8777,8905,9092,9270,9390,9407,9320,9188,9223,9202,9339,9486,9387,9500,9623,9733,9871,9974,9851,9993,9968,9924,9842,9902,10008,10258,10229,10066,10149,10273,10523,10712,10699,10637,10743,10586,10729,10796,10736,10606,10731,10726,10706,10681,10582,10428,10381,10558,10789,10776,10695,10682,10587,10454,10154,10319,10267,10441,10400,10481,10470,10387,10422,10639,10644,10662,10479,10588,10777,10727,10707,10531,10369,10257,10112,10090,10199,10351,10340,10325,10571,10822,10989,11051,10909,10906,11016,11286,11154,11252,11098,11606,11738,12017,11986,11874,11806,11716,11664,11691,11872,11820,11880,11637,11827,11751,11878,11991,12122,12069,12164,12136,11978,11842,11843,11774,11717,11683,11573,11590,11590,11557,11463,11303,11260,11180,11167,11034,10571,10303,10138,10090,10191,10243,10179,10200,10195,9965,9724,9619,9219,9001,8813,8515,8339,8274,8233,8078,7914,7804,7814,7873,8009,8045,8014,8125,8178,8110,8105,8192,8143,8131,8206,8339,8417,8325,8307,8333,8228,8231,8279
"13","5","    Nonmetallic mineral product manufacturing","KS3270",11257,11312,11287,11370,11403,11447,11366,11344,11323,11235,11307,11375,11375,11401,11421,11391,11379,11345,11300,11313,11359,11356,11411,11325,11338,11276,11169,11120,11231,11154,11194,11456,11444,11554,11495,11606,11659,11652,11454,11627,11558,11553,11536,11584,11589,11527,11599,11777,11728,11628,11649,11599,11499,11550,11477,11421,11451,11440,11372,11220,11093,11003,11015,11038,11005,11156,11082,11160,11199,11303,11323,11393,11320,11520,11683,11699,11791,11809,11777,11672,11610,11438,11227,11240,11237,11297,11337,11333,11410,11357,11342,11408,11353,11611,11641,11557,11592,11657,11613,11575,11589,11635,11703,11679,11590,11588,11587,11666,11734,11701,11687,11808,11762,11805,11908,11944,12070,12157,12165,12135,12122,12194,12206,12257,12295,12260,12233,12286,12342,12349,12355,12474,12445,12430,12488,12476,12417,12371,12304,12255,12219,12237,12137,12126,12121,11870,11691,11512,11332,11163,10931,10720,10626,10511,10305,10145,10077,10057,10106,9994,9996,10020,10067,10031,10089,10078,10139,10125,10111,10140,10144,10182,10206,10253,10224,10292
"14","6","    Primary metal manufacturing","KS3310",25689,25877,26278,26131,26259,26390,26414,26644,26679,26864,26968,27151,27356,27178,27206,27433,27640,27920,28187,28562,28875,28855,28957,28968,28975,28880,28612,28587,28957,28903,28969,29010,28920,29089,29291,29410,29542,29327,29155,29243,29211,29051,29131,28972,28949,29007,28858,28661,28626,28330,27955,27764,27325,26914,26641,26469,26433,26435,26157,25927,25554,25316,25019,24960,24871,25193,25153,25452,25495,25577,25742,25800,25862,26005,25796,25650,25498,24771,24433,24349,23926,23652,23762,23540,23717,23723,23912,23899,23916,24221,24303,24776,25156,25928,26199,26271,26917,27093,27594,27598,27791,27723,27712,27686,27516,27540,27614,27834,28028,28152,27940,27998,28111,27932,28055,28284,28903,29255,29128,29031,29076,29074,29212,29146,28905,29117,29305,29127,28786,28590,28745,29071,29017,28914,28918,28794,28836,28678,28697,29093,28904,28874,28574,28058,27606,26984,25931,24913,24136,23456,22876,22526,22241,21710,21381,21243,21315,21530,21728,22220,22813,22860,23023,22962,22824,22919,23148,23335,23638,23886,24138,24423,24678,24723,24927,25101
"15","7","    Fabricated metal product manufacturing","KS3320",35433,35515,35747,35837,35904,36265,36205,36246,36331,36420,36602,37009,36939,37156,37164,37439,37401,37991,37711,37843,37981,37987,38139,38076,38259,38009,38169,38274,38354,38059,38280,38258,38433,38664,38814,38953,39055,39093,38938,39076,39422,39687,39672,39839,39758,39861,40054,39934,40167,39839,39680,39645,39774,39541,39258,39258,39315,39364,39013,38513,38512,38280,38245,38162,37541,38367,37978,38091,38275,38111,38039,38143,37774,39294,39466,38745,38662,38336,37680,37502,37255,37334,37462,37373,37259,37342,37309,36989,37188,37266,37475,37579,37353,37076,37125,37302,37542,37999,38266,38514,38913,38879,39153,39204,39116,39104,39491,39590,39947,39987,40084,40089,40054,40174,40201,40410,40602,40775,40880,41148,41594,41552,41500,41556,41413,41374,41303,41005,41224,41549,41456,41875,41925,41912,41703,41546,41326,40801,40915,40865,40837,40962,41443,41532,41686,41627,41066,40478,40037,39372,38978,38427,37952,37613,37552,37098,37095,36909,37122,37028,36726,37069,37225,37362,37329,37396,37491,37519,37638,37663,37816,38001,38396,38396,38554,38743
"16","8","    Machinery manufacturing","KS3330",40227,39861,39794,40233,40442,40595,40460,40426,40383,40794,40970,41229,41323,41999,41989,41893,41843,41763,42078,42434,42672,42591,42902,42475,42704,42411,42481,42684,42501,42037,42256,42042,42017,42397,42639,42647,42739,43168,42799,43758,43332,43764,44209,44634,44516,45108,45034,45547,45724,45162,45183,44954,44199,43744,43252,42612,42369,41652,41139,40782,40569,40442,40549,40360,40180,39773,39838,39657,39544,39458,39310,40050,39500,39545,39106,39165,38969,38607,38301,37986,37828,38019,37532,37953,37778,37740,37625,37443,37625,37860,37929,37944,37717,37408,37850,37869,38197,38409,38538,38965,39158,39085,39633,39876,39937,40034,40287,40472,40730,40644,40937,41161,41419,41378,41478,41630,42215,42401,42184,42972,43057,43205,42955,43100,43103,43098,43519,43478,43771,43950,43848,43733,43847,43837,44253,43826,43393,42912,43033,42869,42969,43252,43716,44156,45037,44381,43591,43330,42858,42335,41489,41182,40605,40126,39871,39447,39119,38910,38940,39008,39098,39252,39914,40290,40540,40935,41258,41217,41570,41756,42337,42627,43153,43324,43821,44448
"17","9","    Computer and electronic product manufacturing","KS3340",38083,38240,38533,39196,39800,40309,41639,42147,42512,42978,43396,43741,44211,44771,45530,45761,45770,45605,44952,44733,44488,44723,44588,44132,43956,44768,46200,46356,46434,46677,46380,46691,46886,46226,46594,47694,47209,47941,48407,49314,50328,51417,52182,53477,52882,54403,56311,57131,58135,58213,56914,56457,56412,56304,55242,54829,53150,52325,51983,50525,50736,50180,49890,49752,49422,48922,48787,48781,48187,47900,47775,47282,47236,47680,47770,47795,47980,47873,47898,47760,47806,48353,48344,49018,48289,48244,48974,49446,49493,50182,50487,50455,50495,51148,51005,51178,51818,51857,51590,51673,51952,51943,52690,52763,53103,53676,54503,54313,54889,53721,54519,54928,54798,54807,55088,55322,54960,55032,55210,54790,55563,55576,55605,55624,55923,55697,54509,54755,55645,55866,56095,56269,56275,56669,57080,57141,57114,56851,57060,57488,57437,57748,57845,58081,57793,58011,57365,57988,57824,57130,56987,56924,57425,57472,57676,58184,57708,58028,57875,58025,58573,59776,59863,60186,60433,61031,60877,60672,60548,60918,61490,62178,62332,62390,62707,62585
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",14588,14717,14761,15001,15154,15239,15417,15411,15412,15379,15422,15418,15549,15588,15672,15574,15501,15515,15601,15720,15724,15856,15892,15884,15736,15674,15668,15763,15785,15773,15738,15654,15896,15950,15931,15845,15876,15970,15842,15919,15983,15982,16174,16478,16600,16720,16555,16772,16695,16798,16670,16613,16390,16127,15798,15826,15753,15836,15637,15653,15542,15590,15520,15571,15532,15476,15512,15395,15405,15361,15346,15211,15225,15165,15130,15115,15098,14965,14797,14728,14641,14645,14668,14683,14633,14383,14384,14273,14393,14464,14504,14638,14585,14429,14338,14316,14342,14339,14409,14479,14419,14356,14317,14277,14397,14353,14314,14334,14484,14438,14548,14527,14378,14503,14576,14813,14603,14634,14702,14979,14995,15039,15042,15038,15008,14909,15012,15091,14938,15307,15553,15644,15773,15919,15669,15760,15556,15605,15461,15472,15475,15594,15591,15522,15255,15163,15060,14891,14777,14511,14342,14168,13992,13799,13763,13669,13737,13697,13750,13723,13834,14009,14130,14300,14396,14423,14369,14268,14197,14269,14251,14283,14297,14248,14183,14218
"19","11","    Transportation equipment manufacturing","KS3360",75889,76496,75625,76073,76178,75434,75861,75459,75693,76549,74573,76363,78518,79595,80709,81609,82414,84055,84449,85289,85677,87622,87651,88471,86599,87339,87790,86441,86123,86216,88261,87168,87798,86922,88021,87778,86275,86532,86109,84944,82913,82985,81791,80794,80546,79489,79487,77542,77455,76414,75183,76539,76397,75497,76049,76043,76208,76426,75696,75698,75162,75302,73671,73656,73252,73143,72994,73061,72667,73066,72178,74465,74033,74409,73501,74013,74130,73488,72973,73142,72781,72914,71897,72264,72355,72395,71451,71532,70904,71153,71697,71220,70263,69911,71077,70767,71407,72768,73280,72654,72893,72892,74222,73546,73572,74700,75177,75105,75002,75208,75713,76442,76747,77507,78571,77274,78113,79089,79572,78989,79784,80189,80553,81634,82155,82463,82726,83239,84160,84144,84963,86800,86762,86549,86846,86181,85598,85117,84396,84127,82897,83175,83902,84505,84994,85425,84798,85214,85807,85009,86286,85050,84066,85766,86723,86488,87399,88915,89008,89538,89998,90776,90653,91704,93054,93494,94855,96091,96884,97779,99629,99952,101216,102027,103231,104204
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",24551,24852,25039,25323,25736,24991,25139,25097,25447,25026,24846,24978,25201,25172,25737,25123,24995,25542,25044,24745,25018,24984,25629,25696,25419,25236,26133,25612,25586,25932,26330,26326,26188,26417,27136,27392,27202,27356,26986,27097,27342,27323,27430,27430,27415,27520,27426,27122,26754,26422,25866,26274,25978,25834,25671,25304,25095,25003,24458,24361,23975,23810,23990,24577,24766,24938,25327,25120,25635,25754,25485,25552,25439,26044,25576,25775,25747,25705,25816,26064,25815,25809,25865,26119,26536,26426,26315,26077,25860,26304,26161,26182,26532,26368,26609,26297,26661,26830,27197,27125,26991,27247,26889,26976,26553,27204,27401,27059,27037,27089,27195,27323,27308,27448,27487,27408,27204,27533,27954,27698,27851,27815,27541,27383,27546,27428,27580,27301,27276,27156,26784,26776,26582,26310,26360,25871,25451,25293,24825,24512,24184,24304,23909,23389,23124,23052,22682,22470,22363,21205,21159,21079,20952,20953,20989,21365,21418,22657,22623,22836,23050,23052,23200,23474,23470,23705,24079,24007,24077,24360,24344,24319,24429,24470,24835,25081
"21","13","      Other transportation equipment manufacturing","KS3OT0",51244,51545,50473,50632,50314,50330,50608,50248,50124,51421,49613,51282,53224,54335,54872,56409,57353,58444,59357,60508,60614,62598,61970,62719,61123,62043,61599,60772,60479,60227,61874,60782,61551,60446,60826,60328,59015,59115,59062,57786,55519,55607,54312,53320,53089,51933,52023,50383,50662,49954,49277,50223,50376,49619,50333,50695,51069,51380,51192,51290,51135,51433,49635,49042,48455,48175,47642,47911,47012,47291,46670,48878,48558,48339,47895,48208,48351,47754,47135,47060,46945,47083,46020,46136,45820,45965,45138,45449,45038,44849,45528,45032,43738,43547,44471,44471,44747,45942,46086,45532,45907,45650,47335,46575,47019,47498,47777,48047,47965,48120,48518,49119,49438,50059,51089,49865,50915,51561,51621,51294,51934,52377,53018,54263,54622,55048,55157,55952,56903,57007,58210,60065,60220,60279,60523,60355,60200,59876,59633,59685,58774,58931,60065,61195,61951,62455,62198,62827,63526,63878,65198,64043,63186,64879,65798,65193,66049,66333,66461,66778,67022,67801,67529,68308,69662,69867,70854,72164,72890,73501,75371,75720,76878,77652,78490,79219
"22","14","    Furniture and related product manufacturing","KS3370",7927,7878,7863,7833,8025,8014,8061,7964,7989,7959,7989,8069,8034,8080,8077,8160,8235,8161,8150,8148,8170,8211,8210,8189,8222,8227,8238,8209,8229,8249,8311,8330,8280,8425,8443,8556,8614,8677,8691,8669,8718,8778,8760,8877,8926,8902,8968,8858,8918,8914,9139,9034,8891,8770,8641,8554,8608,8565,8537,8379,8377,8369,8336,8300,8379,8429,8503,8541,8785,8762,8794,8820,8907,8796,8803,8764,8706,8655,8709,8542,8331,8358,8378,8406,8473,8428,8306,8383,8399,8488,8546,8627,8597,8682,8641,8694,8680,8710,8713,8724,8734,8756,8763,8803,8884,8845,8997,9029,9021,8976,9105,9060,9026,9067,9048,9121,9141,9195,9228,9067,9072,9084,8959,8965,8989,8994,8967,8929,8915,8939,8927,8930,8871,8755,8705,8594,8611,8509,8507,8460,8428,8326,8269,8242,8231,8085,8022,7866,7770,7645,7572,7524,7478,7422,7398,7384,7376,7439,7425,7604,7669,7702,7750,7832,7894,7944,7990,8005,8079,8036,8014,7995,7967,7958,7970,8001
"23","15","    Miscellaneous durable goods manufacturing","KS3390",15613,15613,15655,15461,15355,15539,15177,15529,15547,15733,15804,15892,15973,16024,16212,16257,16313,16236,16509,16431,16490,16455,16561,16367,16410,16469,16538,16685,16744,16587,16579,16563,16891,16895,17023,17089,17269,17271,17372,17506,17595,17599,17728,17975,18131,18236,18223,18148,18360,18523,18385,18231,18422,18486,18290,18265,18258,18002,17867,18020,17866,17862,17809,17868,17899,17995,17994,17882,18103,17908,17723,17985,17964,18104,18231,18205,18293,18396,18492,18604,18528,18559,18549,18903,18823,18853,18838,18420,18529,18625,18573,18608,18548,18775,18764,18754,18669,18754,18749,18996,18919,19123,19385,19792,19735,19857,20045,20168,20171,20158,20098,20234,20240,20150,20446,20573,20732,20755,20705,21011,20959,21011,20980,20594,20982,20984,21049,20999,21085,21178,21234,21292,21386,21359,21325,21383,21304,21443,21481,21413,21514,21642,21834,22004,22157,22269,22306,22266,22276,22233,22055,21976,21888,21816,21809,21656,21671,21704,21633,21703,21726,21824,21911,22049,22159,22082,22027,22292,22359,22366,22405,22387,22351,22288,22316,22393
