"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252"
"11","3","Net value added","A439RC1",111.2,115.9,118.3,123.7,130.6,133.5,135.7,137.7,134.5,130.3,131,126.8,134.1,143.5,155.1,162.7,167.3,169.7,171.3,174.5,175.3,174.1,176.5,188.3,192.4,194.4,193.6,185.1,184.9,185.3,187.2,194.5,204.1,210.8,215.6,221.1,222.3,225.5,226.8,233.1,237.5,237.4,238.2,232.5,224,222.7,231.1,242.8,252.5,264.3,260,263.4,273.5,271.1,270.4,267.3,266.5,274.7,281.1,290.5,297.7,302.3,306.6,310.9,314,321.4,326.5,332.2,341.1,347.1,354.6,358.8,372.8,379.9,387.3,399.8,411.1,418.4,424.3,431.7,433.7,437.2,446,457.8,470.2,485.1,496,508.9,519.4,529,538.4,543.1,541.2,548,554.8,551.5,575.6,587.6,598.1,611.6,632.4,646.4,662.5,689.4,714.5,726.9,741.8,763.3,768.2,786.6,803.1,808.8,809.7,829,870.2,897.4,935.2,948,968.8,988.4,1017.2,1073.2,1117.6,1143.3,1158.6,1235.9,1260.3,1306.8,1332,1357.4,1385.4,1418.8,1452.8,1442.3,1480.8,1567.4,1626.1,1665.6,1730.9,1729.4,1722.4,1745.6,1756.8,1751,1791.3,1854.5,1913.8,1980.2,2056.4,2114.1,2145.3,2184.6,2213,2243.8,2284.3,2304.3,2341.1,2347.3,2365.4,2407.8,2449.6,2510.9,2570.7,2620.5,2665,2727.3,2775.6,2841.4,2862.8,2875.7,2900.2,2922.9,2969.1,3033.1,3036,3019.7,3037.3,3059.2,3086.2,3109.9,3181.2,3216.8,3235.6,3303.9,3309,3385.5,3413.5,3506,3539.5,3616.2,3677.1,3754.6,3789,3830.9,3912.1,3938.4,4003.7,4083,4141,4223.9,4308.6,4374.1,4478.8,4558.5,4611.6,4675.9,4775.3,4835.8,4942.5,4981.1,5035.9,5132.5,5297.5,5334.4,5405.3,5409.9,5412.9,5392.4,5258.5,5323.7,5397.4,5474.7,5507.6,5555.1,5605.8,5646.5,5730.5,5805.4,5917.6,6041.7,6136.3,6296,6432.3,6535.4,6540.7,6780.5,6958.8,7029.3,7127.9,7162.8,7192.6,7281.6,7284.2,7241.4,7254.5,7227.9,7264.7,6925.7,6896
"12","4","  Compensation of employees","A442RC1",79.2,80.5,82.8,86,89,89.8,92.6,93,91.1,89,88.1,87,90.6,95.6,101.6,106.7,111.3,114.5,115.4,117,119.9,120.1,122.5,129.5,132.4,134.9,135,133.6,131.8,131.1,131.3,134.7,138.3,142.9,146.6,150.7,153.8,156.8,158.6,163.4,165.7,166.5,167.7,166.1,162,160.2,164.3,169.4,174.6,181.1,181.5,184,190.1,191.6,191.1,190,189.8,193.3,197.1,202,205.9,210.5,212.7,214.8,217.3,220.9,224.3,228.1,232,236.9,241.9,246,251.6,256.3,261.7,269.8,277.5,285.7,292.8,298.2,301.3,304.3,310.7,317.3,327.3,336.6,345.6,355.7,363.7,374.1,384.3,392.3,396.4,398.3,403.4,402.8,412.8,421.7,428.4,438.2,453.7,466,476.3,494.1,511.9,526.5,540.5,556.5,567.2,582.4,598,602.1,596.3,601,620,642.2,667.5,685.1,704.5,723.6,742.9,773.7,798.3,824.1,847.3,889.7,918.1,952.7,983.3,1007.8,1037.1,1065.2,1093.5,1102.7,1123.6,1170.6,1205.7,1231.7,1261.8,1276.2,1284.6,1294.4,1304.3,1306.5,1320,1349.8,1383.4,1431.7,1468.9,1506.9,1539.1,1566.3,1590.9,1615.6,1640.9,1676.2,1698.4,1710.6,1735.2,1770.1,1801.4,1830.3,1863,1904.5,1933,1975,2006.7,2040.9,2069.7,2082.6,2101.3,2136.6,2168.7,2206.6,2229.8,2227.3,2217.8,2239.7,2264.5,2290,2327.8,2360.7,2393.3,2426,2442.1,2477.3,2504.6,2532.8,2581.2,2616.7,2643.3,2690.7,2733.6,2756.6,2789.8,2816.6,2838.3,2895.7,2942,2988.4,3051.8,3090.7,3141.8,3215.6,3306.2,3367,3427.9,3489.5,3580.2,3610,3658.4,3732.1,3891.4,3914.9,3994.8,4029.7,4039.9,4026.7,4007.3,3992.7,4005.2,4050,4060.8,4061.9,4076.1,4131,4183.6,4237,4246,4308.9,4390.8,4465.1,4496.5,4549.9,4643.4,4715.4,4800.2,4829.8,4876.3,4998.4,5045.1,5075.5,5125.4,5194.4,5222.3,5219.5,5246.3,5210.4,5134
"13","5","    Wage and salary accruals","A443RC1",75.2,76.5,78.6,81.7,84.8,85.6,88.4,88.7,86.8,84.6,83.6,82.5,85.5,90.2,95.8,100.5,104.6,107.6,108.3,109.7,112.5,112.7,115,121.7,124.4,126.7,126.8,125.3,123.2,122.6,122.6,125.9,129,133.2,136.6,140.5,143.1,145.8,147.3,151.8,153.5,154.1,155.1,153.4,149.6,147.8,151.8,156.4,161.1,166.5,166.5,168.5,174,175.2,174.8,173.8,173.6,176.7,180,184.4,187.5,191.5,193.3,195,197.2,200.3,203.4,206.8,210.3,214.7,219.2,222.9,228,232.1,236.8,243.7,249.8,256.8,262.8,267.6,270.8,273.5,279.2,284.8,293.3,301.3,309.1,318,325.1,334.1,343,349.9,353.2,354.4,358.6,357.7,366.1,373.4,378.7,386.6,399.5,409.6,417.7,432.3,446.7,458.5,469.9,483.2,492.3,505,517.8,520.5,514.3,517.3,532.2,549.9,569.7,583.3,598.3,613.4,629,654,673.6,694.2,712,746.3,769.2,797.6,823.6,844.1,868.5,891.7,914.4,921.8,938.8,977.6,1006.8,1027.7,1051.9,1062.6,1067.4,1074.4,1081.8,1083.2,1094.2,1118.8,1146.8,1187.3,1218.9,1251.3,1279.4,1303.3,1325.3,1347,1368.8,1398.3,1415.5,1425.5,1445.8,1475,1505.4,1530.1,1558,1591.7,1618.4,1653.3,1680.3,1709.2,1732,1742.6,1757.9,1786.4,1816.1,1846.3,1863.9,1859.3,1845.5,1860.8,1878.3,1896.5,1926.5,1950.1,1974.2,1998.1,2010.4,2037.3,2057.8,2079.5,2117.8,2147.3,2171.3,2215.2,2252.8,2280.6,2316.9,2347.2,2365.2,2419.6,2464.2,2507.7,2557.2,2601.6,2653.7,2723.1,2787.9,2840.6,2893.9,2948.6,3023,3048.5,3091.5,3158.3,3288.7,3305.4,3375.4,3402.7,3404.9,3388.1,3364.2,3345.1,3319.6,3335.9,3330.4,3322.4,3327.1,3373.9,3419.3,3464.4,3470.1,3522.1,3592.1,3656,3678.7,3722.8,3805.8,3871.6,3943.4,3970.8,4012.4,4125.2,4166.2,4193.3,4236.8,4298,4316.6,4309.9,4333.3,4299.2,4219.2
"14","6","    Supplements to wages and salaries","A444RC1",4,4.1,4.2,4.3,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.5,5.1,5.4,5.9,6.2,6.7,7,7.1,7.3,7.4,7.4,7.6,7.8,8,8.1,8.3,8.3,8.5,8.5,8.6,8.8,9.3,9.7,10,10.2,10.7,11,11.3,11.6,12.2,12.4,12.6,12.7,12.4,12.4,12.6,13,13.5,14.6,15,15.5,16.1,16.3,16.3,16.2,16.2,16.6,17,17.7,18.4,19,19.5,19.8,20.1,20.6,21,21.3,21.7,22.2,22.7,23.1,23.6,24.2,25,26.1,27.6,28.9,29.9,30.7,30.6,30.9,31.6,32.4,34,35.3,36.5,37.8,38.7,40,41.3,42.4,43.2,43.8,44.8,45.1,46.7,48.3,49.7,51.6,54.2,56.5,58.6,61.8,65.2,68,70.6,73.4,74.9,77.5,80.2,81.6,82,83.7,87.7,92.3,97.8,101.9,106.2,110.3,113.9,119.8,124.7,129.9,135.3,143.4,148.9,155.1,159.7,163.8,168.6,173.5,179.1,181,184.8,193.1,198.9,204,210,213.6,217.3,220,222.5,223.2,225.8,230.9,236.6,244.5,250,255.6,259.7,263,265.6,268.6,272.2,277.9,282.9,285.2,289.4,295,296,300.2,304.9,312.8,314.5,321.7,326.4,331.7,337.8,340,343.5,350.2,352.6,360.3,365.9,368,372.3,378.9,386.2,393.5,401.3,410.5,419.1,428,431.7,440,446.7,453.3,463.4,469.4,472,475.5,480.9,476,472.9,469.3,473.1,476.1,477.8,480.7,494.7,489.1,488.1,492.5,518.3,526.4,534,540.9,557.2,561.5,567,573.9,602.8,609.5,619.4,627,635,638.6,643.1,647.7,685.6,714.1,730.4,739.4,749,757.1,764.2,772.6,775.9,786.8,798.7,809.1,817.9,827.1,837.6,843.9,856.8,859,863.9,873.3,878.9,882.3,888.6,896.4,905.7,909.6,913,911.2,914.8
"15","7","  Taxes on production and imports less subsidies","W321RC1",11.2,11.3,11.5,12.1,12.2,12.7,12.9,13.1,13.1,13.3,13.6,13.5,13.8,14.5,15.8,15.1,16.2,15.4,15.6,16.1,16.6,17.2,17.5,18,18.3,18.6,18.6,18.4,18,17.9,17.8,18.1,18.9,19.7,20.2,20.5,20.8,21.2,21.7,22.4,22.7,23,23.1,22.5,23,22.9,23.1,23.7,24.4,24.9,26,26.9,27.1,27.5,28.2,28.5,28.7,28.7,29,29.3,30,30.9,31.7,32.3,32.7,33,33.3,33.7,34.4,35.2,36,36.8,37.3,37.7,38.1,38.2,38.5,38.8,39,39.3,39.8,40.5,41.8,43.4,45.3,47.1,48.8,50.2,51.3,52.5,53.5,54.3,55.4,56.3,57.5,58.7,60.5,62.1,63.8,64.9,65.4,66.3,67.8,69.6,71.6,73.4,75.2,76.3,76.9,77.9,79,80.7,82.1,83.6,85.3,87,88.5,90.4,92.3,94.4,96.1,98.2,101.1,104.6,108.2,112.1,105.4,109.2,111.2,113.3,116.3,119.3,121.5,125,130.5,137.3,145.5,153.5,158,160.6,160.4,160,161,163.8,168.7,174.5,180.6,186,190.1,193.9,197.5,200.9,204,207.9,211,213.3,215.1,218,220.9,224.5,227.7,231.4,234.8,239.6,245.4,251.2,253.4,258,261.8,266.1,269.4,272.9,276,281.4,287.3,293.2,300.2,305.2,310.5,315.8,319.8,323.5,327.9,332.4,333.8,339.1,346.4,354.8,366.6,373.6,379.2,383,380.9,383.1,385.1,387.5,392.4,395.3,398.8,403.1,409,413.9,418.2,421.9,423.8,427.6,431.7,436.2,440.8,445.9,452,458.9,465.4,473.9,481.4,487.9,478.8,471.4,457.7,486.7,490.7,499.8,507.8,512.6,518.6,516.8,535.9,543.8,555.9,564,570.9,582.5,595.5,608.2,616.9,623.3,631.7,639.1,643.5,649,655.4,661.7,666.4,672.1,670.4,678.8,682,670.4,655.2
"16","8","  Net operating surplus","W322RC1",20.8,24.1,24,25.5,29.4,30.9,30.2,31.6,30.3,28,29.3,26.3,29.6,33.3,37.6,40.8,39.8,39.7,40.3,41.4,38.8,36.7,36.5,40.9,41.7,40.9,39.9,33.1,35.2,36.3,38.2,41.6,46.9,48.3,48.8,49.9,47.6,47.5,46.5,47.3,49.1,47.9,47.4,43.9,39,39.6,43.7,49.8,53.5,58.4,52.6,52.5,56.2,52,51.1,48.8,48,52.7,55,59.1,61.8,61,62.2,63.8,64,67.5,68.8,70.3,74.8,75.1,76.7,76.1,83.9,85.9,87.5,91.8,95.2,94,92.5,94.1,92.5,92.3,93.5,97.1,97.7,101.4,101.6,103,104.4,102.4,100.7,96.5,89.4,93.4,94,89.9,102.4,103.8,106,108.5,113.3,114,118.4,125.7,131,127,126.1,130.4,124.1,126.3,126,126.1,131.3,144.5,164.9,168.1,179.2,172.4,172,170.3,178.1,201.3,218.2,214.6,203.1,234.2,236.8,244.9,237.5,236.2,232.1,234.4,237.7,214.5,226.7,259.5,274.9,280.4,311,292.6,277.3,291.2,291.5,280.7,302.7,330.3,349.9,362.5,397.4,413.3,408.7,417.4,418.1,420.3,432.4,414.8,427.5,418.6,409.4,413.2,420.5,449.2,472.9,476.4,486.7,501.1,515.5,542.5,531.2,527,529.5,513.5,524.5,545.2,518.9,499.2,519.3,514.4,511.3,504.1,533.7,532.6,514.3,545.5,533,569,562.6,618.4,591.7,625.9,654.6,680.9,674.5,691.3,737.2,734.4,773.1,792,800.2,832.4,847.8,869.4,918.8,921,881.6,881.4,915.6,910,921.6,925.1,925.4,941.5,940.6,945.6,929.1,892.3,894.2,894.3,793.5,844.3,901.5,924.9,939,980.7,1011.2,998.7,1011,1024.6,1115.8,1168.8,1174.6,1248.5,1340.3,1377.3,1280.4,1441.8,1526.9,1560.4,1608.1,1515.4,1492.2,1544.4,1492.4,1374.9,1361.8,1329.6,1336.5,1044.9,1106.7
"17","9","    Net interest and miscellaneous payments","A453RC1",0.5,0.4,0.2,0.1,0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0.1,0.1,0.2,0.3,0.5,0.6,0.6,0.5,0.1,-0.2,-0.3,-0.4,-0.3,-0.3,-0.2,-0.1,0.2,0.3,0.5,0.6,0.7,0.8,0.7,0.7,0.5,0.4,0.3,0.3,0.6,0.7,0.9,1,1,1.1,1.3,1.5,1.8,2.1,2.4,2.9,3.6,4,4.2,4.2,3.8,3.8,3.8,4.3,5.9,7.1,8.5,9.5,10.2,11,11.8,12.1,11.8,11.6,11.4,11,11.1,11.1,11.4,11.7,11.7,12.3,13.4,14.8,17.5,19.8,21.7,23.9,24.6,23.8,23.2,22,19.6,19,18.3,18.3,20,22.4,24.6,26.4,26.4,27.2,27.6,28.9,30.8,32.9,35.5,40.4,49,53,56.5,65.3,66.4,73.9,84.2,86.6,90.3,92.4,89.6,87.7,86.3,84,86.7,89.3,91.9,97.6,102.8,103,99.5,97.1,93.9,97,104.8,107.4,108,107.9,107.6,107.6,108.4,109.6,106.4,105.5,108.8,114,125.6,129.6,131.7,130.5,129.2,127.8,124.9,119.4,111.9,104.9,99.1,91.1,86.1,80.4,76.6,74.2,74.4,72.2,70.6,71,73,74.3,76.1,76.2,70.3,67,64.5,63.8,63.9,67.2,71.3,77.6,83.6,89.8,98.8,109.4,128.9,142.3,150.6,151.3,138.6,138.9,142.4,149.5,169,176.8,183.2,183.3,184.8,174.8,165.9,159.7,147.8,135.2,131.7,128.9,170.4,137.2,95.7,79.7,72.3,68.8,67.8,72.6,77.9,81.4,84.8,88,91.5,94.9,95.9,98.3,98.1,100,100.1,103.6,100.6,105.2,102.5,109.2,106.2
"18","10","    Business current transfer payments","W323RC1",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,0.9,0.8,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1,2.3,2.4,2.4,2.5,2.6,2.7,3,3.1,3.3,3.3,3.3,3.2,3,3,2.9,3,3.1,3.2,3.3,3.4,3.6,3.8,3.9,4.1,4.4,4.4,4.4,4.4,4.4,4.1,3.6,3.4,3.6,3.5,3.5,3.6,3.8,3.9,4,4.1,4.5,5,5,5.3,5.9,6.4,6.9,7.3,8.1,8.7,8.7,8.7,8.5,8.2,7.7,7.1,6.6,6.2,6.3,6.5,7.4,8.1,8.8,9.6,10.7,11.4,11.8,12.1,12.3,12.6,12.8,14.4,15,15.2,15.8,16.4,17.5,17.9,18.2,18.6,18.9,19.7,20.9,22.8,25.9,27.8,29.3,30.3,31.5,36.3,31,30.4,37.5,29.1,27,26.9,26.3,26.4,24.8,25,24.8,25.9,27.8,30,32.5,33.3,43.3,36.7,35.1,34.7,34.6,35.2,35.6,34.7,34.5,38.4,33.6,33,80.6,36.6,36.2,33.6,32.7,32.2,67.1,30.2,31.5,31.9,35.5,37.3,38.7,44.8,41.1,41.2,40.7,57.5,33.8,33.5,39.2,38.7,49.6,51.4,54.2,65.8,52.8,53.5,59.2,59.7,70.1,74.3,78.8,83.4,90.8,107.5,59.6,92.8,79.3,72.6,66.4,62.1,66.5,64.1,62.1,59.1,61.4,60.4,93,60,58.4,56.8,106,52.6,51.7,53.5,58.9,61.9,74.4,74.7,80.4,81.6,66.1,64.7,97.6,67.1,67.2
"19","11","    Corporate profits with IVA and CCAdj","A445RC1",19.7,23.2,23.2,24.7,28.7,30.3,29.6,31,29.7,27.5,28.8,25.7,29.1,32.8,37,40.1,39,38.9,39.4,40.5,37.9,35.9,35.7,40,40.7,39.9,38.9,32.1,34.3,35.4,37.3,40.6,45.8,47,47.4,48.4,46.1,46,45,45.7,47.4,46.1,45.6,42,36.9,37.4,41.7,47.9,52,57.1,51.4,51.4,55,50.7,49.7,47.2,46.1,50.6,52.8,56.7,59.2,58.3,59.4,61,61.2,64.8,66.1,67.5,71.6,71.7,72.8,71.9,79.5,81.5,83,87.2,90.4,89,87.2,88.2,85.8,85.1,86,89.4,90.3,93.9,93.8,94.6,94.1,90.8,87.7,82.6,74.8,78.3,78.5,74.4,86.9,88.7,91.2,93.9,98.4,98.9,103,109.9,114.7,109.7,107.6,110.4,100.8,100.1,97.5,94.9,98.6,111.9,133,137.4,151.1,145.2,146,144.9,151.6,172.7,187.3,181.7,169.3,199,200.3,206.4,196,192,184.8,181.8,176.5,148.9,157.4,179.8,193.6,191.3,211.1,189.7,169.5,180.8,183.6,174.4,197.5,226.5,242.3,250.3,279.7,287.8,276.6,284.1,287.2,286.8,307.5,287.3,285.2,282.2,274.4,278.3,286.6,315.1,339.7,341.8,355.5,369.8,378.9,398.5,373.1,364.1,354.5,346.3,360.2,382.7,359.4,344.6,371.8,374.7,377.8,374.6,413.9,419.2,357.2,434.6,422.3,463.3,459.2,515.1,451.6,521.4,547,572.8,568.7,587,634,625.9,668,683.6,688.2,697.3,730.5,746.1,780.8,772.8,703.1,687.7,710.9,692.9,730.3,732.7,723.8,732.3,701.5,694.5,667.2,625.7,618.6,612.1,567.9,591.8,674.4,717.1,740.8,789.6,774.4,797.3,853.1,885.9,982.1,1039.6,1013.8,1115.8,1204,1239.1,1089.7,1301.3,1383.7,1412,1453.3,1355.1,1319.7,1369.7,1311.9,1189.7,1195.1,1159.8,1136.4,868.6,933.3
"20","12","      Taxes on corporate income","A054RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.5,25.7,23.1,22.6,25.1,23.1,22,20.9,20.7,22.1,23.4,25.4,23.9,23.7,24.4,24.5,24.6,26.3,27,27.7,27.9,28,28.6,28.2,29.6,30.5,31.1,33.1,34.2,34.2,33.9,33.3,32.5,32.2,32.5,34.4,38.7,39.5,39.7,40.6,41.5,40.4,39.1,38.9,34.5,34.7,35.7,34.2,37.8,38.6,37.9,38.4,40.4,40.7,42,46.4,49.7,50.2,48.6,51.4,49.7,52.2,57.3,51.9,43.8,46.8,57.2,58.8,66.6,65.2,64.9,64.5,68.8,74.4,76.7,77.8,72.5,86.6,87.4,92.9,90.1,90.9,90.6,88.4,97,77.2,83.2,91.4,91.1,82.6,86.2,77.4,65.7,68.4,68.6,63.2,64.2,79.2,88.3,90.9,103.9,102.9,91.1,92.3,98.7,97,102.3,99.7,106.6,106.3,107.3,118.5,113.7,129.3,138.7,140,131.3,140,144,151.2,157.4,148,137.7,141.2,137.9,146.3,152.9,144.6,135,137.5,141.1,140.8,149.8,155.8,134.7,154.5,157.8,171.5,167.5,187.4,171.9,189.7,201.5,211.8,211,216.5,226.4,220.9,227.1,233.3,232.2,234.1,236.2,241.8,254,252.3,249.1,246.4,252.9,244.9,251,256.5,260.2,266.8,280.8,272.5,260.3,247.1,222.5,217.9,197.6,178.6,174.9,188.5,196.9,210.2,234.1,228.9,245.5,264.7,282.5,307.1,302.5,337.3,407.2,412,386.4,449.2,453.8,474.8,487.2,459.8,448.5,468.5,451.1,433.5,402.9,406.8,393.5,263.2,297.6
"21","13","      Profits after tax with IVA and CCAdj","W273RC1",8.2,12.2,12.4,13,16.6,17.5,17,18.9,18.7,17.8,18.7,15.8,15.4,16.5,17.1,18.3,12.7,16.6,19.3,19,18.1,17.2,17.1,19.5,19.1,18.2,17.7,15.5,17.9,18.5,19.3,21.3,24.4,25.4,25.3,25.4,24.1,23.5,23.9,23.4,24.6,24.2,24.2,22.4,20,20.2,22.3,25.6,28.5,31.3,28.3,28.8,29.9,27.6,27.7,26.3,25.4,28.5,29.4,31.3,35.3,34.6,35.1,36.6,36.7,38.5,39.1,39.8,43.7,43.7,44.2,43.8,50,51,51.9,54,56.2,54.8,53.3,55,53.3,52.9,53.5,55,51.6,54.4,54.2,54,52.6,50.4,48.6,43.7,40.3,43.7,42.8,40.2,49.1,50.1,53.2,55.6,58,58.3,61.1,63.5,65,59.5,59,59,51,48,40.1,43,54.8,65.1,75.8,78.6,84.4,80.1,81.1,80.4,82.8,98.3,110.6,103.9,96.8,112.4,112.9,113.5,105.9,101,94.2,93.3,79.4,71.7,74.3,88.4,102.5,108.7,124.9,112.3,103.7,112.3,115,111.2,133.3,147.3,154,159.4,175.8,184.9,185.6,191.8,188.5,189.8,205.2,187.6,178.6,175.9,167.1,159.9,172.9,185.8,201,201.8,224.2,229.8,234.9,247.3,215.7,216.1,216.7,205.1,222.3,236.4,206.5,200,236.8,237.3,236.7,233.8,264.1,263.3,222.6,280.1,264.5,291.8,291.7,327.8,279.7,331.7,345.5,361,357.7,370.6,407.6,405,440.9,450.3,456,463.2,494.3,504.4,526.9,520.4,454,441.3,458,448,479.3,476.2,463.6,465.5,420.7,422,406.9,378.6,396.1,394.2,370.3,413.3,499.5,528.6,543.9,579.5,540.3,568.5,607.6,621.2,699.6,732.6,711.2,778.5,796.8,827.1,703.3,852.1,929.9,937.1,966,895.4,871.2,901.1,860.8,756.3,792.1,753,742.9,605.3,635.7
"22","14","        Net dividends","A449RC1",5.4,5.6,5.9,5.7,6.2,5.8,6.3,6.5,6.4,6.3,6.3,6.7,7.4,7.6,8,8.5,7.4,7.5,7.4,7.4,7,7.6,7.5,7.7,7.3,8,7.9,7.8,8.1,7.5,7.9,7.9,8.5,8.7,9.2,9.2,9.3,9.4,9.3,9.8,9.8,9.8,9.9,9.9,9.9,9.9,9.9,9.6,10.3,10.7,10.9,10.9,11.3,11.3,11.7,11.4,11.2,11.4,11.5,12,12.2,12.4,12.6,12.2,13,13.6,13.7,13.9,14.2,14.9,15.2,15.7,15.7,16.3,17.3,18.2,18.5,18,17.7,17.1,18.2,19,18.6,17.5,19.7,19.7,20.5,20.8,20.2,20.4,20.2,20.7,20.1,20.5,20.2,20.7,21.2,19.7,21.3,19.1,22.2,22.1,22,21.5,22,23,23.9,23.6,22.3,25.2,24,22.3,26.7,26,25.9,27,26,30.1,31.4,32.7,31.8,32.5,34.1,36.5,37.3,36.5,41.4,43.3,42.3,42.3,39.6,41.7,40.9,54.4,45.4,48.6,53.5,57.1,60.6,62,66.2,53.8,59.4,65.8,71,68.6,71.5,74.2,78,78.5,79.5,78.1,81.2,90.5,84.1,87,85.7,92.1,85.9,89.4,93.9,92.4,93.8,102.4,85.8,93.4,112.1,100.8,126.2,126.4,130.8,122.2,145.7,141.2,143.2,146.3,150,157.6,156.9,161,149.7,152.9,159.1,177.8,176.2,177.4,182.3,193.1,183.8,197.3,197.4,211.4,213.4,213.4,225.9,233.5,249.5,247.4,261.6,270.6,272.9,277.2,284.7,300.9,303.3,310.1,305.8,317.5,301.9,300.3,278,302.4,328.5,353.1,368.9,343.3,333.6,313.2,339.1,334.3,337.9,355.5,338.5,373.5,342.5,431.4,393.3,403.9,439,434.2,462.9,630.7,453.4,396.4,254.5,161.6,548.2,583.1,642.9,740.9,653.8,661.7,662.2,706.6,654.9,681.6,647.3,671.8,617
"23","15","        Undistributed profits with IVA and CCAdj","W274RC1",2.8,6.6,6.6,7.3,10.3,11.7,10.7,12.4,12.3,11.4,12.5,9.1,8,8.9,9.1,9.8,5.3,9.1,11.9,11.6,11.1,9.6,9.6,11.7,11.8,10.2,9.8,7.7,9.7,11,11.4,13.5,16,16.7,16.1,16.1,14.8,14.1,14.5,13.6,14.8,14.5,14.3,12.5,10,10.3,12.4,16,18.2,20.6,17.5,17.9,18.6,16.3,16,14.9,14.2,17.1,17.9,19.3,23.1,22.2,22.5,24.4,23.7,25,25.4,25.9,29.5,28.8,29,28.1,34.3,34.6,34.6,35.8,37.7,36.7,35.5,37.9,35.1,33.9,34.9,37.5,31.9,34.7,33.6,33.2,32.4,29.9,28.4,23,20.3,23.2,22.6,19.5,27.8,30.4,32,36.5,35.8,36.2,39.1,42,43,36.5,35.2,35.4,28.7,22.8,16.1,20.7,28,39.1,49.9,51.6,58.4,50,49.7,47.7,51,65.9,76.5,67.4,59.5,75.9,71.5,70.2,63.6,58.7,54.6,51.7,38.5,17.3,28.9,39.8,48.9,51.6,64.4,50.3,37.5,58.5,55.6,45.3,62.3,78.7,82.5,85.2,97.8,106.4,106.1,113.7,107.3,99.3,121.1,100.6,92.9,83.8,81.1,70.4,79,93.5,107.3,99.4,138.4,136.4,122.8,146.4,89.6,89.8,86,82.9,76.6,95.2,63.3,53.7,86.8,79.7,79.8,72.8,114.4,110.4,63.4,102.4,88.4,114.4,109.5,134.7,95.9,134.4,148.1,149.6,144.2,157.2,181.7,171.5,191.4,202.9,194.4,192.6,221.4,227.1,242.2,219.6,150.8,131.2,152.2,130.5,177.3,175.9,185.5,163,92.2,68.9,38,35.3,62.5,81.1,31.2,79,161.6,173.1,205.4,206,197.8,137.1,214.3,217.3,260.6,298.4,248.4,147.8,343.4,430.7,448.8,690.4,381.6,354,323.1,154.5,217.5,239.4,198.6,49.7,137.2,71.4,95.6,-66.5,18.8
