"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Durable goods","DDURRG3",41.332,41.712,41.945,42.491,42.815,43.377,44.886,44.967,44.816,44.522,43.981,43.929,43.795,44.131,44.743,45.481,47.163,47.477,47.495,47.953,48.281,47.712,48.206,47.074,47.532,47.586,47.281,47.373,47.751,46.552,45.789,45.522,45.806,46.03,46.468,46.591,46.769,46.869,47.547,48.167,48.555,49.226,49.221,49.317,50.193,49.991,49.939,49.761,50.63,50.823,50.814,50.792,50.718,50.658,50.502,50.414,50.423,50.661,50.892,50.829,50.836,50.902,51.069,50.868,50.885,51.04,51.184,51.345,51.42,51.39,51.334,51.232,51.24,51.08,50.826,50.546,50.479,50.695,50.92,51.153,51.046,51.271,51.836,52.359,52.699,53.02,53.462,53.949,54.264,54.671,54.932,55.271,55.366,55.584,55.992,56.924,57.73,58.14,58.011,57.713,58.211,58.509,58.808,58.619,58.862,59.325,59.618,59.809,60.471,62.002,64.364,66.377,67.417,68.629,69.382,70.448,71.4,72.193,73.067,74.303,75.067,75.449,76.233,77.253,78.36,79.555,80.844,82.259,83.595,85.066,86.042,87.592,90.16,92.288,93.971,95.581,96.796,98.621,100.079,101.381,102.232,103.028,103.397,103.7,104.432,104.823,105.398,106.054,106.084,106.742,106.953,107.15,107.695,107.946,107.763,108.042,108.066,108.564,109.47,110.09,111.018,111.888,112.688,113.147,112.95,113.576,114.384,115.234,115.818,115.912,116.173,116.554,117.174,117.186,117.237,117.474,118.479,118.777,119.217,119.473,119.468,119.793,119.892,120.08,120.019,120.652,121.239,122.04,122.322,123.052,123.919,124.13,124.627,124.491,124.09,123.813,123.907,123.09,122.769,122.237,121.765,120.592,119.783,119.114,118.238,117.355,116.456,115.587,114.611,114.036,113.501,112.815,112.283,112.048,111.362,111.081,110.573,109.786,109.055,108.501,107.535,106.978,106.455,105.721,104.446,103.367,102.358,101.458,101.419,101.344,100.598,100.657,100.548,100.385,99.623,99.444,99.141,98.742,98.281,97.789,97.395,97.052,96.375,96.034,96.037,95.832,95.537,94.743,94.326,94.407,93.66,93.693
"12","4","    Motor vehicles and parts","DMOTRG3",22.221,22.239,22.575,22.9,23.15,23.43,25.255,25.05,25.153,25.223,24.943,24.955,24.995,25.196,25.155,25.209,25.993,26.174,26.257,27.277,27.934,27.458,28.21,26.449,27.221,27.264,26.643,26.843,27.533,26.019,25.325,25.358,25.765,26.17,26.666,26.842,27.094,27.049,27.778,28.312,28.914,29.553,29.387,29.328,30.375,30.335,30.533,30.369,31.783,31.996,31.95,31.915,31.653,31.441,31.16,31.004,31.022,31.391,31.795,31.758,31.777,32.021,32.235,31.982,31.995,32.198,32.362,32.47,32.574,32.523,32.531,32.45,32.566,32.366,32.137,31.943,31.847,32.013,32.106,32.174,31.811,32.073,32.739,33.267,33.263,33.428,33.689,33.983,34.013,34.199,34.288,34.57,34.615,34.824,35.336,36.432,37.274,37.461,36.921,36.379,36.923,37.213,37.411,36.859,37.01,37.332,37.405,37.336,37.377,38.466,40.485,41.935,42.357,43.136,43.768,44.642,45.481,46.203,47.09,48.425,48.876,49.064,49.548,50.649,51.634,52.331,53.44,54.465,55.541,56.794,57.346,58.164,59.646,60.575,61.612,62.898,63.594,65.403,66.822,67.844,68.28,68.979,69.42,69.485,70.355,70.736,71.4,72.258,72.343,73.097,73.652,73.795,74.488,74.769,75.031,75.383,75.721,76.414,77.51,78.291,78.811,80.179,81.296,81.739,80.851,81.186,82.222,82.824,83.828,84.247,84.136,84.536,84.642,84.19,84.208,84.794,86.078,86.51,87.178,87.572,87.502,88.183,88.825,89.381,90.108,91.331,92.593,93.796,94.346,95.392,96.842,98.324,99.425,100.115,100.009,100.603,101.685,101.731,102.082,102.676,103.019,102.418,102.12,102.156,101.519,100.918,101.346,101.472,101.219,101.207,101.944,102.102,101.708,102.155,101.849,102.263,102.578,102.423,102.128,102.448,101.939,101.758,102.051,101.675,100.148,99.543,98.85,97.754,97.931,98.332,98.053,99.279,99.929,100.338,99.494,100.24,100.57,100.313,100.022,99.598,99.306,99.298,99.458,99.871,99.595,98.999,98.594,96.905,96.689,97.904,99.073,101.303
"13","5","    Furnishings and durable household equipment","DFDHRG3",39.109,39.636,40.027,40.553,40.798,41.325,41.894,42.014,41.34,40.527,40.165,40.065,39.857,40.335,41.624,43.119,45.093,45.691,45.564,45.419,45.351,44.862,44.975,44.755,44.794,44.997,45.238,45.227,45.069,45.027,44.835,44.474,44.461,44.44,44.583,44.591,44.489,44.651,44.963,45.44,45.387,45.621,45.718,45.837,46.092,45.523,45.266,45.302,45.375,45.595,45.66,45.668,45.82,45.96,46.03,46.096,46.096,46.161,46.148,46.121,46.139,46.086,46.035,46.042,46.027,46.037,46.094,46.237,46.258,46.233,46.108,45.999,45.936,45.909,45.798,45.766,45.819,46.001,46.376,46.731,46.893,47.066,47.409,47.719,48.439,48.962,49.342,49.771,50.226,50.724,51.12,51.461,51.689,51.919,52.02,52.332,52.604,52.858,53.094,53.165,53.323,53.504,53.776,54.128,54.415,54.737,55.132,55.508,56.54,58.195,60.419,62.55,63.973,65.052,65.684,66.628,67.426,67.934,68.368,68.853,69.704,70.215,71.023,71.691,72.295,73.676,74.758,76.204,77.395,78.367,79.152,80.541,82.688,84.602,86.237,87.556,89.274,90.895,92.449,93.674,95.037,96.358,96.542,97.233,97.81,98.341,98.805,99.188,99.203,99.715,99.719,100.284,100.499,101.15,100.382,101.265,101.184,101.663,102.175,102.522,103.068,103.426,103.836,103.654,104.062,104.976,105.183,105.665,105.198,104.643,105.543,105.754,106.207,106.316,106.555,106.321,106.533,106.806,107.438,107.047,108.096,108.318,108.122,108.357,107.922,108.705,108.861,109.701,109.981,110.707,111.077,110.144,110.231,109.883,110.614,110.49,110.719,110.523,110.841,110.387,110.536,110.834,110.344,110.103,110.312,110.847,110.441,109.847,109.67,109.186,108.757,108.094,108.494,108.297,108.122,107.641,107.175,106.491,106.086,105.389,104.638,104.546,103.924,103.299,102.635,101.527,100.462,100.082,100.282,100.054,99.486,99.929,100.153,100.554,99.733,99.559,99.564,99.566,99.443,99.358,99.168,99.213,98.487,97.793,98.179,97.728,98.207,98.082,98.574,98.882,97.362,96.145
"14","6","    Recreational goods and vehicles","DREQRG3",161.352,163.319,162.746,165.311,167.188,170.197,174.903,178.26,179.757,179.833,178.294,178.701,176.645,175.611,178.143,179.875,184.387,182.206,180.553,177.838,176.516,174.867,174.675,173.728,172.545,172.555,173.393,172.405,171.306,168.607,165.598,163.193,162.819,161.607,161.874,161.537,161.949,163.016,164.225,165.96,166.301,168.761,170.5,172.694,175.07,175.5,174.128,172.128,169.795,168.95,168.978,169.04,169.806,170.443,170.675,170.453,170.084,169.764,169.234,168.646,168.188,167.751,167.362,166.997,166.919,167.235,167.541,167.266,165.859,165.416,164.964,164.617,164.314,163.555,162.681,161.196,160.924,160.887,161.196,161.509,162.03,161.918,161.75,162.718,163.917,164.544,165.776,166.9,167.952,169.072,169.674,169.668,169.132,168.633,168.774,170.741,172.846,175.297,176.572,176.653,177.191,177.57,178.136,178.638,179.308,180.197,180.948,181.979,184.043,186.517,190.263,193.619,196.636,201.037,202.198,204.505,205.894,207.598,208.358,210.221,212.063,213.109,214.959,215.876,218.321,221.427,222.393,224.579,227.329,230.736,232.752,235.374,239.291,242.786,246.146,249.436,252.022,254.87,255.917,258.689,260.626,261.736,261.534,261.186,260.088,258.592,257.09,256.805,255.814,255.201,253.717,253.227,253.434,250.995,248.825,246.815,244.648,242.602,241.045,240.038,241.573,239.587,237.09,237.845,237.722,237.716,236.779,237.75,238.103,236.669,235.85,236.817,236.111,235.305,234.641,233.695,234.24,233.358,230.318,229.908,227.721,226.495,223.34,221.764,219.263,217.175,215.879,214.738,213.552,213.175,212.199,210.066,208.73,205.801,201.257,197.521,194.838,190.447,186.927,183.45,179.432,174.089,170.917,167.976,164.401,160.962,156.276,152.333,149.069,146.435,142.967,140.159,137.93,136.821,134.83,132.686,129.789,127.35,125.134,122.999,120.721,118.999,117.203,115.675,113.771,111.458,109.493,108.499,107.482,106.554,104.828,103.22,101.727,100.81,99.595,97.868,96.425,95.103,93.513,91.879,90.369,89.183,87.42,86.23,85.678,84.718,83.923,83.03,81.789,80.666,78.794,77.493
"15","7","    Other durable goods","DODGRG3",30.258,30.608,29.984,30.176,30.184,30.5,30.749,30.941,31.021,30.908,29.993,29.852,29.707,29.799,30.069,30.45,31.676,31.708,32.155,31.854,31.718,31.666,31.667,32.046,31.945,31.783,31.974,31.977,32.046,31.526,30.889,30.59,30.885,30.821,30.866,30.905,30.998,31.137,31.29,31.345,31.194,31.451,31.468,31.475,31.363,31.538,31.443,31.401,31.571,31.602,31.595,31.571,31.641,31.676,31.69,31.677,31.694,31.6,31.575,31.552,31.607,31.207,31.579,31.493,31.603,31.567,31.528,31.85,32.24,32.483,32.512,32.557,32.306,32.485,32.385,31.952,31.921,32.213,32.317,32.64,32.903,32.923,33.088,33.247,33.396,33.392,33.856,34.423,34.982,35.334,35.579,35.861,36.036,36.275,36.478,36.648,36.919,37.154,37.558,37.8,38.178,38.377,38.708,39.003,39.065,39.678,40.145,40.411,41.369,42.305,43.267,44.615,45.293,45.866,46.467,46.971,47.531,47.927,48.709,49.424,49.97,50.175,50.789,51.146,51.935,52.665,53.806,54.893,55.554,56.546,58.085,60.71,65.093,69.378,71.219,72.429,72.814,73.043,73.454,74.112,74.204,73.557,73.99,74.501,75.303,76.102,77.082,77.32,77.687,78.29,78.209,78.151,78.354,79.04,79.214,79.135,79.318,80.089,81.479,82.317,84.366,85.449,87.153,88.238,89.806,91.02,92.573,94.35,94.917,95.897,97.04,96.993,100.371,102.574,102.867,103.293,104.445,105.015,106.719,108.067,108.096,108.343,109.482,109.528,109.295,109.479,109.719,110.308,110.798,111.045,112.068,111.898,112.583,112.803,113.806,114.035,113.435,112.716,112.682,111.692,111.608,111.173,111.17,110.252,110.3,109.476,108.374,107.931,106.403,106.844,106.06,105.794,105.886,104.705,104.004,104.883,105.566,105.335,105.21,104.701,104.182,103.672,102.892,102.284,102.009,101.847,101.816,100.745,101.519,101.968,101.458,100.589,100.52,99.132,99.845,100.504,100.494,101.135,102.328,103.797,105.714,105.904,105.975,106.718,108.517,112.383,112.385,112.853,112.707,113.38,113.035,114.473
"16","8","  Nondurable goods","DNDGRG3",17.642,17.814,18.136,18.684,18.991,19.182,19.368,19.169,18.879,18.637,18.426,18.288,18.173,18.257,18.781,19.211,20.02,20.202,20.159,20.413,20.434,20.358,20.394,20.478,20.389,20.304,20.347,20.341,20.409,20.477,20.396,20.301,20.3,20.242,20.262,20.25,20.299,20.488,20.684,20.747,20.939,21.052,21.276,21.361,21.701,21.742,21.676,21.566,21.632,21.639,21.732,21.813,21.782,21.939,22.004,22.127,22.161,22.006,22.047,22.005,22.092,22.15,22.171,22.287,22.319,22.297,22.461,22.506,22.641,22.636,22.705,22.797,22.866,23.082,23.209,23.261,23.573,23.773,23.94,24.089,24.083,24.121,24.374,24.538,24.792,25.027,25.267,25.53,25.72,26.079,26.443,26.724,27.069,27.335,27.52,27.765,27.81,28.1,28.346,28.527,28.838,28.905,29.161,29.496,30.126,31.035,31.824,32.802,34.493,35.753,36.76,37.803,38.341,38.479,39.337,39.843,39.893,39.89,40.386,40.91,41.659,42.423,42.863,43.365,43.942,44.997,45.737,46.519,47.818,49.44,51.042,52.425,54.442,55.772,56.954,58.185,59.905,60.498,60.975,61.377,61.662,61.658,62.454,62.489,62.315,63.096,63.572,63.542,64.282,64.322,64.468,64.702,65.154,65.554,65.686,66.204,65.872,64.3,64.466,64.607,66.048,66.774,67.409,67.831,68.051,68.735,69.643,70.155,71.116,72.991,72.929,73.268,75.121,75.55,77.138,79.136,78.744,78.874,78.946,79.344,79.482,79.877,80.453,80.686,80.927,80.823,80.488,80.866,80.636,80.811,81.647,81.731,81.706,82.011,82.186,82.316,83.129,83.998,83.873,84.651,84.987,84.729,84.674,84.764,84.084,83.916,84.254,84.385,84.669,85.906,86.834,87.626,88.987,89.776,90.486,90.776,91.014,91.649,91.245,89.898,89.713,90.985,91.223,91.592,93.196,91.627,92.95,93.392,94.724,95.601,96.16,97.994,97.886,98.375,101.542,102.197,102.229,103.472,104.621,102.539,104.01,105.678,106.187,109.126,111.185,112.838,115.759,108.971,106.739,107.736,110.227,111.834
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",16.454,16.497,16.849,17.458,17.628,17.709,17.824,17.425,17.185,17.014,16.825,16.731,16.566,16.689,17.243,17.599,18.602,18.779,18.726,19.15,19.244,19.241,19.351,19.249,18.974,18.843,18.882,18.89,18.929,19.049,18.852,18.714,18.692,18.563,18.5,18.412,18.393,18.627,18.823,18.864,19.038,19.111,19.379,19.44,20.014,20.187,20.037,19.939,19.905,19.791,19.837,19.819,19.774,20.025,20.009,20.208,20.262,20.113,20.047,19.996,20.186,20.232,20.262,20.348,20.436,20.354,20.538,20.55,20.767,20.787,20.935,21.045,21.003,21.3,21.461,21.457,21.951,22.191,22.3,22.373,22.148,22.056,22.319,22.405,22.62,22.794,22.968,23.24,23.335,23.698,24.175,24.52,25,25.21,25.372,25.486,25.349,25.808,26.02,26.195,26.755,26.841,27.162,27.542,28.584,29.902,31.25,32.271,33.804,34.599,35.334,36.821,37.348,37.128,38.035,38.616,38.381,38.109,38.545,38.902,39.606,40.734,41.142,41.523,42.596,44.485,45.418,46.102,47.842,48.836,49.288,50.175,50.953,52.015,53.948,55.717,56.447,56.586,57.332,57.417,57.999,58.528,58.761,58.487,58.502,59.166,59.284,59.508,60.699,60.683,61.061,61.122,61.509,61.404,61.392,61.911,62.286,62.466,63.423,63.835,64.446,64.958,65.189,65.369,65.75,66.292,67.571,68.101,69.08,70.319,70.951,71.483,73.116,73.315,74.349,74.82,75.867,76.623,76.229,76.163,76.433,76.587,77.065,77.137,77.274,77.789,77.927,78.529,78.584,78.822,79.624,79.705,80.163,80.856,81.095,81.485,82.111,82.941,83.852,84.569,84.647,84.783,85.105,85.289,85.575,85.789,86.117,86.615,86.973,87.206,87.532,88.022,88.518,89.127,89.972,90.327,91.182,91.779,92.55,92.954,93.469,93.528,93.445,93.669,94.186,94.782,95.549,96.666,97.095,98.123,98.564,99.287,99.012,100.055,100.166,100.767,101.227,101.201,101.927,102.482,103.765,105.163,106.224,107.339,108.745,110.887,113.383,114.69,114.382,113.339,112.73,112.789
"18","10","    Clothing and footwear","DCLORG3",45.764,46.668,47.116,48.053,49.041,49.835,50.123,50.128,48.971,47.969,47.115,46.495,46.25,46.33,47.41,49.04,50.832,51.618,51.637,51.458,51.087,50.137,49.642,51.201,51.275,50.329,50.107,49.88,50.456,50.38,50.76,50.495,50.311,50.261,50.489,50.481,50.82,51.163,51.588,51.803,51.953,52.037,52.132,52.308,52.33,52.342,52.336,52.309,52.509,52.669,52.906,53.022,53.146,53.429,53.629,53.732,53.758,53.646,53.895,53.873,53.672,53.882,54.1,54.163,54.222,54.323,54.469,54.697,54.875,55,54.957,54.93,55.137,55.254,55.562,55.724,56.175,56.639,57.209,57.78,58.431,58.96,59.611,60.19,61.093,62.218,63.233,64.051,64.884,65.648,66.466,67.153,67.663,68.082,68.682,69.55,70.19,70.861,71.217,71.45,71.86,72.046,72.093,72.868,73.469,74.526,74.921,75.54,76.899,79.191,81.655,82.853,83.18,83.419,84.021,84.357,85.079,85.802,87.02,87.82,89.099,89.365,90.753,91.26,90.757,92.005,92.08,92.447,92.638,93.536,93.74,94.561,95.801,96.617,97.32,98.471,99.18,100.04,100.833,100.975,101.187,101.893,102.104,101.718,102.309,102.974,103.841,103.347,103.52,102.936,103.796,104.358,105.285,105.704,106.005,106.516,105.747,104.744,105.476,105.796,107.128,108.307,108.449,110.031,109.926,112.039,112.215,113.695,113.578,114.126,112.752,113.975,115.726,117.528,117.941,118.048,118.298,119.026,120.002,120.846,120.306,120.211,120.4,120.814,120.456,119.579,119.609,119.515,117.926,118.464,117.86,116.846,115.614,114.995,114.812,114.671,114.675,114.187,112.603,113.086,113.37,114.728,113.529,113.065,111.848,111.317,112.038,111.213,109.808,110.476,110.034,110.191,109.484,108.77,108.53,108.479,108.644,107.076,106.005,104.912,104.502,104.262,103.711,102.927,101.81,100.759,101.273,101.238,100.776,101.28,100.928,100.718,100.719,100.304,99.62,99.357,99.04,100.004,99.696,99.553,99.648,98.658,97.935,98.312,98.136,97.351,98.449,97.354,98.186,98.361,99.431,98.68
"19","11","    Gasoline and other energy goods","DGOERG3",7.538,7.751,7.987,8.348,8.731,8.962,9.122,9.187,9.158,9.145,9.128,9.102,9.111,9.129,9.292,9.407,9.516,9.494,9.429,9.526,9.59,9.637,9.709,9.718,9.816,9.939,10.143,10.233,10.227,10.231,10.175,10.15,10.205,10.259,10.35,10.403,10.453,10.521,10.728,10.802,11.028,11.157,11.139,11.134,11.181,10.946,11.01,10.827,11.023,11.11,11.102,11.35,11.217,11.218,11.456,11.485,11.477,11.171,11.425,11.357,11.318,11.387,11.351,11.605,11.497,11.359,11.476,11.441,11.403,11.284,11.265,11.397,11.593,11.703,11.737,11.863,11.871,11.897,12.046,12.198,12.284,12.371,12.442,12.48,12.565,12.547,12.666,12.705,12.851,13.091,13.062,13.028,12.986,13.229,13.146,13.4,13.408,13.184,13.431,13.599,13.424,13.327,13.611,13.895,14.091,14.592,14.869,16.367,19.447,21.214,21.497,21.17,21.233,21.629,22.94,23.378,23.169,22.946,23.355,23.979,24.633,24.995,24.963,25.529,25.633,25.595,26.12,27.381,28.686,32.807,38.199,41.376,47.244,49.522,49.412,49.981,55.156,55.766,54.968,55.363,54.087,51.145,53.284,52.461,49.531,50.872,51.703,50.718,50.966,50.888,49.357,49.512,49.467,50.755,50.358,50.574,47.346,38.876,36.275,35.428,39.35,40.258,42.007,42.145,41.206,41.112,41.646,41.017,42.184,47.626,45.432,44.363,47.761,46.906,51.245,59.763,52.91,49.866,49.366,50.088,49.166,49.685,50.647,51.195,51.164,49.742,48.348,49.465,48.831,48.142,50.826,51.411,50.945,50.998,50.381,49.554,52.027,54.944,53.3,55.359,56.315,52.678,53.226,53.404,48.962,46.809,46.612,45.6,44.271,49.501,53.416,56.345,63.102,65.129,67.009,67.83,66.078,68.688,63.837,55.318,53.026,59.445,61.029,64.013,73.984,64.068,69.314,70.114,76.568,78.395,81.112,90.073,89.268,89.909,109.543,111.279,109.418,115.501,121.13,105.653,111.188,120.288,121.174,136.863,146.115,152.33,164.604,111.728,92.354,94.966,110.761,121.957
"20","12","    Other nondurable goods","DONGRG3",15.032,15.162,15.362,15.642,15.873,16.015,16.347,16.366,16.115,15.831,15.688,15.556,15.53,15.563,16.022,16.356,16.796,16.905,16.896,17.006,16.962,16.949,16.981,16.971,17.106,17.283,17.266,17.217,17.215,17.255,17.277,17.309,17.377,17.387,17.451,17.556,17.644,17.735,17.779,17.807,17.961,18.133,18.483,18.662,18.752,18.773,18.769,18.714,18.811,18.953,19.182,19.284,19.341,19.346,19.353,19.373,19.398,19.407,19.395,19.402,19.458,19.463,19.449,19.484,19.517,19.683,19.811,19.925,20.006,20.014,20.025,20.063,20.168,20.3,20.352,20.401,20.513,20.657,20.778,20.894,21.001,21.072,21.277,21.52,21.725,21.955,22.118,22.321,22.476,22.709,22.977,23.218,23.514,23.78,24.066,24.285,24.507,24.754,24.955,25.092,25.278,25.405,25.513,25.583,25.735,26.026,26.26,26.533,27.008,27.982,29.332,30.521,31.442,31.901,32.155,32.534,33.063,33.481,33.803,34.309,34.867,35.354,35.851,36.386,36.804,37.163,37.859,38.38,39.116,39.614,40.25,41.047,42.162,43.262,44.232,44.987,45.952,47.022,47.778,48.696,49.586,50.531,51.376,52.618,53.753,54.284,54.854,55.278,55.829,56.278,56.883,57.265,57.899,58.408,59.016,59.685,60.423,60.78,61.413,61.752,62.643,63.298,63.929,64.338,65.221,65.945,66.82,67.6,68.803,69.664,70.618,71.176,72.228,73.154,74.166,74.892,76.282,77.278,77.973,78.592,79.493,80.325,80.917,81.067,81.873,82.137,81.705,81.512,81.793,82.241,82.6,82.886,83.07,83.447,84.174,84.664,85.057,85.347,85.536,85.763,86.063,86.551,86.237,86.42,87.009,87.689,88.149,88.923,90.744,91.125,91.691,91.949,92.372,93.403,93.814,93.932,94.547,95.226,96.078,96.341,96.56,97.225,97.478,97.238,97.146,97.169,97.537,97.376,97.971,98.422,98.493,99.032,99.325,99.613,100.184,100.877,101.528,102.116,102.468,102.533,103.101,103.177,103.588,104.29,105.178,105.737,106.302,107.176,108.596,111.264,111.954,112.263
"21","13","Services","DSERRG3",9.022,9.072,9.289,9.499,9.555,9.649,9.794,9.83,9.823,9.844,9.875,9.946,9.989,10.026,10.179,10.31,10.498,10.575,10.632,10.793,10.869,10.955,11.071,11.156,11.273,11.359,11.508,11.622,11.688,11.711,11.731,11.783,11.852,11.895,11.952,12.025,12.095,12.165,12.267,12.343,12.455,12.514,12.619,12.711,12.803,12.847,12.908,12.973,13.068,13.163,13.287,13.403,13.463,13.537,13.627,13.698,13.733,13.793,13.86,13.919,14.002,14.07,14.122,14.167,14.233,14.274,14.321,14.396,14.466,14.539,14.612,14.677,14.739,14.801,14.876,14.97,15.065,15.204,15.344,15.496,15.602,15.715,15.837,15.987,16.178,16.371,16.561,16.762,16.977,17.208,17.438,17.68,17.919,18.168,18.394,18.665,18.917,19.167,19.436,19.619,19.834,19.998,20.196,20.384,20.554,20.878,21.241,21.64,22.086,22.608,23.134,23.643,24.183,24.585,25.041,25.535,25.958,26.293,26.76,27.22,27.758,28.307,28.854,29.32,29.886,30.486,31.057,31.689,32.135,32.968,33.749,34.559,35.418,36.292,37.228,38.281,39.312,40.107,40.98,41.831,42.584,43.238,44.101,44.924,45.602,46,46.822,47.307,47.911,48.637,49.215,49.636,50.318,50.787,51.316,51.79,52.555,53.145,53.639,54.175,54.619,55.058,55.688,56.288,57.041,57.762,58.525,59.18,59.946,60.573,61.112,61.747,62.551,63.508,64.265,64.924,65.625,66.187,66.924,67.608,68.405,68.987,69.497,70.073,70.533,71.13,71.572,71.961,72.456,72.921,73.471,73.972,74.554,75.15,75.637,76.142,76.553,77.143,77.784,78.434,79.018,79.594,80.071,80.586,80.998,81.474,81.913,82.394,82.85,83.251,83.7,84.258,85.058,85.417,86.063,86.756,87.709,88.277,88.555,89.173,89.719,90.468,91.186,91.856,92.558,93.392,94.063,94.754,95.513,96.314,97.175,97.748,98.704,99.52,100.306,101.47,102.171,102.998,103.844,104.63,105.668,106.433,107.327,108.427,109.213,110.296,111.275,111.542,111.749,111.954,112.312,112.869
"22","14","  Household consumption expenditures (for services)","DHCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.488,12.571,12.683,12.8,12.88,12.969,13.067,13.139,13.168,13.221,13.282,13.339,13.421,13.487,13.538,13.582,13.644,13.682,13.728,13.801,13.871,13.944,14.014,14.078,14.133,14.19,14.263,14.351,14.441,14.573,14.707,14.852,14.957,15.063,15.18,15.325,15.509,15.696,15.878,16.07,16.272,16.492,16.71,16.943,17.176,17.419,17.638,17.897,18.136,18.377,18.634,18.811,19.018,19.177,19.364,19.541,19.713,20.012,20.345,20.727,21.138,21.617,22.124,22.613,23.126,23.515,23.939,24.424,24.822,25.156,25.615,26.051,26.555,27.1,27.612,28.062,28.609,29.19,29.726,30.344,30.761,31.558,32.286,33.06,33.887,34.709,35.649,36.672,37.673,38.414,39.293,40.149,40.929,41.607,42.478,43.329,44.055,44.453,45.304,45.822,46.433,47.162,47.763,48.21,48.898,49.381,49.906,50.356,51.154,51.79,52.304,52.853,53.302,53.755,54.38,54.986,55.746,56.484,57.27,57.947,58.751,59.431,60.032,60.739,61.569,62.597,63.426,64.129,64.904,65.487,66.291,67.038,67.932,68.588,69.149,69.805,70.315,70.927,71.412,71.81,72.329,72.805,73.359,73.852,74.491,75.098,75.588,76.116,76.537,77.115,77.764,78.412,78.981,79.572,80.018,80.489,80.865,81.301,81.728,82.223,82.688,83.062,83.477,83.998,84.812,85.098,85.759,86.423,87.341,87.901,88.171,88.843,89.377,90.117,90.898,91.629,92.359,93.274,93.962,94.692,95.525,96.319,97.184,97.8,98.726,99.554,100.282,101.437,102.177,103.028,103.916,104.731,105.772,106.561,107.455,108.632,109.44,110.544,111.528,111.837,112.113,112.341,112.705,113.281
