"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Less: Income payments to the rest of the world","A655RG3",11.489,11.779,12.088,12.394,12.645,12.859,12.973,13.022,13.052,13.06,13.063,13.093,13.163,13.269,13.433,13.636,14.056,14.189,14.233,14.123,14.01,14.004,14.02,14.045,14.266,14.33,14.352,14.358,14.255,14.225,14.218,14.258,14.378,14.485,14.593,14.722,14.818,14.956,15.084,15.225,15.441,15.539,15.605,15.613,15.509,15.531,15.593,15.687,15.943,16.102,16.178,16.225,16.351,16.348,16.41,16.333,16.294,16.378,16.456,16.519,16.689,16.725,16.775,16.851,16.826,16.829,16.875,16.993,17.045,17.14,17.213,17.312,17.482,17.567,17.681,17.837,18.037,18.219,18.371,18.574,18.65,18.708,18.873,19.104,19.382,19.627,19.883,20.182,20.452,20.768
"12","4","Equals: Gross national product","A001RG3",12.577,12.75,12.951,13.217,13.367,13.522,13.756,13.75,13.706,13.62,13.515,13.519,13.475,13.533,13.815,14.033,14.503,14.587,14.636,14.829,14.847,14.905,15.016,15.07,15.086,15.121,15.178,15.225,15.288,15.318,15.304,15.327,15.387,15.473,15.58,15.683,15.839,15.988,16.164,16.265,16.448,16.566,16.694,16.791,16.931,17.003,17.044,17.065,17.151,17.199,17.27,17.337,17.372,17.435,17.513,17.591,17.612,17.65,17.689,17.731,17.821,17.87,17.913,17.955,18.042,18.056,18.075,18.194,18.262,18.318,18.41,18.488,18.57,18.656,18.741,18.863,18.979,19.152,19.321,19.48,19.562,19.679,19.855,20.073,20.293,20.52,20.718,21.008,21.218,21.499
"13","5","Less: Consumption of fixed capital","A262RG3",14.561,14.971,15.437,15.803,15.99,16.198,16.455,16.566,16.668,16.619,16.552,16.566,16.505,16.578,16.868,17.35,17.88,18.218,18.472,18.619,18.616,18.678,18.787,18.837,18.906,18.969,18.956,18.952,18.947,19.03,19.048,19.12,19.107,19.186,19.428,19.712,20.088,20.386,20.664,20.907,21.154,21.332,21.475,21.551,21.494,21.563,21.676,21.781,21.866,21.93,21.991,22.028,22.058,22.077,22.097,22.1,22.095,22.098,22.119,22.155,22.202,22.218,22.281,22.333,22.333,22.364,22.376,22.409,22.457,22.51,22.558,22.616,22.684,22.771,22.874,22.981,23.095,23.253,23.388,23.532,23.659,23.806,24,24.21,24.46,24.683,24.927,25.229,25.533,25.852
"14","6","  Private","A024RG3",14.623,15.239,15.752,16.164,16.479,16.725,16.911,17.04,17.117,17.173,17.207,17.22,17.214,17.353,17.632,18.045,18.587,18.994,19.272,19.425,19.459,19.509,19.573,19.651,19.741,19.813,19.867,19.903,19.923,19.94,19.954,19.966,19.975,20.079,20.273,20.555,20.922,21.254,21.553,21.822,22.061,22.247,22.38,22.46,22.488,22.537,22.606,22.699,22.814,22.909,22.983,23.038,23.072,23.093,23.101,23.094,23.074,23.067,23.074,23.095,23.128,23.149,23.158,23.156,23.142,23.148,23.171,23.213,23.272,23.335,23.402,23.47,23.54,23.628,23.733,23.852,23.986,24.125,24.271,24.422,24.58,24.761,24.963,25.186,25.429,25.694,25.981,26.287,26.61,26.922
"15","7","  Government","A264RG3",13.333,13.439,13.803,14.072,14.042,14.165,14.522,14.597,14.749,14.514,14.256,14.267,14.09,14.011,14.309,14.919,15.397,15.564,15.754,15.878,15.792,15.878,16.079,16.064,16.085,16.126,15.975,15.886,15.832,16.047,16.071,16.261,16.205,16.229,16.551,16.825,17.199,17.407,17.626,17.801,18.052,18.203,18.358,18.42,18.189,18.299,18.493,18.618,18.636,18.631,18.662,18.661,18.682,18.697,18.739,18.763,18.787,18.807,18.855,18.92,18.99,18.996,19.157,19.31,19.336,19.414,19.402,19.416,19.439,19.47,19.481,19.515,19.574,19.654,19.748,19.824,19.891,20.077,20.18,20.302,20.358,20.432,20.596,20.767,21.017,21.14,21.282,21.559,21.805,22.118
"16","8","    General government","A265RG3",13.69,13.822,14.184,14.456,14.411,14.522,14.871,14.947,15.118,14.87,14.603,14.621,14.439,14.354,14.644,15.282,15.77,15.932,16.125,16.259,16.165,16.257,16.454,16.418,16.453,16.498,16.313,16.228,16.178,16.408,16.427,16.63,16.577,16.593,16.918,17.204,17.586,17.795,18.01,18.192,18.457,18.6,18.762,18.833,18.594,18.704,18.906,19.036,19.068,19.077,19.109,19.11,19.128,19.14,19.185,19.209,19.239,19.261,19.311,19.378,19.452,19.453,19.626,19.787,19.816,19.897,19.883,19.888,19.914,19.944,19.954,19.988,20.042,20.123,20.218,20.294,20.355,20.541,20.646,20.768,20.818,20.892,21.06,21.235,21.486,21.609,21.751,22.026,22.27,22.59
"17","9","    Government enterprises","A266RG3",9.849,9.469,9.968,10.259,10.504,10.858,11.392,11.47,11.344,11.259,11.097,11.012,10.893,10.874,11.309,11.622,12.011,12.254,12.413,12.44,12.435,12.46,12.721,12.973,12.805,12.812,13.081,12.95,12.83,12.862,12.966,12.989,12.884,13.023,13.345,13.481,13.794,14.008,14.3,14.397,14.487,14.756,14.829,14.777,14.637,14.754,14.871,14.947,14.783,14.59,14.605,14.583,14.63,14.688,14.697,14.723,14.671,14.669,14.696,14.741,14.768,14.84,14.858,14.924,14.921,14.956,14.977,15.102,15.084,15.13,15.156,15.206,15.323,15.4,15.491,15.572,15.709,15.919,16.015,16.146,16.28,16.36,16.481,16.62,16.879,17.003,17.154,17.482,17.781,18.031
"18","10","Equals: Net national product","A027RG3",12.216,12.362,12.532,12.784,12.928,13.076,13.305,13.287,13.228,13.139,13.032,13.034,12.993,13.049,13.325,13.516,13.972,14.031,14.06,14.254,14.274,14.331,14.441,14.494,14.505,14.537,14.6,14.651,14.721,14.744,14.728,14.745,14.811,14.898,14.99,15.073,15.204,15.337,15.5,15.585,15.76,15.869,15.994,16.092,16.252,16.323,16.356,16.368,16.453,16.499,16.57,16.64,16.675,16.742,16.826,16.911,16.934,16.975,17.016,17.059,17.152,17.204,17.244,17.285,17.381,17.393,17.412,17.539,17.609,17.664,17.759,17.839,17.921,18.006,18.088,18.211,18.326,18.498,18.669,18.828,18.904,19.016,19.189,19.405,19.619,19.844,20.035,20.32,20.518,20.791
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",12.248,12.392,12.561,12.814,12.958,13.107,13.338,13.321,13.262,13.173,13.064,13.067,13.025,13.081,13.359,13.55,14.01,14.068,14.096,14.291,14.311,14.369,14.479,14.532,14.543,14.575,14.637,14.689,14.759,14.782,14.765,14.782,14.848,14.934,15.026,15.109,15.241,15.374,15.538,15.623,15.798,15.908,16.034,16.131,16.292,16.363,16.396,16.407,16.492,16.537,16.609,16.678,16.713,16.78,16.864,16.951,16.974,17.014,17.054,17.097,17.191,17.243,17.282,17.322,17.418,17.43,17.449,17.576,17.647,17.702,17.797,17.877,17.958,18.043,18.126,18.248,18.363,18.536,18.707,18.866,18.942,19.054,19.228,19.444,19.658,19.884,20.075,20.361,20.56,20.834
"21","12","  Net domestic purchases","W367RG3",11.946,12.048,12.191,12.441,12.597,12.756,12.992,12.979,12.921,12.842,12.745,12.758,12.737,12.801,13.086,13.29,13.755,13.821,13.844,14.026,14.04,14.088,14.186,14.228,14.23,14.256,14.316,14.369,14.448,14.476,14.465,14.482,14.536,14.618,14.706,14.785,14.911,15.039,15.195,15.276,15.441,15.542,15.659,15.749,15.897,15.961,15.992,16.004,16.093,16.14,16.207,16.274,16.304,16.371,16.453,16.539,16.559,16.586,16.626,16.661,16.742,16.803,16.84,16.882,16.982,16.999,17.025,17.153,17.227,17.286,17.371,17.442,17.506,17.589,17.675,17.809,17.909,18.08,18.233,18.376,18.433,18.541,18.712,18.918,19.126,19.331,19.533,19.812,19.994,20.263
