"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"45","38","    Nondurable goods","B698RX1",124.7,143.7,150.1,161,177.4,188.4,198,213.5,222.9,220.2,204.8,223,234.8,227.4,227.3,235.1
"46","39","  Other","A653RX1",81.8,91.5,93.5,96.4,91.3,91.1,94.7,95,95.1,84.5,80,90.5,91,95.3,98.4,101
"47","40","Imports of services \1\","B656RX1",245.4,276.4,274.6,283.6,289.6,326.4,341.1,370.5,393.5,408.2,392.9,407.8,424.2,438.7,448.4,464.4
"48","41","  Transport","Y804RX1",66.5,72.1,66,63.7,65.5,73.4,77.1,79.5,80.8,77.6,64.1,68.3,70.5,72.5,76.8,78
"49","42","  Travel (for all purposes including education)","Y805RX1",85.6,96.6,89.8,85.5,81.4,91.9,93.8,93.9,91.9,89.5,81.4,84.8,85.5,95.4,98,105.7
"50","43","  Charges for the use of intellectual property n.e.c.","B908RX1",16.9,20.6,20.3,23.4,22.6,26.9,28,26.6,27.3,29.6,31.3,32.1,34.7,37.3,36.4,38.2
"51","44","  Other business services \4\","Y806RX1",52.2,60.4,67.9,74.3,81,94.1,102.7,131.5,156.3,176.9,178.5,184.2,197.9,199.5,206.7,214.2
"52","45","  Government goods and services n.e.c.","Y807RX1",24.5,26.7,27.8,33.4,34.2,34.1,33.1,31.6,29.2,27.8,31.5,32.5,30.2,28,24.5,22.5
"53","46","  Other","B910RX1",6.1,6.5,6.7,6.8,6.8,7,6.6,6.6,6.9,6.3,6.1,5.8,5.6,5.6,5.5,5.4
"54","47","Residual","A978RX1",-41,-22.6,-35.6,-22,-19.5,-9.9,-2.8,1,-0.9,-3.1,0,-5.5,-16.7,-36.1,-49.3,-63
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RX1",533.8,599.3,549.5,518.7,528,586,641,710.1,770.8,810.2,671.6,784.8,852,891.3,908.4,941.9
"57","49","  Exports of nondurable goods","A339RX1",288,301.9,300.1,305.7,312,323.4,333.2,355.2,373.9,404.2,393.5,434,448.2,457.9,477.4,499.6
"58","50","  Exports of agricultural goods \5\","B181RX1",77.6,83.3,85.9,83.7,84.8,80.3,84.4,91.5,97.9,104.3,101,111.8,110.3,111.3,112.8,117.2
"59","51","  Exports of nonagricultural goods","A182RX1",742.6,819.2,763.4,736.8,751,824.9,886.6,970.8,1043.9,1107.5,964.1,1106.5,1188,1234.9,1271.6,1323.4
"60","52","  Imports of durable goods","A333RX1",724.4,834.4,782.2,815.3,850.4,969.3,1051.6,1145.2,1174.5,1129,893.8,1095.2,1197.9,1283,1326.8,1419.5
"61","53","  Imports of nondurable goods","A340RX1",572.8,624.4,641.1,659.3,698.9,745.7,774.8,787.7,794.2,766.1,696.5,735.8,745.9,716.2,698.7,697.8
"62","54","  Imports of nonpetroleum goods","A187RX1",1049.3,1196.3,1150,1200.3,1257.1,1405.2,1509.9,1622.6,1666.9,1603.7,1322.6,1563.1,1683.4,1764.3,1813.3,1918.3
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","chained-dollar estimates are usually not additive. For exports and for imports, the residual line is the difference between the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","aggregate line and the sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
