"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"11","3","S1   Motor vehicle and parts dealers","T060030",196892,202491,207932,209036,218068,209529,209092,204815,207347,210410,206103,231468,212593,210753,219538,214959,216692,222664,229620,227940,228322,226726,232836,235946,231588,236759,237880,225289,235066,232222,234831,237337,235722,235555,237085,233887,224607,215050,200722,176203,172911,171568,180344,173553,174881,184844,188174,194705,198887,193832,194477,204110,208485,209229,212706,216504,221818,226918,229931,232699,233029,243418,247667,252366,252621,258929
"12","4","S4     Automobile dealers","T060040",165633,170424,175549,175639,183299,176081,175645,171451,175075,177005,173206,197292,178475,177094,185314,181032,182676,187416,192691,190105,190400,189072,194793,197460,192421,197084,198894,186457,195026,193190,196009,197720,196664,196179,197604,194968,186928,177751,164964,143309,140942,140720,149102,142789,144692,153791,157081,163039,167559,162404,162522,172200,175599,177125,180629,184220,189165,193488,195880,198091,198149,208484,212663,217087,216646,222541
"13","5","S4     Other motor vehicle dealers","T060050",10827,11286,11287,11983,13381,12417,12301,12808,12529,13252,12878,13740,14059,13501,13909,13926,14022,14915,16172,17024,16996,16778,17079,17166,17625,18101,17572,17269,18142,17792,17459,18329,17721,17977,18058,17649,16989,16453,15320,12690,12086,11364,12128,11812,10906,11139,10949,11143,11015,10971,11119,11264,12262,11876,11874,12133,12439,13206,13635,13616,13809,14148,14503,14454,15285,15547
"14","6","S2     Automotive parts, accessories and tire stores","T060060",20577,20883,21094,21544,21353,21084,21233,20674,19524,20017,19946,19752,19902,20026,20004,19755,19713,20043,20478,20639,20762,20721,20709,21065,21456,21409,21168,21571,21814,21090,21177,21080,21137,21219,21242,21117,20588,20814,20440,20215,19882,19480,19111,18958,19280,19889,20106,20468,20228,20398,20788,20549,20535,20117,20078,20018,20069,20076,20268,20848,20933,20602,20299,20609,20488,20621
"15","7","S1   Furniture, home furnishings, electronics and appliance stores","T060070",27762,28772,30011,30836,32110,32479,32577,32325,32896,33027,33693,35160,36250,36549,36544,37277,36993,38786,40478,41758,42553,43579,44981,45915,47078,48001,49425,50456,52245,52606,53375,53951,54639,54494,55260,56185,54807,55656,53562,51196,50333,48387,48842,50029,51660,52735,53448,53840,54944,55662,56726,58331,59473,59887,60908,61745,63457,64075,65595,66480,66674,69039,70242,71901,71893,72868
"16","8","S1     Furniture and home furnishings stores","T060080",20202,20634,21419,22029,22696,23045,23058,22388,22905,22829,22935,23440,24150,24031,23881,24312,24021,25072,25610,26194,26505,26712,27505,27831,27961,28312,28984,29335,29772,29623,29731,29415,29737,29366,29234,28927,27647,27545,25916,24521,23246,22697,22744,22972,23654,23998,24355,24397,24760,24823,25097,25500,26415,26181,26373,26561,27204,27400,28317,28756,28513,29507,29831,30504,30789,31268
"17","9","S4       Furniture Stores","T060090",11279,11323,11754,12036,12395,12729,12706,12284,12582,12585,12683,13047,13367,13288,12950,13115,12965,13379,13642,13992,14130,14319,14741,15014,15009,15253,15780,15834,15892,15673,15889,15763,15840,15701,15580,15490,14881,14699,13787,12955,12556,12081,12237,12440,12797,13100,13275,13389,13545,13440,13538,13731,14403,14096,14073,13857,14000,14364,14862,15100,14939,15549,15942,16406,16353,16476
"18","10","S4       Home furnishings stores","T060100",8913,9311,9664,9995,10303,10313,10349,10103,10321,10241,10249,10389,10781,10741,10930,11196,11055,11694,11970,12203,12376,12393,12764,12815,12951,13058,13202,13500,13880,13952,13841,13651,13896,13665,13654,13437,12767,12846,12129,11566,10691,10616,10507,10532,10857,10899,11081,11010,11218,11383,11558,11767,12009,12083,12299,12711,13216,13042,13461,13661,13580,13962,13890,14098,14439,14797
"19","11","S1     Electronics and appliance stores","T060110",9376,9866,10343,10617,11183,11264,11328,11511,11642,11785,12234,13067,13485,13798,13890,14199,14158,14918,15946,16607,17056,17775,18396,18957,19866,20406,21139,21777,23029,23475,24087,24884,25245,25431,26268,27418,27261,28173,27668,26688,27076,25690,26102,27065,28012,28745,29099,29455,30203,30878,31688,32926,33097,33811,34689,35376,36475,36919,37467,37901,38418,39800,40733,41736,41356,41835
"20","12","S1   Building material and garden equipment and supplies dealers","T060120",58610,58259,58581,61683,63697,61737,62492,62722,64389,65870,64965,67012,68058,69405,68805,69152,69922,72329,75252,76075,77222,79376,80098,81718,82903,84759,85136,87282,92462,87942,85886,85670,86002,84226,83925,82852,81238,81544,80744,75576,72894,71712,70215,68674,68918,72470,71003,73157,70594,73002,74092,75861,77732,73488,74609,77191,78425,79666,81071,80153,80877,84436,84570,85531,86495,85454
"21","13","S2     Building material and supplies dealers","T060130",50441,50208,50458,53221,54721,54074,54389,54372,56035,57808,57230,58956,59885,61201,60617,61080,61748,63842,66605,67622,68286,70598,71196,72759,74122,75716,76294,78477,83600,78894,76973,76610,76509,75217,74362,72876,71334,71515,69980,65285,62928,61800,61228,59968,59527,62094,60573,62156,60185,62025,62877,63699,65278,62174,62712,64767,65551,67140,67808,67519,67727,70328,70914,71601,72560,71526
"22","14","S3     Lawn and garden equipment and supplies stores","T060140",8096,7978,8051,8386,8899,7608,8034,8267,8282,8021,7707,8022,8139,8176,8157,8050,8151,8461,8629,8443,8921,8763,8887,8944,8766,9028,8824,8785,8833,9029,8896,9043,9478,8994,9554,9970,9900,10025,10765,10293,9967,9913,8986,8704,9389,10381,10440,11015,10419,10992,11231,12198,12492,11333,11936,12470,12936,12554,13324,12665,13208,14197,13706,13991,13984,13990
"23","15","S1   Food and beverage stores","T060150",145966,146945,146999,148214,144548,146886,146214,147792,147874,148047,147740,148645,147235,145840,145796,146314,146914,146305,146786,145033,146219,145770,146019,146735,148234,148471,148997,149735,150068,151392,151441,153752,153002,151765,151402,151983,150848,149757,147597,145637,145393,145802,146247,147201,147823,146864,146824,148291,149128,149098,148294,147752,148270,149118,149368,149794,150500,150342,151113,151704,151728,151388,151862,152837,154305,155168
"24","16","S1     Grocery stores","T060160",132910,133751,133995,134955,131108,133210,132370,133989,133818,134061,133752,134552,133190,131774,131787,132402,133083,132289,132435,130539,131597,131091,131401,132181,133561,133624,134105,134623,134632,136069,136002,137947,137159,135959,135596,136092,135290,133984,131731,130119,129990,130389,130849,131778,132179,131131,131100,132404,133262,133195,132263,131644,131922,132560,132937,133073,133680,133705,134186,134667,134368,133817,134148,134934,136137,136791
"25","17","S3     Specialty food stores","T060170",4373,4366,4222,4386,4450,4554,4512,4470,4603,4627,4710,4680,4606,4718,4806,4782,4739,4833,4923,4944,5071,5049,4983,4900,4972,5053,4991,4949,4995,4875,4940,5148,5087,4930,4960,5108,4818,4905,4901,4692,4659,4769,4771,4752,4764,4826,4871,4933,4827,4883,4834,4908,4917,4974,5025,5017,5061,4902,5010,5116,5329,5342,5434,5586,5635,5668
"26","18","S2     Beer, wine, liquor stores","T060180",8738,8881,8838,8928,9026,9159,9357,9364,9478,9389,9310,9443,9463,9371,9232,9163,9129,9213,9449,9561,9565,9641,9648,9668,9717,9806,9912,10169,10442,10452,10501,10660,10757,10875,10844,10780,10737,10865,10968,10829,10746,10644,10626,10670,10879,10907,10854,10954,11037,11017,11203,11209,11451,11609,11420,11734,11789,11763,11952,11955,12072,12286,12340,12374,12597,12782
"27","19","S1   Clothing and clothing accessories stores","T060190",38130,38880,39158,39520,39983,41302,41984,42331,41632,42068,41894,42877,44030,44110,43936,45487,45546,46913,48191,48878,50301,49658,50130,51429,52367,53718,53410,55605,56350,56405,57342,58270,58688,58917,59689,59505,58778,59519,58053,54895,54338,53535,54243,54306,55505,56245,56391,58296,58762,59553,59030,59182,60475,59493,60579,60391,61096,61941,61470,61990,61503,62582,62867,64109,64037,65140
"28","20","S2     Clothing stores","T060200",25822,26421,26429,26414,26882,27888,28253,28820,28411,28836,28785,29611,30160,30312,30268,31543,31611,32635,33434,33806,34962,34573,35051,36068,36780,37763,37781,39233,39599,39865,40614,41490,42171,42235,42889,42865,42415,43184,42106,40483,40391,39583,40127,40333,41220,42065,42142,43584,43896,44200,43659,44145,45122,44366,45062,44718,45456,46016,45618,45465,44773,45948,46466,47823,47733,48652
"29","21","S2     Shoe stores","T060210",5891,5955,5944,5925,5998,5996,6107,6087,5929,6198,6153,6164,6391,6308,6219,6256,6235,6397,6609,6586,6678,6586,6537,6584,6665,6866,6808,7157,7119,7131,7333,7381,7307,7285,7366,7273,7196,7445,7229,6834,6683,6537,6660,6593,6825,6886,6913,7100,7163,7310,7331,7472,7742,7408,7576,7458,7488,7805,7842,8082,8146,8126,7963,7897,7932,7946
"30","22","S3     Jewelry, luggage, and leather goods stores","T060220",6605,6682,6999,7452,7345,7659,7888,7627,7483,7192,7101,7232,7651,7651,7601,7822,7832,8005,8288,8657,8813,8640,8669,8900,9044,9205,8898,9302,9761,9501,9468,9454,9236,9438,9466,9391,9182,8894,8719,7578,7264,7415,7455,7380,7460,7298,7340,7618,7710,8031,8022,7584,7639,7727,7944,8204,8151,8125,8016,8431,8564,8496,8432,8396,8376,8550
"31","23","S1   General merchandise stores","T060230",103013,103594,105415,107440,108117,109947,111954,114057,114771,116554,118591,121597,122690,123785,123496,125879,127430,129592,133145,133372,135494,135575,137164,139797,142021,144793,146130,148718,149922,150466,150774,153478,155275,155014,156831,157395,156842,159611,157478,156000,155992,154815,155452,157802,160389,160881,161618,164081,164599,166155,165965,166493,169343,168992,170255,170744,173370,174391,175913,177072,177595,181264,182113,183599,183965,185676
"32","24","S1     Department stores","T060240",58452,57923,58340,58273,58429,58751,58701,59589,58665,58341,58670,58921,58458,57993,56706,56818,55978,56399,57322,56452,56817,56199,56835,57255,57313,57626,56906,57578,57479,56775,56170,56217,56550,55678,55931,55139,53748,54159,52699,51535,50183,49698,49730,50230,50692,50576,50241,51096,50946,51281,49967,49566,49387,48312,48521,47697,48081,47502,47381,47666,46696,47969,47564,47877,47756,47617
"33","25","S2     Other general merchandise stores","T060250",42111,43356,44823,47072,47612,49191,51382,52593,54408,56661,58433,61306,62974,64642,65777,68139,70685,72464,75136,76323,78118,78873,79822,82077,84300,86813,88952,90883,92218,93516,94467,97170,98646,99287,100860,102238,103095,105458,104780,104463,105808,105118,105723,107572,109693,110299,111364,112975,113637,114856,115943,116856,119855,120554,121602,122888,125118,126693,128318,129190,130648,133048,134277,135445,135924,137752
"34","26","S1   Other retail stores","T060260",236490,235661,236438,242786,241850,242971,246082,251059,248955,247742,247868,253634,258251,258553,259593,261424,258162,264960,266513,270352,271126,273476,274334,276340,280903,283465,280727,286790,292873,292599,290021,299431,301019,299934,300405,302690,300429,300546,293971,293010,295961,292133,288953,290986,293735,299540,300114,302567,304052,301780,304293,308176,308987,309833,311060,313774,320608,322442,320631,322735,327090,329686,330942,336312,347129,344454
"35","27","S1     Health and personal care stores","T060270",46455,46873,46973,48420,48275,49348,50036,50900,50878,51178,51309,52295,53198,53679,54109,54422,55018,55767,57029,57664,56603,56795,56946,57363,58524,58797,58998,59215,59594,60137,60663,62341,62876,63584,63864,63232,63742,64348,64746,64358,64453,64545,64097,64165,63514,64146,64885,65440,65807,65334,65857,65445,65454,64620,64042,64231,65502,65633,66595,67533,67829,69180,69641,69692,69588,69317
"36","28","S1     Gasoline stations","T060280",105841,100268,99185,101154,97237,95159,95831,99300,99056,98321,98991,103224,105924,103264,103071,103126,99123,103897,100352,101792,102688,105581,103961,103960,105316,106104,102084,104437,105766,105103,102075,107102,106438,103311,102316,104383,104327,102807,98621,101774,104218,101003,96812,97324,98641,101016,98580,98061,97060,95265,95767,97047,97275,96900,96133,96560,98834,99790,96943,96303,99138,97977,96310,97835,104944,100566
"37","29","S1     Sporting goods, hobby, book, and music stores","T060290",17193,17536,17745,18122,18364,19013,18935,18497,18895,18856,18932,19493,19223,19117,19154,19639,19201,19529,19963,20029,20389,19895,20507,20507,20829,20912,20772,21370,22313,21906,21695,21689,21823,22466,22786,22816,22453,22874,22400,21472,21685,21518,21578,21346,21587,21620,21857,22292,22270,22213,22171,21730,22708,23070,22637,22437,23631,23149,23035,23132,22223,22938,23661,24242,24020,24886
"38","30","S4       Sporting goods, hobby, and musical instrument stores","T060300",10521,10727,10954,11094,11463,11757,11928,11609,11883,11928,12026,12561,12275,12260,12513,12923,12614,12865,13270,13469,13646,13281,13873,13940,14157,14389,14333,14775,15715,15337,15496,15608,15835,16546,16634,16632,16537,17004,16738,16152,16344,16314,16378,16388,16483,16641,16911,17353,17415,17619,17528,17552,18446,18704,18513,18519,19646,19191,19236,19322,18586,19283,19970,20545,20433,21211
"39","31","S4       Book, periodical, and music Stores","T060310",7009,7154,7106,7381,7188,7588,7270,7158,7280,7178,7143,7133,7172,7068,6804,6865,6738,6813,6827,6672,6867,6739,6740,6665,6773,6604,6515,6672,6650,6629,6233,6107,6008,5928,6166,6199,5925,5873,5663,5320,5341,5203,5199,4959,5104,4980,4947,4942,4858,4598,4648,4181,4267,4370,4128,3922,3989,3962,3805,3815,3642,3661,3699,3707,3598,3687
"40","32","S1     Miscellaneous store retailers","T060320",26330,26292,26104,27809,27956,26907,26738,26736,26430,26315,26044,25830,25927,26187,26573,26288,26391,26855,27217,27528,27580,27871,27529,28346,28585,28847,29037,29622,31057,30680,30408,31639,31489,32027,31984,31569,31243,30346,29838,28253,27815,27098,26665,27066,27061,28053,28144,28891,28820,29202,29538,29031,29798,29250,29491,29878,29989,30441,30429,30682,30544,31021,31934,32344,32585,32896
"41","33","S3       Florists","T060330",2148,2104,2145,2131,2168,2076,2179,2152,2097,2054,1986,1901,2004,1963,1887,1803,1824,1753,1786,1830,1723,1812,1807,1757,1732,1856,1890,2018,1974,1964,1861,1919,1978,1886,1924,1872,1865,1791,1845,1616,1528,1549,1503,1533,1477,1566,1575,1587,1576,1449,1443,1402,1412,1441,1567,1568,1629,1594,1438,1570,1579,1851,2242,2192,2099,1989
"42","34","S3       Office supplies, stationery, and gift stores","T060340",7476,7461,7436,7874,8034,7987,7978,7992,7801,7801,7673,7613,7740,7792,8019,8104,8015,8280,8367,8448,8824,8859,8919,8962,9131,9513,9545,9666,9929,10001,10338,10846,10703,10692,10753,10678,10469,10368,10142,9599,9596,9524,9527,9379,9509,9719,9837,10028,9975,9972,9857,10119,10288,10090,9757,10166,9970,10328,10463,10008,10220,10102,10417,10389,10643,10889
"43","35","S4       Used merchandise stores","T060350",2086,2111,2037,2230,2223,2280,2232,2150,2161,2218,2203,2161,2327,2277,2252,2101,2338,2215,2224,2221,2189,2279,2356,2367,2337,2302,2353,2459,2688,2723,2588,2721,2878,2792,2812,2925,2851,2968,2900,2743,2746,2663,2723,2690,2744,2895,2977,3163,3182,3135,3214,3265,3431,3379,3463,3565,3597,3747,3854,3769,3733,4029,4093,3972,4001,4081
"44","36","S4       Other miscellaneous store retailers","T060360",15281,15280,15138,16310,16182,14930,14664,14792,14783,14611,14590,14588,14136,14500,14744,14566,14489,14901,15155,15358,15045,15117,14542,15471,15585,15273,15344,15568,16608,16074,15643,16160,15929,16720,16543,16122,16094,15223,14955,14302,13947,13360,12913,13460,13330,13871,13759,14118,14090,14627,14987,14252,14666,14343,14673,14584,14773,14781,14698,15280,14997,15022,15196,15754,15826,15940
"45","37","S1     Nonstore retailers","T060370",44812,46706,47990,48503,50139,52214,54275,55974,54088,53420,53117,53993,55714,57204,57374,58478,58371,59353,61402,62857,63469,63338,65111,65772,67221,68341,69326,71543,73476,74173,74845,76262,78046,78456,79494,80406,78207,80049,78981,77115,77865,77896,79777,81109,82936,84692,86967,88483,91116,91195,92521,96443,95341,97840,101070,103186,105188,105841,106815,108742,110419,112365,114029,117022,120579,121651
"46","38","S2       Electronic shopping and mail-order houses","T060380",23821,24874,26339,27444,29173,30414,31858,33335,31386,31927,31856,32512,33467,33689,34182,34837,35536,36547,37951,38740,40411,40949,41942,42918,44567,46117,47749,49301,51849,51987,52973,54726,55886,56884,58278,59317,57747,59803,59110,56842,57319,57835,60191,61604,63594,65626,67585,69325,72244,73289,74374,78398,78715,80336,83441,86117,87732,88247,89628,89901,91610,95190,97733,100758,103596,105753
"47","39","S4       Vending machine operators","T060390",2698,2756,2707,2652,2796,2893,2732,2606,2425,2371,2430,2545,2488,2449,2431,2373,2272,2274,2349,2441,2368,2409,2364,2379,2396,2335,2227,2342,2417,2310,2326,2253,2216,2180,2197,2135,2059,2089,1994,1888,1816,1768,1732,1655,1671,1667,1663,1644,1579,1543,1522,1574,1613,1598,1605,1550,1581,1509,1527,1523,1483,1515,1526,1569,1595,1680
"48","40","S4       Direct selling establishments","T060400",19613,20443,20028,19201,18761,19536,20314,20608,20999,19643,19315,19379,20250,21773,21349,21868,21003,20901,21452,22061,20852,20040,20905,20514,20234,19806,19230,19778,19102,19748,19432,19169,19823,19275,18920,18869,18323,18202,17947,18326,18705,18290,17863,17869,17713,17479,17804,17638,17522,16759,17025,17043,15812,16635,16855,16533,16904,17106,16794,18206,18275,17032,16377,16420,17136,16084
"49","41","S1 Food services and drinking places","T060410",100413,101436,101545,103891,105719,106219,106530,105828,107486,107025,107321,107442,108705,109058,109069,109236,110091,112369,114375,115374,116185,116234,117051,118556,119001,120851,121075,122650,124889,124062,124882,127370,126599,127209,127473,128315,125812,126336,125234,123086,121278,119860,119168,119236,120561,122203,123011,123454,124454,125436,126553,127177,128870,129529,129708,130552,131788,130269,130664,133653,133116,135412,136802,139810,140823,142597
"50","42","S4   Full-service restaurants","T060420",43774,44391,44393,45061,45986,46110,46151,46227,46738,46595,47204,47294,48235,48157,48063,48361,48283,49634,50559,50492,51090,50799,51475,51963,52171,52634,52787,53522,54111,53925,54525,56361,55879,55733,55218,55802,54412,54342,53428,52942,52428,51056,50898,50959,51091,52170,51863,51958,52856,53693,54709,54756,55273,55803,56064,56561,56444,55768,56045,57956,58143,58490,59088,61242,62017,62727
"51","43","S4   Limited-service eating places","T060430",43178,43252,43298,44433,44786,45228,45265,45031,45882,45455,45450,45681,45744,46065,46445,46242,46903,47779,48293,49561,49631,50076,50280,50975,51309,52199,52174,52660,53776,53134,53368,53587,52998,53700,54397,54522,53719,54023,53649,53098,52131,52117,51597,51611,52832,53257,54022,54380,54769,54710,54805,55108,55850,55693,55903,56463,57576,57169,57338,57540,56956,58879,59556,60136,60332,61628
"52","44","S4   Special food Services","T060440",8257,8543,8760,9136,9469,9448,9833,9458,9678,9888,9348,8982,9340,9472,9290,9329,9491,9430,9969,9746,9913,9924,9932,10259,10226,10642,10663,10951,11401,11353,11366,11757,12091,12147,12196,12436,12309,12468,12534,11619,11359,11353,11503,11501,11406,11638,11933,11832,11590,11844,11907,12198,12587,12727,12338,12361,12436,12243,12258,12950,12841,12818,13023,13153,13257,13004
"53","45","S4   Drinking places (alcoholic beverages)","T060450",5212,5248,5089,5260,5466,5427,5270,5101,5183,5075,5306,5476,5363,5346,5262,5289,5407,5515,5535,5578,5548,5440,5367,5362,5302,5384,5456,5519,5606,5650,5619,5643,5603,5612,5657,5545,5367,5498,5621,5427,5360,5334,5170,5166,5233,5138,5195,5286,5242,5188,5130,5114,5158,5305,5402,5165,5330,5090,5024,5205,5172,5224,5134,5275,5213,5234
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  S1   Retail and food services except motor vehicle and parts dealers","T060460",698391,702439,708128,724379,727501,733003,739512,747455,749711,752639,754786,769805,779081,781586,781353,789472,789942,806724,821146,827606,836259,841136,847698,858727,871006,882854,883984,900587,918631,915078,913224,931425,935013,931312,934812,938806,928652,932808,916267,899406,896154,886255,883137,888240,898486,910880,912312,923492,926388,930023,934335,942308,952014,949431,955321,962944,977986,981740,984449,991724,996757,1011195,1016546,1031167,1046206,1048720
"56","47","  S1   Retail trade except motor vehicle and parts dealers","T060470",598616,601706,607176,621096,622615,627576,633679,642045,642844,646109,647960,662633,670648,672803,672564,680423,680117,694620,707039,712511,720320,725092,730830,740354,752078,762097,763010,777976,793764,791008,788429,804139,808406,804169,807391,810569,802845,806474,791113,776379,774899,766397,763961,768988,777917,788676,789304,800033,801934,804597,807806,815139,823162,819939,825643,832421,846224,851508,853824,858076,863680,875815,879754,891311,905425,906007
"57","48","  S2   GAFO-Department store merchandise stores \1\","T060480",192078,195028,198743,202916,206099,210088,212576,214042,214889,217054,219477,225489,228858,230262,230150,235349,235933,242095,249209,251780,256894,257088,261369,266249,271127,276649,279139,285656,290790,291440,293655,298351,301247,301692,305429,306727,303423,308085,301655,293180,291954,287778,289642,292853,298627,301160,303096,308529,310504,313509,313602,315561,321989,321134,323725,324939,330890,333224,335576,337756,337187,344731,347947,352786,353078,357978
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
