"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"15","7","Wholesale trade","N658RX1",23.9,40,19.8,36.3,37.3,16.4,33.9,18.4,27.2,9.8,26.2,31.1,20,29.8,16.8,25.9,-7.1,-7.7,-28.2,-17.9,-8.5,6.9,5.5,-2.4,-6.7,-5.1,0.3,19.1,15.9,20.2,34.5,26.4,47.8,26,13.7,36.1,23.5,31.1,31.4,9.4,13,15.9,22.6,12.1,15,31.4,16.1,10.5,-70.8,-88.5,-80.9,-7.4,5.8,15.5,54.9,23,4.8,36.6,-7.1,32.2,12.6,26,48.4,16,17.4,4.1,32.3,44.1,27,22.1,32,37.4,48.7,40.1,22.2
"16","8","  Durable goods industries","N661RX1",16.2,27.6,8.8,19.9,27.5,9.4,24.2,13.5,17.5,12.5,11.6,21.6,12.7,24.6,9.7,13.9,-7.4,-23.8,-24.6,-20.8,-10,1.6,8.7,-7.3,5.2,-1.6,-6.2,14.2,17.7,21.3,30.5,15.7,31.4,22.2,8.7,27,11.1,27.9,26.8,9.5,13.5,-6.6,-2.5,8.8,12.4,3.5,22,-3.7,-65.2,-62,-49.8,-21.3,7.4,1.1,19.8,13.1,17.5,30.5,23.2,20.2,18.4,28,20.4,17.9,12.8,2.7,19.4,24.8,19.5,21.3,29.2,12.4,29.8,16.1,0.9
"17","9","  Nondurable goods industries","N664RX1",6.7,10.7,11.9,16.7,7.7,7,8,3.8,9.1,-5,15.6,8.4,7,3.5,7.1,12.2,1,20,-1.9,5.3,2.5,5.7,-4.2,5.9,-13.1,-3.7,7.4,4.5,-2.8,-2.3,2.8,10.6,15.9,3.1,4.9,8.8,12.6,2.6,4.1,-0.3,-1,22.7,25.2,3.2,2.9,26.6,-4.8,14,-5.1,-26.4,-31.2,13.5,-1.6,14,34.5,9.8,-11,7.5,-26.3,12.2,-3.9,0.1,27,-0.2,5.2,1.5,13.1,19.4,8,2.1,4.3,23.9,19.2,23.5,20.2
"18","10","Retail trade","N153RX1",6.7,25.1,17.9,13.3,31.2,2.7,9.7,21.3,41.9,15.6,9.3,43,8.8,38.4,22.9,17,-23.8,7.3,11.5,-40.2,23.1,29.5,21.4,36.9,30.1,8.4,17.8,20.3,33.6,31.1,13.3,22.7,16.5,-11,-6.5,21.6,10.5,8.2,13.3,7.1,-8.1,13.3,17.3,3.7,-39.7,-21.7,-21.2,-37.9,-58.2,-59.2,-65.5,-15.9,12.5,27,33.4,0.7,5.7,-12.1,-1.5,3.5,31.9,31.5,21,18.7,22.3,23.4,29,34.8,9.6,8.5,16.9,12.6,21,31.4,46.4
"19","11","  Motor vehicle and parts dealers","N631RX1",0.7,6.8,5.4,7.4,9.9,-6.2,-4.2,7.8,24.7,0.6,2.5,21.6,2,23.2,15.6,6,-25.8,9.1,8.5,-28.4,19.4,18.3,2.8,28.1,16.9,11.8,7.7,15.2,14.8,13.6,1.9,0,3.1,-19,-7.6,12,0.8,0.1,0.6,-4.2,-9,3.1,18.5,-1,-13.1,-9,-15.6,-11.3,-42.7,-38.2,-44,-6.9,10.5,17.9,23.8,-5.5,2.7,-6.2,1.7,6.4,30.6,21,20.3,10,13.5,15.1,16,22,1.6,10.6,11.1,3.7,4.5,13.1,26.8
"20","12","  Food and beverage stores","N542RX1",0.4,0.6,1.8,-1,1.3,2.4,-0.2,1.5,2.4,2,2.7,0.9,-0.1,-2.5,0.5,-0.9,1.1,0.8,0,0.2,0.6,0.9,2.9,-0.1,-1.1,-3.6,1.7,-2.8,0.4,0.9,0.3,-0.1,0.2,-0.1,-2.2,1,1.7,1.4,0.5,0.3,-0.8,1.7,2.6,1.5,-0.6,0.3,-0.8,-0.7,2.5,-1,-0.4,-2.5,1.3,-0.9,0.7,0.2,-2.1,1.1,0.5,0,2.1,-1.7,0,0,0.2,1.4,-0.1,1.1,0.8,0,1.3,1,2.8,-0.3,1.5
"21","13","  General merchandise stores","N543RX1",-0.4,3.7,-1.4,-1.2,-0.2,-0.2,2.8,-0.8,3.5,2.5,2.3,4.1,0.4,2.9,-1,2.3,5.8,0.8,-0.2,-5.8,-1.4,0.3,5,5.4,1,1.4,2.4,1,6.8,3.6,1.1,8.2,6.8,1,2.6,1.9,-2.6,-1.9,5.5,3.4,0.6,0.7,-3.3,1.1,-7.3,-2.3,-0.7,-6,-3.1,-2.9,-5.3,-0.2,0.8,2.7,4.4,0.8,4.6,-1.4,-0.5,1.1,-2,2.2,-2.4,6.2,0.4,-0.9,0.8,0.1,1.5,-4.3,1.7,-0.9,0.3,8.9,0.8
"22","14","  Other retail stores","N558RX1",6.1,13.8,11.9,7.2,19.8,7.9,12.1,12.5,9.5,11.3,2.1,14.8,6.4,12.3,6.4,9,-1.7,-4.4,2.4,-3.4,2.4,8.6,11.4,0.8,12,-2.8,5.8,5.9,11.2,12.6,10.1,15.2,6.5,8.4,1.1,6.3,10.7,8.7,7,7.9,1.4,7.9,-0.8,2.2,-18.7,-10.6,-4.1,-20,-15.1,-17.2,-15.8,-6.3,-0.1,7.2,4.3,5.4,0.6,-5.6,-3.3,-3.9,1.4,10.1,3.1,2.7,8.3,7.8,12.6,11.8,5.8,2.4,2.9,8.9,13.3,9.8,17.7
"23","15","Other industries","N154RX1",9.6,5.4,3.9,6,4,6.5,6.2,9.7,8.7,10.3,8.1,6.4,12.6,15.5,21.2,7.9,2,-0.9,-0.9,-1.8,-3.3,2.1,-0.7,-1.1,-0.6,4.3,1.2,1.8,4.7,4.3,5.1,4.3,3,3,-0.1,4.1,2.3,6.6,5,3.2,1,1.3,-1.5,-1.5,0.8,-1.3,0.3,7.3,-5.2,-8.6,-5.9,-2.3,-1,-2.2,-0.8,-0.5,5.6,2.3,0.4,5,-11,14.2,5.6,5,-4.4,4.6,7.5,-3.6,0.7,8.5,10.4,8.9,11.2,1.3,7.6
"24","16","Residual","N969RX1",1.4,1.7,-1.4,1,4,-1.7,1.3,2.3,7.5,1.8,2.4,8.3,3.8,8.4,5.2,3.3,-7.7,-2.9,-0.8,-11.8,4.1,5.4,1.9,5.9,4.1,2.3,0.3,1.8,3.3,3,0.6,-0.7,0,-0.9,-0.8,0.5,2.9,4.2,2.6,1.8,0.7,-0.3,-0.2,-1.2,1.3,1,-0.4,-3.6,1.2,-0.4,-0.9,0.2,-0.9,-0.1,0.3,-0.4,-3.6,0,-5.3,-0.3,-7.2,-9.8,-5.3,-7.9,-0.5,-1.2,-0.7,-0.1,-3.2,-2,-3.8,-1.3,-1.8,-1.6,0
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Change in private inventories","A014RX1",51.4,112.9,80.9,94,127.9,49.6,67.4,71.1,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,25.1,57.5,-13,80.8,56,76.6,70.6,15.5,25.2,39.6,93.6,87.2,36.9,77.1,79.9,78.2,112.8,113.5,85.5
"27","18","    Durable goods industries","N355RX1",30,56.5,34.7,49.9,76.7,25,35.4,36.7,58,13.1,29.5,67.3,19.3,64.6,36.1,38.9,-49.5,-27.8,-38,-84.2,8.9,19,17.1,34.9,32,3.3,-8.5,38.8,38.4,54,41.4,34.9,70.7,22.1,21.1,64.8,27.2,46,53.4,15.6,17.1,4.2,14.5,28.3,-18.7,-45.1,-7.9,-25.3,-140.6,-145.5,-134.2,-47.8,22.3,34.8,64.6,29.2,44.8,44.3,33.2,39.8,56.3,71.5,58.8,24.7,25.6,25.5,56.5,60.6,47.7,54.5,64.6,43.5,57.9,55.4,35.1
"28","19","    Nondurable goods industries","N357RX1",19.6,54.7,46.3,42.1,46.6,23.9,30.6,33,36,33.6,20.5,36.2,2.7,41.2,31.7,23.4,16.2,18.1,4.3,-6.6,-14.3,6.4,15,-2.1,2.7,-3.9,17.1,6.6,17.1,26.9,29,41.3,39.3,10.6,-3.3,29.7,51.7,38.2,27.9,26,2.1,45.3,35.5,-5,-1.6,16.4,-12.3,-41.2,-4.1,-44.6,-71.8,-1.9,-11.8,14.5,52.2,29.4,-16.8,15.2,-42.1,41.5,3.8,10,15.4,-6.8,1.6,15.2,39.3,29.5,-7,25.3,18.9,35.6,55.9,58.9,50.5
"29","20","  Nonfarm industries","A015RX1",59.3,104.2,71.1,87.3,121.1,51.4,63.9,69.1,97.5,43.6,60.6,109.1,41,101.4,69.7,56.3,-43.5,-9.7,-38,-92.2,-6.1,35.8,35.5,36.8,33,0.7,7.4,48.6,50.7,65.9,62.8,70.3,115.8,32.1,14.9,92.6,76.9,90.8,87.7,46.2,16.4,53.2,52.3,24.1,-15,-28.8,-25.7,-70.4,-144.2,-189.3,-201.6,-48.8,12.9,54.6,126.8,69.1,25.2,58.9,-15.9,78.3,65.8,92,97.7,35.3,23.5,32.9,84,76.6,36.2,74.5,74.5,74.9,106.8,111,79.2
"30","21","  Wholesale trade","N658RX1",23.9,40,19.8,36.3,37.3,16.4,33.9,18.4,27.2,9.8,26.2,31.1,20,29.8,16.8,25.9,-7.1,-7.7,-28.2,-17.9,-8.5,6.9,5.5,-2.4,-6.7,-5.1,0.3,19.1,15.9,20.2,34.5,26.4,47.8,26,13.7,36.1,23.5,31.1,31.4,9.4,13,15.9,22.6,12.1,15,31.4,16.1,10.5,-70.8,-88.5,-80.9,-7.4,5.8,15.5,54.9,23,4.8,36.6,-7.1,32.2,12.6,26,48.4,16,17.4,4.1,32.3,44.1,27,22.1,32,37.4,48.7,40.1,22.2
"31","22","    Merchant wholesale trade","N151RX1",22.6,36.5,18.4,30,32.8,16,31.7,15.4,24.6,5.5,22.3,28.6,15.9,23.4,10.9,22.3,-3.7,-3.1,-18.6,-14,-3.6,4.1,4.6,-0.7,-3.7,-4.1,0.8,16.5,14.7,16.7,29.7,26.9,31.9,19.8,11.7,23.8,15.6,27.8,24.9,3.2,7.1,9.6,14,9.1,-8.7,14.8,16.9,0.6,-51.2,-70.6,-64.3,1.7,0.1,12.4,48.9,21.2,0.3,30,-8.9,28.6,11.6,24.9,39,11,17.8,4.2,31.9,39,34.1,24.3,37,40,41.3,37.8,21.9
"32","23","      Durable goods industries","N626RX1",15.5,25.9,8.3,15.5,24.2,9.6,21.9,11.3,16.2,9.6,10.5,20.1,9.8,21.3,5.5,10.7,-4.3,-21.5,-18.4,-17.5,-8.3,-0.2,6.5,-7.8,6.6,-0.5,-4.5,10.3,17.2,20.5,26.3,17.2,22.7,18.7,6.7,21.2,10.1,24.1,19.1,6.8,8,-4.4,-0.9,8,7.5,2.6,21.1,-5.1,-56.8,-54.2,-45.1,-21.9,7.9,3.2,22,18.4,10.4,26.5,16,15.7,18,24.8,19.4,18,15.7,1.4,18,21.8,18.8,25,26.8,14,26.7,15.7,1.7
"33","24","      Nondurable goods industries","N627RX1",6.3,9.1,10.8,15.2,7.1,6.3,8.8,3.4,8,-5.9,12.4,7.7,5.9,0.5,5.6,12,0.9,21.9,1.1,5.2,5.9,4.7,-2.4,8,-11.4,-3.9,5.9,6.1,-3.3,-4.9,2.4,9.5,8.8,0.4,5,2.1,5.5,3.2,5.5,-3.8,-1.2,14.3,15,1,-15.6,11.6,-3.7,5.4,5.9,-16.4,-19.3,23.4,-7.7,9.2,26.7,3.2,-9.1,4.7,-22.2,12.7,-4.8,1.6,19.2,-5.1,3,2.5,13.9,17.1,15.2,0.8,10.9,25.1,15,21.6,19.2
"34","25","    Nonmerchant wholesale trade","N152RX1",1.3,3.5,1.4,6.3,4.6,0.4,2.1,3,2.5,4.5,4,2.5,4.2,6.5,5.9,3.6,-3.5,-4.7,-9.8,-4,-5.1,2.9,0.9,-1.8,-3,-1,-0.5,2.7,1.1,3.5,4.8,-0.5,15.8,6.1,2,12,7.8,3.3,6.5,6,5.8,6.2,8.4,2.9,22.8,16.1,-0.2,10.2,-19.8,-17.9,-16.6,-8.9,5.5,3.1,6.1,1.9,4.3,6.6,1.6,3.7,1.1,1.3,9.3,4.9,-0.2,0,0.7,5.3,-6.4,-1.9,-4.5,-2.4,7.4,2.3,0.3
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","change in chained-dollar end-of-period inventories. Quarterly changes in end-of-period inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","stated at annual rates. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
