"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Goods","DGDSRG3",95.46,95.656,95.681,95.704,96.341,96.766,96.583,97.012,97.125,96.6,96.328,96.198,95.449,95.068,95.04,94.868,94.768,95.455,95.93,96.26,97.02,97.479,97.74,97.842,97.831,97.998,97.484,96.404,95.956,96.609,96.585,96.571,97.189,95.783,96.289,96.259,97.11,97.654,97.751,98.953,98.847,99.103,100.846,101.203,101.116,101.765,102.329,100.822,101.612,102.548,102.627,104.37,105.689,106.678,108.451,103.784,102.186,102.853
"12","4","    Durable goods","DDURRG3",124.627,124.491,124.09,123.813,123.907,123.09,122.769,122.237,121.765,120.592,119.783,119.114,118.238,117.355,116.456,115.587,114.611,114.036,113.501,112.815,112.283,112.048,111.362,111.081,110.573,109.786,109.055,108.501,107.535,106.978,106.455,105.721,104.446,103.367,102.358,101.458,101.419,101.344,100.598,100.657,100.548,100.385,99.623,99.444,99.141,98.742,98.281,97.789,97.395,97.052,96.375,96.034,96.037,95.832,95.537,94.743,94.326,94.399
"13","5","      Motor vehicles and parts","DMOTRG3",99.425,100.115,100.009,100.603,101.685,101.731,102.082,102.676,103.019,102.418,102.12,102.156,101.519,100.918,101.346,101.472,101.219,101.207,101.944,102.102,101.708,102.155,101.849,102.263,102.578,102.423,102.128,102.448,101.939,101.758,102.051,101.675,100.148,99.543,98.85,97.754,97.931,98.332,98.053,99.279,99.929,100.338,99.494,100.24,100.57,100.313,100.022,99.598,99.306,99.298,99.458,99.871,99.595,98.999,98.594,96.905,96.689,97.893
"14","6","      Furnishings and durable household equipment","DFDHRG3",110.231,109.883,110.614,110.49,110.719,110.523,110.841,110.387,110.536,110.834,110.344,110.103,110.312,110.847,110.441,109.847,109.67,109.186,108.757,108.094,108.494,108.297,108.122,107.641,107.175,106.491,106.086,105.389,104.638,104.546,103.924,103.299,102.635,101.527,100.462,100.082,100.282,100.054,99.486,99.929,100.153,100.554,99.733,99.559,99.564,99.566,99.443,99.358,99.168,99.213,98.487,97.793,98.179,97.728,98.207,98.082,98.574,98.882
"15","7","      Recreational goods and vehicles","DREQRG3",208.73,205.801,201.257,197.521,194.838,190.447,186.927,183.45,179.432,174.089,170.917,167.976,164.401,160.962,156.276,152.333,149.069,146.435,142.967,140.159,137.93,136.821,134.83,132.686,129.789,127.35,125.134,122.999,120.721,118.999,117.203,115.675,113.771,111.458,109.493,108.499,107.482,106.554,104.828,103.22,101.727,100.81,99.595,97.868,96.425,95.103,93.513,91.879,90.369,89.183,87.42,86.23,85.678,84.718,83.923,83.03,81.789,80.664
"16","8","      Other durable goods","DODGRG3",112.583,112.803,113.806,114.035,113.435,112.716,112.682,111.692,111.608,111.173,111.17,110.252,110.3,109.476,108.374,107.931,106.403,106.844,106.06,105.794,105.886,104.705,104.004,104.883,105.566,105.335,105.21,104.701,104.182,103.672,102.892,102.284,102.009,101.847,101.816,100.745,101.519,101.968,101.458,100.589,100.52,99.132,99.845,100.504,100.494,101.135,102.328,103.797,105.714,105.904,105.975,106.718,108.517,112.383,112.385,112.853,112.707,113.374
"17","9","    Nondurable goods","DNDGRG3",81.706,82.011,82.186,82.316,83.129,83.998,83.873,84.651,84.987,84.729,84.674,84.764,84.084,83.916,84.254,84.385,84.669,85.906,86.834,87.626,88.987,89.776,90.486,90.776,91.014,91.649,91.245,89.898,89.713,90.985,91.223,91.592,93.196,91.627,92.95,93.392,94.724,95.601,96.16,97.994,97.886,98.375,101.542,102.197,102.229,103.472,104.621,102.539,104.01,105.678,106.187,109.126,111.185,112.838,115.759,108.971,106.739,107.723
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",80.163,80.856,81.095,81.485,82.111,82.941,83.852,84.569,84.647,84.783,85.105,85.289,85.575,85.789,86.117,86.615,86.973,87.206,87.532,88.022,88.518,89.127,89.972,90.327,91.182,91.779,92.55,92.954,93.469,93.528,93.445,93.669,94.186,94.782,95.549,96.666,97.095,98.123,98.564,99.287,99.012,100.055,100.166,100.767,101.227,101.201,101.927,102.482,103.765,105.163,106.224,107.339,108.745,110.887,113.383,114.69,114.382,113.34
"19","11","      Clothing and footwear","DCLORG3",115.614,114.995,114.812,114.671,114.675,114.187,112.603,113.086,113.37,114.728,113.529,113.065,111.848,111.317,112.038,111.213,109.808,110.476,110.034,110.191,109.484,108.77,108.53,108.479,108.644,107.076,106.005,104.912,104.502,104.262,103.711,102.927,101.81,100.759,101.273,101.238,100.776,101.28,100.928,100.718,100.719,100.304,99.62,99.357,99.04,100.004,99.696,99.553,99.648,98.658,97.935,98.312,98.136,97.351,98.449,97.354,98.186,98.362
"20","12","      Gasoline and other energy goods","DGOERG3",50.945,50.998,50.381,49.554,52.027,54.944,53.3,55.359,56.315,52.678,53.226,53.404,48.962,46.809,46.612,45.6,44.271,49.501,53.416,56.345,63.102,65.129,67.009,67.83,66.078,68.688,63.837,55.318,53.026,59.445,61.029,64.013,73.984,64.068,69.314,70.114,76.568,78.395,81.112,90.073,89.268,89.909,109.543,111.279,109.418,115.501,121.13,105.653,111.188,120.288,121.174,136.863,146.115,152.33,164.604,111.728,92.354,94.923
"21","13","      Other nondurable goods","DONGRG3",83.07,83.447,84.174,84.664,85.057,85.347,85.536,85.763,86.063,86.551,86.237,86.42,87.009,87.689,88.149,88.923,90.744,91.125,91.691,91.949,92.372,93.403,93.814,93.932,94.547,95.226,96.078,96.341,96.56,97.225,97.478,97.238,97.146,97.169,97.537,97.376,97.971,98.422,98.493,99.032,99.325,99.613,100.184,100.877,101.528,102.116,102.468,102.533,103.101,103.177,103.588,104.29,105.178,105.737,106.302,107.176,108.596,111.253
"22","14","  Services","DSERRG3",74.554,75.15,75.637,76.142,76.553,77.143,77.784,78.434,79.018,79.594,80.071,80.586,80.998,81.474,81.913,82.394,82.85,83.251,83.7,84.258,85.058,85.417,86.063,86.756,87.709,88.277,88.555,89.173,89.719,90.468,91.186,91.856,92.558,93.392,94.063,94.754,95.513,96.314,97.175,97.748,98.704,99.52,100.306,101.47,102.171,102.998,103.844,104.63,105.668,106.433,107.327,108.427,109.213,110.296,111.275,111.542,111.749,111.943
"23","15","    Household consumption expenditures (for services)","DHCERG3",74.491,75.098,75.588,76.116,76.537,77.115,77.764,78.412,78.981,79.572,80.018,80.489,80.865,81.301,81.728,82.223,82.688,83.062,83.477,83.998,84.812,85.098,85.759,86.423,87.341,87.901,88.171,88.843,89.377,90.117,90.898,91.629,92.359,93.274,93.962,94.692,95.525,96.319,97.184,97.8,98.726,99.554,100.282,101.437,102.177,103.028,103.916,104.731,105.772,106.561,107.455,108.632,109.44,110.544,111.528,111.837,112.113,112.313
"24","16","      Housing and utilities","DHUTRG3",73.225,73.716,74.228,74.823,75.404,75.958,76.458,76.929,77.57,77.936,78.495,79.05,79.326,79.88,80.366,80.858,81.303,81.724,82.238,82.79,83.551,84.237,85.175,86.169,87.702,88.469,89.08,89.621,90.322,90.99,91.565,92.312,93.272,93.988,94.454,94.944,95.548,96.299,97.109,97.685,98.445,99.278,100.271,102.005,102.942,103.663,104.806,105.719,106.882,107.708,108.311,109.287,110.223,111.617,112.836,113.029,113.4,113.28
"25","17","      Health care","DHLCRG3",75.28,75.756,76.144,76.731,77.091,77.55,77.963,78.461,78.773,79.261,79.556,79.706,80.149,80.659,81.01,81.462,81.956,82.331,82.783,83.305,83.978,84.386,85.352,85.962,86.811,87.512,88.086,88.665,88.936,89.56,90.469,91.295,92,93.103,93.932,94.889,95.857,96.658,97.287,97.929,98.885,99.594,100.264,101.257,101.742,102.626,103.58,104.209,105.706,106.327,107.095,108.23,108.707,109.364,110.113,110.721,111.416,112.101
"26","18","      Transportation services","DTRSRG3",81.776,83.184,83.895,84.003,83.123,83.886,84.563,85.482,85.278,85.997,86.234,87.013,87.347,87.309,87.911,88.024,88.2,88.843,89.112,89.671,90.334,91.208,92.023,92.934,92.944,92.768,92.471,92.39,92.384,93.253,93.119,93.532,94.04,94.73,95.516,95.993,96.089,95.796,96.603,97.347,98.314,99.207,100.334,102.145,103.31,104.184,104.668,104.697,105.43,105.848,106.984,108.225,109.686,111.795,113.545,114.588,115.115,114.582
"27","19","      Recreation services","DRCARG3",73.056,73.623,74.016,74.66,75.258,75.964,76.642,77.33,77.948,78.603,79.125,79.387,79.966,80.446,80.912,81.539,82.214,82.976,83.621,84.433,85.348,85.949,87.131,87.716,88.389,89.222,89.635,90.242,90.767,91.69,92.29,93.026,93.938,94.429,95.098,95.578,96.34,96.958,97.557,98.226,98.822,99.346,100.344,101.489,102.13,103.055,103.949,104.346,105.09,105.996,106.291,107.475,108.433,109.207,110.389,110.038,110.27,110.166
"28","20","      Food services and accommodations","DFSARG3",75.269,75.983,76.436,76.823,77.181,77.888,78.475,79.173,79.703,80.209,80.681,81.394,81.835,82.358,82.834,83.589,83.956,84.51,85.09,85.602,86.28,86.813,87.513,88.033,88.702,89.385,90.042,90.447,91.115,91.513,92.055,92.589,92.91,93.381,94.026,94.776,95.5,96.511,97.403,98.14,99.058,99.7,100.128,101.114,102.058,103.021,103.763,104.557,105.612,106.771,108.082,108.927,109.916,110.857,112.317,113.305,113.783,114.201
"29","21","      Financial services and insurance","DIFSRG3",73.524,74.112,74.851,75.569,76.122,76.752,78.101,79.118,80.583,81.814,82.518,83.552,84.005,83.797,84.094,84.388,84.899,84.815,84.843,85.083,86.689,85.47,85.141,85.339,85.932,85.849,83.749,85.178,85.833,87.179,87.992,89.072,89.482,91.222,92.154,93.063,94.644,95.969,97.398,97.941,99.095,99.956,100.181,100.768,101.027,101.882,102.378,103.927,104.792,105.515,107.213,109.385,109.591,110.252,110.389,109.713,108.695,108.783
"30","22","      Other services","DOTSRG3",73.651,74.401,74.772,75.092,75.63,76.189,76.966,77.771,78.131,78.8,79.056,79.158,79.449,80.208,80.622,81.299,81.819,82.112,82.46,83.037,83.528,83.711,83.985,84.543,85.275,85.892,87.055,87.934,88.566,89.189,90.707,91.186,92.059,92.884,93.569,94.423,95.188,95.91,96.884,97.451,98.578,99.796,100.486,101.14,102.105,103.043,103.911,104.632,105.069,105.963,106.777,107.687,108.958,110.567,111.614,112.136,112.478,112.799
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",74.971,75.221,75.631,75.44,75.604,76.527,76.943,77.599,78.631,78.708,80.118,81.978,83.474,85.091,85.901,85.949,86.152,87.314,88.735,90.315,90.699,93.124,93.32,94.797,96.66,97.428,97.91,97.13,97.964,98.922,98.087,97.289,97.32,96.239,96.474,96.235,95.225,96.181,96.94,96.446,98.14,98.633,100.936,102.291,101.99,102.217,102.057,102.152,103.114,103.29,104.194,103.504,103.793,104.415,105.276,104.641,103.349,103.418
"32","24","      Gross output of nonprofit institutions \2\","DNPERG3",72.116,72.573,73.013,73.536,74.003,74.617,75.038,75.572,76.037,76.436,76.93,77.488,78.133,78.889,79.363,79.692,80.159,80.789,81.483,82.287,82.96,83.977,84.864,85.709,86.605,87.42,88.075,88.344,89.061,89.914,90.624,91.212,92.085,92.645,93.45,94.25,94.874,95.906,96.754,97.18,98.462,99.2,100.502,101.837,102.403,103.301,104.074,104.693,105.68,106.354,107.174,108.018,108.619,109.42,110.249,110.478,110.752,111.387
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",70.863,71.375,71.822,72.548,73.105,73.624,74.044,74.537,74.839,75.319,75.562,75.766,76.172,76.683,77.058,77.466,78.01,78.481,78.958,79.527,80.281,80.864,81.959,82.602,83.188,84.016,84.726,85.333,86.01,86.824,88.047,89.109,90.271,91.404,92.407,93.568,94.759,95.815,96.69,97.424,98.569,99.385,100.361,101.685,102.532,103.655,104.759,105.568,106.564,107.412,108.202,109.611,110.329,111.198,112.012,112.582,113.457,114.301
"34","26","Gross private domestic investment","B006RG3",90.592,90.881,90.974,90.913,90.55,90.265,90.549,90.457,90.302,90.147,90.096,89.933,89.387,89.103,89,88.945,89.059,89.019,88.882,88.997,89.516,89.783,90.184,90.334,90.337,90.622,91.02,91.012,90.975,90.962,90.928,91.608,92.191,92.035,92.303,93.115,94.059,95.181,96.194,97.092,98.208,99.258,100.57,101.964,103.139,104.026,104.666,105.653,106.375,106.547,106.761,107.024,106.586,106.745,107.35,108.738,108.245,107.566
"35","27","  Fixed investment","B007RG3",89.779,90.074,90.194,90.194,89.903,89.63,89.893,89.841,89.696,89.587,89.608,89.466,88.999,88.745,88.671,88.611,88.74,88.729,88.606,88.727,89.282,89.58,89.988,90.151,90.121,90.443,90.837,90.813,90.743,90.748,90.752,91.453,92.084,91.915,92.189,93.016,93.957,95.088,96.113,97.006,98.146,99.237,100.605,102.012,103.195,104.089,104.713,105.677,106.38,106.591,106.803,107.096,106.909,107.21,107.866,108.217,107.668,106.987
"36","28","    Nonresidential","B008RG3",102.067,102.352,102.387,102.18,101.583,100.978,100.961,100.695,100.289,99.948,99.672,99.193,98.388,97.768,97.306,96.885,96.731,96.334,95.859,95.768,95.988,96.095,96.421,96.371,95.864,95.893,95.85,95.547,95.524,95.307,95.148,95.472,95.412,95.127,95.247,95.632,95.927,96.603,97.111,97.696,98.78,99.572,100.248,101.401,102.279,103.112,103.878,104.868,105.686,106.104,106.354,106.693,106.617,107.161,108.314,109.498,109.154,108.121
"37","29","      Structures","B009RG3",59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,119.716,120.794,121.786,122.804,122.976,123.8,125.814,128.238,127.092,124.1
"38","30","      Equipment and software","B010RG3",122.496,122.684,122.28,121.599,120.606,119.489,118.948,118.248,117.208,116.306,115.43,114.209,112.414,111.046,110.023,109.08,108.599,107.781,106.84,106.405,106.309,106.146,106.25,105.75,104.496,103.985,103.304,102.626,102.257,101.567,101.042,101.11,100.625,100.201,100.117,100.205,99.926,100.106,99.887,99.669,100.114,100.234,99.812,99.84,99.977,100.042,100.285,100.472,100.611,100.766,100.712,100.769,100.59,101.019,101.797,102.415,102.45,102.325
"39","31","        Information processing equipment and software","A679RG3",179.51,177.877,174.926,171.408,167.508,163.016,160.13,157.337,154.138,151.289,148.071,144.783,140.152,136.472,133.298,130.31,128.272,126.244,124.585,123.387,122.845,122.208,122.05,121.086,118.43,117.14,114.918,113.455,112.364,110.957,110.11,109.204,107.956,107.208,105.947,104.484,103.767,103.136,102.591,101.543,101.031,100.359,99.617,98.992,98.611,98.349,98.026,97.61,97.19,96.913,96.445,96.244,95.716,95.827,95.686,95.17,94.578,94.05
"40","32","          Computers and peripheral equipment","B935RG3",689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.675,79.257,76.555,74.774,72.019,70.596,69.291,67.933,66.328,64.576
"41","33","          Software \4\","B985RG3",111.635,111.881,111.608,111.018,110.259,109.316,108.375,107.53,106.756,106.418,105.37,104.372,102.994,102.598,102.499,102.196,103.066,103.661,104.192,104.486,105.283,106.426,108,108.158,107.781,108.199,106.782,106.967,106.558,105.211,105.324,105.042,103.989,103.931,102.98,101.378,101.017,100.675,100.703,99.68,100.051,100.106,99.919,99.923,100.411,101.203,101.565,101.504,101.444,101.579,101.697,102.08,102.296,102.94,103.16,102.595,102.145,101.767
"42","34","          Other","A937RG3",130.846,130.898,130.504,129.668,129.314,128.405,128.114,128.036,127.806,127.22,126.775,125.622,123.652,121.831,120.417,119.237,118.055,116.71,115.416,114.439,114.113,113.435,112.999,112.254,111.315,109.882,108.558,107.339,106.824,105.941,105.39,105.066,104.911,104.186,103.029,102.082,101.328,100.858,100.619,100.37,100.27,100.003,99.892,99.834,99.583,99.529,99.72,99.754,99.759,100.176,100.255,100.26,100.161,100.538,100.625,100.624,100.416,100.39
"43","35","        Industrial equipment","A680RG3",87.252,88.538,89.18,89.637,90.123,90.296,90.618,90.928,91.039,91.029,91.123,91.242,91.371,91.514,91.725,91.877,92.102,92.004,92.133,92.378,92.486,92.595,92.773,92.82,93.139,93.328,93.265,93.355,93.15,93.109,93.422,93.551,93.695,93.877,94.138,94.343,95.108,95.979,96.736,97.646,98.785,99.845,100.305,101.066,101.749,102.557,103.838,104.626,105.642,106.405,107.079,107.956,108.877,110.426,112.127,112.339,112.055,112.083
"44","36","        Transportation equipment","A681RG3",87.464,87.891,88.635,89.012,88.864,89.814,90.606,90.768,90.752,91.09,92.185,91.737,90.87,90.539,90.723,91.14,92.147,92.185,91.027,91.138,91.547,91.701,92.147,91.496,90.395,90.324,91.842,91.244,91.975,91.923,90.516,92.8,92.995,91.961,94.525,99.056,99.124,99.847,98.993,99.006,100.27,100.553,99.166,100.011,100.559,100.729,100.839,101.359,102.18,102.77,102.737,102.014,101.297,101.677,103.135,104.457,109.015,112.31
"45","37","        Other equipment","A862RG3",84.665,85.412,85.88,86.677,87.318,87.595,88.179,88.735,88.922,89.044,88.995,89.273,89.717,90.044,90.61,91.135,91.437,91.594,91.595,91.569,91.702,92.033,92.284,92.536,93.036,93.29,93.49,93.973,94.079,93.918,94.311,94.603,94.798,95.122,95.26,95.254,94.791,95.973,96.337,97.085,98.662,99.914,100.575,100.849,101.444,101.614,102.604,103.617,103.892,104.325,104.739,105.45,105.722,106.073,108.435,112.694,113.12,112.874
"46","38","    Residential","B011RG3",65.942,66.254,66.526,66.89,67.138,67.447,68.194,68.532,68.879,69.21,69.807,70.33,70.53,71.012,71.718,72.387,73.096,73.89,74.516,75.102,76.397,77.133,77.738,78.391,79.446,80.421,81.772,82.338,82.164,82.601,82.916,84.326,86.229,86.279,86.84,88.463,90.544,92.463,94.377,95.802,97.026,98.64,101.224,103.11,104.89,105.94,106.295,107.199,107.604,107.307,107.455,107.686,107.271,106.838,105.807,103.198,101.915,102.539
"47","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","B020RG3",95.661,96.414,96.179,95.732,95.548,95.228,94.543,93.589,93.351,93.306,93.069,92.685,91.759,91.295,90.577,90.259,90.099,90.244,90.438,90.85,91.417,91.965,92.239,92.375,92.372,91.967,91.507,90.66,90.459,91.002,91.683,91.866,92.762,92.969,93.193,93.941,95.13,96.3,96.781,97.857,98.929,99.627,100.342,101.102,101.828,103.125,104.395,104.438,105.355,106.516,107.396,109.144,111.156,113.89,115.638,108.871,105.265,105.368
"52","44","    Goods","B253RG3",101.211,101.903,101.531,100.822,100.13,99.683,98.426,96.757,96.542,96.291,95.958,95.294,94.174,93.45,92.439,91.907,91.588,91.513,91.674,92.158,92.447,92.936,93.03,93.175,93.148,92.724,92.153,91.259,91.005,91.384,92.162,92.325,93.143,93.391,93.302,94.251,95.539,96.864,97.168,98.134,99.148,99.781,100.196,100.876,101.541,102.915,104.306,104.548,105.359,106.454,107.24,109.007,111.203,114.43,116.01,107.82,103.588,104.208
"53","45","    Services","B646RG3",83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.349,106.66,107.75,109.46,111.063,112.686,114.813,111.22,108.91,107.988
"54","46","  Imports","B021RG3",95.05,96.416,95.812,94.95,94.747,94.254,93.301,93.261,92.549,90.622,90.025,89.313,87.108,86.047,84.938,84.899,84.67,85.682,86.715,87.931,89.542,89.522,90.154,90.633,90.225,88.51,87.127,85.185,85.013,86.843,87.367,87.914,90.41,89.114,89.546,90.114,92.123,93.415,94.385,96.654,97.47,98.831,100.863,102.836,103.243,104.322,105.121,103.889,104.711,106.332,107.937,113.088,117.234,123.069,125.203,112.73,103.746,104.845
"55","47","    Goods","B255RG3",98.714,99.806,98.989,97.963,97.602,96.886,95.583,95.376,94.619,92.259,91.712,90.936,88.652,87.201,85.825,85.527,85.268,86.223,87.297,88.71,90.581,90.662,91.339,91.929,91.377,89.407,87.674,85.47,85.198,87.065,87.394,88.065,90.696,88.591,88.975,89.64,91.821,93.148,94.04,96.477,97.293,98.672,100.837,103.198,103.394,104.419,105.238,103.779,104.644,106.219,107.803,113.517,118.114,124.224,126.362,112.592,102.402,103.779
"56","48","    Services","B656RG3",78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.04,106.894,108.616,110.901,112.797,117.278,119.415,113.238,109.655,109.574
