"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"21","2","Current tax receipts","W054RC1","224,755.0","229,089.0","228,592.0","231,284.0","227,523.0","230,683.0","228,853.0","229,793.0","233,739.0","238,173.0","241,833.0","247,475.0","264,721.0","270,816.0","275,075.0","284,708.0","290,431.0","295,350.0","300,906.0","310,485.0","312,798.0","324,754.0","338,921.0","335,971.0","330,281.0","300,699.0","348,062.0","358,062.0","370,173.0","379,297.0","388,625.0","397,849.0","411,742.0","427,479.0","436,439.0","449,596.0","451,040.0","482,267.0","493,345.0","513,376.0","519,606.0","530,715.0","545,341.0","556,970.0","570,518.0","565,550.0","589,065.0","619,763.0","651,652.0","659,148.0","678,705.0","666,831.0","654,000.0","664,037.0","658,442.0","664,037.0","663,673.0","697,860.0","699,134.0","717,781.0","744,474.0","758,924.0","765,158.0","783,564.0","830,624.0","790,193.0","834,826.0","841,945.0","848,399.0","853,888.0","871,606.0","903,623.0","904,505.0","987,498.0","977,474.0","995,567.0","993,967.0","1,005,046.0","1,029,296.0","1,051,431.0","1,100,871.0","1,107,261.0","1,114,022.0","1,121,022.0","1,139,599.0","1,156,949.0","1,175,268.0","1,181,361.0","1,164,461.0","1,171,936.0","1,186,384.0","1,205,906.0","1,210,493.0","1,234,954.0","1,242,960.0","1,279,450.0","1,262,217.0","1,308,785.0","1,323,275.0","1,385,703.0","1,376,572.0","1,422,697.0","1,443,443.0","1,469,909.0","1,493,612.0","1,512,289.0","1,530,175.0","1,548,728.0","1,591,255.0","1,647,533.0","1,656,502.0","1,691,258.0","1,732,620.0","1,765,850.0","1,809,596.0","1,834,619.0","1,869,820.0","1,899,461.0","1,934,343.0","1,963,372.0","1,987,257.0","2,012,875.0","2,054,764.0","2,106,633.0","2,178,490.0","2,207,877.0","2,211,222.0","2,230,888.0","2,248,641.0","2,247,098.0","2,032,783.0","2,144,237.0","1,990,776.0","1,988,722.0","2,014,764.0","2,030,422.0","2,038,266.0","2,045,864.0","2,013,257.0","2,118,942.0","2,130,177.0","2,176,451.0","2,250,982.0","2,308,492.0","2,481,370.0","2,517,241.0","2,571,720.0","2,652,823.0","2,751,321.0","2,805,744.0","2,845,768.0","2,868,635.0","2,950,306.0","2,978,517.0","2,958,641.0","2,967,548.0","2,917,487.0","2,924,644.0","2,857,359.0","2,698,930.0","2,424,310.0","2,384,938.0","2,439,683.0","2,507,970.0","2,570,965.0","2,613,235.0","2,698,130.0","2,751,221.0","2,899,029.0","2,917,037.0","2,913,269.0","2,959,077.0","3,030,107.0","3,057,285.0","3,075,272.0","3,146,168.0","3,250,620.0","3,298,424.0","3,317,648.0","3,352,375.0","3,416,074.0","3,474,612.0","3,516,589.0","3,560,282.0","3,631,503.0","3,696,195.0","....."
"22","3","  Personal current taxes","W055RC1","102,602.0","105,660.0","104,139.0","105,623.0","104,573.0","105,512.0","100,657.0","101,538.0","98,331.0","100,714.0","102,307.0","105,468.0","119,785.0","123,370.0","124,277.0","127,128.0","126,399.0","129,181.0","134,089.0","139,959.0","142,792.0","148,902.0","154,911.0","157,587.0","157,988.0","121,068.0","152,831.0","158,541.0","162,503.0","169,337.0","176,128.0","182,716.0","188,798.0","195,691.0","198,551.0","208,476.0","211,996.0","223,084.0","236,298.0","247,218.0","253,625.0","261,998.0","274,827.0","285,202.0","284,825.0","292,174.0","302,195.0","318,854.0","330,898.0","342,672.0","356,887.0","352,663.0","352,515.0","359,735.0","350,149.0","356,573.0","350,873.0","359,553.0","345,432.0","355,658.0","361,174.0","370,444.0","384,110.0","395,936.0","432,285.0","388,524.0","421,527.0","428,916.0","426,304.0","429,417.0","439,467.0","456,036.0","450,732.0","511,671.0","488,976.0","506,969.0","502,056.0","497,812.0","506,669.0","517,219.0","552,892.0","566,676.0","571,576.0","579,792.0","582,507.0","594,581.0","600,726.0","600,858.0","580,765.0","585,974.0","590,233.0","598,632.0","588,813.0","607,137.0","616,129.0","639,129.0","616,790.0","643,564.0","659,191.0","675,475.0","673,633.0","697,835.0","695,372.0","705,448.0","724,513.0","746,731.0","752,194.0","770,187.0","801,675.0","839,536.0","843,565.0","863,556.0","902,109.0","916,184.0","941,109.0","967,878.0","996,108.0","1,022,348.0","1,043,215.0","1,068,009.0","1,078,110.0","1,095,363.0","1,120,823.0","1,154,168.0","1,208,966.0","1,230,382.0","1,247,937.0","1,258,939.0","1,302,114.0","1,308,971.0","1,114,032.0","1,232,174.0","1,069,525.0","1,049,321.0","1,053,129.0","1,046,685.0","1,022,350.0","1,019,162.0","955,174.0","1,024,606.0","1,012,953.0","1,027,905.0","1,067,541.0","1,094,049.0","1,172,493.0","1,197,721.0","1,226,605.0","1,256,089.0","1,320,665.0","1,349,169.0","1,358,921.0","1,399,481.0","1,462,615.0","1,488,003.0","1,500,115.0","1,522,043.0","1,535,785.0","1,544,989.0","1,505,833.0","1,444,617.0","1,202,828.0","1,132,548.0","1,133,756.0","1,139,920.0","1,193,374.0","1,215,710.0","1,257,226.0","1,290,694.0","1,425,428.0","1,443,100.0","1,470,660.0","1,473,476.0","1,472,406.0","1,492,750.0","1,511,701.0","1,568,744.0","1,641,065.0","1,680,786.0","1,673,177.0","1,696,032.0","1,736,043.0","1,754,050.0","1,792,046.0","1,838,832.0","1,900,078.0","1,927,392.0","1,943,177.0"
"23","4","  Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,125.0","635,524.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,086.0","724,086.0","725,411.0","737,177.0","744,960.0","756,600.0","771,832.0","777,016.0","788,570.0","800,694.0","814,788.0","827,966.0","843,352.0","855,479.0","868,563.0","888,367.0","908,411.0","929,462.0","944,650.0","955,598.0","975,670.0","988,267.0","996,868.0","1,006,975.0","1,022,002.0","1,031,974.0","1,038,755.0","1,045,518.0","1,038,108.0","1,047,941.0","1,049,247.0","1,032,371.0","1,014,113.0","1,019,364.0","1,030,133.0","1,040,975.0","1,042,207.0","1,054,206.0","1,063,073.0","1,068,954.0","1,087,640.0","1,104,201.0","1,104,021.0","1,114,641.0","1,129,118.0","1,129,341.0","1,126,848.0","1,142,909.0","1,168,624.0","1,171,325.0","1,183,152.0","1,188,876.0","1,196,070.0","1,210,228.0","1,221,686.0","1,226,962.0","1,226,772.0","1,234,142.0","1,240,077.0"
"24","5","  Taxes on corporate income","W025RC1","41,184.0","40,136.0","38,832.0","38,544.0","34,100.0","34,256.0","35,316.0","33,752.0","37,400.0","38,148.0","37,488.0","37,924.0","39,980.0","40,252.0","41,528.0","45,676.0","49,044.0","49,600.0","48,052.0","50,456.0","48,840.0","51,420.0","56,588.0","50,328.0","43,072.0","46,188.0","56,544.0","57,820.0","65,340.0","64,384.0","64,060.0","63,068.0","67,400.0","73,064.0","75,632.0","76,080.0","71,264.0","85,184.0","86,348.0","91,228.0","88,512.0","89,144.0","88,436.0","85,892.0","94,700.0","74,880.0","80,920.0","88,640.0","88,328.0","79,444.0","82,860.0","73,940.0","62,748.0","64,712.0","65,196.0","59,668.0","60,984.0","75,824.0","84,988.0","87,168.0","100,332.0","99,404.0","87,648.0","88,764.0","95,876.0","94,120.0","99,272.0","96,780.0","103,132.0","103,412.0","104,236.0","115,168.0","115,877.0","129,458.0","134,196.0","128,824.0","124,699.0","131,899.0","142,600.0","149,434.0","153,882.0","140,749.0","135,866.0","135,315.0","135,041.0","139,979.0","144,623.0","142,781.0","136,761.0","131,671.0","132,420.0","133,459.0","142,781.0","144,147.0","138,330.0","147,335.0","152,778.0","164,637.0","156,390.0","187,694.0","168,082.0","177,500.0","194,726.0","206,464.0","210,618.0","208,175.0","214,647.0","210,464.0","214,219.0","225,444.0","225,924.0","228,993.0","230,029.0","234,494.0","246,871.0","237,166.0","239,823.0","236,493.0","242,557.0","237,831.0","246,280.0","244,478.0","248,614.0","255,681.0","264,061.0","262,564.0","244,697.0","247,363.0","214,813.0","206,997.0","185,660.0","166,622.0","169,111.0","175,337.0","182,259.0","198,581.0","219,836.0","215,429.0","235,300.0","256,642.0","264,197.0","283,955.0","306,478.0","313,332.0","389,114.0","379,674.0","386,869.0","427,949.0","443,490.0","456,449.0","477,271.0","439,799.0","452,040.0","443,415.0","405,383.0","382,031.0","327,127.0","315,430.0","284,972.0","196,807.0","191,500.0","217,361.0","262,457.0","312,635.0","321,260.0","327,987.0","363,375.0","372,649.0","370,469.0","354,497.0","320,624.0","352,732.0","411,950.0","417,832.0","419,240.0","413,395.0","422,138.0","427,629.0","441,388.0","447,769.0","460,997.0","490,023.0","480,502.0","473,289.0","480,029.0","509,827.0","....."
"25","6","  Taxes from the rest of the world","W008RC1","380.0","392.0","404.0","400.0","384.0","380.0","368.0","364.0","356.0","364.0","364.0","384.0","396.0","408.0","408.0","400.0","388.0","384.0","368.0","372.0","360.0","364.0","368.0","376.0","400.0","432.0","488.0","564.0","656.0","720.0","744.0","736.0","708.0","696.0","724.0","780.0","868.0","940.0","988.0","1,020.0","1,028.0","1,080.0","1,176.0","1,308.0","1,480.0","1,600.0","1,656.0","1,652.0","1,584.0","1,536.0","1,492.0","1,456.0","1,336.0","1,328.0","1,320.0","1,504.0","1,152.0","1,244.0","1,220.0","1,228.0","1,324.0","1,328.0","1,228.0","1,336.0","1,416.0","1,848.0","2,176.0","2,316.0","1,468.0","1,584.0","1,748.0","2,052.0","1,860.0","2,000.0","1,924.0","2,376.0","2,124.0","2,748.0","2,392.0","2,232.0","3,000.0","2,464.0","2,736.0","2,760.0","2,688.0","2,888.0","3,040.0","3,504.0","2,664.0","2,688.0","2,564.0","2,492.0","2,652.0","2,604.0","2,592.0","2,704.0","2,844.0","2,640.0","2,708.0","2,768.0","2,956.0","3,188.0","3,176.0","3,248.0","3,600.0","3,708.0","4,168.0","4,188.0","4,604.0","4,840.0","5,384.0","5,792.0","4,836.0","4,912.0","5,056.0","5,580.0","4,764.0","5,096.0","5,580.0","7,280.0","5,376.0","5,976.0","6,308.0","6,012.0","6,900.0","7,628.0","7,280.0","7,536.0","7,628.0","7,044.0","7,680.0","8,264.0","7,180.0","7,464.0","7,544.0","8,140.0","7,512.0","10,580.0","7,996.0","9,728.0","9,676.0","9,112.0","8,400.0","12,744.0","11,352.0","10,384.0","13,596.0","13,188.0","11,496.0","11,860.0","12,708.0","22,380.0","13,648.0","15,124.0","14,388.0","17,956.0","16,468.0","16,284.0","17,308.0","25,136.0","15,868.0","15,664.0","13,336.0","14,440.0","14,124.0","15,332.0","14,456.0","18,924.0","15,492.0","15,240.0","17,964.0","18,228.0","16,633.0","17,362.0","17,484.0","21,120.0","18,793.0","18,684.0","19,931.0","19,698.0","22,964.0","20,311.0","22,355.0","21,199.0","24,623.0","24,834.0","26,698.0"
"26","7","Contributions for government social insurance","W782RC1","43,100.0","43,904.0","44,844.0","45,512.0","46,216.0","46,488.0","46,948.0","46,720.0","50,764.0","51,376.0","51,648.0","52,228.0","58,520.0","59,172.0","59,864.0","60,756.0","74,144.0","75,268.0","76,620.0","78,120.0","83,676.0","85,260.0","86,920.0","87,144.0","88,220.0","88,612.0","90,348.0","92,408.0","99,576.0","101,056.0","102,836.0","104,424.0","110,000.0","112,840.0","115,104.0","117,468.0","127,012.0","130,984.0","133,616.0","136,888.0","149,696.0","151,796.0","155,128.0","158,092.0","164,092.0","164,248.0","167,596.0","172,876.0","192,792.0","195,288.0","198,820.0","200,576.0","208,368.0","209,564.0","211,032.0","211,380.0","221,624.0","224,852.0","228,468.0","233,888.0","252,300.0","257,152.0","261,280.0","264,492.0","276,836.0","280,256.0","284,248.0","289,840.0","299,396.0","302,156.0","306,496.0","311,512.0","317,916.0","321,716.0","326,076.0","332,844.0","353,756.0","360,804.0","366,084.0","371,980.0","381,524.0","384,520.0","388,052.0","393,652.0","405,992.0","410,296.0","416,092.0","415,920.0","426,480.0","429,768.0","434,668.0","438,012.0","450,812.0","455,804.0","459,908.0","461,828.0","469,600.0","477,740.0","482,332.0","488,912.0","500,728.0","508,816.0","513,124.0","520,000.0","528,420.0","532,848.0","538,040.0","542,704.0","546,972.0","554,824.0","561,440.0","568,228.0","578,444.0","585,188.0","593,288.0","604,100.0","614,904.0","623,492.0","632,104.0","640,512.0","655,644.0","659,688.0","665,572.0","677,408.0","700,912.0","702,416.0","714,760.0","719,484.0","739,236.0","737,792.0","735,268.0","735,480.0","749,132.0","755,896.0","757,224.0","758,736.0","768,172.0","778,052.0","787,388.0","799,088.0","814,580.0","828,268.0","843,140.0","848,268.0","864,372.0","871,760.0","883,876.0","892,016.0","919,992.0","923,356.0","926,472.0","938,880.0","962,316.0","962,752.0","964,572.0","974,868.0","991,372.0","991,960.0","995,472.0","993,444.0","966,192.0","971,244.0","968,392.0","971,632.0","976,912.0","988,960.0","993,320.0","996,940.0","918,050.0","920,710.0","928,489.0","921,584.0","946,055.0","949,451.0","952,647.0","976,588.0","1,093,780.0","1,110,241.0","1,116,869.0","1,126,970.0","1,149,579.0","1,156,323.0","1,167,986.0","1,182,347.0","1,190,997.0","1,195,762.0","1,205,589.0"
"27","8","  From persons","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,600.0","227,212.0","232,632.0","250,972.0","255,828.0","259,944.0","263,136.0","275,416.0","278,840.0","282,832.0","288,392.0","297,932.0","300,712.0","305,048.0","310,060.0","316,452.0","320,220.0","324,532.0","331,248.0","352,108.0","359,128.0","364,396.0","370,296.0","379,840.0","382,832.0","386,388.0","391,864.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","745,360.0","752,148.0","753,484.0","754,996.0","764,352.0","774,192.0","783,440.0","795,040.0","810,376.0","823,936.0","838,704.0","843,696.0","859,808.0","867,128.0","879,124.0","887,320.0","915,364.0","918,804.0","921,928.0","934,268.0","957,688.0","957,980.0","959,844.0","970,080.0","986,488.0","987,200.0","990,700.0","988,560.0","961,272.0","966,288.0","963,432.0","966,636.0","972,016.0","984,012.0","988,372.0","992,032.0","913,606.0","916,289.0","924,068.0","917,229.0","941,571.0","944,900.0","948,026.0","971,801.0","1,088,491.0","1,105,021.0","1,111,761.0","1,121,963.0","1,144,513.0","1,151,246.0","1,162,879.0","1,177,198.0","1,185,812.0","1,190,553.0","1,200,338.0"
"28","9","  From the rest of the world \1\","W781RC1","192.0","212.0","220.0","228.0","232.0","228.0","236.0","240.0","296.0","332.0","340.0","344.0","380.0","368.0","372.0","376.0","516.0","544.0","552.0","556.0","576.0","564.0","560.0","576.0","588.0","592.0","584.0","584.0","628.0","624.0","644.0","660.0","716.0","752.0","772.0","796.0","856.0","872.0","864.0","868.0","932.0","904.0","932.0","948.0","992.0","1,000.0","1,024.0","1,044.0","1,168.0","1,176.0","1,168.0","1,160.0","1,200.0","1,192.0","1,188.0","1,188.0","1,256.0","1,252.0","1,256.0","1,256.0","1,328.0","1,324.0","1,336.0","1,356.0","1,420.0","1,416.0","1,416.0","1,448.0","1,464.0","1,444.0","1,448.0","1,452.0","1,464.0","1,496.0","1,544.0","1,596.0","1,648.0","1,676.0","1,688.0","1,684.0","1,684.0","1,688.0","1,664.0","1,788.0","1,884.0","1,964.0","2,004.0","2,016.0","2,024.0","2,040.0","2,064.0","2,072.0","2,104.0","2,132.0","2,128.0","2,184.0","2,144.0","2,184.0","2,248.0","2,308.0","2,360.0","2,448.0","2,552.0","2,588.0","2,672.0","2,700.0","2,716.0","2,724.0","2,764.0","2,760.0","2,760.0","2,868.0","2,948.0","2,988.0","3,044.0","3,076.0","3,064.0","3,088.0","3,108.0","3,148.0","3,192.0","3,256.0","3,368.0","3,356.0","3,448.0","3,504.0","3,592.0","3,668.0","3,744.0","3,776.0","3,740.0","3,732.0","3,772.0","3,748.0","3,740.0","3,740.0","3,820.0","3,860.0","3,948.0","4,048.0","4,204.0","4,332.0","4,436.0","4,572.0","4,564.0","4,632.0","4,752.0","4,696.0","4,628.0","4,552.0","4,544.0","4,612.0","4,628.0","4,772.0","4,728.0","4,788.0","4,884.0","4,760.0","4,772.0","4,884.0","4,920.0","4,956.0","4,960.0","4,996.0","4,896.0","4,948.0","4,948.0","4,908.0","4,444.0","4,421.0","4,422.0","4,355.0","4,484.0","4,551.0","4,621.0","4,787.0","5,289.0","5,221.0","5,107.0","5,008.0","5,066.0","5,077.0","5,107.0","5,149.0","5,185.0","5,209.0","5,251.0"
"29","10","Income receipts on assets","W058RC1","6,686.0","6,998.0","7,333.0","7,594.0","8,025.0","8,334.0","8,459.0","8,620.0","8,815.0","9,128.0","9,126.0","9,366.0","9,319.0","9,457.0","9,799.0","10,177.0","10,902.0","11,476.0","11,991.0","12,746.0","13,730.0","14,516.0","15,059.0","15,505.0","16,074.0","16,440.0","16,683.0","16,557.0","16,527.0","16,577.0","16,823.0","16,695.0","17,746.0","18,404.0","19,136.0","19,638.0","21,249.0","22,881.0","24,229.0","26,058.0","28,615.0","30,205.0","32,297.0","34,229.0","37,160.0","39,290.0","41,832.0","44,248.0","47,247.0","49,746.0","52,470.0","55,297.0","58,131.0","59,623.0","60,882.0","61,876.0","63,632.0","64,810.0","66,858.0","69,308.0","71,386.0","74,711.0","76,444.0","79,018.0","82,106.0","84,355.0","87,505.0","89,026.0","91,043.0","90,965.0","92,661.0","89,624.0","88,149.0","87,518.0","86,578.0","84,687.0","93,634.0","88,886.0","89,946.0","93,181.0","93,749.0","94,803.0","97,721.0","95,428.0","95,771.0","95,245.0","96,865.0","107,757.0","100,425.0","97,638.0","97,416.0","93,524.0","92,312.0","90,024.0","88,353.0","88,110.0","88,661.0","88,199.0","87,796.0","86,183.0","86,162.0","86,603.0","87,475.0","88,077.0","90,046.0","92,271.0","93,284.0","96,104.0","98,416.0","99,188.0","101,812.0","101,944.0","103,053.0","104,100.0","104,051.0","103,145.0","102,812.0","102,646.0","102,876.0","102,738.0","103,063.0","104,394.0","107,023.0","110,790.0","116,644.0","119,613.0","120,636.0","121,220.0","120,550.0","117,660.0","114,833.0","109,245.0","104,428.0","100,708.0","99,042.0","97,184.0","95,221.0","97,282.0","97,647.0","99,168.0","98,166.0","100,325.0","102,792.0","107,364.0","109,751.0","113,679.0","117,818.0","122,117.0","128,400.0","134,472.0","137,952.0","143,682.0","149,094.0","151,058.0","153,399.0","151,841.0","147,911.0","144,489.0","137,672.0","128,233.0","134,488.0","139,010.0","133,648.0","138,201.0","132,213.0","136,060.0","140,029.0","140,413.0","138,128.0","135,972.0","135,128.0","133,244.0","130,606.0","127,817.0","126,859.0","126,792.0","146,906.0","372,429.0","166,306.0","264,396.0","178,716.0","150,591.0","133,583.0","139,018.0","122,756.0","122,144.0","147,158.0"
"30","11","  Interest and miscellaneous receipts","W059RC1","6,686.0","6,998.0","7,333.0","7,594.0","8,025.0","8,334.0","8,459.0","8,620.0","8,815.0","9,128.0","9,126.0","9,366.0","9,319.0","9,457.0","9,799.0","10,177.0","10,878.0","11,448.0","11,963.0","12,718.0","13,702.0","14,484.0","15,027.0","15,469.0","16,038.0","16,404.0","16,643.0","16,517.0","16,487.0","16,533.0","16,779.0","16,651.0","17,702.0","18,360.0","19,088.0","19,590.0","21,197.0","22,817.0","24,161.0","25,982.0","28,535.0","30,121.0","32,213.0","34,145.0","37,072.0","39,198.0","41,732.0","44,140.0","47,131.0","49,622.0","52,342.0","55,161.0","57,987.0","59,471.0","60,726.0","61,712.0","63,460.0","64,634.0","66,678.0","69,132.0","71,214.0","74,547.0","76,284.0","78,858.0","81,946.0","84,199.0","87,349.0","88,874.0","90,891.0","90,817.0","92,513.0","89,472.0","87,993.0","87,358.0","86,414.0","84,519.0","93,462.0","88,710.0","89,770.0","93,001.0","93,573.0","94,627.0","97,545.0","95,248.0","95,590.0","95,039.0","96,611.0","107,446.0","100,122.0","97,311.0","97,067.0","93,131.0","91,909.0","89,576.0","87,869.0","87,585.0","88,128.0","87,628.0","87,199.0","85,540.0","85,481.0","85,860.0","86,720.0","87,232.0","89,203.0","91,432.0","92,258.0","94,960.0","97,244.0","97,862.0","100,317.0","100,525.0","101,643.0","102,596.0","102,472.0","101,538.0","101,242.0","100,997.0","101,202.0","101,111.0","101,511.0","102,903.0","105,548.0","109,320.0","115,172.0","118,276.0","119,408.0","119,837.0","119,134.0","116,309.0","113,363.0","107,794.0","102,965.0","99,219.0","97,400.0","95,574.0","93,395.0","95,632.0","95,937.0","97,474.0","96,507.0","98,576.0","100,854.0","104,645.0","107,635.0","111,451.0","115,573.0","119,842.0","126,125.0","132,107.0","135,603.0","141,338.0","146,706.0","148,763.0","150,978.0","149,371.0","145,145.0","141,792.0","134,910.0","123,759.0","119,506.0","116,179.0","112,520.0","113,585.0","114,961.0","117,411.0","119,182.0","119,827.0","117,132.0","115,233.0","113,575.0","110,814.0","106,583.0","103,230.0","102,288.0","102,204.0","101,673.0","102,035.0","103,041.0","103,352.0","103,902.0","105,363.0","106,840.0","107,603.0","107,257.0","107,437.0","109,065.0"
"31","12","    Interest receipts \2\","Y703RC1","5,601.0","5,914.0","6,239.0","6,486.0","6,843.0","7,132.0","7,229.0","7,360.0","7,430.0","7,719.0","7,706.0","7,937.0","7,825.0","7,965.0","8,307.0","8,667.0","9,186.0","9,698.0","10,141.0","10,831.0","11,626.0","12,366.0","12,872.0","13,288.0","13,766.0","14,118.0","14,329.0","14,179.0","14,106.0","14,125.0","14,353.0","14,212.0","15,257.0","15,849.0","16,516.0","16,970.0","18,459.0","20,021.0","21,288.0","23,016.0","24,835.0","26,255.0","28,140.0","29,826.0","31,319.0","33,179.0","35,441.0","37,561.0","39,957.0","42,071.0","44,410.0","46,846.0","49,293.0","50,745.0","52,151.0","53,471.0","55,066.0","56,201.0","58,052.0","60,169.0","61,723.0","64,750.0","66,275.0","68,737.0","71,941.0","74,235.0","77,454.0","79,073.0","81,077.0","81,187.0","83,096.0","80,292.0","78,923.0","78,654.0","78,192.0","76,902.0","85,774.0","81,418.0","82,705.0","86,027.0","86,521.0","87,550.0","90,434.0","88,114.0","88,513.0","87,821.0","88,037.0","99,721.0","91,984.0","88,992.0","88,687.0","84,801.0","83,081.0","81,562.0","79,873.0","79,556.0","79,965.0","79,386.0","78,878.0","77,084.0","77,009.0","77,540.0","78,684.0","79,711.0","81,859.0","84,192.0","84,569.0","87,256.0","88,811.0","89,324.0","91,263.0","91,593.0","92,270.0","93,349.0","93,025.0","92,388.0","92,141.0","92,331.0","92,222.0","92,446.0","93,074.0","94,154.0","96,139.0","99,294.0","104,189.0","106,713.0","106,163.0","105,459.0","103,589.0","100,765.0","98,070.0","94,748.0","89,903.0","86,314.0","84,189.0","82,515.0","80,429.0","80,985.0","80,934.0","81,493.0","80,408.0","81,619.0","83,859.0","86,173.0","88,828.0","92,096.0","95,616.0","100,201.0","105,500.0","110,835.0","116,031.0","121,579.0","125,956.0","127,780.0","127,528.0","123,975.0","118,373.0","113,040.0","108,534.0","102,236.0","99,782.0","97,592.0","95,649.0","95,766.0","97,133.0","98,388.0","99,601.0","99,460.0","96,266.0","93,906.0","91,215.0","88,694.0","84,330.0","80,668.0","79,783.0","79,471.0","80,423.0","80,830.0","81,031.0","81,097.0","81,130.0","81,699.0","82,300.0","83,561.0","84,837.0","85,164.0","86,083.0"
