"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0","4,256,573.0","4,264,289.0","4,302,259.0","4,256,637.0","4,374,016.0","4,398,829.0","4,433,943.0","4,446,264.0","4,525,769.0","4,633,101.0","4,677,503.0","4,754,546.0","4,876,166.0","4,932,571.0","4,906,252.0","4,953,050.0","4,909,617.0","4,922,188.0","4,873,520.0","4,854,340.0","4,795,295.0","4,831,942.0","4,913,328.0","4,977,511.0","5,090,663.0","5,128,947.0","5,154,072.0","5,191,499.0","5,251,762.0","5,356,131.0","5,451,921.0","5,450,793.0","5,469,405.0","5,684,569.0","5,740,300.0","5,816,222.0","5,825,949.0","5,831,418.0","5,873,335.0","5,889,495.0","5,908,467.0","5,787,373.0","5,776,617.0","5,883,460.0","6,005,717.0","5,957,795.0","6,030,184.0","5,955,062.0","5,857,333.0","5,889,074.0","5,866,370.0","5,871,001.0","5,944,020.0","6,077,619.0","6,197,468.0","6,325,574.0","6,448,264.0","6,559,594.0","6,623,343.0","6,677,264.0","6,740,275.0","6,797,344.0","6,903,523.0","6,955,918.0","7,022,757.0","7,050,969.0","7,118,950.0","7,153,359.0","7,193,019.0","7,269,510.0","7,332,558.0","7,458,022.0","7,496,600.0","7,592,881.0","7,632,082.0","7,733,991.0","7,806,603.0","7,865,016.0","7,927,393.0","7,944,697.0","8,027,693.0","8,059,598.0","8,059,476.0","7,988,864.0","7,950,164.0","8,003,822.0","8,037,538.0","8,069,046.0","8,157,616.0","8,244,294.0","8,329,361.0","8,417,016.0","8,432,485.0","8,486,435.0","8,531,108.0","8,643,769.0","8,727,919.0","8,847,303.0","8,904,289.0","9,003,180.0","9,025,267.0","9,044,668.0","9,120,684.0","9,184,275.0","9,247,188.0","9,407,052.0","9,488,879.0","9,592,458.0","9,666,235.0","9,809,551.0","9,932,672.0","10,008,874.0","10,103,425.0","10,194,277.0","10,328,787.0","10,507,575.0","10,601,179.0","10,684,049.0","10,819,914.0","11,014,254.0","11,043,044.0","11,258,454.0","11,267,867.0","11,334,544.0","11,297,171.0","11,371,251.0","11,340,075.0","11,380,128.0","11,477,868.0","11,538,770.0","11,596,430.0","11,598,824.0","11,645,819.0","11,738,706.0","11,935,461.0","12,042,817.0","12,127,623.0","12,213,818.0","12,303,533.0","12,410,282.0","12,534,113.0","12,587,535.0","12,683,153.0","12,748,699.0","12,915,938.0","12,962,462.0","12,965,916.0","13,060,679.0","13,089,316.0","13,194,148.0","13,268,458.0","13,363,488.0","13,339,175.0","13,359,046.0","13,223,507.0","12,993,665.0","12,832,619.0","12,810,012.0","12,860,800.0","13,019,012.0","13,138,832.0","13,194,862.0","13,278,515.0","13,382,551.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","52,793.0","54,184.0","55,812.0","56,892.0","58,046.0","58,399.0","57,324.0","53,372.0","56,738.0","59,175.0","57,944.0","60,779.0","61,846.0","63,488.0","66,696.0","68,785.0","78,625.0","85,301.0","94,219.0","95,597.0","106,600.0","106,935.0","104,415.0","96,615.0","87,787.0","85,392.0","88,446.0","94,588.0","95,875.0","97,290.0","96,652.0","97,041.0","103,056.0","104,285.0","105,742.0","103,509.0","114,336.0","111,708.0","119,070.0","135,411.0","142,546.0","155,394.0","174,168.0","181,823.0","190,120.0","177,126.0","162,940.0","165,918.0","176,564.0","181,908.0","190,013.0","187,677.0","188,341.0","203,152.0","189,759.0","179,519.0","172,375.0","179,763.0","189,779.0","196,287.0","203,292.0","216,347.0","221,886.0","211,381.0","192,647.0","194,303.0","185,326.0","189,576.0","193,192.0","185,520.0","179,168.0","174,876.0","180,966.0","193,731.0","199,163.0","209,256.0","226,470.0","225,653.0","233,910.0","246,140.0","255,674.0","264,977.0","261,529.0","262,565.0","263,173.0","261,619.0","258,620.0","279,324.0","255,820.0","228,822.0","218,562.0","211,213.0","206,587.0","208,182.0","196,277.0","192,947.0","197,099.0","199,077.0","202,086.0","202,336.0","210,030.0","222,267.0","239,244.0","256,042.0","273,814.0","285,052.0","281,524.0","288,318.0","291,666.0","289,207.0","295,882.0","311,469.0","321,733.0","336,253.0","339,078.0","331,925.0","342,345.0","345,738.0","331,731.0","330,508.0","343,187.0","359,891.0","380,878.0","400,022.0","413,023.0","436,386.0","426,492.0","448,636.0","400,937.0","372,701.0","341,235.0","320,278.0","328,354.0","341,737.0","358,037.0","344,088.0","356,194.0","367,720.0","378,536.0","408,486.0","439,575.0","451,987.0","471,597.0","497,297.0","543,697.0","555,484.0","579,374.0","613,594.0","644,646.0","694,741.0","714,026.0","737,767.0","758,820.0","814,353.0","850,771.0","854,558.0","820,544.0","803,517.0","772,831.0","666,796.0","564,833.0","560,406.0","572,738.0","603,957.0","627,788.0","629,806.0","635,725.0","....."
