"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213"
"11","2","Goods","DGDSRX0",1879625,1855952,1876266,1858959,1882334,1908403,1894026,1902799,1921307,1897042,1925052,1950040,1917652,1943180,1957529,1975206,1978267,1978342,1982166,1995634,1996177,2011103,2015770,2019560,2031260,2039249,2057477,2036970,2029912,2056422,2082668,2105411,2095380,2101157,2132570,2135542,2129209,2140730,2148832,2176360,2202052,2209071,2209759,2225888,2252369,2277995,2289964,2324283,2302104,2331699,2343955,2359405,2384949,2398514,2391163,2411485,2426238,2421085,2434412,2499131,2459503,2496550,2510814,2496158,2509352,2502313,2502102,2524757,2561110,2552950,2542828,2559907,2554530,2570851,2550326,2551629,2572427,2573735,2582691,2609740,2563246,2713595,2680624,2644118,2662805,2682666,2676836,2700039,2662410,2698083,2725796,2742201,2696173,2701672,2722969,2762595,2754023,2730441,2758065,2779480,2793267,2821844,2843351,2901640,2873069,2874395,2903549,2893376,2913026,2910705,2938079,2918528,2957181,2905706,2945949,2951949,2991034,2989292,2990269,3027590,3030863,3037985,3037261,3089821,3036757,3105130,3144928,3100245,3057600,3074310,3093093,3112725,3153294,3143813,3143247,3163777,3147649,3161776,3191938,3168056,3193383,3213428,3212341,3254349,3251505,3242449,3248974,3253023,3274867,3261178,3277412,3278522,3306074,3298482,3292124,3296840,3269831,3226731,3250406,3251773,3254899,3251358,3208108,3212199,3143524,3103244,3090100,3052595,3097662,3087379,3064635,3052926,3076855,3071198,3097359,3183467,3088345,3101229,3120348,3136796,3134480,3148636,3195480,3186709,3187985,3181416,3188394,3224059,3232968,3264144,3280670,3284829,3307565,3323125,3330104,3336300,3311477,3288941,3318102,3309068,3343323,3368013,3367254,3368293,3392370,3412369,3415086,3415523,3416423,3406378
"12","3","  Durable goods","DDURRX0",499492,491077,501408,489974,500897,516279,507214,518344,524136,513630,524983,538000,519741,534343,539648,548922,551830,543684,546537,553829,555711,560090,564520,563810,576706,574886,582573,575428,571090,582052,594746,610377,600520,604507,620673,626537,616873,624305,626054,640530,662575,659337,657350,672996,688753,705796,706262,726890,701867,718370,724000,735361,749580,762419,760817,768078,773189,767328,772045,791338,808559,830621,822637,803842,809458,804214,804980,816611,837725,829879,823328,824195,827599,850762,841040,827006,837377,853765,845167,865438,838023,955008,922117,885600,900928,917412,912732,938246,901909,919641,948045,967279,925299,917155,926527,959532,945749,922914,942854,965391,975759,986606,1000957,1036187,1013537,1016077,1034207,1029330,1030498,1042036,1050225,1040342,1071264,1030761,1062754,1056864,1084915,1076913,1078596,1106087,1093313,1094792,1107981,1143975,1095331,1152440,1194586,1137025,1108314,1097661,1118121,1136681,1169662,1152321,1160672,1164471,1151027,1169845,1185647,1165237,1186053,1186754,1190977,1207911,1210124,1208331,1211754,1216935,1239040,1225168,1225768,1241383,1261089,1256343,1249271,1244103,1232967,1214318,1208836,1212626,1213395,1203303,1174369,1189224,1148735,1097556,1091160,1075216,1108044,1088997,1077129,1067268,1090236,1099810,1119776,1201937,1093995,1102074,1127564,1132484,1119604,1121145,1167008,1159856,1165383,1168328,1176908,1184580,1193198,1221644,1227301,1234050,1242742,1247846,1257589,1254867,1241749,1230215,1252249,1247197,1276299,1293957,1298516,1307877,1327761,1340247,1340219,1336487,1330700,1331169
"13","4","    Motor vehicles and parts","DMOTRX0",250983,247108,256524,242536,247895,263581,249135,261034,262505,251720,260732,273369,257098,268435,268405,274386,270908,261023,264837,269901,269708,270880,273623,266668,286068,277567,283767,273137,269893,275470,285326,301661,285083,288778,300867,305751,287864,290119,291421,302258,321929,312258,302573,316175,330462,343596,339168,354539,325265,330878,332666,345815,353018,360405,354191,355544,352672,339544,342482,348974,366669,383458,368468,345853,349728,342677,341837,349969,364857,358052,351014,350649,348905,375177,365185,344663,354298,371951,355781,371514,356405,465479,414749,367514,379965,391349,387540,407737,369920,387638,417866,432661,388111,376622,380074,408612,397018,380811,387631,406671,402930,405110,409962,433560,407338,403378,415860,406787,405601,408712,411201,403809,428386,387326,406885,401275,426345,412601,409796,423278,408598,400802,413500,435412,395657,436111,481336,413180,384379,358344,377871,393105,396647,385324,391143,394506,383279,395417,410396,390126,393974,396943,395405,399453,397491,405132,395698,400867,413207,401335,392262,399388,413889,409247,396916,391787,388893,383292,373651,368710,360112,353399,329025,353972,339543,303625,304867,302850,319761,306088,312608,300469,318181,322487,339314,405276,298544,310930,319179,318786,304270,297744,335088,322689,325807,324127,328781,330676,333492,352295,346123,352345,356811,354841,353432,347314,336554,325818,337414,329367,347572,356105,358711,365353,370254,375646,367709,366642,358772,357292
"14","5","    Furnishings and durable household equipment","DFDHRX0",132421,130079,129977,130228,132410,133328,134185,133297,134289,133542,136550,136396,131404,134961,136838,138444,139799,139460,139208,138595,140120,141337,142492,143228,141354,143478,143659,142915,142936,144298,145938,146708,147085,147299,149055,149206,151632,152931,152771,153330,154879,156308,156979,158261,159995,161433,163926,165293,165072,169052,170821,169231,172783,174888,174616,178292,181067,181783,182916,186080,186117,188456,190047,190567,192755,192158,192767,194912,195435,196665,196026,193852,200258,197585,197468,199117,200474,201064,202667,204527,199242,204314,208686,211799,213272,215371,215932,216962,217054,216090,215724,217280,216148,217875,220596,221807,220536,214426,221241,220959,227949,229451,231917,234699,235483,236063,238190,238570,239161,240420,245424,243982,244244,245530,250373,249552,249054,250294,251679,256789,254659,255904,254390,258662,255347,261039,260090,263004,266414,269218,269532,267115,275364,274204,275019,272780,269585,271443,271063,271926,273336,271836,270437,273527,277148,273323,274454,272846,274406,271172,273782,274370,275057,274727,275838,275082,272413,267891,266251,271139,271910,271173,268721,262649,254433,252273,248855,245568,244227,243043,235879,236576,238017,237386,238264,241405,240927,242453,244065,246105,246620,250253,254129,257924,257069,255977,256362,259341,260155,260395,265743,266011,262654,266363,270931,270256,268883,269553,271818,272490,276795,277983,280969,281619,285352,285390,287355,283804,285949,284887
"15","6","    Recreational goods and vehicles","DREQRX0",71157,69884,71594,71153,72954,75016,75684,77432,79199,78844,78859,80670,80780,81136,82386,84467,86335,87006,87202,88929,89152,90414,91239,93060,92874,94496,96057,97741,97909,99619,101391,102351,103738,104249,106343,107431,109286,112019,112339,114486,117254,118448,122394,124121,126238,128664,129285,132018,132088,137367,138406,140139,142699,144868,146995,149563,152637,155061,155077,160294,164322,166196,169861,170154,168071,169338,170638,172871,177188,176186,177360,178755,180341,179814,181058,184587,185270,186658,190311,191848,187295,194290,201006,203217,205650,207830,206746,210191,209189,210780,211222,212464,214960,214859,217416,219658,220139,219472,224601,226962,231672,235980,240694,248517,249959,253550,255827,257857,260376,265724,265944,265967,272192,270660,278269,277637,280005,282506,284747,292113,293733,300710,303555,308807,304706,313835,313296,317642,317241,325348,325878,329032,348632,341443,342392,347049,346538,351573,353313,353463,367096,367496,373654,381891,383945,378129,386125,387266,394283,396035,402652,410607,413281,414686,419913,423613,416465,414109,416701,423438,432421,429329,427953,424351,413161,401355,400143,395023,409056,403852,396109,395594,396801,400974,405241,411796,421329,415607,431966,434241,434768,440838,438870,444435,447646,456055,455695,459719,464646,467187,476856,478868,485296,490720,495505,498920,501223,503838,511078,514119,516939,529539,528517,527541,539100,541598,554382,551857,552291,555027
"16","7","    Other durable goods","DODGRX0",69949,68721,68790,69085,70977,69373,70129,69577,70517,69908,71386,71370,70538,72257,74064,73660,75435,74642,74243,75325,75669,76070,75892,77781,76185,77298,77279,77349,75332,78041,78327,77966,80046,79957,81305,81324,82164,82671,83019,84810,84708,86939,87325,87676,86425,87443,88628,90981,91813,92689,93740,92682,93877,95421,96947,96141,97359,99730,100745,104893,100830,103294,102801,103693,106409,106640,105956,105343,107252,105540,104616,106379,103221,105443,103562,102817,102097,99812,100602,102619,99442,101244,104119,106733,106164,107466,107049,108571,109092,109134,108555,110811,109775,111095,111706,113733,111710,111058,112201,114225,116242,118894,121106,122485,122787,124727,126345,127679,126749,128380,128997,127650,127946,127632,127893,128911,130521,132097,132810,134320,136497,137349,136508,141098,139574,141357,139747,143054,140229,144913,144965,147477,149394,151637,152333,150508,152172,151945,151229,150462,152919,151799,153176,155023,153736,153428,157625,158048,159342,159418,160616,161060,162430,161625,161586,159489,160337,154909,158366,156567,157429,157686,157650,156351,150040,148540,145932,140798,144846,145425,141754,143788,145493,147262,145186,148148,146957,145321,146759,148012,149877,150036,151489,150127,150402,149864,152499,151940,152523,156291,156149,154300,155918,155484,157950,159944,159306,158167,158685,160002,160706,158413,157725,158832,160306,163563,162319,164661,165665,166796
"17","8","  Nondurable goods","DNDGRX0",1435232,1420394,1428344,1425555,1436209,1443267,1440249,1433626,1446443,1434049,1449543,1459010,1448795,1456586,1465337,1472093,1471373,1483415,1483623,1488444,1486308,1497102,1496018,1501360,1496192,1507911,1517703,1504479,1502599,1517215,1529070,1532773,1535280,1536192,1549079,1544176,1550551,1553172,1559930,1570811,1568993,1581459,1584982,1581495,1589596,1595003,1607881,1618244,1627501,1638286,1644399,1646390,1655909,1653986,1648035,1661072,1670757,1672731,1681371,1727757,1662379,1674963,1700652,1708346,1715702,1714599,1713371,1723479,1736746,1737567,1734641,1751934,1741860,1731092,1720724,1739040,1748808,1730635,1750658,1755145,1737952,1758656,1762717,1767761,1769377,1770906,1770347,1764889,1767756,1784810,1780881,1775727,1775903,1791078,1802644,1806324,1813128,1814191,1820617,1817528,1820150,1837779,1844161,1865667,1860975,1859597,1869946,1864791,1883778,1869058,1888434,1879053,1885736,1876048,1883410,1895726,1906160,1912731,1912017,1921509,1938011,1943680,1929381,1945559,1941833,1952664,1950454,1963435,1949230,1975819,1974542,1975888,1984027,1991521,1982867,1999418,1996377,1992361,2007003,2002777,2007981,2026942,2021783,2046883,2041964,2034759,2037908,2037058,2038023,2037417,2052568,2039614,2048560,2045713,2046074,2055254,2039414,2014755,2042001,2040198,2042591,2047716,2031071,2022987,1992240,1996934,1990260,1968680,1982841,1989782,1978485,1975901,1978700,1965191,1973071,1985240,1985932,1991296,1988023,1999327,2007740,2019659,2025707,2023367,2019992,2011427,2010923,2037919,2039233,2045264,2056074,2054598,2068738,2079093,2078007,2085811,2073223,2061495,2071300,2066907,2076137,2085292,2081195,2075159,2082168,2091012,2093491,2096637,2101733,2092304
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",554546,546724,548198,544254,548678,548470,546895,547125,547576,546410,548031,554308,552411,551228,552591,554902,554209,554906,554549,553319,553016,554612,554999,556571,558181,558112,561628,558272,555155,555725,560241,558895,559927,559845,561460,557778,557509,559289,560727,561756,563140,566218,566986,566268,569300,568142,570190,576048,575651,578723,580203,583449,585120,583295,585662,588412,592880,588481,591610,614083,584775,591821,599664,600286,597838,604416,601142,600606,603143,607383,606532,608591,609243,604521,602226,609357,611334,607273,605982,606322,609287,607079,606269,611341,605013,605226,606879,602396,608252,609413,611338,608916,606953,611090,615805,615937,618736,620243,616409,615012,611846,611326,618033,620531,619802,618431,615758,612222,623789,620898,621115,620760,618330,618309,618989,622073,629426,628957,630222,633352,637683,639322,640451,637859,636736,642823,641534,646957,651094,654236,653305,651915,651190,657981,655355,661084,664275,660811,662423,665511,660974,670037,668940,677397,677098,673024,669545,668694,669998,669901,674436,669690,673152,675383,674890,682500,674092,669887,674782,672223,673464,677928,672019,667198,660305,655552,652615,642298,644906,646070,648080,649414,653762,653827,655053,655604,660284,661255,661565,667734,664888,674695,668552,663082,664024,662510,659601,669092,669551,671811,678146,680198,681499,685574,681198,687142,685034,685905,687183,686602,683914,688506,689668,680974,685797,686611,686692,686386,686179,684422
"19","10","    Clothing and footwear","DCLORX0",199220,195402,198427,197585,199617,202129,204128,199921,206035,199899,204896,205875,201815,207120,205921,209377,209219,211440,211010,214893,214717,215920,213785,214961,213782,215500,215667,211720,211788,215689,218227,221839,220376,221830,223559,223414,224899,228933,229257,233344,230682,230544,232269,227897,229350,233873,234943,236717,240728,243623,246681,244225,246149,246966,246065,248076,248100,247469,247734,248954,247541,251906,256836,256301,259176,257187,257062,260132,263907,261688,263349,262668,263046,259279,252740,261106,260703,258315,260732,264603,253872,262091,264065,266492,267675,267064,266886,268189,264675,269131,267505,265856,263750,274882,271840,275331,274856,270035,277566,277162,282848,283657,286564,287745,288130,284927,287251,290936,293334,295665,298535,290856,293939,289704,292579,294725,297258,300791,299973,304870,304613,310101,303665,312823,310316,315994,313453,315123,312313,323859,322721,323242,326598,327523,324288,327899,323054,324844,329024,325412,333045,334252,329655,338221,339090,334185,341243,335620,340889,340017,342134,341183,342226,341659,342147,341160,339417,337599,339093,345213,346815,350945,347389,340427,329070,326136,328864,326145,328843,326569,314268,316706,319030,314991,318396,322671,319370,324268,322803,323585,327450,329809,336504,337480,335703,334290,333215,339775,339525,343189,351515,349273,345608,351318,353081,354264,351651,351216,348185,343211,350389,349321,350333,350931,347953,359086,358799,350781,350664,349686
"20","11","    Gasoline and other energy goods","DGOERX0",261469,266608,264042,264328,266138,268066,264179,263163,262264,260846,266137,264338,266574,262844,272609,267654,267418,272089,270822,270982,265602,269404,268978,266759,264806,271342,274286,272545,271728,277453,277766,273408,274164,272109,279970,277180,278074,276779,281450,284126,282215,283326,284030,286728,286926,286260,286977,287968,287179,290509,289311,292933,295600,297822,297451,289920,288303,295884,285425,298767,284120,282331,282094,287045,291767,285989,287610,291256,289656,286506,282503,294267,290324,288321,288429,290571,286677,278838,295435,286832,289821,289179,295472,290110,287115,294041,290548,289209,294983,297873,293431,298127,295515,290912,296734,298942,295143,296612,296008,297057,298247,301979,297364,310339,306504,307713,309791,306435,308267,303171,307974,305697,309318,305607,302615,307914,304266,306996,305628,302988,314560,307673,304364,305356,308688,302651,305661,306532,292594,299559,299080,298720,297615,295840,291870,296966,295960,294302,301173,295283,299229,300541,296512,297113,296347,300013,293274,300477,292771,291493,296755,290608,297235,291619,288168,294085,288205,277230,293398,286002,281723,280325,271689,277549,270991,282419,280742,276943,285599,289164,292197,285180,285635,277772,276697,283850,279475,278284,277543,277059,285378,285674,286563,286059,286042,274453,277005,284696,282732,279917,273410,273568,278856,281955,279641,278755,271640,259395,267470,265651,270511,271816,266406,266450,266453,265583,267477,273665,277235,276294
"21","12","    Other nondurable goods","DONGRX0",438858,433963,437728,439796,442067,444564,442767,442416,446672,444892,448524,451411,447451,451307,454147,456998,457301,462503,464443,465180,466967,472037,473678,477308,473466,478560,482644,479272,480910,486048,489666,492537,495437,495810,499718,500441,504453,500790,502900,505708,507010,515519,515565,517061,519881,520812,529355,530735,535236,537234,538444,538351,541951,539647,532960,544508,550388,552724,563984,577003,553502,554800,566439,570402,573231,572253,573151,577255,584347,585903,584855,591890,583941,583846,583485,583108,593815,588662,594894,600148,590744,603882,602572,602698,610696,608899,608944,607588,604900,613200,612145,608470,614390,615843,621570,619749,626580,630065,632524,630496,629348,643244,642753,650599,649207,651579,660171,657320,660282,650506,662308,663246,666114,664032,669989,672343,675578,676535,676620,680297,682092,686585,680908,689421,686308,690340,688972,693841,694086,698384,699686,702297,709104,710924,712257,714186,713818,713263,714400,717708,715588,723240,727868,735742,731117,728860,736142,733223,736962,738796,741395,741179,737876,740012,744781,739453,740940,735938,735579,741012,746743,745621,750562,743908,739174,736365,732526,727790,728388,732338,727478,727234,723133,720700,725289,725707,729158,730380,728913,733899,732605,732370,737834,740794,738139,744600,745391,748709,751880,755538,760394,758622,768355,765930,770773,772786,773924,778155,778521,781474,780761,784723,785886,788058,793011,792872,792911,794915,795800,790005
"22","13","Services","DSERRX0",4146500,4162425,4169179,4179476,4196156,4215284,4215348,4236515,4228787,4234094,4253815,4264406,4274425,4293532,4309209,4314116,4320104,4328589,4337072,4343351,4351676,4354517,4366673,4387559,4404862,4408139,4402392,4426177,4438697,4440195,4473565,4488646,4501063,4528350,4518291,4553681,4555317,4587323,4608943,4612886,4633778,4672607,4677082,4692831,4718494,4717542,4725084,4743887,4759268,4762182,4784921,4812163,4818576,4837334,4862438,4880343,4899056,4918324,4939636,4963341,4983497,5016558,5045452,5050880,5072499,5096971,5103782,5118169,5139483,5145862,5163700,5186674,5190496,5181929,5196663,5202868,5215513,5216808,5224300,5240763,5212234,5240952,5239205,5266880,5274616,5285945,5288563,5303225,5313305,5316235,5332538,5324722,5331389,5348782,5346096,5356448,5377907,5368311,5370931,5392482,5402190,5408580,5429370,5441216,5437218,5450314,5460960,5478634,5500862,5513989,5506582,5528597,5535927,5550054,5562720,5571585,5594658,5613871,5627457,5645806,5645441,5662002,5686815,5692018,5706664,5728224,5741833,5754505,5759533,5759402,5785246,5799900,5792058,5822320,5842892,5848735,5869320,5868143,5885438,5884492,5898486,5921624,5931235,5942963,5953683,5966726,5965509,5983964,5975891,5986249,5985246,6014908,5996370,5998899,6022599,6031752,6040905,6045501,6032838,6037214,6032518,6028830,6017288,5996602,6005617,6000239,5989724,5976557,5967819,5948360,5938412,5935377,5923545,5921831,5919224,5924553,5918224,5923475,5907786,5938234,5932869,5944423,5943805,5957918,5978542,5984413,5991177,6006915,6006123,6015080,6037487,6052072,6048533,6060261,6085707,6084188,6096599,6101137,6117801,6121436,6124171,6122072,6126357,6129440,6130920,6153487,6153306,6171516,6176973,6174945
"23","14","  Household consumption expenditures (for services)","DHCERX0",4006621,4025620,4032976,4040764,4057525,4075910,4076176,4097732,4088201,4092753,4111585,4120978,4129534,4145151,4160985,4166482,4171817,4177605,4186379,4193017,4202361,4205880,4219977,4244106,4264287,4271426,4265331,4289324,4301805,4302679,4338740,4351236,4362582,4391587,4379463,4412658,4413645,4444026,4463501,4466607,4485738,4522456,4525039,4539249,4562926,4560046,4565495,4583237,4598976,4602044,4624196,4651412,4656924,4675110,4699999,4717432,4736180,4755274,4774511,4797366,4814232,4846252,4874418,4880714,4901527,4925662,4927888,4940545,4960293,4963774,4980323,5003040,5007513,4998206,5011330,5015504,5027399,5028122,5034581,5049576,5018883,5046222,5043744,5070022,5076319,5086960,5087601,5100794,5108602,5110213,5122583,5111447,5116318,5132825,5127155,5136462,5158924,5151652,5154874,5174190,5181444,5187888,5208404,5221963,5219492,5230734,5242048,5261186,5281275,5294296,5286319,5309823,5318191,5332938,5346550,5355116,5378321,5395532,5409843,5432574,5439497,5458372,5484331,5486690,5498379,5517103,5531019,5542575,5545866,5540130,5561642,5575489,5567550,5597618,5616469,5621026,5637505,5633489,5646143,5642871,5655828,5680086,5688679,5700427,5711805,5726486,5726459,5747043,5739124,5747511,5741933,5768623,5746826,5744215,5765879,5776496,5781083,5780869,5765804,5769668,5764590,5760995,5748164,5725281,5729808,5719065,5706543,5695762,5689319,5674305,5664728,5664396,5652191,5650804,5648127,5651075,5644557,5646198,5629229,5660116,5656765,5668798,5667208,5679345,5699327,5704918,5713905,5729911,5728787,5739116,5760162,5774216,5770967,5781848,5805495,5802854,5813811,5813639,5826365,5826159,5827183,5829671,5835819,5838085,5842239,5861914,5861129,5879335,5882271,5878856
"24","15","    Housing and utilities","DHUTRX0",1214413,1223354,1214115,1228137,1233321,1234470,1243435,1250519,1238735,1236859,1249861,1250035,1253158,1261376,1260214,1259263,1262589,1260236,1253414,1262797,1257998,1266674,1271648,1269679,1276932,1274609,1269211,1287433,1285700,1281311,1291588,1289790,1296683,1314945,1301187,1314197,1299836,1314657,1322087,1316821,1329408,1339119,1335500,1338907,1343162,1336519,1335310,1344477,1353344,1347907,1361127,1363843,1365953,1374461,1381475,1382189,1383720,1384695,1376418,1384840,1389391,1390375,1384303,1397085,1406598,1414798,1411117,1420069,1424335,1424724,1438271,1461668,1442977,1447955,1457147,1444756,1449900,1450015,1454525,1453892,1454892,1461428,1445690,1453414,1451317,1451921,1457609,1457359,1463909,1458514,1463118,1461533,1462911,1474651,1470981,1468780,1479312,1476908,1467309,1486228,1479979,1469962,1479604,1481685,1476776,1483211,1488328,1492509,1496374,1500830,1488075,1503152,1504812,1507075,1510235,1510132,1523212,1528978,1536540,1544136,1547100,1549223,1572008,1566729,1578784,1588197,1593562,1597414,1597986,1595816,1597375,1606721,1573828,1602762,1612514,1609328,1623374,1620037,1638068,1625778,1624612,1635731,1623605,1612539,1627268,1631631,1613983,1637643,1616812,1622184,1621573,1638771,1628873,1618833,1631035,1630191,1633549,1640540,1637738,1636559,1636866,1637439,1635053,1624374,1633258,1639879,1647262,1651185,1654509,1646522,1655862,1655282,1651754,1653625,1650022,1658431,1658505,1664563,1644591,1668817,1665027,1666637,1656581,1654275,1669255,1672116,1673985,1673930,1670473,1665281,1675504,1680994,1676054,1663721,1677383,1676669,1681723,1680434,1693391,1683895,1682894,1678637,1674058,1663321,1657908,1667780,1662453,1674424,1677382,1676211
"25","16","    Health care","DHLCRX0",935654,940295,945165,941843,946403,945910,947423,952040,951747,954518,953386,956759,957568,949033,959341,963788,962795,967560,965604,967609,971679,976551,978306,986438,985637,985935,985551,987903,991312,993881,998884,1001695,1003361,1007350,1010810,1014296,1020547,1024055,1025715,1026742,1028410,1029768,1031539,1033220,1034297,1034376,1033484,1033216,1034323,1036154,1037271,1038656,1039667,1041754,1045368,1048435,1051588,1055627,1058961,1060581,1060845,1063964,1068877,1073755,1078396,1083718,1082353,1085988,1089545,1092602,1097497,1102141,1109045,1112829,1117849,1121045,1125603,1130925,1137472,1142900,1147013,1152986,1160225,1168913,1177154,1184295,1189317,1195223,1199968,1206153,1206930,1210110,1212118,1216058,1215829,1216222,1218350,1220599,1223711,1223520,1222639,1224777,1227292,1231161,1234206,1233464,1236994,1243261,1243850,1247474,1249328,1254270,1259939,1266786,1272055,1276137,1280954,1282717,1285254,1290504,1298391,1302971,1306011,1305645,1306231,1306914,1311551,1312848,1314112,1310911,1313237,1317864,1324257,1328593,1331123,1332395,1331950,1332522,1329491,1329438,1330597,1336051,1341790,1347281,1352542,1356154,1360321,1360523,1360930,1361126,1361819,1365352,1367676,1368764,1372755,1380454,1384116,1385080,1387979,1392710,1395356,1399028,1400473,1403087,1402269,1401296,1401942,1404338,1407051,1410993,1413145,1417736,1420936,1424321,1427065,1425876,1428746,1427215,1425046,1421469,1417932,1417344,1419486,1423746,1428892,1434536,1439857,1445965,1449555,1457347,1463375,1470333,1474921,1478680,1482833,1486922,1490816,1490156,1487596,1484990,1486112,1495036,1500777,1503361,1508793,1513175,1517915,1520894,1519749,1518694
"26","17","    Transportation services","DTRSRX0",208839,208434,208850,209936,210949,212243,213108,216149,217328,218606,220349,221542,223265,226562,227098,228209,230436,228899,231492,232930,234661,236120,234834,242145,243141,244247,246011,246292,247316,248716,250683,250645,252307,250986,251431,254333,254063,254727,254826,256819,257187,259046,260235,259736,261861,262256,263333,266303,267158,268346,267432,270129,270109,272410,275127,275988,277603,278382,279818,279690,280269,283427,285101,283678,286616,287493,286667,287254,289079,287323,290234,287882,289874,288447,287365,287820,286996,286613,286447,288681,270167,276541,277738,276691,278242,277868,277164,275707,275809,274600,274931,276237,274074,275153,272573,278074,278297,276304,274092,274012,275450,275313,276348,277579,278438,279123,276825,280843,280246,282778,281991,284217,283348,284758,284096,284182,283496,284801,286264,284978,285561,284743,286482,285240,286457,287455,287217,286807,286625,284859,285340,284746,283923,283098,284023,284988,285227,285486,284908,283682,286233,286862,288004,289038,289318,288721,289643,288241,290437,288312,287504,288635,287141,287329,286678,282819,282798,283018,279035,277802,276996,274858,273269,270707,266384,262541,257495,259093,254708,251960,247765,248504,246584,246122,246139,242903,241990,241869,241126,241807,241448,239896,241781,242346,241955,243337,243350,244604,245673,245971,245936,245680,246016,247020,247578,247521,249036,249213,249899,250298,250915,249223,250408,249354,249824,251458,250633,250775,251504,251353
"27","18","    Recreation services","DRCARX0",235320,237345,240754,240225,244527,247290,245943,248704,248523,249715,252765,252380,250833,251758,254304,253486,254189,257203,261763,257400,257433,258276,259102,260797,259701,263572,262458,263500,264648,263158,264442,265507,264552,267032,267081,268567,272240,270006,270308,271007,270677,271593,273731,275237,274436,276496,276664,277575,277282,279173,281651,283832,282937,284809,287019,289309,293796,292929,294284,292975,290479,293340,295896,296530,295825,295134,298773,295415,294790,295514,296814,294726,300436,296698,297063,295077,295772,294227,295452,296227,288634,291265,293748,294667,295534,295207,294891,297218,296530,293287,294865,296165,298368,298880,298663,301830,300208,297857,299791,301145,304353,305322,306487,309382,309528,312064,312879,314721,315354,319176,320723,321882,321098,322690,322658,324549,324411,325160,324565,322909,323687,327230,329607,326977,328377,328391,329115,328166,326016,329626,331760,329854,335818,333826,334837,338098,337650,336206,338587,339715,340922,344079,349704,349861,347967,348768,352776,351152,354309,352552,356920,355344,353979,355240,352230,357055,354181,356331,353515,352074,352968,353515,350423,346519,342172,341851,341021,338638,340844,337466,333779,335473,334862,332124,331344,331774,331152,330928,333612,334018,335235,336285,336092,334831,333219,334010,335401,338744,339421,342507,342017,341147,339124,340537,343292,344890,345398,348197,348689,346863,348292,348144,348209,349031,348337,349653,345806,346090,348430,348924
"28","19","    Food services and accommodations","DFSARX0",418839,412460,414952,416944,416479,414908,415700,417355,416993,415638,415509,416486,413596,415101,419166,417733,418718,417662,418641,417986,419300,420862,423780,422652,426868,426867,426083,426646,425667,427115,430137,432098,430792,428021,425752,430306,431912,432710,433782,436533,437524,440386,438234,438895,442298,444539,444716,448627,442518,446293,444572,447026,447172,447259,447056,447376,452439,458334,460284,459903,462889,465633,472469,470674,470737,471913,472004,470013,476300,474643,473316,465797,478654,473809,471840,468834,470815,470823,470065,474386,458413,463024,464190,473650,473463,475753,472180,478754,475809,477889,477914,478541,478720,476413,479432,481711,481628,480291,486018,486693,493235,495592,498382,503382,498844,505139,507179,503388,507891,510482,513871,511439,510974,512265,516542,514142,518446,519767,519658,525463,523326,529280,523268,531962,531603,534087,534537,535269,538737,537754,544185,542864,556075,547349,548713,548037,547083,546055,545069,550642,555316,554339,555331,565612,556908,553073,560617,555017,558400,559087,556919,559689,558578,562317,560705,567547,560836,554806,554538,559747,560384,557507,555433,554247,551043,549249,545093,543817,540794,537719,530614,532460,531296,529760,531524,530449,527523,526306,528945,532846,530752,538697,542546,543523,542965,543967,545559,547871,548593,550352,553307,552816,551768,560431,564790,561570,563765,563738,562744,564762,571124,571975,572325,574001,577519,578256,582679,582811,580326,578704
