"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W021RC1","278,016.0","283,526.0","284,425.0","288,209.0","284,984.0","287,957.0","286,871.0","287,598.0","295,592.0","301,571.0","305,297.0","311,948.0","335,830.0","343,237.0","348,801.0","360,263.0","379,395.0","385,676.0","392,452.0","404,024.0","413,417.0","428,430.0","444,050.0","441,179.0","436,308.0","407,352.0","456,291.0","468,347.0","489,616.0","500,164.0","511,619.0","522,328.0","542,886.0","562,156.0","574,026.0","590,232.0","603,532.0","641,084.0","657,237.0","682,434.0","704,151.0","718,700.0","738,300.0","754,541.0","776,694.0","773,751.0","802,425.0","841,773.0","896,284.0","910,124.0","934,571.0","929,765.0","929,052.0","942,213.0","938,788.0","947,090.0","959,940.0","999,536.0","1,006,627.0","1,035,100.0","1,083,457.0","1,106,879.0","1,119,250.0","1,144,270.0","1,208,172.0","1,181,037.0","1,227,205.0","1,242,066.0","1,268,320.0","1,269,525.0","1,292,943.0","1,329,528.0","1,335,953.0","1,422,604.0","1,415,344.0","1,438,811.0","1,464,950.0","1,482,851.0","1,514,576.0","1,547,389.0","1,608,021.0","1,619,736.0","1,635,036.0","1,645,947.0","1,675,231.0","1,696,231.0","1,723,266.0","1,742,346.0","1,734,776.0","1,746,629.0","1,767,667.0","1,789,762.0","1,807,340.0","1,835,310.0","1,847,834.0","1,889,995.0","1,879,530.0","1,935,745.0","1,954,176.0","2,023,483.0","2,029,273.0","2,083,478.0","2,111,037.0","2,143,741.0","2,178,482.0","2,203,038.0","2,227,152.0","2,253,338.0","2,304,610.0","2,371,460.0","2,391,780.0","2,453,851.0","2,488,947.0","2,532,009.0","2,588,133.0","2,619,779.0","2,665,844.0","2,703,672.0","2,749,499.0","2,800,048.0","2,835,425.0","2,867,864.0","2,919,123.0","2,987,510.0","3,094,132.0","3,128,035.0","3,141,721.0","3,165,880.0","3,203,062.0","3,197,829.0","2,984,613.0","3,087,253.0","2,951,821.0","2,949,928.0","2,976,832.0","2,992,887.0","3,016,436.0","3,034,316.0","3,000,980.0","3,121,828.0","3,159,918.0","3,219,944.0","3,307,042.0","3,375,975.0","3,565,097.0","3,611,633.0","3,684,280.0","3,776,073.0","3,919,804.0","3,971,104.0","4,024,760.0","4,064,948.0","4,172,233.0","4,200,296.0","4,195,532.0","4,220,071.0","4,207,562.0","4,003,279.0","4,089,651.0","3,995,578.0","3,745,518.0","3,674,642.0","3,702,547.0","3,785,007.0","3,903,977.0","3,947,819.0","4,020,754.0","4,067,811.0"
"21","2","Current tax receipts","W054RC1","224,755.0","229,089.0","228,592.0","231,284.0","227,523.0","230,683.0","228,853.0","229,793.0","233,739.0","238,173.0","241,833.0","247,475.0","264,721.0","270,816.0","275,075.0","284,708.0","290,431.0","295,350.0","300,906.0","310,485.0","312,798.0","324,754.0","338,921.0","335,971.0","330,281.0","300,699.0","348,062.0","358,062.0","369,810.0","378,934.0","388,262.0","397,486.0","411,382.0","427,119.0","436,079.0","449,236.0","450,788.0","482,015.0","493,093.0","513,124.0","519,359.0","530,468.0","545,094.0","556,723.0","569,861.0","564,893.0","588,408.0","619,106.0","651,037.0","658,533.0","678,090.0","666,216.0","653,367.0","663,404.0","657,809.0","663,404.0","663,119.0","697,306.0","698,580.0","717,227.0","743,970.0","758,420.0","764,654.0","783,060.0","830,150.0","789,719.0","834,352.0","841,471.0","847,810.0","853,299.0","871,017.0","903,034.0","903,977.0","986,970.0","976,946.0","995,036.0","992,967.0","1,004,045.0","1,028,296.0","1,050,428.0","1,099,234.0","1,105,620.0","1,112,382.0","1,119,384.0","1,137,641.0","1,154,989.0","1,173,307.0","1,179,400.0","1,162,184.0","1,169,661.0","1,184,107.0","1,203,632.0","1,208,222.0","1,232,682.0","1,240,688.0","1,277,180.0","1,259,995.0","1,306,564.0","1,321,052.0","1,383,482.0","1,374,002.0","1,420,129.0","1,440,873.0","1,467,345.0","1,489,103.0","1,507,780.0","1,525,666.0","1,544,222.0","1,586,125.0","1,642,405.0","1,651,375.0","1,686,131.0","1,726,952.0","1,760,181.0","1,803,925.0","1,828,951.0","1,863,825.0","1,893,466.0","1,928,352.0","1,957,379.0","1,982,665.0","2,008,285.0","2,050,175.0","2,102,043.0","2,174,192.0","2,203,581.0","2,206,923.0","2,226,592.0","2,244,150.0","2,242,607.0","2,028,296.0","2,139,747.0","1,989,850.0","1,985,043.0","2,008,191.0","2,025,368.0","2,036,490.0","2,043,570.0","2,001,461.0","2,110,098.0","2,126,715.0","2,175,123.0","2,247,425.0","2,303,512.0","2,470,306.0","2,507,518.0","2,564,125.0","2,645,235.0","2,747,578.0","2,791,075.0","2,835,108.0","2,855,675.0","2,939,090.0","2,962,649.0","2,947,667.0","2,955,262.0","2,921,030.0","2,713,230.0","2,796,787.0","2,690,248.0","2,442,264.0","2,344,468.0","2,391,230.0","2,459,354.0","2,572,383.0","2,597,823.0","2,655,952.0","2,692,917.0"
