"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","Personal income","A065RC1","745,348.0","750,550.0","757,228.0","763,137.0","769,006.0","775,034.0","782,876.0","790,113.0","795,096.0","799,779.0","803,492.0","808,283.0","810,029.0","814,481.0","818,744.0","837,871.0","834,482.0","835,010.0","842,974.0","847,881.0","853,183.0","852,739.0","854,674.0","860,903.0","870,562.0","874,678.0","880,233.0","886,797.0","893,450.0","914,220.0","905,094.0","912,375.0","915,936.0","919,703.0","926,927.0","937,158.0","946,638.0","957,711.0","964,068.0","967,506.0","973,410.0","976,521.0","987,367.0","999,842.0","1,008,001.0","1,031,443.0","1,045,674.0","1,053,425.0","1,053,698.0","1,065,283.0","1,074,235.0","1,084,773.0","1,095,117.0","1,104,488.0","1,111,735.0","1,121,867.0","1,133,180.0","1,150,304.0","1,162,781.0","1,169,068.0","1,171,823.0","1,178,070.0","1,183,516.0","1,191,559.0","1,204,639.0","1,216,068.0","1,233,706.0","1,240,747.0","1,251,373.0","1,263,719.0","1,264,835.0","1,272,884.0","1,278,942.0","1,284,013.0","1,288,759.0","1,294,953.0","1,307,826.0","1,339,309.0","1,336,596.0","1,353,544.0","1,364,850.0","1,379,981.0","1,389,745.0","1,399,820.0","1,415,301.0","1,426,475.0","1,434,415.0","1,443,966.0","1,453,739.0","1,462,383.0","1,479,780.0","1,492,330.0","1,502,237.0","1,510,431.0","1,531,377.0","1,543,431.0","1,543,618.0","1,560,178.0","1,575,857.0","1,593,462.0","1,606,571.0","1,618,366.0","1,636,020.0","1,650,937.0","1,668,354.0","1,693,818.0","1,714,930.0","1,727,934.0","1,732,413.0","1,748,069.0","1,770,418.0","1,794,896.0","1,809,989.0","1,828,326.0","1,849,648.0","1,865,648.0","1,880,880.0","1,902,287.0","1,919,303.0","1,938,839.0","1,957,955.0","1,974,843.0","1,997,235.0","2,002,987.0","2,019,678.0","2,036,375.0","2,067,436.0","2,085,992.0","2,105,684.0","2,129,822.0","2,155,228.0","2,181,076.0","2,203,609.0","2,216,471.0","2,227,775.0","2,231,119.0","2,240,800.0","2,256,713.0","2,290,359.0","2,315,371.0","2,351,362.0","2,399,524.0","2,428,547.0","2,456,537.0","2,468,446.0","2,484,747.0","2,509,731.0","2,514,800.0","2,533,925.0","2,558,307.0","2,612,844.0","2,639,305.0","2,653,867.0","2,658,590.0","2,674,214.0","2,678,528.0","2,686,735.0","2,705,873.0","2,714,381.0","2,733,405.0","2,751,755.0","2,760,482.0","2,779,093.0","2,788,039.0","2,794,288.0","2,809,694.0","2,829,602.0","2,848,454.0","2,854,357.0","2,861,079.0","2,878,391.0","2,893,157.0","2,920,210.0","2,931,420.0","2,956,165.0","2,968,567.0","2,995,461.0","3,027,950.0","3,055,759.0","3,083,539.0","3,114,136.0","3,153,658.0","3,182,761.0","3,216,798.0","3,228,401.0","3,260,047.0","3,284,472.0","3,318,176.0","3,345,392.0","3,345,747.0","3,371,799.0","3,405,043.0","3,418,746.0","3,436,437.0","3,449,650.0","3,460,827.0","3,470,964.0","3,489,099.0","3,494,231.0","3,503,212.0","3,523,667.0","3,549,798.0","3,566,893.0","3,596,388.0"
"21","2","   Compensation of employees, received","W209RC1","551,917.0","555,042.0","560,717.0","565,137.0","569,698.0","574,486.0","581,521.0","587,086.0","591,098.0","595,134.0","598,259.0","601,227.0","603,013.0","605,824.0","609,541.0","615,224.0","617,100.0","616,513.0","620,179.0","622,811.0","624,603.0","621,521.0","622,723.0","627,568.0","638,273.0","641,467.0","644,902.0","649,089.0","654,503.0","656,910.0","658,965.0","665,269.0","666,128.0","668,255.0","672,446.0","683,713.0","695,597.0","703,963.0","708,115.0","712,627.0","715,919.0","719,948.0","722,667.0","730,241.0","736,811.0","745,172.0","751,774.0","758,755.0","773,727.0","782,681.0","788,457.0","795,381.0","800,685.0","807,206.0","814,313.0","818,888.0","826,399.0","834,617.0","843,981.0","849,007.0","855,700.0","860,962.0","865,452.0","871,436.0","882,233.0","892,132.0","900,065.0","903,360.0","910,301.0","917,774.0","913,871.0","915,467.0","918,944.0","917,655.0","921,517.0","923,509.0","932,166.0","939,288.0","945,516.0","959,811.0","967,518.0","978,114.0","988,122.0","996,372.0","1,014,375.0","1,022,897.0","1,029,516.0","1,038,444.0","1,047,707.0","1,051,965.0","1,061,221.0","1,071,900.0","1,079,001.0","1,086,118.0","1,099,305.0","1,108,461.0","1,114,004.0","1,127,519.0","1,139,164.0","1,151,329.0","1,165,216.0","1,176,434.0","1,187,159.0","1,194,711.0","1,208,621.0","1,224,493.0","1,234,377.0","1,242,083.0","1,255,151.0","1,267,791.0","1,285,905.0","1,306,289.0","1,315,474.0","1,331,744.0","1,343,218.0","1,353,179.0","1,366,636.0","1,386,137.0","1,398,115.0","1,412,572.0","1,429,485.0","1,441,749.0","1,458,790.0","1,462,118.0","1,474,886.0","1,491,346.0","1,504,442.0","1,514,598.0","1,530,037.0","1,542,732.0","1,557,928.0","1,573,530.0","1,584,755.0","1,598,530.0","1,614,200.0","1,614,619.0","1,619,847.0","1,629,525.0","1,634,444.0","1,653,919.0","1,670,431.0","1,698,434.0","1,719,199.0","1,733,436.0","1,757,986.0","1,767,337.0","1,781,246.0","1,791,711.0","1,800,286.0","1,813,601.0","1,825,632.0","1,842,805.0","1,850,920.0","1,862,866.0","1,870,550.0","1,870,319.0","1,883,838.0","1,894,281.0","1,897,805.0","1,899,824.0","1,914,488.0","1,918,989.0","1,928,152.0","1,932,597.0","1,931,579.0","1,937,582.0","1,942,221.0","1,954,393.0","1,970,971.0","1,967,392.0","1,979,939.0","1,994,419.0","2,015,344.0","2,025,635.0","2,042,933.0","2,050,381.0","2,065,042.0","2,095,727.0","2,103,776.0","2,120,192.0","2,161,750.0","2,175,648.0","2,189,971.0","2,214,840.0","2,220,474.0","2,241,200.0","2,258,344.0","2,267,255.0","2,287,086.0","2,289,599.0","2,308,153.0","2,328,388.0","2,337,948.0","2,349,429.0","2,373,396.0","2,375,680.0","2,387,163.0","2,407,898.0","2,410,653.0","2,427,214.0","2,445,916.0","2,459,081.0","2,470,881.0","2,498,491.0"
"22","3","     Wage and salary disbursements","A576RC1","495,596.0","498,217.0","503,387.0","507,273.0","511,310.0","515,566.0","521,930.0","526,925.0","530,430.0","533,952.0","536,432.0","538,970.0","539,966.0","542,295.0","545,536.0","550,527.0","551,972.0","551,094.0","554,308.0","556,324.0","557,638.0","554,412.0","555,194.0","559,456.0","567,499.0","570,072.0","572,844.0","576,378.0","581,140.0","582,708.0","584,326.0","589,887.0","590,154.0","591,739.0","595,289.0","605,559.0","613,510.0","620,603.0","624,075.0","628,029.0","630,603.0","633,990.0","636,202.0","642,892.0","648,764.0","656,287.0","662,043.0","668,361.0","676,253.0","684,352.0","689,354.0","695,453.0","699,975.0","705,636.0","711,544.0","715,257.0","721,826.0","728,620.0","736,770.0","740,773.0","744,185.0","748,439.0","751,924.0","756,744.0","766,118.0","774,712.0","781,055.0","783,460.0","789,194.0","795,267.0","790,742.0","791,308.0","792,476.0","790,180.0","792,803.0","793,626.0","800,769.0","806,404.0","811,088.0","823,244.0","829,248.0","837,934.0","846,287.0","852,793.0","865,084.0","871,881.0","876,393.0","883,469.0","890,905.0","893,472.0","900,786.0","909,534.0","914,736.0","920,254.0","931,101.0","938,131.0","939,469.0","950,655.0","959,701.0","969,950.0","981,669.0","990,809.0","999,627.0","1,005,583.0","1,017,006.0","1,030,650.0","1,038,669.0","1,044,909.0","1,051,730.0","1,062,456.0","1,078,149.0","1,096,229.0","1,103,650.0","1,117,677.0","1,127,569.0","1,135,625.0","1,146,674.0","1,163,859.0","1,173,805.0","1,186,161.0","1,196,500.0","1,206,912.0","1,221,301.0","1,223,081.0","1,233,736.0","1,247,912.0","1,258,776.0","1,266,903.0","1,279,242.0","1,289,758.0","1,302,259.0","1,315,560.0","1,323,253.0","1,334,676.0","1,347,175.0","1,346,077.0","1,349,622.0","1,357,401.0","1,360,264.0","1,377,437.0","1,390,474.0","1,415,428.0","1,433,840.0","1,445,894.0","1,460,223.0","1,467,782.0","1,479,185.0","1,487,836.0","1,494,777.0","1,505,981.0","1,516,314.0","1,531,356.0","1,537,764.0","1,547,842.0","1,554,041.0","1,552,666.0","1,561,347.0","1,569,862.0","1,570,774.0","1,571,519.0","1,584,079.0","1,587,100.0","1,594,596.0","1,597,769.0","1,595,706.0","1,600,295.0","1,603,449.0","1,613,756.0","1,622,420.0","1,618,058.0","1,628,792.0","1,641,053.0","1,659,704.0","1,668,361.0","1,683,673.0","1,689,966.0","1,703,008.0","1,730,768.0","1,737,551.0","1,752,139.0","1,772,977.0","1,784,897.0","1,797,176.0","1,819,174.0","1,823,381.0","1,841,470.0","1,856,278.0","1,863,439.0","1,880,596.0","1,882,645.0","1,898,516.0","1,915,786.0","1,920,688.0","1,929,775.0","1,950,522.0","1,951,870.0","1,961,450.0","1,979,532.0","1,981,154.0","1,995,446.0","2,011,717.0","2,022,892.0","2,032,061.0","2,056,255.0"
"23","4","       Private industries","A132RC1","394,736.0","396,925.0","401,687.0","404,817.0","408,206.0","411,790.0","414,818.0","418,589.0","421,386.0","424,524.0","426,620.0","428,690.0","428,870.0","430,467.0","432,880.0","431,067.0","432,116.0","434,466.0","437,044.0","438,256.0","436,870.0","435,120.0","435,470.0","439,312.0","444,391.0","446,100.0","448,296.0","451,218.0","455,524.0","456,660.0","457,594.0","460,623.0","462,966.0","464,503.0","466,529.0","474,339.0","479,002.0","485,579.0","489,363.0","492,645.0","494,715.0","497,742.0","499,078.0","504,400.0","509,192.0","516,187.0","520,551.0","526,257.0","532,049.0","539,284.0","543,722.0","548,729.0","552,687.0","557,724.0","562,864.0","565,557.0","571,478.0","576,100.0","583,290.0","586,597.0","589,301.0","592,811.0","595,516.0","599,580.0","607,922.0","613,864.0","616,763.0","621,724.0","627,002.0","629,895.0","623,774.0","623,092.0","623,528.0","619,816.0","620,891.0","620,346.0","626,337.0","631,036.0","634,496.0","645,716.0","650,256.0","656,722.0","664,019.0","670,009.0","681,352.0","687,177.0","690,789.0","697,097.0","703,609.0","705,612.0","712,086.0","720,150.0","724,668.0","727,426.0","736,893.0","743,215.0","743,665.0","754,023.0","762,193.0","771,482.0","782,085.0","790,169.0","797,523.0","801,943.0","812,058.0","822,018.0","828,249.0","833,433.0","838,861.0","848,472.0","863,422.0","880,385.0","886,606.0","899,277.0","907,649.0","914,625.0","924,570.0","938,159.0","946,725.0","957,869.0","965,948.0","976,312.0","989,441.0","989,285.0","1,000,240.0","1,013,132.0","1,021,884.0","1,028,331.0","1,039,770.0","1,045,530.0","1,056,087.0","1,068,176.0","1,073,489.0","1,083,232.0","1,094,087.0","1,090,841.0","1,091,410.0","1,097,653.0","1,098,716.0","1,114,281.0","1,126,178.0","1,143,339.0","1,159,904.0","1,170,399.0","1,182,837.0","1,189,005.0","1,199,184.0","1,206,850.0","1,212,638.0","1,222,688.0","1,231,759.0","1,245,647.0","1,248,369.0","1,253,470.0","1,258,293.0","1,255,548.0","1,262,018.0","1,269,490.0","1,268,827.0","1,268,289.0","1,279,575.0","1,281,171.0","1,285,267.0","1,289,352.0","1,286,081.0","1,286,190.0","1,287,475.0","1,296,026.0","1,304,044.0","1,298,717.0","1,308,484.0","1,319,392.0","1,332,868.0","1,344,007.0","1,358,437.0","1,360,005.0","1,375,539.0","1,402,347.0","1,407,812.0","1,420,962.0","1,436,509.0","1,445,990.0","1,456,082.0","1,476,284.0","1,478,743.0","1,495,090.0","1,507,310.0","1,511,620.0","1,526,588.0","1,527,533.0","1,541,953.0","1,557,616.0","1,557,386.0","1,564,101.0","1,583,212.0","1,580,120.0","1,591,430.0","1,608,035.0","1,606,982.0","1,618,600.0","1,632,293.0","1,642,569.0","1,648,550.0","1,670,968.0"
"24","5","       Government","B202RC1","100,860.0","101,292.0","101,700.0","102,456.0","103,104.0","103,776.0","107,112.0","108,336.0","109,044.0","109,428.0","109,812.0","110,280.0","111,096.0","111,828.0","112,656.0","119,460.0","119,856.0","116,628.0","117,264.0","118,068.0","120,768.0","119,292.0","119,724.0","120,144.0","123,108.0","123,972.0","124,548.0","125,160.0","125,616.0","126,048.0","126,732.0","129,264.0","127,188.0","127,236.0","128,760.0","131,220.0","134,508.0","135,024.0","134,712.0","135,384.0","135,888.0","136,248.0","137,124.0","138,492.0","139,572.0","140,100.0","141,492.0","142,104.0","144,204.0","145,068.0","145,632.0","146,724.0","147,288.0","147,912.0","148,680.0","149,700.0","150,348.0","152,520.0","153,480.0","154,176.0","154,884.0","155,628.0","156,408.0","157,164.0","158,196.0","160,848.0","164,292.0","161,736.0","162,192.0","165,372.0","166,968.0","168,216.0","168,948.0","170,364.0","171,912.0","173,280.0","174,432.0","175,368.0","176,592.0","177,528.0","178,992.0","181,212.0","182,268.0","182,784.0","183,732.0","184,704.0","185,604.0","186,372.0","187,296.0","187,860.0","188,700.0","189,384.0","190,068.0","192,828.0","194,208.0","194,916.0","195,804.0","196,632.0","197,508.0","198,468.0","199,584.0","200,640.0","202,104.0","203,640.0","204,948.0","208,632.0","210,420.0","211,476.0","212,869.0","213,984.0","214,727.0","215,844.0","217,044.0","218,400.0","219,920.0","221,000.0","222,104.0","225,700.0","227,080.0","228,292.0","230,552.0","230,600.0","231,860.0","233,796.0","233,496.0","234,780.0","236,892.0","238,572.0","239,472.0","244,228.0","246,172.0","247,384.0","249,764.0","251,444.0","253,088.0","255,236.0","258,212.0","259,748.0","261,548.0","263,156.0","264,296.0","272,089.0","273,936.0","275,495.0","277,386.0","278,777.0","280,001.0","280,986.0","282,139.0","283,293.0","284,555.0","285,709.0","289,395.0","294,372.0","295,748.0","297,118.0","299,329.0","300,372.0","301,947.0","303,230.0","304,504.0","305,929.0","309,329.0","308,417.0","309,625.0","314,105.0","315,974.0","317,730.0","318,376.0","319,341.0","320,308.0","321,661.0","326,836.0","324,354.0","325,236.0","329,961.0","327,469.0","328,421.0","329,739.0","331,177.0","336,468.0","338,907.0","341,094.0","342,890.0","344,638.0","346,380.0","348,968.0","351,819.0","354,008.0","355,112.0","356,563.0","358,170.0","363,302.0","365,674.0","367,310.0","371,750.0","370,020.0","371,497.0","374,172.0","376,846.0","379,424.0","380,323.0","383,511.0","385,287.0"
