"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160"
"27","18","    Textile mills","KS313M0",2296,2347,2397,2370,2318,2345,2333,2361,2359,2377,2377,2391,2374,2375,2402,2359,2406,2360,2325,2302,2292,2290,2269,2270,2299,2302,2264,2218,2299,2328,2311,2329,2351,2320,2323,2344,2293,2274,2277,2261,2232,2235,2330,2319,2241,2257,2264,2211,2205,2171,2114,2125,2120,2099,2134,2122,2130,2142,2108,2015,1997,1985,1977,1937,1934,1955,1957,1962,2002,1986,1999,1940,1909,1941,1975,2039,1992,1968,1946,1944,1938,1937,1950,1920,1910,1929,1934,1960,1942,1937,1946,1939,1931,1888,1934,1947,1975,1939,1948,1960,1980,1942,1939,1917,1928,1922,1909,1923,1930,1951,1919,1891,1886,1905,1916,1920,1922,1898,1889,1880,1856,1873,1872,1871,1880,1894,1831,1839,1813,1820,1816,1821,1822,1816,1786,1780,1765,1771,1786,1752,1726,1732,1727,1702,1680,1646,1633,1641,1618,1629,1624,1607,1591,1585,1566,1560,1557
"28","19","    Textile product mills","KS314M0",1300,1340,1348,1359,1345,1335,1342,1338,1345,1313,1296,1321,1304,1314,1297,1313,1317,1297,1286,1278,1267,1235,1244,1253,1235,1281,1294,1288,1280,1315,1296,1318,1308,1350,1365,1334,1348,1321,1362,1393,1437,1466,1493,1526,1530,1527,1553,1559,1585,1566,1563,1542,1550,1593,1567,1541,1576,1601,1576,1568,1510,1470,1433,1401,1369,1360,1357,1341,1324,1290,1237,1194,1220,1223,1203,1270,1236,1183,1168,1168,1162,1153,1196,1189,1184,1201,1202,1196,1195,1203,1221,1226,1227,1234,1221,1227,1247,1245,1258,1260,1270,1284,1261,1253,1253,1253,1240,1279,1296,1281,1293,1293,1273,1286,1292,1298,1300,1307,1290,1267,1265,1261,1273,1243,1234,1244,1239,1238,1239,1227,1231,1236,1242,1250,1258,1277,1261,1232,1249,1242,1238,1248,1221,1177,1077,1079,1055,1046,1033,1027,1015,1007,1004,1003,995,990,973
"29","20","    Apparel manufacturing","KS315M0",2857,2880,2850,2866,2886,2871,2852,2875,2863,2860,2804,2776,2791,2802,2845,2769,2735,2773,2729,2715,2687,2665,2659,2685,2670,2676,2688,2689,2704,2712,2722,2655,2719,2741,2739,2728,2710,2708,2693,2631,2687,2599,2606,2581,2595,2613,2554,2538,2526,2470,2467,2434,2363,2294,2251,2220,2179,2161,2174,2059,2044,2036,2043,2027,1998,1992,1996,1980,1995,2028,2050,2016,2020,1998,2008,2035,2038,1995,1995,2008,1948,1951,1949,1927,1927,1922,1923,1925,1921,1935,1920,1950,1964,1947,1949,1935,1933,1937,1918,1913,1911,1901,1905,1890,1885,1882,1886,1874,1885,1871,1862,1852,1890,1828,1858,1860,1847,1843,1854,1852,1866,1868,1859,1858,1854,1872,1894,1857,1850,1871,1841,1893,1844,1856,1863,1851,1863,1843,1835,1826,1823,1782,1780,1770,1767,1746,1739,1722,1717,1712,1695,1675,1652,1650,1650,1640,1645
"30","21","    Leather and allied product manufacturing","KS316M0",580,583,567,597,610,608,621,608,620,616,600,622,619,607,601,632,635,612,602,625,640,638,639,595,583,575,590,572,580,593,576,586,567,574,556,570,548,554,568,559,540,563,568,545,530,546,533,533,562,575,554,584,584,570,569,554,549,518,516,493,477,508,493,479,472,469,477,450,448,460,463,451,449,450,451,455,454,461,454,454,455,449,449,454,448,453,455,457,459,462,459,458,455,463,464,464,469,459,463,463,464,446,452,448,455,468,483,476,460,436,438,454,457,466,476,483,498,499,493,513,519,516,517,516,514,511,542,549,557,549,543,555,551,545,541,530,522,517,510,502,505,505,497,499,532,542,541,526,534,535,534,532,529,517,507,505,501
"31","22","    Paper manufacturing","KS322M0",8675,8762,8864,8769,8755,8495,8514,8525,8585,8678,8694,8837,8853,8772,8763,8782,8702,8805,8794,8821,8714,8633,8612,8427,8578,8569,8645,8694,8695,8769,8795,9126,9230,9172,9229,9225,9205,9242,9214,9200,9257,9088,9101,9019,8944,8890,8887,8800,8866,8803,8760,8721,8650,8645,8607,8613,8639,8631,8666,8567,8622,8688,8618,8634,8720,8793,8825,8853,9020,9144,9123,9232,9263,9279,9005,9077,9011,9030,8928,8918,8916,8918,8838,8796,8714,8664,8643,8749,8785,8929,9042,8924,8969,8987,8984,8891,8968,8919,8888,8865,8891,8924,8923,8893,8888,8858,8820,8875,8796,8848,8919,8912,8927,8882,8815,8857,8829,8811,8921,8819,8861,8874,8760,8709,8756,8729,8737,8771,8703,8730,8711,8639,8693,8525,8507,8519,8435,8409,8369,8361,8317,8411,8388,8138,8233,8194,8024,8039,7949,8000,8115,8242,8320,8195,8156,8136,8007
"32","23","    Printing and related support activities","KS323M0",2615,2678,2676,2693,2718,2625,2450,2466,2449,2512,2366,2706,2602,2579,2620,2500,2530,2469,2571,2481,2466,2372,2273,2253,2330,2393,2385,2291,2304,2381,2277,2534,2574,2475,2604,2659,2589,2633,2744,2566,2486,2489,2474,2545,2514,2530,2482,2442,2496,2467,2532,2585,2539,2415,2422,2459,2280,2471,2459,2380,2509,2469,2366,2450,2449,2555,2604,2577,2568,2695,2737,2617,2687,2657,2575,2589,2632,2541,2558,2535,2540,2509,2482,2508,2482,2577,2542,2481,2459,2523,2536,2542,2548,2564,2548,2557,2471,2520,2590,2586,2596,2628,2601,2427,2476,2465,2491,2503,2504,2500,2579,2612,2585,2635,2622,2585,2558,2546,2543,2538,2512,2637,2541,2568,2581,2600,2584,2588,2680,2741,2743,2857,2617,2697,2863,2860,2879,2769,2716,2611,2581,2440,2487,2606,2358,2383,2247,2186,2191,2139,2158,2205,2208,2261,2318,2232,2230
"33","24","    Petroleum and coal product manufacturing","KS324M0",8296,8075,8265,8128,8405,8183,8000,8178,8160,8336,8262,8468,8357,8383,8468,8224,8181,7896,8338,8264,8006,7845,9024,8082,8031,8099,8352,8051,7996,8074,8094,8045,8301,8459,8732,8396,8603,8272,8071,8314,8305,8274,7941,7892,7861,7685,8065,7451,7499,7669,7794,7764,7764,8308,8369,8298,8407,8619,8477,8734,8136,8328,8275,8591,8329,8465,8514,8429,8413,8471,8664,8195,9156,9136,8552,9142,9009,8879,8498,8829,9317,8669,8426,8902,9103,9456,9526,9562,9255,9050,9791,9275,9132,9284,9713,9321,9862,9634,9779,9413,9330,9024,9462,9733,9282,9589,9244,9735,9364,9612,9729,9846,11161,10350,10189,10291,10900,9632,9868,9644,9873,10125,10073,10435,10440,10601,10513,10457,11320,10973,10644,10717,11709,11352,11341,11224,11306,11216,10541,10406,9756,9429,9460,7845,7873,7527,7819,7037,7516,7488,7760,7921,7403,7809,8225,8587,8509
"34","25","    Chemical manufacturing","KS325M0",20078,20324,20342,20527,20491,20723,20752,20894,21308,21310,21357,21263,21508,21632,21719,21501,21244,21583,21541,21800,21766,21794,21691,21900,21992,22023,21884,22242,22396,22328,22635,22229,22019,22103,22111,22575,22529,22648,22704,22577,22711,22822,23067,22949,23169,22537,23019,23110,23330,22826,22905,22775,22922,22706,22846,22784,22752,22998,23248,22735,22531,22675,22624,23053,22840,22441,22871,22988,23128,22927,23559,22971,22968,23234,23057,22880,22643,22607,22186,22153,22210,22283,22436,21949,21780,21932,21903,21965,21944,21906,21897,22088,21612,21883,21758,21808,21906,22178,22229,22333,22237,22238,21844,21650,21556,21290,20911,21659,21772,21693,21924,21749,21716,21974,22223,22421,22308,22409,22239,22353,21945,21932,22224,22042,22122,22054,21961,22022,21903,21897,21889,21736,22100,22206,21519,21170,21096,20510,20545,20618,21188,20284,19929,20062,19740,19597,19400,19216,19236,19441,19662,19610,19630,19483,19847,20029,19972
"35","26","    Plastics and rubber product manufacturing","KS326M0",8584,8501,8505,8569,8593,8629,8623,8617,8706,8814,8775,8836,8837,8846,8860,8836,8866,8917,8899,8944,8876,8963,9096,8966,9010,9037,9049,9095,9223,9162,9214,9277,9376,9311,9418,9481,9470,9486,9361,9449,9364,9390,9409,9299,9267,9171,9240,9152,9125,9147,9060,8980,8920,8800,8838,8917,8912,8820,8830,8687,8905,8040,8339,8342,8634,8350,8434,8432,8592,8701,8681,8760,8675,8888,8828,8901,8954,8697,8945,8915,8798,8802,8709,8784,8869,8858,8915,9010,8889,8878,8986,9068,9036,9099,9101,9153,9485,9405,9562,9360,9302,9271,9177,9167,9252,9221,9320,9304,9456,9473,9496,9499,9640,9760,9746,9831,9798,9838,9799,9661,9725,9684,9685,9631,9763,9714,9747,9807,9813,9725,9833,9782,9729,9742,9780,9763,9743,9786,9868,9758,9609,9566,9403,9140,9236,9107,8885,8849,8733,8744,8671,8513,8600,8627,8701,8436,8540
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2005 equals the current-dollar change in inventories for 2005 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
