"","Table 5#6#5BM3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","Manufacturing industries","I300",8034,7557,9580,4817,9268,6257,4238,9672,8651,7483,6023,10852,5904,3646,8048,6296,5536,9043,9000,11998,12641,14900,15003,18165,22226,13627,9015,7847,-2083,-1202,790,-5774,-7719,-13910,-10893,-13026,-11684,-5495,-11667,-15148,-10251,-16530,-10256,-7574,-8804,-9348,-7707,-10534,-10874,-10441,-3421,3477,8100,6441,8706,10748,14924,11002,12332,9881,23005,18442,10813,10251,5623,1344,-2262,-4882,-10231,-10809,-11933,-17787,-15305,-15664,-9488,-3223,-1132,-2434,-3962,-3372,-9117,-13062,-9990,-8346,-13448,-21174,-23276,-30525,-33191,-24230,-19363,-29230,-33747,-32589,-24122,-14789,-24681,-24879,-25475,-19158,-12785,-6609,-9193,-12670,-16543,-19967,-20433,-18819,-20902,-16931,-19138,-24279,-30507,-30061,-30464,-24678,-14067,-10664,-8981,-423,-15074,-20740,-20296,-21409,-21468,-19322,-15967,-15917,-17531,-25331,-33892,-34232,-42070,-46068,-57899,-66407,-74030,-81168,-75876,-44658,-1793,57903,95249,97937,48887,31380,22164,18759,15120,8937,4243,-5645,-20705,-25247,-31314,-37993,-13741,-10591,-17528,-20793,-14318,-9131,-9299,-10724,-20827,-24995,-32333,-44228,-39168,-53640,-52308,-40608,-27072,-20496,-17340,-11100,-7464,792,3528,2736
"12","4","  Durable goods industries","I30D0",-834,2130,4444,-59,6896,5311,3590,8661,7996,8177,7350,9559,1728,837,4549,3228,2641,6254,5809,9088,9792,11436,11201,12993,12779,5872,2961,5735,-2520,-1137,2197,-1833,-1529,-6861,-3401,-4497,-614,5445,-595,-6830,-3083,-7708,-4042,-3806,-5183,-5053,-3784,-8697,-4771,-6418,-860,3344,5479,3039,4514,3841,8111,5076,6987,6140,13457,11359,5877,7725,2474,71,116,2312,-1888,-2083,-5165,-8849,-1692,-2491,-270,1869,3240,2851,-464,-345,-2552,-4076,-3035,-5820,-4639,-10474,-12320,-16154,-17884,-13641,-13706,-21264,-21579,-19116,-15943,-10862,-15364,-11690,-9604,-6398,-5223,1407,456,-1431,-2795,-3569,-7770,-6839,-7484,-10535,-12667,-16589,-21354,-20930,-21497,-19217,-13745,-10546,-7471,-2821,-4565,-7864,-7310,-10600,-11795,-7242,-3272,-3087,-130,805,-4519,-6607,-14367,-22718,-32714,-37201,-40647,-39830,-34214,-25288,-11144,10309,26928,33311,28015,22152,17885,16550,16119,13205,6461,-3191,-12382,-13394,-12933,-15192,-3776,-1263,-6780,-14117,-16231,-9334,-4048,-1001,-5486,-7799,-8573,-9687,-17040,-24228,-22380,-20520,-17424,-12588,-8928,-4188,-2616,1980,4560,3300
"13","5","  Nondurable goods industries","I30N0",8868,5427,5136,4876,2372,946,649,1011,655,-695,-1327,1293,4177,2809,3499,3068,2895,2788,3191,2910,2850,3464,3802,5173,9447,7755,6054,2111,437,-65,-1408,-3940,-6190,-7048,-7492,-8530,-11070,-10939,-11073,-8318,-7167,-8821,-6214,-3768,-3621,-4295,-3923,-1837,-6103,-4023,-2562,133,2621,3402,4191,6907,6813,5926,5346,3740,9549,7083,4936,2527,3149,1273,-2379,-7194,-8343,-8726,-6768,-8938,-13612,-13173,-9218,-5092,-4372,-5285,-3498,-3027,-6565,-8987,-6955,-2526,-8809,-10699,-10956,-14371,-15307,-10589,-5656,-7966,-12169,-13473,-8179,-3926,-9317,-13189,-15871,-12759,-7561,-8017,-9650,-11239,-13748,-16398,-12663,-11980,-13418,-6396,-6471,-7690,-9153,-9131,-8966,-5461,-322,-118,-1510,2398,-10509,-12876,-12986,-10809,-9673,-12080,-12696,-12830,-17401,-26136,-29372,-27625,-27702,-23350,-25185,-29206,-33383,-41338,-41662,-19369,9352,47594,68321,64626,20873,9228,4280,2209,-998,-4269,-2217,-2454,-8324,-11853,-18381,-22801,-9965,-9328,-10748,-6676,1913,203,-5251,-9723,-15341,-17196,-23761,-34541,-22128,-29412,-29928,-20088,-9648,-7908,-8412,-6912,-4848,-1188,-1032,-564
"14","6","Wholesale trade industries","IWT0",3457,4565,7274,8646,9938,8298,8111,8677,6658,6690,4820,660,6929,10372,13018,12934,13181,11614,9430,11202,9439,3641,-1276,-1458,8457,8091,6977,3458,1458,2618,-1321,-4264,-3727,-7110,-10378,-10017,-15154,-16993,-15859,-8157,-3591,-3218,-611,-8,-115,1410,208,5614,-9770,-4934,-5153,-5991,-2287,1455,3316,3128,7251,18375,25209,22267,20180,13649,7088,5223,3660,-1079,-9120,-17399,-19734,-16760,-11891,-17239,-9573,-12462,-12040,-998,5052,1254,4468,-653,-5290,-11346,-19966,-15650,-15067,-13655,-14791,-18102,-16936,-10098,-3772,-10097,-16218,-20215,-18280,-11946,-4520,-11137,-13968,-11376,-7015,-2811,-4268,-8539,-10861,-14805,-19494,-26399,-13469,-11030,-11114,-15136,-16717,-18891,-25439,-22953,-17802,-15277,-21537,-33755,-26390,-24865,-22206,-17367,-12969,-10380,-11753,-11740,-17281,-34910,-47436,-51027,-57201,-52401,-55438,-52481,-53335,-57617,-50634,-23010,12075,60801,84448,86222,50235,29924,19779,9825,-2049,-11832,-3232,-8489,-16925,-19029,-25771,-32654,-18598,-6824,-3636,1034,8545,6633,-698,-17481,-32620,-42752,-68034,-60105,-55092,-58956,-50952,-31992,-16548,-10716,-13728,-17952,-23604,-10884,-6348,-5460
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","IWTD0",4773,6764,5783,3515,3947,3810,5859,7057,5333,7267,6366,2367,4753,5788,7050,7780,10636,10410,7619,9211,7818,2769,-589,-152,8506,8100,7742,6383,3596,2336,-895,-2098,-1689,-2990,-4434,-6400,-6236,-7020,-6573,-2805,-891,-1486,15,1862,4608,7110,5605,7046,-7021,-2557,-1504,-2536,-674,256,128,2782,6338,11547,15567,14896,14236,11774,9118,7567,4779,1602,-1487,-3227,-5301,-4476,-8072,-13018,2079,983,-4773,1692,6585,5183,6185,3146,-1408,-6830,-11936,-10990,-7888,-9002,-11195,-12053,-11257,-9330,-5989,-9019,-7620,-6878,-8799,-7733,-3813,-3870,-4497,-3386,-1795,4310,4460,3107,1564,-4198,-15817,-21365,-7220,-8683,-8339,-8711,-9846,-11220,-16492,-14628,-11018,-12152,-5889,-3061,-6020,-5134,-4319,-5579,-5978,-6278,-6601,-3760,-2884,-4841,-7890,-11304,-13656,-14567,-20077,-24112,-27880,-29086,-23703,-15683,641,18318,28539,37548,23350,21219,16908,12699,8103,3008,938,-3417,-6509,-6222,-7553,-8590,-5712,-4441,-4411,-3031,-3157,-3262,-649,557,-319,-3940,-9046,-11075,-11364,-13128,-12888,-12684,-11496,-9384,-8244,-6288,-6180,-3552,-1380,-1248
"17","8","    Nondurable goods industries","IWTN0",-1316,-2199,1491,5131,5991,4489,2251,1620,1325,-576,-1547,-1707,2176,4584,5967,5154,2545,1204,1811,1992,1622,872,-687,-1305,-49,-9,-765,-2925,-2138,282,-426,-2167,-2038,-4120,-5944,-3617,-8918,-9973,-9286,-5352,-2700,-1732,-627,-1870,-4723,-5700,-5397,-1431,-2749,-2377,-3649,-3454,-1613,1200,3188,346,912,6829,9642,7371,5943,1876,-2029,-2345,-1119,-2680,-7632,-14172,-14433,-12284,-3819,-4221,-11652,-13445,-7267,-2690,-1533,-3929,-1718,-3799,-3882,-4516,-8030,-4660,-7179,-4652,-3596,-6049,-5679,-768,2218,-1078,-8598,-13338,-9481,-4212,-707,-7266,-9470,-7990,-5220,-7122,-8728,-11646,-12425,-10607,-3677,-5034,-6249,-2347,-2774,-6426,-6871,-7671,-8947,-8325,-6785,-3124,-15647,-30694,-20370,-19731,-17887,-11789,-6991,-4102,-5152,-7980,-14397,-30069,-39546,-39723,-43545,-37834,-35361,-28369,-25454,-28530,-26931,-7326,11434,42483,55909,48674,26886,8705,2871,-2874,-10152,-14840,-4170,-5072,-10417,-12807,-18217,-24064,-12886,-2383,774,4065,11702,9895,-49,-18038,-32301,-38813,-58987,-49030,-43728,-45828,-38064,-19308,-5052,-1332,-5484,-11664,-17424,-7332,-4968,-4212
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","I42W0",1465,2597,5798,6930,7814,7362,6299,7141,6370,5766,4484,-228,5897,8656,10114,12070,12797,11230,9610,9246,7951,2501,-2896,-3282,7677,7359,6065,3350,1818,1874,-529,-2956,-3067,-6294,-9478,-8337,-12346,-12829,-11599,-7953,-4803,-2366,985,2116,1337,1494,1552,6178,-9134,-3794,-4793,-5055,-2335,711,2968,1652,5991,17247,22917,20659,14756,10853,6524,4551,3024,-1043,-7704,-15899,-16074,-13400,-6431,-7627,-7161,-12366,-9688,-662,5100,3426,2320,-2105,-4354,-9186,-14410,-11126,-10879,-8831,-9211,-12378,-9232,-4350,-1636,-5309,-12702,-17035,-15496,-11418,2488,-5245,-7908,-6120,-1555,-603,-1232,-5755,-10849,-15021,-16638,-23447,-7781,-4658,-5702,-8896,-9829,-12639,-17075,-15357,-12786,-9205,-16293,-28079,-22634,-19681,-18606,-13995,-10401,-7308,-7517,-8788,-12409,-26786,-38172,-42099,-55641,-49929,-48382,-43013,-42583,-44033,-38862,-18054,9279,43569,61120,62726,45171,29672,23271,12861,939,-8244,-1384,-6053,-11501,-12993,-17719,-23858,-16558,-5012,-240,3050,10225,8445,46,-16113,-29092,-38408,-61818,-51609,-47244,-46920,-38988,-23496,-11964,-7632,-11376,-17196,-22308,-10572,-6084,-4524
"20","10","      Durable goods industries","I42WD0",3909,4712,4667,2375,2171,2886,3999,5437,4985,6187,5898,1479,4489,4960,4986,7468,10636,10446,8255,7591,6618,1953,-1801,-1364,8026,7596,6890,5855,3536,1316,-595,-1510,-1785,-2966,-4458,-5788,-5192,-4764,-4053,-3405,-2739,-1810,363,3050,5064,5850,5581,6662,-7177,-2017,-1432,-1768,-698,-668,80,2434,6182,11499,14715,14656,11500,10322,8422,6067,4095,2094,-1559,-4559,-4869,-5148,-7328,-8914,3039,-1357,-4905,384,5349,5699,4037,1442,-1600,-6062,-8204,-8566,-5164,-6254,-7451,-9209,-6913,-6066,-5521,-6307,-7428,-7022,-7863,-8789,-117,-1626,-2625,-1790,1013,3554,4760,3215,-1004,-7726,-15013,-20441,-5780,-6031,-5675,-5759,-6630,-8904,-12676,-11244,-9734,-9416,-4761,-1969,-4472,-2842,-3635,-4223,-5066,-5738,-5053,-3616,-2356,-4097,-7206,-10416,-16020,-15095,-17953,-20428,-23716,-23446,-20175,-13427,-151,12906,21555,27900,19954,18459,15996,11403,6603,1904,-718,-4569,-6077,-5466,-6389,-8146,-6192,-4825,-3499,-1867,-1213,-1906,-1021,-343,149,-2968,-7822,-9731,-8868,-9192,-9756,-9624,-8904,-7980,-7572,-6756,-5772,-4080,-2340,-1548
"21","11","      Nondurable goods industries","I42WN0",-2444,-2115,1131,4555,5643,4477,2299,1704,1385,-420,-1415,-1707,1408,3696,5127,4602,2161,784,1355,1656,1334,548,-1095,-1917,-349,-237,-825,-2505,-1718,558,66,-1447,-1282,-3328,-5020,-2549,-7154,-8065,-7546,-4548,-2064,-556,621,-934,-3727,-4356,-4029,-483,-1957,-1777,-3361,-3286,-1637,1380,2888,-782,-192,5749,8202,6003,3255,532,-1897,-1517,-1071,-3136,-6144,-11340,-11205,-8252,897,1287,-10200,-11009,-4783,-1046,-249,-2273,-1718,-3547,-2754,-3124,-6206,-2560,-5715,-2576,-1760,-3169,-2319,1716,3886,998,-5274,-10014,-7633,-2628,2605,-3618,-5282,-4330,-2568,-4158,-5992,-8970,-9845,-7295,-1625,-3006,-2001,1373,-26,-3138,-3199,-3735,-4399,-4113,-3053,212,-11531,-26110,-18162,-16839,-14971,-9773,-5335,-1570,-2464,-5172,-10053,-22689,-30966,-31683,-39621,-34834,-30429,-22585,-18866,-20586,-18687,-4626,9430,30663,39565,34826,25218,11213,7275,1458,-5664,-10148,-666,-1484,-5425,-7527,-11329,-15712,-10366,-187,3258,4917,11438,10351,1067,-15770,-29241,-35441,-53995,-41878,-38376,-37728,-29232,-13872,-3060,348,-3804,-10440,-16536,-6492,-3744,-2976
