"","Table 6#3D# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","        Other transportation equipment","N4123C0",39773,39994,39420,40371,39893,39528,41787,44220,48615,51076,53249,51665,51224,54743,56494,58595
"31","24","        Furniture and related products","N4124C0",17768,18864,19829,19136,18560,18318,18943,19221,19709,19445,18075,14462,13817,13927,14298,14833
"32","25","        Miscellaneous manufacturing","N4125C0",25522,26442,27704,27797,27605,28261,29350,29693,31014,32345,32689,30658,31141,32140,33596,34530
"33","26","      Nondurable goods","N4126C0",232820,238443,246061,240193,235902,235846,238946,241848,244638,250145,249162,233811,236437,239851,246901,251690
"34","27","        Food and beverage and tobacco products","N4127C0",54149,56244,58663,59853,60649,61862,62570,63537,64672,66985,69029,68183,69785,70896,73446,74551
"35","28","        Textile mills and textile product mills","N4129C0",17305,17083,17071,15458,14700,13778,13483,12752,12168,11659,10772,8937,8986,9113,9181,9316
"36","29","        Apparel and leather and allied products","N4130C0",14756,13605,13054,11739,10470,9775,9619,9147,8928,8548,8261,6979,6827,6674,6615,6570
"37","30","        Paper products","N4132C0",26487,26966,27400,26593,25985,25610,25340,25213,25241,25345,25044,23218,23538,23649,23716,24015
"38","31","        Printing and related support activities","N4133C0",28351,28892,29637,28427,27049,26383,26688,26765,27284,27490,26357,22750,21614,21338,21144,21128
"39","32","        Petroleum and coal products","N4134C0",7363,7609,7533,7764,7808,7962,8393,9075,9699,10703,10857,10586,10587,11257,11935,11995
"40","33","        Chemical products","N4135C0",53792,55872,59277,58590,57640,59067,60773,62914,63427,66705,66720,65027,65703,66556,69291,71557
"41","34","        Plastics and rubber products","N4136C0",30617,32173,33426,31769,31600,31409,32079,32444,33219,32710,32121,28132,29397,30369,31574,32559
"42","35","    Wholesale trade","N4137C0",242234,259617,282522,285189,282485,289901,307407,324770,349259,371524,376265,349410,354929,374336,393731,401897
"43","36","      Durable goods","N4138C0",150519,162692,177618,176502,171324,174164,184935,196230,211719,224770,226547,205181,207718,221143,232568,238081
"44","37","      Nondurable goods","N4139C0",91716,96926,104905,108687,111161,115737,122472,128539,137539,146754,149718,144228,147211,153193,161163,163815
"45","38","    Retail trade","N4140C0",301906,322387,345491,354170,359198,367025,379950,392790,407220,419548,414053,393775,399347,411713,427754,438416
"46","39","      Motor vehicle and parts dealers","N4141C0",58491,63416,67271,70337,72398,73791,75782,78090,79874,80985,75737,66975,69723,74509,79154,83345
"47","40","      Food and beverage stores","N4142C0",50613,52641,55265,56924,57608,58359,58985,59326,60951,63012,64979,64898,65145,65695,67551,68950
"48","41","      General merchandise stores","N4143C0",40816,42908,46486,48252,50318,53097,55150,58018,60648,63371,64667,65053,65555,67746,69179,69399
"49","42","      Other retail \2\","N4144C0",151986,163422,176469,178656,178874,181778,190033,197356,205747,212181,208670,196849,198924,203763,211870,216722
"50","43","    Transportation and warehousing","N4145C0",145689,154664,164605,167543,165197,166823,176685,183719,193947,204979,206918,192624,195742,207435,219751,227623
"51","44","      Air transportation","N4146C0",25926,28084,30584,32908,31136,29007,28903,27136,27271,29706,29206,27157,27877,29947,31003,33161
"52","45","      Rail transportation","N4147C0",12683,12702,12524,12215,11971,12265,12956,13721,14407,14894,15882,14569,14225,15462,17046,17706
"53","46","      Water transportation","N4148C0",2391,2466,2510,2787,2923,3004,3289,3621,3942,4539,4819,4613,4685,4941,5152,5285
"54","47","      Truck transportation","N4149C0",44326,46894,49339,49367,48810,49614,53095,56482,59932,61829,60732,54005,54754,58759,62630,64670
"55","48","      Transit and ground passenger transportation","N4150C0",7997,8588,8878,8986,9196,9389,10073,10433,11196,11820,12314,12390,12640,13401,13895,14102
"56","49","      Pipeline transportation","N4151C0",3097,3223,4245,4238,3279,3192,3178,3188,3598,4061,4067,4176,4484,4812,5699,5126
"57","50","      Other transportation and support activities \3\","N4152C0",35000,37600,40151,40294,40330,41671,44541,46804,49657,52280,53269,49878,50790,52790,55222,57055
"58","51","      Warehousing and storage","N4153C0",14268,15106,16375,16747,17551,18681,20651,22334,23945,25849,26629,25836,26288,27323,29103,30519
"59","52","    Information","N4154C0",160904,187310,213360,212269,192371,188286,194360,197596,206754,214349,214033,202209,204203,213840,224272,239196
"60","53","      Publishing industries (includes software)","N4155C0",51961,60421,66024,65381,59374,59379,59421,61440,65633,72186,72504,67595,68770,73352,77995,85204
"61","54","      Motion picture and sound recording industries","N4156C0",16491,16619,17668,19185,18338,18322,19852,20198,20827,21587,22434,21366,22821,23687,24953,24633
"62","55","      Broadcasting and telecommunications","N4157C0",72298,83824,93702,92155,85641,82707,85254,85000,87066,95267,93833,88511,86595,88254,89743,91007
"63","56","      Information and data processing services","N4158C0",20154,26447,35966,35548,29018,27878,29834,30958,33228,25309,25263,24738,26017,28547,31581,38352
"64","57","    Finance and insurance","N4159C0",293841,317099,348924,375078,371054,390588,422957,449396,490820,527062,517918,466229,486408,513465,537483,546717
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4160C0",103858,110448,113885,127160,134989,150246,156801,165736,176239,178240,167924,157268,159315,168091,180627,187781
"66","59","      Securities, commodity contracts, and investments","N4161C0",87591,99179,122383,129221,114176,110393,128029,139896,161363,190316,189461,152285,166253,172431,173645,172534
"67","60","      Insurance carriers and related activities","N4162C0",101598,106618,111720,117695,120915,128884,136850,142372,151716,157954,159983,156152,160404,172484,182846,185935
"68","61","      Funds, trusts, and other financial vehicles","N4163C0",794,855,937,1002,975,1065,1277,1391,1501,553,550,523,437,459,364,466
"69","62","    Real estate and rental and leasing","N4164C0",58357,62553,67865,70286,72314,75411,81343,87180,94513,97149,95220,87361,87927,92331,98779,103198
"70","63","      Real estate","N4165C0",40193,43233,46854,48863,51204,53990,58800,63578,69179,70583,69082,63726,64629,67697,72531,76501
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4166C0",18164,19321,21011,21423,21110,21420,22543,23602,25333,26566,26138,23635,23298,24633,26248,26697
"72","65","    Professional, scientific, and technical services","N4167C0",314858,351714,403668,412485,401536,409337,436278,472884,518843,563856,596281,573613,590692,626389,673614,692515
"73","66","      Legal services","N4168C0",55552,58960,64470,68959,72048,76111,79958,83414,87840,92743,95482,92560,92801,94876,97974,99135
"74","67","      Computer systems design and related services","N4169C0",67607,82161,100587,97944,86057,84665,90772,97937,109309,122079,130021,127538,136658,150460,169617,172951
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4170C0",191699,210593,238610,245583,243430,248562,265548,291533,321694,349034,370778,353515,361232,381053,406023,420429
"76","69","    Management of companies and enterprises \6\","N4171C0",104709,112013,120709,119825,120576,126006,140682,153419,164407,181996,184117,172971,186043,201304,221010,231330
"77","70","    Administrative and waste management services","N4172C0",155397,170121,189367,193035,196026,200550,217451,232934,248396,266107,266449,242414,255294,270885,288500,299269
"78","71","      Administrative and support services","N4173C0",143937,157855,176899,180000,182456,186451,202392,216954,231473,248513,248095,224625,236363,251206,268245,278710
"79","72","      Waste management and remediation services","N4174C0",11460,12267,12468,13035,13570,14099,15059,15981,16924,17594,18354,17788,18930,19679,20255,20559
"80","73","    Educational services","N4175C0",54627,58719,63722,68725,75039,79500,84467,88014,94080,100928,108312,113484,118374,123912,129123,132129
"81","74","    Health care and social assistance","N4176C0",368406,384755,410173,438510,469759,499280,531859,560724,598978,638255,678685,708402,730488,755835,788099,814967
"82","75","      Ambulatory health care services","N4177C0",166311,171723,183352,195121,208165,219353,235308,249608,266415,284082,301252,315015,329926,343806,361180,372765
"83","76","      Hospitals","N4178C0",124499,129517,136248,147871,159323,171905,183438,193939,207579,221011,236393,247882,250412,259529,270025,275642
"84","77","      Nursing and residential care facilities","N4179C0",48116,50668,54567,58343,62149,65009,67910,69973,73918,78454,82766,85280,87738,89892,91673,93898
"85","78","      Social assistance","N4180C0",29480,32847,36006,37175,40123,43014,45203,47204,51066,54708,58275,60225,62411,62607,65221,72661
"86","79","    Arts, entertainment, and recreation","N4181C0",39587,43394,47998,50672,52584,54850,57207,58791,62860,66323,69669,67150,68255,70154,73975,76322
"87","80","      Performing arts, spectator sports, museums, and related activities","N4182C0",18732,20857,23148,24495,25588,26922,28068,28687,31824,33789,35657,34819,35544,36561,38593,39765
"88","81","      Amusements, gambling, and recreation industries","N4183C0",20855,22537,24850,26176,26996,27928,29139,30104,31035,32534,34012,32331,32711,33593,35381,36557
"89","82","    Accommodation and food services","N4184C0",132524,141716,151785,157177,161900,168356,179158,188300,200884,212264,217424,209218,214484,226322,240050,249853
"90","83","      Accommodation","N4185C0",36877,39869,43199,43363,43047,43388,46468,48631,51125,54149,56628,51693,52544,55375,57576,59823
"91","84","      Food services and drinking places","N4186C0",95647,101846,108586,113814,118853,124967,132690,139669,149758,158115,160795,157525,161940,170947,182474,190029
"92","85","    Other services, except government","N4187C0",130827,136940,146812,150533,159865,167018,174660,178240,188124,197541,204239,199311,200053,206707,216287,223358
"93","86","  Government","A553RC0",701313,733766,779787,821998,873155,913309,952664,991511,1034969,1088846,1144106,1175146,1191091,1194756,1198255,1208105
"94","87","    Federal","A4177C0",178872,183516,194988,199584,217368,234828,249924,263484,271680,283272,296724,312216,328524,331668,327072,320556
"95","88","      General government","A4178C0",141924,145800,154248,159516,176856,194964,207756,221148,228324,239556,253836,271056,288324,291852,287856,282324
"96","89","        Civilian","B4179C0",87876,90276,96288,97152,106032,115188,123108,130296,133992,141108,148404,159444,174780,178236,176352,172368
"97","90","        Military \7\","B4180C0",54048,55524,57960,62364,70824,79776,84648,90852,94332,98448,105432,111612,113544,113616,111504,109956
"98","91","      Government enterprises","B4181C0",36948,37716,40740,40068,40512,39864,42168,42336,43356,43716,42888,41160,40200,39816,39216,38232
"99","92","    State and local","A4182C0",522441,550250,584799,622414,655787,678481,702740,728027,763289,805574,847382,862930,862567,863088,871183,887549
"100","93","      General government","A4183C0",486083,511975,543989,578328,608458,628629,650085,673829,706726,745486,783993,798727,798222,798120,806457,823046
"101","94","        Education","B4184C0",257914,272334,290446,307928,323806,335460,346372,359531,378264,398953,418769,426925,429249,429089,432697,441242
"102","95","        Other \8\","B4185C0",228169,239641,253543,270400,284652,293169,303713,314298,328462,346534,365223,371802,368973,369031,373760,381804
"103","96","      Government enterprises \8\","B4186C0",36358,38275,40810,44086,47329,49852,52655,54198,56563,60088,63389,64203,64345,64968,64726,64503
"104","97","Rest of the world","A4187C0",-4563,-7170,-6565,-7205,-7799,-8242,-9243,-11116,-11361,-10506,-11701,-8682,-8034,-8082,-8453,-8877
"105","98","  Receipts from the rest of the world","B4188C0",2437,4246,4395,4513,4570,4671,4734,4796,5069,5219,5364,5740,5931,6105,6354,6695
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,11416,10960,11718,12369,12913,13977,15912,16429,15725,17066,14422,13965,14186,14807,15572
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
