"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","A   Durable goods manufacturing industries","KS30D0",250837,254940,258712,261952,269251,274129,277299,279874,282041,282027,284333,288423,287107,290818,291655,295680,294589,290528,283797,277476,273084,270208,269182,270654,269580,265638,262174,264215,263093,263788,264346,265855,272552,274530,277301,279740,280211,281994,284737,286410,286275,283479,282922,286361,287123
"12","4","A     Wood product manufacturing","KS3210",8296,8343,8725,8805,8674,8754,8982,9276,9504,9536,9396,9810,9859,9855,9848,10099,9885,10092,10055,9725,10079,10044,10032,10054,10117,9878,9675,9924,10473,10454,10745,10622,11644,11401,11209,11409,11315,11780,11897,11570,11261,11008,10835,10691,10014
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9684,9881,9776,9736,9806,9785,9765,9787,9742,9719,9979,10121,10016,10078,10102,10271,10239,10142,10002,9801,9675,9658,9743,9866,10097,10214,10121,9605,9600,9548,9574,9735,9840,9859,9736,9668,9694,9800,10035,10148,10038,9867,9827,9850,9732
"14","6","A     Primary metal manufacturing","KS3310",19527,19498,19712,20205,20412,20944,21646,21812,21746,21915,21836,22273,22392,22606,22305,21863,21576,20896,20464,20047,19443,19271,19404,19686,19523,18560,17781,17316,16896,17233,17587,18435,19921,20323,20015,19749,19703,19480,20123,20360,19769,19174,18761,18124,17989
"15","7","A     Fabricated metal product manufacturing","KS3320",29668,30151,30231,30825,31020,31941,32016,32087,32079,32163,32529,33039,32864,33833,33773,33675,33734,33642,33385,32570,32385,32142,32368,32286,33599,32721,31935,31516,31007,30626,30955,31220,32047,32594,32656,32765,33148,33150,33107,33426,33618,32838,32568,32758,32056
"16","8","A     Machinery manufacturing","KS3330",35618,36531,36359,36794,37751,37640,38406,37962,38168,37941,37773,38416,38160,39086,39766,41063,41150,39919,38421,36873,36510,35495,35102,35212,34004,33332,32776,33347,33214,33085,32936,32939,33483,34233,35261,35088,35487,35852,36259,36710,36910,36853,37221,37472,37817
"17","9","A     Computer and electronic product manufacturing","KS3340",45170,47066,49423,50593,52111,52137,51794,51323,53143,54039,55126,56091,56550,60383,62263,67266,67976,66728,62824,60066,59273,57645,57632,57005,56290,55275,55598,58437,58525,60019,60365,60969,60988,61295,62311,64064,64198,64307,64200,63248,63379,62823,62598,63953,64901
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12722,13235,13374,13305,13530,13340,13529,13806,13695,13866,13912,13796,13680,13951,14256,14604,14665,14295,13881,13661,13528,13591,13511,13357,13212,13043,12801,12872,12597,12635,12774,12519,12604,12573,12625,12520,12713,12571,12544,12808,12750,12444,12399,12826,12798
"19","11","A     Transportation equipment manufacturing","KS3360",69327,69109,69791,69798,73739,77314,78756,81590,81266,79867,80637,81363,79729,76762,74594,72238,70600,70288,70291,70419,68119,67867,66831,68557,67416,67328,66457,66339,66230,66029,65298,64989,67067,66605,67303,68653,68227,69686,70435,71439,72077,72658,73055,75672,77692
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22857,22916,23447,22823,23643,23464,23037,23981,24737,24637,24606,25635,25497,25792,25880,25455,24656,24534,23808,22983,22856,23549,24005,24003,23909,23969,24114,24352,25121,25064,25129,24454,25454,25623,24897,24906,24815,24985,24842,25245,25092,24351,23956,23634,22859
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46424,46143,46284,46934,50059,53852,55739,57619,56535,55234,56036,55731,54232,50968,48717,46786,45944,45753,46479,47421,45257,44332,42854,44556,43513,43365,42359,42010,41154,41008,40212,40569,41652,41028,42443,43794,43459,44752,45656,46257,47056,48399,49202,52178,55034
"22","14","A     Furniture and related product manufacturing","KS3370",7101,7245,7192,7227,7297,7346,7356,7384,7500,7533,7523,7729,7864,8002,8085,7963,8093,7975,7846,7557,7500,7643,7743,7873,8056,8066,7819,7658,7552,7678,7720,7813,7811,7896,8029,8087,8146,8066,8032,7944,7815,7656,7557,7463,7313
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14237,14179,14114,14519,14808,14913,15112,14995,15243,15466,15627,15773,15952,16198,16603,16626,16666,16522,16575,16672,16530,16772,16774,16630,17096,16983,17086,17472,17414,17099,17001,17090,17121,17604,18214,18204,18030,17940,18449,18696,18862,18674,18797,18880,18595
"24","16","A   Nondurable goods manufacturing industries","KS30N0",163113,164779,166370,169003,169986,169843,169398,169352,170611,172725,174407,177841,178485,179770,179813,178466,177444,175546,175076,175332,176037,176049,177899,176279,176767,176888,176131,173262,174151,174957,174149,174180,176835,176002,174769,175941,178866,181164,181732,181049,179455,180155,180112,177847,180275
"25","17","A     Food manufacturing","KS3110",30950,31313,31492,31937,32140,32040,31899,32049,32517,32717,33182,33679,34550,34207,34119,34159,33871,33847,33517,33848,33951,34579,34577,34204,34214,33932,33658,33244,33169,32662,32612,32363,32221,32427,32585,32533,32818,32716,32724,33383,32697,32806,33151,32159,31657
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11352,11586,11921,12154,12382,12005,11835,12074,11836,11846,11478,11908,12037,12062,12119,11798,11984,11997,12287,12364,12535,12596,12668,12400,12138,12222,12087,11996,11983,12249,12591,12105,12041,12004,12022,12369,12166,11992,12175,12401,12465,12514,12287,12232,12331
"27","19","A     Textile mills","KS3130",6726,6722,6704,6684,6762,6757,6798,6813,6775,6824,6849,7001,6839,6772,6663,6578,6432,6382,6222,5961,5706,5577,5631,5683,5778,5860,5816,5678,5643,5590,5561,5500,5426,5420,5343,5418,5462,5370,5415,5261,5097,5052,5017,4983,4933
"28","20","A     Textile product mills","KS3140",3562,3690,3762,3801,3788,3685,3640,3581,3654,3792,3823,3924,4033,4212,4293,4341,4350,4315,4362,4509,4089,3940,3738,3425,3500,3482,3460,3553,3522,3521,3572,3512,3676,3614,3577,3667,3674,3726,3759,3699,3601,3577,3542,3504,3466
"29","21","A     Apparel manufacturing","KS3150",8082,8384,8522,8506,8491,8347,8397,8446,8439,8666,9000,9086,8925,8744,8687,8804,8569,8320,7738,7183,6828,6775,6976,7139,7360,7383,7274,7152,6915,6897,6987,6975,7100,7061,6998,6833,6885,6868,6646,6837,6852,6972,7031,7060,7120
"30","22","A     Leather and allied product manufacturing","KS3160",1551,1628,1623,1662,1698,1717,1713,1686,1647,1666,1682,1696,1682,1655,1643,1594,1588,1461,1476,1427,1322,1309,1317,1353,1255,1235,1223,1295,1266,1249,1227,1276,1296,1316,1330,1320,1275,1327,1390,1431,1430,1422,1406,1378,1369
"31","23","A     Paper manufacturing","KS3220",15999,15579,15794,16130,16132,16313,16177,15764,15966,16274,16810,16811,17112,17184,16941,16267,15810,15484,15580,16079,16503,16930,17204,17479,17151,17222,16994,16689,16356,16358,16545,16749,17084,17219,16816,16617,16850,16795,16838,16734,16586,16652,16778,16976,16662
"32","24","A     Printing and related support activities","KS3230",6418,6550,6483,6708,6452,6431,6578,6210,6354,6591,6678,6911,7025,6847,6790,6552,6483,6236,6190,6286,6182,6620,6529,6732,6719,6476,6454,6409,6274,6270,6375,6365,6416,6442,6382,6297,6322,6449,6478,6431,6474,6587,6722,7087,6754
"33","25","A     Petroleum and coal product manufacturing","KS3240",16148,16184,16468,16606,15831,15709,15386,15812,15426,14697,15239,15515,15351,15864,15489,15208,15488,15995,16298,16411,16253,15946,16123,15805,15957,16158,16411,15900,16654,17064,16583,16570,17619,16754,17071,17193,17531,18681,18268,17556,17164,17414,17399,17383,19016
"34","26","A     Chemical manufacturing","KS3250",46439,47010,47568,48642,49808,50070,49970,49797,50491,51707,51553,52948,52781,53745,54733,54802,54638,53884,53816,53646,53785,53478,54603,53953,54483,54432,54609,53413,54264,54857,53757,54447,54917,55130,54203,55060,56463,56842,57586,57507,57138,56921,56436,54978,55028
"35","27","A     Plastics and rubber product manufacturing","KS3260",16389,16596,16557,16698,16741,16971,17059,17422,17630,17767,18073,18357,18138,18455,18314,18358,18261,17745,17745,17766,19006,18364,18580,18189,18282,18552,18193,17997,17995,18074,18336,18233,18731,18584,18185,18302,18920,19210,19541,19317,19629,19866,20042,19938,19861
"36","28","A Merchant wholesale industries","KS42W0",236476,243631,247480,254081,260527,263076,270179,274423,278872,280366,285756,291968,296511,302011,304819,307035,307179,308021,304936,298639,295519,295938,298506,300485,300974,299233,299748,301795,303565,306021,312571,318863,323011,326389,327609,332301,334238,339358,344997,345165,344666,345845,349870,350373,350243
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",144620,150667,152528,156023,161417,162675,167288,170846,173656,175442,178158,182814,185770,191088,191864,192822,192772,188597,184458,178533,174956,174576,177325,178554,180005,178740,177242,180107,183410,187118,192719,196710,199666,202118,202342,207275,208140,212342,217125,216518,216359,214602,214743,215474,218670
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21534,22653,23001,22507,23695,21917,22195,22951,23384,23953,24855,25271,26030,26667,25699,25995,25700,25001,25166,24311,23793,24689,26010,27160,27611,27787,26664,28595,29896,29906,31378,30410,30319,32527,32116,33299,34257,34556,35001,34258,33978,33296,33978,35295,35170
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4766,4962,5065,5124,5091,5245,5296,5271,5303,5350,5361,5549,5686,5949,5880,5972,5993,5704,5644,5477,5335,5436,5629,5737,5873,5989,5904,6083,6256,6221,6262,6199,6227,6120,6275,6415,6206,6383,6420,6566,6648,6563,6557,6510,6615
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5269,5500,5604,5597,5548,5571,5526,5545,5575,5666,5774,5932,6128,6262,6186,6380,6240,5946,6293,6424,6290,6311,6584,6871,7061,7106,7297,8141,8590,9037,9405,9915,10487,9920,9430,10495,10508,10975,11253,10999,10683,10243,10220,10519,10197
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15410,17173,18156,19029,20707,20754,21082,20970,21875,22342,22835,24404,24403,24576,25365,25293,25247,24916,23986,23375,23503,24543,25052,25041,25989,25815,26459,26337,26665,27488,28311,29634,29781,30767,30936,31809,32547,33255,35131,36131,36996,37627,38028,38010,39953
"42","34","D       Computers and software wholesalers","KS42430",6871,8020,8725,9147,10326,10455,10504,10907,11227,11804,12018,13100,12319,12095,12817,12680,12898,12293,11885,11574,12209,12975,13196,12642,13878,14224,14383,15144,15276,16363,16729,18073,18475,18824,19725,20283,20797,20819,22654,23385,23719,24827,26012,25497,27845
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9381,9726,9826,10314,10597,10459,10793,10123,10742,10565,10845,11303,12114,12505,12565,12612,12377,12583,12075,11776,11435,11790,12077,12446,12433,12078,12497,11951,12132,12159,12589,12876,12779,13331,13022,13388,13677,14160,14678,15058,15510,15500,15317,15495,15912
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",13038,13300,13271,13319,13666,13783,14331,14737,14379,14640,14487,15029,15679,16026,16007,15375,15095,15055,14860,14484,14156,14060,14506,14215,13913,13760,13610,13987,14821,14908,15454,16283,16818,16794,16388,16296,16127,16960,17719,17747,17283,16945,16165,15958,16317
"45","37","D     Electrical goods wholesalers","KS42160",20528,20668,20644,20520,21220,21872,22223,22441,22559,22936,24037,25707,26044,26967,28034,29184,29308,28332,26427,24492,23344,22871,23537,23577,23347,23115,23052,23182,24329,25272,25419,25817,26202,26254,26576,26913,27260,27699,28988,29308,29308,29420,29524,30166,30716
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9378,9613,9667,9664,10066,10373,10388,10484,10556,10571,10548,10701,10919,11416,11428,11614,11391,11190,11273,11022,10864,10878,10980,10995,11412,11157,10982,10969,10926,11151,11549,11746,11669,11625,11562,12036,12489,12670,12772,12669,12641,12755,12936,12848,12555
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40679,42606,42082,44402,45163,46386,48198,50068,51037,51218,51450,51167,51377,52486,52645,51914,52464,52176,50753,48993,48053,46578,46342,46220,46168,45490,44907,44117,44064,45001,45800,47515,48316,48764,49751,50522,50746,52295,52852,52362,52822,52625,53175,53805,54739
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",15238,14956,15444,16125,16220,16774,18152,18623,19155,18885,18876,19057,19509,20740,20620,21098,21335,20274,20009,19950,19677,19426,18938,18996,19018,18933,18925,19229,18481,18873,19852,19798,20223,20185,20303,20702,19730,19149,18996,18844,18861,18432,18183,17012,17457
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92081,93053,95088,98242,99197,100513,102992,103620,105257,104922,107624,109154,110743,110922,112958,114213,114417,119291,120291,119882,120285,121055,120920,121661,120775,120281,122161,121473,120127,119057,120113,122409,123625,124577,125516,125480,126525,127555,128550,129252,128905,131462,134968,134793,132208
"50","42","D     Paper and paper products wholesalers","KS42210",7726,7803,8233,8266,8353,8319,8285,8417,8548,8605,8678,8463,8798,8723,8824,8942,8853,8786,8692,8520,8364,8518,8348,8300,8364,8300,8211,8424,8544,8652,8854,8900,8666,8963,9028,9158,8806,8765,8890,8968,8816,9079,9065,9023,9065
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14148,14456,15267,15568,16349,16054,16052,16528,17387,18830,19303,19706,20810,21528,22663,23951,24425,26974,29154,30373,30153,29751,29508,31198,32237,32188,32312,31257,31898,31481,31437,30714,30022,29428,29171,29624,29971,30670,30769,30176,29513,30184,30067,30443,30614
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11992,12384,12358,12860,12646,12769,12770,12873,12539,11848,11650,12084,12268,12222,12282,12049,12616,13143,12799,11938,11858,11916,12898,12506,12449,12501,11936,11806,11683,11270,11886,12069,12399,12852,12659,12364,12416,12546,13197,13751,13847,13952,14090,13695,14303
"53","45","D     Grocery and related products wholesalers","KS42240",16852,17043,16970,17816,17709,18213,18109,17795,18465,18289,19174,19800,19710,19307,20080,20249,19618,19442,19052,19048,19170,20554,20600,20710,20698,19892,20426,20078,20202,20159,19999,19986,20189,20209,20900,21329,21365,21687,22168,22741,23250,23847,23679,23677,23246
"54","46","D     Farm product raw material wholesalers","KS42250",9847,9839,10042,10736,10417,10762,12380,12645,12717,13005,14024,13588,13868,13724,14116,14209,13969,14791,14825,14558,14914,15010,14293,13752,12833,13127,13855,14811,14535,13373,12958,13425,14983,15342,15260,14867,14931,15621,15132,16443,15064,15864,18717,18297,16580
"55","47","D     Chemical and allied products wholesalers","KS42260",4731,4913,4923,4915,4821,4948,5259,5331,5373,5318,5332,5487,5488,5404,5195,5088,5048,5195,5305,5283,5363,5376,5520,5572,5343,5313,5238,5349,4836,4847,4941,5067,5296,5459,5318,5100,5261,5279,5072,5083,5303,5194,5165,5166,5096
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6291,6409,6391,6630,7001,7415,7928,7363,7461,6912,6540,5931,5581,5631,5420,5452,5533,5694,5817,6797,7168,6597,6452,6295,5321,6091,6216,6018,5559,5436,6026,6735,7206,6896,7250,6865,7268,6862,7012,6388,6637,6700,6466,6555,6117
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",4790,5015,5117,5456,5794,5675,5798,5660,6285,6058,5981,6012,6100,6040,6085,6249,6050,6185,6118,6044,6323,6255,6349,6528,6709,6649,6747,6740,6445,6831,6773,7086,7131,7138,7329,7433,7569,7613,7828,8030,8378,8568,8762,8759,8851
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16360,15884,16537,16599,16966,17261,17274,17561,17030,16393,17111,18066,18076,18307,18270,18007,18272,19028,18484,17455,17161,17112,17020,16885,17062,16393,17258,16871,16403,17213,17411,18351,17471,18211,18296,18736,18595,18605,18665,18272,18832,18736,19061,19274,20153
"59","51","A Retail trade industries","KS440",325441,330810,335557,340561,350400,353173,355715,357859,366348,369513,373670,385517,387559,396651,402422,407133,402859,404331,405660,396311,401564,408690,413359,420589,426475,428862,433713,436447,442603,449763,453980,458595,460861,457583,457229,462169,466895,469509,471451,472056,469000,469075,471464,466423,461796
"60","52","A   Motor vehicle and parts dealers","KS4410",100539,101653,103460,106600,110379,110304,109359,108868,114186,114292,116219,121928,122981,129069,133067,134232,128961,131338,133080,125404,130881,135897,136906,143825,148572,152500,154563,156477,160213,163991,165892,164221,163836,158627,157909,161478,163388,164293,163144,161123,157443,156491,159158,152500,149917
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19623,19936,20096,20291,20901,21150,21684,22218,22560,23239,23755,24336,24927,25720,25590,26437,26428,25804,25464,25844,26820,27158,27865,27619,27583,28037,28449,29230,29860,30457,31285,32708,32209,33096,32910,33650,34201,34687,34714,34516,35025,35128,35775,36010,35428
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32690,33182,33800,34030,34795,34864,35642,36369,36896,37197,37591,38660,38880,39751,40309,40040,40084,40174,40102,40016,40735,40550,40959,41493,41753,41552,42654,42631,43041,43675,43567,44690,45012,45010,45750,46706,47280,47496,47891,46928,46669,47347,46789,47273,47512
"63","55","A   Food and beverage stores","KS4450",28530,28540,29014,28819,29394,29889,29891,30065,30507,30727,31430,31910,31962,31537,31721,31757,32143,32317,32201,32485,32181,32266,32603,32645,32681,32242,32588,31681,31752,31964,32088,32051,32041,32020,31552,31896,32355,32648,32730,32640,32440,32725,33140,33345,33431
"64","56","A   Clothing and clothing accessories stores","KS4480",25941,26806,27219,27573,28022,28507,29029,28723,29277,29703,28989,29996,30037,30606,31420,32527,32398,32227,32262,31460,30809,31612,32501,33056,33712,33238,33305,33478,33689,34605,35153,35949,37075,37492,37663,37334,37981,38670,38879,40244,39987,39243,38978,38788,37773
"65","57","A   General merchandise stores","KS4520",58151,58954,58649,59047,59534,59652,60324,59921,60449,60683,61289,62618,62794,63295,63038,63682,65236,65315,64851,63551,62689,62815,63833,64771,64563,64549,65092,65609,66905,67779,68062,69829,71461,71504,71995,71854,71009,70541,72235,73674,74128,74114,73524,73268,72574
"66","58","D     Department stores","KS45210",41861,42353,41991,42469,42527,42353,42559,41766,41923,41805,41805,42422,42098,42110,41552,41797,42183,41838,41485,39701,38447,37995,38017,38144,37602,37324,37019,36447,36792,36899,36650,37072,38164,37239,37249,37056,35890,35285,36105,36946,36880,37070,36921,36440,36040
"67","59","D     Other general merchandise stores","KS45290",16262,16575,16634,16550,16984,17280,17750,18145,18519,18873,19482,20196,20698,21187,21488,21885,23050,23471,23360,23830,24211,24780,25765,26568,26895,27153,27986,29051,29990,30742,31259,32583,33129,34057,34527,34576,34866,34989,35855,36452,36953,36763,36333,36535,36239
"68","60","A   Other retail stores","KS44X0",59954,61718,63334,64235,67428,68853,69778,71703,72480,73665,74393,76055,75956,76654,77256,78444,77608,77128,77664,77518,77489,78485,78802,77397,77927,77232,77592,78063,78027,78316,79075,80186,80167,80546,80113,80081,81490,81999,82528,83433,83618,84149,84536,84978,84615
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
