"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"13","6","    Primary metal manufacturing","KS3310",30930,33027,33422,32597,29550,29782,27247,30415,32246,33697,33831,32391,25797,27732,30572,31266,31323,34384
"14","7","    Fabricated metal product manufacturing","KS3320",41715,42899,43891,44965,43330,43739,42913,42778,45364,47195,48045,47476,43044,43576,46065,46834,47887,49987
"15","8","    Machinery manufacturing","KS3330",46831,48284,48404,51617,46130,46074,43790,43724,46659,49662,50487,50616,45904,48103,53177,56955,56286,57327
"16","9","    Computer and electronic product manufacturing","KS3340",41287,41605,44827,53652,47220,43937,45530,47710,50602,50867,52114,55879,55541,56822,59444,60253,62027,63062
"17","10","    Electrical equipment, appliance, and component manufacturing","KS3350",17796,18349,18309,19400,18103,17843,17260,16873,16891,17674,18439,18301,16381,16544,17102,17515,17578,17556
"18","11","    Transportation equipment manufacturing","KS3360",83041,96177,95518,84309,82337,81326,78968,77120,81747,85834,94873,90248,89044,97834,104042,112078,120263,129817
"19","12","      Motor vehicle and parts manufacturing","KS3MV0",27048,27783,29611,29330,26343,27744,28434,28540,29334,29961,28968,25495,23457,25200,26909,27800,27016,29004
"20","13","      Other transportation equipment manufacturing","KS3OT0",55803,68259,65762,54853,55869,53466,50453,48516,52339,55790,65861,64755,65589,72637,77134,84300,93289,100858
"21","14","    Furniture and related product manufacturing","KS3370",8561,8686,9075,9393,8886,9386,8951,9231,9578,9601,9470,8773,7904,7869,7662,7739,7474,7702
"22","15","    Miscellaneous durable goods manufacturing","KS3390",17431,17950,18752,19911,19794,19869,20818,20675,22213,23067,23391,23982,23952,25404,25393,24932,25332,26322
"23","16","  Nondurable goods manufacturing industries","KS30N0",235408,234558,245537,246530,241198,244550,241401,243557,248383,254664,259589,247124,244921,250427,252218,249635,246569,243983
"24","17","    Food manufacturing","KS3110",44505,44041,45878,46546,45942,47180,46317,45291,46875,47122,46567,46891,48457,48000,47598,46950,45172,45285
"25","18","    Beverage and tobacco product manufacturing","KS3120",14629,14592,14367,14326,15024,15116,14882,14782,15196,15221,14851,14682,15881,15701,15992,16667,16947,17757
"26","19","    Textile mills","KS3130",7297,7368,7564,7072,6601,6353,6202,6135,6067,5913,5760,5388,4743,4867,4815,4673,4738,4816
"27","20","    Textile product mills","KS3140",3978,3753,4106,4546,4735,3719,3854,3848,4058,4078,3988,3883,3299,3605,3452,3445,3488,3444
"28","21","    Apparel manufacturing","KS3150",10766,10761,11534,11142,9020,9114,9132,8851,8696,8701,8502,8183,7768,7736,7772,7934,8266,8909
"29","22","    Leather and allied product manufacturing","KS3160",2057,2068,2072,1949,1759,1624,1567,1562,1620,1755,1719,1720,1642,1696,1771,1865,1799,1820
"30","23","    Paper manufacturing","KS3220",19647,19042,20196,19477,19408,20883,20033,20129,20099,20167,20259,19600,18446,18377,18402,17959,17507,17835
"31","24","    Printing and related support activities","KS3230",7396,6783,7488,7126,6812,7292,6942,6973,6944,7055,7544,6793,6265,6314,6107,6041,6152,6538
"32","25","    Petroleum and coal product manufacturing","KS3240",30428,29027,29168,29079,30581,29453,29426,30538,31669,32771,36243,32576,36214,36147,36835,36493,35715,30599
"33","26","    Chemical manufacturing","KS3250",73166,74617,78893,81360,79001,80437,80139,82573,84053,87563,88637,83550,80166,85284,86119,84330,83798,85195
"34","27","    Plastics and rubber product manufacturing","KS3260",21597,22338,23520,23512,22673,23337,23079,23451,23715,24940,25391,23889,22071,22985,23488,23495,23516,22943
"35","28","Merchant wholesale industries","KS42W0",310605,334574,354828,372950,363084,364202,366551,388568,410387,428261,438204,444086,397987,418633,431127,447818,470002,502902
"36","29","  Durable goods merchant wholesale industries","KS42WD0",176975,193720,207820,219656,204252,201803,204796,225111,242428,257469,260148,266655,222156,235031,252196,268880,283957,305857
"37","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",22711,23514,26378,27701,26505,28683,30200,32090,35949,37687,38989,42934,33573,36062,42039,42573,44156,48993
"38","31","    Furniture and home furnishings wholesalers","KS42120",6169,6547,6974,7647,7135,7570,7999,8324,8808,9225,9171,8405,6505,7112,6847,6954,7377,7661
"39","32","    Lumber and other construction materials wholesalers","KS42130",6939,6767,7233,7774,7706,8019,9355,11374,12051,12313,11503,10361,8171,8502,8608,9236,9831,10291
"40","33","    Professional and commercial equipment wholesalers","KS42140",11646,13024,15089,15648,14711,14262,14875,16793,18540,21782,23589,24610,22751,25804,27800,30889,33633,37582
"41","34","      Computers and software wholesalers","KS42430",2892,3593,4394,4377,4190,4278,5003,5825,6692,7952,8668,9497,10183,12611,13868,15674,17839,20694
"42","35","      Other professional and commercial equipment wholesalers","KS424X0",11480,10943,11724,12790,11805,10916,10221,11201,11929,13886,14967,15107,12562,13252,14030,15372,16128,17435
"43","36","    Metal and mineral (except petroleum) wholesalers","KS42150",22324,24320,24405,24676,22980,22949,22412,26325,26968,29393,27961,29390,22413,23399,24686,26892,26860,29718
"44","37","    Electrical goods wholesalers","KS42160",19697,21668,24756,28399,24065,23083,23296,26383,28745,31792,34379,35552,30286,33117,34903,36680,37790,39795
"45","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",12548,13591,13786,14912,13941,14298,14935,16561,17961,19336,19782,17970,15672,16133,16956,17217,17234,19151
"46","39","    Machinery, equipment, and supplies wholesalers","KS42180",57053,64241,66625,67950,64952,61570,58718,63053,67723,71105,72377,73267,62941,65922,71477,78907,86307,92302
"47","40","    Miscellaneous durable goods wholesalers","KS42190",22088,24562,24593,26476,23956,22847,23778,24910,26116,24857,22649,24248,19926,19448,19757,20490,22014,21984
"48","41","  Nondurable goods merchant wholesale industries","KS42WN0",134626,141025,146569,152577,159872,163934,163104,164030,168129,170692,177957,177392,175792,183637,180146,181221,188694,200228
"49","42","    Paper and paper products wholesalers","KS42210",9936,9966,9734,10037,9261,9368,9434,10150,10594,10294,10396,10171,9571,9597,9554,9764,9802,9860
"50","43","    Drugs and druggists' sundries wholesalers","KS42220",20322,21795,26260,32243,41393,42492,42192,41348,38954,39459,40303,39710,39286,40571,41837,40674,45107,51102
"51","44","    Apparel, piece goods, and notions wholesalers","KS42230",13125,13415,12740,12859,12830,13968,13699,14514,15957,16044,16393,16946,13872,16569,16999,16647,17873,19060
"52","45","    Grocery and related products wholesalers","KS42240",22591,22338,23867,23754,21733,23556,21970,21598,23358,24602,25725,26762,25589,26774,28055,28666,29650,30113
"53","46","    Farm product raw material wholesalers","KS42250",18844,20845,22581,23226,23471,22109,24186,20566,22892,23180,24984,23155,26646,29940,24357,24368,26382,28101
"54","47","    Chemical and allied products wholesalers","KS42260",7769,8574,8989,8534,9050,9292,9054,8786,8908,8783,9220,9442,8025,8703,9196,9794,10319,10264
"55","48","    Petroleum and petroleum products wholesalers","KS42270",12557,14544,11561,10822,14264,12534,12116,13607,13793,14281,14762,14212,18174,16704,15735,15909,14878,15921
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",6689,6907,7257,7407,7108,7640,7881,8295,8859,9602,10714,11705,10738,11053,11683,12518,12955,13787
"57","50","    Miscellaneous nondurable goods wholesalers","KS42290",23561,24654,24224,23775,22218,22883,22622,24786,24630,24126,25073,25191,23793,24207,25217,25350,24913,25792
"58","51","Retail trade industries","KS440",370399,386621,414082,435858,424564,452278,471420,496592,501752,511518,518079,487931,438217,456639,455538,481145,509517,520699
"59","52","  Motor vehicle and parts dealers","KS4410",104186,106012,118360,130059,120889,138069,150985,158536,155626,154942,157853,145610,112679,124368,125540,146693,164262,168644
"60","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",14929,16087,17515,19050,18904,20664,22487,25751,27009,28094,29343,25704,23967,26307,25574,27001,27343,28265
"61","54","  Building material and garden equipment and supplies dealers","KS4440",42530,44993,47460,48917,48950,51149,52160,54600,56680,56597,57348,52158,49618,49789,49384,50471,51859,52806
"62","55","  Food and beverage stores","KS4450",37393,38654,40670,39940,40459,41533,40082,40439,40186,41180,42388,41943,41611,41944,41801,41946,43069,43642
"63","56","  Clothing and clothing accessories stores","KS4480",30910,32367,33933,37246,35965,38228,38927,41720,43115,46595,45408,43153,38237,38592,37220,37408,38447,39982
"64","57","  General merchandise stores","KS4520",67403,67818,70889,72066,72242,74550,75981,80905,83993,85074,84827,80756,77886,80074,81004,80954,83808,83808
"65","58","    Department stores","KS45210",46504,45448,46142,45455,43403,41928,40407,41147,41794,40685,39751,36290,34114,35883,34378,26140,26430,25093
"66","59","    Other general merchandise stores","KS45290",19852,21457,23921,25892,28283,32261,35355,39619,42096,44353,45062,44463,43769,44199,46609,54634,57170,58448
"67","60","  Other retail stores","KS44X0",76848,85084,88804,90650,90294,89514,90896,94262,95040,99107,100920,98631,94243,95638,95093,97051,101199,104116
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in inventories for 2009 equals the current-dollar change in inventories for 2009 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","average of the 2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Chained (2009) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","index and the 2009 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
