"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Personal consumption expenditures (PCE)","DPCERC1","306,702.0","310,162.0","313,302.0","312,775.0","316,698.0","318,753.0","318,342.0","320,714.0","324,779.0","323,347.0","323,417.0","323,433.0","324,170.0","325,909.0","330,729.0","337,071.0","330,639.0","330,704.0","331,983.0","332,240.0","334,034.0","336,046.0","336,024.0","331,972.0","332,851.0","334,400.0","338,355.0","338,335.0","340,572.0","341,570.0","341,277.0","342,790.0","345,093.0","347,222.0","350,610.0","353,141.0","353,933.0","354,736.0","358,145.0","359,793.0","362,761.0","361,167.0","362,134.0","363,659.0","369,536.0","367,335.0","372,459.0","374,366.0","375,112.0","374,075.0","375,669.0","377,012.0","377,871.0","382,351.0","385,079.0","386,961.0","386,166.0","386,698.0","390,128.0","395,399.0","397,545.0","400,951.0","402,609.0","403,630.0","409,244.0","412,174.0","415,737.0","418,570.0","417,456.0","420,448.0","417,204.0","421,842.0","425,266.0","432,216.0","434,114.0","437,881.0","438,450.0","436,071.0","441,865.0","445,211.0","452,850.0","459,330.0","459,914.0","462,545.0","466,043.0","471,119.0","475,947.0","477,880.0","474,044.0","476,491.0","481,548.0","484,151.0","490,172.0","489,305.0","491,085.0","492,899.0","495,287.0","494,049.0","496,899.0","502,412.0","503,337.0","507,905.0","507,798.0","510,914.0","516,722.0","513,316.0","518,506.0","526,233.0","531,985.0","534,662.0","545,383.0","545,089.0","550,896.0","557,392.0","564,319.0","568,194.0","569,411.0","572,867.0","578,006.0","577,847.0","584,873.0","590,118.0","590,333.0","595,335.0","601,742.0","602,344.0","604,185.0","611,435.0","614,751.0","620,050.0","622,019.0","624,310.0"
"21","2","Goods","DGDSRC1","167,411.0","169,596.0","172,162.0","170,680.0","173,326.0","173,845.0","172,707.0","174,065.0","176,799.0","174,543.0","173,678.0","172,472.0","172,841.0","174,113.0","178,226.0","183,211.0","176,004.0","175,972.0","177,041.0","177,191.0","178,276.0","179,281.0","178,164.0","173,863.0","173,918.0","175,209.0","177,797.0","176,630.0","177,750.0","178,313.0","178,043.0","179,206.0","180,278.0","180,935.0","183,022.0","184,593.0","184,687.0","184,768.0","187,148.0","187,405.0","189,019.0","186,951.0","187,343.0","188,221.0","193,015.0","190,011.0","193,759.0","195,299.0","195,821.0","194,273.0","195,047.0","195,351.0","195,830.0","198,873.0","200,155.0","200,558.0","198,891.0","198,120.0","200,579.0","204,356.0","205,136.0","207,387.0","207,415.0","207,572.0","211,951.0","213,273.0","215,957.0","217,679.0","215,127.0","217,085.0","212,527.0","215,919.0","218,314.0","224,327.0","225,386.0","227,338.0","226,476.0","222,944.0","227,314.0","229,413.0","235,580.0","240,119.0","238,854.0","240,040.0","242,745.0","246,629.0","249,844.0","250,152.0","244,845.0","245,878.0","249,270.0","251,360.0","255,650.0","253,353.0","252,958.0","252,748.0","253,944.0","252,548.0","253,938.0","257,910.0","257,524.0","260,078.0","258,127.0","259,424.0","263,875.0","259,263.0","262,876.0","268,380.0","271,025.0","272,428.0","279,729.0","277,189.0","281,285.0","284,085.0","289,499.0","291,363.0","290,297.0","291,647.0","294,493.0","292,359.0","297,412.0","300,043.0","299,078.0","301,210.0","304,014.0","302,767.0","303,248.0","307,992.0","308,609.0","310,629.0","309,974.0","311,160.0"
"22","3","  Durable goods","DDURRC1","42,295.0","44,207.0","44,445.0","45,065.0","45,359.0","45,971.0","45,408.0","46,189.0","47,410.0","44,791.0","44,712.0","42,807.0","43,229.0","45,748.0","47,389.0","49,116.0","45,730.0","44,457.0","44,854.0","45,765.0","47,149.0","46,679.0","45,057.0","42,333.0","41,606.0","41,919.0","43,195.0","42,733.0","43,457.0","43,770.0","44,146.0","44,597.0","44,996.0","45,623.0","46,700.0","47,726.0","47,525.0","47,378.0","48,204.0","48,430.0","49,568.0","49,142.0","49,161.0","49,001.0","50,538.0","49,029.0","52,087.0","53,523.0","53,063.0","52,407.0","52,298.0","53,213.0","53,450.0","54,981.0","55,459.0","54,064.0","54,580.0","54,170.0","55,612.0","57,435.0","57,938.0","58,442.0","57,605.0","58,152.0","59,664.0","60,613.0","61,643.0","62,144.0","60,346.0","61,245.0","58,910.0","57,976.0","61,015.0","65,375.0","68,356.0","67,331.0","65,143.0","61,981.0","63,500.0","66,000.0","70,600.0","69,486.0","69,087.0","68,806.0","70,212.0","72,286.0","74,438.0","72,469.0","68,688.0","68,005.0","69,566.0","72,268.0","75,136.0","73,377.0","72,259.0","72,241.0","72,459.0","69,850.0","70,995.0","74,319.0","73,966.0","75,165.0","74,425.0","73,646.0","76,026.0","74,114.0","75,126.0","77,684.0","79,728.0","79,472.0","83,377.0","81,427.0","84,017.0","83,808.0","86,932.0","87,631.0","88,070.0","88,124.0","87,465.0","87,888.0","90,129.0","90,765.0","89,138.0","90,405.0","90,464.0","90,475.0","88,638.0","90,658.0","92,589.0","91,438.0","90,662.0","90,433.0"
"23","4","  Nondurable goods","DNDGRC1","125,117.0","125,389.0","127,717.0","125,615.0","127,967.0","127,874.0","127,299.0","127,876.0","129,389.0","129,751.0","128,967.0","129,665.0","129,612.0","128,366.0","130,837.0","134,095.0","130,274.0","131,515.0","132,187.0","131,426.0","131,127.0","132,602.0","133,108.0","131,530.0","132,311.0","133,290.0","134,601.0","133,897.0","134,294.0","134,543.0","133,897.0","134,609.0","135,282.0","135,312.0","136,322.0","136,867.0","137,162.0","137,390.0","138,944.0","138,975.0","139,452.0","137,809.0","138,182.0","139,221.0","142,477.0","140,982.0","141,672.0","141,776.0","142,758.0","141,867.0","142,749.0","142,137.0","142,381.0","143,892.0","144,695.0","146,493.0","144,311.0","143,950.0","144,966.0","146,921.0","147,198.0","148,945.0","149,810.0","149,420.0","152,287.0","152,660.0","154,315.0","155,536.0","154,781.0","155,840.0","153,617.0","157,944.0","157,299.0","158,952.0","157,031.0","160,007.0","161,333.0","160,963.0","163,814.0","163,413.0","164,979.0","170,633.0","169,767.0","171,234.0","172,533.0","174,344.0","175,406.0","177,683.0","176,157.0","177,874.0","179,704.0","179,092.0","180,514.0","179,977.0","180,699.0","180,507.0","181,485.0","182,698.0","182,943.0","183,591.0","183,559.0","184,913.0","183,703.0","185,779.0","187,849.0","185,148.0","187,750.0","190,695.0","191,297.0","192,956.0","196,352.0","195,762.0","197,269.0","200,277.0","202,566.0","203,732.0","202,226.0","203,524.0","207,028.0","204,470.0","207,283.0","209,279.0","209,940.0","210,805.0","213,551.0","212,292.0","214,609.0","217,334.0","216,019.0","219,191.0","219,312.0","220,728.0"
"24","5","Services","DSERRC1","139,290.0","140,566.0","141,139.0","142,095.0","143,372.0","144,908.0","145,634.0","146,649.0","147,981.0","148,805.0","149,739.0","150,960.0","151,329.0","151,795.0","152,503.0","153,860.0","154,636.0","154,732.0","154,942.0","155,049.0","155,759.0","156,764.0","157,859.0","158,109.0","158,934.0","159,190.0","160,558.0","161,705.0","162,822.0","163,257.0","163,234.0","163,584.0","164,814.0","166,287.0","167,588.0","168,548.0","169,246.0","169,968.0","170,997.0","172,388.0","173,742.0","174,216.0","174,791.0","175,438.0","176,520.0","177,324.0","178,700.0","179,067.0","179,291.0","179,802.0","180,622.0","181,661.0","182,040.0","183,478.0","184,924.0","186,403.0","187,275.0","188,577.0","189,549.0","191,043.0","192,409.0","193,564.0","195,194.0","196,058.0","197,293.0","198,902.0","199,780.0","200,890.0","202,329.0","203,363.0","204,677.0","205,923.0","206,951.0","207,889.0","208,727.0","210,544.0","211,974.0","213,127.0","214,551.0","215,798.0","217,270.0","219,211.0","221,060.0","222,505.0","223,298.0","224,490.0","226,103.0","227,728.0","229,199.0","230,612.0","232,277.0","232,792.0","234,522.0","235,952.0","238,127.0","240,152.0","241,342.0","241,501.0","242,961.0","244,502.0","245,812.0","247,827.0","249,671.0","251,490.0","252,847.0","254,053.0","255,630.0","257,853.0","260,959.0","262,234.0","265,654.0","267,900.0","269,611.0","273,307.0","274,820.0","276,831.0","279,114.0","281,220.0","283,513.0","285,488.0","287,461.0","290,075.0","291,255.0","294,125.0","297,728.0","299,577.0","300,937.0","303,443.0","306,143.0","309,420.0","312,045.0","313,150.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
