"","Table 5#8#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"39","19","    Nondurable goods industries","N242RX1",".....",".....",".....","888,561.0","893,460.0","907,129.0","918,709.0","929,236.0","940,884.0","946,870.0","954,509.0","962,769.0","971,774.0","980,171.0","985,301.0","994,352.0","995,036.0","1,005,331.0","1,013,246.0","1,019,098.0","1,023,144.0","1,027,667.0","1,028,743.0","1,027,093.0","1,023,517.0","1,025,115.0","1,028,857.0","1,028,329.0","1,029,014.0","1,028,049.0","1,032,323.0","1,033,977.0","1,038,262.0","1,044,980.0","1,052,232.0","1,062,545.0","1,072,376.0","1,075,014.0","1,074,178.0","1,081,600.0","1,094,520.0","1,104,070.0","1,111,047.0","1,117,559.0","1,118,083.0","1,129,398.0","1,138,273.0","1,137,029.0","1,136,633.0","1,140,741.0","1,137,677.0","1,127,373.0","1,126,350.0","1,115,211.0","1,097,271.0","1,096,803.0","1,093,847.0","1,097,462.0","1,110,516.0","1,117,854.0","1,112,754.0","1,112,825.0","1,101,944.0","1,111,331.0","1,118,259.0","1,117,268.0","1,119,740.0","1,113,623.0","1,119,157.0","1,126,316.0","1,140,735.0","1,152,816.0"
"40","20","  Nonfarm industries","A373RX1",".....",".....",".....","1,345,866.0","1,360,688.0","1,386,728.0","1,404,503.0","1,426,317.0","1,456,600.0","1,469,441.0","1,485,409.0","1,502,689.0","1,527,055.0","1,537,963.0","1,553,105.0","1,580,368.0","1,590,621.0","1,615,979.0","1,633,410.0","1,647,496.0","1,636,631.0","1,634,217.0","1,624,708.0","1,601,659.0","1,600,146.0","1,609,095.0","1,617,960.0","1,627,148.0","1,635,407.0","1,635,575.0","1,637,416.0","1,649,574.0","1,662,261.0","1,678,747.0","1,694,445.0","1,712,020.0","1,740,980.0","1,749,012.0","1,752,744.0","1,775,883.0","1,795,114.0","1,817,803.0","1,839,718.0","1,851,262.0","1,855,361.0","1,868,669.0","1,881,745.0","1,887,776.0","1,884,025.0","1,876,823.0","1,870,400.0","1,852,809.0","1,816,771.0","1,769,455.0","1,719,051.0","1,706,843.0","1,710,070.0","1,723,730.0","1,755,427.0","1,772,703.0","1,779,884.0","1,792,652.0","1,790,995.0","1,812,362.0","1,835,486.0","1,851,661.0","1,875,979.0","1,881,055.0","1,886,605.0","1,894,769.0","1,917,077.0","1,940,760.0"
"41","21","  Wholesale trade","N379RX1",".....",".....",".....","333,656.0","339,619.0","349,620.0","354,580.0","363,646.0","372,980.0","377,080.0","385,553.0","390,148.0","396,947.0","399,395.0","405,954.0","413,734.0","418,739.0","426,194.0","430,392.0","436,863.0","435,078.0","433,159.0","426,097.0","421,621.0","419,491.0","421,217.0","422,589.0","421,985.0","420,314.0","419,034.0","419,102.0","423,876.0","427,852.0","432,898.0","441,524.0","448,114.0","460,067.0","466,565.0","469,983.0","479,011.0","484,881.0","492,647.0","500,494.0","502,840.0","506,077.0","510,044.0","515,685.0","518,713.0","522,474.0","530,316.0","534,339.0","536,969.0","519,277.0","497,158.0","476,929.0","475,077.0","476,515.0","480,392.0","494,124.0","499,866.0","501,487.0","510,535.0","510,120.0","519,818.0","525,255.0","528,513.0","536,484.0","538,915.0","541,335.0","542,010.0","549,151.0","560,497.0"
"42","22","    Merchant wholesale trade","N802RX1",".....",".....",".....","283,720.0","289,364.0","298,501.0","303,097.0","310,605.0","318,804.0","322,800.0","330,720.0","334,574.0","340,735.0","342,100.0","347,674.0","354,828.0","358,794.0","364,642.0","367,375.0","372,950.0","372,015.0","371,247.0","366,591.0","363,084.0","362,188.0","363,220.0","364,379.0","364,202.0","363,277.0","362,247.0","362,436.0","366,551.0","370,238.0","374,410.0","381,836.0","388,568.0","396,552.0","401,511.0","404,428.0","410,387.0","414,275.0","421,237.0","427,454.0","428,261.0","430,026.0","432,420.0","435,923.0","438,204.0","436,021.0","439,718.0","443,933.0","444,086.0","431,296.0","413,634.0","397,564.0","397,987.0","398,003.0","401,110.0","413,346.0","418,633.0","418,223.0","424,537.0","422,054.0","430,036.0","434,792.0","437,967.0","444,041.0","447,334.0","450,908.0","450,368.0","457,733.0","469,417.0"
"43","23","      Durable goods industries","N803RX1",".....",".....",".....","160,674.0","164,544.0","171,026.0","173,106.0","176,975.0","183,014.0","185,418.0","190,884.0","193,720.0","197,758.0","200,168.0","202,799.0","207,820.0","210,279.0","215,591.0","216,974.0","219,656.0","218,592.0","213,225.0","208,630.0","204,252.0","202,165.0","202,122.0","203,744.0","201,803.0","203,464.0","203,345.0","202,210.0","204,796.0","209,103.0","214,231.0","220,809.0","225,111.0","230,776.0","235,458.0","237,121.0","242,428.0","244,953.0","250,988.0","255,768.0","257,469.0","259,463.0","258,364.0","258,146.0","260,148.0","262,013.0","262,662.0","267,933.0","266,655.0","252,464.0","238,906.0","227,637.0","222,156.0","224,132.0","224,927.0","230,439.0","235,031.0","237,940.0","244,531.0","248,747.0","252,968.0","257,978.0","263,221.0","267,694.0","271,177.0","275,160.0","276,248.0","281,034.0","286,572.0"
"44","24","      Nondurable goods industries","N804RX1",".....",".....",".....","124,266.0","125,851.0","128,139.0","130,838.0","134,626.0","136,407.0","137,978.0","140,178.0","141,025.0","143,023.0","141,540.0","144,646.0","146,569.0","148,046.0","148,174.0","149,572.0","152,577.0","152,812.0","158,281.0","158,568.0","159,872.0","161,346.0","162,532.0","161,926.0","163,934.0","161,074.0","160,108.0","161,585.0","163,104.0","162,276.0","161,054.0","161,653.0","164,030.0","166,241.0","166,345.0","167,600.0","168,129.0","169,491.0","170,284.0","171,653.0","170,692.0","170,384.0","173,946.0","177,696.0","177,957.0","174,060.0","176,961.0","176,045.0","177,392.0","178,863.0","174,757.0","169,944.0","175,792.0","173,868.0","176,157.0","182,828.0","183,637.0","180,638.0","180,729.0","174,758.0","178,439.0","178,506.0","176,919.0","178,678.0","178,756.0","178,656.0","177,254.0","179,926.0","185,928.0"
"45","25","    Nonmerchant wholesale trade","N805RX1",".....",".....",".....","50,470.0","50,791.0","51,659.0","52,022.0","53,597.0","54,741.0","54,828.0","55,362.0","56,116.0","56,743.0","57,863.0","58,857.0","59,480.0","60,532.0","62,156.0","63,632.0","64,540.0","63,674.0","62,497.0","60,036.0","59,040.0","57,755.0","58,475.0","58,692.0","58,251.0","57,490.0","57,234.0","57,108.0","57,771.0","58,054.0","58,936.0","60,143.0","60,005.0","63,966.0","65,502.0","66,005.0","68,998.0","70,937.0","71,764.0","73,381.0","74,891.0","76,332.0","77,870.0","79,966.0","80,693.0","86,402.0","90,416.0","90,361.0","92,912.0","87,969.0","83,497.0","79,342.0","77,119.0","78,493.0","79,260.0","80,781.0","81,257.0","83,184.0","85,833.0","87,754.0","89,461.0","90,159.0","90,272.0","92,134.0","91,348.0","90,281.0","91,437.0","91,295.0","91,108.0"
"46","26","    Final sales of domestic business \2\","A809RX1",".....",".....",".....","582,242.0","587,404.0","591,709.0","603,789.0","607,202.0","612,317.0","624,265.0","632,323.0","645,463.0","651,139.0","661,346.0","670,412.0","679,398.0","688,977.0","696,411.0","700,092.0","703,458.0","705,691.0","706,418.0","703,189.0","708,649.0","708,443.0","709,682.0","712,268.0","710,923.0","715,795.0","725,162.0","742,642.0","749,568.0","754,105.0","758,690.0","767,203.0","775,331.0","782,753.0","794,030.0","801,700.0","802,046.0","815,545.0","818,375.0","818,503.0","830,086.0","833,138.0","838,574.0","844,904.0","850,648.0","843,836.0","849,350.0","838,480.0","814,281.0","803,012.0","801,072.0","804,092.0","801,399.0","802,107.0","809,800.0","812,533.0","827,884.0","829,495.0","836,373.0","844,855.0","852,739.0","862,561.0","869,072.0","873,429.0","883,844.0","885,432.0","892,465.0","900,776.0","910,443.0"
"47","27","    Final sales of goods and structures of domestic business \2\","A810RX1",".....",".....",".....","325,913.0","329,671.0","331,901.0","340,762.0","342,186.0","344,709.0","352,095.0","358,231.0","367,750.0","370,718.0","377,472.0","382,254.0","387,232.0","392,756.0","396,469.0","398,543.0","399,635.0","400,536.0","401,847.0","398,836.0","403,765.0","400,823.0","399,432.0","400,878.0","398,214.0","402,335.0","408,658.0","423,164.0","427,567.0","427,677.0","430,326.0","436,003.0","440,026.0","445,939.0","454,067.0","458,695.0","457,004.0","468,301.0","467,008.0","465,045.0","471,062.0","470,644.0","474,111.0","477,180.0","480,447.0","474,071.0","478,522.0","471,052.0","448,195.0","439,916.0","438,781.0","442,169.0","438,315.0","438,164.0","442,785.0","442,096.0","452,821.0","451,684.0","456,408.0","463,151.0","470,271.0","476,376.0","481,097.0","485,002.0","493,303.0","493,300.0","498,600.0","506,250.0","512,660.0"
"48",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","28","  Private inventories to final sales","A811RX2",".....",".....",".....","2.61","2.61","2.63","2.61","2.64","2.67","2.64","2.63","2.60","2.62","2.60","2.58","2.59","2.56","2.57","2.58","2.59","2.57","2.56","2.56","2.51","2.51","2.51","2.51","2.53","2.53","2.49","2.44","2.43","2.43","2.45","2.44","2.44","2.45","2.43","2.41","2.44","2.42","2.44","2.47","2.44","2.44","2.44","2.44","2.43","2.44","2.42","2.44","2.49","2.48","2.43","2.36","2.35","2.35","2.34","2.37","2.35","2.35","2.34","2.31","2.32","2.32","2.31","2.33","2.30","2.31","2.31","2.32","2.32"
"50","29","  Nonfarm inventories to final sales","A812RX2",".....",".....",".....","2.31","2.32","2.34","2.33","2.35","2.38","2.35","2.35","2.33","2.35","2.33","2.32","2.33","2.31","2.32","2.33","2.34","2.32","2.31","2.31","2.26","2.26","2.27","2.27","2.29","2.28","2.26","2.20","2.20","2.20","2.21","2.21","2.21","2.22","2.20","2.19","2.21","2.20","2.22","2.25","2.23","2.23","2.23","2.23","2.22","2.23","2.21","2.23","2.28","2.26","2.21","2.14","2.13","2.13","2.13","2.16","2.14","2.15","2.14","2.12","2.13","2.13","2.13","2.15","2.13","2.13","2.12","2.13","2.13"
"51","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",".....",".....",".....","4.13","4.13","4.18","4.12","4.17","4.23","4.17","4.15","4.09","4.12","4.07","4.06","4.08","4.05","4.08","4.10","4.12","4.09","4.07","4.07","3.97","3.99","4.03","4.04","4.09","4.06","4.00","3.87","3.86","3.89","3.90","3.89","3.89","3.90","3.85","3.82","3.89","3.83","3.89","3.96","3.93","3.94","3.94","3.94","3.93","3.97","3.92","3.97","4.13","4.13","4.03","3.89","3.89","3.90","3.89","3.97","3.91","3.94","3.93","3.87","3.85","3.85","3.85","3.87","3.81","3.82","3.80","3.79","3.79"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change in inventories for 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","equals the current-dollar change in inventories for 2009 and that the average of the 2008 and 2009 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
