"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","Income receipts on assets","W261RC1","96,251.0","115,187.0","126,873.0","142,938.0","176,698.0","217,579.0","239,743.0","248,432.0","274,790.0","327,196.0","408,520.0","500,178.0","635,249.0","726,605.0","754,378.0","814,698.0","886,395.0","930,690.0","1,004,093.0","1,136,086.0","1,315,897.0","1,336,589.0","1,270,253.0","1,168,899.0","1,150,738.0","1,255,138.0","1,469,652.0","1,521,131.0","1,652,906.0","1,730,230.0","1,851,577.0","2,179,240.0","2,093,251.0","1,846,185.0","1,809,342.0","2,098,519.0","2,586,555.0","3,215,417.0","3,695,417.0","3,298,281.0","2,553,357.0","2,485,746.0","2,545,368.0","2,475,826.0"
"22","4","  Interest","W262RC1","88,204.0","106,531.0","117,092.0","131,187.0","159,123.0","197,181.0","221,837.0","227,494.0","251,000.0","298,195.0","365,960.0","456,333.0","597,171.0","689,935.0","713,275.0","768,594.0","839,596.0","881,973.0","945,171.0","1,064,506.0","1,240,387.0","1,255,671.0","1,194,761.0","1,090,571.0","1,061,790.0","1,150,613.0","1,342,288.0","1,381,773.0","1,497,411.0","1,583,444.0","1,674,284.0","1,976,204.0","1,909,965.0","1,640,904.0","1,559,299.0","1,770,342.0","2,202,865.0","2,781,647.0","3,184,988.0","2,716,293.0","2,059,660.0","1,901,138.0","1,891,646.0","1,809,877.0"
"23","5","  Dividend receipts from the rest of the world","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,989.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,488.0","86,157.0","87,206.0","92,651.0","101,013.0","135,643.0","363,340.0","186,016.0","248,982.0","316,366.0","230,891.0","247,994.0","292,594.0","297,892.0"
"24","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,817.0","21,577.0","26,454.0","25,810.0","20,844.0","31,010.0","26,452.0","27,632.0","37,260.0","34,046.0","33,645.0","49,481.0","44,873.0","68,805.0","70,284.0","75,505.0","63,539.0","84,805.0","116,879.0","96,080.0","112,630.0","149,030.0","192,534.0","20,350.0","247,754.0","261,447.0","265,622.0","262,806.0","336,614.0","361,128.0","368,057.0"
"25","7","    Uses of private enterprise income","W263RC1","324,336.0","338,413.0","375,166.0","423,573.0","496,223.0","543,587.0","601,237.0","656,524.0","734,874.0","856,115.0","975,272.0","1,080,939.0","1,310,021.0","1,413,889.0","1,524,064.0","1,737,479.0","1,867,966.0","1,915,869.0","2,060,711.0","2,305,890.0","2,551,337.0","2,591,786.0","2,532,599.0","2,500,259.0","2,572,317.0","2,832,804.0","3,174,924.0","3,400,099.0","3,694,821.0","3,867,526.0","4,086,820.0","4,512,662.0","4,498,198.0","4,356,493.0","4,470,876.0","4,985,797.0","5,768,666.0","6,707,700.0","7,018,900.0","6,498,046.0","5,787,851.0","6,065,616.0","6,380,289.0","6,536,707.0"
"26","8","Income payments on assets","W264RC1","123,743.0","149,285.0","164,528.0","183,662.0","221,315.0","275,543.0","312,575.0","321,455.0","360,324.0","424,287.0","517,534.0","652,079.0","840,519.0","967,387.0","1,008,878.0","1,114,307.0","1,208,861.0","1,277,151.0","1,354,758.0","1,507,298.0","1,732,481.0","1,749,649.0","1,644,419.0","1,518,581.0","1,486,781.0","1,593,206.0","1,813,300.0","1,867,075.0","2,039,090.0","2,185,279.0","2,305,235.0","2,700,652.0","2,600,683.0","2,280,322.0","2,200,163.0","2,403,632.0","2,979,632.0","3,717,397.0","4,222,769.0","3,807,970.0","2,961,411.0","2,761,140.0","2,733,457.0","2,654,244.0"
"27","9","  Interest and miscellaneous payments \1\","W265RC1","122,291.0","147,729.0","162,602.0","181,445.0","218,638.0","272,614.0","309,300.0","317,065.0","355,647.0","418,155.0","509,585.0","643,705.0","832,120.0","963,304.0","1,002,831.0","1,104,772.0","1,200,160.0","1,267,908.0","1,343,845.0","1,492,703.0","1,724,102.0","1,744,818.0","1,645,398.0","1,513,343.0","1,474,764.0","1,566,647.0","1,778,883.0","1,829,687.0","1,991,149.0","2,141,254.0","2,249,945.0","2,643,795.0","2,587,797.0","2,233,799.0","2,116,748.0","2,280,487.0","2,835,019.0","3,539,791.0","4,065,724.0","3,632,677.0","2,820,515.0","2,571,715.0","2,516,285.0","2,407,235.0"
"28","10","  Dividend payments to the rest of the world","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,919.0","73,325.0","102,479.0","108,114.0","108,552.0","135,853.0","119,019.0","126,579.0","136,163.0","141,111.0"
"29","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,385.0","-1,334.0","2,177.0","-451.0","-747.0","-294.0","1,361.0","-7,899.0","-13,853.0","-18,098.0","-11,411.0","-6,868.0","5,073.0","8,630.0","8,705.0","15,161.0","3,048.0","4,328.0","-60.0","-33,653.0","1,773.0","14,496.0","49,820.0","42,134.0","69,492.0","48,493.0","39,440.0","21,877.0","62,846.0","81,009.0","105,898.0"
"30","12","Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","116,435.0","127,161.0","128,464.0","129,588.0","106,939.0"
"31","13","  To persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","46,656.0","41,427.0"
"32","14","  To government (net)","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","72,634.0","90,740.0","87,193.0","90,113.0","70,583.0"
"33","15","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","2,826.0","5,972.0","7,178.0","-2,273.0","-1,679.0","-7,181.0","-5,071.0"
"34","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,155,132.0","1,224,912.0"
"35","17","Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","484,382.0","541,156.0"
"36","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","98,416.0","86,244.0","100,647.0","117,212.0","133,390.0","125,705.0","138,859.0","174,338.0","205,783.0","238,569.0","248,980.0","223,560.0","247,494.0","229,857.0","279,767.0","337,881.0","354,488.0","324,374.0","365,983.0","414,879.0","414,241.0","417,152.0","451,329.0","475,271.0","521,998.0","621,914.0","703,016.0","786,053.0","865,769.0","804,110.0","830,229.0","781,202.0","754,043.0","907,169.0","1,056,364.0","1,283,344.0","1,477,728.0","1,646,506.0","1,528,991.0","1,285,061.0","1,392,583.0","1,740,564.0","1,877,730.0","2,009,456.0"
"37","19","  Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","374,224.0","434,798.0"
"38","20","    To government","W025RC1","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,253.0","420,717.0","281,084.0","245,988.0","346,318.0","344,985.0","402,447.0"
"39","21","    To the rest of the world","B930RC1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,407.0","3,494.0","2,894.0","3,188.0","3,352.0","4,472.0","4,615.0","4,818.0","5,013.0","5,540.0","5,659.0","6,448.0","6,862.0","7,824.0","8,281.0","9,190.0","10,021.0","10,421.0","9,773.0","11,014.0","11,965.0","14,103.0","16,483.0","19,107.0","24,813.0","28,016.0","23,456.0","24,253.0","29,239.0","32,351.0"
"40","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1","58,439.0","51,487.0","62,482.0","74,871.0","83,417.0","72,920.0","87,213.0","109,050.0","131,342.0","153,711.0","158,964.0","136,370.0","163,155.0","163,358.0","199,119.0","240,350.0","255,082.0","214,699.0","235,542.0","273,249.0","268,173.0","271,728.0","312,738.0","326,583.0","350,964.0","428,773.0","485,178.0","554,584.0","620,348.0","555,744.0","571,445.0","516,110.0","550,747.0","714,833.0","812,597.0","977,251.0","1,065,344.0","1,173,146.0","1,083,461.0","975,961.0","1,123,139.0","1,369,993.0","1,503,506.0","1,574,658.0"
"41","23","    Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","568,739.0","563,949.0","701,580.0","770,335.0"
"42","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","34,200.0","27,180.0","37,455.0","48,035.0","53,510.0","39,701.0","54,253.0","70,036.0","86,573.0","102,918.0","101,444.0","72,300.0","89,399.0","85,642.0","115,655.0","149,543.0","157,536.0","108,519.0","123,230.0","143,330.0","110,199.0","102,666.0","132,225.0","137,067.0","145,644.0","192,800.0","226,228.0","251,056.0","280,896.0","198,672.0","223,549.0","131,426.0","180,170.0","314,653.0","378,625.0","413,162.0","484,817.0","447,140.0","264,552.0","167,347.0","554,400.0","806,044.0","801,926.0","804,323.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
