"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0"
"21","2","Personal consumption expenditures","DPCERC1","156,297.0","160,168.0","163,677.0","167,809.0","170,514.0","174,288.0","177,222.0","178,080.0","176,987.0","178,606.0","177,971.0","180,420.0","183,095.0","186,987.0","200,693.0","198,130.0","209,400.0","205,136.0","207,806.0","211,782.0","213,145.0","217,280.0","219,771.0","227,914.0","231,521.0","233,287.0","234,021.0","233,480.0","235,518.0","238,268.0","240,707.0","245,517.0","251,844.0","256,928.0","261,135.0","265,147.0","266,681.0","269,374.0","272,625.0","278,003.0","282,441.0","284,736.0","289,321.0","290,958.0","290,523.0","293,436.0","298,469.0","302,318.0","310,058.0","316,078.0","321,282.0","323,395.0","326,935.0","332,806.0","332,755.0","334,679.0","335,206.0","340,158.0","343,055.0","350,322.0","355,603.0","361,241.0","365,111.0","371,385.0","374,950.0","379,079.0","386,069.0","390,739.0","400,372.0","408,350.0","417,252.0","419,833.0","430,533.0","437,468.0","446,644.0","460,600.0","471,036.0","476,137.0","485,290.0","491,099.0","495,416.0","504,550.0","511,812.0","519,352.0","537,343.0","551,128.0","567,306.0","576,241.0","588,443.0","599,810.0"
"22","3","  Goods","DGDSRC1","95,593.0","98,250.0","100,418.0","103,453.0","105,094.0","107,188.0","108,743.0","108,656.0","107,167.0","108,283.0","107,569.0","109,305.0","110,800.0","112,588.0","123,988.0","119,943.0","127,605.0","122,182.0","123,363.0","125,844.0","125,538.0","127,606.0","127,941.0","134,054.0","135,702.0","135,575.0","134,420.0","133,641.0","134,173.0","134,969.0","135,430.0","138,495.0","142,939.0","146,831.0","149,363.0","150,460.0","150,215.0","151,111.0","152,116.0","155,173.0","158,013.0","158,648.0","161,228.0","160,519.0","159,258.0","159,819.0","162,423.0","164,772.0","169,723.0","172,618.0","174,526.0","173,564.0","175,059.0","178,398.0","177,504.0","177,103.0","175,643.0","177,565.0","179,178.0","182,848.0","185,535.0","187,793.0","189,528.0","193,023.0","195,046.0","196,687.0","199,869.0","201,017.0","206,648.0","210,932.0","216,253.0","215,176.0","222,675.0","225,584.0","230,768.0","239,672.0","246,405.0","246,956.0","252,094.0","253,022.0","253,480.0","258,504.0","260,475.0","263,505.0","274,392.0","280,854.0","290,386.0","292,834.0","298,845.0","302,664.0"
"23","4","    Durable goods","DDURRC1","20,721.0","21,352.0","21,770.0","23,487.0","23,548.0","24,019.0","25,277.0","24,970.0","24,435.0","26,389.0","27,314.0","28,356.0","29,335.0","29,800.0","37,355.0","33,292.0","35,638.0","30,736.0","30,192.0","30,390.0","30,776.0","31,006.0","29,467.0","33,723.0","35,185.0","35,019.0","34,577.0","33,682.0","32,911.0","33,645.0","33,233.0","35,064.0","38,437.0","40,708.0","42,421.0","41,413.0","39,673.0","39,819.0","39,685.0","41,497.0","42,598.0","42,169.0","41,874.0","41,466.0","39,396.0","38,635.0","39,396.0","40,693.0","43,649.0","45,464.0","46,336.0","44,103.0","45,456.0","46,434.0","45,925.0","44,689.0","42,241.0","43,320.0","44,581.0","46,683.0","47,702.0","49,047.0","49,567.0","51,546.0","52,589.0","53,882.0","54,701.0","55,739.0","57,995.0","59,477.0","61,376.0","59,377.0","64,915.0","64,817.0","66,700.0","69,128.0","72,311.0","69,720.0","72,323.0","72,626.0","71,104.0","74,482.0","74,698.0","75,641.0","80,858.0","83,084.0","87,544.0","87,826.0","90,010.0","90,448.0"
"24","5","      Motor vehicles and parts","DMOTRC1","6,319.0","6,437.0","6,181.0","7,139.0","7,694.0","7,347.0","8,146.0","8,554.0","8,935.0","10,886.0","11,123.0","11,168.0","11,997.0","12,661.0","15,521.0","14,424.0","14,309.0","12,111.0","11,173.0","10,839.0","11,242.0","11,517.0","9,673.0","12,972.0","14,541.0","14,226.0","13,757.0","12,862.0","12,370.0","12,979.0","12,203.0","13,440.0","16,076.0","17,932.0","18,916.0","17,704.0","15,863.0","15,260.0","15,155.0","16,566.0","18,064.0","17,704.0","17,075.0","17,083.0","14,922.0","14,690.0","14,796.0","15,679.0","18,090.0","19,335.0","20,073.0","17,658.0","19,343.0","19,942.0","20,130.0","18,912.0","16,475.0","17,127.0","17,870.0","19,416.0","20,345.0","21,303.0","21,146.0","22,751.0","23,440.0","24,220.0","24,378.0","24,947.0","25,637.0","25,876.0","27,107.0","24,587.0","29,803.0","29,031.0","29,793.0","29,952.0","31,713.0","28,734.0","29,679.0","29,583.0","27,788.0","30,514.0","30,241.0","29,862.0","33,715.0","34,446.0","36,819.0","36,675.0","37,648.0","37,131.0"
"25","6","      Furnishings and durable household equipment","DFDHRC1","8,844.0","9,234.0","9,767.0","10,383.0","10,015.0","10,690.0","11,047.0","10,404.0","9,456.0","9,511.0","10,237.0","11,043.0","10,777.0","10,533.0","14,109.0","11,782.0","13,823.0","11,629.0","11,830.0","12,182.0","12,067.0","11,928.0","12,093.0","12,679.0","12,400.0","12,604.0","12,651.0","12,681.0","12,380.0","12,343.0","12,471.0","12,905.0","13,609.0","13,776.0","14,333.0","14,320.0","14,471.0","14,978.0","14,805.0","15,001.0","14,840.0","14,891.0","14,841.0","14,532.0","14,615.0","14,195.0","14,601.0","14,836.0","15,144.0","15,547.0","15,648.0","15,733.0","15,522.0","15,709.0","15,261.0","15,207.0","15,187.0","15,412.0","15,685.0","16,005.0","16,063.0","16,239.0","16,633.0","16,761.0","17,057.0","17,234.0","17,707.0","18,044.0","18,903.0","19,525.0","19,694.0","19,946.0","19,929.0","20,182.0","20,735.0","21,797.0","22,178.0","22,216.0","23,096.0","23,082.0","23,244.0","23,566.0","23,761.0","24,145.0","24,917.0","25,771.0","26,821.0","26,848.0","27,297.0","27,850.0"
"26","7","      Recreational goods and vehicles","DREQRC1","2,809.0","2,913.0","3,022.0","3,137.0","3,017.0","3,123.0","3,190.0","3,091.0","3,189.0","3,161.0","3,233.0","3,383.0","3,802.0","3,792.0","4,713.0","4,147.0","4,379.0","3,914.0","4,012.0","4,124.0","4,214.0","4,235.0","4,305.0","4,516.0","4,695.0","4,693.0","4,694.0","4,688.0","4,750.0","4,814.0","4,932.0","5,054.0","5,153.0","5,273.0","5,424.0","5,501.0","5,510.0","5,680.0","5,722.0","5,842.0","5,733.0","5,683.0","5,840.0","5,764.0","5,860.0","5,754.0","5,908.0","6,013.0","6,289.0","6,374.0","6,392.0","6,420.0","6,359.0","6,473.0","6,290.0","6,334.0","6,352.0","6,518.0","6,681.0","6,771.0","6,720.0","6,835.0","7,036.0","7,182.0","7,274.0","7,545.0","7,660.0","7,779.0","8,234.0","8,694.0","8,952.0","9,203.0","9,381.0","9,823.0","10,166.0","10,976.0","11,509.0","11,922.0","12,620.0","13,061.0","13,126.0","13,258.0","13,581.0","14,346.0","14,727.0","14,934.0","15,741.0","15,933.0","16,410.0","16,736.0"
"27","8","      Other durable goods","DODGRC1","2,749.0","2,768.0","2,800.0","2,828.0","2,822.0","2,859.0","2,894.0","2,921.0","2,855.0","2,831.0","2,721.0","2,762.0","2,759.0","2,814.0","3,012.0","2,939.0","3,127.0","3,082.0","3,177.0","3,245.0","3,253.0","3,326.0","3,396.0","3,556.0","3,549.0","3,496.0","3,475.0","3,451.0","3,411.0","3,509.0","3,627.0","3,665.0","3,599.0","3,727.0","3,748.0","3,888.0","3,829.0","3,901.0","4,003.0","4,088.0","3,961.0","3,891.0","4,118.0","4,087.0","3,999.0","3,996.0","4,091.0","4,165.0","4,126.0","4,208.0","4,223.0","4,292.0","4,232.0","4,310.0","4,244.0","4,236.0","4,227.0","4,263.0","4,345.0","4,491.0","4,574.0","4,670.0","4,752.0","4,852.0","4,818.0","4,883.0","4,956.0","4,969.0","5,221.0","5,382.0","5,623.0","5,641.0","5,802.0","5,781.0","6,006.0","6,403.0","6,911.0","6,848.0","6,928.0","6,900.0","6,946.0","7,144.0","7,115.0","7,288.0","7,499.0","7,933.0","8,163.0","8,370.0","8,655.0","8,731.0"
"28","9","    Nondurable goods","DNDGRC1","74,872.0","76,898.0","78,648.0","79,966.0","81,546.0","83,169.0","83,466.0","83,686.0","82,732.0","81,894.0","80,255.0","80,949.0","81,465.0","82,788.0","86,633.0","86,651.0","91,967.0","91,446.0","93,171.0","95,454.0","94,762.0","96,600.0","98,474.0","100,331.0","100,517.0","100,556.0","99,843.0","99,959.0","101,262.0","101,324.0","102,197.0","103,431.0","104,502.0","106,123.0","106,942.0","109,047.0","110,542.0","111,292.0","112,431.0","113,676.0","115,415.0","116,479.0","119,354.0","119,053.0","119,862.0","121,184.0","123,027.0","124,079.0","126,074.0","127,154.0","128,190.0","129,461.0","129,603.0","131,964.0","131,579.0","132,414.0","133,402.0","134,245.0","134,597.0","136,165.0","137,833.0","138,746.0","139,961.0","141,477.0","142,457.0","142,805.0","145,168.0","145,278.0","148,653.0","151,455.0","154,877.0","155,799.0","157,760.0","160,767.0","164,068.0","170,544.0","174,094.0","177,236.0","179,771.0","180,396.0","182,376.0","184,022.0","185,777.0","187,864.0","193,534.0","197,770.0","202,842.0","205,008.0","208,835.0","212,216.0"
"29","10","      Food and beverages purchased for off-premises consumption","DFXARC1","39,079.0","39,964.0","40,652.0","41,073.0","41,553.0","42,455.0","41,763.0","41,580.0","41,046.0","40,631.0","39,994.0","39,745.0","40,231.0","40,699.0","42,135.0","42,574.0","45,251.0","45,574.0","46,253.0","46,986.0","46,963.0","48,243.0","49,176.0","49,293.0","49,614.0","49,332.0","49,084.0","49,113.0","50,065.0","50,221.0","50,781.0","51,228.0","51,475.0","51,903.0","52,140.0","52,671.0","53,415.0","53,847.0","54,423.0","54,979.0","55,894.0","56,643.0","57,980.0","58,025.0","59,284.0","59,716.0","59,822.0","60,248.0","61,240.0","61,261.0","61,769.0","62,119.0","61,765.0","62,939.0","62,513.0","63,009.0","63,704.0","63,934.0","63,601.0","63,749.0","64,301.0","64,367.0","64,997.0","64,962.0","65,243.0","65,346.0","66,350.0","66,542.0","67,648.0","68,892.0","70,398.0","71,023.0","71,659.0","73,218.0","74,788.0","78,106.0","79,541.0","80,589.0","81,217.0","81,092.0","81,869.0","81,971.0","82,498.0","83,900.0","85,710.0","87,920.0","90,158.0","91,538.0","93,066.0","94,114.0"
"30","11","      Clothing and footwear","DCLORC1","17,623.0","17,754.0","18,215.0","18,558.0","18,761.0","19,184.0","19,477.0","19,915.0","19,483.0","18,844.0","17,835.0","18,289.0","18,164.0","18,510.0","19,636.0","19,408.0","20,542.0","20,097.0","20,529.0","20,745.0","20,439.0","20,770.0","21,188.0","22,331.0","21,585.0","21,701.0","21,195.0","20,802.0","21,288.0","21,257.0","21,335.0","21,694.0","21,865.0","22,443.0","22,359.0","22,832.0","22,995.0","23,234.0","23,646.0","23,715.0","23,486.0","23,425.0","23,969.0","23,435.0","23,215.0","23,666.0","24,195.0","24,599.0","24,785.0","25,501.0","25,440.0","25,739.0","25,877.0","26,197.0","25,866.0","25,817.0","26,063.0","26,279.0","26,616.0","27,325.0","27,365.0","27,779.0","28,016.0","28,275.0","28,193.0","28,421.0","29,002.0","28,856.0","30,147.0","31,011.0","31,443.0","31,739.0","31,889.0","31,901.0","32,750.0","34,095.0","35,102.0","35,524.0","36,293.0","36,328.0","36,759.0","37,376.0","37,956.0","38,097.0","39,753.0","40,763.0","42,141.0","42,382.0","43,367.0","44,046.0"
"31","12","      Gasoline and other energy goods","DGOERC1","6,415.0","6,822.0","7,103.0","7,408.0","7,927.0","8,155.0","8,383.0","8,345.0","8,245.0","8,358.0","8,348.0","8,421.0","8,472.0","8,811.0","9,142.0","9,031.0","9,499.0","9,408.0","9,584.0","9,889.0","9,915.0","10,077.0","10,305.0","10,439.0","10,581.0","10,678.0","11,021.0","11,093.0","11,149.0","11,186.0","11,353.0","11,623.0","11,873.0","12,228.0","12,465.0","12,871.0","13,062.0","13,174.0","13,269.0","13,655.0","14,132.0","14,128.0","14,381.0","14,341.0","14,484.0","14,605.0","14,952.0","14,833.0","15,127.0","15,276.0","15,208.0","15,548.0","15,496.0","15,861.0","15,917.0","15,962.0","15,756.0","15,729.0","15,729.0","15,677.0","16,064.0","16,197.0","16,127.0","16,875.0","17,126.0","16,746.0","16,863.0","16,954.0","17,194.0","17,434.0","17,937.0","18,072.0","18,296.0","18,937.0","19,435.0","19,858.0","19,886.0","20,432.0","20,965.0","21,339.0","21,451.0","21,812.0","21,886.0","22,355.0","22,978.0","22,978.0","23,442.0","23,469.0","24,261.0","25,029.0"
"32","13","      Other nondurable goods","DONGRC1","11,755.0","12,358.0","12,678.0","12,927.0","13,305.0","13,375.0","13,843.0","13,846.0","13,958.0","14,061.0","14,078.0","14,494.0","14,598.0","14,768.0","15,720.0","15,638.0","16,675.0","16,367.0","16,805.0","17,834.0","17,445.0","17,510.0","17,805.0","18,268.0","18,737.0","18,845.0","18,543.0","18,951.0","18,760.0","18,660.0","18,728.0","18,886.0","19,289.0","19,549.0","19,978.0","20,673.0","21,070.0","21,037.0","21,093.0","21,327.0","21,903.0","22,283.0","23,024.0","23,252.0","22,879.0","23,197.0","24,058.0","24,399.0","24,922.0","25,116.0","25,773.0","26,055.0","26,465.0","26,967.0","27,283.0","27,626.0","27,879.0","28,303.0","28,651.0","29,414.0","30,103.0","30,403.0","30,821.0","31,365.0","31,895.0","32,292.0","32,953.0","32,926.0","33,664.0","34,118.0","35,099.0","34,965.0","35,916.0","36,711.0","37,095.0","38,485.0","39,565.0","40,691.0","41,296.0","41,637.0","42,297.0","42,863.0","43,437.0","43,512.0","45,093.0","46,109.0","47,101.0","47,619.0","48,141.0","49,027.0"
