"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",1094,1103,1143,1159,1162,1177,1208,1183,1185,1172,1161,1175,1190,1181,1132,1161,1184,1187,1193,1179,1144,1142,1142,1127,1130,1142,1132,1148,1155,1135,1115,1135,1160,1174,1181,1174,1172,1149,1145,1143,1113,1111,1132,1140,1155,1172,1171,1166,1171,1168,1156,1156,1151,1162,1138,1144,1125,1140,1154,1152,1179,1162,1163,1135,1105,1149,1167,1186,1186,1163,1143,1171,1153,1174,1192,1198,1191,1187,1199,1175,1191,1189,1173,1168,1180,1186,1185,1202,1188,1180,1150,1162,1163,1169,1204,1216,1210,1229,1224,1258,1243,1255,1266,1247,1265,1275,1253,1212,1291,1286,1304,1278,1303,1313,1349,1315,1300,1271,1308,1319,1248,1274,1262,1271,1291,1307,1312,1317,1305,1306,1314,1337,1314,1282,1304,1322,1340,1329,1351,1386,1396,1432,1408,1405,1449,1446,1469,1453,1469,1482,1485,1489,1507,1502,1530,1518,1570,1586,1613,1658,1654,1645,1663,1666,1723,1736,1738,1725,1747
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",2149,2194,2174,2204,2199,2189,2194,2255,2246,2256,2251,2256,2238,2216,2194,2172,2169,2183,2183,2176,2151,2162,2166,2154,2182,2201,2224,2233,2266,2239,2268,2237,2273,2254,2243,2237,2230,2194,2194,2204,2184,2197,2193,2216,2256,2239,2222,2266,2334,2283,2299,2298,2258,2319,2319,2313,2233,2226,2233,2211,2252,2254,2288,2275,2284,2344,2340,2321,2319,2346,2360,2352,2385,2432,2389,2403,2397,2381,2398,2444,2430,2427,2433,2454,2406,2417,2405,2478,2454,2423,2439,2431,2451,2464,2456,2486,2468,2509,2517,2495,2549,2567,2581,2609,2605,2633,2644,2510,2651,2604,2591,2581,2601,2605,2576,2565,2565,2575,2611,2616,2590,2602,2607,2577,2579,2580,2558,2527,2513,2489,2500,2587,2507,2503,2527,2559,2521,2522,2560,2603,2623,2627,2596,2612,2617,2604,2598,2621,2645,2640,2645,2637,2638,2669,2640,2609,2624,2741,2709,2725,2740,2776,2784,2782,2797,2819,2854,2856,2865
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",9359,9321,9346,9459,9327,9492,9400,9622,9689,9616,9545,9805,10085,9559,9414,9686,9873,9982,10098,9915,10023,10007,10009,9976,10058,10203,10264,10280,10081,10130,10267,10458,10314,10701,10728,10740,10683,10435,10678,10594,10810,10777,10734,10637,11067,10737,11104,11061,10961,11272,11292,11367,11345,11463,11347,11552,11600,11664,11421,11493,11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16173,15788,16172,16203,16502,16740,16951,16959,17080,16970,17269,17518,17626,17684,18008,17405,17600,17516,17661,17609,17901,18314,18123,18175,18508,18881,18363,19045,18860,19212,19151,19091,19062,19666,19632,19676,20436
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",6557,6607,6593,6734,6708,6864,6816,6973,6993,6911,6868,7114,7333,6868,6734,6970,7109,7078,7143,6973,7101,7143,7132,7051,7062,7253,7348,7325,7178,7221,7261,7450,7250,7529,7577,7606,7627,7492,7540,7444,7545,7588,7547,7468,7867,7520,7756,7795,7649,7954,7838,7908,7863,8077,7927,8069,8167,8207,8018,8088,8107,8089,8126,7982,8011,8209,8303,8551,8450,8481,8539,8654,8701,8774,8889,9011,8912,9046,9066,8941,8892,9139,9244,9264,9505,9552,9691,9736,9884,9819,9783,9907,9829,9808,9850,9730,9793,10061,10393,10284,10499,10331,10329,10568,10853,10649,10738,10604,10619,10735,10410,10660,10647,10637,10680,10895,10241,10903,10668,11061,11020,11164,11084,11231,10987,11273,11250,11165,10923,11630,11448,11682,11643,11273,11620,11660,11892,12026,12204,12157,12280,12117,12299,12515,12703,12698,12969,12528,12751,12705,12834,12872,13028,13317,13241,13271,13571,13814,13514,13975,13928,14177,14188,14155,14168,14562,14509,14525,15192
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",1571,1534,1505,1503,1448,1454,1408,1445,1484,1481,1458,1468,1519,1456,1451,1474,1492,1509,1482,1537,1543,1521,1531,1555,1563,1553,1580,1554,1542,1526,1583,1588,1620,1654,1658,1643,1602,1483,1642,1664,1667,1684,1660,1643,1656,1642,1710,1684,1711,1681,1694,1780,1743,1716,1743,1767,1709,1744,1730,1707,1706,1754,1756,1704,1710,1761,1751,1743,1728,1733,1772,1789,1760,1853,1851,1823,1801,1790,1833,1808,1761,1875,1856,1875,1904,1907,1878,1883,1935,1946,1901,1911,1914,1906,1886,1915,1937,1934,1988,1914,1927,1901,1944,1977,1964,1970,1956,1931,1950,1899,1894,1991,1982,1951,2006,1987,1875,1918,1967,1981,2046,2035,1956,2021,1965,2010,1986,1980,1933,2010,2004,2014,1943,1968,2040,1998,2024,2039,2075,2114,2095,2103,2137,2129,2129,2117,2180,2094,2073,2048,2079,2022,2053,2140,2072,2106,2064,2124,1997,2084,2073,2067,2086,2071,2083,2165,2206,2177,2218
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",1249,1197,1261,1237,1186,1191,1191,1219,1228,1239,1233,1237,1250,1249,1243,1256,1287,1404,1477,1414,1390,1355,1358,1380,1440,1407,1351,1412,1372,1393,1433,1432,1453,1525,1503,1501,1467,1468,1504,1494,1599,1514,1534,1531,1554,1577,1640,1589,1604,1641,1753,1679,1735,1674,1679,1716,1725,1716,1676,1700,1680,1694,1678,1694,1634,1668,1685,1674,1762,1749,1807,1797,1859,1829,1841,1869,1888,1972,1935,1953,1889,1934,1981,2052,2071,2060,2124,2081,2133,2166,2210,2213,2228,2309,2316,2461,2317,2333,2297,2317,2438,2419,2462,2433,2491,2427,2335,2370,2349,2368,2360,2295,2251,2196,2205,2265,2166,2261,2301,2266,2316,2431,2410,2463,2440,2422,2358,2487,2388,2441,2474,2553,2592,2548,2514,2550,2591,2679,2677,2689,2709,2752,2834,2878,2798,2873,2864,2788,2784,2771,2756,2726,2829,2866,2821,2808,2888,2957,2870,3005,2876,2988,2897,2885,2832,2958,2931,2990,3049
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",21570,21909,21867,21811,21842,21860,21614,22107,22257,22372,22616,23314,22899,22842,22783,23071,23398,23471,23823,23756,23937,24156,24272,24380,24296,24685,25027,24972,24682,25049,25061,25409,25502,25872,25948,26237,26288,25744,26311,26252,26426,26823,27196,26681,27267,26661,27011,27172,26570,27238,27271,27656,27764,27877,27995,28374,28367,28585,28472,28669,28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37722,36894,36441,37530,37583,37572,38034,38322,38205,38772,39202,39895,39565,39840,39757,40194,39830,40355,40120,40231,40004,40974,40972,41061,41164,41703,42050,41799,42246,42730,43244,44195,44095,43845,44238,44473,45290,45117,45689,45132,46025,45413,46075,46044,46720,47008,47068,47584,47861,48235,47696,48422,48382,49119,49168,49315,49637,50025,50207,50306,51375
"32","24","S1 QN4521ZZMG     Department stores","T060240",14610,14986,15006,14955,14979,15011,14820,15125,15236,15285,15366,15689,15648,15468,15402,15647,15863,15916,16139,16057,16168,16349,16324,16349,16420,16669,16928,16806,16576,16822,16852,17068,17058,17280,17305,17469,17501,17212,17508,17414,17473,17808,18179,17683,18126,17664,17845,17878,17492,17918,17887,18201,18173,18285,18348,18600,18661,18729,18684,18798,18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21417,20542,19925,20442,20509,20413,20591,20753,20407,20598,20752,20760,20604,20628,20466,20740,20234,20383,20168,20146,19849,20497,20031,20017,19991,20100,19995,19959,20266,20396,20588,20877,20719,20503,20459,20520,20603,20649,20855,20342,20628,20408,20605,20602,20829,20854,20896,21086,20995,21102,20608,20949,20727,21063,20825,20764,20745,21020,21161,20994,21395
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",6851,6789,6720,6716,6724,6707,6656,6847,6883,6953,7126,7519,7113,7258,7267,7303,7412,7431,7560,7581,7652,7685,7838,7928,7756,7895,7973,8051,7997,8116,8096,8229,8340,8489,8543,8670,8689,8429,8705,8746,8866,8919,8909,8905,9041,8906,9078,9212,8997,9238,9306,9370,9515,9512,9567,9693,9621,9775,9706,9790,9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16306,16349,16509,17077,17064,17146,17429,17555,17775,18148,18421,19094,18921,19167,19243,19407,19536,19906,19883,20012,20074,20402,20842,20942,21067,21485,21921,21711,21855,22201,22518,23166,23216,23175,23595,23764,24472,24264,24622,24561,25154,24770,25222,25195,25634,25886,25905,26225,26572,26830,26765,27147,27309,27707,27967,28160,28482,28605,28651,28892,29547
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",41088,40529,40122,40666,40846,40766,40823,41084,41402,41707,41745,42287,42409,42129,42035,42464,43200,43133,43306,43156,44119,43839,44305,44599,45059,44863,45643,45224,46072,46479,46546,46776,46942,47173,46972,47273,47448,47561,47442,48210,48570,48418,48934,49217,49338,49147,50147,50506,49395,50243,50801,51073,51204,51944,51856,51710,52443,52735,52968,53811,52679,53570,54322,53819,53920,55069,55235,54480,55193,54909,55618,55494,55968,56736,57283,57847,58051,58220,58902,59422,59394,59845,60529,61068,61435,62483,62829,61673,62518,62425,62302,62743,62774,63122,64511,65898,65046,65505,64757,65055,65459,64864,65467,65998,66167,66761,67027,67473,66429,66744,66678,66789,66762,66032,66779,67783,65532,67523,68172,68645,69624,69985,69500,69832,69946,69911,70742,70460,70673,70696,71009,71888,71810,71111,70347,70340,71346,72545,73232,73980,73270,73979,75313,75783,76095,76052,75554,75721,76285,76242,77635,78405,78884,78628,79709,80105,81424,81244,80804,80744,81710,83355,83486,83835,82086,83066,84796,85629,86251
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",9155,9117,9136,9080,9048,9034,8826,9036,9008,9083,8994,9053,9010,9149,9112,9119,9087,9153,9158,9107,9167,9157,9205,9369,9243,9107,9212,9250,9315,9333,9413,9476,9494,9505,9522,9566,9641,9603,9635,9755,9757,9790,9720,9779,9872,9872,9946,10009,9829,10018,10222,10180,10317,10321,10403,10422,10423,10582,10623,10759,10643,10817,10965,10830,10780,11061,11112,11153,11253,11225,11341,11331,11493,11523,11560,11670,11654,11744,11893,12080,12018,12065,12276,12300,12352,12416,12457,12492,12527,12631,12547,12565,12656,12774,12896,13411,12976,13022,13210,13195,13358,13361,13412,13464,13574,13674,13672,13723,13609,13724,13719,13678,13856,13734,13760,13791,13562,13950,13884,13846,14092,14205,14101,14431,14292,14210,14220,14276,14480,14357,14299,14238,14424,14446,14502,14528,14652,14750,14984,15051,15113,15168,15241,15245,15141,15008,15402,15189,15107,15325,15230,15337,15315,15303,15374,15293,15651,15648,15725,15792,15872,15814,15851,15831,15944,15855,15955,15921,16141
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",17625,17527,17528,17632,17615,17391,17316,17576,17840,17650,17676,17872,17634,17833,17810,17914,18293,18386,18553,18416,18736,18354,18658,18535,18884,18877,19139,18903,19202,19472,19242,18993,19051,19213,19304,19323,19533,19496,19514,19801,19804,19830,20034,20021,20041,19990,20174,20155,20096,20118,20216,20097,19955,20420,20153,20159,20410,20348,20212,20254,20162,20267,20658,20466,20640,20982,21019,20502,20526,20334,20702,20585,20892,21173,21587,21976,21768,21491,21567,21823,21681,21710,22191,22536,22701,22951,22916,21671,21868,21579,21687,21699,21174,21436,22186,22170,21742,21833,20782,20881,21114,20235,20542,21073,20627,21147,21472,21417,21422,21283,20703,21461,21132,20598,21227,21687,20833,21323,22136,22650,22557,22675,22075,21639,21685,21752,22244,21820,21841,21725,21813,22420,22170,21553,20894,20816,21013,21378,21777,21456,20632,21087,22197,22225,22125,22219,21493,21507,21702,21361,22137,22316,22469,22536,22944,22972,23452,23332,22577,22185,22852,23701,23769,23609,22354,22714,23828,24030,24356
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",3982,4105,3972,4042,4032,4015,4091,4018,4084,4130,4115,4290,4296,4158,4143,4350,4336,4344,4253,4281,4301,4327,4383,4522,4479,4629,4616,4592,4655,4697,4685,4781,4846,4867,4769,4844,5009,4818,4847,4912,4914,4964,5061,5087,5053,5013,5161,5127,5207,5083,5145,5185,5029,5190,5243,5320,5249,5311,5307,5578,5346,5249,5306,5273,5355,5419,5387,5352,5411,5507,5611,5609,5531,5716,5637,5780,5776,5836,5807,5851,5886,5917,5889,6027,6049,6261,6270,6218,6298,6438,6400,6377,6532,6558,6511,6613,6416,6761,6800,6929,6972,6885,7007,6850,6954,6813,6674,6694,6711,7109,7078,6979,7006,6946,7023,7133,7001,7138,7401,7226,7309,7183,7233,7163,7232,7165,7187,7228,7311,7398,7508,7402,7473,7296,7255,7448,7407,7599,7465,7852,7637,7520,7532,7670,7950,7890,7791,7757,7786,7815,8028,8066,7982,7967,7927,7950,8077,8095,8198,8270,8252,8220,8253,8281,8147,8337,8309,8482,8611
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",2717,2780,2639,2708,2740,2691,2717,2686,2711,2735,2718,2858,2826,2735,2694,2889,2883,2894,2882,2877,2888,2869,2942,3051,3008,3122,3111,3067,3083,3093,3065,3155,3210,3223,3142,3184,3234,3155,3202,3248,3234,3247,3285,3323,3291,3310,3397,3420,3427,3370,3397,3402,3213,3398,3453,3478,3487,3479,3504,3770,3426,3451,3484,3461,3523,3573,3526,3539,3567,3617,3647,3630,3618,3746,3709,3845,3856,3890,3859,3862,3884,3938,3893,3978,4072,4177,4174,4131,4229,4308,4213,4323,4437,4383,4363,4451,4431,4575,4633,4670,4720,4694,4810,4728,4785,4631,4574,4630,4636,4831,4779,4792,4817,4782,4848,4878,4814,4962,5223,4986,4981,5032,5020,4948,5008,5020,4998,5081,5106,5242,5342,5222,5179,5113,5138,5249,5253,5299,5239,5530,5409,5349,5398,5502,5690,5658,5597,5554,5582,5659,5817,5825,5815,5796,5773,5799,5925,5956,6024,6133,6119,6138,6103,6162,6073,6233,6207,6353,6425
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",1257,1318,1333,1331,1285,1321,1374,1330,1373,1396,1398,1431,1472,1426,1455,1461,1452,1450,1366,1400,1410,1459,1437,1466,1468,1502,1500,1524,1573,1607,1624,1628,1636,1645,1629,1663,1784,1668,1647,1666,1683,1722,1784,1770,1769,1705,1767,1706,1784,1715,1750,1787,1828,1796,1793,1847,1762,1837,1805,1804,1930,1803,1826,1816,1836,1849,1866,1815,1847,1893,1971,1988,1918,1975,1931,1936,1921,1947,1949,1992,2006,1981,1999,2052,1978,2086,2098,2089,2069,2132,2190,2053,2093,2176,2149,2164,1985,2186,2167,2259,2252,2191,2197,2123,2169,2182,2100,2065,2075,2278,2298,2187,2190,2165,2175,2254,2186,2178,2182,2239,2326,2155,2215,2215,2225,2149,2191,2151,2208,2164,2175,2186,2294,2187,2125,2205,2162,2303,2231,2329,2237,2180,2146,2180,2272,2244,2207,2215,2216,2173,2229,2257,2187,2190,2173,2172,2176,2163,2199,2166,2162,2114,2178,2150,2105,2138,2135,2164,2220
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",4881,4896,4824,4895,4826,4863,4919,4982,5036,5369,5543,5606,5862,5395,5309,5466,5421,5643,5575,5574,5667,5889,5663,5899,5827,5781,6134,5926,6243,6207,6396,6520,6577,6542,6477,6540,6414,6552,6470,6710,6790,6623,6796,6823,6767,6770,6795,6881,6544,6720,6852,7181,7495,7485,7503,7366,7469,7565,7659,7594,7748,8026,7957,7754,7551,7851,7862,7999,8136,8100,8166,8228,8453,8377,8358,8244,8400,8470,8635,8764,8906,8900,8934,8995,8904,9142,9076,8979,9113,8977,8857,9055,9094,9221,9657,10008,9805,9828,9716,9663,9339,9321,9456,9319,9581,9613,9428,9276,9117,9243,9543,9173,9476,9422,9397,9351,9113,9300,9180,9207,9373,9492,9393,9528,9489,9629,9573,9732,9685,9598,9324,9615,9560,9377,9481,9445,9750,9831,9846,10130,9972,10026,10038,10057,10178,9938,10124,10295,10498,10291,10352,10400,10524,10357,10634,10606,10730,10730,10753,10858,11018,11065,11124,10998,11299,11452,11324,11210,11576
"41","33","S3 QN4531ZZMG       Florists","T060330",531,531,489,507,509,493,514,521,560,654,737,685,710,553,555,554,535,568,565,566,554,563,563,585,584,577,585,593,609,587,587,592,574,570,572,583,554,558,586,583,593,598,593,572,547,564,563,570,616,614,605,621,601,662,613,629,639,662,661,650,632,659,658,638,652,649,661,677,688,681,682,695,669,659,653,652,675,658,695,686,729,728,712,703,763,684,712,745,689,705,724,723,741,719,737,729,767,737,698,697,716,715,734,769,745,768,761,727,729,700,723,696,699,743,700,707,675,688,681,616,704,713,705,695,689,690,668,646,674,643,627,640,635,650,630,622,625,599,633,624,609,631,631,621,591,556,554,601,580,599,588,599,605,582,585,591,588,593,615,640,622,614,624,631,624,650,709,669,677
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",1734,1724,1750,1725,1719,1751,1819,1820,1799,1899,1926,1940,1969,1918,1939,2012,1990,2019,1995,1985,2026,2009,2048,2055,2096,2150,2261,2145,2236,2292,2305,2325,2328,2343,2291,2334,2219,2298,2164,2287,2367,2353,2389,2427,2438,2454,2474,2521,2212,2313,2266,2380,2499,2495,2654,2644,2567,2592,2697,2748,2741,2787,2837,2746,2663,2710,2692,2752,2779,2826,2759,2788,2914,2912,2997,2937,2961,3053,3096,3058,3308,3272,3240,3248,3364,3374,3438,3365,3394,3435,3306,3440,3485,3498,3658,3663,3707,3684,3769,3843,3700,3735,3768,3745,3813,3855,3792,3726,3689,3741,3818,3706,3808,3768,3768,3851,3661,3605,3684,3942,3822,3938,3872,3847,3882,3887,3908,4008,4031,4082,3900,4057,3966,3942,3987,3998,4220,4235,4253,4365,4252,4229,4231,4330,4372,4386,4316,4368,4333,4392,4408,4398,4461,4335,4365,4330,4369,4440,4518,4489,4591,4647,4676,4708,4784,4830,4760,4778,4956
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",434,429,459,450,457,486,447,469,494,467,482,462,477,474,450,465,482,656,541,527,480,520,494,511,515,494,558,501,473,443,440,512,549,552,517,547,535,538,521,543,587,588,596,568,551,522,560,581,549,497,609,660,783,647,609,592,614,608,616,613,726,722,659,603,606,632,662,674,718,740,744,760,757,742,751,724,735,754,791,801,800,828,830,823,784,831,807,814,832,818,794,832,802,874,852,938,878,896,899,928,914,883,991,902,870,855,891,904,859,872,921,892,891,884,896,864,936,892,898,873,1003,921,876,925,869,935,907,931,885,845,807,923,1010,917,946,898,925,914,906,950,943,973,948,890,905,905,909,925,976,971,992,975,1013,997,985,1014,1037,1000,979,1033,1027,1048,1033,1054,1063,1102,1096,1073,1128
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",2174,2209,2108,2209,2128,2113,2117,2150,2159,2333,2380,2517,2718,2446,2354,2422,2400,2359,2456,2484,2608,2814,2550,2756,2625,2543,2711,2682,2936,2892,3085,3106,3139,3085,3115,3085,3131,3179,3238,3332,3262,3089,3232,3271,3245,3242,3204,3210,3196,3331,3409,3556,3639,3721,3649,3515,3680,3737,3707,3594,3661,3882,3822,3794,3655,3894,3879,3928,3983,3874,4014,4017,4141,4089,3970,3948,4050,4017,4065,4240,4072,4077,4162,4233,3997,4259,4122,4060,4203,4020,4040,4063,4070,4132,4413,4681,4456,4513,4349,4194,4008,3988,3963,3902,4152,4135,3984,3920,3840,3931,4083,3881,4080,4027,4035,3935,3846,4106,3919,3795,3853,3930,3947,4063,4052,4118,4094,4157,4107,4048,3999,4017,3970,3889,3941,3950,4016,4116,4087,4226,4198,4216,4248,4246,4341,4145,4372,4423,4615,4362,4397,4452,4476,4463,4697,4668,4732,4702,4658,4702,4791,4780,4813,4652,4860,4902,4786,4732,4869
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",6468,5967,5808,6099,6355,6438,6577,6464,6454,6442,6388,6427,6501,6562,6618,6558,6986,6608,6782,6767,7196,7011,7297,7151,7500,7346,7426,7419,7523,7653,7645,7757,7727,7809,7717,7793,7681,7896,7802,7867,8095,8024,8119,8270,8367,8277,8765,8984,8462,8971,9027,9044,9018,9156,9144,9048,9468,9487,9675,10058,9327,9722,9963,10002,10109,10273,10370,9970,10312,10171,10248,10178,10083,10412,10657,10742,10938,11078,11362,11295,11253,11567,11625,11628,11860,12103,12462,12481,12859,12897,12934,13148,13352,13186,13346,13733,14127,14076,14247,14380,14674,15064,15049,15285,15436,15509,15770,16357,15558,15377,15634,15480,15273,15343,15367,15833,15001,15789,15580,15792,16350,16492,16748,17093,17302,17210,17607,17473,17393,17702,18198,18354,18283,18586,18395,18275,18732,19231,19361,19790,20355,20602,20643,20977,21166,21497,21270,21592,21862,22214,22627,23077,23436,23237,23616,24186,24343,24280,24644,24921,24814,25637,25469,26339,25937,26336,26688,27432,26824
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",2058,2014,1932,2109,2208,2372,2496,2405,2385,2391,2388,2379,2482,2515,2518,2497,2505,2492,2543,2572,2668,2763,2916,2869,2877,2897,2964,3045,2990,2999,2991,3054,3047,3077,3120,3162,3167,3146,3184,3227,3360,3355,3464,3520,3617,3607,3753,3773,3759,3889,3869,3940,3976,4099,4168,4189,4222,4297,4446,4538,4432,4560,4828,4913,4869,5018,4955,4999,5326,5243,5207,5319,5438,5630,5675,5733,5943,5829,6084,6152,6209,6357,6455,6468,6620,6959,6996,7053,7275,7438,7480,7694,7870,7930,7979,8302,8597,8605,8961,9121,9041,9366,9430,9541,9692,9784,9992,10275,9735,9592,9909,9873,10039,10157,10119,10427,9637,10426,10360,10532,11057,11223,11168,11433,11515,11505,11825,11840,11902,12102,12456,12580,12651,12903,12941,13055,13293,13725,13947,14170,14628,14736,14739,15090,15372,15604,15944,15964,16505,16398,16688,17017,17038,17284,17689,18119,18211,18394,18555,18959,19188,19729,19918,20632,20488,21068,21386,22004,21856
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",772,764,732,683,699,688,703,714,721,722,727,760,687,683,713,691,726,695,691,700,706,666,687,680,709,710,706,708,708,709,707,681,677,697,658,656,656,668,658,682,677,661,611,618,668,670,670,674,602,660,650,651,687,740,714,751,768,737,760,763,770,763,772,718,726,709,694,672,671,682,742,718,686,712,733,736,740,763,727,745,742,780,764,763,761,791,773,780,811,782,798,784,794,756,775,795,834,822,847,864,844,865,839,841,801,796,802,793,752,754,755,747,750,748,734,786,805,842,799,781,818,840,778,780,772,782,777,743,757,741,749,717,722,724,730,714,717,700,704,713,733,738,736,712,713,670,674,689,693,692,679,667,701,678,682,691,686,708,712,720,685,726,712,664,707,700,706,710,720
"48","40","S4 QN4543ZZMG       Direct selling establishments","T060400",4359,3789,3743,3892,4052,3912,3883,3868,3880,3855,3786,3818,3824,3855,3894,3871,4372,3939,4087,4013,4410,4065,4174,4067,4474,4243,4248,4111,4330,4482,4486,4558,4535,4575,4428,4464,4313,4607,4439,4433,4525,4460,4466,4567,4493,4390,4792,5035,4474,4862,4969,4887,4768,4710,4626,4440,4890,4839,4840,5167,4435,4737,4659,4646,4825,4837,5051,4538,4514,4447,4522,4319,4088,4200,4408,4430,4385,4672,4715,4531,4413,4549,4510,4498,4576,4395,4785,4727,4853,4730,4704,4705,4714,4506,4604,4640,4695,4647,4435,4386,4792,4834,4779,4904,4945,4934,4982,5287,5063,5020,4970,4864,4511,4471,4545,4650,4560,4547,4456,4518,4529,4488,4853,4935,5067,4978,5069,4969,4826,4954,5095,5165,5035,5093,4897,4725,4924,5032,4970,5152,5260,5379,5413,5456,5408,5556,5134,5362,5200,5551,5692,5834,6061,5775,5799,5943,6009,5829,5992,5943,5768,5997,5788,6036,5806,5773,5834,6000,5669
"49","41","S1 QN722ZZZMG Food services and drinking places","T060410",22005,21849,21601,21267,21210,20812,20964,21260,21330,21620,22163,22040,22108,21977,21912,22244,22306,22531,22375,22693,22997,22664,22643,22585,21825,22840,23097,22914,22967,23225,23386,23148,23228,23280,23260,23377,23334,22923,23155,23407,23399,23328,23457,23579,23472,23436,23367,23454,23299,23452,23605,23598,23686,23561,23687,23646,23794,23893,24139,24051,24359,24333,24321,24340,24309,24449,24686,24761,24742,24541,24271,24618,24709,24886,24997,25033,25171,25304,25147,25255,25364,25488,25586,25919,25406,25687,25569,25699,25802,25759,25620,25697,25848,26282,26313,26504,26792,26866,27276,27147,26953,26943,27112,26840,27055,27038,26878,26669,27583,27382,27224,27133,27207,27211,27305,27450,26673,26895,26862,27683,27723,27699,27530,27824,27583,27705,27659,27577,27583,27395,27593,27802,27772,27489,27943,27917,28382,28512,28589,29106,28593,29210,29418,29069,29596,29673,29990,29787,29853,29939,30117,29841,30330,30567,30514,30891,30725,30987,30712,31293,31141,31109,31116,31178,31458,31617,31906,32122,33029
