"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"11","3","Mining, utilities, and construction","N238RC1",NA,NA,NA,31.1,31.9,31.3,32.3,33,32.9,34.5,35,36.6,36.4,37.8,38.7,38.5,39,39.9,41.4,42.3,47.1,46.2,44.4,45.3,45.7,46.8,45.5,46.5,51.9,52,52.8,54.7,56.7,58.9,61,64.1,65.4,69.1,72.8,81.7,79.2,81.5,86.3,90.7,93.8,98.1,94.3,95.6,101.3,111.1,111.3,94,89.3,85.9,85.1,84.3,86.7,86.9,88,89.8,92.1,95,95.7,97.5,99.4,98.6,98.1,103.9
"12","4","Manufacturing","N376RC1",NA,NA,NA,421,421,424.1,426.8,432,434.2,435.8,434.4,432.3,434,437.1,446,457.6,464.4,468.7,473.6,476.5,474.4,466.2,454.6,440.9,435.5,435.6,439.8,443.7,449,445.1,440.3,447.6,455.5,467,479.9,487.2,504.1,503.4,518.2,531.5,543.4,561.5,571.4,575.7,583.2,594.7,603.7,635.6,670.4,703,681.8,604.5,586.4,580.9,578.8,588.6,603,599.5,613.8,643.7,681.3,690.7,690.8,699.5,711.3,694.8,710.7,710.7
"13","5","  Durable goods industries","N377RC1",NA,NA,NA,260.7,261.4,262.9,264.5,267.6,271.4,274,274,273.3,274.6,274.4,279.1,284.9,288.3,289.6,292.5,293.5,291.4,285.9,279,270.7,266.7,265.3,263.5,265.3,265.7,263.3,258.6,261.9,266.9,273.8,281.4,285.3,294.5,293.6,300.8,308.2,316.8,327.7,335.2,338.9,344,349.6,348.5,356.1,370.1,381.5,380,357.7,347,337.9,334.3,334.5,342,348.2,353.4,364.4,382.8,390.9,394.6,397.8,404.2,404.5,410.1,412.9
"14","6","  Nondurable goods industries","N378RC1",NA,NA,NA,160.3,159.6,161.2,162.3,164.4,162.8,161.8,160.4,158.9,159.5,162.7,166.9,172.7,176.1,179.1,181.1,183,183,180.2,175.6,170.2,168.7,170.3,176.3,178.4,183.3,181.7,181.7,185.7,188.6,193.1,198.5,201.9,209.7,209.8,217.4,223.3,226.7,233.8,236.1,236.8,239.2,245.1,255.2,279.5,300.3,321.5,301.8,246.9,239.4,243,244.5,254.1,261,251.3,260.4,279.4,298.6,299.8,296.2,301.8,307.1,290.3,300.6,297.8
"15","7","Wholesale trade","N379RC1",NA,NA,NA,285.1,288.8,294.2,297,302.5,306.6,306.5,309,312,316,318.7,326.1,334.8,342.1,348.2,351.2,357.7,354,351.1,343.6,335.8,334.9,337.5,343.8,343.2,345.5,341.3,343.3,352.6,362,369.3,379.6,388.9,402.7,405.3,413.6,422.8,430.3,444.3,450,456.4,464.3,468.7,479.1,497.2,515.8,539.6,537.1,496.9,472.9,455.9,438.6,447.6,455.6,459.1,485.5,512.3,535,549.7,554.8,562.8,574.1,570.2,594.5,597.6
"16","8","  Durable goods industries","N380RC1",NA,NA,NA,178.1,180.8,185.8,186.6,189.7,193.8,193.7,196.8,198.4,201.1,203.4,205.9,211.4,214.1,219.2,220.6,222.6,219.1,213.4,207.1,201.3,199.5,200.7,203.2,202,203.1,202.2,200.9,205.2,212.1,218.4,228,233.3,240.2,241.9,243.3,250.1,254.2,262.4,268.2,269,274.4,274.1,273.4,276.2,284.9,295.5,302.1,288.9,269.4,253.1,243,241.3,247.1,250.1,256.7,264.8,273.7,284.4,291.7,295.9,303.5,308.9,315.5,321.5
"17","9","  Nondurable goods industries","N381RC1",NA,NA,NA,107,108.1,108.3,110.4,112.8,112.8,112.8,112.2,113.6,114.9,115.3,120.2,123.4,128,129,130.6,135.1,134.9,137.7,136.4,134.5,135.3,136.8,140.5,141.3,142.4,139.2,142.4,147.4,149.9,150.8,151.6,155.6,162.6,163.4,170.3,172.8,176.1,181.9,181.8,187.4,189.9,194.6,205.7,221,230.9,244,235,208,203.5,202.7,195.5,206.3,208.5,209,228.8,247.5,261.3,265.3,263,266.9,270.6,261.4,279.1,276.1
"18","10","Retail trade","N382RC1",NA,NA,NA,328.7,329,332,334.5,335.9,342.5,342.8,344,349.2,357.6,362.4,366.7,377.7,380.8,390.6,395.7,400.8,395.2,396.2,398,386,390,395.4,400,408,416.2,416.4,420.3,425.5,435.6,445.5,451.8,460.9,467.2,464.5,466.9,473.7,478,483,487.8,491.6,493.4,497.5,504.1,511.8,508.9,509.9,508.3,488.9,471.1,458.9,445.1,447,452.7,460.3,470.3,474.1,482.5,485.6,489.5,489.2,498.4,507.9,517.2,522.6
"19","11","  Motor vehicle and parts dealers","N864RC1",NA,NA,NA,101.9,101.6,102.4,103,104.3,107,105.5,104.6,107,112.5,113,114.4,120.2,120.4,127,131,133.5,126.8,128.7,130.8,122.9,127,131.2,131.6,137.9,142.8,144.7,144.5,146.7,150.8,154.5,156.6,158.1,159.2,154.8,153.5,155.9,156.7,156.9,156.9,155.7,152.9,154.2,159.6,160.2,157.8,155.6,152,147.5,135.5,126.6,116.9,116.9,120.2,126,132.3,128.9,128.8,128.9,128.3,125.9,131.9,139.6,144.7,146.6
"20","12","  Food and beverage stores","N239RC1",NA,NA,NA,27.5,27.7,27.6,28.1,27.8,28.1,28.6,28.7,29.2,29.6,30.1,30.9,30.9,31,30.8,30.9,31,31.7,31.9,32.1,32.1,32.3,31.7,32.1,32.1,32.3,31.8,32.9,33,33.2,33.8,34.1,34.4,34.7,34.6,34.3,35.2,35,35.4,36.5,36.9,38,38,39.2,40.9,41.5,42.5,42.7,41.8,41.8,41.6,41.3,42,43.3,42.3,42.6,44.3,45.5,45.8,47.2,47.7,48.3,48.6,49.5,49.9
"21","13","  General merchandise stores","N240RC1",NA,NA,NA,58,57.9,58.7,58.4,58.3,58.5,58.7,59.5,59.4,60.1,60.7,61.4,62.4,62.7,63.4,63.1,63.7,65.4,65.6,65.6,64.2,63.5,63.3,64.3,65.5,65.7,66.1,66.9,67.3,69.1,70.3,70.5,72.7,74.5,74.5,75.3,75.8,75.3,75.2,77.2,78.7,79.8,80.3,80,81,80.5,81.1,82.2,80.5,79.5,78.9,77.4,77.6,77.8,78.7,79.8,80.8,83.4,84.1,85.2,86.2,86.3,87.1,87.4,88.6
"22","14","  Other retail stores","N865RC1",NA,NA,NA,141.4,141.9,143.4,145,145.5,148.9,150,151.2,153.5,155.4,158.5,160,164.2,166.8,169.5,170.7,172.6,171.3,169.9,169.4,166.9,167.2,169.3,172,172.5,175.3,173.9,176,178.5,182.6,186.9,190.6,195.7,198.8,200.6,203.9,206.8,211,215.4,217.1,220.3,222.7,224.9,225.3,229.7,229.1,230.8,231.4,219.2,214.3,211.8,209.4,210.4,211.4,213.3,215.5,220.1,224.7,226.8,228.9,229.5,231.9,232.6,235.7,237.5
"23","15","Other industries","N385RC1",NA,NA,NA,82.1,83.9,84.7,85.6,87.1,87.3,88.2,89.5,91.1,92.5,95.1,97.6,99.8,103.5,107.2,112.3,114.6,115.5,115.4,114.4,113,111.5,111.7,111.5,111.8,113,113.4,113.8,114.3,116,118.1,120.5,123.2,125.1,126.4,128,129.8,130.8,133.9,136.2,137.7,140.7,143.2,144.5,148.9,152.6,155.1,158,154.6,150,148.1,148.1,149.1,150.3,149.7,149.9,152.1,156.8,158.9,159.1,160.1,160.1,162.7,163.8,166.5
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RC1",NA,NA,NA,1284.7,1292.6,1304.1,1314.4,1327.3,1337.5,1335.8,1333.6,1341.6,1359.5,1373.5,1396.6,1432.7,1456.1,1479.8,1496.2,1524,1522.3,1509.9,1485.6,1447.3,1446.5,1453,1469.4,1489.1,1512,1505.5,1520.9,1545.7,1582,1623.2,1650.1,1681.5,1723.8,1724.4,1759.8,1804.6,1820.2,1861.7,1896.9,1917.1,1952.5,1976.8,2008.4,2077.5,2146.8,2232.2,2203.2,2024.3,1950.6,1905.7,1866.8,1889.7,1930.8,1936.9,1998.6,2080.8,2180.6,2211.1,2225.7,2249.5,2286.1,2272.5,2320.9,2337.7
"26","17","    Durable goods industries","N241RC1",NA,NA,NA,603.4,606.9,614.3,617.3,624.7,635.6,637,639.4,643,653.6,657,666.3,684.9,692.9,706.5,715.3,721.2,708.9,699.4,688.2,666,666.1,670.5,672.8,681,688.6,688,683.3,694.5,713.5,734.7,756.1,770,789.9,788.2,796.6,817.6,833.8,854.6,870.7,874.4,882,889.6,889.5,900.7,918.7,938.4,939.9,892.2,845.4,807.9,782.6,778.5,794.1,809.6,826.8,843.2,871.2,890.7,900.8,904.7,924.9,940.8,959,970.8
"27","18","    Nondurable goods industries","N242RC1",NA,NA,NA,681.3,685.7,689.8,697.1,702.7,701.9,698.8,694.2,698.6,705.9,716.5,730.3,747.7,763.2,773.3,780.9,802.7,813.4,810.4,797.4,781.2,780.5,782.4,796.6,808.1,823.4,817.5,837.6,851.2,868.5,888.5,893.9,911.5,933.9,936.1,963.2,987,986.4,1007.1,1026.2,1042.7,1070.5,1087.2,1118.9,1176.8,1228,1293.8,1263.3,1132.1,1105.2,1097.8,1084.2,1111.2,1136.8,1127.3,1171.8,1237.6,1309.4,1320.5,1324.9,1344.8,1361.2,1331.7,1361.9,1366.8
"28","19","  Nonfarm industries","A373RC1",NA,NA,NA,1148.1,1154.6,1166.3,1176.1,1190.4,1203.4,1207.8,1211.8,1221.1,1236.5,1251,1275.2,1308.4,1329.8,1354.7,1374.3,1391.8,1386.1,1375.1,1355,1321.1,1317.5,1326.9,1340.6,1353.2,1375.6,1368.3,1370.6,1394.7,1425.7,1458.7,1492.8,1524.3,1564.5,1568.7,1599.6,1639.4,1661.8,1704.2,1731.6,1752,1775.3,1802.2,1825.7,1889.2,1949,2018.7,1996.5,1838.9,1769.6,1729.7,1695.6,1716.5,1748.3,1755.6,1807.6,1872.1,1947.7,1979.8,1989.8,2009.1,2043.3,2034.2,2084.3,2101.3
"29","20","  Wholesale trade","N379RC1",NA,NA,NA,285.1,288.8,294.2,297,302.5,306.6,306.5,309,312,316,318.7,326.1,334.8,342.1,348.2,351.2,357.7,354,351.1,343.6,335.8,334.9,337.5,343.8,343.2,345.5,341.3,343.3,352.6,362,369.3,379.6,388.9,402.7,405.3,413.6,422.8,430.3,444.3,450,456.4,464.3,468.7,479.1,497.2,515.8,539.6,537.1,496.9,472.9,455.9,438.6,447.6,455.6,459.1,485.5,512.3,535,549.7,554.8,562.8,574.1,570.2,594.5,597.6
"30","21","    Merchant wholesale trade","N802RC1",NA,NA,NA,242.4,246.5,252,254.6,259.3,263.6,264.1,266.7,269.4,273.1,274.3,280.3,287.6,293.2,297.9,299.5,305.2,303,301.4,296.5,291.1,290.5,292.2,297.8,297.2,298.7,296,297.7,305.4,313.7,319.4,327.4,335.9,346.4,349,354.7,362,368.6,381.7,387.7,395.5,402.4,406.3,415.6,431.2,442.6,460,459.9,428,410.2,396.4,382.1,391.4,395.9,398.4,420.4,441.8,458.3,471.6,475.1,481.8,492.3,492.4,511.4,514
"31","22","      Durable goods industries","N803RC1",NA,NA,NA,152.9,155.6,160.5,161.3,163.7,167.3,167.7,170.6,171.9,174.5,176.2,178.5,183.6,185.7,190.2,190.7,192.2,189.8,184.7,180,175.2,173.8,174.5,176.6,175.3,176.7,176.1,175.2,178.4,184.8,190.7,199,204.3,209.7,211.7,212.9,218.4,222.9,231.4,235.9,237.5,241.8,242,241.7,244.5,251.3,260.8,266.8,254.7,237.8,223.7,214.7,212.4,216.8,218.7,224.2,231.8,239,248.5,254,257.4,264.6,268.6,273.9,279.3
"32","23","      Nondurable goods industries","N804RC1",NA,NA,NA,89.5,90.9,91.5,93.3,95.7,96.3,96.4,96.2,97.6,98.6,98.2,101.7,104,107.5,107.8,108.8,113,113.2,116.6,116.5,115.8,116.7,117.7,121.2,121.8,121.9,119.9,122.5,127,128.9,128.7,128.4,131.6,136.7,137.3,141.8,143.5,145.6,150.2,151.9,158,160.6,164.3,173.9,186.8,191.3,199.2,193.2,173.3,172.4,172.8,167.4,179,179,179.8,196.3,210,219.3,223.1,221.1,224.4,227.6,223.8,237.5,234.7
"33","24","    Nonmerchant wholesale trade","N805RC1",NA,NA,NA,42.7,42.3,42.2,42.3,43.2,43,42.4,42.2,42.5,42.9,44.3,45.9,47.2,48.9,50.3,51.7,52.5,51,49.8,47,44.8,44.3,45.2,46,46.1,46.8,45.3,45.7,47.2,48.3,49.8,52.2,53,56.3,56.3,58.9,60.9,61.8,62.6,62.2,60.8,61.9,62.4,63.5,66,73.2,79.6,77.2,68.9,62.7,59.5,56.5,56.2,59.7,60.7,65.1,70.5,76.8,78.1,79.7,81,81.8,77.8,83.1,83.6
"34","25","    Final sales of domestic business \2\","A809RC1",NA,NA,NA,465.6,471.7,477.3,488.2,492.2,496.6,506.6,514.4,525.8,531,540,548.5,557.2,568.6,577.6,582.9,588.3,592.8,598.4,596.8,603,602.3,604.6,608.6,608.5,613.2,621.6,638.9,646.2,654.4,662.2,672.3,683.4,695.2,708.7,721.7,727.5,743.4,752.3,757,769.6,780.3,791.3,799.6,807,803.4,810.3,804.8,782.5,775.3,768.8,770.2,768.7,772.1,781.3,787.4,805.4,811,823.2,837.2,844.8,855.6,865.6,877.7,888.2
"35","26","    Final sales of goods and structures of domestic business \2\","A810RC1",NA,NA,NA,270.5,274.3,276.9,284.3,285.4,286.6,292.7,298.5,306.7,308.3,314.2,318.3,322.5,328.1,333,335.6,337,338.2,342,340.2,344.6,340.6,338.9,340.5,337.7,340.5,344.6,357.7,361.6,363.9,368.2,374.7,380.2,386.5,395.6,403.5,402.8,414.9,418.8,419,424.3,428.5,435,437.8,439.2,432.7,435,430.9,411.6,408.6,404.9,405,399.2,397.9,401,403.5,415.4,416.7,423.3,434.2,439.8,446.5,451.1,461.1,468.3
"36",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","27","    Private inventories to final sales","A811RC2",NA,NA,NA,2.76,2.74,2.73,2.69,2.7,2.69,2.64,2.59,2.55,2.56,2.54,2.55,2.57,2.56,2.56,2.57,2.59,2.57,2.52,2.49,2.4,2.4,2.4,2.41,2.45,2.47,2.42,2.38,2.39,2.42,2.45,2.45,2.46,2.48,2.43,2.44,2.48,2.45,2.47,2.51,2.49,2.5,2.5,2.51,2.57,2.67,2.75,2.74,2.59,2.52,2.48,2.42,2.46,2.5,2.48,2.54,2.58,2.69,2.69,2.66,2.66,2.67,2.63,2.64,2.63
"38","28","    Nonfarm inventories to final sales","A812RC2",NA,NA,NA,2.47,2.45,2.44,2.41,2.42,2.42,2.38,2.36,2.32,2.33,2.32,2.32,2.35,2.34,2.35,2.36,2.37,2.34,2.3,2.27,2.19,2.19,2.19,2.2,2.22,2.24,2.2,2.15,2.16,2.18,2.2,2.22,2.23,2.25,2.21,2.22,2.25,2.24,2.27,2.29,2.28,2.28,2.28,2.28,2.34,2.43,2.49,2.48,2.35,2.28,2.25,2.2,2.23,2.26,2.25,2.3,2.32,2.4,2.4,2.38,2.38,2.39,2.35,2.37,2.37
"39","29","    Nonfarm inventories to final sales of goods and structures","A813RC2",NA,NA,NA,4.24,4.21,4.21,4.14,4.17,4.2,4.13,4.06,3.98,4.01,3.98,4.01,4.06,4.05,4.07,4.1,4.13,4.1,4.02,3.98,3.83,3.87,3.91,3.94,4.01,4.04,3.97,3.83,3.86,3.92,3.96,3.98,4.01,4.05,3.97,3.96,4.07,4,4.07,4.13,4.13,4.14,4.14,4.17,4.3,4.5,4.64,4.63,4.47,4.33,4.27,4.19,4.3,4.39,4.38,4.48,4.51,4.67,4.68,4.58,4.57,4.58,4.51,4.52,4.49
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Inventories are as of the end of the quarter.  The quarter-to-quarter change in inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","calculated from current-dollar inventories in this table is not the current-dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","private inventories component of GDP.  The former is the difference between two inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","stocks, each valued at its respective end-of-quarter prices.  The latter is the change in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","physical volume of inventories valued at average prices of the quarter.  In addition, changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","calculated from this table are at quarterly rates, whereas, the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
