"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"11","3","  Structures","B009RX1",336.5,343.2,345.7,342.8,348.9,356.5,360.9,379.3,382.6,379.2,393.5,396.2,392,413.1,413.2,412.6,410.9,405.9,405.6,410.4,418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,463.8,474.4,469.9,457.5,415.3,375.4,354.9,323.7,301.5,306.9,310.1,318,305.9,321.9,332.1
"12","4","    Commercial and health care","W001RX1",125.8,127.6,127.3,126.2,126.6,134.7,139,145.6,151.9,145.8,153.8,151.9,153.6,161.7,159.7,165.9,164.6,166,166.7,166.9,168.1,175.8,181.5,183.3,181.7,175,163.3,154.3,151.5,144.6,139.5,135.6,130.8,132.3,135.6,136.6,134.6,139.8,139.5,134.6,136.9,136.3,134.5,136,139.1,143.6,147.5,146.5,153.5,158.4,161,161.3,159.8,157.8,153.1,140.2,122.2,111.2,100.4,89.7,83,80.2,79.2,77.5,73.4,77.3,81.3
"13","5","    Manufacturing","C307RX1",49.2,53.2,52.8,51.7,54.5,53.3,52.2,57.6,52.1,50.3,53.6,51.8,54.8,54.4,53,52.6,49,44.8,43.7,41.7,43.4,47.4,46.8,47.3,50.4,47.5,45.6,36.2,30.4,27.2,23.9,23.4,22.6,24.7,24.9,25,24.4,23.7,24.9,28.9,30.1,29.2,29.8,30.4,30.9,33.2,34.8,32.8,33.9,35.6,41.6,44.7,45.1,48.6,49.8,50.9,55.5,54.2,49.7,43.7,39.7,36.8,32.6,29.4,27.8,31,32.1
"14","6","    Power and communication","W003RX1",46.4,46.6,45.5,43,40.9,39,37.6,38.6,36.3,36.9,38.2,39.1,39.1,45.1,48.1,44.4,51.3,47.4,53.3,56.4,56.7,56.2,63.1,64.3,53.5,63.6,63.1,67.8,68.9,61.4,55.3,56.3,60.7,57.8,53.1,51.1,50.3,43.1,44.5,47,46.5,45.1,44.1,44.9,48.6,46.9,48.8,50.3,56.1,64,71.9,79.1,79.6,74.5,69.6,72.1,72.5,74.9,78.2,72.2,59.6,62,60.8,70.6,63.8,65.7,68.2
"15","7","    Mining exploration, shafts, and wells","E318RX1",57,51.8,50.8,51,53,56.8,56.9,57.7,65.1,67.2,65.4,66.3,60.1,59.9,58.6,52.3,47.1,50,46.7,51.5,54.3,60.2,63.3,66.1,71.7,73.7,76.5,65.6,51.8,50.1,54.5,53.9,54.1,60.7,62.6,62.7,65.8,70.6,71.7,71.4,76.6,81.2,76.1,74.4,80.5,89.3,90.9,92.3,89.9,94,97.5,93,92.8,102.2,105.4,105.6,86.6,60.7,58.5,57.3,63.6,73,83,87.2,88.9,95.6,97.5
"16","8","    Other structures \1\","W004RX1",54.8,56.9,61.4,63.6,67.2,67.8,70.1,73.3,74.9,78,79.2,83.7,78.4,83.8,84.8,85.7,84.6,85.4,81.2,82,84.6,86.2,87.7,84.5,79.3,79,93.4,75.2,71.3,70.8,67.2,66.4,64.3,68.2,67.3,66.5,65.7,68.4,68.5,67.3,65.6,62.8,62.6,63.9,65.7,70,70.7,72,71.6,79,83.5,87.1,89,92.2,92.2,88.3,80.3,78.6,71.7,63.4,57.2,55.2,53.5,50.9,49.4,49.1,50
"17","9","  Equipment and software","B010RX1",483.2,484.4,487.6,502.3,516,532.1,553.6,564,581.7,603.1,636.6,642,674.6,695.3,709.4,741.6,765.7,797.6,828.2,828.5,864.3,895,897.1,900.6,897.8,864.7,843,836.8,826,823.7,831.3,815.9,815.8,837.7,864.3,882.1,874.5,902.6,932.5,959.6,965.2,985.8,1012.5,1018.8,1062.5,1068.4,1073.8,1079.9,1092.4,1102.9,1109.8,1121.9,1117.2,1094.6,1056.8,969,883.7,874.2,888,912.9,958.8,1010.1,1044.1,1064.5,1086.9,1103.5,1148.7
"18","10","    Information processing equipment and software","A679RX1",138.4,145.3,148.5,157.1,165.4,172.6,180.9,187.1,198.9,210.2,226.3,235.1,250.7,261.4,270,286.4,302.1,324.6,339.6,342.5,365.4,384.2,391.3,403.8,403.4,386.6,376.2,371.9,369.6,372.9,380.3,372.7,383.7,389.4,411.2,430.5,431.4,438.7,446.6,455.4,461.6,470.9,481.5,487,507.4,511,522.1,524.8,546,548.5,558.5,579.7,583,583.3,571.7,540.7,529.9,535.5,553.7,574.1,581.2,596.1,608.5,624.5,625,638.4,641.6
"19","11","      Computers and peripheral equipment \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","      Software \3\","B985RX1",63.6,65.5,67.9,70.6,73.4,76.5,79.8,84.3,93.2,98.2,104.4,110.9,115.1,119.1,125,132.2,138.6,148.6,156.9,161.9,167.5,172.1,172.5,177.7,179.1,175,172.9,167.7,169.2,173.7,177.6,173.2,177.2,179.1,189.4,196.6,199.1,200.4,206.6,212.5,213.4,218.6,219.9,220.1,222.4,224.8,228.5,232.8,238.9,239.2,241.1,244.2,251,251.4,251.9,248.8,244.8,247.8,249.8,253.9,252,252.9,257.2,262.4,263.7,268.9,273.4
"21","13","      Other \4\","A937RX1",89.8,90.6,89.1,91,95.2,97.9,100.7,101.1,101.9,104.5,110.4,112.1,117.3,119.7,120.7,125.2,127.3,133.7,138.8,138.5,153.2,159.8,163.9,170.9,165.9,157.6,154.1,150.4,142.7,143.2,143.7,141.4,146.5,150.1,158.1,165.7,166,170,168.7,167.6,174.5,176.1,181.8,181.2,193.9,191.9,193.7,191.7,200.9,204.1,208,220.5,211.8,209.8,203.3,184.8,180,179.8,190.8,193.7,200.3,204.8,209.9,214.4,215.2,211.5,205.3
"22","14","    Industrial equipment","A680RX1",143.6,145.8,146.9,145.6,149,151.8,150.4,152.2,151.4,154.3,155.2,155.6,163.4,162,158.7,159.2,159,161.2,163.4,163.7,171.5,176,179.2,176.4,176.8,164.3,157.4,152.9,154.2,150.2,152,151.2,150.4,156.2,152,148,141.9,145.2,149.7,152.7,156.2,154.4,160.7,167.2,165.1,176.2,174.7,175.6,172.6,185,185.4,176.5,176.9,175.6,173.1,165.8,142.8,136.5,134.5,134.5,135.1,147.3,150.1,153.7,158.1,157.7,169.4
"23","15","    Transportation equipment","A681RX1",142.4,128.4,125.9,129.4,127.8,131.7,144,143.8,144.2,147.5,155.2,145.9,148.7,155.4,163.8,180.2,181.9,187.7,199.3,192.2,190.7,193.1,185.4,175.5,170.4,171.5,164.5,171.8,163.1,155.1,152.7,145.9,131.5,142.5,144,143.7,142.5,156.8,169,181.1,174.3,180.1,189.7,182.7,202.6,194.1,193.7,195.5,195.1,184.1,181.3,182.6,180.6,158.2,133.6,98.3,65.5,69.8,70.6,76.7,101.8,117.6,129.1,128.9,139.6,144.6,156.7
"24","16","    Other equipment \5\","A862RX1",111.2,110.4,109.8,111,112,113.4,116.4,117.4,120.2,122.2,129.8,131.3,136.8,140.7,139.9,137.7,142.4,140.3,141.9,145,149.1,152.5,150.1,150,152.2,148,150.6,146.3,144.5,149.6,149.3,149.2,151.2,151.5,157.8,159.6,158.2,161.7,167.2,170.6,173.2,180.3,180.5,181.7,187.3,187,183.4,184.3,179.9,185.8,185.6,185.6,180,181.1,181.9,168.3,154.4,143.5,142.3,142.3,153.8,160.5,167.1,168.9,174,173.8,187.7
"25","17","Residential","A011RX1",457.7,443,456.7,467,479.3,499.5,498.2,493,494.7,500.9,503.2,508.4,517.5,533,549,562.2,565.5,571.6,576.4,583.4,588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.7,698.2,704.5,731,738.4,744.2,757.8,775.4,783.3,783.5,775.2,740,697.3,660.2,631.3,611.4,570.7,523.4,481.3,462.8,437.8,395.8,354.9,334.3,348.2,344.8,330.8,348.2,321.1,323.1,321.1,324.4,326.3
"26","18","  Structures","A012RX1",451.6,436.9,450.6,461.1,473.6,493.8,492.6,487.3,489.2,495.4,497.7,502.8,511.8,527.1,543,556,559.1,564.9,569.4,576.4,580.7,576.6,566.3,566.6,569.3,577.4,580.5,575.2,590.8,605.4,609.1,618.4,624.5,638.5,671.1,689.3,695.4,721.7,728.9,734.5,748.1,765.6,773.5,773.5,764.9,730,687.3,650.2,621.3,601.5,560.7,513.5,471.6,453,428.3,386.9,346.2,325.9,339.6,336,321.7,338.9,311.8,313.6,311.5,314.8,316.7
"27","19","    Permanent site","A943RX1",275.2,259.6,265,274.8,284.5,300.1,297.6,293.3,292.7,296.5,293.8,299,306.1,316.4,330.7,340.9,344.5,343.9,346.8,355.2,359.2,354.8,343.5,344,348.7,354.9,356.5,349.7,355.3,366.6,370.2,374.4,382.4,387.5,408.2,432,434.6,448.9,456.3,456.7,469.7,477.6,483.9,492.1,490.3,456.9,421.4,386.6,361.4,345.2,318.8,281.2,248.5,232.7,207.4,178.8,143.1,121,128.4,128.3,127.5,132,123.2,118.2,118,116.6,118.9
"28","20","      Single family","A944RX1",247.7,232.4,235.8,244.9,253.2,266.3,267.6,262.5,259.5,262,260.8,263.9,272,283.9,297.4,307.2,309.6,308.4,309.5,318.6,323.9,318.8,309.2,308,312.1,318.1,319.6,311.9,316.6,327.2,331,335.8,342.9,348.2,367.6,391.6,393.9,406.5,412,412,423.9,430.2,435.9,444.1,442.4,409.4,374.6,338,314,301.8,278,242.1,209.6,193.2,168.4,142.4,109.8,93.3,106.9,112.2,115.6,121.8,113.1,108.1,108.4,106.7,108
"29","21","      Multifamily","C292RX1",27.3,27.1,29.1,29.8,31.1,33.7,29.8,30.6,33,34.2,32.8,34.9,33.9,32.4,33.3,33.8,34.9,35.5,37.2,36.5,35.4,36,34.4,35.9,36.5,36.7,36.8,37.7,38.5,39.3,39.1,38.6,39.4,39.3,40.6,40.4,40.7,42.4,44.3,44.7,45.8,47.3,48.1,48,47.9,47.5,46.8,48.2,46.8,43,40.3,38.5,38,38.3,37.5,34.5,31.1,25.9,20.9,16.5,13.1,11.9,11.5,11.5,11,11.3,12
"30","22","    Other structures \6\","A863RX1",176.3,176.7,184.8,185.7,188.7,193.5,194.7,193.6,196,198.5,203.1,203.1,205.1,210.3,212.2,215,214.7,220.8,222.4,221.3,221.6,221.8,222.5,222.4,220.5,222.4,223.9,225.3,235.1,238.5,238.6,243.7,242,250.8,262.7,257.5,260.8,272.8,272.6,277.8,278.4,288.1,289.6,281.3,274.5,273,265.9,263.9,260.4,256.9,242.5,232.9,223.8,221.1,221.5,208.6,203.7,205.4,211.8,208.3,194.8,207.4,189.1,195.9,194,198.6,198.3
"31","23","  Equipment","B013RX1",5.9,5.8,5.9,5.9,5.8,5.9,5.8,5.9,5.8,5.8,5.8,5.9,6,6.2,6.3,6.5,6.6,6.9,7.1,7.1,7.3,7.4,7.4,7.5,7.5,7.5,7.6,7.8,7.9,7.9,7.9,7.9,7.9,8.2,8.6,8.8,9.1,9.3,9.4,9.7,9.7,9.8,9.8,10.1,10.3,10.1,10.1,10,10.1,10,10,10.1,9.9,10,9.6,9.1,8.8,8.6,8.8,9.1,9.3,9.6,9.6,9.8,9.8,9.9,10
"32","24","Residual","A972RX1",-129.3,-113.1,-112.1,-104.4,-102.6,-105.6,-98.7,-96.2,-92.3,-83.9,-73.4,-70.3,-56.3,-54.9,-52.8,-42.5,-29.6,-19.2,-11.6,-15.9,-9.5,-4,-2.8,-0.6,-2.1,-10.6,-16.1,-8.1,-2.5,-1.4,0.1,-2.1,-0.4,-2.4,-1.2,0.3,-1.2,-1.5,-0.5,0.5,0,0.1,0.2,-0.2,-0.7,0.1,-1.3,-1.8,-4.1,-1.5,-0.7,-4.7,-5.7,-1.7,3.1,10.2,2,-9,-17.5,-29.4,-34,-37.5,-36.3,-37.4,-37.5,-41.5,-39.9
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Private fixed investment in structures","A349RX1",784.1,775.3,791.8,799.8,818.5,846.5,849.4,861.5,866.6,869.8,885.8,893.6,898.6,934.6,951,963.5,965.1,966.2,970.4,982.3,994.3,1006.7,1011.9,1014.1,1004.8,1014.6,1020.2,974.1,968.7,963.5,951.7,956.2,959.2,983.2,1015.6,1032.6,1036.7,1067.4,1078.1,1084.1,1104,1120.3,1120.7,1122.6,1129.6,1114.3,1082.2,1047.4,1030.1,1038.5,1025.1,988.9,950.5,944.8,916.9,865,780.6,717.4,707.4,669.7,631.9,654,632.2,642.6,627.3,648.1,661.2
"35","26","  Private fixed investment in equipment and software","A327RX1",489,490.1,493.3,508.1,521.7,537.9,559.3,569.8,587.4,608.9,642.4,647.8,680.6,701.5,715.7,748,772.3,804.4,835.2,835.6,871.6,902.4,904.5,908.1,905.3,872.2,850.5,844.5,833.9,831.7,839.1,823.8,823.7,846,872.9,890.9,883.5,911.9,941.9,969.3,974.9,995.6,1022.3,1028.9,1072.8,1078.5,1083.8,1089.9,1102.5,1112.9,1119.8,1132,1127.1,1104.6,1066.4,978.1,892.5,882.8,896.8,922,968.1,1019.7,1053.7,1074.3,1096.8,1113.4,1158.7
"36","27","  Private fixed investment in new structures \7\","W040RX1",743.8,734.9,744.9,754.3,772.1,797,799.5,812.9,816.2,817.8,829.8,833.3,841.2,872.7,888.6,900,903.1,898.5,902,916.8,927.8,938.8,942.8,944,936.5,945,934.9,906.2,893.8,887.8,879.2,879.5,883.3,900.5,923.6,946.1,946.6,964.2,974.9,978.4,999.9,1006.7,1005.5,1016.8,1029,1014.1,988.3,954.4,939.2,950.9,947.3,918.3,883.5,876.5,848.5,805.3,725.9,661.6,646.1,606.7,578.5,593.6,584.7,590.4,576.1,594.2,605.5
"37","28","    Nonresidential structures","A771RX1",336.7,343.4,345.8,342.8,348.8,356.3,360.5,378.6,381.8,378.5,392.7,390.7,391.4,412.6,412.8,412,410.3,405.4,405.2,410,417.8,435,451.4,453.3,441,442.6,428.6,403,381.1,360.8,345.2,340.4,336.9,346.8,345.9,344,341.8,345.6,348.7,348.8,354.7,353.2,345.7,347.8,363.4,382.5,392.2,393.9,404.2,430,454,462,462.9,473.3,468.8,456.4,414.4,374.7,354.5,323.6,301.6,307.1,310.3,318.1,306.2,321.9,332
"38","29","    Residential structures","A756RX1",410.1,395.3,402.7,414.6,426.5,443.7,442.2,438.4,438.6,443.3,441.6,447,454,464.8,480.2,492.2,496.9,496.9,500.6,510.5,513.9,508.4,497,496.2,500.5,507.4,510.7,506.8,515.6,529.2,535.7,540.6,547.7,555.2,578.8,602.6,605.3,618.9,626.4,629.7,645.1,653.5,659.8,669.1,665.8,631,594.7,558.1,531.2,515,484.6,445.1,407.2,387.6,362.9,330.8,294.6,272.1,279.2,273,268.3,278.1,264.8,261.9,260.5,261.4,261.7
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","because computers exhibit rapid changes in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","series; accurate estimates of these contributions are shown in table 5.3.2 and real growth rates are shown in table 5.3.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
