"","Table 3#12# Government Social Benefits                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","    Benefits from social insurance funds","A1588C1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30.3,35.1,38,45.7,54,59.2,69.4,81.6,104.5,114.9,124.1,132.3,148.7,178.1,206,238.5,257.7,263,278.6,295.6,307.8,325,352.2,382.7,421.7,467.8,492.1,513.1,542.2,573.7,597.2,608.8,623.4,655.5,715.2,776.9,811.6,842,895.2,995.6
"12","5","      Old-age, survivors, and disability insurance","TRP0251",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1,1.9,2.2,3,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16,18.1,19.8,21.1,24.6,26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173,183.3,193.6,201,213.9,227.4,244.1,264.2,281.8,298,312.1,327.7,342,356.6,369.2,379.8,401.2,425.1,446.7,463.4,485.2,512.6,544.1
"13","6","      Hospital and supplementary medical insurance","TRP0501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.7,5.9,6.7,7.3,8,8.8,10.2,12.7,15.6,18.8,22.1,25.5,29.9,36.2,43.5,50.9,57.8,64.7,69.7,75.3,81.6,86.3,98.2,107.6,117.5,132.6,145.4,163.2,179.1,195.7,206.6,205.8,209.1,219.6,243.5,260.8,277.9,302.8,332.8,402.3
"14","7","      Unemployment insurance","A1589C1",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.6,2.6,1.6,1.3,2.2,1.5,0.9,1.1,1.1,2.3,1.6,1.6,1.9,4.2,2.9,3.1,4.4,3.2,3.1,2.8,2.4,1.9,2.2,2.2,2.3,4.2,6.2,6,4.6,7,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,23.9,21.7,22.3,20.1,19.7,20.5,20.4,31.9,53.5,53.2,36.4,31.8,30.4
"15","8","        State","L311071",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.3,0.3,0.1,0.1,0.4,1.1,0.8,0.8,1.7,1.4,0.8,1,1,2,1.3,1.4,1.7,3.8,2.4,2.7,4,2.9,2.8,2.5,2.1,1.8,2.1,2,2.1,3.8,5.6,5.5,4.2,6.6,16.5,14.3,11.5,8.6,9.1,15.3,15.1,23.4,20.1,13.2,14.6,16,14.2,12.9,14,17.7,25.4,24.8,21.6,21.4,21,21.6,19.5,19.2,20,19.9,31.4,42.1,41.5,34.3,31,29.6
"16","9","        Railroad employees","TRP2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"17","10","        Federal employees","TRP1501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,1.5,0.8,0.4,0.4,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.7,0.7
"18","11","        Special unemployment benefits","B1590C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.7,0.2,0,0,0,1.1,5.5,2.3,0.8,0,0,0,0,0,0.8,13.5,11.9,1.7,0,0,0,0,0,0,0,10.7,10.9,1.4,0,0
"19","12","      Railroad retirement","TRP2501",NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.7,2,2.2,2.6,2.8,3.3,3.6,3.8,4,4.3,4.8,5.3,5.8,6,6.1,6.2,6.4,6.5,6.7,7,7.2,7.5,7.7,7.8,8,8,8.1,8.2,8.2,8.2,8.3,8.4,8.7,8.9,9,9.2,9.5
"20","13","      Pension benefit guaranty","B1044C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.5,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.7,2.3,2.4,2.8,2.8
"21","14","      Veterans life insurance","TRP3501",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,3.1,1,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.7,0.8,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6
"22","15","      Workers' compensation","TRP3751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.3,2.4,2.4,2.5,2.4,2.4
"23","16","      Military medical insurance \1\","B1606C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1,1,0.9,1,1,1.2,1.3,1.5,1.8,2,2.1,2.5
"24","17","    Veterans benefits","A1594C1",0.5,0.5,1.5,0.7,0.5,0.4,0.4,1.8,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.8,2.6,5,5.5,4.4,4.2,4,3.5,3.3,3.2,3.3,3.7,3.7,3.8,3.8,3.8,3.7,3.8,3.8,3.9,4,4.2,4.1,4.8,5.1,5.8,6.6,7.5,8.5,9.3,10.5,12.9,12.8,12.3,12.5,13,13.4,14.4,14.9,15,14.8,15,14.9,14.8,15,15.4,15.8,16.2,16.7,17.5,17.8,18.7,19.4,20.3,21.3,22.2,23.2,24.8,27.6,29.9,32.4,34.9,37.5
"25","18","      Pension and disability","TRP4501",0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.9,1.6,2,2.1,2.1,2.2,2.1,2.2,2.4,2.5,2.7,2.8,2.9,3.1,3.3,3.4,3.6,3.7,3.9,4,4.2,4,4.4,4.6,5.1,5.4,5.9,6.3,6.5,7.1,7.8,8.5,9.2,9.7,10.6,11.4,12.5,13.3,13.7,13.7,14,14.2,14.2,14.6,15,15.6,15.9,16.2,16.8,16.9,17.6,18.3,19.1,20,20.9,21.9,23.3,25.9,28,30.2,32.6,35.2
"26","19","      Readjustment","TRP5001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.3,1.8,1.9,1.9,1.7,1.2,0.6,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0,0,0.1,0.3,0.5,0.7,1.2,1.7,2.2,2.8,3.4,5.1,4.3,3.1,2.8,2.4,2,1.9,1.6,1.4,1.1,0.9,0.7,0.6,0.4,0.4,0.3,0.4,0.5,0.7,0.9,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.7,1.9,2.2,2.3,2.3
"27","20","      Other \2\","TRP5701",0.1,0.1,1,0.2,0.1,0,0,1.4,0.1,0.1,0,0,0,0,0,0.2,1.6,2.1,1.6,0.4,0.2,0.1,0.2,0.5,0.4,0.3,0.3,0.2,0.1,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","    Food stamp benefits","TRP6001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.2,0.3,1.1,1.7,2,2.2,3.4,4.6,4.6,4.4,4.6,6.3,8.2,10.1,9.9,11.1,10.7,10.7,10.6,10.6,11.2,12.3,14.7,18.3,21.3,22.2,22.8,22.4,22,18.7,16.5,15.5,14.9,16,18.6,22.1,25.6,29.5,29.4
"29","22","    Black lung benefits","TRP6501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,0.6,1.1,1,1,1,1,1,1.7,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6
"30","23","    Supplemental security income","TRP7001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.4,4.6,4.7,4.9,5.3,5.9,6.6,6.9,7.4,8.3,8.8,9.5,10,10.7,11.6,12.9,14.8,18.2,20.7,22.5,23.9,25.3,25.5,26.4,26.8,27.3,28.7,29.9,30.7,32.1,33.5,35.2
"31","24","    Direct relief","TRP7301",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Earned income credit","TRP7601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,0.8,1.3,1.3,1.2,1.2,1.2,1.1,1.4,1.4,2.7,4,4.4,4.9,8.3,9.4,11.4,15.4,19.2,21.7,23.2,26.2,27,26.7,32.9,38.5,41.9,49.2,51.6
"33","26","    Other \3\","TRP7801",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.2,0.3,0.2,0.1,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.7,1,1.3,1.4,1.7,2.1,2.4,2.6,2.6,2.9,5,4.3,4.7,6.1,6.8,10.9,10,8.2,8.9,9.6,9.6,10.1,10.5,11.3,13.6,13.5,14.7,16.1,17.2,16.6,17,17.2,19.7,19.8,20.7,21.2,26.4,30.1,30.2,37.5,36.2,34.7
"34","27","  State and local","B109RC1",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.4,271.7,305.2,332,353,383.8,403.8,400.8
"35","28","    Benefits from social insurance funds","A1595C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,11,10.7,10.4,10.6,11.5,12.7,13.9,15.2,16.2,16.9,17.9
"36","29","      Temporary disability insurance","S122001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.4,1.5,1.6,1.7,1.9,2.2,2.8,2.9,2.3,2.2,2.1,2,2,2.1,2.2,2.8,3.3,3.3,3.6,3.8,4.1,4.4
"37","30","      Workers' compensation","S123001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.2,1.4,1.6,1.8,2,2.3,2.7,3,3.3,3.5,3.9,4.7,5.5,6,7,7.8,8.5,9.1,8.8,8.6,8.9,8.7,8.3,8.4,8.7,9.4,10.6,11.6,12.4,12.8,13.5
"38","31","    Public assistance","A1596C1",0.1,0.2,0.2,0.4,0.6,0.8,1,0.7,0.9,1,1.1,1.1,1.1,1,1,1,1.1,1.2,1.6,1.8,2.3,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.5,3.8,3.9,4.2,4.6,4.9,5.3,5.7,6.6,8,10,11.6,14.3,17.3,19.6,21.5,22.1,26.9,29.6,32,34.3,37.6,44,49.6,53.1,58.4,62.3,67.2,73.3,78.5,85.3,94.9,111.1,138.2,160.2,174.9,185.8,195.8,201.9,205.2,212.9,228.3,245.4,275.9,300.3,319.3,347.6,365.1,358.9
"39","32","      Medical care","B1597C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.7,0.9,1.1,1.3,1.5,2,2.8,4.1,4.6,5.5,6.8,8.3,9.7,11.5,14.2,15.9,17.3,19.3,21.8,24.9,29.2,32.1,35.9,38.8,42.4,46.9,51.4,56.8,65,78.2,102.1,121.8,135.1,144.9,155,163.6,168.3,175.3,189.3,205,234.6,258.6,273.9,300.1,315.6,310.4
"40","33","        Medicaid","TRP8001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.6,0.8,1,1.1,1.4,1.9,2.7,4,4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170.2,184.6,199.5,227.3,250.1,264.6,289.7,304.4,299.2
"41","34","        Other medical care \4\","TRP8101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.6,0.7,0.7,1.1,1.5,1.9,2.1,2.2,2.8,3.2,3.6,3.7,4.1,5,5.2,5.5,5,5.5,5.4,5.4,5.2,5.1,4.7,5.5,7.4,8.5,9.4,10.4,11.2,11.3
"42","35","      Family assistance \5\","B1598C1",NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.3,2.8,3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.4,18.4,18.2,18.2
"43","36","      Supplemental security income \6\","B1599C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2.2,2.4,2.4,2.6,3,3.2,3.4,3.4,1.3,1.5,1.5,1.6,1.6,1.8,2,2,2.1,2,2.1,2.3,2.6,2.9,3.1,3.4,3.8,3.8,4.1,3.9,3.8,3.8,3.6,3.7,3.9,4.2,4.4,4.5,4.8,5,5.2,5.2,5.2
"44","37","      General assistance","B1600C1",NA,NA,NA,NA,0.5,0.7,0.8,0.4,0.4,0.5,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.7,0.7,0.8,1.1,1.2,1.2,1.2,1.2,1.4,1.6,1.7,1.9,2,2.2,2.3,2.5,2.6,2.9,2.9,3.2,3.5,3.6,3.5,3.6,3.4,3.3,3.5,3.6,3.6,3,3.8,6.1,7.3,9,7.2
"45","38","      Energy assistance","B1601C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.3,1.3,1.6,1.6,1.7,1.9,2.1,2,1.7,1.8,1.4,1.6,1.6,1.6,1.6,1.8,1.4,1.2,1.4,1.2,1.4,1.7,2.5,1.9,2.3,2.1,2.4,3
"46","39","      Other \7\","B1602C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.7,3.1,3,3,3.3,3.6,4.2,4.7,5.4,6.3,7,7.8,8.6,9.4,9.7,10.6,11.4,11.9,12.3,13.2,13.6,13.7,14.5,14.7,14.7
