"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"1","[Index numbers, 2000=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2004 11:57:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","B191RG3",15.115,15.335,15.59,15.912,16.093,16.276,16.563,16.555,16.514,16.405,16.267,16.272,16.206,16.279,16.608,16.881,17.47,17.564,17.621,17.848,17.862,17.944,18.083,18.149,18.163,18.204,18.266,18.327,18.405,18.44,18.432,18.457,18.531,18.636,18.771,18.898,19.086,19.265,19.485,19.604,19.832,19.971,20.124,20.23,20.407,20.497,20.554,20.588,20.68,20.711,20.77,20.853,20.903,20.995,21.093,21.186,21.21,21.249,21.305,21.36,21.482,21.538,21.596,21.671,21.732,21.754,21.794,21.923,22.001,22.073,22.18,22.282,22.38,22.479,22.578,22.717,22.857,23.071,23.293,23.498,23.611,23.759,23.977,24.242,24.503,24.777,25.017,25.367,25.622,25.966,26.345,26.678,27.051,27.437,27.655,28.009,28.429,28.809,29.097,29.329,29.814,29.989,30.264,30.62,31.025,31.542,32.147,32.703,33.371,34.11,35.164,36.24,37.077,37.622,38.324,39.005,39.443,39.866,40.405,41.096,41.781,42.452,43.036,43.762,44.493,45.35,46.133,47.074,47.929,49.092,50.102,51.088,52.209,53.362,54.572,56.105,57.566,58.582,59.661,60.704,61.563,62.33,63.193,63.866,64.413,64.881,65.542,66.02,66.838,67.439,67.989,68.392,69.18,69.542,69.876,70.299,70.66,71.001,71.455,71.96,72.514,72.904,73.45,73.948,74.564,75.296,76.178,76.786,77.588,78.342,78.913,79.433,80.389,81.326,82.053,82.689,83.662,84.194,84.772,85.2,85.766,86.212,86.587,87.042,87.729,88.204,88.599,89.03,89.598,89.98,90.525,90.958,91.554,91.891,92.281,92.734,93.302,93.615,94.064,94.455,94.963,95.291,95.541,95.864,96.096,96.284,96.62,96.901,97.274,97.701,98.022,98.475,99.292,99.78,100.241,100.687,101.478,102.273,102.676,103.078,103.364,103.738,104.123,104.571,105.163,105.44,105.87,106.27
"10","2","       Final sales of domestic product","B190RG3",14.947,15.162,15.397,15.735,15.905,16.087,16.376,16.381,16.347,16.241,16.105,16.11,16.048,16.123,16.449,16.707,17.28,17.366,17.433,17.663,17.68,17.765,17.906,17.979,18,18.044,18.107,18.169,18.243,18.278,18.272,18.298,18.373,18.478,18.613,18.737,18.921,19.099,19.316,19.435,19.661,19.801,19.955,20.062,20.237,20.325,20.383,20.415,20.51,20.539,20.597,20.679,20.73,20.823,20.921,21.013,21.036,21.076,21.132,21.186,21.308,21.365,21.422,21.498,21.56,21.583,21.623,21.751,21.829,21.903,22.009,22.112,22.21,22.309,22.408,22.547,22.686,22.901,23.124,23.328,23.44,23.59,23.81,24.074,24.338,24.612,24.853,25.204,25.458,25.802,26.182,26.512,26.882,27.269,27.487,27.838,28.254,28.632,28.921,29.154,29.64,29.813,30.083,30.438,30.846,31.36,31.962,32.524,33.183,33.909,34.948,36.028,36.857,37.406,38.104,38.79,39.231,39.652,40.187,40.879,41.563,42.23,42.829,43.56,44.288,45.143,45.92,46.854,47.708,48.869,49.867,50.844,51.957,53.1,54.317,55.851,57.288,58.308,59.393,60.446,61.315,62.083,62.942,63.618,64.151,64.626,65.294,65.762,66.571,67.167,67.722,68.138,68.942,69.309,69.65,70.074,70.439,70.794,71.255,71.751,72.295,72.681,73.228,73.735,74.369,75.104,76,76.602,77.401,78.158,78.726,79.249,80.206,81.149,81.875,82.529,83.492,84.03,84.597,85.024,85.601,86.047,86.422,86.877,87.568,88.038,88.433,88.867,89.431,89.819,90.376,90.807,91.399,91.737,92.131,92.593,93.175,93.491,93.938,94.34,94.85,95.191,95.455,95.784,96.037,96.232,96.579,96.865,97.244,97.679,98.005,98.459,99.288,99.779,100.241,100.691,101.473,102.279,102.687,103.086,103.365,103.737,104.132,104.585,105.198,105.474,105.906,106.313
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",26.666,27.168,27.769,28.382,28.673,28.984,29.434,29.208,28.907,28.583,28.261,28.074,27.872,28.046,28.668,29.26,30.394,30.604,30.553,30.937,31.03,30.944,31.075,31.017,30.909,30.819,30.827,30.808,30.968,30.951,30.753,30.652,30.671,30.682,30.844,30.972,31.181,31.464,31.877,32.1,32.483,32.687,32.947,33.099,33.564,33.624,33.579,33.524,33.75,33.834,33.971,34.064,34.042,34.187,34.248,34.345,34.422,34.375,34.443,34.451,34.54,34.596,34.675,34.776,34.798,34.793,34.906,34.979,35.085,35.075,35.146,35.234,35.379,35.537,35.617,35.588,35.887,36.121,36.38,36.666,36.802,36.949,37.28,37.588,37.884,38.273,38.566,38.968,39.261,39.692,40.163,40.572,41.006,41.449,41.615,42.052,42.399,42.789,42.919,43.011,43.505,43.586,43.845,44.134,44.733,45.496,46.411,47.177,48.066,48.865,50.49,52.259,53.5,54.093,55.223,56.071,56.44,56.731,57.348,58.231,58.883,59.616,60.062,60.774,61.656,62.864,63.935,65.202,66.538,68.097,68.942,69.734,71.072,72.334,73.77,75.427,77.185,78.205,79.562,80.318,80.995,81.613,82.409,82.637,83.172,83.81,84.226,84.722,85.271,85.474,85.713,85.872,86.564,86.827,86.941,87.009,86.803,86.789,87.065,87.251,87.801,87.998,88.364,88.789,89.009,89.676,90.947,91.45,91.973,92.867,93.398,93.622,94.641,95.62,96.239,96.499,97.717,98.345,98.65,98.721,98.874,98.932,98.878,98.975,99.643,99.581,99.675,100.05,100.382,100.401,100.661,100.684,100.815,100.775,100.918,100.949,101.275,101.356,101.304,101.139,101.379,101.432,101.174,100.923,100.602,100.349,100.367,100.084,100.138,100.114,99.869,99.718,99.73,100.119,100.097,100.053,100.184,100.869,100.878,100.688,100.471,100.244,100.026,99.961,99.436,99.451,99.572,99.563
"13","5","    Final sales","A325RG3",26.177,26.664,27.198,27.86,28.122,28.428,28.887,28.702,28.424,28.114,27.795,27.616,27.423,27.604,28.217,28.765,29.852,30.039,30.014,30.406,30.51,30.436,30.575,30.541,30.456,30.376,30.387,30.375,30.521,30.507,30.32,30.226,30.251,30.262,30.42,30.541,30.736,31.017,31.423,31.645,32.023,32.23,32.493,32.65,33.111,33.166,33.122,33.064,33.298,33.376,33.51,33.599,33.581,33.73,33.795,33.89,33.96,33.918,33.984,33.99,34.08,34.139,34.217,34.318,34.343,34.344,34.458,34.527,34.633,34.629,34.697,34.788,34.935,35.094,35.174,35.141,35.439,35.675,35.935,36.219,36.353,36.506,36.845,37.152,37.454,37.846,38.145,38.549,38.84,39.27,39.744,40.144,40.573,41.018,41.185,41.618,41.958,42.337,42.471,42.567,43.069,43.141,43.383,43.665,44.277,45.031,45.941,46.731,47.593,48.344,49.927,51.714,52.931,53.545,54.661,55.531,55.917,56.2,56.807,57.689,58.341,59.062,59.549,60.278,61.148,62.357,63.411,64.656,65.994,67.547,68.354,69.116,70.435,71.671,73.135,74.811,76.492,77.522,78.902,79.687,80.403,81.035,81.821,82.073,82.569,83.229,83.677,84.145,84.663,84.834,85.08,85.276,86.014,86.294,86.429,86.498,86.308,86.336,86.638,86.797,87.313,87.494,87.864,88.32,88.594,89.274,90.595,91.079,91.588,92.494,93.016,93.249,94.274,95.272,95.888,96.208,97.395,98.045,98.32,98.389,98.577,98.637,98.58,98.677,99.358,99.278,99.373,99.757,100.074,100.105,100.392,100.403,100.514,100.472,100.629,100.686,101.053,101.142,101.079,100.935,101.183,101.27,101.039,100.793,100.52,100.277,100.324,100.044,100.103,100.096,99.856,99.694,99.726,100.125,100.093,100.056,100.158,100.876,100.907,100.714,100.48,100.248,100.056,99.999,99.534,99.542,99.671,99.682
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
