"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","Business \1\","A195RX1","1,212,624.0","1,217,550.0","1,217,802.0","1,241,957.0","1,264,457.0","1,293,157.0","1,298,857.0","1,298,926.0","1,276,686.0","1,269,974.0","1,286,281.0","1,272,568.0","1,334,317.0","1,378,184.0","1,437,096.0","1,452,607.0","1,467,984.0","1,482,449.0","1,507,027.0","1,506,626.0","1,519,395.0","1,516,689.0","1,525,783.0","1,585,600.0","1,618,127.0","1,630,025.0","1,615,518.0","1,583,784.0","1,573,270.0","1,573,620.0","1,592,198.0","1,627,954.0","1,682,505.0","1,714,718.0","1,738,497.0","1,746,703.0","1,734,353.0","1,747,804.0","1,740,321.0","1,771,681.0","1,782,384.0","1,773,604.0","1,790,655.0","1,766,770.0","1,705,598.0","1,714,482.0","1,759,156.0","1,806,999.0","1,852,001.0","1,906,421.0","1,899,090.0","1,901,956.0","1,949,254.0","1,929,972.0","1,930,276.0","1,894,402.0","1,903,956.0","1,947,052.0","1,981,078.0","2,022,161.0","2,062,678.0","2,086,136.0","2,104,976.0","2,107,247.0","2,138,272.0","2,167,024.0","2,212,107.0","2,229,711.0","2,287,933.0","2,314,060.0","2,348,518.0","2,351,062.0","2,420,895.0","2,454,687.0","2,507,923.0","2,574,704.0","2,647,022.0","2,650,139.0","2,659,355.0","2,675,571.0","2,698,553.0","2,693,924.0","2,711,965.0","2,731,350.0","2,793,422.0","2,844,589.0","2,861,987.0","2,874,631.0","2,924,938.0","2,928,284.0"
"22","3","  Nonfarm \2\","A358RX1","1,165,641.0","1,194,186.0","1,163,690.0","1,223,502.0","1,236,766.0","1,235,205.0","1,245,749.0","1,240,626.0","1,232,342.0","1,224,275.0","1,241,003.0","1,228,718.0","1,281,000.0","1,327,538.0","1,400,287.0","1,415,417.0","1,442,351.0","1,449,784.0","1,468,327.0","1,472,214.0","1,487,927.0","1,479,219.0","1,482,989.0","1,552,132.0","1,580,336.0","1,587,596.0","1,579,168.0","1,547,552.0","1,529,228.0","1,529,102.0","1,550,509.0","1,588,879.0","1,645,111.0","1,671,205.0","1,694,999.0","1,709,453.0","1,697,652.0","1,708,261.0","1,701,112.0","1,728,595.0","1,750,057.0","1,739,983.0","1,756,401.0","1,725,298.0","1,661,491.0","1,669,258.0","1,721,486.0","1,776,465.0","1,815,339.0","1,874,001.0","1,867,177.0","1,863,482.0","1,918,951.0","1,895,304.0","1,888,261.0","1,847,298.0","1,859,141.0","1,908,027.0","1,944,751.0","1,988,778.0","2,029,282.0","2,050,979.0","2,072,779.0","2,073,338.0","2,098,201.0","2,131,891.0","2,181,205.0","2,199,783.0","2,262,944.0","2,287,158.0","2,319,477.0","2,318,981.0","2,389,240.0","2,427,175.0","2,476,119.0","2,546,682.0","2,618,830.0","2,627,066.0","2,642,984.0","2,653,713.0","2,671,633.0","2,665,136.0","2,683,274.0","2,704,118.0","2,769,672.0","2,823,101.0","2,840,842.0","2,852,931.0","2,902,639.0","2,905,598.0"
"23","4","  Farm","B359RX1","20,204.0","16,939.0","21,695.0","16,356.0","17,862.0","23,026.0","22,317.0","23,353.0","20,565.0","20,851.0","20,965.0","20,542.0","22,972.0","22,762.0","20,695.0","20,908.0","19,164.0","20,454.0","21,759.0","21,021.0","20,631.0","21,722.0","22,821.0","21,521.0","22,739.0","23,879.0","22,365.0","22,077.0","23,857.0","23,962.0","23,409.0","23,040.0","23,058.0","24,869.0","25,069.0","23,448.0","23,181.0","24,071.0","23,929.0","25,261.0","22,312.0","22,636.0","22,941.0","24,713.0","24,950.0","25,304.0","23,639.0","22,038.0","24,051.0","23,254.0","23,056.0","24,922.0","22,870.0","24,003.0","26,211.0","27,513.0","26,887.0","25,439.0","24,873.0","24,310.0","24,602.0","25,287.0","24,571.0","25,102.0","27,163.0","25,889.0","24,927.0","24,739.0","23,606.0","24,360.0","25,254.0","26,224.0","26,579.0","25,553.0","27,197.0","26,537.0","27,085.0","25,674.0","23,866.0","25,522.0","27,199.0","27,746.0","27,827.0","27,491.0","26,793.0","26,426.0","26,451.0","26,720.0","27,256.0","27,404.0"
"24","5","Households and institutions","A193RX1","148,804.0","149,588.0","151,203.0","153,530.0","156,513.0","159,295.0","161,843.0","164,121.0","166,105.0","168,565.0","171,484.0","174,841.0","178,581.0","182,150.0","185,525.0","188,709.0","191,578.0","194,518.0","197,409.0","200,230.0","203,319.0","206,250.0","209,290.0","212,544.0","215,660.0","218,897.0","221,851.0","224,549.0","227,297.0","230,566.0","234,568.0","239,309.0","244,723.0","249,721.0","254,288.0","258,451.0","262,130.0","265,772.0","269,279.0","272,656.0","276,047.0","279,578.0","283,384.0","287,483.0","291,702.0","295,873.0","299,814.0","303,556.0","306,763.0","311,509.0","316,769.0","322,796.0","327,949.0","333,505.0","338,042.0","342,839.0","345,813.0","346,205.0","349,687.0","356,809.0","361,293.0","365,995.0","371,370.0","376,899.0","378,969.0","381,750.0","386,057.0","389,162.0","392,936.0","398,455.0","402,020.0","406,291.0","410,649.0","416,029.0","423,042.0","429,108.0","432,623.0","434,850.0","441,697.0","446,263.0","449,199.0","453,872.0","459,584.0","465,857.0","471,297.0","477,388.0","483,382.0","488,404.0","494,196.0","499,903.0"
"25","6","  Households","B701RX1","86,282.0","86,684.0","87,310.0","88,120.0","89,102.0","90,206.0","91,393.0","92,650.0","93,970.0","95,588.0","97,491.0","99,670.0","102,082.0","104,412.0","106,625.0","108,726.0","110,644.0","112,584.0","114,481.0","116,319.0","118,357.0","120,224.0","122,112.0","124,110.0","125,964.0","127,933.0","129,719.0","131,345.0","133,036.0","135,065.0","137,579.0","140,583.0","144,021.0","147,173.0","150,029.0","152,603.0","154,859.0","157,091.0","159,247.0","161,328.0","163,437.0","165,552.0","167,777.0","170,133.0","172,464.0","174,923.0","177,341.0","179,732.0","181,871.0","184,720.0","187,587.0","190,761.0","192,968.0","195,883.0","198,484.0","201,747.0","204,146.0","204,175.0","206,357.0","211,146.0","213,389.0","216,025.0","219,318.0","223,016.0","224,011.0","225,517.0","228,207.0","229,849.0","231,857.0","235,471.0","237,141.0","239,562.0","241,671.0","244,647.0","248,780.0","252,388.0","253,282.0","253,957.0","258,395.0","261,489.0","263,338.0","265,844.0","268,389.0","270,753.0","271,537.0","273,328.0","275,498.0","277,851.0","281,144.0","284,896.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","62,432.0","62,869.0","64,159.0","66,234.0","69,044.0","71,268.0","72,924.0","74,007.0","74,489.0","75,132.0","75,925.0","76,853.0","77,924.0","78,890.0","79,781.0","80,604.0","81,302.0","82,060.0","82,819.0","83,588.0","84,404.0","85,300.0","86,312.0","87,446.0","88,661.0","89,838.0","90,931.0","91,938.0","92,890.0","93,988.0","95,271.0","96,745.0","98,408.0","99,988.0","101,487.0","102,913.0","104,211.0","105,497.0","106,722.0","107,897.0","109,039.0","110,386.0","111,945.0","113,704.0","115,689.0","117,355.0","118,752.0","119,893.0","120,703.0","122,508.0","125,057.0","128,184.0","131,799.0","134,685.0","136,632.0","137,743.0","137,744.0","138,270.0","139,424.0","141,199.0","143,713.0","145,838.0","147,768.0","149,206.0","150,430.0","151,776.0","153,234.0","154,799.0","156,675.0","158,273.0","160,428.0","162,300.0","164,809.0","167,278.0","170,073.0","172,433.0","175,725.0","177,641.0","179,754.0","180,974.0","181,988.0","184,236.0","187,748.0","192,256.0","198,101.0","203,278.0","207,739.0","210,639.0","213,101.0","214,793.0"
"27","8","General government \4\","A765RX1","495,161.0","474,412.0","467,876.0","458,287.0","456,744.0","449,527.0","453,076.0","456,284.0","455,568.0","455,095.0","452,810.0","445,476.0","439,822.0","446,789.0","455,818.0","491,642.0","505,444.0","542,480.0","569,174.0","574,733.0","585,598.0","594,374.0","598,710.0","597,882.0","602,560.0","605,592.0","607,789.0","605,236.0","604,286.0","604,622.0","606,852.0","608,462.0","607,867.0","604,923.0","608,880.0","611,980.0","613,097.0","616,043.0","623,054.0","627,307.0","629,083.0","632,724.0","637,207.0","632,705.0","631,275.0","635,478.0","643,640.0","646,736.0","643,643.0","645,848.0","649,202.0","653,544.0","660,282.0","671,134.0","673,154.0","677,411.0","683,971.0","688,010.0","696,202.0","708,654.0","714,434.0","719,798.0","724,666.0","726,293.0","731,963.0","739,517.0","748,020.0","751,757.0","757,821.0","765,480.0","771,953.0","778,238.0","779,266.0","788,105.0","798,852.0","810,672.0","821,188.0","834,632.0","851,687.0","868,157.0","878,261.0","882,827.0","894,010.0","899,825.0","912,253.0","922,797.0","929,726.0","929,674.0","937,003.0","944,439.0"
"28","9","  Federal","A766RX1","330,292.0","308,841.0","300,663.0","289,741.0","288,204.0","280,840.0","282,963.0","283,738.0","279,578.0","275,493.0","269,814.0","259,914.0","253,497.0","259,731.0","268,130.0","303,553.0","316,237.0","352,371.0","378,084.0","381,856.0","391,879.0","399,502.0","402,005.0","398,765.0","401,292.0","401,894.0","401,106.0","395,703.0","392,313.0","390,372.0","390,059.0","388,589.0","385,898.0","380,212.0","380,265.0","379,423.0","377,934.0","375,486.0","378,203.0","378,677.0","378,248.0","378,822.0","379,032.0","369,617.0","364,890.0","363,950.0","367,626.0","367,108.0","362,310.0","362,418.0","362,701.0","363,780.0","366,133.0","372,785.0","369,925.0","370,276.0","371,134.0","373,412.0","377,715.0","387,954.0","392,714.0","394,050.0","394,362.0","391,570.0","393,105.0","396,546.0","398,994.0","398,197.0","397,937.0","400,249.0","402,433.0","402,108.0","399,376.0","400,388.0","403,986.0","409,670.0","416,077.0","423,765.0","435,140.0","444,771.0","455,405.0","456,035.0","460,355.0","459,839.0","462,805.0","467,865.0","468,908.0","463,276.0","464,920.0","467,308.0"
"29","10","  State and local","A767RX1","170,270.0","172,939.0","175,301.0","177,083.0","176,939.0","177,081.0","178,541.0","181,094.0","184,789.0","188,717.0","192,356.0","195,134.0","195,878.0","196,462.0","197,066.0","198,009.0","199,378.0","201,008.0","202,867.0","204,804.0","206,066.0","207,522.0","209,449.0","211,699.0","213,912.0","216,309.0","219,187.0","221,714.0","223,918.0","226,021.0","228,450.0","231,330.0","233,230.0","235,674.0","239,533.0","243,383.0","245,868.0","251,075.0","255,399.0","259,117.0","261,257.0","264,291.0","268,493.0","272,950.0","276,071.0","281,183.0","285,778.0","289,394.0","290,974.0","293,067.0","296,150.0","299,449.0","303,900.0","308,292.0","313,019.0","316,892.0","322,546.0","324,346.0","328,333.0","330,968.0","332,217.0","336,201.0","340,636.0","344,804.0","348,909.0","353,079.0","359,088.0","363,478.0","369,681.0","375,034.0","379,348.0","385,869.0","389,485.0","397,233.0","404,416.0","410,679.0","414,947.0","420,911.0","426,968.0","434,116.0","434,239.0","438,074.0","444,929.0","450,967.0","460,246.0","465,816.0","471,547.0","476,629.0","482,201.0","487,175.0"
"30","11","Residual","A961RX1","-64,400.0","-74,400.0","-46,400.0","-67,700.0","-56,100.0","-22,300.0","-28,500.0","-27,300.0","-43,600.0","-44,600.0","-41,500.0","-42,100.0","-20,400.0","-18,600.0","-24,200.0","-42,800.0","-58,400.0","-72,700.0","-79,900.0","-87,600.0","-95,000.0","-96,700.0","-94,000.0","-90,300.0","-84,500.0","-81,200.0","-90,700.0","-95,700.0","-91,700.0","-92,200.0","-93,000.0","-90,000.0","-82,000.0","-71,100.0","-70,000.0","-75,700.0","-79,900.0","-77,800.0","-83,900.0","-78,800.0","-86,400.0","-90,000.0","-89,900.0","-87,300.0","-96,700.0","-97,600.0","-100,700.0","-100,300.0","-87,300.0","-83,600.0","-88,800.0","-87,800.0","-91,400.0","-99,000.0","-95,900.0","-101,200.0","-104,500.0","-104,000.0","-105,600.0","-109,100.0","-107,200.0","-106,300.0","-109,100.0","-109,100.0","-103,400.0","-107,000.0","-108,000.0","-108,600.0","-107,300.0","-106,900.0","-104,500.0","-106,100.0","-97,900.0","-101,400.0","-97,400.0","-97,600.0","-93,700.0","-104,200.0","-117,200.0","-119,400.0","-118,300.0","-120,700.0","-125,000.0","-127,900.0","-129,600.0","-131,300.0","-134,200.0","-133,300.0","-130,700.0","-134,400.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","12","  Gross housing value added","A2009X1","106,178.0","106,898.0","107,923.0","109,200.0","110,683.0","112,315.0","114,062.0","115,893.0","117,784.0","119,743.0","121,759.0","123,826.0","125,882.0","128,073.0","130,338.0","132,676.0","135,029.0","137,531.0","140,110.0","142,742.0","145,633.0","148,169.0","150,569.0","152,834.0","154,700.0","156,891.0","159,148.0","161,480.0","164,056.0","166,452.0","168,830.0","171,184.0","173,510.0","175,811.0","178,093.0","180,377.0","182,509.0","184,957.0","187,545.0","190,275.0","193,432.0","196,264.0","199,064.0","201,840.0","204,224.0","207,187.0","210,352.0","213,715.0","218,233.0","221,179.0","225,230.0","229,047.0","232,302.0","235,161.0","238,536.0","242,734.0","245,713.0","248,236.0","251,620.0","256,490.0","259,278.0","264,050.0","267,689.0","272,710.0","274,323.0","277,009.0","280,460.0","283,903.0","286,416.0","289,476.0","292,861.0","297,699.0","301,143.0","304,713.0","309,162.0","313,207.0","315,691.0","318,415.0","322,727.0","326,617.0","329,918.0","333,377.0","337,723.0","341,437.0","344,237.0","345,689.0","349,311.0","353,860.0","358,029.0","362,833.0"
