"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245"
"24","16","      Other household operation","B176RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.03,24.18,24.63,24.861,25.039,25.205,25.31,25.39,25.42,25.477,25.505,25.6,25.684,25.788,25.89,26.004,26.219,26.367,26.414,26.478,26.586,26.774,26.913,27.01,27.039,27.11,27.315,27.473,27.108,27.483,27.913,28.109,28.163,28.28,28.427,28.592,29.106,29.53,29.744,30.169,30.489,30.723,30.975,31.251,31.438,31.89,32.342,32.905,33.472,34.066,34.921,35.118,35.693,35.972,36.296,36.656,36.941,37.441,37.734,38.249,38.963,39.908,40.565,40.946,41.377,41.873,42.459,43.326,44.627,45.296,46.027,46.692,47.002,47.422,47.839,48.351,48.91,49.516,50.362,50.814,50.997,51.332,51.848,52.343,52.918,52.916,54.698,55.498,56.794,58.42,60.548,62.694,63.786,65.173,66.108,66.916,68.302,68.8,69.437,70.081,72.494,72.952,73.571,74.163,74.795,75.849,77.114,77.606,78.269,79.178,79.404,79.593,79.13,79.415,79.647,79.904,79.96,81.3,81.414,81.92,82.285,82.788,83.11,83.314,83.943,84.439,84.426,85.122,86.708,87.699,88.357,89.003,89.508,89.891,90.32,90.748,91.295,91.664,92.37,93.04,93.905,94.406,94.829,95.081,96.091,96.247,96.472,96.687,97.23,97.875,98.212,98.724,99.081,99.444,99.407,99.464,99.552,100.035,100.157,100.335,100.35,100.01,99.873,100.384,100.398,99.99,99.758,99.854,100.233,100.527,101.177,101.49,102.069,101.887,103.373,103.831,104.545,104.046,104.234,104.546,105.054,105.246,105.628,105.71,106.567,107.058,107.431,108.079,109.045,109.486,110.352,111.331,112.105,112.922
"25","17","    Transportation","B177RG3",9.186,9.161,9.17,9.202,9.299,9.561,10.146,10.574,10.543,10.553,10.596,10.805,10.865,10.866,11.069,11.337,11.549,11.716,11.897,12.088,12.052,12.235,12.542,12.736,12.795,12.971,13.151,13.288,13.292,13.392,13.441,13.537,13.579,13.64,13.674,13.722,13.864,13.966,13.994,14.018,14.197,14.373,14.526,14.739,14.815,14.91,15.029,15.147,15.224,15.394,15.525,15.601,15.708,15.74,15.815,15.949,16.069,16.217,16.307,16.379,16.482,16.597,16.56,16.542,16.589,16.633,16.662,16.703,16.812,16.845,16.926,17.024,17.113,17.238,17.363,17.513,17.543,17.609,17.829,18.026,18.169,18.336,18.508,18.661,18.897,19.101,19.272,19.544,19.927,20.278,20.574,20.94,21.6,21.868,22.259,22.668,23.13,23.661,24.166,24.301,24.47,24.578,24.79,25.003,25.223,25.509,25.792,26.127,26.456,27.088,27.841,28.598,29.261,29.903,30.504,31.424,32.371,32.853,33.247,33.454,34.101,34.813,35.618,36.511,37.093,37.309,37.042,38.436,36.237,40.777,42.727,43.455,43.863,45.157,47.043,50.94,52.899,52.575,51.098,50.964,52.465,53.439,55.483,56.786,57.097,53.364,59.607,57.802,57.469,60.101,61.122,60.302,61.988,60.711,62.778,60.188,62.15,62.507,62.857,63.913,64.744,65.188,66.314,66.753,67.538,68.436,69.846,70.671,71.95,72.523,72.65,73.072,74.422,75.348,75.578,76.604,76.866,77.094,78.785,79.145,80.467,80.817,80.697,82.767,84.311,84.832,85.721,86.296,86.873,87.196,87.406,87.64,88.079,89.45,90.283,90.595,90.34,90.953,91.88,92.891,92.569,93.127,93.404,94.26,94.968,94.961,95.598,96.06,96.574,97.364,97.785,98.389,98.952,99.681,100.33,101.037,101.541,101.582,101.691,101.951,102.035,102.862,103.071,103.73,104.408,105.522,106.597,107.28,107.496,107.762,108.593,109.375,110.431,112.018,113.518,114.671,115.322,116.902,117.691,117.941,118.12,118.621
"26","18","    Medical care","B494RG3",6.398,6.532,6.879,7.016,6.956,7.005,7.073,7.005,6.958,6.954,6.952,6.965,6.986,6.975,7.035,7.104,7.138,7.13,7.098,7.205,7.364,7.492,7.638,7.709,7.894,7.934,8.051,8.141,8.282,8.323,8.359,8.392,8.513,8.522,8.527,8.599,8.669,8.654,8.697,8.797,8.938,9.003,9.129,9.23,9.308,9.313,9.434,9.545,9.541,9.627,9.707,9.832,9.833,9.992,10.123,10.228,10.258,10.28,10.354,10.423,10.498,10.585,10.634,10.695,10.744,10.787,10.88,10.942,11.043,11.125,11.211,11.316,11.405,11.502,11.593,11.687,11.821,11.981,12.171,12.38,12.53,12.682,12.898,13.129,13.394,13.645,13.88,14.103,14.302,14.568,14.779,15.038,15.294,15.603,15.84,16.091,16.296,16.544,16.807,17.029,17.27,17.412,17.631,17.769,17.883,18.141,18.383,18.664,19.017,19.492,20.088,20.655,21.113,21.595,22.066,22.713,23.142,23.459,24.135,24.73,25.203,25.947,26.539,26.913,27.572,28.189,28.823,29.419,30.073,30.545,30.899,31.688,32.679,33.604,34.455,35.428,36.494,37.456,38.664,39.826,40.842,41.662,42.699,43.466,44.42,45.201,46.052,46.952,47.939,48.798,49.43,50.059,50.752,51.312,51.789,52.234,52.717,53.166,53.542,54.063,54.42,55.242,56.095,56.931,58.036,59.301,60.512,61.698,63.052,64.233,65.476,66.663,67.909,69.102,70.34,71.494,72.37,73.378,74.307,75.33,76.355,77.34,78.347,79.301,80.23,81.163,81.989,82.706,83.618,84.398,85.289,86.205,87.129,87.719,88.282,88.968,89.418,90.095,90.632,91.283,91.79,92.387,92.917,93.305,93.977,94.775,95.245,95.699,96.303,96.835,97.459,98.147,98.762,99.524,100.478,101.236,102.48,103.329,103.954,104.592,105.034,105.64,106.445,107.361,108.302,109.586,110.76,111.924,113.24,114.311,115.217,116.068,117.298,118.147,118.984,120.092,120.693,121.609,122.655,123.466,125.221,125.983
"27","19","    Recreation","A490RG3",13.24,13.267,13.53,13.803,13.655,13.82,14.121,14.311,13.954,14.152,14.313,14.405,14.07,14.267,14.516,14.603,14.48,14.799,15.048,15.151,14.954,15.292,15.661,15.663,15.456,15.936,16.37,16.642,16.343,16.61,16.943,17.251,16.77,17.137,17.657,17.872,17.56,17.839,17.99,18.203,18.278,18.5,18.601,18.892,19.323,19.388,19.242,19.134,19.385,19.589,19.853,20.075,20.203,20.278,20.422,20.555,20.686,20.737,20.896,20.991,21.135,21.182,21.311,21.467,21.492,21.616,21.817,21.997,22.162,22.303,22.507,22.662,22.792,22.939,23.07,23.25,23.484,23.717,23.865,24.124,24.228,24.47,24.738,25.176,25.61,25.949,26.272,26.54,26.801,27.157,27.483,27.843,28.128,28.468,28.864,29.285,29.651,29.89,30.159,30.322,30.527,30.645,30.852,31.02,31.271,31.733,32.006,32.409,32.832,33.576,34.322,35.099,35.867,36.103,36.429,36.848,37.223,37.643,38.037,38.598,38.931,39.334,39.701,40.071,40.607,41.288,42.028,42.744,43.35,44.223,44.834,45.3,46.128,47.41,48.257,48.933,50.008,50.477,51.136,51.857,52.413,52.972,53.818,54.354,54.846,55.457,55.599,56.439,57.001,57.728,58.381,58.858,59.465,60.021,60.412,60.931,61.821,62.233,62.67,63.117,63.74,64.375,64.968,65.568,66.133,66.833,67.324,68.401,69.19,69.776,70.611,71.107,72.259,73.226,74.48,75.25,76.224,77.217,77.909,78.436,78.635,79.454,80.068,80.591,81.084,81.865,82.349,83.018,83.414,83.482,83.731,84.125,84.767,85.479,86.018,86.677,87.359,88.18,88.983,89.705,90.314,90.916,91.719,92.107,92.853,93.361,93.73,94.449,95.129,96.108,96.84,97.61,98.678,99.441,100.647,101.234,102.094,103.087,103.779,104.489,104.982,106.014,106.834,107.572,108.42,108.937,109.602,110.02,110.936,111.672,112.409,113.253,113.919,114.542,115.535,116.661,117.381,118.614,119.414,118.932,119.1,120.296
"28","20","    Other","B178RG3",8.862,8.92,9.24,9.42,9.487,9.635,9.807,9.855,9.868,9.922,9.991,10.067,10.121,10.129,10.305,10.557,10.799,10.887,10.952,11.035,11.079,11.119,11.219,11.266,11.564,11.669,11.84,11.957,12.081,12.087,12.145,12.25,12.432,12.52,12.684,12.93,13.151,13.277,13.435,13.587,13.743,13.786,13.891,13.965,14.069,14.06,14.177,14.282,14.806,14.593,14.642,14.793,14.913,15.061,15.23,15.365,15.33,15.362,15.475,15.583,15.739,15.864,15.904,15.974,16.06,16.061,16.142,16.252,16.406,16.523,16.66,16.784,16.873,16.951,17.034,17.17,17.41,17.644,17.851,18.036,18.073,18.201,18.311,18.488,18.733,18.994,19.309,19.627,20.023,20.387,20.719,20.995,21.22,21.439,21.665,21.985,22.21,22.468,22.745,23.055,23.364,23.604,23.849,24.129,24.132,24.702,25.562,26.164,27.122,28.147,28.884,29.5,30.146,30.66,31.451,31.682,31.931,32.197,32.649,32.964,33.582,34.016,34.702,35.331,36.327,37.256,38.218,38.871,39.688,40.473,41.566,42.525,44.084,45.278,46.221,47.209,48.421,49.194,50.136,50.719,50.922,51.391,52.232,53.276,54.091,54.887,55.713,56.242,56.727,57.174,57.43,57.921,58.915,59.359,59.409,60.792,62.191,63.184,64.204,65.299,65.552,65.402,66.172,66.983,68.22,68.919,69.674,70.014,70.83,71.063,71.246,71.703,72.345,74.172,74.742,75.259,76.614,76.95,78.069,79.211,80.987,81.533,82.513,82.881,82.891,83.865,83.978,84.022,84.264,84.897,86.573,87.081,87.326,88.088,88.777,89.291,90.085,90.911,91.756,92.725,93.524,94.293,94.772,95.312,95.872,95.679,96.099,97.05,97.18,97.782,98.244,99.087,100.784,100.253,99.467,99.496,100.657,101.771,102.009,104.06,104.693,105.419,106.264,106.847,107.689,108.675,109.495,110.527,111.677,112.943,113.983,114.949,115.759,116.937,117.853,118.594,119.454,120.587,121.378,122.835,123.408,124.15
"29","21","Gross private domestic investment","B006RG3",19.953,20.749,21.461,21.706,21.997,22.474,23.104,23.244,23.171,23.127,22.876,22.782,22.747,23.088,23.73,24.266,25.176,25.566,25.668,25.903,26,26.088,26.102,25.982,25.924,26.03,26.221,26.154,26.197,26.299,26.279,26.291,26.265,26.436,26.763,27.125,27.696,27.992,28.476,28.682,28.955,29.072,29.257,29.364,29.074,29.217,29.248,29.316,29.333,29.448,29.531,29.582,29.606,29.657,29.636,29.577,29.531,29.544,29.534,29.54,29.555,29.573,29.568,29.535,29.545,29.483,29.383,29.456,29.364,29.599,29.636,29.938,29.952,30.014,30.058,30.404,30.265,30.752,30.76,31.125,31.265,31.39,31.561,31.936,32.227,32.521,32.7,33.407,33.75,34.104,34.375,34.827,35.089,35.851,35.743,36.168,36.797,37.34,37.757,38.078,38.528,38.78,39.189,39.751,40.099,40.806,41.659,42.126,42.954,44.256,46.043,47.799,49.519,50.66,51.251,51.956,52.406,53.295,54.046,54.87,56.027,57.093,58.217,59.371,60.525,61.762,62.97,64.269,65.566,67.245,68.934,70.363,72.016,73.715,75.209,76.756,78.983,80.697,81.982,83.451,84.487,85.432,85.917,85.982,85.611,85.175,84.984,85.179,85.36,85.792,86.039,86.188,86.366,86.449,86.762,87.302,87.654,88.218,88.923,89.6,89.941,90.086,90.239,90.89,91.569,92.092,92.411,93.344,93.832,94.378,94.78,95.244,95.755,96.027,96.644,97.088,97.873,97.784,97.826,97.514,97.243,97.279,97.415,97.645,98.143,98.459,98.68,98.804,99.388,99.663,99.979,100.222,100.663,100.985,101.088,101.027,100.622,100.307,100.623,100.528,100.373,100.189,100.13,99.937,99.328,99.035,98.915,98.863,99.036,99.003,98.855,98.993,99.496,99.788,100.253,100.463,100.454,100.839,101.355,101.405,101.347,101.472,101.512,102.229,102.941,102.759,103.093,103.971,105.01,106.217,107.246,108.271,109.653,110.407,111.493,113.065,114.175,114.891,115.335,115.958,116.532,116.624
"30","22","  Fixed investment","B007RG3",18.714,19.446,19.937,20.347,20.556,21.014,21.666,21.909,21.874,21.836,21.587,21.509,21.5,21.855,22.472,22.899,23.677,24.031,24.216,24.466,24.593,24.711,24.746,24.693,24.703,24.835,25.036,24.987,24.998,25.101,25.098,25.119,25.112,25.286,25.604,25.95,26.492,26.777,27.242,27.443,27.708,27.833,28.024,28.139,27.881,27.995,28.025,28.087,28.133,28.24,28.316,28.359,28.394,28.451,28.434,28.375,28.318,28.338,28.321,28.323,28.34,28.365,28.356,28.323,28.339,28.289,28.187,28.253,28.159,28.409,28.441,28.753,28.771,28.831,28.877,29.224,29.064,29.574,29.569,29.938,30.071,30.21,30.4,30.775,31.081,31.383,31.574,32.291,32.633,32.983,33.258,33.688,33.942,34.707,34.599,35.01,35.616,36.139,36.571,36.897,37.365,37.597,37.973,38.525,38.899,39.584,40.42,40.927,41.692,42.899,44.584,46.384,48.051,49.191,49.769,50.525,51.006,51.894,52.624,53.45,54.622,55.671,56.931,58.145,59.273,60.511,61.684,62.936,64.241,65.911,67.529,68.884,70.486,72.117,73.673,75.272,77.307,79.051,80.383,81.939,83.066,84.027,84.485,84.609,84.194,83.855,83.739,83.858,83.937,84.306,84.564,84.787,85.054,85.169,85.527,86.077,86.471,87.136,87.896,88.501,88.772,88.884,89.046,89.772,90.584,91.134,91.556,92.449,92.907,93.469,93.851,94.338,94.862,95.168,95.772,96.365,97.069,97.056,97.018,96.698,96.517,96.555,96.687,96.92,97.446,97.727,97.953,98.096,98.648,98.965,99.348,99.573,99.981,100.31,100.439,100.437,100.117,99.816,100.114,100.064,99.914,99.793,99.807,99.626,99.105,98.834,98.769,98.736,98.922,98.925,98.79,98.916,99.481,99.788,100.252,100.479,100.41,100.856,101.399,101.427,101.348,101.48,101.532,102.279,103.067,102.865,103.207,104.111,105.165,106.382,107.404,108.429,109.837,110.618,111.759,113.403,114.485,115.169,115.592,116.162,116.718,116.834
"31","23","    Nonresidential","B008RG3",22.229,22.939,23.555,23.975,24.11,24.808,25.697,26.074,25.887,25.839,25.727,25.569,25.597,25.844,26.386,27.295,28.238,28.717,28.975,29.291,29.447,29.524,29.426,29.432,29.439,29.666,29.899,29.877,29.988,30.14,29.926,29.976,29.87,30.046,30.539,31.195,32.078,32.346,33.184,33.63,34.16,34.346,34.583,34.852,34.461,34.652,34.71,34.811,34.87,35.068,35.226,35.294,35.3,35.335,35.299,35.165,35.116,35.08,35.043,35.063,35.064,35.113,35.104,35.066,35.091,35.072,35.098,35.092,35.094,35.258,35.265,35.457,35.509,35.6,35.701,35.878,35.817,36.174,36.25,36.582,36.776,36.964,37.208,37.569,37.835,38.209,38.536,39.145,39.422,39.782,40.19,40.679,41.114,41.822,42.062,42.632,43.219,43.757,44.144,44.399,44.917,45.234,45.524,45.792,46.151,46.801,47.506,48.001,48.839,50.379,52.512,54.901,57.071,58.553,59.294,60.134,60.807,61.566,62.385,63.313,64.642,65.646,66.799,67.947,68.947,70.096,71.246,72.489,74.027,75.688,77.307,78.738,80.492,82.353,84.101,85.846,88.316,90.502,92.137,94.027,95.287,96.31,96.762,96.824,96.079,95.489,95.143,95.015,94.924,95.216,95.279,95.362,95.595,95.697,96.008,96.445,96.611,97.278,97.953,98.423,98.41,98.258,98.15,98.921,99.815,100.296,100.694,101.694,102.103,102.472,102.923,103.427,103.899,104.204,104.93,105.745,106.671,106.495,106.215,105.874,105.736,105.421,105.335,105.153,105.472,105.508,105.47,105.497,105.837,106.066,106.174,105.954,106.056,106.353,106.383,106.165,105.552,104.926,104.915,104.651,104.245,103.89,103.589,103.061,102.22,101.591,101.133,100.739,100.632,100.235,99.737,99.625,99.772,99.841,100.191,100.195,99.605,99.743,99.818,99.564,99.542,99.485,99.38,99.645,99.664,99.341,99.509,99.849,100.123,100.729,101.048,101.686,102.816,103.439,103.846,105.009,106.025,106.764,107.267,107.789,108.301,108.39
"32","24","      Structures","B009RG3",10.388,10.522,10.893,11.262,11.56,11.881,12.187,12.295,12.095,11.92,11.858,11.884,11.852,11.82,12.077,12.591,13.099,13.42,13.64,13.762,13.88,13.831,13.803,13.836,13.872,14.072,14.254,14.23,14.038,13.893,13.897,13.917,13.952,14.067,14.259,14.579,15.223,15.175,15.586,15.74,15.909,16.108,16.194,16.155,15.718,15.816,15.879,15.93,15.82,15.913,15.974,15.985,16.042,15.945,15.869,15.761,15.761,15.793,15.814,15.871,15.896,15.951,15.934,15.983,16.034,16.07,16.11,16.128,16.106,16.288,16.308,16.564,16.595,16.716,16.761,17.092,17.045,17.424,17.45,17.672,17.748,17.843,17.965,18.218,18.463,18.699,18.851,19.326,19.603,19.92,20.192,20.58,20.788,21.437,21.494,21.842,22.298,22.81,23.319,23.732,24.195,24.496,24.821,25.303,25.68,26.226,26.954,27.616,28.357,29.592,30.971,32.259,33.212,33.813,34.105,34.514,34.709,35.341,35.867,36.368,37.51,38.196,39.045,39.852,40.726,41.852,42.887,44.063,45.281,46.675,48.13,49.167,50.024,51.05,52.137,53.749,56.084,58.025,59.677,61.734,63.054,63.709,63.896,63.603,62.508,61.866,61.733,61.648,61.721,62.33,62.726,63.095,63.57,63.72,64.056,64.414,64.679,65.024,65.314,65.656,65.662,65.925,66.281,66.926,67.991,68.662,69.335,70.076,70.671,71.504,72.053,72.6,73.208,73.726,74.336,74.789,75.461,75.581,75.559,74.82,74.8,75.084,75.427,76.009,76.61,77.278,77.916,78.605,79.245,79.735,80.712,81.861,82.844,83.392,84.293,84.987,85.069,85.41,86.535,87.165,88.047,88.854,89.813,90.81,92.138,93.157,93.926,94.674,95.302,95.88,96.513,97.331,98.482,99.366,100.455,101.697,103.196,104.835,106.512,107.069,108.065,109.455,110.612,111.988,113.295,113.239,113.894,115.058,116.96,119.118,122.026,125.544,129.388,132.114,136.453,142.098,146.516,150.294,152.344,154.071,155.637,155.417
"33","25","      Equipment and software","B010RG3",31.539,32.864,33.594,33.9,33.723,34.715,36.156,36.806,36.736,36.937,36.795,36.389,36.508,37.123,37.887,39.023,40.242,40.745,40.926,41.422,41.564,41.824,41.654,41.605,41.556,41.705,41.896,41.885,42.512,43.171,42.649,42.727,42.414,42.601,43.373,44.277,45.068,45.8,46.946,47.691,48.604,48.641,49.03,49.746,49.739,49.996,49.999,50.137,50.51,50.794,51.042,51.184,51.079,51.361,51.433,51.347,51.229,51.069,50.936,50.864,50.811,50.816,50.83,50.639,50.6,50.488,50.47,50.424,50.467,50.502,50.483,50.444,50.506,50.491,50.639,50.443,50.391,50.536,50.664,51.025,51.325,51.579,51.912,52.288,52.471,52.902,53.367,53.93,54.094,54.378,54.833,55.277,55.891,56.403,56.826,57.506,58.052,58.418,58.477,58.412,58.83,59.058,59.197,59.09,59.317,59.917,60.4,60.553,61.299,62.818,65.331,68.449,71.539,73.71,74.805,75.949,77.025,77.752,78.719,79.926,81.194,82.346,83.603,84.9,85.859,86.837,87.896,88.97,90.565,92.205,93.693,95.263,97.644,100.042,102.152,103.635,105.677,107.648,108.887,110.096,110.931,112.143,112.808,113.289,113.135,112.725,112.209,112.05,111.811,111.724,111.438,111.218,111.156,111.193,111.428,111.874,111.929,112.804,113.729,114.25,114.211,113.723,113.234,114.017,114.667,114.942,115.076,116.179,116.399,116.378,116.714,117.137,117.459,117.568,118.314,119.331,120.37,119.992,119.555,119.499,119.285,118.606,118.259,117.625,117.768,117.45,117.042,116.714,116.892,116.985,116.648,115.761,115.446,115.621,115.235,114.593,113.667,112.609,112.094,111.435,110.463,109.611,108.783,107.624,105.898,104.615,103.676,102.845,102.476,101.732,100.844,100.413,100.212,100.005,100.102,99.681,98.376,97.996,97.497,96.964,96.607,96.087,95.598,95.534,95.173,94.774,94.799,94.902,94.708,94.872,94.477,94.344,94.759,94.827,94.24,94.281,94.423,94.379,94.47,94.667,94.892,95.066
"34","26","        Information processing equipment and software","B679RG3",200.491,207.542,211.447,212.869,210.342,211.621,213.781,214.781,214.807,213.584,213.199,214.999,218.109,215.862,218.456,222.624,230.491,231.986,233.433,231.45,233.085,230.964,225.09,221.761,224.639,226.721,227.654,228.738,225.262,227.944,228.404,235.055,234.062,230.747,230.361,232.106,238.632,229.473,244.041,241.458,248.299,247.37,246.781,257.349,251.733,253.249,253.61,253.176,253.301,254.344,256.091,257.104,254.203,255.347,253.568,252.242,251.221,252.476,248.745,249.161,247.021,246.582,243.727,240.783,237.897,236.766,235.123,233.64,233.797,233.346,231.08,230.898,229.675,225.966,227.294,221.875,218.686,216.214,213.153,211.63,211.892,211.702,212.327,211.833,210.373,210.131,209.944,211.24,211.811,211.736,212.226,212.917,214.733,215.02,213.828,213.17,211.729,210.08,208.304,206.867,205.886,204.614,203.972,204.076,206.239,207.459,206.412,204.53,204.107,207.991,211.904,216.108,220.988,223.307,223.334,224.027,224.752,225.235,225.275,224.137,224.86,223.951,221.464,217.852,215.812,214.376,212.975,211.754,212.646,213.102,211.971,211.041,212.118,213.09,214.144,215.311,217.692,219.167,219.223,218.844,219.102,220.799,221.34,222.144,219.131,216.082,213.456,211.523,208.845,206.81,204.692,203.231,201.498,199.279,197.284,195.422,192.455,191.583,193.068,192.561,189.897,187.214,184.949,186.125,186.548,184.625,183.414,183.52,182.917,181.075,179.789,178.134,176.619,175.678,175.719,175.577,175.934,174.252,171.648,169.425,167.187,164.377,162.553,160.533,159.99,158.239,156.573,154.801,153.485,152.175,150.422,148.238,146.9,145.547,143.126,140.253,137.071,133.391,131.025,128.738,126.157,123.804,121.149,118.439,114.566,111.591,109.066,106.752,105.272,103.674,102.326,101.306,100.74,100.14,99.956,99.164,96.977,96.016,94.398,93.427,92.652,91.578,90.881,90.14,89.021,88.505,87.637,86.394,85.791,85.365,84.776,83.928,83.436,82.889,82.152,81.591,81.218,80.898,80.543,80.139,79.84,79.597
"35","27","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326905.215,273949.806,232875.588,215827.824,175515.743,237007.775,217338.442,194205.932,164577.238,179548.259,130333.295,134334.267,119750.448,122901.83,102921.652,86273.234,75759.599,72541.674,69089.563,66243.869,64686.524,62673.077,56503.784,53401.191,54200.709,48096.843,50726.843,43028.765,39389.132,35752.677,32144.317,30133.256,28882.076,28050.66,27919.351,26801.024,25334.945,24230.197,23023.793,22690.071,22312.35,21841.316,21245.017,20869.289,20851.16,20220.779,18817.473,17600.047,16523.141,15194.91,14064.646,13218.157,12466.341,12042.446,11623.29,11457.676,11834.534,11775.897,11131.686,10377.785,9761.106,9301.296,8983.966,8792.395,8824.588,8754.732,8445.477,8052.828,7623.568,7234.254,6911.43,6692.076,6757.885,6539.227,6049.39,5421.39,4787.749,4308.719,3954.156,3702.641,3713.259,3606.677,3399.162,3162.725,2997.602,2784.222,2591.332,2461.253,2464.414,2438.08,2367.208,2251.924,2177.559,2143.146,2105.68,2094.137,1935.573,1816.817,1708.994,1642.31,1536.773,1458.01,1396.246,1356.046,1295.587,1242.901,1199.806,1147.461,1069.818,1040.649,1052.816,1045.468,958.693,900.653,861.319,864.241,856.27,834.105,822.679,816.848,809.028,781.043,771.355,748.015,716.137,706.624,704.895,693.631,674.873,653.435,614.826,591.387,578.624,551.75,525.035,507.588,491.244,467.529,448.608,430.641,421.65,413.441,399.976,381.361,363.883,349.431,329.68,309.774,286.862,262.976,248.093,233.664,218.075,205.03,191.863,180.285,165,152.699,141.469,131.332,123.436,116.548,111.258,107.595,104.461,101.104,98.583,95.852,87.804,84.397,80.297,76.27,73.861,72.302,69.901,67.736,65.254,63.763,62.542,61.376,60.555,59.562,57.956,56.402,54.314,52.331,50.457,48.665,47.153,45.432,43.907,42.881,41.934,40.577
"36","28","          Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.219,147.815,147.351,146.385,143.131,140.531,138.498,136.969,137.159,137.242,137.371,137.442,134.359,133.012,131.281,129.464,128.408,127.072,126.442,126.177,127.492,127.991,128.488,128.285,126.31,125.483,124.257,123.169,121.807,121.182,120.429,119.88,119.753,119.451,119.042,118.945,119.155,119.195,119.538,119.955,120.12,120.002,120.694,121.337,122.612,122.616,122.623,122.301,120.826,119.88,119.304,118.47,117.72,117.424,117.391,117.45,118.728,119.639,120.15,120.54,121.139,123.215,125.644,127.737,129.484,129.468,129.597,130.099,129.764,129.65,129.997,130.399,131.456,131.604,131.286,130.519,128.655,128.196,128.007,128.4,130.493,131.476,132.637,133.809,134.186,135.261,135.754,136.267,138.34,139.533,140.928,142.162,143.332,143.825,144.302,144.417,143.692,142.973,142.111,141.331,140.737,140.728,139.838,139.116,139.109,138.061,137.347,136.073,134.076,132.783,131.972,131.705,131.946,131.776,131.71,131.397,131.43,131.02,129.948,128.552,126.304,124.67,122.984,121.27,120.24,119.476,119.106,119.194,120.863,120.016,118.632,116.487,111.843,109.416,107.974,107.104,108.618,108.696,108.432,107.786,106.087,105.055,104.293,103.797,104.275,104.5,104.243,103.695,102.984,102.107,101.229,100.437,99.714,99.396,98.419,97.491,96.206,95.843,95.755,95.474,96.296,96.861,97.367,97.665,98.428,99.498,100.952,101.122,100.784,101.197,99.916,100.088,99.712,98.485,98.603,98.368,97.485,97.461,96.65,95.225,94.921,94.647,94.706,93.824,94.221,94.325,94.209,94.259,94.769,95.505,95.824,95.737,95.74,96.067
