"","Table 5#7#5BM1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","Manufacturing industries","C300",20754,14385,11476,30101,23968,14165,14630,23748,21671,36931,215,40768,31512,36694,26624,15824,12448,18631,6504,9922,4193,28496,18711,-24483,-5926,13267,29163,3743,16397,-6290,28186,-1754,19929,5674,38055,26202,-14800,19241,-15215,21716,-9831,30282,15748,10762,-8732,22964,25925,-15482,33202,-52117,-41437,-507,-20964,-36015,-31122,-21052,-19972,-21194,-33184,-37711,2833,-31239,-17815,3088,-11789,6767,4890,12764,15883,-2182,-11866,26016,-21561,45785,-23963,3022,-5996,-23037,-24070,-6673,-18870,132,-13289,3200,-18249,12735,694,-8760,6050,24173,19453,10683,-22401,10405,37939,-5987,56417,41930,25957,1274,-2637,13655,38372,-9669,637,30666,16985,35114,45305,-9972,31167,26771,9545,25129,16186,16079,29932,23555,10226,-2692,13528,10401,1013,21946,28386,11143,-9899,3958,53120,7858,29977,35487,75855,-9786,6125,-50514,-49839,28437,-42375,794,-47417,-13883,8699,-86575,11995,-46143,-38730,-48852,-22970,-50645,-33139,-31980,-52705,13440,9164,-24556,133,30441,-129,-3162,-25179,41947,32975,26498,53044,42122,33801,48368,27091,7412,27962,82101,35765,9148,9762,7400,-26127,75123,37022,-1139,33355,5193,2360,12538,9251,16953,31553,30365,25463,-16343,-4749,-2437,12401,-10060,3836,20584,-5859,7715,8696,9623,22796,2996,1536,28420,4212,40104,-2868,19404,58332,17280,7992,11544,20412,10608,23976,1140
"12","4","  Durable goods industries","C30D0",15186,10830,928,20557,16892,9907,21494,10629,10924,25061,-7410,34759,33048,29673,26317,17940,11737,19850,2077,16036,9648,25560,7085,-6759,-16669,11140,22653,-8281,2688,-5265,25981,-7701,13339,-5685,24427,19191,-14710,17364,-8487,16630,-11015,22844,6314,17590,-10679,19867,25096,-6181,16625,-22378,-38012,-328,-15089,-22869,-27262,-16895,-23293,-19788,-30405,-34480,-3193,-4640,-21843,-5073,-11471,2455,-7800,4444,4257,-5907,-12317,27856,-11985,29735,-12923,-4004,1055,-26073,-19665,-10271,-11628,7627,-17368,19866,-11175,477,946,-1508,3586,16771,11745,4918,-5180,4605,20682,555,32546,30957,18680,5146,19399,912,33078,290,6690,16742,23715,9905,13907,-2855,19393,17540,6874,9981,22943,1209,30751,22689,3023,3495,25296,11061,3391,6515,4408,1442,147,3564,19860,15970,22589,35589,-4877,-9202,4066,-30163,-29652,-29088,-5725,655,-13659,18387,21303,9733,9208,-18979,-51560,-24038,-28474,-56532,-20026,-46661,-31368,-5700,2359,-16940,8723,14900,3304,9270,8872,34737,14274,19015,34273,19253,25071,16480,23947,15904,44725,25102,38814,9983,23413,20854,-2946,26430,31705,9962,26921,6202,21374,10201,23040,17306,36113,28992,4114,10882,6425,-6429,10738,13039,-3654,15944,199,12872,16305,-1749,36402,11460,2040,33150,6252,33312,12504,7116,41652,15648,19356,16596,18372,21672,23964,30180
"13","5","  Nondurable goods industries","C30N0",5568,3555,10548,9544,7076,4258,-6863,13119,10747,11869,7625,6009,-1535,7021,307,-2116,711,-1220,4427,-6114,-5454,2936,11626,-17723,10743,2127,6510,12023,13709,-1025,2204,5948,6590,11360,13628,7010,-90,1877,-6729,5086,1185,7439,9434,-6828,1947,3097,829,-9301,16577,-29739,-3426,-179,-5875,-13146,-3861,-4157,3321,-1406,-2778,-3232,6026,-26599,4029,8160,-318,4312,12690,8320,11626,3725,452,-1840,-9576,16050,-11040,7026,-7051,3036,-4404,3598,-7242,-7496,4080,-16666,-7073,12259,-252,-7252,2464,7402,7707,5765,-17220,5800,17257,-6543,23871,10972,7277,-3872,-22035,12744,5295,-9959,-6053,13923,-6730,25208,31399,-7117,11774,9231,2672,15148,-6757,14870,-818,867,7203,-6187,-11768,-660,-2378,15430,23978,9701,-10046,394,33260,-8112,7388,-101,80731,-585,2059,-20351,-20188,57525,-36650,139,-33758,-32270,-12604,-96308,2787,-27164,12830,-24813,5504,5887,-13113,14681,-21337,19140,6805,-7616,-8590,15541,-3432,-12431,-34051,7210,18701,7482,18771,22869,8730,31888,3144,-8492,-16763,56999,-3049,-835,-13651,-13454,-23181,48693,5317,-11102,6435,-1009,-19014,2338,-13789,-353,-4560,1373,21349,-27225,-11173,3993,1662,-23099,7490,4640,-6057,-5158,-7609,11372,-13606,-8464,-504,-4731,-2040,6792,-15372,12288,16680,1632,-11364,-5052,2040,-11064,12,-29040
"14","6","Wholesale trade industries","CWT0",39428,4796,16909,19347,24120,57932,-4597,20640,34009,25783,33155,32434,12418,44624,34615,7357,32383,411,11357,40395,29670,16532,22082,5344,9231,33362,22765,9093,7758,6337,33443,15129,14541,34573,35562,5134,24772,9202,14907,33153,11213,28607,17641,18858,4349,36718,25352,1477,-3794,-7287,-6446,12240,4172,-34993,-43428,-11998,-12869,-10633,-28054,-4941,-1984,-30181,11771,-3983,7951,12412,26097,-12461,-1469,-15445,-11767,21062,-21809,8279,-3828,8908,-17285,-5526,7460,-3066,-3750,28201,-3448,21679,-6155,33572,12721,-19966,41868,29975,59173,38832,-9257,32081,41718,-4711,75616,25828,25644,38945,3523,27458,24692,16342,-4559,32201,25721,41133,16499,40231,8561,42895,28107,16432,14757,45528,28423,25505,47776,-46449,-1945,21297,17454,11416,18039,16044,10790,3857,50629,-30736,33925,32315,39104,14856,-9590,43303,-19421,79285,29481,48198,-25990,-10879,42254,-6376,-25403,-97100,-88153,-73436,-82230,-107688,-93803,-66945,-83909,10289,37590,-71939,-9335,7733,20261,4357,19777,25017,64842,55651,53876,93990,-32871,9778,-3134,312,14565,15712,83951,24487,24379,14562,-65487,58534,7950,43284,3944,52047,-8676,38490,20608,21887,71338,22117,37492,3840,44228,-5360,67382,-24571,21806,30022,-29374,8111,-2273,51209,37293,76487,39992,13154,35316,28908,52080,47376,12276,17700,13032,45072,42960,49980,69756,27672
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","CWTD0",22709,8561,15671,17207,19708,41961,-13072,9156,28932,10110,14163,31912,17162,31603,27332,6631,21170,-1770,8783,35752,21310,17357,3843,15079,8009,21773,17056,-1096,19658,14666,13931,3071,14061,20550,29160,8030,11167,11593,11321,26923,10353,28291,10750,17222,-2255,21261,17417,-1755,5310,-11390,-13295,-5750,-13007,-43576,-27129,-20700,-16237,-3382,-38663,-12140,-10563,-19367,4099,2034,2684,-417,19321,4720,-1422,-12860,-2028,-4167,-7360,19979,623,8202,-9916,-2621,-6589,-2027,-7447,6313,-2538,33304,8726,21125,17475,-5178,31266,31523,25518,43912,13657,15583,22609,5175,38541,29747,19073,19536,13381,28609,26555,11490,-13783,38682,22640,13941,8955,20817,1637,51427,16169,12654,16882,22411,38694,26893,21331,-20424,16577,16037,6931,-17368,6657,-8916,-20882,-3452,16797,-19366,9225,36184,25853,9594,2053,24136,-3494,-9572,17754,34895,16853,-8013,3211,-5977,-24296,-85954,-83998,-58922,-64212,-61122,-54700,-56595,-39424,-9544,-18888,-37281,-16754,13195,26545,-10008,8393,5067,16849,25889,18926,17653,12734,10684,13013,29356,13322,-1467,61450,38334,23309,41749,10053,24078,10416,30529,23626,20649,21904,36787,36141,16288,27609,10407,27828,39636,8629,-12402,37314,-2674,15755,23859,-17887,8963,21116,30830,18981,1531,17289,44013,23472,33036,27936,29160,31512,22764,15648,23448,35880,408,36300,16512
"17","8","    Nondurable goods industries","CWTN0",16718,-3765,1239,2139,4412,15970,8475,11484,5077,15674,18992,521,-4743,13021,7282,725,11212,2181,2574,4643,8360,-826,18239,-9735,1223,11589,5709,10190,-11899,-8329,19512,12057,481,14023,6402,-2896,13605,-2391,3586,6230,860,315,6891,1636,6604,15458,7935,3231,-9104,4103,6849,17990,17179,8583,-16299,8702,3368,-7251,10608,7199,8579,-10814,7671,-6017,5267,12829,6776,-17181,-47,-2585,-9739,25228,-14449,-11699,-4451,706,-7369,-2905,14049,-1039,3697,21888,-910,-11625,-14882,12448,-4754,-14788,10602,-1548,33656,-5079,-22914,16497,19109,-9887,37075,-3919,6571,19409,-9858,-1152,-1863,4851,9224,-6481,3081,27192,7543,19414,6924,-8532,11938,3778,-2125,23118,-10272,-1387,26445,-26025,-18522,5259,10522,28784,11382,24960,31672,7309,33832,-11370,24700,-3868,13250,5262,-11642,19167,-15927,88858,11728,13303,-42843,-2866,39043,-399,-1107,-11146,-4154,-14514,-18017,-46566,-39103,-10349,-44485,19833,56478,-34658,7419,-5461,-6284,14365,11383,19950,47993,29762,34950,76337,-45605,-905,-16147,-29044,1243,17179,22501,-13848,1070,-27186,-75539,34456,-2466,12755,-19682,31398,-30580,1703,-15533,5599,43729,11710,9664,-35796,35599,7042,30068,-21898,6051,6163,-11487,-853,-23389,20379,18312,74955,22703,-30859,11844,-4128,24144,18216,-19236,-5064,-2616,21624,7080,49572,33456,11160
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","C42W0",30601,4205,22682,12630,20786,59058,-5425,18865,32758,18078,29528,28080,11405,39880,29578,8110,30941,202,12190,38766,25435,11093,15260,10590,10917,32187,16445,6254,4866,1766,33659,5600,14609,29670,34322,5415,18902,5675,14177,24495,13797,19006,9469,14812,2237,26754,24976,2998,-9722,-26,367,11685,11765,-30933,-32772,-7592,-4885,-6681,-21411,-6329,3760,-20165,7713,-8050,7215,10646,19524,-7030,-2275,-19744,-5588,23483,-10760,-333,852,7596,-13240,-5680,3746,-8935,7038,25853,-595,14905,-9630,34753,12193,-13995,31773,25088,63937,30362,-17973,40277,31503,-1498,58022,14025,12987,30345,2901,19889,16168,12462,2082,19502,10366,34613,-460,31221,12554,45492,20575,11992,20917,33041,15805,13400,36862,-41043,-3253,7955,15564,1178,13419,12771,3262,6512,30790,-18298,21004,24009,10325,-3124,-39340,38318,-13036,19299,38199,26891,-13081,-41472,21053,6695,-4830,-70262,-77790,-53906,-62617,-95018,-71961,-60963,-61070,4369,48940,-48093,-19420,3608,16623,-330,19371,20270,53815,50733,50276,86319,-38088,16367,-11869,-3629,11962,-6269,78472,27778,16818,12415,-61902,48367,-3528,51351,-3926,44362,-2065,27448,15217,24736,58689,5169,35331,-1498,40235,-11227,63401,-16604,23618,32085,-25333,-1470,7930,52581,34518,76388,39059,10080,42384,27756,54456,46008,14088,15600,17736,50868,36876,48636,66108,29352
"20","10","      Durable goods industries","C42WD0",14205,7124,22595,11003,16739,44994,-14337,9157,28205,2839,12930,27219,14281,28120,23562,8800,20104,-2634,9371,33451,15858,13689,-1633,17992,10726,19152,13034,-4165,18944,10376,16745,-3082,14139,17134,29118,6800,6856,9768,9531,20343,14517,21314,4215,12230,-1992,12474,15697,158,1679,-6925,-5872,-6292,-7622,-41888,-20276,-17647,-9686,1575,-34221,-12572,-5378,-17416,1303,-2557,464,1702,12603,6381,-2244,-15433,-2435,-2160,-4977,17478,4563,7948,-7609,-1637,-6970,-5953,1220,2573,-1938,26305,2482,25150,18109,-655,30906,24836,31841,38132,1397,21231,20340,5723,35565,19471,7732,15161,7890,28789,20240,3607,-5402,32885,9327,16820,131,17656,10721,50069,12590,6461,18671,11447,25326,23883,9372,-13307,11817,6111,5443,-16306,12196,-9081,-16846,1450,12742,-5995,10148,19510,24317,5070,-7107,24204,-5809,-10239,19221,28335,18824,-11887,6892,-10855,-18118,-74577,-76356,-56850,-54430,-49669,-50772,-52183,-33407,-9635,-19740,-38258,-14186,13113,25587,-6313,9386,6634,16758,27869,23943,21842,11684,23875,9480,17648,5922,-3209,54426,33965,15393,28807,7741,17953,3373,29224,17480,17719,21347,30362,25547,17557,22596,387,31295,30065,8940,-7335,38284,1234,19299,21057,-15985,5544,23661,32870,10135,3106,16692,38795,23988,27864,25512,29196,35184,23952,12576,24720,29436,624,38004,12672
"21","11","      Nondurable goods industries","C42WN0",16396,-2919,87,1627,4047,14065,8911,9708,4553,15240,16597,861,-2876,11760,6015,-690,10837,2836,2819,5316,9578,-2596,16893,-7401,191,13035,3411,10419,-14078,-8610,16914,8681,470,12536,5204,-1385,12046,-4093,4646,4152,-720,-2308,5253,2582,4229,14280,9279,2841,-11401,6899,6239,17978,19387,10956,-12496,10054,4800,-8255,12810,6243,9138,-2749,6410,-5493,6750,8944,6921,-13411,-31,-4311,-3153,25643,-5783,-17811,-3712,-352,-5630,-4043,10716,-2981,5818,23280,1343,-11400,-12112,9603,-5916,-13340,867,252,32096,-7770,-19370,19047,11163,-7221,22457,-5446,5255,15184,-4989,-8900,-4071,8855,7485,-13383,1038,17794,-591,13565,1833,-4577,7985,5531,2246,21594,-9521,-10483,27490,-27736,-15070,1844,10121,17485,1223,21852,20108,5062,18048,-12302,10856,4499,-13992,-8194,-32233,14114,-7227,29538,18978,-1444,-31904,-29585,14161,17549,13288,4315,-1434,2944,-8187,-45349,-21188,-8780,-27663,14005,68680,-9835,-5235,-9505,-8963,5983,9986,13636,37057,22864,26334,64477,-49772,-7508,-21349,-21276,6039,-3061,24046,-6187,1425,-16392,-69643,30414,-6901,22127,-21406,26644,-23412,-2914,-10329,7179,36094,4781,4036,-31563,31296,-3892,25117,-17838,4319,11027,-9348,-7014,-15731,19711,24383,73282,22367,-28715,18396,-108,28944,16812,-21096,-8352,5160,26148,7440,48012,28104,16680
"22","12","    Nonmerchant wholesale industries","C42N0",8827,591,-5773,6717,3334,-1127,828,1775,1250,7705,3627,4353,1014,4744,5037,-753,1442,209,-833,1629,4234,5439,6822,-5246,-1685,1175,6320,2839,2892,4571,-217,9529,-67,4902,1240,-281,5870,3527,730,8658,-2584,9600,8172,4046,2112,9964,375,-1522,5928,-7262,-6812,555,-7593,-4060,-10656,-4406,-7984,-3952,-6644,1389,-5744,-10016,4057,4067,736,1766,6573,-5431,806,4299,-6179,-2421,-11049,8613,-4680,1312,-4046,154,3714,5869,-10789,2348,-2853,6774,3475,-1181,528,-5971,10095,4887,-4763,8470,8715,-8197,10215,-3214,17594,11802,12657,8600,622,7569,8524,3880,-6642,12698,15356,6519,16959,9010,-3993,-2597,7532,4440,-6160,12487,12618,12106,10914,-5406,1307,13342,1890,10238,4620,3273,7528,-2655,19839,-12438,12921,8306,28779,17980,29751,4985,-6385,59986,-8717,21307,-12910,30594,21201,-13071,-20573,-26838,-10362,-19529,-19613,-12671,-21842,-5982,-22839,5920,-11351,-23846,10086,4126,3638,4688,405,4747,11026,4918,3599,7672,5217,-6589,8734,3941,2603,21981,5479,-3291,7561,2147,-3585,10167,11478,-8067,7871,7685,-6611,11042,5390,-2849,12648,16949,2161,5338,3993,5868,3980,-7967,-1812,-2062,-4041,9580,-10203,-1372,2775,98,933,3074,-7068,1152,-2376,1368,-1812,2100,-4704,-5796,6084,1344,3648,-1680
"23","13","      Durable goods industries","C42ND0",8505,1438,-6925,6204,2969,-3032,1265,-2,727,7271,1233,4693,2881,3483,3770,-2169,1066,863,-588,2301,5452,3668,5477,-2913,-2717,2621,4022,3069,714,4290,-2814,6153,-78,3416,42,1230,4311,1825,1790,6580,-4164,6977,6535,4992,-262,8786,1719,-1912,3631,-4466,-7423,543,-5385,-1688,-6853,-3053,-6552,-4956,-4442,433,-5185,-1951,2796,4592,2220,-2120,6718,-1660,822,2573,407,-2006,-2383,2501,-3941,254,-2306,-984,381,3926,-8667,3740,-600,6999,6245,-4025,-634,-4523,360,6687,-6323,5780,12260,-5648,2269,-548,2977,10276,11342,4375,5491,-180,6315,7884,-8381,5797,13313,-2879,8824,3161,-9084,1358,3579,6193,-1789,10964,13368,3010,11959,-7117,4760,9927,1488,-1061,-5539,165,-4036,-4902,4055,-13371,-923,16673,1536,4524,9160,-68,2314,666,-1467,6560,-1971,3875,-3681,4878,-6178,-11377,-7642,-2071,-9783,-11453,-3928,-4413,-6017,92,851,977,-2568,82,958,-3695,-993,-1567,91,-1979,-5017,-4189,1050,-13192,3533,11708,7399,1742,7024,4370,7916,12941,2311,6125,7043,1305,6146,2930,557,6425,10594,-1269,5013,10020,-3467,9571,-311,-5067,-971,-3908,-3544,2802,-1902,3420,-2545,-2040,8846,-1574,597,5218,-516,5172,2424,-36,-3672,-1188,3072,-1272,6444,-216,-1704,3840
"24","14","      Nondurable goods industries","C42NN0",322,-846,1152,513,365,1906,-437,1777,524,434,2394,-340,-1867,1261,1267,1416,376,-655,-245,-673,-1218,1770,1345,-2333,1032,-1446,2298,-230,2178,281,2598,3376,11,1487,1199,-1511,1560,1702,-1060,2078,1580,2623,1637,-946,2375,1178,-1344,391,2297,-2796,610,13,-2209,-2373,-3803,-1353,-1432,1005,-2202,956,-559,-8065,1261,-524,-1484,3885,-144,-3771,-16,1726,-6586,-415,-8666,6112,-739,1058,-1739,1138,3333,1942,-2122,-1392,-2252,-225,-2770,2844,1162,-1448,9735,-1800,1560,2690,-3544,-2549,7946,-2666,14618,1526,1316,4225,-4869,7749,2209,-4004,1740,6902,2043,9398,8135,5849,5091,-3955,3953,-1753,-4371,1524,-751,9096,-1044,1711,-3453,3415,401,11299,10159,3108,11564,2247,15784,933,13844,-8367,27242,13456,20591,5053,-8699,59320,-7250,14747,-10939,26719,24882,-17948,-14395,-15461,-2720,-17458,-9830,-1217,-17915,-1569,-16823,5828,-12202,-24822,12654,4044,2680,8382,1398,6314,10935,6898,8616,11861,4168,6603,5202,-7767,-4796,20240,-1545,-7661,-355,-10794,-5896,4042,4435,-9372,1725,4755,-7168,4617,-5204,-1581,7635,6929,5628,-4233,4303,10935,4951,-4060,1732,-4864,-2139,6161,-7658,668,-6071,1673,335,-2144,-6552,-4020,-4800,1404,1860,3288,-7776,-4524,-360,1560,5352,-5520
"25","15","Retail trade industries","C440",1805,37364,-20451,49200,19759,292,31055,-11128,29074,17071,15927,3456,11356,27950,45324,41162,-26119,-7936,9441,-5808,22562,11643,35880,10184,48397,24939,40272,14292,8084,19850,9285,2393,13626,32045,35800,50229,-9241,10816,22359,26314,46774,32624,22650,34325,6114,30811,15655,288,-12634,-38928,-14180,12389,12915,-4996,8109,21833,1844,-108946,-53006,51801,42879,14671,5146,9481,38475,31533,16177,-7193,48029,24192,56314,20716,26324,21759,33816,19688,-7658,11661,20825,-31161,59427,15873,37583,2277,17861,25755,48618,56888,13161,15581,6394,27412,2626,28973,21173,13203,22148,29754,-5096,-14828,1007,-17185,-88765,28477,42898,30089,13448,18193,6237,-28574,52045,-41081,47065,17778,-9832,32615,15671,-34883,5548,49488,-22141,24486,-26297,26462,775,11681,30775,41395,-21750,33040,-24189,1355,-17679,-38005,-63624,-32742,-19006,-15364,55582,-85795,-36444,-13356,-54241,-51412,-89886,-38937,-44949,-25467,-89588,-61942,-73205,-140124,16346,-2784,-34468,-11568,4260,9374,25780,30370,10598,42657,28585,33629,40595,-10930,-5700,20101,-3985,-33456,55075,-3760,-18009,-17215,-19748,25985,-11673,-10425,30939,-9520,28010,44585,25817,25157,53373,28711,55395,28746,-11466,21888,2267,33239,79018,22987,-25454,34038,32284,14051,35837,7311,53818,41401,55665,21216,15279,6153,-8289,25713,9596,13781,65903,-18479,1466,12623,-14236,38521
"26","16","  Motor vehicle and parts dealers","C4410",-2340,13102,-8553,27409,786,-7332,18209,243,-2170,16818,13193,-7649,1835,11419,16364,29339,-6741,-41343,-7112,-16698,11294,10530,16731,-3634,29710,19075,25361,-1146,554,2313,7294,-5814,6120,25485,16923,23403,3300,-8199,10982,25062,18022,27509,25627,11143,10666,11264,4964,2219,-16962,-41759,-20492,12482,13154,2119,16689,844,8366,-115893,-29151,58656,31447,16990,10401,5093,23024,27027,-6291,-10140,24860,33593,48189,2399,20518,10461,19781,16112,7338,11965,6309,-19735,36033,6918,30951,6421,15397,9973,17775,36725,-572,3487,1755,6750,-3028,16990,-4376,-12832,-1311,23601,-13082,-14421,-13244,-29457,-75015,10272,41814,36767,-445,-348,-5549,-13573,21616,-29459,25653,4123,-10342,-43,12049,-42967,-4649,35160,-21727,2074,-7091,25908,-23409,6773,33649,33139,-11137,15739,4194,-23061,-14426,-15991,-9205,-35908,4333,4104,46927,-62159,-31907,-18440,-6569,-8897,-71500,-32058,-23629,-7173,-60587,-46402,-61847,-117670,47172,-6223,-9797,-5459,16971,18487,-2063,10517,9233,36484,20357,27476,26516,-3545,-10761,-1695,1595,-13197,20123,8407,-11526,-16345,-153,8141,-2486,-1720,24341,-2003,37630,32571,28099,26159,24714,24920,41687,26531,2955,3877,5459,23348,25605,10991,7938,12501,21681,18921,16032,1782,35909,33702,28876,14223,-5013,-4563,-11385,21153,14660,6953,54503,-16175,-9598,71,-21292,27733
"27","17","  Food and beverage stores","C4450",-553,361,1136,-630,1886,76,-662,3492,1252,-1692,1676,-2213,2057,-1329,2199,2835,-379,2883,1735,-922,-1224,4,3582,-144,3563,523,1424,-1052,3722,1902,1605,2230,2326,316,330,1459,-635,289,121,-331,1340,-6679,-1105,278,1986,-284,-3295,1588,1149,1302,116,654,-21,1145,-345,8,379,1885,214,-1584,-601,1508,661,463,862,704,-572,2343,4992,-7238,1711,5343,-3401,-32,791,-3104,-2812,-2681,2034,-569,2734,-5401,-1694,-26,826,-988,1093,436,1871,41,1065,-624,252,-626,1540,-1213,2899,-767,-1516,-196,-107,180,-1228,1053,-5502,2490,790,-713,1896,1957,735,648,2221,897,945,49,375,-287,506,676,-1728,-2102,1532,-4994,5212,4377,2025,5066,82,3202,-636,1631,-1815,900,-915,1968,-699,-392,-1536,-1060,134,2082,-2035,-2068,5622,1091,874,-573,455,-2842,1097,-2812,617,663,369,-8547,3612,-703,1168,-3428,-1072,1707,408,164,1557,-325,221,754,-1199,-4698,-1015,3392,-324,413,938,1255,-541,-1093,653,300,-14,2585,3269,-4546,-418,344,612,-880,1041,-2518,959,1520,3241,1107,-3548,3647,4964,-1175,1644,-468,434,3534,3195,-914,-3420,1944,2508,2988,-3636,-300,1116,1584,1200,1608,-132,2868
"28","18","  General merchandise stores","C4520",-4162,6139,-3139,7249,36,2234,-901,-5429,2763,-4775,-1747,3435,602,-876,-281,314,-11015,10203,3792,-202,3841,225,-1104,-1191,47,2169,6851,5459,1025,-53,1826,3036,1130,-3825,11066,3596,3165,3073,-5100,637,3516,3600,-4234,1149,555,5520,-970,1569,3593,753,11150,-4211,5544,845,-6936,10936,-4436,-23,-8422,-6874,-1372,3047,-5418,-1004,6371,-4625,11025,2387,-222,-123,11386,3028,-826,-2752,6118,11344,-7589,-136,4050,-6208,8724,7895,-7526,2217,3465,5743,9154,1530,1233,7214,-2964,4856,1227,3378,11196,7871,1156,1770,15965,-577,3333,82,-4443,11178,573,-4393,2554,7063,-5756,-7904,6367,-16184,8610,2224,8200,7804,-736,4484,3852,1179,1799,3941,-4092,2262,2063,-2425,-6826,391,-3184,3161,-12099,12177,4427,-2788,-23156,4693,-4395,-7204,556,-7214,4570,2151,-6407,-13651,-6641,-4793,1994,-6098,-3771,1323,-4602,-6277,-5009,5699,-3139,-3128,-5934,-6696,15162,5995,-2773,5092,7327,2195,3920,-2923,4153,1073,-2620,-2835,19823,-5937,-1133,2562,-6295,6233,-1427,-3036,1749,4724,-4455,2625,-8837,1307,8368,-6020,1130,2788,-12895,12761,-8056,10577,20975,-3712,-3621,5092,-1091,-218,5965,-1904,8758,2798,2508,1925,8172,-1068,1956,-6780,1368,-696,2676,444,804,-5520,2880,-4320
