"","Table 5#7#6AU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"35",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","    Materials and supplies","KCBIMM0",11452,-1228,6972,3300,1596,9424,7588,-4080,2796,-496,2660,6456,328,-7920,3600,3884,-936,9260,-3808,-700,-2572,-284,11440,3888,9688,11924,16444,20604,8816,19676,16064,16204,616,-17660,-8500,2508,6168,6888,8608,8432,3184,14864,3392,-7668,-3360,9260,12308,3052,8860,-252,6224,6872,9820,328,-12736,-532,4704,-2516,4888,-4220,-6524,-4644,-8972,-8952,-16628,5264,5816,10160,10356,11792,16488,-6524,-6052,-796,-9088,2596,-8936,2700,-2064,5276,-772,7636,-512,4136,8304,5892,7096,-956,6676,168,4880,-436,2988,428,1688,7360,4484,-9856,3748,4564,-3160,4496,3440,-4240,2616,6608,3744,4832,-1752,7548,10024,9088,7872,11100,7340,5692,7924,-6188,8620,1100,13812,12464,14452,8888
"37","28","      Durable goods","KCBMDM0",4632,-2660,4072,3392,1748,5556,3640,-4268,2908,-2124,76,7184,-192,-5460,4148,92,900,6972,-4160,-3632,-2908,-2940,8544,3752,2616,7336,12416,14668,4196,10392,11744,13364,2504,-9328,-7352,-6264,4976,2964,2864,4672,1724,8088,428,-3340,-2192,6584,10436,936,6916,2312,3504,6756,3156,-1072,-7092,-48,3816,-1360,3304,-4212,-6796,-4916,-6576,-6968,-11252,2624,3096,6844,6680,7268,11016,-1428,-3888,-1416,-3120,-232,-6852,1428,-1380,1212,-360,3476,-3432,3092,3424,3424,5164,-156,7344,-1000,2624,-1244,184,944,-156,5592,552,-8216,2052,124,-2844,2652,1272,-4384,2216,2292,4588,3744,-1132,5620,5796,6676,2736,7936,7964,8076,9648,-2116,7892,-468,7648,8944,11736,6564
"38","29","      Nondurable goods","KCBMNM0",7528,2400,2740,-896,-612,3576,4136,1276,-848,2600,3284,-2712,716,-1788,-1736,4824,-2584,1212,1452,4676,1148,4152,1544,-740,8196,4048,2528,4612,4828,9408,3340,1520,-2608,-8520,-316,11340,600,4204,6432,3708,1456,6744,3560,-4668,-1016,1984,180,2424,932,-3684,2664,-1204,7556,1896,-5576,-592,416,-1180,1312,760,1620,1256,-1692,-1108,-4388,2736,2732,2720,3160,4084,4436,-6100,-1828,1112,-6832,3636,-1016,1256,-540,4924,-416,4472,4488,620,5368,2324,1280,-984,-2436,1680,2260,1284,3404,-844,2260,1144,4628,-496,1664,5332,128,1764,2392,924,108,4800,-1812,656,-548,1352,4104,1840,5540,2584,-1680,-3628,-2912,-4380,52,1812,6628,2908,1740,1720
"39","30","    Work-in-process","KCBIMW0",14620,9288,5240,8808,5452,4436,6112,7444,8996,1240,7588,5452,-7620,-488,-2052,-11276,-2832,-9184,-76,-4156,3784,1232,5312,7524,15236,7268,12180,10680,7784,5656,-532,380,-6424,3444,-4480,-2508,-1920,3588,3260,8152,2676,-7288,13308,7732,9140,10268,4820,13584,4320,14828,7992,9388,5468,132,-5624,588,4848,-5888,-284,-7700,-12436,-1392,-7352,-9020,-12716,376,1624,7492,15056,23128,15652,10448,-4520,-1224,3080,-8956,164,-2468,-7252,-5800,156,3168,10852,8552,5608,8432,52,21504,12624,14508,2392,6664,6800,2320,8928,-8996,-8496,-3712,-8220,-11604,-9400,-13316,-8424,-2236,-904,2592,4848,-5032,7856,4844,5204,-996,4324,-4660,-292,-3876,6508,5704,692,9456,1252,-2164,5560,11624
"40","31","      Durable goods","KCBMDW0",11732,7620,4896,6932,4740,2604,4268,5196,6992,1364,5540,4980,-5676,-1932,-1184,-10620,-3284,-9328,-428,-4484,1460,2192,4000,6488,12208,7188,12312,9432,7616,3452,-228,-436,-4800,1716,-6240,-3492,-4268,1792,2292,6936,1340,-6952,10172,5456,8728,8848,3692,10768,3768,11884,5520,9796,2568,1052,-4412,-596,4692,-3884,800,-6916,-10844,-1648,-6140,-5452,-12276,-244,-788,7172,11208,18400,14388,9944,-1848,-464,2228,-10004,2516,-4204,-5924,-7668,-1580,2608,10160,6904,4216,6456,388,17704,10384,12344,1848,6452,5208,1760,7340,-7672,-6484,-6164,-9056,-10272,-9996,-12580,-8248,-2320,-1084,2868,4316,-4336,5672,3820,4192,-1112,3616,-5052,-632,-3240,4884,4512,624,8752,-200,-3164,1120,9004
"41","32","      Nondurable goods","KCBMNW0",1808,880,-452,1304,88,2080,1780,2168,1476,-436,1808,-288,-1640,2400,-992,1140,1288,2016,592,1360,3016,-1800,1076,224,1936,-1156,-2220,120,-912,2288,-332,1076,-1352,1916,3068,1712,3588,2008,892,520,1500,576,2484,2092,-772,488,880,1964,132,1952,2304,-1912,3248,-1272,-896,1512,-420,-1916,-1420,-68,-460,572,-616,-3728,1360,848,3268,-732,3224,3212,-712,-1012,-3284,-952,752,3164,-3816,3220,-804,4136,2724,256,-928,976,1144,1532,-528,2012,1208,796,412,-792,1256,456,920,-556,-1640,4056,2408,-180,2320,976,988,436,380,-764,36,-240,1928,736,676,288,408,1080,480,-368,1340,892,0,-72,-232,2016,5424,3308
"42","33","    Finished goods","KCBIMF0",9980,6220,4968,3228,-912,1736,6840,6412,4792,8584,4604,2436,4112,10772,6332,3520,5556,-3184,-2172,-1196,804,7448,1716,-6936,-4772,3096,-9904,760,2528,3084,6212,18812,4776,-5476,-3392,-52,2004,9624,9052,5420,-1976,4560,3136,6264,368,3276,1908,6164,2900,3044,-2268,-60,9820,6856,-8968,-3280,8076,8392,8500,4760,2424,-14692,6452,-11156,-14592,1900,7216,2088,7292,19108,16128,1964,-484,764,-5248,-1000,-248,1620,-4204,3752,516,-5812,1816,10696,2740,2816,6604,14360,3876,13160,9424,-5000,10264,6832,3636,1664,-1820,-7496,-892,7372,664,1148,14404,-5228,1640,2968,-2176,-3848,6696,2956,-2588,10360,13960,12316,8384,7040,6668,-3668,7916,4888,4532,19056,5308,13092
"43","34","      Durable goods","KCBMDF0",4648,4524,2576,-416,-2856,-1472,2324,3124,2064,6652,952,1040,1720,4180,5432,5344,1816,-3820,-1040,-1072,3020,3532,272,-2644,-148,2860,-92,-1256,-1436,-2684,4536,8008,3332,-900,-3112,-3768,-1372,4012,5396,5704,-332,624,-1480,3236,2340,1884,88,4516,6852,2868,-520,-728,3436,2880,-2208,2420,900,1896,6504,2980,984,1484,2352,-11768,-7456,1456,-500,1568,1092,6716,7808,5240,504,1348,-5352,-3636,-1444,-380,-728,620,-208,-1420,100,3536,1424,276,4856,6792,1684,3000,3520,-1808,4816,2668,-124,1092,-4556,-2136,1208,1796,648,1760,4892,-5632,-92,1732,-1368,1760,4392,2592,-2940,6612,7608,7384,5444,6276,3000,80,5856,72,2768,12616,3792,5092
"44","35","      Nondurable goods","KCBMNF0",5520,1252,2384,4388,2852,4124,4976,3352,2876,1044,4192,1480,2556,7136,-28,-3352,4176,1652,-1140,108,-3472,3992,1724,-4664,-5648,-348,-11940,2724,5016,7388,1144,11396,1132,-5292,220,5088,4308,5952,3344,-1428,-1904,4588,5848,2988,-2844,1292,2200,1020,-6256,-356,-1940,992,6932,4164,-7616,-7080,8224,7260,1360,1620,1504,-19504,4416,2936,-7108,236,9336,316,7216,13560,8480,-4956,-1316,-1004,1244,3952,1784,2572,-4168,3736,952,-5044,2076,7964,1284,3040,1068,7744,2296,11668,6416,-3484,5600,4472,4512,488,4104,-6012,-2744,6344,-88,-1056,10464,1516,2068,1164,-724,-6972,1964,-16,924,3348,6260,4676,2660,88,3848,-4260,1720,5428,3200,5516,864,7480
"45","36","Wholesale trade","KCBIWT0",12200,388,15264,9444,1376,11324,5356,-868,11640,11988,9584,4116,9980,7704,11152,12344,436,10304,7416,12640,-1512,10432,14400,4280,8840,-1640,-1408,11612,19928,19192,-2696,25156,-12344,-16384,3096,-5568,3888,22548,17856,1584,14920,11172,17804,15860,25664,11044,3804,23292,17992,9352,10372,5000,13344,15028,-132,-4368,21700,-9824,2304,12180,-5428,5668,-3260,-9020,-13260,-18692,16304,10752,16220,15388,33436,8128,10824,7420,2932,5808,9928,10244,21836,-4596,1348,7260,-4248,29676,22136,13720,10332,-4416,-4452,18468,2324,-1952,8956,17388,10348,1624,8592,-15492,5124,19172,3200,10320,5928,19304,4964,4924,10932,5932,-1692,19876,20608,31260,21864,16464,14208,5196,3392,5504,-9220,10764,29536,40868,20920,37104
"46",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","    Durable goods","KCBWTD0",5000,1736,4160,6696,1116,4752,2412,2008,6516,8528,5432,2572,5096,1000,7508,3240,1856,4920,5676,8972,788,8544,5276,8932,5504,7384,4100,4524,8596,6664,8716,14488,404,-8032,-5852,856,2144,13228,9056,1348,6152,6128,8648,10400,19360,11412,3928,14552,13828,3064,8980,236,4544,8576,-2852,8444,7004,6988,184,6544,1704,5504,-5824,-16736,-16332,-9972,5624,8228,9636,9128,19352,8016,2388,2308,-1648,-1304,3380,5652,9204,-4304,1700,7220,-9168,17776,14392,-3404,14752,-2816,-1324,12072,-1044,-5084,4240,6376,7220,-4592,2988,-15092,-1436,11168,-4740,8652,4372,4292,1176,-24,6260,6692,-960,17140,12196,16580,16088,11044,7176,13152,4108,2276,6168,-12,20024,28052,9536,20464
"48","38","    Nondurable goods","KCBWTN0",7348,-1544,11624,2448,204,6776,3024,-3384,5012,2924,4044,1432,4916,7468,3216,9908,-1824,5496,1268,3012,-2740,1032,9748,-6300,3312,-10076,-5668,7124,11092,12360,-11540,10416,-13084,-8284,9464,-6644,1712,9060,8728,176,8920,4992,9252,5096,5276,-1300,-476,8284,3440,6532,1004,4940,8732,6172,2692,-12952,14284,-16640,1980,5388,-7672,-248,3008,9392,4624,-8692,11160,2084,6404,6092,13804,-740,9332,5576,5520,8476,7224,4524,13968,464,-760,-1312,7856,11424,6832,21660,-7972,-1508,-3568,5748,4244,4644,4996,12252,2612,8100,6176,2012,8120,7760,10368,608,1164,17416,4396,6032,4604,-2088,-712,348,8128,15012,4264,4708,7260,-11348,-1436,3428,-18848,12612,5472,8976,12888,15784
"49",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Merchant wholesale","KCBI5W0",7848,-2108,14224,7420,1472,8728,4036,-1840,9404,10096,7992,3228,10740,6064,10844,11404,-8,11264,8688,13412,-768,10268,12292,4500,8184,-4276,-1556,9408,18844,17792,-4328,18712,-16624,-12992,2092,-5552,3632,18928,13224,2800,12692,11020,20148,16548,29600,15892,3616,19876,21204,5536,9332,2212,6612,10548,11616,3712,12400,-7648,3260,10240,-7776,14252,-6872,-9204,-8108,-17224,11168,11132,15804,10316,29692,8764,11180,7560,8132,6188,10940,8880,23376,-6620,3276,10956,-3628,26796,20712,13256,10072,-8192,-5268,14972,-352,1252,4792,15556,11956,1776,8560,-12264,3332,18376,5084,10196,2192,22264,5244,5672,10908,4492,-4252,20452,18348,26636,18516,11856,11676,2076,-572,6712,-10168,11124,25424,37952,20040,30996
"51","40","      Durable goods","KCB5WD0",2580,280,3472,5980,924,4216,1932,1660,5168,7744,4688,1880,5912,960,7636,3648,2568,6020,6852,9908,696,8516,4420,8660,4692,5140,2476,5276,8104,8780,7076,11076,-1696,-9304,-5964,2308,2424,11760,6716,-2288,7720,7252,10588,10980,18884,11512,4404,13028,10540,1692,9564,1196,5084,8164,-320,9484,6116,6400,-2388,5108,1056,5316,-6656,-13912,-14316,-10620,5788,7968,10644,7172,17392,6820,2160,1496,0,788,3664,6608,9508,-4744,2292,8628,-8708,16744,14056,-3452,14496,-5784,-1552,11392,-2992,-4280,2888,4880,8664,-4280,3932,-13828,-3508,12060,-3084,9056,2696,7416,1896,436,5928,4688,-3008,17588,10720,13952,14192,8632,5232,10544,1628,2708,4884,736,16604,26944,9604,16336
"52","41","        Motor vehicles","KCB5010",0,-917,71,323,-1054,1720,404,1835,566,1087,562,1192,1195,-15,95,-15,2029,1458,4443,6502,-1448,2253,2441,-420,337,-886,1813,870,6503,6728,842,2499,-3667,-4891,-2617,367,-26,3267,1079,-2402,-64,796,210,2379,3127,1755,-304,5628,2706,-4750,1032,-31,638,2798,-2545,-1438,-5170,-769,-3727,4597,3584,4821,972,-3539,-2419,-1530,780,-221,1599,-1146,8939,565,1720,3465,-2011,1360,559,2733,3539,-493,-76,3325,-371,2548,2818,-4154,6556,-1745,-1254,5809,-3918,-5067,3615,-755,3523,-647,2697,-5530,-2643,5566,-4325,186,2428,1523,-1240,-3987,1172,1860,-5473,3653,1067,2052,3846,2321,-2061,-1310,-2947,3744,-3120,-340,2152,5099,1482,-1975
"53","42","        Furniture and furnishings","KCB5020",-40,-40,146,-38,155,90,77,345,165,115,331,127,138,200,149,-50,354,342,-220,-220,-85,132,264,881,495,24,735,-130,566,-66,152,-273,-408,-185,-45,387,549,577,233,132,-91,17,597,543,342,749,-62,-113,533,227,-220,198,-35,7,552,191,260,58,203,-1017,124,-484,-636,424,152,28,489,-40,396,808,-133,769,-179,560,490,749,-737,-1062,1765,864,1161,1281,242,-423,901,528,-154,-410,-63,-152,338,-508,-407,877,-387,-269,443,-1207,215,78,-401,183,-488,792,176,90,-346,406,98,-199,594,248,779,1647,-908,-362,321,-39,4,-307,-708,896,470,287
"54","43","        Lumber and construction","KCB5030",-1356,612,346,-415,224,347,845,35,414,1443,645,-189,-132,301,301,12,54,-317,210,-368,1774,133,-523,1354,-133,1728,-853,-159,460,738,-912,-716,-1135,-833,1794,-582,-433,-159,561,519,1459,-1365,1041,253,883,998,338,-201,50,1693,-140,-35,314,-1071,-804,-137,389,1862,-1144,-1562,-717,-1466,215,1374,596,642,1707,550,553,-23,218,553,-117,141,972,-293,3104,1663,-1987,-375,-626,1745,251,199,1613,-713,808,-327,807,-407,-261,88,539,396,-895,-280,-1679,-304,136,412,-859,114,710,127,933,-1601,143,-952,-71,1785,199,834,785,-1278,253,904,406,-46,1381,-1004,252,1302,737,56
"55","44","        Professional and commercial equipment and supplies","KCB5040",5,32,168,-40,-23,93,141,26,63,47,2,36,94,129,87,92,63,142,30,158,59,54,119,175,217,-18,182,49,-20,-62,21,-32,65,39,35,-102,-45,-6,104,229,101,93,-137,37,160,56,123,87,-52,117,1,-172,-4,117,231,138,39,101,-119,126,-17,174,289,8,247,62,381,437,635,482,292,494,354,307,54,659,753,715,388,-850,168,256,463,-190,315,13,636,-4,311,223,251,594,244,294,173,211,453,322,171,439,-385,786,326,36,262,252,543,306,514,680,467,982,817,368,571,918,337,226,957,248,414,2426,1343,1461
"56","45","        Metals and minerals","KCB5050",1952,-33,-1259,1440,2077,1848,1638,-802,-2378,118,71,1044,734,-545,1910,2099,2144,2178,-1967,-2055,-222,-36,1885,3553,-1896,780,815,-336,-1324,2146,2331,7650,7084,-3053,-4183,-2467,-514,1319,1447,810,-1074,563,2226,312,5516,2112,-2021,-2103,1699,1863,4164,1836,-881,3523,201,3467,3284,2961,4476,466,1436,71,-3752,-2221,-4239,-4024,2304,-1194,547,2805,-1942,-1818,-1889,-5712,1477,-1355,-1689,-154,-1142,608,-636,856,-2097,4149,3568,3490,31,-1226,-204,-78,-201,-640,-2772,-1143,2934,713,403,-1775,147,-107,2840,-100,-853,-414,848,2994,1252,1387,-560,3566,1228,1484,-31,-1820,-932,-1786,-694,-854,2055,4348,3487,1766,-197,326
"57","46","        Electrical goods","KCB5060",779,-587,117,304,283,-7,200,-13,410,696,117,388,-129,200,377,287,-221,494,531,184,587,120,435,196,620,1129,-297,1204,219,72,-267,-106,-774,-940,-485,179,468,802,233,190,758,772,906,502,979,1104,561,1223,878,585,310,-257,785,336,690,414,812,1027,654,1492,1393,537,-674,-766,-918,-352,750,1931,2960,3512,3898,2218,593,838,-421,-1481,213,105,2836,-1188,1758,-800,-1785,2546,296,105,1186,1177,1698,1131,704,-72,-215,869,399,72,903,-895,-1237,2141,-216,1238,860,2213,1281,594,1921,-1079,1449,3080,3553,2790,2789,4231,3902,3562,376,-1503,-2115,785,3132,716,100,-420
"58","47","        Hardware and plumbing","KCB5070",109,236,650,252,-391,53,316,1101,192,1070,-38,-355,819,-314,555,-97,223,507,269,471,731,1601,218,1294,931,450,247,1200,22,-157,238,-208,-2099,-2385,462,828,-512,684,1237,-91,650,1330,156,632,1897,840,267,680,1113,1148,-158,403,581,-1294,376,1373,587,1504,-1214,-437,-1356,-1133,503,-1187,-516,-476,80,1276,612,284,2178,1031,1709,560,-1620,-354,1185,1197,-547,293,-419,-451,255,742,-291,308,1876,-717,1491,1891,1575,207,571,1639,-2677,1352,-677,-827,-130,711,256,1698,838,-823,730,-776,521,1699,1516,2450,2765,690,1123,-1746,203,405,389,69,881,1942,-860,1415,542,83
"59","48","        Machinery, equipment, and supplies","KCB5080",89,1654,3268,3679,14,-131,-2573,-2550,4073,1580,1270,468,2756,77,2914,714,-2198,842,2003,1993,-558,1895,-557,2978,2608,961,-587,2767,1043,-279,5248,3079,1832,5309,674,1257,2405,1944,856,-2602,6540,4562,4238,7641,6955,3777,5456,7894,3843,5636,10146,-134,7313,3015,497,5889,6014,3964,-2342,2204,-3426,-917,-566,-12547,-7357,-6929,-2927,5896,-586,2500,-705,-1854,-2615,-3350,3089,1889,-1382,1127,-1042,-1545,-1275,25,-2559,11721,8801,-883,4271,-5466,-7900,5386,-2980,-1685,251,4969,5368,-3940,-1886,-9150,-2148,-1609,41,1071,-2257,1888,-927,371,-2244,686,1765,2844,7158,3132,3602,4963,3896,5338,3513,-217,6428,-4165,4221,9928,-2664,11940
"60","49","        Other durable goods","KCB5090",20,1125,261,1091,-60,643,809,652,1235,1036,1979,-1429,1411,689,2191,1164,178,191,68,2208,-566,2784,-557,337,995,267,676,-1077,-392,-584,1386,705,-717,-353,-856,2547,434,3252,1463,959,470,1118,2108,-395,481,234,807,-74,35,-3463,-3524,-228,-2725,1179,438,1689,2621,-3190,1143,-2574,-2906,2219,-4185,3450,-1524,109,2257,-378,2950,-2719,1899,3841,1535,2017,-912,-710,1314,317,3731,-1404,929,3278,-4994,-1007,-1054,-1378,-351,839,1634,-1859,1047,2549,131,-1640,1352,-2612,1939,3697,2432,3804,2022,4539,27,2020,-259,4257,2739,1438,-2678,1253,-5808,2201,355,-1361,-92,2874,434,1050,414,-233,1622,-1526,2642,3694
"61","50","      Nondurable goods","KCB5WN0",5300,-2440,10920,1248,532,4508,2116,-3776,4172,2012,3216,1308,4764,5384,2924,8000,-2884,5188,1504,3040,-1632,1272,8128,-4904,3536,-9424,-3688,4056,10084,8616,-10448,7432,-14452,-3572,7904,-7708,1156,6952,6356,5176,4844,3624,9516,5316,10360,4060,-1032,6564,10688,3896,-612,972,1388,2180,12056,-6016,6136,-14356,5748,5052,-9392,9100,80,5892,7680,-6468,5420,2892,4884,2916,12208,1560,10024,6776,9408,6196,8080,1716,15560,-1564,852,1500,7620,9684,5892,20728,-7340,-2124,-4228,2728,3556,7208,1876,12092,2756,7772,4952,3816,8672,5848,10200,124,-976,16772,3752,6260,5136,-924,-1052,868,7648,13280,3144,2660,6916,-11196,-2780,4300,-18076,12020,8304,9596,11160,15288
"62","51","        Paper products","KCB5110",86,52,-207,417,-86,375,-222,18,52,138,120,120,183,-299,216,-33,-115,1,-33,-66,310,128,206,271,622,-243,387,347,57,317,-649,77,-920,-157,124,360,98,109,175,207,540,374,0,-32,167,33,380,272,511,129,451,-26,256,-101,-112,668,356,323,290,203,-361,-217,235,-242,606,398,1224,752,94,451,101,132,645,642,278,425,20,-125,-77,772,-845,-157,47,749,713,352,579,201,1397,527,384,27,198,779,1151,586,-316,712,1150,811,778,1006,880,-56,621,899,301,2168,714,82,-834,1592,365,-176,-1255,1509,371,2656,630,587,1166,612,2268,229
"63","52","        Drugs and sundries","KCB5120",-1,-47,234,94,119,373,467,-23,162,300,-161,392,453,-318,-68,-135,22,88,333,778,-222,398,444,244,265,219,-61,980,1999,1409,-1377,-375,-468,-160,-385,-119,-287,640,16,544,413,300,600,801,215,1134,1003,-585,1038,-221,113,-1454,-359,-373,994,643,102,1021,734,1124,-75,1416,-1155,537,-987,381,1385,98,1231,-909,433,848,1545,686,1878,-543,3096,-253,505,975,965,777,1520,2227,314,1095,166,693,-643,1146,2197,350,1386,-6,363,766,489,4784,728,781,2766,1080,1249,2842,1283,-1266,2578,2064,-2546,771,853,2947,1221,1673,-1195,-3724,985,1369,-735,6535,1627,1609,4230,1574
"64","53","        Apparel and piece goods","KCB5130",79,-525,252,0,226,605,-210,-361,240,-294,430,330,285,134,351,727,609,1162,851,1354,-751,-17,-109,-155,680,-378,1554,-1455,1049,-28,-112,514,-810,-112,-223,241,607,-151,713,-661,643,296,-516,568,155,1214,1107,2188,113,577,412,641,960,-1904,2348,33,1886,-1116,59,-330,-509,875,9,-139,793,-276,-717,2092,599,1452,868,126,976,-1042,1494,116,441,1924,2233,-978,982,-232,-1,376,-862,2011,-1849,1256,1425,1398,1736,1396,597,1192,-396,-991,-254,-2019,-193,807,3443,34,-9,738,-1544,2726,2899,-1443,-1064,-1631,3750,1628,1077,-1274,-679,-2426,-668,881,-672,872,2283,1576,-98,2061
"65","54","        Groceries","KCB5140",780,-19,1269,-474,-917,1248,156,-31,1428,-988,-226,58,781,601,236,840,-658,753,1625,-855,940,286,1399,-695,-617,857,-195,3922,2090,3946,-5443,772,-1819,-2672,-49,2028,2494,1345,2224,1287,-284,1543,2281,-414,-446,711,731,-682,-196,274,-757,-895,-70,-101,-868,2360,1684,-1758,330,-305,-1442,835,729,1785,154,-381,1779,1613,1860,61,3374,-899,1626,2831,578,2744,5274,763,-1063,2143,-2210,1669,2683,-113,-1769,-644,3335,-1261,1889,-92,-1978,5390,-94,103,2566,-249,872,2044,-441,2463,705,3035,-447,-43,-357,-3017,-722,482,1719,-1661,-335,41,-634,791,1410,-2782,1609,-1034,-534,-2339,-36,970,-354,4295
"66","55","        Farm products","KCB5150",2993,-1280,6356,-1808,1214,1227,-380,-2438,464,543,-973,1074,4,3257,1062,3512,-2922,1490,-3666,-671,-445,-401,6208,-1837,2374,-6411,-1948,803,3835,-992,-454,1473,-5257,1216,8193,-7869,-1458,4276,221,878,1822,189,1799,4234,4061,-927,-4800,-368,2453,3860,-371,-192,-1145,855,4567,-6381,-1131,-4995,201,2344,-1280,2891,18,6554,2522,-3106,5225,-4551,-8,-1065,1834,1775,2309,-1816,6394,3714,-1629,-1144,6450,-8544,504,337,110,723,3681,13401,-6773,-5428,-8054,-2488,1852,3637,-717,1478,-256,8499,1258,-1672,8260,-5002,744,-3098,-540,6785,3510,5227,-6568,844,-2335,450,192,5335,-2880,-2110,7734,-3904,-1851,-2901,-11957,5851,1580,-58,1431,4915
"67","56","        Chemical and allied products","KCB5160",-329,24,452,50,351,-248,323,-324,24,395,73,195,47,-289,143,71,141,70,-70,213,517,93,-23,210,209,113,180,503,-568,239,180,-1,-90,-366,-41,54,449,-210,340,313,338,345,205,52,888,681,414,795,85,159,-522,-687,-155,-230,437,706,-539,-248,771,-491,606,650,35,1065,-180,1087,276,120,821,-273,1464,483,49,-1080,1110,-171,158,86,-260,964,-25,211,45,286,794,-32,-714,930,-1865,586,317,-1094,1654,-249,748,1147,-1288,-235,1147,520,1433,611,-1095,427,989,683,1055,-519,-734,330,698,374,1032,945,603,-460,543,-620,654,1110,737,1154,60,-46
"68","57","        Petroleum products","KCB5170",-2821,-590,3387,3222,-130,1768,1238,-823,-826,1107,199,1332,1040,1194,676,991,2688,140,1650,-198,-3162,-242,-772,-2692,4396,2261,-5970,-3609,-2507,9483,-2333,11571,-2545,-3103,-6262,-248,1789,-2582,1237,-2163,2310,709,448,1103,1174,415,1946,1326,4155,38,2907,2566,3032,2726,2093,-44,4822,-5798,1902,-38,-6167,2214,-664,-2557,4212,-4119,-3718,2805,-5106,5503,1334,-5091,3504,4246,-4103,1913,1319,-2608,6040,4333,-6646,-2605,1166,474,5444,-829,601,-1813,3334,2462,-4184,-4921,3510,4378,-4801,-2921,3967,2533,173,3182,463,-905,-1557,2507,693,1915,848,-4250,6153,-116,115,1516,785,148,-925,-1926,-1208,-3767,330,749,-1858,980,-301,1869
"69","58","        Alcoholic beverages","KCB5180",883,-30,-249,717,-204,14,770,29,29,16,890,-359,740,266,-585,674,259,135,1533,-775,231,394,-529,540,-417,1103,-417,239,552,631,-12,0,-447,-920,-122,644,-969,369,380,1116,386,1374,574,-663,660,358,930,1617,2040,-1069,-1863,1592,549,-373,967,-614,-1399,1213,609,446,787,-660,-315,261,-1022,161,-801,-214,832,-1436,1433,276,-78,1434,-155,42,-241,372,-727,364,2488,-1313,195,-894,-978,-178,574,508,-496,180,56,596,-440,287,196,326,777,-455,-230,378,-1557,252,-86,-128,-12,-185,50,701,-375,1026,154,169,-328,128,1160,-657,204,865,-223,-294,-1541,1101,501,1657
